HALLWAY - DAY- CONTINUOUS		BOY	  Hey, Bianca.	GIRL	 Awesome shoes.	GUIDANCE COUNSELOR'S OFFICE - DAY		10 Things I Hate About You 	adoring
HIS POV		KAT	  I need agua!	KAT	 (continuing to herself) Shit	BARTENDER	 (shouting) What can I get you?	10 Things I Hate About You 	shouting
KAT	 (continuing to herself) Shit	BARTENDER	  What can I get you?	KAT	 Two waters.	KAT	 (continuing) You're not fooling anyone.	10 Things I Hate About You 	shouting
KAT	 (continuing) You're not fooling anyone.	PATRICK	  hey.  Great show, huh?	KAT	 (yelling)	PATRICK	 (yelling) Excuse me?	10 Things I Hate About You 	yelling
PATRICK	 (yelling) hey.  Great show, huh?	KAT	 	PATRICK	 (yelling) Excuse me?	KAT	 (yelling) That's what you want, isn't it?	10 Things I Hate About You 	yelling
KAT	 (yelling)	PATRICK	  Excuse me?	KAT	 (yelling) That's what you want, isn't it?	PATRICK	 (yelling; gesturing toward the band) Do you mind?  You're sort of ruining it for me.	10 Things I Hate About You 	yelling
PATRICK	 (yelling) Excuse me?	KAT	  That's what you want, isn't it?	PATRICK	 (yelling; gesturing toward the band) Do you mind?  You're sort of ruining it for me.	KAT	 (yelling) You're not surrounded by your usual cloud of smoke.	10 Things I Hate About You 	yelling
KAT	 (yelling) That's what you want, isn't it?	PATRICK	  Do you mind?  You're sort of ruining it for me.	KAT	 (yelling) You're not surrounded by your usual cloud of smoke.	PATRICK	 I know.  I quit.	10 Things I Hate About You 	yelling; gesturing toward the band
PATRICK	 (yelling; gesturing toward the band) Do you mind?  You're sort of ruining it for me.	KAT	  You're not surrounded by your usual cloud of smoke.	PATRICK	 I know.  I quit.	KAT	 Oh, really?	10 Things I Hate About You 	yelling
PATRICK	 (continuing) Come to that party with me.	KAT	  What?	BARTENDER	 (to Kat, yelling) You forgot to pay!	PATRICK	 (yelling) I got it, Rick.	10 Things I Hate About You 	yelling
KAT	 (yelling) What?	BARTENDER	  You forgot to pay!	PATRICK	 (yelling) I got it, Rick.	PATRICK	 (continuing; yelling) Nine-thirty then.	10 Things I Hate About You 	to Kat, yelling
BARTENDER	 (to Kat, yelling) You forgot to pay!	PATRICK	  I got it, Rick.	PATRICK	 (continuing; yelling) Nine-thirty then.			10 Things I Hate About You 	yelling
MISS PERKY	 You're completely demented.	PATRICK	  See you next week!	MISS PERKY	 You two know each other?	PATRICK/KAT	 Yeah/No.	10 Things I Hate About You 	cheery
PATRICK/KAT	 Yeah/No.	MISS PERKY	  Dear God, stay away from her.  If you two ever decided to breed, evil would truly walk the earth.					10 Things I Hate About You 	to Patrick
KAT	 Can we go now?	WALTER	  Promise me you won't talk to any boys unless your sister is present.	BIANCA	 Why?	WALTER	 Because she'll scare them away.	10 Things I Hate About You 	to Bianca
KAT	 Leave my sister alone.	JOEY	  And why would I do that?	JOCK	 A fight!	COFFEE KID #1	 That was a New Guinea Peaberry, you Folger's-crystals-slurping-buttwipe.	10 Things I Hate About You 	smirking
PATRICK	 What's this?	KAT	  "I'm getting trashed, man." Isn't that what you're supposed to do at a party?	PATRICK	 I say, do what you wanna do.	KAT	 Funny, you're the only one	10 Things I Hate About You 	mocking
KAT	 Bianca, I need to talk to you -- I need to tell you --	BIANCA	  I really don't think I need any social advice from you right now.					10 Things I Hate About You 	cutting her off
JOEY	 My man	PATRICK	  It's about time.	JOEY	 A deal's a deal.	JOEY	 (continuing) How'd you do it?	10 Things I Hate About You 	annoyed
CAMERON	 Sure	PATRICK	  Then, go get her					10 Things I Hate About You 	impatient
PATRICK	 I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.	KAT	  Hey man. . .  You don ' t think I can be "cool"?  You don't think I can be "laid back" like everyone else?	PATRICK	 (slightly sarcastic) I thought you were above all that	KAT	 You know what they say	10 Things I Hate About You 	holding up a drunken head
KAT	 (holding up a drunken head) Hey man. . .  You don ' t think I can be "cool"?  You don't think I can be "laid back" like everyone else?	PATRICK	  I thought you were above all that	KAT	 You know what they say	PATRICK	 No. What do they say?	10 Things I Hate About You 	slightly sarcastic
PATRICK	 (continuing) Kat! Wake up!	KAT	  What?	PATRICK	 I thought you were...			10 Things I Hate About You 	waking
BIANCA	 I have to be home in twenty minutes.	CHASTITY	  I don't have to be home 'til two.	JOEY	 Then, c'mon. (to Bianca) Maybe next time --	CAMERON	 (slightly accusatory) Have fun tonight?	10 Things I Hate About You 	eagerly, to Joey
CHASTITY	 (eagerly, to Joey) I don't have to be home 'til two.	JOEY	 Then, c'mon.  Maybe next time --	CAMERON	 (slightly accusatory) Have fun tonight?	BIANCA	 Tons	10 Things I Hate About You 	to Bianca
JOEY	 Then, c'mon. (to Bianca) Maybe next time --	CAMERON	  Have fun tonight?	BIANCA	 Tons	BIANCA	 (continuing) Cameron?	10 Things I Hate About You 	slightly accusatory
PATRICK	 Start a band?	KAT	  My father wouldn't approve of that that	PATRICK	 You don't strike me as the type that would ask permission.	KAT	 Oh, so now you think you know me?	10 Things I Hate About You 	sarcastically
CAMERON	 I looked for you back at the party, but you always seemed to be "occupied".	BIANCA	  I was?	CAMERON	 You never wanted to go out with 'me, did you?	BIANCA	 (reluctant) Well, no...	10 Things I Hate About You 	faux-innocence
CAMERON	 You never wanted to go out with 'me, did you?	BIANCA	  Well, no...	CAMERON	 Then that's all you had to say.	BIANCA	 But	10 Things I Hate About You 	reluctant
DEREK	 Kat, my lady, you sway to the rhythm of my heart.	CLEM	 Yippe kai-aye, bra.  Dance for me, cowgirl.	CLEM	 (continuing) Okay, now tell me again why he didn't shoot the deputy?	DEREK	 Because the deputy meant him no harm, my friend.  It was only the sheriff that was the oppressor.	10 Things I Hate About You 	to Kat
MRS. BLAISE	 (continuing) Derek?	DEREK	  In faith, I do not love thee with mine eyes/ For they in thee a thousand errors note/ But 'tis my heart that loves what they despise/ Who in despite of view is pleas 'd to dote.	CLEM	 Ms. Blaise, can I get the bathroom pass?  Damn if Shakespeare don't act as a laxative on my person.			10 Things I Hate About You 	reading; in his Rasta stoner drawl
MICHAEL	 Hey there.  Tired of breathing?	MANDELLA	  Hi.	MICHAEL	 Cool pictures.  You a fan?	MANDELLA	 Yeah.  I guess.	10 Things I Hate About You 	shyly, as she loosens the scarf
MICHAEL	 Macbeth, right?	MANDELLA	  Right.	MICHAEL	 Kat a fan, too?	MANDELLA	 (puzzled) Yeah...	10 Things I Hate About You 	happily stunned
MICHAEL	 Kat a fan, too?	MANDELLA	  Yeah...	MICHAEL	 So, listen... I have this friend			10 Things I Hate About You 	puzzled
CAMERON	 She kissed me.	PATRICK	  Where?					10 Things I Hate About You 	eyebrow raised
KAT	 You ' re looking at this from the wrong perspective.  We're making a statement.	MANDELLA	  Oh, good.  Something new and different for us.					10 Things I Hate About You 	unconvinced
JOEY	 Hey, sweet cheeks.	BIANCA	  Hi, Joey.	JOEY	 You're concentrating awfully hard considering it's gym class.	JOEY	 (continuing) Listen, I want to talk to you about the prom.	10 Things I Hate About You 	not looking at him
PATRICK	 Excuse me, have you seen The Feminine Mystique?  I lost my copy.	KAT	  What are you doing here?	PATRICK	 I heard there was a poetry reading.	KAT	 You 're so --	10 Things I Hate About You 	frowning
PATRICK	 Man -- don't say shit like that to  me. People can hear you.	CAMERON	  You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.	MICHAEL	 Best case scenario, you're back on the payroll for awhile.	PATRICK	 What's the worst?	10 Things I Hate About You 	exasperated
OUTSIDE		PATRICK	  " I think I love you I "	INSIDE				10 Things I Hate About You 	continuing
PATRICK	 I guess I never told you I'm afraid of heights.	KAT	  C'mon.  It's not that bad	PATRICK	 Try lookin' at it from this angle	KAT	 Put your right foot there --	10 Things I Hate About You 	smiling
KAT	 You want me to climb up and show you how to get down?	PATRICK	  Maybe.	KAT	 You shit!			10 Things I Hate About You 	voice trembling
KAT	 I dazzled him with my wit	PATRICK	  A soft side? Who knew?	KAT	 Yeah, well, don't let it get out	PATRICK	 So what's your excuse?	10 Things I Hate About You 	sarcastic
SERIES OF SHOTS:		KAT	  Damn it!	KID	 Look, Mom			10 Things I Hate About You 	continuing
KAT	 No -- something real.  Something no one else knows.	PATRICK	  You're sweet.  And sexy.  And completely hot for me.	KAT	 What?	PATRICK	 No one else knows	10 Things I Hate About You 	in-between kisses
PATRICK	 You need therapy.  Has anyone ever told you that?	KAT	  Answer the question, Patrick	PATRICK	 (angry) Nothing!  There's nothing in it for me. Just the pleasure of your company.			10 Things I Hate About You 	quietly
KAT	 (quietly) Answer the question, Patrick	PATRICK	  Nothing!  There's nothing in it for me. Just the pleasure of your company.					10 Things I Hate About You 	angry
BIANCA	 (continuing) I'm kidding. (beat) You know how sometimes you just become this "persona"?  And you don't know how to quit?	CAMERON	  No	BIANCA	 Okay -- you're gonna need to learn how to lie.			10 Things I Hate About You 	matter of fact
BIANCA	 Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!	WALTER	  You know what happens at proms?	SHARON	 They'll dance, they'll kiss, they'll come home.  Let her go.	WALTER	 Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.	10 Things I Hate About You 	calling out
BIANCA	 Come in.	KAT	  Listen, I know you hate having to sit home because I'm not Susie High School.	BIANCA	 Like you care.	KAT	 I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .	10 Things I Hate About You 	kindly
KAT	 In 9th.  For a month	BIANCA	  Why?	KAT	 (self-mocking) He was, like, a total babe	BIANCA	 But you hate Joey	10 Things I Hate About You 	confused
BIANCA	 (confused) Why?	KAT	  He was, like, a total babe	BIANCA	 But you hate Joey	KAT	 Now I do.  Back then, was a different story.	10 Things I Hate About You 	self-mocking
BIANCA	 You did what?	KAT	  Just once.  Afterwards, I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.	BIANCA	 But	KAT	 After that, I swore I'd never do anything just because "everyone else" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --	10 Things I Hate About You 	continuing on
KAT	 After that, I swore I'd never do anything just because "everyone else" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --	BIANCA	  Why didn't you tell me?	KAT	 I wanted to let you make up your own mind about him.	BIANCA	 No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.	10 Things I Hate About You 	stunned
SHARON	 Dr. Ruth?	BIANCA	 Hi, Mommy. 	WALTER		SHARON	 Honey, you look beautiful!	10 Things I Hate About You 	looking away
BIANCA	 Let's go.	SHARON	  Have a great time, honey!	WALTER	 But -- who -- what --?	KAT	 Hey, guys. I'm going to the prom. See you in a few.	10 Things I Hate About You 	to Bianca
KAT	 It's just something I had.  You know	PATRICK	  Oh huh	KAT	 Look, I'm  -- sorry -- that I questioned your motives.  I was wrong.	PATRICK	 No prob.	10 Things I Hate About You 	smiling
KAT	 Oh, honey -- tell me we haven't' progressed to full-on hallucinations.	MICHAEL	 Mi' lady.  Good sir.					10 Things I Hate About You 	to Patrick
KAT	 No, Daddy.	WALTER	  So tell me about this dance. Was it fun?	KAT	 Parts of it.	WALTER	 Which parts?	10 Things I Hate About You 	dreading the answer
WALTER	 (continuing) You know, fathers don't like to admit that their daughters are capable of running their own lives.  It means we've become spectators.  Bianca still lets me play a few innings.  You've had me on the bleachers for years.  When you go to Sarah Lawrence, I won't even be able to watch the game.	KAT	  When I go?	WALTER	 Oh, Christ.  Don't tell me you've changed your mind.  I already sent 'em a check.			10 Things I Hate About You 	hopeful
KAT	 For what?	CAMERON	  I didn't mean for you to get -- When Bianca asked me to find you a boyfriend, I had no idea it would turn out so -- ugly. I would never have  done anything to compromise your - - -					10 Things I Hate About You 	looking down
TEACHER	 Who can tell me at what point Lucentio admits his deception?	KAT	  Family emergency.	HALLWAY - DAY		BIANCA	 Let go!	10 Things I Hate About You 	to the teacher
BIANCA	 (continuing) I swear -- I didn't know about the money.  I didn't even know Joey was involved.  I would never intentionally hurt you, Kat.	MISS PERKY	  Do you care to respond?	KAT	 Am I supposed to feel better? Like, right now?  Or do I have some time to think about it?	MISS PERKY	 Just smack her now.	10 Things I Hate About You 	to Kat
MISS PERKY	 Just smack her now.	BIANCA	  We'll be getting back to you.	MISS PERKY	 What, no hug?	HALLWAY - DAY		10 Things I Hate About You 	to Miss Perky
