KUPKE	 Just everything. Don't sort it --	ANN SWIFT	 (on the phone) -- NONE, there are no police --	ZERO --				Argo 
HIM --	 J Stafford, keeping to himself.	KATHY STAFFORD	 (to J Stafford) You okay? ARGO - Final 23.	CORA LIJEK	 -- if your family's hungry, you don't want to hear about international law --	MARK LIJEK CORA LIJEK	 And she's off! Defending Not defending. Explaining. them again -- Stockholm	Argo 
(TOAST)	 To getting through ten weeks. To our guests.	LEE SCHATZ	 (raising his glass) Our hosts. Mr. Ambassador...	BOB ANDERS CORA LIJEK	 Hear, hear... And Mrs. But the liquid in their wine glasses is beginning to shake. The noise of a HELICOPTER. Taylor tries to be pleasant.	TAYLOR	 You should get into the crawl space.	Argo 
MARK LIJEK J STAFFORD	 You're putting us all at They're not going to come risk -- into the house. ARGO - Final 25.	LEE SCHATZ BOB ANDERS	 It's her choice. Leave her (angry) be. G'head. Put flowers in their gun barrels -- SAHAR, housekeeper, is visible here cleaning up after their meal.					Argo 
ANGLE - A SMALL HAND	 pieces shreds together to form the words: U.S. DEPARTMENT OF STATE -- TEHRAN -- CLASSIFIED. He is working on reassembling the seized EMBASSY PAPERS -- a giant pile of shredded documents -- with the skill of a blindfolded child Mozart at the harpsichord. We see the unmistakable image of a FACE being formed from the shredded material. (Footage from a Mike Wallace interview. 60 Minutes	11/18/79.)		KHOMEINI (V.O.)				Argo 
IAN	 Nine. 81 Mendez turns on his living room television to the three- 81 hour BATTLE FOR PLANET OF THE APES.	MENDEZ	 Catch me up. Tony listens, staring ahead at the TV . A desert landscape dotted with technological garbage. An ape played by Roddy MacDowell walks across the landscape. He's staring at the television, but now really paying attention. The apes walk into the ruins of what was once a great city. RODDY MacDOWELL (V.O.) (on TV, as Caesar) This is the hell my forefathers used to speak about. (Etc.)	ON TONY	 staring at the movie. Wheels turning in his head.			Argo 
(TO PENDER)	 John Chambers. He's a Hollywood prosthetics guy, ds contracting work for us on the side. If I go see him, he'll set us up. A couple days to make it look real. Mendez and O'Donnell turn their eyes on Pender, who is the decision-maker here.	PENDER	 (after a beat, to	MENDEZ)	 Remind me who you are again?			Argo 
ANOTHER ANGLE		SIEGEL	 Six people in the middle of a city of, what, four million -- ON TV, a wild-eyed woman in the crowd (in one of the most widely-played clips of the hostage crisis) makes an ax- falling gesture with her arm repeatedly. ARGO - Final 38.	SIEGEL	 -- who chant Death to America' all the livelong day. You wanna set up a picture in a week. Lie to a whole town of people who lie for a living. Have Double-O-Seven here sneak into a country that wants CIA blood with their breakfast cereal. Duck Iranian intelligence. Then walk the Brady Bunch out of the most watched city in the world...	MENDEZ	 ... and past a hundred Komiteh at the airport.	Argo 
SIEGEL	 Nobody makes Westerns anymore.	CHAMBERS	 (looking through it) It's ancient Troy.	SIEGEL	 If it's got horses in the title, it's a Western.	CHAMBERS	 (into the phone) Yeah, Kenny, please. It's John Chambers, about the office space.	Argo 
SIEGEL	 If it's got horses in the title, it's a Western.	CHAMBERS	 (into the phone) Yeah, Kenny, please. It's John Chambers, about the office space.	(THEN)	 It dsn't matter. It's a fake movie.	SIEGEL	 If I'm doing a fake movie, it's gonna be a fake hit.	Argo 
SIEGEL		(A BEAT)	 What can I say? Congratulations. (shrugs to Mendez) He's got me. A beat. Mendez ready to go --	SIEGEL	 But see -- it worries me, what you said, and I'll tell you why. A couple weeks back I was sitting in Trader Vic's enjoying a Mai Tai when my pal Warren Beatty came to wish me well and we had a little chat. Seems he was attached to star in Zulu Empire -- which was gonna anchor that MGM slate -- but Warren confided in me that the picture's gone over-budget cause the Zulu extras wanna unionize. ARGO - Final 43.	SIEGEL (CONT'D)	 They may be cannibals swallowing each other up but they want health and dental, so the movie's kaput -- which means that MGM deal ain't gonna happen and your script ain't worth the buffalo-shit on a nickel. So. Lester takes some documents out of a folder.	Argo 
SIEGEL	 You're divorced?	MENDEZ	 Taking time off. (then, quiet) He's gotta... stay where he is.	SIEGEL		(BEAT)	 Kids need the mother.	Argo 
PUBLICIST ASSISTANT #2	 Canadian Sci-Fi Gone With Studio Six Films. The Wind. As Chambers pulls Mendez --	SIEGEL	 (on the phone) I gotta get back to you, Phil. I can't get my own mother a ticket. I had to tell her it was cancelled.	MENDEZ	 Are you turning people away?	SIEGEL	 (covering the phone) You know what gets more suckers than a sign that says Brooklyn Bridge For Sale'? Brooklyn Bridge: Approved Buyers Only.' (as they go) Philip? You there? Chambers leads us into the main room, leading Tony to a table where JACK KIRBY, 62, comics artist, fusses with large COMIC PANELS of ARGO CONCEPT DRAWINGS spread over a table. Kirby starts to distribute storyboards. Some hold on to them and an ASSISTANT begins putting them up on the board. Mendez looks at them. Impressed. He picks up a drawing of some futuristic-looking vehicles.	Argo 
MENDEZ	 Are you turning people away?	SIEGEL	 (covering the phone) You know what gets more suckers than a sign that says Brooklyn Bridge For Sale'? Brooklyn Bridge: Approved Buyers Only.' (as they go) Philip? You there? Chambers leads us into the main room, leading Tony to a table where JACK KIRBY, 62, comics artist, fusses with large COMIC PANELS of ARGO CONCEPT DRAWINGS spread over a table. Kirby starts to distribute storyboards. Some hold on to them and an ASSISTANT begins putting them up on the board. Mendez looks at them. Impressed. He picks up a drawing of some futuristic-looking vehicles.	MENDEZ	 Any way to make the chariots look more -- Middle-Eastern -- ?	KIRBY	 Mesopotamia... Egypt...	Argo 
NINA	 I'm playing Serksi, the Galactic Witch.	PUBLICIST	 (to Mendez,	INTRODUCING)	 Rodd from Variety. Kevin Harkins.	SIEGEL	 Keep that fucking space witch away from me.	Argo 
DAY	 Tony and O'Donnell sit in the waiting area, across from a SECRETARY. They look down the hall to see: CIA DIRECTOR ADMIRAL STANSFIELD TURNER, 50s, and SECRETARY OF STATE CYRUS VANCE walk down the hall together, discussing something in hushed tones.	O'DONNELL	 (under his breath) Brace yourself. It's like talking to those two old fucks on The Muppets.' Vance and Turner enter the room without recognizing them. Mendez and O'Donnell stand up.					Argo 
RINGING)	 John Wayne's in the ground six months and this is what's left of America. ARGO - Final 58.	CHAMBERS	 (picking up the	PHONE)	 Studio Six.			Argo 
MARK LIJEK CORA LIJEK	 It dsn't matter. You did I did, actually. I saw go out. you.	BOB ANDERS	 (to Cora Lijek) Miss Hall Monitor. Creeping around with her notebook --	MARK LIJEK		(SOMETHING ROUSED)	 Don't talk to her that way.	Argo 
(SOMETHING ROUSED)	 Don't talk to her that way.	CORA LIJEK BOB ANDERS	 (to Mark) Little Laura Ingalls. I'll defend myself. Okay? Watching every move -- A sound at the door, and they go silent.	LEE SCHATZ	 Dad's home. Ken carrying his briefcase, cheerfully oblivious to what he's walked into.	TAYLOR	 You're getting a visitor.	Argo 
LIAISON	 The six with the Canadians are coming out. Jordan, brought back from Scranton and politics by this, opens the file and looks at it.	JORDAN	 (after a moment) Who signed off on this?					Argo 
O'DONNELL	 I can't tell you more than that cause I don't know any more.	PENDER	 (cutting to it) The Times and A.P. found out they're with the Canadians. Somebody in one of the families talked.	O'DONNELL	 Mother of God.	PENDER	 I just put Vance on a plane to take the editors to Le Cirque. He thinks he can get them to sit on it. For now.	Argo 
DANGER --		TAYLOR	 Pat and I discussed it. If they catch you at the airport, they come here and we go on trial for harboring the enemy. It's a risk we took. (after a moment) Can you pull this off?	MENDEZ	 I don't know.			Argo 
J STAFFORD	 That man out there, he's got bad cards, he's gonna lose. If he loses, it's our lives.	KATHY STAFFORD	 (after a beat) And his life too. Another beat. ANGLES ON the Houseguests.					Argo 
J STAFFORD	 I don't trust you.	BOB ANDERS	 (fed up, to J) What's the alternative? This is the ball game, J. What world are you living in?	J STAFFORD	 The one where they're hanging people from construction cranes, Bob. J takes Kathy's hand and gs, leaving Mendez with the others. After a moment --	MARK LIJEK		Argo 
PAT TAYLOR	 This one. She gives Bob Anders a Canadian maple leaf lapel pin, which he affixes to his shirt. Cora Lijek paints lighter hair dye onto her hair. The Houseguests are making subtle efforts to disguise themselves.	CORA LIJEK	 (at a mirror, quoting	INSTRUCTIONS)	 So don't be recognizable, but look exactly like your passport picture.	MARK LIJEK	 Not that picture. You won't want to scare them. A nervous smile. Trying to deal with anxiety. J and Kathy Stafford look to each other. Sitting reading newspapers while the other Houseguests prep for the scout. The PHONE starts ringing.	Argo 
MARK LIJEK	 Not that picture. You won't want to scare them. A nervous smile. Trying to deal with anxiety. J and Kathy Stafford look to each other. Sitting reading newspapers while the other Houseguests prep for the scout. The PHONE starts ringing.	PAT TAYLOR	 (answering the phone) Hello? A cloud comes over Pat as she listens.	PAT TAYLOR	 No, there's no one like that here. She hangs up the phone fast, as if it were hot to the touch.	BOB ANDERS	 Who was it? Pat shakes her head.	Argo 
BOB ANDERS	 No. ARGO - Final 82.	REZA	 (not happy with that) Mmmm. Mendez walking toward the back of the group. Lee, the cameraman, is looking through a viewfinder down the alley of the bazaar.	MENDEZ		(QUIET)	 Mike?	Argo 
(QUIET)	 Mike?	LEE SCHATZ	 (not looking up) Yeh.	MENDEZ	 If I said you were looking through the wrong end of that viewfinder, would I be right? Lee turns the viewfinder around and looks through it again.	LEE SCHATZ	 Yep.	Argo 
(IN ENGLISH)	 America NO!... NO! Then he speaks in Farsi and makes shooting gestures with his hand.	LEE SCHATZ	 (quiet, to Mendez) He's saying the Shah killed his son with an American gun. Cauldron heating up and --					Argo 
ON KATHY	 Her claustrophobia as the crowd closes in -- an ANGRY BAZAARI WOMAN sticks her finger in Kathy's face --	CORA LIJEK	 (to one of the women) Canada... Ca-na-da... ARGO - Final 85.	LEE SCHATZ	 (quiet; to Mendez) He says we're the CIA taking photographs to plan the bombing of the city.			Argo 
CORA LIJEK	 (to one of the women) Canada... Ca-na-da... ARGO - Final 85.	LEE SCHATZ	 (quiet; to Mendez) He says we're the CIA taking photographs to plan the bombing of the city.					Argo 
MENDEZ	 (to Cora Lijek) Last three Canadian prime minsters.	CORA LIJEK	 (an A student) Trudeau, Pearson, Diefenbaker. ARGO - Final 88.	MENDEZ	 Good. (to J Stafford) Your job on the film.	J STAFFORD	 Producer.	Argo 
CORA LIJEK	 (an A student) Trudeau, Pearson, Diefenbaker. ARGO - Final 88.	MENDEZ	 Good. (to J Stafford) Your job on the film.	J STAFFORD	 Producer.	MENDEZ	 Associate Producer. What's the name of the last film you worked on?	Argo 
MENDEZ	 They'll try to break you by getting you agitated. You need to know your résumé so well that you don't flinch.	J STAFFORD	 (nearly defeated,	LOOKING AWAY)	 You think your little story will matter when there's guns to our heads?	MENDEZ	 My story's the only thing between you and the gun to your head. A beat. Mendez puts the résumé back in front of Stafford. Kathy looks at her husband: he just isn't good at this. ARGO - Final 89.	Argo 
CORA LIJEK	 We're ready to try again.	MENDEZ	 (after a beat) I think the most important thing you can do to be ready for tomorrow is rest.					Argo 
SECRETARY	 He's in a meeting.	O'DONNELL	 Pull him out. (as she hesitates)	PULL HIM OUT!				Argo 
O'DONNELL (V.O.)	 Tehran Houseguest operation is ready NOW. We don't have the President's go-ahead. They are going to be captured. Jordan stands up with the phone.	JORDAN	 (yelling out his	DOOR)	 DAVID! Pick up! ARGO - Final 100.			Argo 
LAMONT	 Telex on Flash. The telex begins to print, line by line...	EYES ONLY -- OFFICE OF THE PRESIDENT OF THE UNITED STATES	 -- HOLLYWOOD OPTION APPROVED -- GOOD LUCK. ( Carter White House telex, 1/29/1980.)	O'DONNELL	 Copy D.S.! Confirm the tickets!	GO!		Argo 
MALINOV	 (to O'Donnell) Swissair says they've picked up the tickets.	O'DONNELL	 Get the L.A. office -- tell them to be ready in case they call. ARGO - Final 101.	MALINOV	 We told them to shut that down! He RUNS toward a phone --			Argo 
WHITE PILE)	 Nothing.	IMMIGRATION OFFICER	 (to Bob Anders) When did you say you arrived in Iran?	BOB ANDERS	 Two days ago.	IMMIGRATION OFFICER	 What was the purpose of your visit?	Argo 
LAMONT	 (holding the phone) Purser's telling Swissair they're not on the plane.	O'DONNELL	 They should have boarded already.	MALINOV	 (on another phone) Still no answer in L.A.			Argo 
O'DONNELL	 They should have boarded already.	MALINOV	 (on another phone) Still no answer in L.A.					Argo 
J STAFFORD		(FARSI)	 You see? (to Mendez; English) Kevin, where's your briefcase? A beat on Mendez. Who then opens his accordion folder and takes from it the ARGO STORYBOARDS. J Stafford spreads them out on the table. Three other Komiteh in the room lean forward, their AUTOMATIC WEAPONS at their sides, and look at the STORYBOARD DRAWINGS. The Persian Empire futurism of Jack Kirby's drawings.	J STAFFORD		(FARSI)	 These are the villains. Y'see these guys here? And these are the hers... in the spice market... J Stafford points at the various drawings. He speaks with an ease and confidence that we didn't know he had.	Argo 
THEN --		AZIZI	 (to J Stafford; in	ENGLISH)	 You don't go until we verify.	MENDEZ	 You can call our office. Mendez hands Azizi his card. STUDIO SIX FILMS. Kevin Harkins. A 213 (818 wasn't around yet) phone number.	Argo 
ENGLISH)	 You don't go until we verify.	MENDEZ	 You can call our office. Mendez hands Azizi his card. STUDIO SIX FILMS. Kevin Harkins. A 213 (818 wasn't around yet) phone number.					Argo 
O'DONNELL	 Involved in what? We're as surprised as anybody. Thank you, Canada. Jack raises a glass of Scotch and takes a drink.	324 ARCHIVE FOOTAGE 324	 A homemade sign that reads: THANK YOU CANADA! ( Homecoming ceremony for Houseguests 2/1980.) Hundreds are gathered to welcome the six back. ARGO - Final 117.	TED KOPPEL (V.O.)	 Finally, a sliver of really good news. AMERICA HELD HOSTAGE, DAY 87, BROADCAST (1/29/80).			Argo 
327 ARCHIVE FOOTAGE 327	 IRANIAN FOREIGN MINISTER SADEQ GHOTBZADEH speaks angrily into a microphone.	SADEQ GHOTBZADEH (V.O.)	 Sooner or later, here or anywhere in the world, Canada will pay for this violation of the sovereignty of Iran. ( News conference	1/29/80.)		328 MORE ARCHIVE FOOTAGE ( 1/30/1980) 328	 Of the State Department WELCOME HOME CEREMONY. Ambassador KEN TAYLOR is presented with a HUGE FLORAL BOUQUET. Cheering crowds all around him. ARGO - Final 118.	Argo 
328 MORE ARCHIVE FOOTAGE ( 1/30/1980) 328	 Of the State Department WELCOME HOME CEREMONY. Ambassador KEN TAYLOR is presented with a HUGE FLORAL BOUQUET. Cheering crowds all around him. ARGO - Final 118. 330 EXT. BY LESTER'S POOL - DAY 330 Siegel in a bathrobe, looking out over L.A., holding The New York Times in front of him: SIX U.S. DIPLOMATS, HIDDEN BY CANADA, LEAVE IRAN SAFELY. Next to that, an article about Ken Taylor: DIPLOMAT DIRECTED ESCAPE IN IRAN. (Front page, NYT 1/30/80.)	SIEGEL	 She said, Why couldn't we pull off something like that?' You know what I said to her?					Argo 
MENDEZ	 I thought we did. O'Donnell claps Tony on the shoulder. Tony walks towards the entrance and Jack heads to his car.	O'DONNELL	 (yelling to Tony; an	AFTERTHOUGHT)	 Carter said you were a great American. ARGO - Final 120.	MENDEZ		Argo 
