SHIRLEY	 Jack, isn't that Fred Bliffert over there in the blue turtleneck? Maybe he's on our flight to Chicago.	JACK	 Yeah, I think he is. (waves) Hey, Fred!	FRED	 (yelling) Hi, Jack!!!			Airplane 
DR. RUMACK	 Calm down. Calm down. Get hold of yourself!	SISTER ANGELINA	 (to Rumack) Doctor, you're wanted on the phone.	SISTER ANGELINA	 Everything will be all right. Please get hold of yourself.			Airplane 
AIR CONTROLLER #1	 (into phone) This guy doing the flying has no airline experience at all. He'll be a menace to himself and everything else in the air... (he pauses to listen) ...Yes, birds too. (into phone) Okay, okay. He's a terrible risk, but what other choice have we got?	KRAMER	 All right, Steve, let's face a few facts.	KRAMER	 As you know, I flew with this man, Striker, during the war. He'll have enough on his mind without remembering those days when -- well, when things weren't so good.			Airplane 
INSERT - NUMBER THREE ENGINE GAUGE		ELAINE	 (into microphone) Rain.	STRIKER	 And a little ice.	ELAINE	 And a little ice!	Airplane 
STRIKER	 Sluggish. Like a wet sponge.	ELAINE	 (into microphone) Sluggish. Like a wet sponge. (patronizing) All right, Striker, you're doing just fine.	STRIKER	 (to Elaine) It's a damn good thing he doesn't know how much I hate his guts.	ELAINE	 (into microphone) It's a damn good thing you don't know how much he hates your guts.	Airplane 
ELAINE	 (into microphone) Sluggish. Like a wet sponge. (patronizing) All right, Striker, you're doing just fine.	STRIKER	 (to Elaine) It's a damn good thing he doesn't know how much I hate his guts.	ELAINE	 (into microphone) It's a damn good thing you don't know how much he hates your guts.			Airplane 
STRIKER	 (to Elaine) It's a damn good thing he doesn't know how much I hate his guts.	ELAINE	 (into microphone) It's a damn good thing you don't know how much he hates your guts.					Airplane 
MRS. SCHIFF	 Shi gwine man chitlun down for mo sho.	BLACK DUDE	 (indignantly) Shi man I ain neba mo fo gwine ain.					Airplane 
MRS. SCHIFF	 Ooooh, such a nice soft drink. INT. CHICAGO DISPATCH - NIGHT (to Air Controller #2) Macias, get me Captain Oveur's wife on the phone. We'd better let her know what's going on.	AIR CONTROLLER #1	 Steve, this weather bulletin just came off the wire.	HINSHAW	 This? Why, I could make a hat or a broach...			Airplane 
MRS. OVEUR	 I've got to go to the airport. You can let yourself out the back door. There's juice in the refrigerator.	HORSE	 (sounding like Mr. Ed) Did you finish? Was I good?	MRS. OVEUR	 Oh, you're all so concerned about performance!			Airplane 
ELAINE	 Doctor Rumack says the sick people are getting worse and we're running out of time. (echoing) I've got to concentrate, concentrate, entrate, I've got to concentrate, oncentrate, oncentrate. (echoing) Hell, hello, ello, ello, ello, lo, lo. Echo, echo, echo, cho, cho, o, o, o, o, o. Pinch hitting for Pedro Bourbone, Manny Mota, Mota, Mota, Mota. EXT. AIRPLANE - NIGHT (hysterically) Ted, the altitude! We're falling, we're falling!	INSERT - GAUGE INDICATING DROPPING ALTITUDE						Airplane 
JACK	 (to Rumack) What's going on? We have a right to know the truth!	DR. RUMACK	 (to passengers) All right. I'm going to level with you. The most important thing now is that you should all be calm, because there's no reason to panic.	DR. RUMACK	 Now, it is true that one of the flight crew has been taken ill...slightly ill.	DR. RUMACK	 But the other two pilots are just fine and at the controls flying the plane.	Airplane 
KRAMER	 This is gonna be a real sweat. (into mike) Gunderson, let me know when you get anything.	HINSHAW	 Would you like half of my provolone and roast beef?	AIR CONTROLLER #1	 (to McCroskey) Steve, these reporters won't leave without a statement.			Airplane 
HINSHAW	 Would you like half of my provolone and roast beef?	AIR CONTROLLER #1	 (to McCroskey) Steve, these reporters won't leave without a statement.	REPORTER #1	 How much longer can the sick passengers hold out?	REPORTER #2	 Who's flying the plane?	Airplane 
HINSHAW	 What are the chances of returning something to Montgomery Ward the week after Christmas?	REPORTER #1	 (beckoning to door) All right, boys. Let's get some pictures.	NEWSPAPERS		CLASSIC MONTAGE OF:		Airplane 
MRS. HAMMEN	 (hysterically) He's dead. He's dead!	JACK	 No, I'm not dead.					Airplane 
DR. RUMACK	 And the last thing he said to me, "Doc," he said, "Sometime when the crew is up against it and the breaks are beating the boys, tell them to go out there with all they've got and win just one for the Zipper. I don't know where I'll be then, Doc," he said, "but I won't smell too good. That's for sure."	STRIKER	 (rejuvinated) Excuse me, Doc, I've got a plane to land.					Airplane 
AIR CONTROLLER #2	 Chief, look at this!	KRAMER	 (reading) 'Passengers Certain to Die?!?!?!?!?!'	HINSHAW	 (looking at newspaper) There's a sale at Penny's!	KRAMER	 (to men in Dispatch) All right, I'll need three men up in the tower. (pointing) You, Neubauer. You, Macias.	Airplane 
KRAMER	 (reading) 'Passengers Certain to Die?!?!?!?!?!'	HINSHAW	 (looking at newspaper) There's a sale at Penny's!	KRAMER	 (to men in Dispatch) All right, I'll need three men up in the tower. (pointing) You, Neubauer. You, Macias.	HINSHAW	 Me John. Big tree.	Airplane 
HINSHAW	 (looking at newspaper) There's a sale at Penny's!	KRAMER	 (to men in Dispatch) All right, I'll need three men up in the tower. (pointing) You, Neubauer. You, Macias.	HINSHAW	 Me John. Big tree.	HINSHAW	 Wagon train comes three, maybe four day away.	Airplane 
HINSHAW	 Wagon train comes three, maybe four day away.	KRAMER	 (into microphone) Stand by, Striker. I'm going to the tower. And good luck. (into phone) We're going to the tower.	HINSHAW	 (excitedly) The tower! Oh! Rapunzel! Rapunzel!			Airplane 
KRAMER	 (into microphone) Stand by, Striker. I'm going to the tower. And good luck. (into phone) We're going to the tower.	HINSHAW	 (excitedly) The tower! Oh! Rapunzel! Rapunzel!					Airplane 
HINSHAW	 And the foliage looks so pretty this time of year.	KRAMER	 (into mike) Striker, you're going to have to work fast. After this message, do not acknowledge any transmission unless you want to ask a question. Do you understand? Striker, Striker, do you read me?					Airplane 
MRS. OVEUR	 That isn't much of a chance, is it?	HINSHAW	 (appalled) Where did you get that dress? It's an eye- sore!					Airplane 
STRIKER	 I'll take it, Elaine. (into mike) Listen, Kramer, I'm coming in. Do you hear me? I'm coming in right now! We have people up here who will die in less than an hour, never mind two. I may bend your precious airplane, but I'll get it down! Now get on with the landing check. I'm putting the gear down now.	RANDY	 Mr. Striker, the passengers are ready.	STRIKER	 Thank you, Randy. You better leave sweetheart. You might get hurt in here.			Airplane 
STRIKER	 Tell them the gear is down and we're ready to land.	ELAINE	 (into mike) The gear is down.					Airplane 
KRAMER	 And stick it in your ear.	HINSHAW	 (a la Frogsy, the Gremlin) I'll be good, I will, I will.					Airplane 
DR. RUMACK	 I just wanted to tell you both good luck. We're all counting on you.	STRIKER	 (into microphone) Yeah, we're okay.					Airplane 
