ELIZABETH	 Have you voted yet, Mr Crawford?	ARTIST	 (proudly dabbing palette) Yes, Ma'am. I was there when they opened. First in line. Seven o'clock.	COMMENTARY		ARTIST	 And I don't mind telling you, it wasn't for Mr Blair.	Queen, The 
TONY	 To share in the grief?	ELIZABETH	 It's a family funeral, Mr. Blair. Not a fairground attraction. (a beat) I think the Princess has already paid a high enough price for exposure to the press, don't you?	ELIZABETH (CONT'D)	 Now, if there is nothing else I must get on. The children have to be looked after.	TONY	 Of course.	Queen, The 
TONY	 I... (a diplomatic smile) I think that would present us with difficulties. C	HARLES	 So do I. My mother.. (corrects himself) ...the Queen, comes from a generation not best equipped to... (tailing off) ...she grew up in the war... (a beat) I think what we need, what the COUNTRY needs is to be led by someone.."of today". If you follow? (a beat) Balmoral is.. (he gestures, `another world')					Queen, The 
TONY	 "I want to set an ambitious course to modernise this country. To breathe new life into our institutions. To make privilege something for the many, not the few. So that we become nothing less than a beacon to the world..." A	LASTAIR	 Bloody hell! You think the Royals are nutters! You should meet their flunkeys! Two and a half-hours on whether she should be carried in a hearse or a gun-carriage. (taps head, "Nuts") Anyway, raves in the press.	ALASTAIR	 This lot call you "The Nation's Mourner in Chief", this lot say you're "The only person who has correctly judged the mood of the country". Even the "Mail".. (disdainfully holding the paper between finger and thumb) ..was impressed.	LASTAIR	 "People's Princess", mate. You owe me.	Queen, The 
LASTAIR	 Bloody hell! You think the Royals are nutters! You should meet their flunkeys! Two and a half-hours on whether she should be carried in a hearse or a gun-carriage. (taps head, "Nuts") Anyway, raves in the press.	ALASTAIR	 This lot call you "The Nation's Mourner in Chief", this lot say you're "The only person who has correctly judged the mood of the country". Even the "Mail".. (disdainfully holding the paper between finger and thumb) ..was impressed.	LASTAIR	 "People's Princess", mate. You owe me.	AIDE	 Gordon for you.	Queen, The 
ELIZABETH	 nd what form will it take?	JANVRIN	 At the moment, they're suggesting.. (clears throat) And of course these are early days..	JANVRIN (CONT'D)	 ...basing it on Tay Bridge.	QUEEN MOTHER	 Tay Bridge..?	Queen, The 
QUEEN MOTHER	 B-but that's the code name for my funeral?    J	ANVRIN	 ndeed, Ma'am. (a beat) But it would be for practical reasons only.	ANVRIN	 It's the only one which has been.. (treads delicately) ..`rehearsed'. The only one that could be put together..in time.	QUEEN MOTHER	 But I supervised those plans myself.	Queen, The 
ELIZABETH	 I see..	JANVRIN	 And that instead of foreign Heads of State and Crown heads of Europe, the guests would include a sprinkling of actors of stage and screen, fashion designers and other.. (clears throat) ...celebrities..	QUEEN MOTHER	 Celebrities..?	ELIZABETH	 Oh.	Queen, The 
JANVRIN	 Oh, yes. One other thing. The Police Commissioner was keen that you consider the idea of a condolence book. (a beat) It would give the growing crowds something to do. Make marshalling them easier.	ELIZABETH	 (distracted) Yes, of course..	JANVRIN	 Oh, and the flowers.	ELIZABETH	 W hat flowers?	Queen, The 
TONY	 Not at all.	AMPORT	 He feels you and he...are modern men...of similar mind... (a beat) ...who could work well together at this difficult time.	TONY	 Well, please thank his Highness, and assure him that he can count on my full support. At all times. (a beat) Was that it?	LAMPORT	 Yes.	Queen, The 
AMPORT	 He feels you and he...are modern men...of similar mind... (a beat) ...who could work well together at this difficult time.	TONY	 Well, please thank his Highness, and assure him that he can count on my full support. At all times. (a beat) Was that it?	LAMPORT	 Yes.	TONY (CONT'D)	 Bizarre. Why is Charles doing this?	Queen, The 
ELIZABETH	 Not `us', dear.	CHARLES	 (not having heard) What?	CHARLES	 Yesterday, when we drove the coffin back into London, there was a noise. A bang. I don't mind telling you I thought it was a gun.	CHARLES (CONT'D)	 I thought someone had taken a shot at me. E	Queen, The 
CHARLES	 Are you sure?	ELIZABETH	 Yes. It looks like rain.. (the DOGS jump out) And I'm not in the mood for stalking anyway.	ELIZABETH	 Wait! My shoe-lace is undone. You don't want me to trip and hurt myself, do you? a beat) You wouldn't get any proper walks then.	ELIZABETH	 Right. Done. Now who knows the way home?	Queen, The 
IANA (ON TV)	 ..I think..they see me as a threat of some kind..	PRINCE PHILIP	 (puckers face) Oh, for God's sake..	ELIZABETH	 Maybe he's got a point. Maybe we are partly to blame.	PRINCE PHILIP	 I can't watch this.	Queen, The 
DIANA (ON TV)	 "And I think it's this strength that causes the confusion and the fear."	PRINCE PHILIP	 And I was sure he'd give the other one up. Or, at least make sure his wife towed the line. (a gesture) Isn't that what everyone does?	ELIZABETH	 Is it?	DIANA (ON TV)	 "Why is she strong? Where is she getting it from? Where is she going to take it? How is she going to use it?"	Queen, The 
DIANA (ON TV)	 "Why is she strong? Where is she getting it from? Where is she going to take it? How is she going to use it?"	PRINCE PHILIP (CONT'D)	 I can't bear it any more. If you're watching, I'll sleep in here. Early start tomorrow.. (kisses her on the forehead) See you in the morning.					Queen, The 
CHERIE	 A bunch of freeloading, emotionally retarded...nutters.	TONY	 (rolls eyes) That's just absurd.	CHERIE	 Why? They exist in a ludicrous cocoon of privilege and wealth. They don't pay tax.	TONY	 Yes, they do.	Queen, The 
TONY	 ...or about ways in which we as a Government could begin to phase out hereditary privileges, then fine.	HERIE	 (indicating plates) If you're going, take the dishes..	TONY	 But spare me the whole.."off with their heads" thing.	CHERIE	 Why?	Queen, The 
TONY	 Because it insults your intelligence.	CHERIE	 "The case for reform is simple and obvious. It is in principle wrong and absurd that people should wield power on the basis of birth, not merit or election." (a beat) YOUR words, not mine.	TONY	 Well, maybe now I've grown up. a beat) It's unimaginable this country being a republic. Certainly in her lifetime.	CHERIE	 Why?	Queen, The 
CHERIE	 Why?	TONY	 Because...no would would wear it. (can't help laughing at the idea) No one WANTS it. (gestures) It's just...daft.	HERIE	 It's not a mother thing, is it?	CHERIE	 Think about it. If she were still alive, wouldn't Hazel be exactly the same age? Whenever you talk about your mother, you mention her stoicism. Her frugality. Her sense of duty. The fact she was brought up in the way. Well c'mon..?	Queen, The 
HERIE	 It's not a mother thing, is it?	CHERIE	 Think about it. If she were still alive, wouldn't Hazel be exactly the same age? Whenever you talk about your mother, you mention her stoicism. Her frugality. Her sense of duty. The fact she was brought up in the way. Well c'mon..?					Queen, The 
ELIZABETH	 The flag above Buckingham Palace. He thinks it should be flying at half- mast.	RINCE PHILIP	 Then I hope Robin told him there ISN'T a flag above Buckingham Palace... (angrily jabs coals with a long, sharp fork) ...only the Royal Standard, which flies for one reason only.	PRINCE PHILIP(CONT'D)	 To denote the presence of the Monarch. Since you're here, the flag pole is bare. Which is as it should be.	CHARLES	 Isn't it possible..that to some people...the Royal Standard is just.. ..a flag? And that the flap pole being bare sends out the wrong signal.	Queen, The 
ELIZABETH	 "What about the Union Jack?", was Mr. Blair's next suggestion.	UEEN MOTHER	 (rolling eyes) Oh, for heaven's sake.	PRINCE PHILIP	 The next thing he'll be suggesting you change your name to Hilda and mine to Hector? ( angry gesture) Who does he think he's talking to? You're the Sovereign. The Head of State. You don't get dictated to. a beat) You've conceded the idea of a public funeral. You've opened up the parks. That's ENOUGH.			Queen, The 
ELIZABETH	 Like those condolence books.	PRINCE PHILIP	 Quite right. (a defiant snort) When we started with one, everyone predicted they would grow and grow. But we've heard nothing more about that, see?	CHARLES	 Apparently there are now fifteen.	ELIZABETH	 What..?	Queen, The 
NT. BALMORAL CASTLE - CHARLES'S QUARTERS - DAY		HARLES	 In one sense its comforting. a beat) For the first time my parents can see what it's been like for me all these years, being up against her popularity. (a beat) But they're still making the mistake of thinking the Diana they knew from living and dealing with her, will eventually be the one seen by the public. But it's not. The two Dianas, theirs and ours, bear no relation to one another at all.	CHARLES (CONT'D)	 They just adored her. Would have loved nothing more than for her to be Queen. a beat) Someone compassionate. With a heart. Gifts in tragically short supply around here.	CHARLES	 I've been thinking is the flag flying at half mast over my house at Highgrove?	Queen, The 
HERIE	 Apparently, one in six people now support the idea of getting rid of the Monarchy.	TONY	 (irritated gesture) That's just the papers spoiling for a fight.	CHERIE	 But still, imagine this country without them? With a nice elected Head of State? a beat) That'd be some legacy. If the revolution were to happen on your watch.			Queen, The 
SECRETARY	 It proves, the Royals are not like us", the Mirror. "Time to change the Old Guard at Buckingham Palace". Express.	JANVRIN	 (heart sinks) God..	SECRETARY	 "One can't help wondering who's advice they are taking for it's clearly the wrong advice..."	JANVRIN	 Right...	Queen, The 
TONY	 Later. INT. BALMORAL CASTLE - QUEEN'S STUDY - LATE AFTERNOON (never sits in her presence).. J	ANVRIN	 ..and finally, Ma'am, a DSO medal. A Corporal, in Kosovo..you may have read about it in the papers..pulled two civilians from a bus after a bomb blast.					Queen, The 
JANVRIN	 Ma'am, apparently the Prime Minister is on the phone for you.	RINCE PHILIP	 (snaps) Tell him to call back.	ELIZABETH	 No, I'd better take it.	ELIZABETH	 Prime Minister?	Queen, The 
TONY	 Under normal circumstances I would agree, but..P	RINCE PHILIP	 (under his breath) Here we go! The bloody flag again..!	TONY	 ..my advisers have been taking the temperature among people on the streets - and the information I'm getting is that the mood.. (choosing words carefully) ...is quite delicate.	PRINCE PHILIP	 (under his breath) Of course. That's where all the ruddy cameras are.	Queen, The 
RINCE PHILIP	 (under his breath) Here we go! The bloody flag again..!	TONY	 ..my advisers have been taking the temperature among people on the streets - and the information I'm getting is that the mood.. (choosing words carefully) ...is quite delicate.	PRINCE PHILIP	 (under his breath) Of course. That's where all the ruddy cameras are.	ELIZABETH	 So what would you suggest, Prime Minister? Some kind of statement?	Queen, The 
TONY	 ..my advisers have been taking the temperature among people on the streets - and the information I'm getting is that the mood.. (choosing words carefully) ...is quite delicate.	PRINCE PHILIP	 (under his breath) Of course. That's where all the ruddy cameras are.	ELIZABETH	 So what would you suggest, Prime Minister? Some kind of statement?	TONY	 No, Ma'am. I believe the moment for statements has passed.	Queen, The 
RINCE PHILIP	 Absurd..   E	ELIZABETH	 I doubt there are many who know the British more than I do, Mr. Blair, nor who has greater faith in their wisdom and judgement. And it is my belief that they will soon reject this `mood' which has been stirred up by the press...in favour of a period of restrained grief, and sober, private mourning. a beat) That's the way we do things in this country. Quietly. With dignity. (a beat) It's what the rest of the world has always admired us for.	TONY	 Well, if that's your decision, Ma'am, of course the government will support it.	TONY(CONT'D)	 (a beat) Let's keep in touch.	Queen, The 
TONY	 Well, if that's your decision, Ma'am, of course the government will support it.	TONY(CONT'D)	 (a beat) Let's keep in touch.	ELIZABETH	 Yes. could hardly be less enthusiastic) Let's.	PRINCE PHILIP	 Bloody fool.	Queen, The 
JANVRIN	 Prime Minister, I understand how `difficult' her behaviour must seem to you..how `unhelpful'..but try to see it from her perspective.. (searches for right words) She's been brought up to believe its God's will that she is who she is.	TONY	 I think we should leave God out of it. It's just not helpful.	JANVRIN	 She won't have seen anything like this since the Abdication. a beat)			Queen, The 
ELIZABETH	 How are the boys?	PRINCE PHILIP	 Not so good tonight. A lot of slamming doors. (a beat) I think they saw the papers.	ELIZABETH	 Oh, no..	PRINCE PHILIP	 I'll take them out early again tomorrow morning.	Queen, The 
ELIZABETH	 No.	PRINCE PHILIP	 I suggest you keep it that way. A chorus line of soap stars and homosexuals. (a beat)	PRINCE PHILIP(CONT'D)	 Apparently Elton John is going to be singing.	PRINCE PHILIP	 That'll be a first for Westminster Abbey.	Queen, The 
ALASTAIR	 (takes another paper) T he Sun - "Where is our Queen? Where is her flag?" takes another paper) The Express, "Show us you care", with a picture of a grumpy Queen. (takes another paper) The Mail - "Let the Flag Fly at half- mast", and inside, "The Queen should be here to show her respects."	LASTAIR	 Blimey! But the flip-side is... "Blair more popular than Churchill shock."	TONY	 Did any of them pick up on our statement of support?			Queen, The 
NEWS READER (ON T.V.)	 We are just getting some pictures now from Balmoral. These are rather historic shots. Clearly the Queen has responded to criticism that the Royal Family is not engaged.. T TONY looks up. Breathes a sigh of relief..	TONY	 (to himself) Thank God for that.	CHERIE (CONT'D)	 It's fish-fingers. Want any?	TONY	 Be right there.	Queen, The 
CAMPBELL	 Here's your box. There's some ( important policy unit stuff on top. a beat) And you've seen the papers?	TONY	 (snaps, irritated) I'm the Prime Minister. Of course I've seen the papers.	LASTAIR	 (in comic voice) "Your Maj? Come down to London." "Who says so?" "Tony Blair."	ALASTAIR	 "Mr. Father of the Nation."	Queen, The 
TONY	 (snaps, irritated) I'm the Prime Minister. Of course I've seen the papers.	LASTAIR	 (in comic voice) "Your Maj? Come down to London." "Who says so?" "Tony Blair."	ALASTAIR	 "Mr. Father of the Nation."			Queen, The 
PRINCE PHILIP	 (jaw drops) Good God..	NT. DOWNING STREET - ALASTAIR'S OFFICE - SAME TIME						Queen, The 
LITTLE GIRL	 They're for you.	ELIZABETH	 (visibly shocked) For me..?					Queen, The 
ELIZABETH	 I see.	FLOOR MANAGER	 (calling out) Ten seconds, everyone..	DIRECTOR (CONT'D)	 Five, four..	ELIZABETH	 Since last Saturday's dreadful news we have seen, throughout Britain and the world, an overwhelming expression of sadness at Diana's death..	Queen, The 
CHERIE	 "Heart"? What "heart". She doesn't mean a word of this.	TONY	 That's not the point. What she's doing is extraordinary. (points to the TV) That's how you survive.	CHERIE	 Listen to you! A week ago you were the great moderniser, making speeches about the "People's Princess", now you've gone weak at the knees.	CHERIE	 I don't know why I'm surprised. In the end, all Labour Prime Ministers go ga- ga for her Maj.	Queen, The 
ELIZABETH (CONT'D)	 ..thank God for someone who made many, many people happy.	DIRECTOR	 (calls out) And we're out..! D	IRECTOR (CONT'D)	 Thank you, your Majesty.			Queen, The 
JANVRIN	 Prime Minister.	TONY	 (his most winning smile) Tony, please..					Queen, The 
TONY	 Well, perhaps that's where I can help.	ELIZABETH	 (with a twinkle as they set off) Don't get ahead of yourself Prime- minister, I think you'll find that I'm supposed to be advising YOU!					Queen, The 
