ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
1ST GIRL	 (Making noises) Ugh, he kissed me, he kissed me.	TEACHER	 (Off screen) That's the second time this month!  Step up here!	ALVY	 What'd I do?	TEACHER	 Step up here!	Annie Hall 
TEACHER	 You should be ashamed of yourself.	ALVY (AS ADULT)	 (First off screen, then onscreen as camera moves over to the back of the classroom) Why, I was just expressing a healthy sexual curiosity.	TEACHER	 (The younger, Alvy standing next to her) Six-year-old boys don't have girls on their minds.	ALVY (AS ADULT)	 (Still sitting in the back of the classroom) I did.	Annie Hall 
ALVY (AS ADULT)	 (First off screen, then onscreen as camera moves over to the back of the classroom) Why, I was just expressing a healthy sexual curiosity.	TEACHER	 (The younger, Alvy standing next to her) Six-year-old boys don't have girls on their minds.	ALVY (AS ADULT)	 (Still sitting in the back of the classroom) I did.	1ST GIRL	 For God's sakes, Alvy, even Freud speaks of a latency period.	Annie Hall 
TEACHER	 (The younger, Alvy standing next to her) Six-year-old boys don't have girls on their minds.	ALVY (AS ADULT)	 (Still sitting in the back of the classroom) I did.	1ST GIRL	 For God's sakes, Alvy, even Freud speaks of a latency period.	ALVY (AS ADULT)	 (Gesturing) Well, I never had a latency period.  I can't help it.	Annie Hall 
1ST GIRL	 For God's sakes, Alvy, even Freud speaks of a latency period.	ALVY (AS ADULT)	 (Gesturing) Well, I never had a latency period.  I can't help it.	TEACHER	 (With young, Alvy still at her side) Why couldn't you have been more like Donald? (The camera pans over to Donald, sitting up tall in his seat, then back to the teacher) Now, there was a model boy!	ALVY (AS CHILD)	 (Still standing next to the teacher) Tell the folks where you are today, Donald.	Annie Hall 
ALVY (AS ADULT)	 (Gesturing) Well, I never had a latency period.  I can't help it.	TEACHER	 (With young, Alvy still at her side) Why couldn't you have been more like Donald? (The camera pans over to Donald, sitting up tall in his seat, then back to the teacher) Now, there was a model boy!	ALVY (AS CHILD)	 (Still standing next to the teacher) Tell the folks where you are today, Donald.	DONALD	 I run a profitable dress company.	Annie Hall 
TEACHER	 (With young, Alvy still at her side) Why couldn't you have been more like Donald? (The camera pans over to Donald, sitting up tall in his seat, then back to the teacher) Now, there was a model boy!	ALVY (AS CHILD)	 (Still standing next to the teacher) Tell the folks where you are today, Donald.	DONALD	 I run a profitable dress company.	ALVY'S VOICE	 Right.  Sometimes I wonder where my classmates are today.	Annie Hall 
ALVY	 No, I cannot.  You keep bringing it up, but I don't wanna live in a city where the only cultural advantage is that you can make a right turn on a red light.	ROB	 (Checking his watch) Right, Max, forget it.  Aren't you gonna be late for meeting Annie?	ALVY	 I'm gonna meet her in front of the Beekman. I think I have a few minutes left.  Right?			Annie Hall 
1ST MAN	 Hey, you on television?	ALVY	 (Nodding his head) No. Yeah, once in a while.  You know, like occasionally.	1ST MAN	 What's your name?	ALVY	 (Clearing his throat) You wouldn't know it.  It doesn't matter. What's the difference?	Annie Hall 
1ST MAN	 What's your name?	ALVY	 (Nervously) I'm ... I'm, uh, I'm Robert Redford.	1ST MAN	 (Laughing) Come on.	ALVY	 Alvy Singer. It was nice nice ... Thanks very much ... for everything.	Annie Hall 
ALVY	 (Nervously) I'm ... I'm, uh, I'm Robert Redford.	1ST MAN	 (Laughing) Come on.	ALVY	 Alvy Singer. It was nice nice ... Thanks very much ... for everything.	1ST MAN	 Hey!	Annie Hall 
1ST MAN	 Hey!	2ND MAN	 (Off screen) What?	1ST MAN	 This is Alvy Singer!	ALVY	 Fellas ... you know-Jesus!  Come on!	Annie Hall 
ALVY	 Fellas ... you know-Jesus!  Come on!	1ST MAN	 (Overlapping, ignoring Alvy) This guy's on television!  Alvy Singer, right?  Am I right?	ALVY	 (Overlapping 1st man) Gimme a break, will yuh, gimme a break. Jesus Christ!	1ST MAN	 (Still ignoring Alvy's protestations) This guy's on television.	Annie Hall 
1ST MAN	 (Overlapping, ignoring Alvy) This guy's on television!  Alvy Singer, right?  Am I right?	ALVY	 (Overlapping 1st man) Gimme a break, will yuh, gimme a break. Jesus Christ!	1ST MAN	 (Still ignoring Alvy's protestations) This guy's on television.	ALVY	 I need a large polo mallet!	Annie Hall 
ALVY	 (Overlapping 1st man) Gimme a break, will yuh, gimme a break. Jesus Christ!	1ST MAN	 (Still ignoring Alvy's protestations) This guy's on television.	ALVY	 I need a large polo mallet!	2ND MAN	 (Moving into the screen) Who's on television?	Annie Hall 
ALVY	 I need a large polo mallet!	2ND MAN	 (Moving into the screen) Who's on television?	1ST MAN	 This guy, on the Johnny Carson show.	ALVY	 (Annoyed) Fellas, what is this-a meeting o' the teamsters?  You know.. .	Annie Hall 
1ST MAN	 This guy, on the Johnny Carson show.	ALVY	 (Annoyed) Fellas, what is this-a meeting o' the teamsters?  You know.. .	2ND MAN	 (Also ignoring Alvy) What program?	1ST MAN	 (Holding out a matchbook) Can I have your autograph?	Annie Hall 
ALVY	 (Annoyed) Fellas, what is this-a meeting o' the teamsters?  You know.. .	2ND MAN	 (Also ignoring Alvy) What program?	1ST MAN	 (Holding out a matchbook) Can I have your autograph?	ALVY	 You don't want my autograph.	Annie Hall 
2ND MAN	 (Also ignoring Alvy) What program?	1ST MAN	 (Holding out a matchbook) Can I have your autograph?	ALVY	 You don't want my autograph.	1ST MAN	 (Overlapping, Alvy's  speech) Yeah, I do.  It's for my girl friend. Make it out to Ralph.	Annie Hall 
ALVY	 You don't want my autograph.	1ST MAN	 (Overlapping, Alvy's  speech) Yeah, I do.  It's for my girl friend. Make it out to Ralph.	ALVY	 (Taking the matchbook and pen and writing) Your girl friend's name is Ralph?	1ST MAN	 It's for my brudder. (To passersby) Alvy Singer!  Hey!  This is Alvy-	Annie Hall 
1ST MAN	 (Overlapping, Alvy's  speech) Yeah, I do.  It's for my girl friend. Make it out to Ralph.	ALVY	 (Taking the matchbook and pen and writing) Your girl friend's name is Ralph?	1ST MAN	 It's for my brudder. (To passersby) Alvy Singer!  Hey!  This is Alvy-	2ND MAN	 (To Alvy, overlapping 1st man's speech) You really Alvy Singer, the ... the TV star?	Annie Hall 
ALVY	 (Taking the matchbook and pen and writing) Your girl friend's name is Ralph?	1ST MAN	 It's for my brudder. (To passersby) Alvy Singer!  Hey!  This is Alvy-	2ND MAN	 (To Alvy, overlapping 1st man's speech) You really Alvy Singer, the ... the TV star?	1ST MAN	 -Singer!	Annie Hall 
1ST MAN	 It's for my brudder. (To passersby) Alvy Singer!  Hey!  This is Alvy-	2ND MAN	 (To Alvy, overlapping 1st man's speech) You really Alvy Singer, the ... the TV star?	1ST MAN	 -Singer!	2ND MAN	 Alvy Singer over here!	Annie Hall 
2ND MAN	 Alvy Singer over here!	ALVY	 (Overlapping the two men and stuttering) I-i-i-i-it's all right, fellas. (As Alvy opens the cab door, the two men still behind him, Annie gets out) Jesus, what'd you do, come by way of the Panama Canal?	ANNIE	 (Overlapping Alvy) Alright, alright, I'm in a bad mood, okay?	ALVY	 Bad mood?  I'm standing with the cast of "The Godfather."	Annie Hall 
ALVY	 (Overlapping the two men and stuttering) I-i-i-i-it's all right, fellas. (As Alvy opens the cab door, the two men still behind him, Annie gets out) Jesus, what'd you do, come by way of the Panama Canal?	ANNIE	 (Overlapping Alvy) Alright, alright, I'm in a bad mood, okay?	ALVY	 Bad mood?  I'm standing with the cast of "The Godfather."	ANNIE	 You're gonna hafta learn to deal with it.	Annie Hall 
ALVY	 Deal!  I'm dealing with two guys named Cheech!	ANNIE	 Okay. (They move into the ticket line, still talking.  A billboard next to them reads "INGMAR BERGMAN'S 'FACE	TO FACE ,'LIV ULLMANN")	 Please, I have a headache, all right?	ALVY	 Hey, you are in a bad mood.  You-you- you must be getting your period.	Annie Hall 
ANNIE	 I'm not getting my period.  Jesus, every time anything out of the ordinary happens, you think that I'm getting my period!	ALVY	 (Gesturing) A li-little louder.  I think one of them may have missed it! (To the ticket clerk) H'm, has the picture started yet?	TICKET CLERK	 It started two minutes ago.	ALVY	 (Hitting his hand on the counter) That's it!  Forget it!  I-I can't go in.	Annie Hall 
TICKET CLERK	 It started two minutes ago.	ALVY	 (Hitting his hand on the counter) That's it!  Forget it!  I-I can't go in.	ANNIE	 Two minutes, Alvy.	ALVY	 (Overlapping Annie) No, I'm sorry, I can't do it.  We-we've blown it already. I-you know, uh, I-I can't go in in the middle.	Annie Hall 
ANNIE	 Two minutes, Alvy.	ALVY	 (Overlapping Annie) No, I'm sorry, I can't do it.  We-we've blown it already. I-you know, uh, I-I can't go in in the middle.	ANNIE	 In the middle? (Alvy nods his head yes and let's out an exasperated sigh) We'll only miss the titles.  They're in Swedish.	ALVY	 You wanna get coffee for two hours or something?  We'll go next-	Annie Hall 
ALVY	 (Overlapping Annie) No, I'm sorry, I can't do it.  We-we've blown it already. I-you know, uh, I-I can't go in in the middle.	ANNIE	 In the middle? (Alvy nods his head yes and let's out an exasperated sigh) We'll only miss the titles.  They're in Swedish.	ALVY	 You wanna get coffee for two hours or something?  We'll go next-	ANNIE	 Two hours?  No, u-uh, I'm going in. I'm going in.	Annie Hall 
ANNIE	 Two hours?  No, u-uh, I'm going in. I'm going in.	ALVY	 (Waving to Annie) Go ahead.  Good-bye.	ANNIE	 Look, while we're talking we could be inside, you know that?	ALVY	 (Watching people with tickets move past them) Hey, can we not stand here and argue in front of everybody, 'cause I get embarrassed.	Annie Hall 
ANNIE	 Look, while we're talking we could be inside, you know that?	ALVY	 (Watching people with tickets move past them) Hey, can we not stand here and argue in front of everybody, 'cause I get embarrassed.	ANNIE	 Alright.  All right, all right, so whatta you wanna do?	ALVY	 I don't know now.  You-you wanna go to another movie? (Annie nods her head and shrugs her shoulders disgustedly as Alvy, gesturing with his band, looks at her) So let's go see The Sorrow and the Pity.	Annie Hall 
ANNIE	 Alright.  All right, all right, so whatta you wanna do?	ALVY	 I don't know now.  You-you wanna go to another movie? (Annie nods her head and shrugs her shoulders disgustedly as Alvy, gesturing with his band, looks at her) So let's go see The Sorrow and the Pity.	ANNIE	 Oh, come on, we've seen it.  I'm not in the mood to see a four-hour documentary on Nazis.	ALVY	 Well, I'm sorry, I-I can't ... I-I-I've gotta see a picture exactly from the start to the finish, 'cause-'cause I'm anal.	Annie Hall 
ALVY	 Well, I'm sorry, I-I can't ... I-I-I've gotta see a picture exactly from the start to the finish, 'cause-'cause I'm anal.	ANNIE	 (Laughing now) H'h, that's a polite word for what you are.					Annie Hall 
MAN IN LINE	 (Loudly to his companion right behind Alvy and Annie) We saw the Fellini film last Tuesday. It is not one of his best.  It lacks a cohesive structure.  You know, you get the feeling that he's not absolutely sure what it is he wants to say.  'Course, I've always felt he was essentially a-a technical film maker.  Granted, La Strada was a great film.  Great in its use of negative energy more than anything else.  But that simple cohesive core ...	ALVY	 (Overlapping the man's speech) I'm-I'm-I'm gonna have a stroke.	ANNIE	 (Reading) Well, stop listening to him.	MAN IN LINE	 (Overlapping Alvy and Annie) You know, it must need to have had its leading from one thought to another. You know what I'm talking about?	Annie Hall 
ALVY	 (Overlapping the man's speech) I'm-I'm-I'm gonna have a stroke.	ANNIE	 (Reading) Well, stop listening to him.	MAN IN LINE	 (Overlapping Alvy and Annie) You know, it must need to have had its leading from one thought to another. You know what I'm talking about?	ALVY	 (Sighing) He's screaming his opinions in my ear.	Annie Hall 
ANNIE	 (Reading) Well, stop listening to him.	MAN IN LINE	 (Overlapping Alvy and Annie) You know, it must need to have had its leading from one thought to another. You know what I'm talking about?	ALVY	 (Sighing) He's screaming his opinions in my ear.	MAN IN LINE	 Like all that Juliet of the Spirits or Satyricon, I found it incredibly ... indulgent.  You know, he really is.  He's one of the most indulgent film makers.  He really is-	Annie Hall 
MAN IN LINE	 (Overlapping Alvy and Annie) You know, it must need to have had its leading from one thought to another. You know what I'm talking about?	ALVY	 (Sighing) He's screaming his opinions in my ear.	MAN IN LINE	 Like all that Juliet of the Spirits or Satyricon, I found it incredibly ... indulgent.  You know, he really is.  He's one of the most indulgent film makers.  He really is-	ALVY	 (Overlapping) Key word here is "indulgent."	Annie Hall 
MAN IN LINE	 Like all that Juliet of the Spirits or Satyricon, I found it incredibly ... indulgent.  You know, he really is.  He's one of the most indulgent film makers.  He really is-	ALVY	 (Overlapping) Key word here is "indulgent."	MAN IN LINE	 (Overlapping) -without getting ... well, let's put it this way ...	ALVY	 (To Annie, who is still reading, overlapping the man in line who is still talking) What are you depressed about?	Annie Hall 
ALVY	 (Overlapping) Key word here is "indulgent."	MAN IN LINE	 (Overlapping) -without getting ... well, let's put it this way ...	ALVY	 (To Annie, who is still reading, overlapping the man in line who is still talking) What are you depressed about?	ANNIE	 I missed my therapy.  I overslept.	Annie Hall 
MAN IN LINE	 (Overlapping) -without getting ... well, let's put it this way ...	ALVY	 (To Annie, who is still reading, overlapping the man in line who is still talking) What are you depressed about?	ANNIE	 I missed my therapy.  I overslept.	ALVY	 How can you possibly oversleep?	Annie Hall 
ANNIE	 The alarm clock.	ALVY	 (Gasping) You know what a hostile gesture that is to me?	ANNIE	 I know-because of our sexual problem, right?	ALVY	 Hey, you ... everybody in line at the New Yorker has to know our rate of intercourse?	Annie Hall 
MAN IN LINE	 - It's like Samuel Beckett, you know- I admire the technique but he doesn't ... he doesn't hit me on a gut level.	ALVY	 (To Annie) I'd like to hit this guy on a gut level.	ANNIE	 Stop it, Alvy!	ALVY	 (Wringing his hands) Well, he's spitting on my neck!  You know, he's spitting on my neck when he talks.	Annie Hall 
ANNIE	 Stop it, Alvy!	ALVY	 (Wringing his hands) Well, he's spitting on my neck!  You know, he's spitting on my neck when he talks.	MAN IN LINE	 And then, the most important thing of all is a comedian's vision.	ANNIE	 And you know something else?  You know, you're so egocentric that if I miss my therapy you can think of it in terms of how it affects you!	Annie Hall 
ANNIE	 And you know something else?  You know, you're so egocentric that if I miss my therapy you can think of it in terms of how it affects you!	MAN IN LINE	 (Lighting a cigarette while he talks) Gal gun-shy is what it is.	ALVY	 (Reacting again to the man in line) Probably on their first date, right?	MAN IN LINE	 (Still going on) It's a narrow view.	Annie Hall 
MAN IN LINE	 (Lighting a cigarette while he talks) Gal gun-shy is what it is.	ALVY	 (Reacting again to the man in line) Probably on their first date, right?	MAN IN LINE	 (Still going on) It's a narrow view.	ALVY	 Probably met by answering an ad in the New York Review of Books.  "Thirtyish academic wishes to meet woman who's interested in Mozart, James Joyce and sodomy." (He sighs; then to Annie) Whatta you mean, our sexual problem?	Annie Hall 
ALVY	 (Reacting again to the man in line) Probably on their first date, right?	MAN IN LINE	 (Still going on) It's a narrow view.	ALVY	 Probably met by answering an ad in the New York Review of Books.  "Thirtyish academic wishes to meet woman who's interested in Mozart, James Joyce and sodomy." (He sighs; then to Annie) Whatta you mean, our sexual problem?	ANNIE	 Oh!	Annie Hall 
MAN IN LINE	 (Still going on) It's a narrow view.	ALVY	 Probably met by answering an ad in the New York Review of Books.  "Thirtyish academic wishes to meet woman who's interested in Mozart, James Joyce and sodomy." (He sighs; then to Annie) Whatta you mean, our sexual problem?	ANNIE	 Oh!	ALVY	 I-I-I mean, I'm comparatively normal for a guy raised in Brooklyn.	Annie Hall 
ALVY	 I never read that.  That was-that was Henry James, right?  Novel, uh, the sequel to Turn of the Screw?  My Sexual ...	MAN IN LINE	 (Even louder now) It's the influence of television.  Yeah, now Marshall McLuhan deals with it in terms of it being a-a high, uh, high intensity, you understand?  A hot medium ... as opposed to a ...	ALVY	 (More and more aggravated) What I wouldn't give for a large sock o' horse manure.	MAN IN LINE	 ... as opposed to a print ...	Annie Hall 
MAN IN LINE	 (Even louder now) It's the influence of television.  Yeah, now Marshall McLuhan deals with it in terms of it being a-a high, uh, high intensity, you understand?  A hot medium ... as opposed to a ...	ALVY	 (More and more aggravated) What I wouldn't give for a large sock o' horse manure.	MAN IN LINE	 ... as opposed to a print ...	ALVY	 (Sighing and addressing the audience) What do you do when you get stuck in a movie line with a guy like this behind you?  I mean, it's just maddening!	Annie Hall 
MAN IN LINE	 ... as opposed to a print ...	ALVY	 (Sighing and addressing the audience) What do you do when you get stuck in a movie line with a guy like this behind you?  I mean, it's just maddening!	MAN IN LINE	 Wait a minute, why can't I give my opinion? It's a free country!	ALVY	 I mean, d- He can give you- Do you hafta give it so loud?  I mean, aren't you ashamed to pontificate like that?  And-and the funny part of it is, M-Marshall McLuhan, you don't know anything about Marshall McLuhan's...work!	Annie Hall 
ALVY	 I mean, d- He can give you- Do you hafta give it so loud?  I mean, aren't you ashamed to pontificate like that?  And-and the funny part of it is, M-Marshall McLuhan, you don't know anything about Marshall McLuhan's...work!	MAN IN LINE	 (Overlapping) Wait a minute!  Really?  Really?  I happen to teach a class at Columbia called "TV Media and Culture"!  So I think that my insights into Mr. McLuhan-well, have a great deal of validity.	ALVY	 Oh, do yuh?	MAN IN LINE	 Yes.	Annie Hall 
MAN IN LINE	 Oh.	ALVY	 (To McLuban) Tell him.	MCLUHAN	 (To the man in line) I hear-I heard what you were saying. You-you know nothing of my work.  You mean my whole fallacy is wrong.  How you ever got to teach a course in anything is totally amazing.	ALVY	 (To the camera) Boy, if life were only like this!	Annie Hall 
ALVY	 (To McLuban) Tell him.	MCLUHAN	 (To the man in line) I hear-I heard what you were saying. You-you know nothing of my work.  You mean my whole fallacy is wrong.  How you ever got to teach a course in anything is totally amazing.	ALVY	 (To the camera) Boy, if life were only like this!			Annie Hall 
MCLUHAN	 (To the man in line) I hear-I heard what you were saying. You-you know nothing of my work.  You mean my whole fallacy is wrong.  How you ever got to teach a course in anything is totally amazing.	ALVY	 (To the camera) Boy, if life were only like this!					Annie Hall 
MARCEL OPHULS, ANDRE HARRIS, 1969	 Chronicle of a French town during the Occupation	NARRATOR'S VOICE	 (Over credits and soldiers) June fourteenth, nineteen forty, the German army occupies Paris.  All over the country, people are desperate for every available scrap of news.					Annie Hall 
ALVY	 (Off screen) Boy, those guys in the French Resistance were really brave, you know?  Got to listen to Maurice Chevalier sing so much.	ANNIE	 M'm, I don't know, sometimes I ask myself how I'd stand up under torture.	ALVY	 (Off screen) You?  You kiddin'? (He moves into the frame, lying across the bed to touch, Annie, who makes a face) If the Gestapo would take away your Bloomingdale's charge card, you'd tell 'em everything.			Annie Hall 
ANNIE	 M'm, I don't know, sometimes I ask myself how I'd stand up under torture.	ALVY	 (Off screen) You?  You kiddin'? (He moves into the frame, lying across the bed to touch, Annie, who makes a face) If the Gestapo would take away your Bloomingdale's charge card, you'd tell 'em everything.	ANNIE	 That movie makes me feel guilty.	ALVY	 Yeah, 'cause it's supposed to.	Annie Hall 
ANNIE	 I-you know, I don't wanna.	ALVY	 (Overlapping Annie, reacting) What-what-I don't ... It's not natural! We're sleeping in a bed together.  You know, it's been a long time.	ANNIE	 I know, well, it's just that-you know, I mean, I-I-I-I gotta sing tomorrow night, so I have to rest my voice.	ALVY	 (Overlapping Annie again) It's always some kind of an excuse.  It's- You know, you used to think that I was very sexy.  What ... When we first started going out, we had sex constantly ... We're- we're probably listed in the Guinness Book of World Records.	Annie Hall 
ANNIE	 I know, well, it's just that-you know, I mean, I-I-I-I gotta sing tomorrow night, so I have to rest my voice.	ALVY	 (Overlapping Annie again) It's always some kind of an excuse.  It's- You know, you used to think that I was very sexy.  What ... When we first started going out, we had sex constantly ... We're- we're probably listed in the Guinness Book of World Records.	ANNIE	 (Patting Alvy's band solicitously) I know.  Well, Alvy, it'll pass, it'll pass, it's just that I'm going through a phase, that's all.	ALVY	 M'm.	Annie Hall 
ALVY	 (Overlapping Annie again) It's always some kind of an excuse.  It's- You know, you used to think that I was very sexy.  What ... When we first started going out, we had sex constantly ... We're- we're probably listed in the Guinness Book of World Records.	ANNIE	 (Patting Alvy's band solicitously) I know.  Well, Alvy, it'll pass, it'll pass, it's just that I'm going through a phase, that's all.	ALVY	 M'm.	ANNIE	 I mean, you've been married before, you know how things can get.  You were very hot for Allison at first.	Annie Hall 
ALLISON	 (Looking down at the clipboard) Ma'am, you're on right after this man ... about twenty minutes, something like that.	WOMAN	 Oh, thank you.	ALVY	 (Coughing) Excuse ... excuse me, when do I go on?			Annie Hall 
WOMAN	 Oh, thank you.	ALVY	 (Coughing) Excuse ... excuse me, when do I go on?	ALLISON	 (Looking down at the clipboard) Who are you?	ALVY	 Alvy ... Alvy Singer.  I'm a comedian.	Annie Hall 
ALVY	 (Coughing) Excuse ... excuse me, when do I go on?	ALLISON	 (Looking down at the clipboard) Who are you?	ALVY	 Alvy ... Alvy Singer.  I'm a comedian.	ALLISON	 Oh, comedian.  Yes.  Oh, uh ... you're on next.	Annie Hall 
ALLISON	 Oh, comedian.  Yes.  Oh, uh ... you're on next.	ALVY	 (Rubbing his hands together nervously) What do you mean, next?	ALLISON	 (Laughing) Uh ... I mean you're on right after this act.	ALVY	 (Gesturing) No, it can't be, because he's a comic.	Annie Hall 
ALVY	 (Rubbing his hands together nervously) What do you mean, next?	ALLISON	 (Laughing) Uh ... I mean you're on right after this act.	ALVY	 (Gesturing) No, it can't be, because he's a comic.	ALLISON	 Yes.	Annie Hall 
ALLISON	 (Laughing) Uh ... I mean you're on right after this act.	ALVY	 (Gesturing) No, it can't be, because he's a comic.	ALLISON	 Yes.	ALVY	 So what are you telling me, you're putting on two comics in a row?	Annie Hall 
ALLISON	 It's okay.	ALVY	 No, because they're-they're laughing, so (He starts laughing nervously) I-I-I'd rather not.  If you don't mind, I prefer-	ALLISON	 (Overlapping) Will you relax, please?  They're gonna love you, I know.	ALVY	 (Overlapping) I prefer not to, because ... look, they're laughing at him.  See, so what are yuh telling me-	Annie Hall 
ALVY	 No, because they're-they're laughing, so (He starts laughing nervously) I-I-I'd rather not.  If you don't mind, I prefer-	ALLISON	 (Overlapping) Will you relax, please?  They're gonna love you, I know.	ALVY	 (Overlapping) I prefer not to, because ... look, they're laughing at him.  See, so what are yuh telling me-	ALLISON	 (Overlapping) Yes.	Annie Hall 
