CORBETT	 (to LeMalle) No shooting.  Let's see who's so interested in us.	MITCHELL	 (to Corbett) Ain't worth it, Ben...					Arctic Blue 
33   CONTINUED:		NEFF	 (on phone) Fairbanks Alascom?  Patch me through to the State Police.	WILDER	 (on phone) This is Sam Wilder, Marshal in Devil's Cauldron.  Had some killings here.  I got a suspect; be real nice if someone came and took him off my hands.	STATE POLICEMAN (VO)	 (thru phone) On a good day I couldn't spare a crosswalk guard.  But now, no way.  Folks're batshit with the weather turning sour.  Bring him in yourself.	Arctic Blue 
NEFF	 (on phone) Fairbanks Alascom?  Patch me through to the State Police.	WILDER	 (on phone) This is Sam Wilder, Marshal in Devil's Cauldron.  Had some killings here.  I got a suspect; be real nice if someone came and took him off my hands.	STATE POLICEMAN (VO)	 (thru phone) On a good day I couldn't spare a crosswalk guard.  But now, no way.  Folks're batshit with the weather turning sour.  Bring him in yourself.	WILDER	 (on phone) Next plane's not coming 'til next Monday.	Arctic Blue 
WILDER	 (on phone) This is Sam Wilder, Marshal in Devil's Cauldron.  Had some killings here.  I got a suspect; be real nice if someone came and took him off my hands.	STATE POLICEMAN (VO)	 (thru phone) On a good day I couldn't spare a crosswalk guard.  But now, no way.  Folks're batshit with the weather turning sour.  Bring him in yourself.	WILDER	 (on phone) Next plane's not coming 'til next Monday.	STATE POLICEMAN (VO)	 (thru phone) Sit your suspect out in the cold. He'll keep.	Arctic Blue 
STATE POLICEMAN (VO)	 (thru phone) On a good day I couldn't spare a crosswalk guard.  But now, no way.  Folks're batshit with the weather turning sour.  Bring him in yourself.	WILDER	 (on phone) Next plane's not coming 'til next Monday.	STATE POLICEMAN (VO)	 (thru phone) Sit your suspect out in the cold. He'll keep.	WILDER	 (on phone) This man's friends ain't gonna look favorably on his incarceration.	Arctic Blue 
WILDER	 (on phone) Next plane's not coming 'til next Monday.	STATE POLICEMAN (VO)	 (thru phone) Sit your suspect out in the cold. He'll keep.	WILDER	 (on phone) This man's friends ain't gonna look favorably on his incarceration.	STATE POLICEMAN (VO)	 (thru phone; Mr. Glib) So shoot him.  Won't have to feed him that way --	Arctic Blue 
STATE POLICEMAN (VO)	 (thru phone) Sit your suspect out in the cold. He'll keep.	WILDER	 (on phone) This man's friends ain't gonna look favorably on his incarceration.	STATE POLICEMAN (VO)	 (thru phone; Mr. Glib) So shoot him.  Won't have to feed him that way --			Arctic Blue 
WILDER	 (on phone) This man's friends ain't gonna look favorably on his incarceration.	STATE POLICEMAN (VO)	 (thru phone; Mr. Glib) So shoot him.  Won't have to feed him that way --					Arctic Blue 
WILDER	 If that was all, fine.  But carving him up, stranding the others, that's too fucking much. Is everything that walks, crawls, flies or swims fair game to you?	CORBETT	 (softly) I'll get loose before that plane comes.	WILDER	 Don't try me.  I'll kill you if it comes to it.			Arctic Blue 
NEFF	 Mr. Desmond! (grins; sticks his hand out) Arthur Neff.  Area rep for the Federal Assistance Plan.  Tell the boys in DC to keep those goodies coming.	ERIC	 Sure.	NEFF	 Snowplow, generator, TV dish... hell, we get the goddamn Playboy Channel!  Here, this is for you.			Arctic Blue 
35   CONTINUED:		NEFF	 (continuing)					Arctic Blue 
ANNE MARIE	 Going after killers isn't the same as chasing poachers, Eric.	ERIC	 (grins) Can't help myself.  Corbett's type always pisses me off. (hands her the package) Oh, I found this at the post office.  Had your name on it.	(CONTINUED)		37   CONTINUED:		Arctic Blue 
ANNE MARIE	 I'll wear it for you.  And I can wear it when we go home.  We won't be here forever.	ERIC	 (frowning) You make it sound like a prison sentence.	ANNE MARIE	 That's not what I meant.	ERIC	 It's exactly what you meant.	Arctic Blue 
ERIC	 -- Permanently?	ANNE MARIE	 (sighs) Do I want to be with you permanently?  Yes, I think I do. But be with what you do and the way you live?  That I don't know. C'mon, Eric, until I met you, coming back to Alaska was totally (slips her arms around him) I love you. (kisses him) So shut up and let's eat.					Arctic Blue 
42   CONTINUED:		WILDER	 (continuing) You stupid, greedy, loudmouth sonofabitch!  He'll have the others here in a few hours.  You fucked me up, now you're gonna help me move him.	KENAI	 (shakes head) Forget it, Sam.  I never work for free.			Arctic Blue 
WILDER	 (continuing) You stupid, greedy, loudmouth sonofabitch!  He'll have the others here in a few hours.  You fucked me up, now you're gonna help me move him.	KENAI	 (shakes head) Forget it, Sam.  I never work for free.					Arctic Blue 
ANNE MARIE	 I still can't believe I'm being financed by an oil company. Especially when they get a look at these pictures.  Technology in the wilderness; not too pretty. (re ELTs) What's that?	ERIC	 I thought I should check our emergency transmitters.	ERIC	 (continuing) Avalanche season is coming.			Arctic Blue 
43   CONTINUED:		ANNE MARIE	 Winter.  Two straight months of night -- we may never get out of bed. (kisses him) Which would suit me fine.	ERIC	 Prolonged darkness makes people crazy.	ANNE MARIE	 Not me.  I'm equipped.	Arctic Blue 
WILDER	 (to Eric) ...You give us a ride in the Cessna you got hangared at the pumping station, we'll be in Fairbanks in a few hours.	ERIC	 That's what we should've done in the first place.	WILDER	 I could've sat tight for the transport, 'til Bob came poking around.			Arctic Blue 
WILDER	 I could've sat tight for the transport, 'til Bob came poking around.	CORBETT	 (to Wilder; re Anne Marie) A lot to ask, dragging him away from such a good-looking girl --	ERIC	 (irritated) -- To take you to jail?  It'll be my pleasure.	WILDER	 (to Eric) You better get some sleep.	Arctic Blue 
CORBETT	 (to Wilder; re Anne Marie) A lot to ask, dragging him away from such a good-looking girl --	ERIC	 (irritated) -- To take you to jail?  It'll be my pleasure.	WILDER	 (to Eric) You better get some sleep.	CORBETT	 Good idea.  Flying over mountains can give you some nasty surprises.  Go too low, one of the clouds might have a big rock inside it.	Arctic Blue 
ERIC	 (irritated) -- To take you to jail?  It'll be my pleasure.	WILDER	 (to Eric) You better get some sleep.	CORBETT	 Good idea.  Flying over mountains can give you some nasty surprises.  Go too low, one of the clouds might have a big rock inside it.	(CONTINUED)		Arctic Blue 
48   CONTINUED:		ERIC	 (hard) I'll get you there all right.					Arctic Blue 
WILDER	 (thickly) Fetch him back? (Eric nods) Don't let him walk...	(CONTINUED)		53   CONTINUED:				Arctic Blue 
53   CONTINUED:		CORBETT	 (softly) Does he have people?	ERIC	 (after a beat) A daughter in Oregon.	CORBETT	 Send him down to her.  There's money in my duffel bag, back at his cabin.	Arctic Blue 
CORBETT	 (softly) Does he have people?	ERIC	 (after a beat) A daughter in Oregon.	CORBETT	 Send him down to her.  There's money in my duffel bag, back at his cabin.	ERIC	 I better call in.	Arctic Blue 
CORBETT	 Surviving is what I know --	ERIC	 -- Killing is what you know. (to Anne Marie) Pack some food while I prep for the flight. (off her look) I'm sure not gonna let him go.					Arctic Blue 
MITCHELL	 (to Viking Bob) ...Ben never sent a signal.	VIKING BOB	 Musta never got a chance to -more-	(CONTINUED)				Arctic Blue 
VIKING BOB	 Closest planes for hire are here in Cache.	MITCHELL	 Hang on... (to LeMalle) Remember that Cessna we saw at the pumping station on the Haul Road?  Belongs to the guy they got patrolling the pipeline.	LEMALLE	 There you go.  Wilder's always chummy with the fuckin' Bambi-lovers.	VIKING BOB	 It's a long shot.	Arctic Blue 
CORBETT	 How long have you been up north?	ANNE MARIE	 (after a beat) Six months.	CORBETT	 Can't be.  Too keen a sense of this place in your pictures.	(CONTINUED)		Arctic Blue 
ANNE MARIE	 Oh.	CORBETT	 Had some good years.  Met her in '66.  She showed up one day in Coldfoot.  No one knew her.  One Sunday morning, she marched into a bar and announced she was available as a wife to the highest bidder.  Didn't work out in three months, she'd return the money and leave, no hard feelings. (off Anne Marie's amazed look) My bid was eight thousand dollars.  Beautiful girl.	ANNE MARIE	 How did she..?	CORBETT	 I was gone, in September, laying traplines.  She went to our cache for some meat.  Got mauled by a bear.  Tore open her skull. -more-	Arctic Blue 
58   CONTINUED:  (2)		CORBETT	 (continuing) What about you -- why come back? Classy girl like you seems more suited to the finer things.	ANNE MARIE	 That's why I left, moved to Washington.  When I met Eric I was doing day shoots -- products and fashion, mostly.  Pretty dull.  Eric was teaching college, and then he got the job with Northland Oil.  We wanted to stay together, so we talked them into funding some wilderness photography... and here I am.			Arctic Blue 
ANNE MARIE	 I don't want to talk any more.	CORBETT	 Wasn't my intention to hurt Wilder.  I'm telling you the truth.  I liked the man.  I only meant to get loose... to survive. Your cheechako boyfriend better understand that. (beat) Listen, I've got some money put away --	(CONTINUED)		58   CONTINUED:  (3)		Arctic Blue 
ERIC (OS)	 -- Cheechako?	ANNE MARIE	 (translating) Outsider.	ERIC	 (to Corbett) Let's go.	ANNE MARIE	 Wait a second.	Arctic Blue 
ANNE MARIE	 (translating) Outsider.	ERIC	 (to Corbett) Let's go.	ANNE MARIE	 Wait a second.			Arctic Blue 
ANNE MARIE	 Maybe you should drive him into Devil's Cauldron, let them decide what to do with him.	ERIC	 (reassuringly) Fairbanks is a three-hour flight. I'll be back by dinnertime.	ERIC	 (continuing) Be careful, okay?	ANNE MARIE	 That's my line.	Arctic Blue 
ERIC	 Sounds like professional jealousy.	CORBETT	 Hunting and trapping was a damn fine life. (beat) Me and Mitchell, Bob and LeMalle, we were teams.  I'd always go with Mitchell.  Good man, Mitchell.  I'd let Bob worry about goddamn LeMalle.  We'd hire a plane in October.  On the way to a dirt airstrip somewhere, we'd drop supplies.  We'd land, tell the pilot to come back for us a few days before Christmas.	CORBETT	 The idea was to get to the supplies before the bears did. Along the route we'd set our traps.  Made our year's living in three months.	CORBETT	 (continuing) Lot of times we didn't even have a landing strip.  We'd set down on a plateau, like that one there.  Yeah, that one's easy; you could glide right in...	Arctic Blue 
94   CONTINUED:  (2)		CORBETT	 (re Eric's ankle) I'm not gonna carry you out of here.	ERIC	 That's right.  You're not.	CORBETT	 Look, take these cuffs off.  We need to work together.	Arctic Blue 
CORBETT	 Still quite a hike to Devil's Cauldron. (beat) Days.  A long stretch to go without sleep, my friend.  You can hide behind that pistol for now, but take your eyes off me long enough to sneeze --	ERIC	 -- Turn around.	FADE TO:				Arctic Blue 
ERIC	 I've been on ice like this when I was a kid, skating.  Spread your weight, keep moving.  Go on.	CORBETT	 (gestures 'you first') Be my guest.	ERIC	 (points .357) I'm right behind you.	(CONTINUED)		Arctic Blue 
CORBETT	 (gestures 'you first') Be my guest.	ERIC	 (points .357) I'm right behind you.	(CONTINUED)		102  CONTINUED:		Arctic Blue 
CORBETT	 Let's camp.  There's grayling under this ice. I'll snare some for dinner.	ERIC	 (standing) We've got another two hours of daylight.	CORBETT	 Pushing it is flat wrong.  All you prove is your ignorance about breaking trail.			Arctic Blue 
ANNE MARIE	 Sam?  We haven't seen him.	MEYERLING	 Really.  I thought maybe that was his snowmobile outside. (beat) By the way -- your truck also 'on the fritz?'	ANNE MARIE	 (blanching) Why?	MEYERLING	 It's out by the pumping station, shot full of holes.	Arctic Blue 
MEYERLING	 Really.  I thought maybe that was his snowmobile outside. (beat) By the way -- your truck also 'on the fritz?'	ANNE MARIE	 (blanching) Why?	MEYERLING	 It's out by the pumping station, shot full of holes.	MEYERLING	 (continuing) Still nothing to tell me? (no reply) Suit yourself.	Arctic Blue 
ERIC	 Forget it.  It would take days.	CORBETT	 (assessing the drop) Going to be a bit of a challenge with handcuffs on.	(CONTINUED)		106  CONTINUED:		Arctic Blue 
LOGGER	 We should pass a hat.  Send Corbett a few bucks.  We owe him.	MINER #1	 Government and business.  They ruined this state. (re Meyerling poster) Like that little weasel, for instance.	WOMAN CAT DRIVER	 'People's Friend,' my lily-white -more-	(CONTINUED)		Arctic Blue 
VIKING BOB	 Okay, let's backtrack, try to pick up his trail.  You know the kid out on the pipeline that Wilder's buddies with?	MITCHELL	 (smiles) We were just talking about him.					Arctic Blue 
CORBETT	 (shouts over WIND) Just gather birch.  It'll smoke like hell, but it'll burn green.	(CONTINUED)		111  CONTINUED:				Arctic Blue 
ERIC	 I just want this over with.	CORBETT	 (laughs) Where in hell Meyerling dig you up?	ERIC	 You know Meyerling?	CORBETT	 Sure.  The People's Friend.  Kiss your ass with precision if there's a vote in it.	Arctic Blue 
114  CONTINUED:		RADIO (VO)	 (continuing) ...John Byers was hospitalized in Fairbanks today for an infection in an abscessed tooth.  Mr. Byers had a toothache and attempted to remove the tooth himself with a pair of pliers...					Arctic Blue 
CORBETT	 There's a cabin, maybe twenty miles south of here.	ERIC	 (kneels to adjust his ankle wrap) Too bad we're heading west.	CORBETT	 There's a snowmobile. Inside a day we could be on the Yukon.  I got money there.  Remember that five thousand?  Make it ten.  Be smart.  Take it and walk away.	ERIC	 (bristling) You don't get it, do you?	Arctic Blue 
CORBETT	 There's a snowmobile. Inside a day we could be on the Yukon.  I got money there.  Remember that five thousand?  Make it ten.  Be smart.  Take it and walk away.	ERIC	 (bristling) You don't get it, do you?	(CONTINUED)		117  CONTINUED:		Arctic Blue 
117  CONTINUED:		ERIC	 (continuing) Stop!	CORBETT	 Nothing personal.  Just wanted to see what you'd do.	CORBETT	 (continuing) Have to get these wet things off.	Arctic Blue 
ERIC	 Stay awake!  You want to go hypothermic?	CORBETT	 If that means freeze my balls off, no thanks. (yawns) I'll be okay.	CORBETT	 (continuing) Told you I'm fine!	ERIC	 (holds up three fingers) How many do you see?	Arctic Blue 
CORBETT	 (continuing) Told you I'm fine!	ERIC	 (holds up three fingers) How many do you see?	CORBETT	 (irritable) What?!  Fuck off.  Save yourself.	ERIC	 You don't feel cold?	Arctic Blue 
ERIC	 (holds up three fingers) How many do you see?	CORBETT	 (irritable) What?!  Fuck off.  Save yourself.	ERIC	 You don't feel cold?	CORBETT	 It's a spring day...	Arctic Blue 
119  CONTINUED:  (2)		ERIC	 How?  Nobody this far north monitors that frequency until avalanche season. (beat) Besides, I'm surprised a tough guy like you uses fancy electronics.	CORBETT	 I'm surprised a flat-ender like you knows cold-weather remedies.	ERIC		Arctic Blue 
127  CONTINUED:		VIKING BOB	 Somebody left in a big hurry. (to LeMalle) Check outside.					Arctic Blue 
ERIC	 Nome?  I figure you'd be a whaler, coming from there.	CORBETT	 Told that's what our old man was. Planned on going to sea, me and Bob, 'til I read Jack London. Started trapping when I was ten. Mailed the furs to Sears.  Eight bucks for a skunk, three for a muskrat. (off Eric's look) That was fine money.	ERIC	 Killing wildlife not good enough anymore, so you go on to bigger and better things.	CORBETT	 You got a knack for seeing things the way you want to see them.	Arctic Blue 
ERIC	 Yeah, it is fucked up -- but it's not too late to keep that from happening here.	CORBETT	 (temper flaring) All you do is keep folks from working the land, living like they're meant to.  You don't understand shit!  Trappers, hunters -- we're part of the environment.  Who's protecting us? (sourly) I've seen plenty like you.  So -more-	(CONTINUED)		134  CONTINUED:  (2)		Arctic Blue 
CORBETT	 Didn't mean it, you being a coward.  You're a lot of things,	ERIC	 Maybe...maybe not.  I'll tell you what scares me -- stumbling through life, like an ordinary jerk.  That's why I want to work on the front lines, where what I do means something. (beat) Soon as I got here, I realized my job was bullshit.  Oil company propaganda.  I was ready to leave, then I thought screw it, I'll outsmart them, do the work anyway. (beat) I don't know anymore.  Maybe I am fooling myself.  That's what I'm afraid of most of all.	CORBETT	 Hell, I still get a knot in my gut every season, wondering how much longer I can go on.  No 'Home for Retired Trappers' that -more-	(CONTINUED)		Arctic Blue 
139  CONTINUED:  (2)		CORBETT	 (continuing; softly) My wife used to go to chapel on Sundays.  See her friends, 'cause I was away so much. (beat) Should've been home that day. She'd be getting dressed right about now...					Arctic Blue 
LEMALLE	 I ain't gonna leave a seven- hundred-dollar Remington behind.	VIKING BOB	 (exasperated) What you gonna do with it?  Large bore's for shit on small game.	LEMALLE	 Not in the right hands it ain't.	(CONTINUED)		Arctic Blue 
140  CONTINUED:		LEMALLE	 (continuing) Thought that door was open last night...	VIKING BOB	 Quit fucking around.  Get in.			Arctic Blue 
ERIC	 -- I'm putting him on the plane to Fairbanks, eleven tomorrow.	NEFF	 Jiminy Christmas. (beat) What do you want from me?	ERIC	 Corbett ruined my two-way.  Go to my place on the Haul Road, tell Anne Marie I'm okay and to sit tight.	(CONTINUED)		Arctic Blue 
NEFF	 Why the smirk?	KENAI	 Bet I could make some money turning Ben Corbett in.  Maybe more for lettin' him loose. (off Neff's flustered look) I was up in my cache.  Saw the Northland man come talk to you.	NEFF	 You're out of your greedy goddamn mind.	KENAI	 Corbett coming here stinks of trouble.  We should make the best of it before it turns around and bites us in the ass.	Arctic Blue 
ERIC	 You broke the radio, remember?	CORBETT	 (smiles) I'm sure she's fine.  Seemed like a clever kid.	CORBETT	 (continuing) You were real resourceful out there.  Got me thinking of this perimeter man, froze all his fingers one winter.  So he hacked the tips off and sharpened the exposed bones.  Gets along better than ever.  Yeah, maybe I underestimated you.	ERIC	 I liked you better frozen.  You didn't talk so much.	Arctic Blue 
NEFF	 (explaining) He saw you and Corbett come in...	KENAI	 Dixie's waiting at the infirmary. She'll put a splint on that injured leg.	NEFF	 Don't let him fool you.  Real reason he's here is to buy Corbett's traps.			Arctic Blue 
NEFF	 Don't let him fool you.  Real reason he's here is to buy Corbett's traps.	ERIC	 (to Kenai) Okay.  You can talk to him.  But I'll keep the keys with me.					Arctic Blue 
NEFF	 (apologetically) Look, Ben, we don't want any trouble.  The kid's got the key, and besides, he looks edgy enough to use that magnum he's carrying.	CORBETT	 Relax.  I'll get loose in time.	KENAI	 Any traps you don't want, I'll pay cash money.			Arctic Blue 
ERIC	 What does this matter to you?	MEYERLING	 (sneering) You can't see past your lousy little assignment, sniffing around the pipeline.  The few voters there are in this district look up to Corbett, and I'm not about to alienate them.	ERIC	 I should release Corbett because you want some votes?	MEYERLING	 This miserable wilderness is a state of the union.  Policy's made here the same way as in the civilized world: at the ballot box.  That's the beauty of it -- these icebox cowboys are living a century too late.  Get them on your side, it's like buying Manhattan for beads.  With a handful of votes you control the greatest frontier since white men stumbled onto the New World.	Arctic Blue 
ERIC	 Will you rent me a cabin, or not?	KENAI	 Pretty clever:  If the trappers got that signal beacon and get here in time, Sam's is the first place they'll look.  They may figure you're waiting for an airplane, so you can't stay in the shack by the airstrip.  Last place they'd expect you is on the far side of town. (shakes his head) I can't afford any trouble --	ERIC	 (takes out all his cash) -- Here's a hundred dollars.  And if you or anyone else will back me up on this --	KENAI	 (grabs money) -- Forget it.  And try not to bleed on my throw rugs. (walks away, then turns back) Why do this?	Arctic Blue 
KENAI	 Pretty clever:  If the trappers got that signal beacon and get here in time, Sam's is the first place they'll look.  They may figure you're waiting for an airplane, so you can't stay in the shack by the airstrip.  Last place they'd expect you is on the far side of town. (shakes his head) I can't afford any trouble --	ERIC	 (takes out all his cash) -- Here's a hundred dollars.  And if you or anyone else will back me up on this --	KENAI	 (grabs money) -- Forget it.  And try not to bleed on my throw rugs. (walks away, then turns back) Why do this?	ERIC	 If you have to ask, you wouldn't understand. (OS) driving into town.  Eric cautiously follows the SOUND.	Arctic Blue 
ERIC	 (takes out all his cash) -- Here's a hundred dollars.  And if you or anyone else will back me up on this --	KENAI	 (grabs money) -- Forget it.  And try not to bleed on my throw rugs. (walks away, then turns back) Why do this?	ERIC	 If you have to ask, you wouldn't understand. (OS) driving into town.  Eric cautiously follows the SOUND.			Arctic Blue 
KENAI	 (grabs money) -- Forget it.  And try not to bleed on my throw rugs. (walks away, then turns back) Why do this?	ERIC	 If you have to ask, you wouldn't understand. (OS) driving into town.  Eric cautiously follows the SOUND.					Arctic Blue 
ERIC	 You can't stay here.  Go back to the Turtle.  I'll meet you back there in a few hours.	ANNE MARIE	 (stung by his coolness) What's going on?	ERIC	 I'll tell you everything later.	ANNE MARIE	 Where's Corbett?	Arctic Blue 
NEFF	 I'm real sorry.  In a while, you're gone from this country. But we live here.  No one wants to mix it up with those hombres.	ERIC	 (angry) You don't care enough about Sam to --	NEFF	 -- Sam Wilder was my cousin. He's why I came to Alaska.  All his letters, saying what a paradise it is.  But me ending up dead won't do Sam a lick of good.			Arctic Blue 
