ALICE	 "Make" him?	LARRY	 (thoughtfully) You know what I mean.	THE AUDITORIUM - CONTINUOUS		LARRY (V.O.)	 I'm not exactly worldly, but I'm the Secretary of State next to him.	Antitrust 
RANDY	 There's nothing in this hall. Someone's pulling your chain, as usual.	SHROT	 (thinking aloud) Unless it's a diversion. Milo's in my office. He was tailgating, so I --	GARY	 Milo? Try to have a clue. Try to think.	RANDY	 That kid's the great white hope.	Antitrust 
DELBERT	 How's it goin'?	GUARD	 (shaking out his cup) Big night. Switched from tea to coffee. Brought new meaning to my work.	DELBERT	 Yeah? Maybe I'll start my rounds with #21 tonight.	GUARD	 You are a wild man.	Antitrust 
QUAD - TIGHTER - CONTINUOUS		MILO	 (muttering) ...in a tree...					Antitrust 
PHIL	 Did you download Corey? In San Jose?	RANDY	 Damn. 'Have to go back over there. (he stands, stretches) Be so much easier if we could walk in the front door.	PHIL	 You don't look anything like a three- year-old.			Antitrust 
MILO	 Yes sir. I need to talk to you.	BARTON	 Give me two seconds with Lacy here? (unlocks his door) Go on in, I won't be a moment.	BARTON (O.S.)	 I'll make the call, but I think you need to send a Fax first (etc.).			Antitrust 
BARTON	 Let me look into it, see what's being done. Frankly, it's not my area.	MILO	 (he gets up) 'Just didn't know who else to talk to.	BARTON	 (circles an arm over Milo) And Outpost? You're happy there?	MILO	 Yes sir.	Antitrust 
MILO	 (he gets up) 'Just didn't know who else to talk to.	BARTON	 (circles an arm over Milo) And Outpost? You're happy there?	MILO	 Yes sir.			Antitrust 
PHIL	 Lisa's an extremely valuable member of the Skywire team. We've got our eyes on her. You keep yours on Milo.	ALICE	 (as she hangs up) Prick.					Antitrust 
ALICE	 It's almost nine, I've been so worried! (she takes his hands) What did you see in there?	MILO	 Nothing.	ALICE	 Nothing?			Antitrust 
ALICE	 Guilt?	MILO	 (quietly) If I'd stayed down there, maybe this wouldn't've happened.	ALICE	 Poor baby. You know that's not true.	MILO	 I thought, instead of indulging all these paranoid delusions, risking my job, alienating Gary, scaring you, I should do something useful with my grief. Help them find Teddy's killers.	Antitrust 
ALICE	 I was so worried about you.	MILO	 (through their kisses) ...been such a long night.					Antitrust 
LISA	 I'm sorry, Milo... I'm sorry.	MILO	 (forcefully) I know why you're so secretive. Why you won't let anybody near you. (quieter) I know what he did to you.	LISA	 Oh yeah?	LISA	 So that's in my -- file?	Antitrust 
MILO	 They'd frame him.	LISA	 (horrified) He's out of prison?	MILO	 (he nods) They're already watching you. If they had to, they'd give him this drug that mimics an alcoholic blackout. He'd wake up not even remembering his "act of revenge."	LISA	 No.	Antitrust 
LISA	 (horrified) He's out of prison?	MILO	 (he nods) They're already watching you. If they had to, they'd give him this drug that mimics an alcoholic blackout. He'd wake up not even remembering his "act of revenge."	LISA	 No.	MILO	 Nobody's gonna hurt you.	Antitrust 
VOICE	 You're sure.	ALICE	 He said it made sense that Gary's code was like Teddy's, that that clich about great minds was true. Said it was all about his own guilt. (she shrugs) Plus, he has a tendency to get Gary mixed-up with his dad once in a while. It always passes.	PHIL	 He wasn't acting?	ALICE	 I don't think he knows how.	Antitrust 
LISA	 How do you let go of a secret without telling the wrong person.	MILO	 We don't tell anybody. (she's puzzled) We tell everybody. At once. So there's no secret left to protect. When everybody knows, they don't dare touch us.					Antitrust 
SHROT	 (into the phone) No, Tony can't fill in for you, he's not at your authorization level.	LEN	 Bob? You better look at this.					Antitrust 
LEN	 Unlikely. All 14 cameras are frozen. Do we call Randy and Phil? Tell 'em there may have been a break-in?	SHROT	 Not yet. 'Love to bust my ass cause I'm not in frigging Mensa. (walks to the window) I swear to God, it's that kid Milo, I told 'em so in the first place, but they didn't even wanna hear about it. (turns to Len) Let's run a printout on card entries.					Antitrust 
GARY	 Why did you move around so much? When you were a kid.	MILO	 ...My dad was a compulsive gambler. Only he didn't think he was. That applied to guys who didn't have a "system." "Losers," who played games of chance. He could "read" people, so chance had nothing to do with it. No matter how deep a hole he dug himself, he'd give you the whole speech. And you'd better not point out the obvious. (he shrugs) His creditors would catch up to him. Loan sharks or whatever. He'd wake us in the middle of the night. Off we'd go, again.	GARY	 What would you tell the kids? At your new school? You had to come up with a good story, right?	MILO	 No. I just went deeper into the machine. Preferred being the geek to having to explain. Lying would've been worse.	Antitrust 
GARY	 ...Worse?	MILO	 Cause he was a liar. And I hated him. (mimicking a voice) "Get your head out of that machine, wise up to the real world." The more he mocked me the deeper I went. Cause if being savvy meant being like him -- (he shrugs) Guess that's why I'm kind of clueless, even now. Didn't cultivate my conniving side. 'Not sure I even have one.	GARY	 Don't be so hard on yourself. With a brain like yours, you could connive with the best of 'em I bet.			Antitrust 
MILO	 He's buying up pretty much everything: cable companies, baby bells, picture libraries, museum rights, film archives... Getting ready for Skywire.	LISA	 (she's thinking) What about "60 Minutes."	MILO	 Yeah, they dig stuff like this. (he types, then reads) "CBS News has partnered with Outpost Information Systems in a cable news network due to launch Fall of 2001."	LISA	 But still, you can't say CBS wouldn't love to break something like --	Antitrust 
LISA	 (she's thinking) What about "60 Minutes."	MILO	 Yeah, they dig stuff like this. (he types, then reads) "CBS News has partnered with Outpost Information Systems in a cable news network due to launch Fall of 2001."	LISA	 But still, you can't say CBS wouldn't love to break something like --	MILO	 (he's shaking his head) Say there's just one "mole" working there, like Barton at the DOJ. How do we know he's not the guy we've contacted? Or she? Or the guy she works for?	Antitrust 
LISA	 But still, you can't say CBS wouldn't love to break something like --	MILO	 (he's shaking his head) Say there's just one "mole" working there, like Barton at the DOJ. How do we know he's not the guy we've contacted? Or she? Or the guy she works for?	LISA	 Time?	MILO	 (types, reads) Time-Warner has a 40 per cent stake in Gary's set-top device. That also takes out CNN. (scrolling & scrolling) "GE joins Outpost in new venture," which means NBC is out. "Disney joins Outpost," ABC is out. "Outpost and Newscorp in new deal," Fox is out. Any of these places could have a mole. Or all of 'em. (still scrolling) It's like a a continuous loop. We can go to some alternative press place that 1,000 people read, get them and us killed. But anything big enough for this is a parent of or a subsidiary to something Gary's got a finger in!	Antitrust 
LISA	 Time?	MILO	 (types, reads) Time-Warner has a 40 per cent stake in Gary's set-top device. That also takes out CNN. (scrolling & scrolling) "GE joins Outpost in new venture," which means NBC is out. "Disney joins Outpost," ABC is out. "Outpost and Newscorp in new deal," Fox is out. Any of these places could have a mole. Or all of 'em. (still scrolling) It's like a a continuous loop. We can go to some alternative press place that 1,000 people read, get them and us killed. But anything big enough for this is a parent of or a subsidiary to something Gary's got a finger in!	HOMEWORK KID	 Shhh.	MILO	 Sorry.	Antitrust 
MILO	 What?	LISA	 He's got 12 satellites up. He's got dishes on top of 21. He's building this -- (gestures at the screen) mega-network for Skywire. Let's use it.					Antitrust 
LISA	 Before they kill somebody else, too.	MILO	 (a new wrinkle) Oh, man. I'd have to get into Gary's house. To get the satellite positions.	LISA	 You mean -- break in?	MILO	 I don't know --	Antitrust 
LISA	 I'll go look. (when he looks dubious) They'll just have a few more pictures of me snooping around.	MILO	 (looks at her) Why were you so careless?	LISA	 I thought the worst they would do is fire me. Who knew they took termination so literally?	MILO	 Why were you snooping in my office?	Antitrust 
MILO	 Why were you snooping in my office?	LISA	 Oh. (she gets bashful) I liked you. I was checking you out.					Antitrust 
ALICE	 Where were you? (holding his gaze) You know you can't keep anything from me.	MILO	 Okay, yeah. I did something naughty... There's this amazing Comix store in Seattle. (is she buying it?) To tell you the truth, I did it once or twice at Stanford. 'Guess I can't keep anything from you...	ALICE	 (she smiles) I won't turn you in.			Antitrust 
MILO	 Okay, yeah. I did something naughty... There's this amazing Comix store in Seattle. (is she buying it?) To tell you the truth, I did it once or twice at Stanford. 'Guess I can't keep anything from you...	ALICE	 (she smiles) I won't turn you in.					Antitrust 
ALICE	 Milo --	MILO	 I know you think I'm too attached to him, but still. I am close to Gary. And you're the most meaningful person in my life. (he gets up) I'm going back to the Comix place, why should I be killing myself.	ALICE	 Milo, you --			Antitrust 
MILO	 This is a lifesaver. My PC crashed just before finals.	SISTER BEATRICE	 None of us knows how to use it. I'm thinking of taking a course. (she wants to look) May I?	MILO	 Sure.	SISTER BEATRICE	 Forget it.	Antitrust 
LISA	 I needed t'see it up close for a graphic. The outpost with a dish on top? I climbed up there to get it right.	SHROT	 (hands back the drawing) Next time you ask.	LEN	 'Might of found something.	LEN	 Delbert seems to enter #21 twice. Without leaving the first time.	Antitrust 
LISA	 Milo? Shrot suspects somebody broke into #21. I was in his office when he was reviewing the card readouts.	MILO	 (confused) They know I broke in. Alice helped me. (figuring it out) Shrot's not one of them. He's blundering into this on his own.	LISA	 He doesn't know about the Day Care.	MILO	 Hardly anybody does, that's the beauty part. No cameras, the DOJ doesn't bother with it, it's accessed by a tunnel they boast about. You know the best place to hide a leaf?	Antitrust 
MILO	 That's great! Thanks.	GARY	 (as he goes) 'Sorry about the late notice...	DESI	 "Sorry about the late notice?"			Antitrust 
LISA	 Same with the excerpts I'm choosing: they'll play against any of the images you described.	MILO	 Perfect. (something preys on his mind) How am I gonna get away from the party long enough to --	LISA	 You could always say you have to go the bathroom.	MILO	 That's lame, isn't it?	Antitrust 
HOUSEMAN	 Sorry, Sir, this part of the residence is restricted. PARTY ROOM - A MOMENT LATER (thus clearly the real thing; Mrs. Boyd has prevailed.) Gary notices the giant digital Mondrian.	GARY	 Alice, I'm Gary. This is my wife, Clarissa. (handshakes, etc.) Milo, this is Barry Linder, who's visiting from Hollywood.	LINDER	 I hate being the Hollywood guy. It's so limiting. Meet my friend, Ricky.			Antitrust 
GARY	 Barry's studio's gonna help fill the Skywire pipeline, thought you guys should meet.	MILO	 (his mind elsewhere) Cool.	SOCIETY WOMAN	 He's a sweetheart. He gave 10,000 PC's to the Library Association.	SOCIETY MAN	 All 10,000 of which will be signed onto his browser, no doubt.	Antitrust 
HOUSEMAN	 You'll have to use one over there.	MILO	 There's like eight women waiting in line. They take forever. (winces: painful bladder) Please?	HOUSEMAN	 Right here.			Antitrust 
GARY	 (reading the screen) "Dear Lisa. I've enjoyed working with you. I'd be lying if I didn't say I find you attractive. But in my heart I know that Alice..." (he looks up) You left my party to send E-mail?	MILO	 I couldn't do it at work cause of security or at home for -- obvious reasons.	GARY	 You could've handwritten it.			Antitrust 
HOUSEMAN	 Everything OK, Mr. Boyd?	GARY	 No problem. (when he's gone) Is there?	MILO	 Gary, I --	GARY	 You see what's hanging on the wall?	Antitrust 
ALICE	 Are you having an affair, Milo?	MILO	 No. No. I sent an E-mail to somebody, just now. To tell her how I feel about you. (looks at her) You know I'm clueless, without you. You know I --	ALICE	 (fighting tears) Just shut up?			Antitrust 
MILO	 No. No. I sent an E-mail to somebody, just now. To tell her how I feel about you. (looks at her) You know I'm clueless, without you. You know I --	ALICE	 (fighting tears) Just shut up?					Antitrust 
LEN	 Get the backslash, the colon, keys kids don't use but geeks do. (looking around, perplexed) What would Milo want in here, anyway?	SHROT	 They know. 'Just they don't trust me with it. So we'll get the evidence, first, ask questions later.					Antitrust 
LISA	 Does he know you know?	MILO	 He suspects I know something. I think he was sort of -- explaining himself to me, in case I do. (he breathes) We have to go in tonight. I'm two hours from a Beta version. (knows she won't like it) But I've gotta go home for an hour.	LISA	 Why?!	MILO	 She called to apologize. I said I was pulling an all-nighter. She said then come home just to say Hi. Which I always do when we fight, it's suspicious if I don't.	Antitrust 
MILO	 (he smiles) You look beautiful.	ALICE	 Yeah? Give me a goodbye kiss.	MILO	 ...What?			Antitrust 
MILO	 (under his breath) One more minute...	ALICE	 Here we go.	MILO	 Great.			Antitrust 
SHROT	 Come with me.	LEN	 (trying to catch up) Where we going?					Antitrust 
RANDY	 He must be out there still --	SHROT	 (calling after) Forget about it. His car's not in the lot, he's gone!					Antitrust 
RANDY	 (to Shrot & Len) Fellas, I'm gonna have to ask you to leave here now.	SHROT	 Wait a second. I'm the one who found out he was mucking around in here in the first place.	RANDY	 We're all grateful for that. Really. Go out the way you came in?			Antitrust 
MILO	 Brian here? Brian Bissel?	RENT-A-GUARD	 (picks up the phone) Who wants to see him?					Antitrust 
BRIAN	 What?!	MILO	 (to the Rent-a-Guard) Wanna be a part of history?	RENT-A-GUARD	 Not really.	MILO	 (digging in his pocket) Well -- would you like to pick up an extra -- 232 dollars?	Antitrust 
RENT-A-GUARD	 Not really.	MILO	 (digging in his pocket) Well -- would you like to pick up an extra -- 232 dollars?					Antitrust 
BRIAN	 You're interfaced with our dish.	MILO	 (to Lisa) Gimme the coordinates?	LISA	 Longitude 77 degrees, 03 minutes, 58 seconds East.	LISA	 Latitude 38 degrees, 55 minutes, 14 seconds South.	Antitrust 
LISA	 Maybe it's the satellite.	MILO	 (he thinks) Let's try #2.					Antitrust 
LISA	 They're already here. My laptop must be wired!	BRIAN	 (anxiously) Milo?	MILO	 (typing) We're there.			Antitrust 
BRIAN	 (anxiously) Milo?	MILO	 (typing) We're there.					Antitrust 
LISA	 (to Brian) You checked your connections?	BRIAN	 (to Milo) Yes! Should you reboot?	MILO	 ...He knows.	LISA	 What?	Antitrust 
BRIAN	 What?!	MILO	 He's working backwards, too. (to Lisa) Let's do number five?	LISA	 Longitude 66.			Antitrust 
GUNTHER (O.S.)	 Open the door, Milo!	BRIAN	 (to Milo) You there yet?	MILO	 (typing) One more second.	BRIAN	 Hey, hey, relax, relax!	Antitrust 
BRIAN	 (to Milo) You there yet?	MILO	 (typing) One more second.	BRIAN	 Hey, hey, relax, relax!	LISA	 Oh my God.	Antitrust 
LISA	 Oh my God.	BRIAN	 (to Gunther) Should I call Phil? Or do you?	BRIAN	 Milo? Wake up. Our regular programming will not be preempted tonight.	GUNTHER	 (staring at Milo) Wait.	Antitrust 
BRIAN	 Milo? Wake up. Our regular programming will not be preempted tonight.	GUNTHER	 (staring at Milo) Wait.	BRIAN	 ...When did you know?	MILO	 (still watching the screens) You should've called a few times to bug me about your job prospects.	Antitrust 
BRIAN	 ...When did you know?	MILO	 (still watching the screens) You should've called a few times to bug me about your job prospects.	LISA	 Milo? Who's got Skywire?			Antitrust 
FOUR TV SETS	 (eventually) established. (by Lisa) from the audio version of his own book:	GARY'S VOICE OVER	 Most of us who write software achieve our greatest work before age 30. As I grow older I know how important it is to access fertile young minds!	REVERSE ON				Antitrust 
