FRANK	 All right.	BANKER	 What a loss. (Frank nods) How are you otherwise?   Things okay financially?	(CONT)		6   CONTINUED:                                                        6		American Gangster 
TURNER	 You can't catch him. He'll take your head off. We're talking 95-mile-an-hour. You know how fast that is? You see the ball leave his hand, and that's the last you see it before it knocks you down.	FRANK	 (smiling; happy) Is that right.					American Gangster 
FRANK	 I remember.	MRS. LUCAS	 It's perfect. (looks at the room) It's all perfect. (she looks at him) I'm so proud of you.					American Gangster 
RICHIE	 I have seen it.	DETECTIVE	 (to the examiner) Chose a good night, huh?   Grand Central Station in here.	MEDICAL EXAMINER	 It's been like this. I'm lucky I get home before midnight; lots of careless- ness.	REPORTER V/O	 Heroin addiction is no longer exclusive to big city neighborhoods; it's epidemic -	American Gangster 
FRANK	 What is this?	TEDDY	 What. These are clothes.     This is a very nice (suit) -	(CONT)		96   CONTINUED:                                                       96		American Gangster 
96   CONTINUED:                                                       96		FRANK	 I'm wearing clothes. These are clothes. Those - (Teddy's in the mirror) - are a costume. With a sign on it that says Arrest me. You look like fuckin Jackie Fox.	TEDDY	 What's wrong with Jackie.    I like Jackie.	FRANK	 You like Jackie? You want to be Superfly? Go work for him, end up in a cell with him.	American Gangster 
99    CONTINUED:                                                       99		ANA	 You're Frank and this is your place. (he doesn't say whether it is or not) Why's it called Small's? Why don't you call it Frank's?	FRANK	 Because I don't have to.			American Gangster 
ANA	 This is your father?	FRANK	 You really don't know who that is? (she doesn't) It's Martin Luther King.	ANA	 It is not.	FRANK	 You're right. He was as important as Dr. King, though.	American Gangster 
SIBOTA	 So I hear. You have him come see me. We'll give him a try-out.	DETECTIVE	 What's this? (taking a .45 from Jimmy's pocket) Oh, that's it, I'm taking you in.	JIMMY	 (joking) You can't take me in for that, I got       a license for that, motherfucker.	DETECTIVE	 (gives the gun back) This then - (the pile of coke on the coffee table) But first -	American Gangster 
DETECTIVE	 What's this? (taking a .45 from Jimmy's pocket) Oh, that's it, I'm taking you in.	JIMMY	 (joking) You can't take me in for that, I got       a license for that, motherfucker.	DETECTIVE	 (gives the gun back) This then - (the pile of coke on the coffee table) But first -	DETECTIVE	 All right, now I'm arresting you.	American Gangster 
JIMMY	 (joking) You can't take me in for that, I got       a license for that, motherfucker.	DETECTIVE	 (gives the gun back) This then - (the pile of coke on the coffee table) But first -	DETECTIVE	 All right, now I'm arresting you.	TEDDY	 Let him go.   This is for you.	American Gangster 
DETECTIVE	 What was what?	JIMMY	 Oh, he's all right. I just shot him in the leg. You got a health plan, what are you complaining about. He's fine. Here - (peels off some money) Five hundred all right? Six? Look, he's feeling better all the time.					American Gangster 
145     CONTINUED:                                                     145		TRUPO (CONT'D)	 (Trupo smiles; Richie smiles) You got your money. Now, never, ever, come into the city again unannounced. You come in to see a fuckin Broadway show you call ahead first to see if it's okay with me.	147 - 148 OMIT                                            147 - 148 OMIT				American Gangster 
RICHIE	 Then my investigation's over.	TOBACK	 You're not listening to me. I said: I don't want to hear about it ... You do whatever you have to do, go wherever you have to go to find out who's bringing this shit into the country ... Just don't tell me. (turns to leave) Get some sleep.					American Gangster 
FRANK	 I'm just trying to make a living.	TOSCA	 Which is your right. Because this is America. But not at the unreasonable expense of others. That's un-American. (he studies Frank) You know the price you pay for a gallon of milk doesn't represent its true cost of production. It's controlled. Set.	FRANK	 I set a price I think is fair.	TOSCA	 It's very unfair, in fact. Your customers are happy, but what about your fellow dairy farmers? You're not thinking of them.	American Gangster 
TOSCA	 It's very unfair, in fact. Your customers are happy, but what about your fellow dairy farmers? You're not thinking of them.	FRANK	 (very calmly) I'm thinking of them as much as they ever thought of me.	TOSCA	 All right. I can see you're getting excited. Don't get excited. That's not why I invited you to my home. To get excited.	TOSCA	 Here, I got something for you.	American Gangster 
ANA	 They looked at us like we're the help.	FRANK	 (kisses her cheek) No.   They're working for me now.					American Gangster 
FRANK	 (to Ana) Stay in the car	TRUPO	 Hello, Frank.	FRANK	 Detective.			American Gangster 
200   CONTINUED:                                                       200		TRUPO	 You sure you done the right thing? She's a beautiful girl - there's no question - but she's got an attitude on (her) -	FRANK	 Listen   to me. Before you say another word -   about her - or me - remember that you're   saying it on the most important fuckin   day of my life.	TRUPO	 Man walks around in a fifty thousand dollar chinchilla coat and he never even bought me a cup of coffee? Something wrong there.	American Gangster 
FRANK	 No, you're all the fuckin same.	TRUPO	 (shows his shield) What does that say? (Frank ignores him) Special - Investigations - Unit. See that word there? "Special." (he takes out a restaurant business card) Ten grand, first of each month, delivered here.	(CONT)		200   CONTINUED:                                                        200		American Gangster 
SHEILA	 Richie, yes, fuck me like a cop, not a lawyer - (the phone rings) Oh, God, Richie, no - don't answer it - (he reaches to pick it up) No, no, no -	RICHIE	 Yeah -	SPEARMAN V/O PHONE	 Richie. Newark just picked up one of the celebrities on our Wall of Fame: Teddy's driver. For attempted murder.			American Gangster 
FRANK	 Stevie. Come over here. (the nephew comes over) I heard you didn't show up.	(CONT)		216   CONTINUED:                                                       216				American Gangster 
STEVIE	 I don't want to play pro ball, I decided.	FRANK	 What're you   talking about? This is your dream since   you were their age - (the   younger kids) Maybe I can   set it up again.	STEVIE	 It's not what I want. I want to do what you do, Uncle Frank. I want to be you.	TEDDY	 We got a problem.	American Gangster 
JACKIE	 You talked to Charlie. You want to hear more about my Black Coalition. Let me explain it to you -	FRANK	 That's not why I'm here. (Jackie glances up from the powder. No?) Everybody's happy, Jackie. Charlie, Baz, the cops, the Italians, everybody. Everybody except you.	JACKIE	 I'm happy.	FRANK	 Then I don't understand. Why do you have to take something that's perfectly good the way it is, and wreck it?	American Gangster 
219   CONTINUED:                                                     219		FRANK (CONT'D)	 Not a fuckin Datsun. (his look says, right?) Blue Magic is a brand name; as much a brand name as Pepsi. I own it. I stand behind it. I guarantee it and people know that even if they don't know me any more than they know the chairman of General Foods.	JACKIE	 What the fuck are you talking about, Frank?	FRANK	 What you're doing, as far as I'm concerned, when you chop my dope down to five percent, is trademark infringement.	American Gangster 
RICHIE	 This is your place?	TONY	 Are you kidding? You know what it's worth? Ski-in-ski-out, five bedrooms, sauna, everything. We were guests. (pause) No ... No, that's your place.	(CONT)		225   CONTINUED:                                                       225		American Gangster 
TONY	 I'm not taping it. How do you know? Because we're friends and I'm telling you. This is a real offer.	RICHIE	 From who, your uncle? (Tony doesn't say) Why would you do this? Why would you risk our friendship?	TONY	 Because I care what happens to you.	RICHIE	 You shouldn't have done it.	American Gangster 
RICHIE	 Who took it out? (nothing from the agents) If there's a contract on me, it would be nice to know who took it out.	(CONT)		FBI AGENT	 We can't say without compromising our source. You understand.			American Gangster 
TEDDY	 Was it Jackie? (Frank doesn't say) I'll fuckin kill him whether it was or not, you tell me to. (nothing from Frank) What do you want us to do, Frank? We can't just sit here and -	FRANK	 Who didn't like Charlie?   Everybody liked Charlie ...	ANA	 Who shot at us? (Frank can't tell her) It doesn't matter. We're leaving.			American Gangster 
FRANK	 Who didn't like Charlie?   Everybody liked Charlie ...	ANA	 Who shot at us? (Frank can't tell her) It doesn't matter. We're leaving.	(CONT)		255   CONTINUED:                                                        255		American Gangster 
FRANK	 Then maybe I'll kill them all just to make a fuckin point.	TOSCA	 You want to know who it was? I can tell you. It was a junkie. Or a rival. Or some dumb ass kid trying to make a name for himself. Or someone you forgot to pay off. Or slighted without realizing it. Or someone you put out of business by being too successful. (pause) Success has a lot of enemies. Your success is who took a shot at you. How you gonna kill it? By being unsuccessful? You can be successful and have enemies, or unsuccessful and have friends. It's the choice we make.					American Gangster 
TRUPO	 Your husband's illustrious career is over. The Feds are going to come in and take it all. Everything. But not before I get my gratuity. Where's the money?	ANA	 There was some on that dresser, but it's gone now so I guess you (took it) -	TRUPO	 The money! The getaway money Frank and every other gangster keeps in his house!	(CONT)		American Gangster 
RICHIE	 Frank Lucas.	US ATTORNEY	 Who?  Who's Frank Lucas? (no one seems to know) Who's he work for? Which family?	RICHIE	 He's not Italian. He's black.	US ATTORNEY	 Is that supposed to be some kind of joke? You're this close to the end of your career in law enforcement, you're making jokes?	American Gangster 
298        CONTINUED:                                                       298		US ATTORNEY	 (more to the others) Frank's organization -	RICHIE	 That's right.	US ATTORNEY	 No fucking nigger has accomplished what the American Mafia hasn't in a hundred years!	American Gangster 
US ATTORNEY	 No fucking nigger has accomplished what the American Mafia hasn't in a hundred years!	RICHIE	 Yeah, you'd know, sitting here, having never been on the (street) -	US ATTORNEY	 Lou, get this fucking kike out of here -	299 OMIT                                                              299 OMIT		American Gangster 
(CONT)		MRS. LUCAS	 Do you really want to make things so bad for your family they'll leave you? Because they will. She will - (points upstairs) I know I will.					American Gangster 
FRANK	 Why'd you do that? What're you trying to prove, you're better than them? You're not better than them. You are them.	RICHIE	 I don't have the time or interest to listen to (this) -	FRANK	 You did it because it was right. That's all. Why's that hard to say? The question is would you do it again? That was a long time ago. It'd be very easy to find out. Tell me you want to find out, tell me the address, and a car will be there, the trunk loaded.	RICHIE	 No, thanks.	American Gangster 
355   CONTINUED:                                                      355		FRANK (CONT'D)	 (glances to a pay phone on the corner) You know, one phone call, Richie, I could be back in business.	FRANK	 I won't.   I'm just saying I could.	FRANK	 Thanks for the clothes.	American Gangster 
