MED-TECH	 And how are we today?	RIPLEY	 (weakly) Terrible.	MED-TECH	 Just terrible?  That's better than yesterday at least.	RIPLEY	 How long have I been on Gateway station?	Aliens 
VAN LEUWEN	 Thank you, Officer Ripley.  That will be...	RIPLEY	 (louder, stepping on him) ...because just one of those things managed to kill my entire crew, within twelve hours of hatching...	VAN LEUWEN	 Thank you, that will be all.	RIPLEY	 That's not all, Goddamnit!  If those things get back here, that will be all.  Then you can just kiss it good-bye, Jack!  Just kiss it goodbye.	Aliens 
RIPLEY	 They had their minds made up before I even went in there. They think I'm a head case.	BURKE	 (cheerfully) You are a head case.  Have a donut.					Aliens 
RIPLEY	 (insistent) Why won't you check out LV-426?	VAN LEUWEN	 (condescendingly) Because I don't have to.  The people who live there checked it out years ago and they never reported and 'hostile organism' or alien ship.  And by the way, they call it Acheron now.	RIPLEY	 What are you talking about. What people?	VAN LEUWEN	 Terraformers...planet engineers. It's what we call a shake 'n' bake colony.  They set up atmosphere processors to make the air breathable...big job.  Takes decades.  They've already been there over twenty years.  Peacefully.	Aliens 
VAN LEUWEN	 Sixty, maybe seventy families.	RIPLEY	 (low) Sweet Jesus.					Aliens 
JORDEN	 (gloating cackle) Look at this fat, juicy magnetic profile.  And it's mine, mine, mine.	ANNE	 Half mine, dear.	NEWT	 And half mine!			Aliens 
NEWT	 Mom.  All the kids play it...	JORDEN	 (reverently) Holy shiiit!	JORDEN	 Folks, we have scored big this time.			Aliens 
JORDEN	 Let's wait till we know what to call it in as.	ANNE	 (nervous) How about 'big weird thing'?					Aliens 
NEWT	 Timmy...they've been gone a long time.	TIM	 (quavering) It'll be okay, Newt.  Dad knows what he's doing.	ANNE	 Mayday!  Mayday!  This is Alpha Kilo Two Four Niner calling Hadley Control. Repeat.  This is...			Aliens 
VOICE FROM VIDEO	 (o.s.) Hey, Bob!  I heard you and the family are heading off for the colonies!	BON	 (o.s.) Best decision I ever made, Bill. We'll be starting a new life from scratch, in a clean world. No crime.  No unemployment...					Aliens 
BURKE	 These Colonial Marines are some tough hombres, and they're packing state-of-the-art firepower. Nothing they can't handle...right, Lieutenant?	GORMAN	 (cool) We're trained to deal with these kinds of situations.	RIPLEY	 (to Burke) What about you?  What's your interest in this?	BURKE	 Well, the corporation co-financed that colony with the Colonial Administration, against mineral rights.  We're getting into a lot of terraforming...'Building Better Worlds.'	Aliens 
GORMAN	 (cool) We're trained to deal with these kinds of situations.	RIPLEY	 (to Burke) What about you?  What's your interest in this?	BURKE	 Well, the corporation co-financed that colony with the Colonial Administration, against mineral rights.  We're getting into a lot of terraforming...'Building Better Worlds.'	RIPLEY	 Yeah, yeah.  I saw the commercial.	Aliens 
BURKE	 I heard you were working in the cargo docks.	RIPLEY	 (defensive) That's right.	BURKE	 Running loaders, forklifts, that sort of thing?	RIPLEY	 (shrugging) It's all I could get.  Anyway, it keeps my mind off of... everything.  Days off are worse.	Aliens 
BURKE	 Running loaders, forklifts, that sort of thing?	RIPLEY	 (shrugging) It's all I could get.  Anyway, it keeps my mind off of... everything.  Days off are worse.	BURKE	 What if I said I could get you reinstated as a flight officer? And that the company has agreed to pick up your contract?	RIPLEY	 If I go.	Aliens 
RIPLEY	 If I go.	BURKE	 If you go. (pause) It's a second chance, kiddo.  And it'll be the best thing in the world for you to face this fear and beat it.  You gotta get back on the horse...	RIPLEY	 (frosty) Spare me, Burke.  I've had my psych evaluation this month.	BURKE	 Yes, and I've read it.  You wake up every night, sheets soaking, the same nightmare over and over...	Aliens 
BURKE	 If you go. (pause) It's a second chance, kiddo.  And it'll be the best thing in the world for you to face this fear and beat it.  You gotta get back on the horse...	RIPLEY	 (frosty) Spare me, Burke.  I've had my psych evaluation this month.	BURKE	 Yes, and I've read it.  You wake up every night, sheets soaking, the same nightmare over and over...	RIPLEY	 (shouting) No!  The answer is no.  Now please go.  I'm sorry.  Just go, would you.	Aliens 
BURKE	 Yes, and I've read it.  You wake up every night, sheets soaking, the same nightmare over and over...	RIPLEY	 (shouting) No!  The answer is no.  Now please go.  I'm sorry.  Just go, would you.	BURKE	 Think about it.			Aliens 
BURKE	 (on video phone) Yello?  Oh, Ripley.  Hi...	RIPLEY	 Burke, just tell me one thing. That you're going out there to kill them.  Not study.  Not bring back.  Just burn them out...clean ...forever.	BURKE	 That's the plan.  My word on it.			Aliens 
FROST	 Hey, hand job, you take my towel?	SPUNKMEYER	 (overlapping) I need some slack, man.  How come they send us straight back out like this?  We got some slack comin', man.	HICKS	 You just got three weeks.	SPUNKMEYER	 I mean breathing, not this frozen shit.	Aliens 
DIETRICH	 Yeah, 'Top'...what about it?	APONE	 You know it ain't up to me. (louder) Awright!  Let's knock off the grabass.  First assembly's in fifteen...let's shag it.					Aliens 
VASQUEZ	 Who's the fresh meat again?	FERRO	 She's supposed to be some kinda consultant... (exaggerated) ...She was an alien once.	HUDSON	 Whoooah!  No shit?  I'm impressed.	APONE	 Let's go...let's go.  Cycle through!	Aliens 
WIERZBOWSKI	 Cornbread, I think.  Hey, I wouldn't mind getting me some more a that Arcturan poontang.  Remember that time?	HICKS	 (low) Looks like that new Lieutenant's too good to eat with us grunts.	WIERZBOWSKI	 (glancing over shoulder) Yeah.  Got a corn cob up his ass, definitely.	BISHOP	 I'm sorry you feel that way about Synthetics, Ripley.	Aliens 
HICKS	 (low) Looks like that new Lieutenant's too good to eat with us grunts.	WIERZBOWSKI	 (glancing over shoulder) Yeah.  Got a corn cob up his ass, definitely.	BISHOP	 I'm sorry you feel that way about Synthetics, Ripley.	RIPLEY	 You never said anything about an android being here!  Why not?	Aliens 
BURKE	 Cyberdyne Systems 120-A/2.	BISHOP	 Well, that explains it.  The A/2's were always a bit twitchy. That could never happen now with out behavioral inhibitors.  Impossible for me to harm or, by omission of action, allow to be harmed a human being. (smiling) More cornbread?	RIPLEY	 Just stay away from me, Bishop! You got that straight?	WIERZBOWSKI	 She don't like the cornbread either.	Aliens 
HUDSON	 Sir?	GORMAN	 (annoyed) Yes, Hicks?	HUDSON	 Hudson, Sir.  He's Hicks.	GORMAN	 What's the question?	Aliens 
WIERZBOWSKI	 A what?	HICKS	 (to Wierzbowski; low) It's a bug-hunt. (louder) So what are these things?	RIPLEY	 I've dictated what I know on these.	APONE	 Tease us a bit.	Aliens 
HUDSON	 Sounds like you, Hicks.	RIPLEY	 (controlled) The embryo, the second form, hosts in the victim's body for several hours.  Gestating.  Then it... (with difficulty) ...then it...emerges.  Moults. Grows rapidly --	VASQUEZ	 I only need to know one thing.	RIPLEY	 Yes?	Aliens 
HUDSON	 Anytime.  Anywhere.	RIPLEY	 (icy) Am I disturbing you conversation Mr. Hudson?	RIPLEY	 I hope you're right.  I really do.	BURKE	 (to all) I suggest you study the disks Ripley has been kind enough to prepare for you.	Aliens 
RIPLEY	 I hope you're right.  I really do.	BURKE	 (to all) I suggest you study the disks Ripley has been kind enough to prepare for you.	GORMAN	 Are there any questions?  Hudson?	HUDSON	 How do I get out of this chicken-shit outfit?	Aliens 
HUDSON	 How do I get out of this chicken-shit outfit?	GORMAN	 All right.  I want this to go smooth and by the numbers.  I want DCS and tactical database assimilation by 0830. (some groans) Ordnance loading, weapons strip and drop-ship prep details will have seven hours...					Aliens 
APONE	 I don't know.  Is there anything you can do?	RIPLEY	 (pointing) I can drive that loader.  I've got a Class Two rating.  My latest career move.					Aliens 
FERRO	 (icy calm) Switching to DCS ranging.	SPUNKMEYER	 Two-four-o.  Nominal to profile. Picking up some hull ionization.	FERRO	 Got it.  Rough air ahead.			Aliens 
FERRO	 (voice over; filtered) Stand by for some chop.	RIPLEY	 How may drops is this for you, Lieutenant?	GORMAN	 Thirty-eight...simulated.			Aliens 
GORMAN	 (to Ferro via mike) Hold at forty.  Slow circle of the complex.	RIPLEY	 The structure seems intact.  They have power.	GORMAN	 (to Apone) Okay, let's do it.			Aliens 
RIPLEY	 The structure seems intact.  They have power.	GORMAN	 (to Apone) Okay, let's do it.	APONE	 Awright!  I want a nice clean dispersal this time.	VASQUEZ	 You staying in here?	Aliens 
RIPLEY	 You bet.	VASQUEZ	 (turning away) Figures.	GORMAN	 (to Ferro via mike) Set down sixty meters this side of the telemetry mast.  Immediate dust off on my 'clear,' then stay on station.	APONE	 Ten seconds, people.  Look sharp!	Aliens 
VASQUEZ	 (turning away) Figures.	GORMAN	 (to Ferro via mike) Set down sixty meters this side of the telemetry mast.  Immediate dust off on my 'clear,' then stay on station.	APONE	 Ten seconds, people.  Look sharp!			Aliens 
GORMAN	 (voice over; filtered) First squad up, on line.  Hicks, get yours in a cordon.  Watch the rear.	APONE	 Vasquez, take point.  Let's move.					Aliens 
APONE	 First squad, assemble on me at the main lock.	GORMAN	 (voice over; filtered) Second team, move up. Flanking positions.					Aliens 
RIPLEY	 Wait!  Tell him to... (plugs in headset jack) ...Hicks.  Back up.  Pan left. There!	HICKS	 (voice over; filtered) You seeing this okay?  Looks melted.	BURKE	 Hmm.  Acid for blood.	HICKS	 (voice over; filtered) Looks like somebody bagged them one of Ripley's bad guys here.	Aliens 
BURKE	 Hmm.  Acid for blood.	HICKS	 (voice over; filtered) Looks like somebody bagged them one of Ripley's bad guys here.					Aliens 
APONE	 Second squad?  What's your status?	HICKS	 (voice over; filtered) Just finished our sweep. Nobody home.	APONE	 (to Gorman) The place is dead, Sir.  Whatever happened, we missed it.			Aliens 
HICKS	 (voice over; filtered) Just finished our sweep. Nobody home.	APONE	 (to Gorman) The place is dead, Sir.  Whatever happened, we missed it.					Aliens 
GORMAN	 (voice over) ...We're coming in.	HUDSON	 (cupping his mike) He's coming in.  I feel safer already.	VASQUEZ	 (sotto voice) Pendejo jerkoff.			Aliens 
HUDSON	 (cupping his mike) He's coming in.  I feel safer already.	VASQUEZ	 (sotto voice) Pendejo jerkoff.					Aliens 
HUDSON	 (voice over; filtered) Sir, the CPU is on-line.	GORMAN	 Okay, stand by in operations. (to those present) Let's go.					Aliens 
RIPLEY	 (shouting) Burke!	WIERZBOWSKI	 Scare you?	RIPLEY	 Christ, Wierzbowski!			Aliens 
GORMAN	 (to Burke) Looks like you company can write off its share of this colony.	BURKE	 (unconcerned) It's insured.	FRONT	 Sir, you should check this out...			Aliens 
FROST	 No, Sir.  Looks like it was a helluva fight.	RIPLEY	 (low) Over there.	BURKE	 Are these the same...?	RIPLEY	 Watch it, Burke...	Aliens 
RIPLEY	 Watch it, Burke...	HICKS	 (to Burke) It likes you.	BURKE	 These are dead.  There's just the two alive.	RIPLEY	 (reading) Removed surgically before embryo implantation.  Subject:  Marachuk, John L.   Died during procedure. (looking up) They killed him getting it off.	Aliens 
BURKE	 These are dead.  There's just the two alive.	RIPLEY	 (reading) Removed surgically before embryo implantation.  Subject:  Marachuk, John L.   Died during procedure. (looking up) They killed him getting it off.	HICKS	 Poor bastard.	HICKS	 Behind us.	Aliens 
RIPLEY	 One of us?	GORMAN	 (into headset) Apone...where are your people? Anybody in D-Block?	APONE	 (voice over; filtered) Negative.  We're all in Operations.			Aliens 
GORMAN	 (into headset) Apone...where are your people? Anybody in D-Block?	APONE	 (voice over; filtered) Negative.  We're all in Operations.					Aliens 
VASQUEZ	 You fuck!	RIPLEY	 (soothingly) Come on out.  It's all right...	HICKS	 Ow!  Shit.  Watchit, she bites.	RIPLEY	 It's okay, it's okay.  It's over... you're going to be all right now... it's okay...you're safe...	Aliens 
GORMAN	 (o.s.) What's her name again?	DIETRICH	 (o.s.) Rebecca.	GORMAN	 Now think, Rebecca. Concentrate.  Just start at the beginning...	GORMAN	 Where are your parents?  You have to try...	Aliens 
GORMAN	 Where are your parents?  You have to try...	RIPLEY	 (sharply) Gorman!  Give it a rest would you.	GORMAN	 Total brain-lock.	DIETRICH	 (shrugs) Physically she's okay. Borderline malnutrition, but I don't think any permanent damage.	Aliens 
GORMAN	 Total brain-lock.	DIETRICH	 (shrugs) Physically she's okay. Borderline malnutrition, but I don't think any permanent damage.	GORMAN	 Come on, we're wasting our time.	RIPLEY	 Here, try this.  A little instant hot chocolate.	Aliens 
BURKE	 (to Gorman) What's he scanning for?	GORMAN	 PDT'S.  Personal-Data Transmitters. Every adult colonist had one surgically implanted.	HUDSON	 If they're within twenty klicks we'll read it out here, but so far...zip.			Aliens 
RIPLEY	 (soothingly) They'd be here if they could, honey.  I know they would.	NEWT	 (with cold certainty) They're dead.	RIPLEY	 Newt.  Look at me...Newt.  I won't leave you.  I promise.	NEWT	 You promise?	Aliens 
NEWT	 And hope to die?	RIPLEY	 (quietly) And hope to die.					Aliens 
GORMAN	 (to team) We're not making that out too well.  What is it?	HUDSON	 (voice over; static) You tell me.  I only work here.					Aliens 
RIPLEY	 I don't know.	GORMAN	 (to team) Proceed inside.					Aliens 
RIPLEY	 (low) Oh God...	DIETRICH	 (voice over; static) Looks like some sort of secreted resin.	GORMAN	 They ripped apart the colony for building materials.	RIPLEY	 And the colonists...When they were done with them. (turning) Newt, you better go sit up front.  Go on.	Aliens 
GORMAN	 They ripped apart the colony for building materials.	RIPLEY	 And the colonists...When they were done with them. (turning) Newt, you better go sit up front.  Go on.					Aliens 
RIPLEY	 That's not what I mean.  Gorman, if your men have to use their weapons in there, they'll rupture the cooling system.	BURKE	 (realizing) She's right.	GORMAN	 So.	RIPLEY	 So...then the fusion containment shuts down.	Aliens 
RIPLEY	 So...then the fusion containment shuts down.	GORMAN	 (impatient) So?  So?	BURKE	 We're talking thermonuclear explosion.	GORMAN	 Shit. (into mike) Apone, collect magazines from everybody.  We can't have any firing in there.	Aliens 
BURKE	 We're talking thermonuclear explosion.	GORMAN	 Shit. (into mike) Apone, collect magazines from everybody.  We can't have any firing in there.					Aliens 
HUDSON	 What're we supposed to use, man?  Harsh language?	GORMAN	 (voice over; static) Flame-units only.  I want rifles slung.	APONE	 Let's go.  Pull 'em out.	HICKS	 (low, to Hudson) I always keep this handy. For close encounter.	Aliens 
APONE	 Let's go.  Pull 'em out.	HICKS	 (low, to Hudson) I always keep this handy. For close encounter.	APONE	 (o.s.) Let's move.  Hicks, back us up.			Aliens 
HICKS	 (low, to Hudson) I always keep this handy. For close encounter.	APONE	 (o.s.) Let's move.  Hicks, back us up.					Aliens 
GORMAN	 (voice over; very faint) Any movement?	HUDSON	 Nothing.  Zip.	DIETRICH	 Sir!			Aliens 
HUDSON	 Can't lock up...	APONE	 (with an edge) Talk to me, Hudson.	HUDSON	 Uh, seems to be in front and behind.			Aliens 
GORMAN	 We can't see anything back here, Apone.  What's going on?	RIPLEY	 (low) Pull you team out, Gorman.					Aliens 
VASQUEZ	 Let's rock.	GORMAN	 (voice over; static) Who's firing?  I ordered a hold fire, dammit!					Aliens 
HUDSON	 (voice over) Let's get the fuck out of here!	HICKS	 (voice over) Not that tunnel, the other one!	CROWE	 (voice over) You sure?  Watch it...behind you.  Fucking move, will you!	RIPLEY	 (to Gorman)	Aliens 
HICKS	 (voice over) Not that tunnel, the other one!	CROWE	 (voice over) You sure?  Watch it...behind you.  Fucking move, will you!	RIPLEY	 (to Gorman)	GET THEM OUT OF THERE!  DO		Aliens 
CROWE	 (voice over) You sure?  Watch it...behind you.  Fucking move, will you!	RIPLEY	 (to Gorman)	GET THEM OUT OF THERE!  DO		IT NOW!		Aliens 
GORMAN	 Uh,...Apone, I want you to lay down a suppressing fire with the incinerators and fall back by squads to the APC, over.	APONE	 (voice over; heavy static) Say again?  All after incinerators?	GORMAN	 I said...			Aliens 
GORMAN	 (voice over; static) ...lay down (garbled) ...by squads to...(garbled)	APONE	 Dietrich?  Crowe?  Sound off!  Wierzbowski?	HUDSON	 (freaked) We're getting juked!  We're gonna die in here!			Aliens 
APONE	 Dietrich?  Crowe?  Sound off!  Wierzbowski?	HUDSON	 (freaked) We're getting juked!  We're gonna die in here!	APONE	 Yeah.  Right.  Right!  Fuck the heat exchanger!			Aliens 
GORMAN	 (distantly) I told them to fall back...	RIPLEY	 (viciously) They're but off!  Do something!	RIPLEY	 (in passing) Newt, put your seatbelt on!	GORMAN	 Ripley, what the hell...?	Aliens 
HICKS	 He's gone!  Forget it, he's gone!	VASQUEZ	 (irrational) No.. No, he's not.  He's --	HICKS	 (to Ripley) Let's go!	HICKS	 Get on the Goddamn door!	Aliens 
VASQUEZ	 (irrational) No.. No, he's not.  He's --	HICKS	 (to Ripley) Let's go!	HICKS	 Get on the Goddamn door!			Aliens 
RIPLEY	 You can't help them.  Right now they're being cocooned just like the others.	HUDSON	 (sagging) Oh, God.  Jesus.  This ain't happening.					Aliens 
HUDSON	 Look, man, let's just bug out and call it even, okay?	RIPLEY	 (to Vasquez) No good.  How do we know it'll effect their biochemistry?  I say we take off and nuke the entire site from orbit.  It's the only way to be sure.	BURKE	 Now hold on a second.  I'm not authorizing that action.	RIPLEY	 Why not?	Aliens 
RIPLEY	 You son of a bitch.	BURKE	 (hardening) Don't make me pull rank, Ripley.	RIPLEY	 What rank?  I believe Corporal Hicks has authority here.	BURKE	 Corporal Hicks!?	Aliens 
HICKS	 Looks that way.	BURKE	 Look, this is a multimillion dollar operation.  He can't make that kind of decision.  He's just a grunt! (glances at Hicks) No offense.	HICKS	 (coolly) None taken. (into mike) Ferro, you copying?	FERRO	 (voice over; static) Standing by.	Aliens 
BURKE	 Look, this is a multimillion dollar operation.  He can't make that kind of decision.  He's just a grunt! (glances at Hicks) No offense.	HICKS	 (coolly) None taken. (into mike) Ferro, you copying?	FERRO	 (voice over; static) Standing by.	HICKS	 Prep for dust-off.  We're gonna need an immediate evac. (to Burke) I think we'll take off and nuke the site from orbit.  It's the only way to be sure.	Aliens 
HICKS	 (coolly) None taken. (into mike) Ferro, you copying?	FERRO	 (voice over; static) Standing by.	HICKS	 Prep for dust-off.  We're gonna need an immediate evac. (to Burke) I think we'll take off and nuke the site from orbit.  It's the only way to be sure.	BURKE	 This is absurd!  You don't have the authority to --	Aliens 
FERRO	 (voice over; static) Standing by.	HICKS	 Prep for dust-off.  We're gonna need an immediate evac. (to Burke) I think we'll take off and nuke the site from orbit.  It's the only way to be sure.	BURKE	 This is absurd!  You don't have the authority to --	RIPLEY	 We're going home, honey.	Aliens 
RIPLEY	 Run!	HUDSON	 (hysterical) Well that's great!  That's just fucking great, man.  Now what the fuck are we supposed to do, man? We're in some real pretty shit now!	HICKS	 Are you finished? (to Ripley) You okay?	NEWT	 I guess we're not leaving, right?	Aliens 
HUDSON	 (hysterical) Well that's great!  That's just fucking great, man.  Now what the fuck are we supposed to do, man? We're in some real pretty shit now!	HICKS	 Are you finished? (to Ripley) You okay?	NEWT	 I guess we're not leaving, right?	RIPLEY	 I'm sorry, Newt.	Aliens 
NEWT	 You don't have to be sorry.  It wasn't your fault.	HUDSON	 (kicking rocks) Just tell me what the fuck we're supposed to do now.  What're we gonna do now?	BURKE	 (annoyed) May be could build a fire and sing songs.	NEWT	 We should get back, 'cause it'll be dark soon.  They come mostly at night.  Mostly.	Aliens 
HUDSON	 (kicking rocks) Just tell me what the fuck we're supposed to do now.  What're we gonna do now?	BURKE	 (annoyed) May be could build a fire and sing songs.	NEWT	 We should get back, 'cause it'll be dark soon.  They come mostly at night.  Mostly.			Aliens 
HICKS	 We gotta figure on them getting into the complex.	RIPLEY	 That's right.  So we put up welded barricades at these intersections... (pointing) ...and seal these ducts here and here.  Then they can only come at us from these two corridors and we create a free field of fire for the other two sentry units, here.	HICKS	 Outstanding.  Then all we need's a deck of cards.  All right, let's move like we got a purpose.	HUDSON	 Aye-firmative.	Aliens 
HUDSON	 Aye-firmative.	NEWT	 (imitating Hudson) Aye-firmative!					Aliens 
VASQUEZ	 (shouting) Testing!	HUDSON	 Hudson here.  A and B sentries are in place and keyed.  We're sealing the tunnel.					Aliens 
HICKS	 Just a...precaution.  You know.	RIPLEY	 (strapping it on) Thanks.	HUDSON	 Uh, what's next?			Aliens 
NEWT	 My mommy always said there were no monsters.  No real ones.  But there are.	RIPLEY	 (quietly) Yes, there are, aren't there.	NEWT	 Why do they tell little kids that?	RIPLEY	 Well, some kids can't handle it like you can.	Aliens 
NEWT	 Where is she?	RIPLEY	 (quietly) Gone.	NEWT	 You mean dead.	NEWT	 Ripley, I was just thinking... Maybe I could do you a favor and fill in for her.  Just for a while.  You can try it and if you don't like it, it's okay. I'll understand.  No big deal. Whattya think?	Aliens 
RIPLEY	 (voice over) How is he?	BISHOP	 I've isolated a neuro-muscular toxin responsible for the paralysis.  It seems to be metabolizing.  He should wake up soon.	RIPLEY	 Now let me get this straight. The aliens paralyzed the colonists, carried them over there, cocooned them to be hosts for more of those...			Aliens 
BISHOP	 Hard to say.  It may have been blind instinct...attraction to the heat of whatever...but she did choose to incubate her eggs in the one spot where we couldn't destroy her without destroying ourselves.  That's if she exists, of course.	RIPLEY	 (rising) I want those specimens destroyed as soon as you're done with them. You understand?	BISHOP	 Mr. Burke have instructions that they were to be kept alive in stasis for return to the company labs.  He was very specific.	RIPLEY	 Burke!	Aliens 
BURKE	 Now, wait a second --	RIPLEY	 (stepping on him) You sent them to that ship.  I just checked the colony log... directive dates six-twelve-seventy-nine. Signed Burke, Carter J.	RIPLEY	 You sent them out there and you didn't even warn them, Burke. Why didn't you warn them?	BURKE	 Look, maybe the thing didn't even exist, right?  And if I'd made it a major security situation, the Administration would've stepped in.  Then no exclusive rights, nothing.	Aliens 
RIPLEY	 Bad call?  These people are fucking dead, Burke!  Well, they're going to nail your hide to the shed... and I'll be there when they do.	BURKE	 (sadly) I expected more of you, Ripley. I thought you would be smarter than this.	RIPLEY	 Sorry to disappoint you.			Aliens 
HUDSON	 Man, listen to that.	BISHOP	 (voice over) Bishop here.  I'm afraid I have some bad news.	HUDSON	 Well, that's a switch.			Aliens 
VASQUEZ	 Hudson, give us a break.	RIPLEY	 (to Hicks) We need the other drop-ship.  The on one the Sulaco.  We have to bring it down on remote, somehow.	HUDSON	 How?  The transmitter was on the APC.  It's wasted.	RIPLEY	 (pacing) I don't care how!  Think of a way.  Think of something.	Aliens 
HUDSON	 How?  The transmitter was on the APC.  It's wasted.	RIPLEY	 (pacing) I don't care how!  Think of a way.  Think of something.	HUDSON	 Think of what?  We're fucked.	RIPLEY	 What about the colony transmitter? That up-link tower down at the other end.  Why can't we use that?	Aliens 
HUDSON	 Oh, right!  Right!  With those things running around.  No way.	BISHOP	 (quietly) I'll go.	RIPLEY	 What?	BISHOP	 I'm really the only one qualified to remote-pilot the ship anyway. Believe me, I'd prefer not to.  I may be synthetic but I'm not stupid.	Aliens 
RIPLEY	 It's going to be closer.  You better get going.	BISHOP	 (cheerfully) See you soon.					Aliens 
HICKS	 (voice over) They're in the approach corridor.	RIPLEY	 (into mike) On my way.					Aliens 
HUDSON	 Maybe we got 'em demoralized.	HICKS	 (to Vasquez and Hudson) I want you two walking the perimeter. I know we're all in strung out shape but stay frosty and alert. We've got to stop any entries before they get out of hand.	HICKS	 How long since you slept? Twenty-four hours?	RIPLEY	 (grimly) They'll get us.	Aliens 
HICKS	 How long since you slept? Twenty-four hours?	RIPLEY	 (grimly) They'll get us.	HICKS	 Maybe.  Maybe not.	RIPLEY	 Hicks, I'm not going to wind up like those others.  You'll take care of it won't you, it if comes to that?	Aliens 
GORMAN	 You still want to kill me?	VASQUEZ	 (turning away) It won't be necessary.					Aliens 
RIPLEY	 There, there.  Sssshh.  It's all right. EXT. Up-LINK TOWER - VIEW OF AP STATION                 139	BISHOP	 (to himself) Now, if I did it right...					Aliens 
RIPLEY	 (whispers) Newt.  Newt, wake up.	NEWT	 Wah...?  Where are...?	RIPLEY	 (whispers) Sssh.  Don't move.  We're in trouble.			Aliens 
NEWT	 Wah...?  Where are...?	RIPLEY	 (whispers) Sssh.  Don't move.  We're in trouble.	RIPLEY	 (shouting) Hey...hey!	RIPLEY	 Hicks!  Hicks!	Aliens 
