2    CONTINUED:                                                  2		GOMEZ	 (gazing at Morticia) Look at her -- I would die for her. I would kill for her. Either way -- what bliss. Low-voiced, incisive, and subtle, with Morticia, smiles are rare. The ghostly whiteness of her complexion is offset by the red of the pillowcase upon which her hair is spread like a diabolic halo. A dark Garbo, sultry and remote, she's a ruined beauty. Morticia OPENS HER EYES.	GOMEZ	 (adoringly) Unhappy, darling?	MORTICIA	 (passionately) Oh, yes, yes. Completely.	Addams Family, The 
FESTER		ABIGAIL	 (very no-nonsense) We've got to find Tully.					Addams Family, The 
MORTICIA	 (whispering) Look - our little boy.	GOMEZ	 (whispering) All tuckered out.	MORTICIA	 (whispering) So sweet. He looks just... like a little entree. Pugsley wakes up; he looks around.	PUGSLEY	 (sleepy) Where... where's the party?	Addams Family, The 
GOMEZ	 (whispering) All tuckered out.	MORTICIA	 (whispering) So sweet. He looks just... like a little entree. Pugsley wakes up; he looks around.	PUGSLEY	 (sleepy) Where... where's the party?	114   CONTINUED:                                                   114		Addams Family, The 
MORTICIA	 (whispering) So sweet. He looks just... like a little entree. Pugsley wakes up; he looks around.	PUGSLEY	 (sleepy) Where... where's the party?	114   CONTINUED:                                                   114		MORTICIA		Addams Family, The 
GOMEZ		MORTICIA	 (worried) Her favorite...	GOMEZ	 (calls out) Fester!!	FESTER (O.S.)		Addams Family, The 
MORTICIA	 (worried) Her favorite...	GOMEZ	 (calls out) Fester!!	FESTER (O.S.)		GOMEZ		Addams Family, The 
GRANNY	 (calling out) Wednesday! Wednesday!	MORTICIA						Addams Family, The 
TULLY		GOMEZ	 (in disbelief) I am restrained - from my own house!?	TULLY		GOMEZ		Addams Family, The 
MORTICIA		TULLY	 (to Gomez) You're bitter rivals, Gomez - always were, always will be!	124   CONTINUED:                                             124		GOMEZ		Addams Family, The 
WEDNESDAY		GOMEZ	 (to his family) Do not fear - justic shall prevail. The courts will decide! (fervently) They say a man who represents himself has a fool for a client. Well, with God as my witness - I am that fool!					Addams Family, The 
126   CONTINUED:                                                  126		JUDGE WOMACK	 (He holds up a golf ball) I believe this is yours.					Addams Family, The 
WEDNESDAY		GOMEZ	 (in a monotone) They're very bad for you.	WEDNESDAY	 (very worried) Father? Wednesday exchanges a panic-stricken look with Morticia. The family moves closer to Gomez.	GOMEZ		Addams Family, The 
GOMEZ	 (in a monotone) They're very bad for you.	WEDNESDAY	 (very worried) Father? Wednesday exchanges a panic-stricken look with Morticia. The family moves closer to Gomez.	GOMEZ				Addams Family, The 
PUGSLEY		GOMEZ	 (out of it) We're Addamses... He burps -- soap bubbles floating from his mouth.					Addams Family, The 
MORTICIA		PERSONNEL OFFICER	 (knowingly) Liberal Arts. Have you been a volunteer, PTA, service organizations?	MORTICIA		138   CONTINUED:                                                  138		Addams Family, The 
138   CONTINUED:                                                  138		PERSONNEL OFFICER	 (perplexed) With your children?	MORTICIA		PERSONNEL OFFICER		Addams Family, The 
MORTICIA		PERSONNEL OFFICER	 (with some bitterness) Of course not. What is he - A loafer? A hopeless layabout? A shiftless dreamer?	MORTICIA	 (wistfully) Not anymore. The Personnel Officer shoots Morticia a doubtful glance, and begins rifling through her card file.			Addams Family, The 
PERSONNEL OFFICER	 (with some bitterness) Of course not. What is he - A loafer? A hopeless layabout? A shiftless dreamer?	MORTICIA	 (wistfully) Not anymore. The Personnel Officer shoots Morticia a doubtful glance, and begins rifling through her card file.					Addams Family, The 
ABIGAIL		FESTER	 (sadly) I don't know...	ABIGAIL	 (she snaps her fingers in the air, castanet- style, trying to be festive) Ariba! Ariba!	FESTER		Addams Family, The 
FESTER	 (sadly) I don't know...	ABIGAIL	 (she snaps her fingers in the air, castanet- style, trying to be festive) Ariba! Ariba!	FESTER				Addams Family, The 
GIRL SCOUT	 (with grave doubts) Is this made from real lemons?	WEDNESDAY		GIRL SCOUT				Addams Family, The 
ALEX TREBEK	 (reading from the card) Monsters Of History for $200. "He was known as the Butcher of Bavaria."	GOMEZ	 (shouts) Grandfather Addams! (smacks his forehead, hard) Damn! Not in the form of a question!					Addams Family, The 
ABIGAIL		FESTER	 (very flat) Yes, Mother.	ABIGAIL		FESTER		Addams Family, The 
GERALDO		GOMEZ	 (on the studio PA system) Geraldo...	GERALDO	 (cutting him off) Mr. Addams, please stop calling. We don't know where they meet.	GOMEZ		Addams Family, The 
GOMEZ	 (on the studio PA system) Geraldo...	GERALDO	 (cutting him off) Mr. Addams, please stop calling. We don't know where they meet.	GOMEZ		PUGSLEY		Addams Family, The 
MORTICIA		GOMEZ	 (not even turning) A drive? And miss "Matlock"? Granny opens the door and sticks her head in.	GRANNY		GRANNY (O.S.)		Addams Family, The 
ABIGAIL	 (very stern) What?	FESTER	 (dutifully) Yes, mother. It's beautiful.	ABIGAIL	 (instantly very sweet, dabbing her eye with a fingertip) Look - I'm weeping. Abigail exits. The minute the door shuts, Fester gets out of bed. He is fully clothed. He goes to the window, and begins to climb out.			Addams Family, The 
FESTER	 (dutifully) Yes, mother. It's beautiful.	ABIGAIL	 (instantly very sweet, dabbing her eye with a fingertip) Look - I'm weeping. Abigail exits. The minute the door shuts, Fester gets out of bed. He is fully clothed. He goes to the window, and begins to climb out.					Addams Family, The 
MORTICIA	 (to Abigail, graciously) You are a desperate woman, consumed by greed and infinite bitterness. (a beat) We could have been such friends.	ABIGAIL		MORTICIA	 (sweetly, to Abigail) Despite everything, I don't hate you. I pity you. Persecution, fiendish torture, inhuman depravity - sometimes it's just not enough.			Addams Family, The 
ABIGAIL		MORTICIA	 (sweetly, to Abigail) Despite everything, I don't hate you. I pity you. Persecution, fiendish torture, inhuman depravity - sometimes it's just not enough.	ABIGAIL		FESTER		Addams Family, The 
FESTER		ABIGAIL	 (pushing Fester aside) Tully, take over! Tighten it!	156   CONTINUED:   (2)                                         156		TULLY		Addams Family, The 
TULLY		ABIGAIL	 (shoving Tully toward the rack) Do it!	TULLY	 (to Morticia, politely) Where's your bathroom?	ABIGAIL		Addams Family, The 
ABIGAIL	 (shoving Tully toward the rack) Do it!	TULLY	 (to Morticia, politely) Where's your bathroom?	ABIGAIL		NOW!		Addams Family, The 
ABIGAIL		MORTICIA	 (to Tully, flirtatiously) You've done this before.					Addams Family, The 
159   CONTINUED:                                                  159		GOMEZ	 (whispers) Slow down, Thing! It's terrible when you stutter! Frustrated, Thing grabs a SPOON and begins tapping out	GOMEZ				Addams Family, The 
FESTER	 (to Abigail) You can't! Not with red-hot pokers!	TULLY	 (queasy) Is this gonna smell?	MORTICIA	 (graciously, with understanding) Tully Alford - charlatan. Deadbeat. Parasite. How Gomez adored you.	TULLY		Addams Family, The 
TULLY	 (queasy) Is this gonna smell?	MORTICIA	 (graciously, with understanding) Tully Alford - charlatan. Deadbeat. Parasite. How Gomez adored you.	TULLY		FESTER		Addams Family, The 
MORTICIA		ABIGAIL	 (furious) Gordon?	FESTER	 (very upset) I was... restless! I couldn't sleep.	ABIGAIL		Addams Family, The 
ABIGAIL	 (furious) Gordon?	FESTER	 (very upset) I was... restless! I couldn't sleep.	ABIGAIL		ABIGAIL		Addams Family, The 
MORTICIA		GOMEZ	 (to Morticia) To live without you - only that would be torture.	165   CONTINUED:   (3)                                            165		MORTICIA	 (to Gomez) A day alone - only that would be death. Gomez kisses Morticia's hand.	Addams Family, The 
165   CONTINUED:   (3)                                            165		MORTICIA	 (to Gomez) A day alone - only that would be death. Gomez kisses Morticia's hand.	ABIGAIL		FESTER		Addams Family, The 
FESTER		GOMEZ	 (murmuring) Good show, old man... Fester reaches for a DIFFERENT BOOK -- "Hurricane Irene: Nightmare from Above." Seeing the title of the book, Tully suddenly panics:	165   CONTINUED:   (4)                                          165		TULLY		Addams Family, The 
TULLY		FESTER	 (advancing on Tully) Oh, really?	TULLY		FESTER		Addams Family, The 
165    CONTINUED:   (5)                                          165		GOMEZ	 (calling out, to Fester) Old man, this way! ANGLE on Abigail and Fester.	ABIGAIL		FESTER		Addams Family, The 
FESTER		GOMEZ	 (calling out to Fester) Old man! This way! ANGLE ON THING, across the room, struggling across the floor toward the bookshelf. Thing fights the wind, which pelts him with papers and other flying debris. Gomez can no longer fight the storm, and the bookshelf slams shut. Fester desperately tries to close the book to quell the storm, but a HUGE BOLT OF LIGHTNING ZAPS HIM. He falls to the floor, with electricity coursing through him.	166    OMITTED                                                   166		169                                                              169		Addams Family, The 
GRANNY		FESTER	 (petting Thing) Oh, calm down.	PUGSLEY (O.S.)		GOMEZ		Addams Family, The 
GOMEZ		MORTICIA	 (delighted) Look at you.	PUGSLEY	 (to Uncle Fester) How do you like it? Fester is very touched; he picks Pugsley up.	175   CONTINUED:                                               175		Addams Family, The 
MORTICIA	 (delighted) Look at you.	PUGSLEY	 (to Uncle Fester) How do you like it? Fester is very touched; he picks Pugsley up.	175   CONTINUED:                                               175		FESTER		Addams Family, The 
MARGARET		GOMEZ	 (admiringly) It is a wonderful hat.	MARGARET	 (to Wednesday) And what are you, darling?   Where's your costume?	WEDNESDAY	 (solemnly) This is my costume. I'm a homicidal maniac. They look just like everyone else.	Addams Family, The 
GOMEZ	 (admiringly) It is a wonderful hat.	MARGARET	 (to Wednesday) And what are you, darling?   Where's your costume?	WEDNESDAY	 (solemnly) This is my costume. I'm a homicidal maniac. They look just like everyone else.			Addams Family, The 
MARGARET	 (to Wednesday) And what are you, darling?   Where's your costume?	WEDNESDAY	 (solemnly) This is my costume. I'm a homicidal maniac. They look just like everyone else.					Addams Family, The 
FESTER		MORTICIA	 (shaking her head, sadly) But not enough.	PUGSLEY	 (to Fester) She wasn't your mother.     She just said that.	COUSIN IT		Addams Family, The 
MORTICIA	 (shaking her head, sadly) But not enough.	PUGSLEY	 (to Fester) She wasn't your mother.     She just said that.	COUSIN IT		GOMEZ	 (to It) You remember, old sport - she really did find him tangled in a tuna net, twenty-five years ago. With amnesia.	Addams Family, The 
COUSIN IT		MARGARET	 (the coquette) Oh, stop. I'm blushing.	176   CONTINUED:                                             176		GRANNY	 (to Fester) Thank God for that lightning. Knocked some sense into you.	Addams Family, The 
176   CONTINUED:                                             176		GRANNY	 (to Fester) Thank God for that lightning. Knocked some sense into you.	PUGSLEY		GOMEZ	 (jovially) Pugsley...	Addams Family, The 
PUGSLEY		GOMEZ	 (jovially) Pugsley...	176   CONTINUED:   (2)                                           176		PUGSLEY		Addams Family, The 
MORTICIA		FESTER	 (delighted, to Gomez remembering this childhood favorite) "Wake The Dead"!	GOMEZ	 (equally excited) "Wake The Dead"! Out to the cemetery! Come on, everyone! Everyone starts to exit, chattering happily.	MARGARET	 (to Granny) I've never played this before - how does it go?	Addams Family, The 
FESTER	 (delighted, to Gomez remembering this childhood favorite) "Wake The Dead"!	GOMEZ	 (equally excited) "Wake The Dead"! Out to the cemetery! Come on, everyone! Everyone starts to exit, chattering happily.	MARGARET	 (to Granny) I've never played this before - how does it go?	GRANNY		Addams Family, The 
GOMEZ	 (equally excited) "Wake The Dead"! Out to the cemetery! Come on, everyone! Everyone starts to exit, chattering happily.	MARGARET	 (to Granny) I've never played this before - how does it go?	GRANNY		176   CONTINUED:   (3)                                          176		Addams Family, The 
WEDNESDAY		FESTER	 (to Wednesday) I tell you what - we'll give you a head start. Three skulls and a pelvis - how's that? Pugsley and Wednesday cheer and run out.   Fester faces Gomez.	FESTER		GOMEZ		Addams Family, The 
GOMEZ		MORTICIA	 (touched by the brothers devotion) And just as refreshing. Gomez offers his hand.   Fester takes it, in a manly handshake.	GOMEZ		FESTER		Addams Family, The 
MORTICIA	 (deeply satisfied) Our family... what are they?	GOMEZ		MORTICIA				Addams Family, The 
MORTICIA		GOMEZ	 (ecstatic) Cara mia... is it true?	MORTICIA	 (shaking her head "yes") Oui, mon cher... They embrace, as the front door SWINGS OPEN, of its own accord.			Addams Family, The 
GOMEZ	 (ecstatic) Cara mia... is it true?	MORTICIA	 (shaking her head "yes") Oui, mon cher... They embrace, as the front door SWINGS OPEN, of its own accord.					Addams Family, The 
