A STAGE MANAGER	 takes a nervous peek through the curtains to check the audience-- it's a full house. He holds a prop umbrella in one hand, anxiously checks his watch in the other. He looks on both wings of the stage-- and then relief floods his face as he sees The Man in the Grey Suit hurrying over to him. The Stage Manager wordlessly hands him the umbrella and signals to a stagehand in the background. The curtains start to OPEN and the MURMUR of the audience dies down. 1 pg. 2 5   INT. BROADWAY THEATER - THE STAGE - CONTINUOUS                5 The man with the umbrella stands on the empty stage, a single light on him. He is "PROLOGUE". (We will see the same actor later as the "Prologue" of Henry V). "Prologue" regards his audience for a   beat before:	PROLOGUE	 Soul of the Age! The applause, delight, the wonder of our stage! Our Shakespeare, rise... (beat, repeating) Our Shakespeare... For he is all of ours, is he not? The most performed playwright of all time! The author of 37 plays, 154 sonnets, and several epic poems that are collectively known as the ultimate expressions of humanity in the English language. And yet... And yet... (beat) Not a single manuscript of any kind has ever been found written in Shakespeare's own hand. In four hundred years, not one document-- be it poem, play, diary or even a simple letter. (beat) He was born the son of a glove-maker, and at some unknown time, armed with but an elementary school education, he went to London where, the story goes, he became an actor and eventually a playwright.	OFF STAGE	 A stagehand takes a wooden hammer and beats against a flat metal pate, creating the SOUNDS of THUNDER. Another stagehand starts to lift shutters in front of a stage light back and forth to create LIGHTNING STRIKES.			Anonymous 
DEKKER	 Marlowe-- spot me a few pence, will you? Henslowe still owes me for "Shoemaker's Holiday".	MARLOWE	 (retrieving coins) That would be because no one saw "Shoemaker's Holiday".	DEKKER	 Ale here! Marlowe gives the woman a few pennies as--	NASHE	 Kit... Isn't that one of your unrequited loves in the box over there? Marlowe glances across the theater and spots Southampton siting next to Oxford.	Anonymous 
NASHE	 Kit... Isn't that one of your unrequited loves in the box over there? Marlowe glances across the theater and spots Southampton siting next to Oxford.	MARLOWE	 (frowns) But with whom? Tell me not he prefers the company of such old grey men as that! Nashe squints.	NASHE	 I think-- yes, by the beard, that's the Earl of Oxford. Old Tom Hooker used to play for him. Had his own acting troupe for private Court performances and the like.	DEKKER	 I wonder if he needs any material?	Anonymous 
SHAKESPEARE (CONT'D)	 Jonson! Wonderful dialogue! Wonderful. I hope your next--	HENSLOWE (O.C.)	 Will!   Will Shakespeare! Shakespeare turns to see a furious Philip HENSLOWE (50'S) heading his way.	HENSLOWE (CONT'D)	 That's not ale in that goblet is it? Shakespeare hides the goblet behind his back.	SHAKESPEARE	 Ale? Me? Drink during a performance? I am a professional sir! (burps) A complete and-- He is interrupted by SCREAMS.    Not from actors on stage, but by the audience.	Anonymous 
HENSLOWE (CONT'D)	 That's not ale in that goblet is it? Shakespeare hides the goblet behind his back.	SHAKESPEARE	 Ale? Me? Drink during a performance? I am a professional sir! (burps) A complete and-- He is interrupted by SCREAMS.    Not from actors on stage, but by the audience. pg. 15	POLE	 This play has been declared seditious and illegal by Lord William Cecil! The audience begins to BOO at the mention of Cecil.			Anonymous 
SOUTHAMPTON (CONT'D)	 Edward? Oxford turns to him, distracted, and nods.	JONSON	 (to Pole) Seditious? Seditious?! It's a comedy for god's sake! There's nothing seditious about--	POLE	 Oi, is that right, is it?    And you know this because?	JONSON	 Because I wrote the bloody thing!      And- -	Anonymous 
ESSEX	 By the--!	OXFORD	 (to Essex) So! Ten thousand souls. All listening to the writings of one man-- the ideas of one man. That's power, Robert. And if there is one thing the Cecils understand, it's power.	ESSEX	 (snorts) And when did words ever win a kingdom? I think I'll keep my sword, thank you very much. Southampton SERVES as Oxford smiles at Essex's naivet.			Anonymous 
OXFORD	 (to Essex) So! Ten thousand souls. All listening to the writings of one man-- the ideas of one man. That's power, Robert. And if there is one thing the Cecils understand, it's power.	ESSEX	 (snorts) And when did words ever win a kingdom? I think I'll keep my sword, thank you very much. Southampton SERVES as Oxford smiles at Essex's naivet.					Anonymous 
OXFORD (CONT'D)	 (warning) Henry... The Cecils brook no rivals. Southampton pauses, confused for an instant, then--	SOUTHAMPTON	 (re: his discussion with Essex) You heard? Oxford nods.	SOUTHAMPTON (CONT'D)	 Always concerned for me, aren't you Edward? They keep walking towards Southampton's men.	SOUTHAMPTON (CONT'D)	 And what would you have me do?	Anonymous 
SOUTHAMPTON	 Rumor? My god, all you have to do is look at Essex to see the Queen's reflection. Everyone thinks he's her son, everyone! And I for one would rather bow to a Tudor, bastard though he may be, than a Scotsman!	OXFORD	 I desire nothing more than to see the next king be the rightful king. But what Essex contemplates will surely lead to Civil War. (beat) No. If this is to be done, it must be done carefully, skillfully.	SOUTHAMPTON	 As I heard it, Elizabeth exiled you from her presence for the last twenty years because of your "skill" at Court politics. And then he feels instantly ashamed of having said that.	OXFORD	 I only have your interests in mind, Henry. For as you so rightly point out, my interests are already lost.	Anonymous 
SOUTHAMPTON	 Sir Robert.	ROBERT CECIL	 My lord of Southampton. (looking around) Have you seen Essex?	SOUTHAMPTON	 I believe he is still in the viewing chamber with her majesty...	ROBERT CECIL	 (sharp, annoyed) Alone?	Anonymous 
SOUTHAMPTON	 I believe he is still in the viewing chamber with her majesty...	ROBERT CECIL	 (sharp, annoyed) Alone? pg. 22	SOUTHAMPTON	 (smiles) With your father in London dealing with all the troubles in Ireland, who else should the Queen turn to but Essex? Robert Cecil looks annoyed, but holds his tongue as the SOUND of pikes HITTING the floor silences the hall. A FOOTMAN clears his throat and--			Anonymous 
SOUTHAMPTON	 (smiles) With your father in London dealing with all the troubles in Ireland, who else should the Queen turn to but Essex? Robert Cecil looks annoyed, but holds his tongue as the SOUND of pikes HITTING the floor silences the hall. A FOOTMAN clears his throat and--	FOOTMAN	 By the grace of god, her majesty, Elizabeth, Queen of England, Wales and Ireland! (Alzheimer's?). And she compensates for it by being all the more regal, all the more un-human. Essex is on her arm, dressed in a splendid jewel- encrusted doublet. Robert Cecil FROWNS at the sight of Essex on her arm. Essex ignores Cecil's glare, notices Southampton--	ESSEX	 (to Elizabeth) Ah-- Majesty, I've been told my lord of Southampton has a gift for you.	ELIZABETH	 (eyes sparkle) A gift?	Anonymous 
FOOTMAN	 By the grace of god, her majesty, Elizabeth, Queen of England, Wales and Ireland! (Alzheimer's?). And she compensates for it by being all the more regal, all the more un-human. Essex is on her arm, dressed in a splendid jewel- encrusted doublet. Robert Cecil FROWNS at the sight of Essex on her arm. Essex ignores Cecil's glare, notices Southampton--	ESSEX	 (to Elizabeth) Ah-- Majesty, I've been told my lord of Southampton has a gift for you.	ELIZABETH	 (eyes sparkle) A gift?	SOUTHAMPTON	 Yes, your grace, though not from me. Southampton CLAPS his hands and a door across the room	Anonymous 
ESSEX	 (to Elizabeth) Ah-- Majesty, I've been told my lord of Southampton has a gift for you.	ELIZABETH	 (eyes sparkle) A gift?	SOUTHAMPTON	 Yes, your grace, though not from me. Southampton CLAPS his hands and a door across the room pg. 23 Elizabeth's rheumy eyes widen in complete delight, a smile of total jubilation crosses her face. Robert Cecil, on the other hand, looks horrified.			Anonymous 
ELIZABETH	 A play? The dwarf bows his assent.	ROBERT CECIL	 (to the Dwarf) Plays are the work of the devil, born from a cesspool of plague, whoredom, thievery, fornication, and heresy. You may tell your master that her majesty--	ESSEX	 (interrupting) --Will gladly accept your gift. Robert Cecil turns to Essex, shocked.	ESSEX (CONT'D)	 (to Elizabeth) Of course that is if you so desire, majesty. (to Robert Cecil) The choice is her majesty's to make, not yours. Is that not so Sir Robert? Robert frowns as Elizabeth looks around, unsure of the political tides around her. Then--	Anonymous 
ROBERT CECIL	 (to the Dwarf) Plays are the work of the devil, born from a cesspool of plague, whoredom, thievery, fornication, and heresy. You may tell your master that her majesty--	ESSEX	 (interrupting) --Will gladly accept your gift. Robert Cecil turns to Essex, shocked.	ESSEX (CONT'D)	 (to Elizabeth) Of course that is if you so desire, majesty. (to Robert Cecil) The choice is her majesty's to make, not yours. Is that not so Sir Robert? Robert frowns as Elizabeth looks around, unsure of the political tides around her. Then--	ELIZABETH	 (to the dwarf) Comedy? Or tragedy?	Anonymous 
ESSEX (CONT'D)	 (to Elizabeth) Of course that is if you so desire, majesty. (to Robert Cecil) The choice is her majesty's to make, not yours. Is that not so Sir Robert? Robert frowns as Elizabeth looks around, unsure of the political tides around her. Then--	ELIZABETH	 (to the dwarf) Comedy? Or tragedy?	DWARF	 Comedy, majesty.	ELIZABETH	 (delighted) A comedy!	Anonymous 
DWARF	 Comedy, majesty.	ELIZABETH	 (delighted) A comedy! pg. 24	ELIZABETH (CONT'D)	 (beat) By whom?			Anonymous 
DWARF	 By... Anonymous, your majesty...	ELIZABETH	 Anonymous...? (then) Oh, but I do so admire his verse... Elizabeth lets go of Essex, and offers her hand to the Dwarf, who smiles brightly.	ELIZABETH (CONT'D)	 Lead us to this gift. And the Dwarf leads Elizabeth towards the door. Essex follows, and Southampton locks into step next to him. They exchange a knowing look as-- Robert Cecil steps in line far after the Queen, not happy with this turn of events as we hear--	"QUINCE" (O.S.)	 Bless thee, Bottom! Bless thee!      Thou art translated!	Anonymous 
"PUCK" (CONT'D)	 ...And this weak and idle theme, No more yielding but a dream, gentles, do not reprehend; if you pardon, we will mend.	A STERN LOOKING MAN	 is watching a few seats   away from Young Elizabeth.   He is WILLIAM CECIL (40's,   Robert's father). He is a Puritan, dressed all in   black (with a white lace collar), and has a long   beard. He is frowning, loathing the play. pg. 27	ON STAGE				Anonymous 
BOY OXFORD	 I did indeed, your majesty.	YOUNG ELIZABETH	 You sport with me. (smiling) Compose something.	BOY OXFORD	 Now? pg. 28			Anonymous 
BOY OXFORD	 On what subject, your grace? She thinks.   Then--	YOUNG ELIZABETH	 (smiles) Truth...	BOY OXFORD	 (thinks, then--) For... Truth... is Truth... Though... never so old... and time cannot make that false, which once was true. She smiles, claps.	YOUNG ELIZABETH	 (to John de Vere) My lord of Oxford. It seems you have added a poet to your family's long line of warriors.	Anonymous 
YOUNG ELIZABETH	 (smiles) Truth...	BOY OXFORD	 (thinks, then--) For... Truth... is Truth... Though... never so old... and time cannot make that false, which once was true. She smiles, claps.	YOUNG ELIZABETH	 (to John de Vere) My lord of Oxford. It seems you have added a poet to your family's long line of warriors.	BOY OXFORD	 Madam, I am as accomplished with the sword and the musket as I am with verse.	Anonymous 
BOY OXFORD	 (thinks, then--) For... Truth... is Truth... Though... never so old... and time cannot make that false, which once was true. She smiles, claps.	YOUNG ELIZABETH	 (to John de Vere) My lord of Oxford. It seems you have added a poet to your family's long line of warriors.	BOY OXFORD	 Madam, I am as accomplished with the sword and the musket as I am with verse.	YOUNG ELIZABETH	 (amused) Are you indeed?	Anonymous 
BOY OXFORD	 Madam, I am as accomplished with the sword and the musket as I am with verse.	YOUNG ELIZABETH	 (amused) Are you indeed?	BOY OXFORD	 (nods seriously) It is my only desire to one day be your majesty's most trusted servant in matters both of war and state, if you will but have me.	YOUNG ELIZABETH	 (charmed) Why, Lord Cecil, it seems we may very well have found your replacement.	Anonymous 
YOUNG ELIZABETH	 (amused) Are you indeed?	BOY OXFORD	 (nods seriously) It is my only desire to one day be your majesty's most trusted servant in matters both of war and state, if you will but have me.	YOUNG ELIZABETH	 (charmed) Why, Lord Cecil, it seems we may very well have found your replacement.	WILLIAM CECIL	 We hope not too soon, majesty, we hope not too soon.	Anonymous 
BOY OXFORD	 (nods seriously) It is my only desire to one day be your majesty's most trusted servant in matters both of war and state, if you will but have me.	YOUNG ELIZABETH	 (charmed) Why, Lord Cecil, it seems we may very well have found your replacement.	WILLIAM CECIL	 We hope not too soon, majesty, we hope not too soon. pg. 29			Anonymous 
GUARD (CONT'D)	 Got powerful friends, now, don't you? 26A   EXT. A BOAT - RIVER THAMES - DAY                                26A Jonson is in a nobleman's longboat (for the first time in his life). Across from him sits FRANCESCO-- Italian, 60's-- wearing a doublet with the Oxford coat of arms on its chest. The City of London is far in the distance. Jonson looks around uncomfortably at the luxurious boat for a moment before--	JONSON	 And who are you? Francesco just stares back.	JONSON (CONT'D)	 And where are we going? Francesco is silent.			Anonymous 
A RED ROSE	 as it is cut from its bush by ink-stained hands.       We are: 27    EXT. OXFORD STONE - GARDEN - DAY                                 27 Oxford smells the rose, inhaling its essence. Then he turns and sees Francesco escorting Ben Jonson towards him. Before they reach him he glances at his wife ANNE De Vere (40's) who sits in the distance knitting with one of their daughter's, BRIDGET (17). Jonson is quite uncomfortable to be at such a grand place. Jonson CLEARS his throat.	JONSON	 My lord... pg. 31					Anonymous 
OXFORD (CONT'D)	 It did, however, serve as helpful when I wrote to your jailers to release you in my father-in-law's name. Jonson suddenly looks worried and turns and looks back to Anne.	JONSON	 (in a panicked whisper) My lord-- I'm sorry, does that mean my release is not officially sanctioned?	OXFORD	 Don't be an idiot Jonson, of course it wasn't. (beat) But you are free, are you not? They have come to an entrance to a GARDEN MAZE and Anne watches them as they disappear into the maze. pg. 32			Anonymous 
JONSON	 (in a panicked whisper) My lord-- I'm sorry, does that mean my release is not officially sanctioned?	OXFORD	 Don't be an idiot Jonson, of course it wasn't. (beat) But you are free, are you not? They have come to an entrance to a GARDEN MAZE and Anne watches them as they disappear into the maze. pg. 32					Anonymous 
JONSON	 Politics? My play had nothing to do with politics! It was just a simple comedy--	OXFORD	 That showed your betters as fools who go through life barely managing to get food from plate to mouth, were it not for the cleverness of their servants. (beat) All art is political, Jonson. Otherwise it would just be decoration. And all artists have something to say, otherwise... they'd make shoes. And you're not a cobbler, are you, Jonson? As they enter the center of the maze, Oxford turns to his servant.	OXFORD (CONT'D)	 (nods) Francesco. Francesco steps forward and hands Jonson a leather bound manuscript. Jonson looks at it confused and opens it.	JONSON	 A play, my lord?	Anonymous 
FRANCESCO	 That is for your trouble, Signor Jonson. And your silence. If I hear you break that silence, then... not so good for Signor Jonson. And Francesco follows after his master as Jonson picks up the pouch, examining its contents. And then Jonson realizes he doesn't know how to get out of the maze. He chases after them.	JONSON	 Hello?   My lord?! I-- And he's lost. He looks this way and that, then picks a path (the wrong one).					Anonymous 
JONSON	 Hello?   My lord?! I-- And he's lost. He looks this way and that, then picks a path (the wrong one). 29   EXT. CECIL HOUSE - DAY                                      29 Robert Cecil is standing at the opulent river   entrance to Cecil House, waiting for an enormous barge   docking. William Cecil (now 75) is at the front of the   barge, waiting to disembark. He constantly holds an    ornately carved white cane.	WILLIAM CECIL	 So! I am gone for three days, and you somehow manage to let her spend all of them solely in the company of the Earl of Essex... Robert Cecil looks at him sharply.   How did he know.	WILLIAM CECIL (CONT'D)	 Don't think because I was in London, I didn't know exactly what went on here in my absence.			Anonymous 
ROBERT CECIL	 He is an Earl, father. I cannot deny him--	WILLIAM CECIL	 Of course not! You don't deny him anything. You find excuses. She is unwell, she is reading, she is seeing the Ambassador from Russia. For God's sake, use your imagination, Robert. Whatever will you do when I am gone? (beat) We will have to deal with Essex soon. His ambitions are becoming a nuisance.					Anonymous 
ROBERT CECIL	 It-- it was an anonymous gift. Essex insisted it be performed, just to spite me in front of Court...	WILLIAM CECIL	 Of course he did. (concerned) But what was it about?	ROBERT CECIL	 About? Some nonsense about fairies and cherubs.	WILLIAM CECIL	 ...And dancing asses? Robert looks surprised at his father who has stopped suddenly.	Anonymous 
ROBERT CECIL	 Father...    It was just a play...	WILLIAM CECIL	 And do you know how long it took me to banish them from her presence? She adores them! Adores them! And Edward knows it. (beat) Mark my words, Robert, he has done this for a purpose.	ROBERT CECIL	 Purpose?    What purpose?	WILLIAM CECIL	 (thinking, to himself) What purpose indeed? (to Robert) But through your carelessness I must now deal not only with Essex, but Edward as well. For whether in shadow or in person, Edward has returned to Court! And with that he slams the door shut. Robert Cecil walks over to a nearby window. Visibly upset he starts to stare out of the window and remembers...	Anonymous 
ROBERT CECIL	 Purpose?    What purpose?	WILLIAM CECIL	 (thinking, to himself) What purpose indeed? (to Robert) But through your carelessness I must now deal not only with Essex, but Edward as well. For whether in shadow or in person, Edward has returned to Court! And with that he slams the door shut. Robert Cecil walks over to a nearby window. Visibly upset he starts to stare out of the window and remembers...					Anonymous 
BOY ROBERT CECIL (O.S.)	 Are you going to live here forever? Everybody turns and sees the odd hunchback child has finally come over.	YOUNG OXFORD	 (smiles) No.    Only until I reach my maturity.	BOY ROBERT CECIL	 Why?	WILLIAM CECIL	 Because the Queen has bade it so. (to Young Oxford) My lord, when we first met, you said you wished to become a great man of State. Both the Queen and I hope to make that so.	Anonymous 
BOY ROBERT CECIL	 Why?	WILLIAM CECIL	 Because the Queen has bade it so. (to Young Oxford) My lord, when we first met, you said you wished to become a great man of State. Both the Queen and I hope to make that so. pg. 38	WILLIAM CECIL (CONT'D)	 To that end, I have the honor of introducing you to your tutors. (indicates one of them) Seven to eight you shall be tutored in French by Mister Crane--			Anonymous 
WILLIAM CECIL	 Nine to ten is Greek with Mister Simmons.	YOUNG OXFORD	 (in Greek) Dalon, an d'ego, hoti mathamata ge esti ha trafo psychas.	BOY ROBERT CECIL	 Is that Homer?	YOUNG OXFORD	 (sharp) No.   Plato. Boy Robert frowns at the correction.	Anonymous 
BOY ROBERT CECIL	 Is that Homer?	YOUNG OXFORD	 (sharp) No.   Plato. Boy Robert frowns at the correction.	WILLIAM CECIL	 (slight frown, then) And you know your uncle, Mister Golding, who has petitioned me to allow you to assist him in his translations of ancient Latin texts into English.	YOUNG OXFORD	 (in Latin) Continetne, ut spero, Ovidii Metamorphose? Mihi honori erit, patrue Mister Golding bows his head in appreciation.	Anonymous 
YOUNG OXFORD	 (sharp) No.   Plato. Boy Robert frowns at the correction.	WILLIAM CECIL	 (slight frown, then) And you know your uncle, Mister Golding, who has petitioned me to allow you to assist him in his translations of ancient Latin texts into English.	YOUNG OXFORD	 (in Latin) Continetne, ut spero, Ovidii Metamorphose? Mihi honori erit, patrue Mister Golding bows his head in appreciation.	WILLIAM CECIL	 Then cosmography with Doctor Richards. Two to three is geography and history, and four to five fencing. William Cecil seems to have finished.	Anonymous 
WILLIAM CECIL	 (slight frown, then) And you know your uncle, Mister Golding, who has petitioned me to allow you to assist him in his translations of ancient Latin texts into English.	YOUNG OXFORD	 (in Latin) Continetne, ut spero, Ovidii Metamorphose? Mihi honori erit, patrue Mister Golding bows his head in appreciation.	WILLIAM CECIL	 Then cosmography with Doctor Richards. Two to three is geography and history, and four to five fencing. William Cecil seems to have finished. pg. 39			Anonymous 
JONSON	 I tell you Will-- I came to London to become a great poet, to, to, be the conscience of our times, the soul of our age! To change the world, not to become someone else's--	SHAKESPEARE	 (amused) Change the world? With rhyme?	JONSON	 Yes, why not? Why can't a man change the world with words? Shakespeare laughs at him.	JONSON (CONT'D)	 (mimicking Oxford) "I can make you the most popular and the richest playwright in all of London." (takes a swig) Ballocks! I can do that myself, thank you very much.	Anonymous 
JONSON	 Not half--?! You're an actor, what in God's name do you know about writing?! He's an amateur, Will, a complete and utter amateur. Last week gardening, this week playwrighting, next week hawking. (takes another swig) No. I won't do it. It would be an affront against the Muses...	SHAKESPEARE	 (smiles) Well we musn't offend the muses, whatever we do. (thinks, then) How much money did you say he gave you?	JONSON	 What, you think my name can be bought, if the number's great enough, do you? Shakespeare smiles enigmatically.	SHAKESPEARE	 No, not at all... I think we should keep your good name quite intact, thank you very much. Jonson frowns, confused as we--	Anonymous 
WILLIAM CECIL	 There are rumors of his sending financial aid, and even troops. We must act quickly. (beat) We must replace the Lord Lieutenant of Ireland, and send additional troops immediately, majesty.	ELIZABETH	 Replace?   With whom? William Cecil hesitates slightly, then--	WILLIAM CECIL	 I would recommend the Earl of Essex, your majesty.			Anonymous 
WILLIAM CECIL	 I would recommend the Earl of Essex, your majesty.	ELIZABETH	 Essex?  To Ireland? (frowns) For how long?	WILLIAM CECIL	 As long as the present crisis warrants, majesty.	ELIZABETH	 Impossible. He cannot be spared. We feel his counsel is of greater import with each passing day. Not what William Cecil wanted to hear.	Anonymous 
ELIZABETH	 Impossible. He cannot be spared. We feel his counsel is of greater import with each passing day. Not what William Cecil wanted to hear.	WILLIAM CECIL	 I only recommend we send your most able subjects where they are most needed, majesty. (beat, a last-ditch effort) Philip of Spain dreams still of taking your kingdom from you. pg. 45	WILLIAM CECIL (CONT'D)	 Of burning you at the stake as a heretic. Give him a foot-hold in Ireland, and--			Anonymous 
ELIZABETH	 But Essex?	WILLIAM CECIL	 Essex's martial abilities are, in my opinion, the only antidote to the plague of Philip. (clears his throat) Though, Essex would not, unfortunately, be able to remain in the Privy Council if he is in Ireland...	ELIZABETH	 And who would you advise to replace him? Three ladies-in-waiting approach with three different gown. Elizabeth studies them as:	WILLIAM CECIL	 Sir Robert Cecil.	Anonymous 
OXFORD	 I can't give it to you.	NASHE	 I for one wish to see this anonymous colleague of ours. (stands) Playwright! Playwright!! Marlowe and others join in.   And--	SOUTHAMPTON	 If he is to be my king, then it is my sacred duty to be with him in battle. pg. 54 Oxford tries to understand Southampton, but then notices Shakespeare on stage. His mouth opens in shock, and he turns to look across the theater at--			Anonymous 
JONSON	 My lord, your voice is completely different than mine. My, my, my characters are--	OXFORD	 Voice? You have no voice! That's why I chose you! (beat, softer) You at least kept my name from him? Jonson NODS.	OXFORD (CONT'D)	 And will continue to do so? Oxford studies him, believes him.   Then he opens a cabinet. In it, manuscript after manuscript are stacked.     Jonson looks behind him, stunned by the number. Oxford looks up and down the cabinet. He pulls one out, decides no, and puts it back, looking for just the right one... He pulls another out, then hands it to Jonson.	OXFORD (CONT'D)	 A romantic tragedy. In iambic pentameter.	Anonymous 
OXFORD (CONT'D)	 A romantic tragedy. In iambic pentameter.	JONSON	 (amazed) All, my lord? Is that possible?	OXFORD	 Of course it is!			Anonymous 
ANNE (CONT'D)	 Edward-- we must discuss our Bridget's dowry.	OXFORD	 (looking up - confused) Dowry? He remembers when he spies his daughter.	ANNE	 She cannot go into marriage without a dowry that is becoming to the daughter of the Earl Oxford.	OXFORD	 I can give her Brooke House and a hundred pounds.	Anonymous 
