LUTHER	 (as they nod to each other) Redhead.	RED	 Luther. (as Luther hands him a videotape) Your life would be a whole lot simpler if you could learn to operate a V.C.R.	LUTHER	 My only failing.			Absolute Power 
COLLIN	 -- I better get cracking on that license number --	RUSSELL	 (no anger now) -- it's all we've got -- and he's got the letter opener -- blood, fingerprints -- Jesus, think what he can do --	BURTON	 (a powerful man who speaks softly) -- the man is a thief -- a thief who witnessed a murder --	131   CONTINUED:                                                   131		Absolute Power 
RUSSELL	 (no anger now) -- it's all we've got -- and he's got the letter opener -- blood, fingerprints -- Jesus, think what he can do --	BURTON	 (a powerful man who speaks softly) -- the man is a thief -- a thief who witnessed a murder --	131   CONTINUED:                                                   131		BURTON (CONT'D)	 (gesturing around) -- it looks like he stole a whole bunch of money -- I'll tell you what he's going to do. (beat) He's going to run like hell.	Absolute Power 
131   CONTINUED:                                                   131		BURTON (CONT'D)	 (gesturing around) -- it looks like he stole a whole bunch of money -- I'll tell you what he's going to do. (beat) He's going to run like hell.					Absolute Power 
KATE	 About?	LUTHER	 Believe it or not, the weather. (as she waits) Nights are starting to get cold.	KATE	 That happens this time of year.	LUTHER	 I was thinking of maybe relocating. Someplace with a kinder climate. (nothing shows on her face) I just wanted to check it out with you first... (still nothing) ... you're the only family I've got.	Absolute Power 
KATE	 That happens this time of year.	LUTHER	 I was thinking of maybe relocating. Someplace with a kinder climate. (nothing shows on her face) I just wanted to check it out with you first... (still nothing) ... you're the only family I've got.	KATE	 Luther, you don't have me.	LUTHER	 Kate --	Absolute Power 
LUTHER	 This move -- I'm talking permanent, you understand.	KATE	 We don't see each other anyway -- we haven't seen each other since Mom died and that's a year. (a step toward him) Look, you chose your life. You had that right. You were never around for me. Fine. But I have no plans to be around for you.	KATE	 (louder now) -- wait a minute -- you're lying about something, aren't you? --	LUTHER	 -- no --	Absolute Power 
LUTHER	 -- no --	KATE	 -- I don't believe you -- (big) -- Christ, Father, what have you done?					Absolute Power 
SETH	 Christy Sullivan?	MEDICAL EXAMINER	 (nods) Wife of Walter -- most likely came home and stumbled onto a burglary --	WOMAN (O.S.)	 -- some burglary.	LAURA SIMON	 I wish my carpets were this clean. And I can't find a single decent                        * fingerprint.	Absolute Power 
SETH	 You serious, Laura?	LAURA SIMON	 (bewildered) It's like Mary Poppins was here.	SETH	 Could someone have let him in?	LAURA SIMON	 Sorry, Seth, but the entire Sullivan household went to Barbados two days ago.	Absolute Power 
136   CONTINUED:    (2)                                              136		LAURA SIMON	 Wait -- it gets worse -- (moving to the door) -- the shots came from here. If she interrupted a burglary, she should have been here -- (moving to the bed now) -- she was killed where she is -- all the blood patterns indicate that. But she was looking toward the bed -- what in hell was she looking at?					Absolute Power 
LAURA SIMON	 Looks like someone sat here -- but I couldn't find any prints. (lowering her voice -- indicating the one-way mirror) You think Sullivan holed up in the chair and watched his wife perform?	SETH	 I hope not -- (shakes his head) -- he's such a great man.					Absolute Power 
SETH	 (as he moves past) Careful digging that out.	MEDICAL EXAMINER	 Looks like he tried to strangle her.	138   CONTINUED:                                                   138				Absolute Power 
LAURA SIMON	 Maybe he couldn't remember if he fucked her.	SETH	 (has to laugh) A strong burglar with a weak mind -- obviously another open and shut case...					Absolute Power 
SETH	 Mr. Sullivan? -- I'm Seth Frank, senior homicide detective for Middleton County --	SANDY LORD	 (protectively) -- my client is in no mood for conversation, sir.	WALTER SULLIVAN	 It's all right, Sandy -- (looks at Seth) -- you're in charge of the case?	SETH	 (nods) I have to ask some questions, but it can be tomorrow.	Absolute Power 
SANDY LORD	 (protectively) -- my client is in no mood for conversation, sir.	WALTER SULLIVAN	 It's all right, Sandy -- (looks at Seth) -- you're in charge of the case?	SETH	 (nods) I have to ask some questions, but it can be tomorrow.	WALTER SULLIVAN	 You want what, positive identification? Yes, that was my wife. Anything else?	Absolute Power 
WALTER SULLIVAN	 It's all right, Sandy -- (looks at Seth) -- you're in charge of the case?	SETH	 (nods) I have to ask some questions, but it can be tomorrow.	WALTER SULLIVAN	 You want what, positive identification? Yes, that was my wife. Anything else?	SETH	 (notebook in hand) You'd been in Barbados for two days?	Absolute Power 
WALTER SULLIVAN	 You want what, positive identification? Yes, that was my wife. Anything else?	SETH	 (notebook in hand) You'd been in Barbados for two days?	WALTER SULLIVAN	 (nods) I took the entire staff down -- always do this time of year.	SETH	 But Mrs. Sullivan didn't come.	Absolute Power 
SETH	 (notebook in hand) You'd been in Barbados for two days?	WALTER SULLIVAN	 (nods) I took the entire staff down -- always do this time of year.	SETH	 But Mrs. Sullivan didn't come.	WALTER SULLIVAN	 She was, had it all planned, but you know women, they change their minds.	Absolute Power 
146   CONTINUED:                                                      146		WALTER SULLIVAN (CONT'D)	 (to Seth, softly) I'd been married to my Rebecca for forty-seven years and when she died, I decided I never wanted that pain again. One thing I knew about Christy: she was going to outlive me.	SANDY LORD	 I think that's enough for today.	SETH	 (beat) I have to ask about the vault.	Absolute Power 
SANDY LORD	 I think that's enough for today.	SETH	 (beat) I have to ask about the vault.	WALTER SULLIVAN	 You mean the contents of the vault of course -- (turns to Sandy) -- Sandy, you go on, I'm all right. (as Sandy looks at him a moment) Really. Go to the reception -- obviously I can't make it, but I'm sure everyone will understand.	WALTER SULLIVAN	 I know it's not the contents -- (as Seth embarrassed, stands there) You mean the chair. You have to ask about the chair.	Absolute Power 
SETH	 (beat) I have to ask about the vault.	WALTER SULLIVAN	 You mean the contents of the vault of course -- (turns to Sandy) -- Sandy, you go on, I'm all right. (as Sandy looks at him a moment) Really. Go to the reception -- obviously I can't make it, but I'm sure everyone will understand.	WALTER SULLIVAN	 I know it's not the contents -- (as Seth embarrassed, stands there) You mean the chair. You have to ask about the chair.	SETH	 (soft) Yessir, I do.	Absolute Power 
WALTER SULLIVAN	 I know it's not the contents -- (as Seth embarrassed, stands there) You mean the chair. You have to ask about the chair.	SETH	 (soft) Yessir, I do.	WALTER SULLIVAN	 But why?   Are they connected?	146   CONTINUED:    (2)                                             146		Absolute Power 
146   CONTINUED:    (2)                                             146		SETH	 I think someone sat in it -- and I think that someone may have been involved in the murder. (beat) You were my father's hero, Mr. Sullivan, I promise you this won't make my highlight reel.	WALTER SULLIVAN	 I'd hoped I could satisfy her... but you know... she had needs and she didn't want to go behind my back... she suggested the chair... she hoped I might get to like sitting there... (beat) ... I didn't... (takes a breath) I've tried for eighty years to live a decent life. I've given a billion dollars to charity. If this comes to trial, none of that will be remembered -- I'll just go out as the joke of the world.	SETH	 I understand, sir; I'll do what I can.	Absolute Power 
SETH	 I think someone sat in it -- and I think that someone may have been involved in the murder. (beat) You were my father's hero, Mr. Sullivan, I promise you this won't make my highlight reel.	WALTER SULLIVAN	 I'd hoped I could satisfy her... but you know... she had needs and she didn't want to go behind my back... she suggested the chair... she hoped I might get to like sitting there... (beat) ... I didn't... (takes a breath) I've tried for eighty years to live a decent life. I've given a billion dollars to charity. If this comes to trial, none of that will be remembered -- I'll just go out as the joke of the world.	SETH	 I understand, sir; I'll do what I can.	WALTER SULLIVAN	 (beat) Will you listen to me whine? Please forgive me, Mr. Frank. Just do your job. (beat) And I'll do mine.	Absolute Power 
SETH	 I understand, sir; I'll do what I can.	WALTER SULLIVAN	 (beat) Will you listen to me whine? Please forgive me, Mr. Frank. Just do your job. (beat) And I'll do mine.					Absolute Power 
MAN (O.S.)	 Sandy. (as Sandy turns) Is there anything I can do?	SANDY LORD	 Mr. President.	RICHMOND	 Take a walk with me.			Absolute Power 
149   CONTINUED:                                                149		RICHMOND	 Any news of the killer? (as Sandy indicates "no") Well, why isn't there? Who's in charge of the case?	SANDY LORD	 Top man -- eight years homicide work in New York. But I understand how you feel -- it's hard to be patient.	RICHMOND	 (terribly upset) No one understands how I feel -- I'm supposed to have all this power but I can't help my oldest friend -- you know and I know that more than any man alive Walter Sullivan put me here -- and now when he most needs me, he must feel abandoned.	Absolute Power 
SANDY LORD	 Top man -- eight years homicide work in New York. But I understand how you feel -- it's hard to be patient.	RICHMOND	 (terribly upset) No one understands how I feel -- I'm supposed to have all this power but I can't help my oldest friend -- you know and I know that more than any man alive Walter Sullivan put me here -- and now when he most needs me, he must feel abandoned.	RICHMOND	 -- I'll hold a press conference -- and I'll have Walter come -- and I will embrace him before the world.	SANDY LORD	 He'll treasure that, Mr. President. What a generous gesture. Thank you. Thank you.	Absolute Power 
SANDY LORD	 He'll treasure that, Mr. President. What a generous gesture. Thank you. Thank you.	RICHMOND	 (quick smile) Damn tennis elbow is killing me.					Absolute Power 
RICHMOND	 (throws off his jacket, turns on Russell) This thing's worse, Gloria. I need to see a doctor.	RUSSELL	 The country would have to be informed, Mr. President.	RICHMOND	 What happened to my right to privacy? (rolls up his sleeve, studies his cut) I think she nicked a tendon.			Absolute Power 
RUSSELL	 The country would have to be informed, Mr. President.	RICHMOND	 What happened to my right to privacy? (rolls up his sleeve, studies his cut) I think she nicked a tendon.	RUSSELL	 Burton says it's a flesh wound --	RICHMOND	 (to Burton) -- when did you become such an expert, Bill? -- Ever been wounded? --	Absolute Power 
RUSSELL	 Burton says it's a flesh wound --	RICHMOND	 (to Burton) -- when did you become such an expert, Bill? -- Ever been wounded? --	BURTON	 (quietly) Yes, sir. Many times.	RUSSELL	 Are you serious about that press conference, Alan?	Absolute Power 
RICHMOND	 (to Burton) -- when did you become such an expert, Bill? -- Ever been wounded? --	BURTON	 (quietly) Yes, sir. Many times.	RUSSELL	 Are you serious about that press conference, Alan?	RICHMOND	 Of course I am -- Walter's been like a father to me.	Absolute Power 
151   CONTINUED:                                              151		RICHMOND	 I think Mrs. Richmond's mission to help the poor in Asia should not be interrupted. (takes a breath, starts to button his shirt) We know anything yet?	RUSSELL	 We checked his license plate -- he stole the car from a police impoundment lot.	RICHMOND	 We're not dealing with a fool here. (gestures toward his jacket, as Russell helps him into it) Has he initiated contact?	Absolute Power 
RUSSELL	 We checked his license plate -- he stole the car from a police impoundment lot.	RICHMOND	 We're not dealing with a fool here. (gestures toward his jacket, as Russell helps him into it) Has he initiated contact?	RUSSELL	 Burton doesn't think he will.	RICHMOND	 I agree. (checking himself in a mirror) Sorry about my behavior -- won't happen again; think of it as a blip on the screen. And as far as I'm concerned, so is he.	Absolute Power 
RUSSELL	 Burton doesn't think he will.	RICHMOND	 I agree. (checking himself in a mirror) Sorry about my behavior -- won't happen again; think of it as a blip on the screen. And as far as I'm concerned, so is he.	RUSSELL	 He could be a little more than that, Alan -- he saw.	RICHMOND	 He saw nothing -- a drunk woman who liked rough sex too much. And he's a burglar. Who's going to believe him? (beat) After all, it's not as if he had evidence or anything...	Absolute Power 
RUSSELL	 He could be a little more than that, Alan -- he saw.	RICHMOND	 He saw nothing -- a drunk woman who liked rough sex too much. And he's a burglar. Who's going to believe him? (beat) After all, it's not as if he had evidence or anything...					Absolute Power 
157   CONTINUED:                                                     157		VALERIE	 (as they study the pictures) You always did disappear good, Luther.	LUTHER	 You mean I've got a weak face. Thanks, Val.	VALERIE	 You're lucky is all -- some of my customers, they stand out no matter what.	Absolute Power 
VALERIE	 How many passports you need?	LUTHER	 (thinks) Four should cover it.	VALERIE	 (writes this down) Now you'll want different looks, and matching international driver's licenses -- I'll throw in some dummy credit cards, seeing it's you. How the rugs I made you holding up?	LUTHER	 They're good. Beards and mustaches, too.	Absolute Power 
LUTHER	 (thinks) Four should cover it.	VALERIE	 (writes this down) Now you'll want different looks, and matching international driver's licenses -- I'll throw in some dummy credit cards, seeing it's you. How the rugs I made you holding up?	LUTHER	 They're good. Beards and mustaches, too.	VALERIE	 (pleased) I try to give value for money. Leaving the country permanent?	Absolute Power 
LUTHER	 They're good. Beards and mustaches, too.	VALERIE	 (pleased) I try to give value for money. Leaving the country permanent?	LUTHER	 It may come to that.	157   CONTINUED:    (2)                                            157		Absolute Power 
VALERIE	 I never figured you for a runner -- thirty percent of my runners kill themselves within five years.	LUTHER	 (kisses her forehead) Five years doesn't sound so bad to me just now.					Absolute Power 
LAURA	 Now you're the burglar coming out of the vault and being surprised.	SETH	 Gold star. (aims his finger like a pistol) I draw my gun --	LAURA	 (cutting in) -- then why do you bother to strangle her when you could just shoot?	SETH	 That's nothing -- why do I bother to have her strip and then put her clothes back on?	Absolute Power 
SETH	 Gold star. (aims his finger like a pistol) I draw my gun --	LAURA	 (cutting in) -- then why do you bother to strangle her when you could just shoot?	SETH	 That's nothing -- why do I bother to have her strip and then put her clothes back on?	LAURA	 There I can help you -- see, before you were a burglar you were a dry cleaner and you still love beautiful clothes.	Absolute Power 
LAURA	 Maybe whoever drove her home killed her.	SETH	 You saying the burglar drove her home? (pissed) I hate this case.	TELEPHONE REPAIRMAN	 Lieutenant? -- sorry to bother you	--	 (as Seth turns) I've got your phone working again, shouldn't give you any more trouble.	Absolute Power 
TELEPHONE REPAIRMAN	 Lieutenant? -- sorry to bother you	--	 (as Seth turns) I've got your phone working again, shouldn't give you any more trouble.	SETH	 Good service, thanks.	TELEPHONE REPAIRMAN	 (dazzling smile as he goes) Part of the job.	Absolute Power 
SETH	 Good service, thanks.	TELEPHONE REPAIRMAN	 (dazzling smile as he goes) Part of the job.	SETH	 Oh yeah    -- remember that bullet hole in    the wall? Had the lab dig out the    slug -- guess what -- no slug --    why does the burglar take the time    to do that?	LAURA	 Different from the one in her body?	Absolute Power 
158   CONTINUED:    (3)                                           158   *		SETH	 (getting more and more upset) Oh I like that a lot -- two different guns means two different burglars. Two guys broke in? And they both went out the window? Bullshit. (big) And oh, by the way, why does he -- or they -- go out the window in the first place when he -- or they -- got in by breaking a zillion- dollar security system? --	COP (O.S.)	 -- Seth?	SETH	 (whirling) What?	Absolute Power 
COP (O.S.)	 -- Seth?	SETH	 (whirling) What?	COP	 (in doorway) A Bill Burton of the Secret Service in the parking lot.	SETH	 (gives papers to Laura) Here, you solve the goddam thing. (as he starts away) Did I mention that I hate this case? I really truly hate this case -- you cannot imagine how much I hate it --	Absolute Power 
SETH	 (whirling) What?	COP	 (in doorway) A Bill Burton of the Secret Service in the parking lot.	SETH	 (gives papers to Laura) Here, you solve the goddam thing. (as he starts away) Did I mention that I hate this case? I really truly hate this case -- you cannot imagine how much I hate it --			Absolute Power 
COP	 (in doorway) A Bill Burton of the Secret Service in the parking lot.	SETH	 (gives papers to Laura) Here, you solve the goddam thing. (as he starts away) Did I mention that I hate this case? I really truly hate this case -- you cannot imagine how much I hate it --					Absolute Power 
BURTON	 (as they shake) Bill Burton, hi --	SETH	 -- hi, Seth Frank --	BURTON	 -- I know you must be going crazy -- but the boss is very interested in your progress. Maybe we can help each other.			Absolute Power 
SETH	 What did you have in mind?	BURTON	 You know how close he and Sullivan are? (as Seth nods) The minute anything breaks, if you'd call me, I'd tell the President. That way, he'd be the first to alert Mr. Sullivan -- it would mean a lot to him. And any red tape you want cut -- done. (as he takes out card) Here are my numbers.	BURTON	 (getting in) Leads?	SETH	 Still trying to figure out what might have happened --	Absolute Power 
BURTON	 -- I loved playing Sherlock Holmes.	SETH	 (surprised) You Secret Service guys do that?	BURTON	 I was State Trooper here ten years ago before the Government got me.	SETH	 You're that Bill Burton.	Absolute Power 
SETH	 You're that Bill Burton.	BURTON	 I was younger and dumber then. (quickly) Keep in touch.					Absolute Power 
WALTER SULLIVAN	 I have no idea who I'm after. Until I do, you will have to wait in Washington for instructions.	162   CONTINUED:                                                      162	 (explaining as they walk) Mine isn't particularly creative work -- I only do it because I enjoy living beyond my means. I can't afford to just sit around.	WALTER SULLIVAN	 When I was 10 my father died -- he was a miner and lung disease killed him. I became rich at 25 and the first thing I did was purchase that mine, close it, and give every miner there fifty thousand dollars to retire on. (beat; staring at McCarty now) You will come to Washington, Mr. McCarty. You will put one million dollars expenses into the Swiss                          * bank account of your choosing. (beat) And, when the time comes, two million dollars a bullet. (smiles, nods) You are a salesman, sir.	WALTER SULLIVAN	 Selling sin is easy...	Absolute Power 
162   CONTINUED:                                                      162	 (explaining as they walk) Mine isn't particularly creative work -- I only do it because I enjoy living beyond my means. I can't afford to just sit around.	WALTER SULLIVAN	 When I was 10 my father died -- he was a miner and lung disease killed him. I became rich at 25 and the first thing I did was purchase that mine, close it, and give every miner there fifty thousand dollars to retire on. (beat; staring at McCarty now) You will come to Washington, Mr. McCarty. You will put one million dollars expenses into the Swiss                          * bank account of your choosing. (beat) And, when the time comes, two million dollars a bullet. (smiles, nods) You are a salesman, sir.	WALTER SULLIVAN	 Selling sin is easy...			Absolute Power 
DAY		LAURA	 (studying photo) Who is he?	163   CONTINUED:                                                    163		SETH	 Luther Whitney -- (beat) -- one of the great thieves of the world.	Absolute Power 
163   CONTINUED:                                                    163		SETH	 Luther Whitney -- (beat) -- one of the great thieves of the world.	SETH	 Been going nuts with this thing, up all night and I remembered your notion how it might be two burglars, and around dawn I thought, wait, what if it wasn't two burglars but what if it was one guy trying to throw us off by making it look like two? (faster) Called a buddy at the Bureau -- they keep track of this stuff internationally -- he says maybe only a half a dozen guys alive could have pulled off the Sullivan job -- I'm tracing all six -- (beat) -- but Whitney's the only one lives in Washington.	LAURA	 Why haven't I ever heard of him?	Absolute Power 
SETH	 Because he hasn't been arrested in thirty years.	LAURA	 (indicating mug shot) This his graduation picture from Harvard?	SETH	 (waving her off) Ancient history -- he wasn't a jewel thief back then. Just a kid, just part of a gang, a three- time loser. But since he got out the last time, he's only worked alone --	163   CONTINUED:    (2)                                           163		Absolute Power 
LAURA	 (indicating mug shot) This his graduation picture from Harvard?	SETH	 (waving her off) Ancient history -- he wasn't a jewel thief back then. Just a kid, just part of a gang, a three- time loser. But since he got out the last time, he's only worked alone --	163   CONTINUED:    (2)                                           163		SETH (CONT'D)	 (beat) -- and no one's touched him. (shakes his head) He gets questioned whenever anything big comes up. But nothing sticks.	Absolute Power 
163   CONTINUED:    (2)                                           163		SETH (CONT'D)	 (beat) -- and no one's touched him. (shakes his head) He gets questioned whenever anything big comes up. But nothing sticks.	LAURA	 (really excited now) Seth -- we can make this stick -- I'll bet you anything this is our guy -- a local? -- can't ask for more --	SETH                                       *	 (makes a face)                                    * We've got a problem.                                     *	Absolute Power 
SETH (CONT'D)	 (beat) -- and no one's touched him. (shakes his head) He gets questioned whenever anything big comes up. But nothing sticks.	LAURA	 (really excited now) Seth -- we can make this stick -- I'll bet you anything this is our guy -- a local? -- can't ask for more --	SETH                                       *	 (makes a face)                                    * We've got a problem.                                     *	LAURA                                   *	 -- what? --	Absolute Power 
LAURA	 (really excited now) Seth -- we can make this stick -- I'll bet you anything this is our guy -- a local? -- can't ask for more --	SETH                                       *	 (makes a face)                                    * We've got a problem.                                     *	LAURA                                   *	 -- what? --	SETH	 Whitney hasn't killed anyone in 45 years.	Absolute Power 
LAURA	 Big deal, so he's a veteran.	SETH	 Not just a veteran -- a wounded veteran. (indicating folder) Got his combat record here. Battles, commendations,                                  * decorations up the kazoo.                                * Lives alone on his disability.                           * Says he does anyway.                                     * (glum)                                            * And I don't do war heroes...                             *					Absolute Power 
LUTHER	 (not looking) Boy, you must be smart.	SETH	 (really taken aback) Sorry?	LUTHER	 Usually takes a week for you guys to get to me. (turns, smiles) You look just like your picture, Seth. I'm Luther Whitney.			Absolute Power 
SETH	 (really taken aback) Sorry?	LUTHER	 Usually takes a week for you guys to get to me. (turns, smiles) You look just like your picture, Seth. I'm Luther Whitney.					Absolute Power 
LUTHER	 So, do you want my confession now or after coffee?	SETH	 (doing the same) Before I send you away for life, I should probably check out your alibi.	168   CONTINUED:                                                         168		LUTHER	 Watched the Bullets game    with Red Bransford. Prison buddy     of mine -- runs a bar -- want to    question me about the game? I'm     probably lying.	Absolute Power 
SETH	 You been following the case?	LUTHER	 (nods vigorously) I love true crime --	SETH	 -- F.B.I. feels only a few guys could have handled something as hard as the Sullivan job. (touches his notebook) I've got a list here; you're on it.	LUTHER	 (nothing shows) I wish it was true. (shakes his head) Your robber actually went in the front door but came out down a rope in the dark in the middle of the night? (as Seth nods; Luther sighs) If only I could do stuff like that -- I'd be the star of my A.A.R.P. meetings.	Absolute Power 
LUTHER	 (nods vigorously) I love true crime --	SETH	 -- F.B.I. feels only a few guys could have handled something as hard as the Sullivan job. (touches his notebook) I've got a list here; you're on it.	LUTHER	 (nothing shows) I wish it was true. (shakes his head) Your robber actually went in the front door but came out down a rope in the dark in the middle of the night? (as Seth nods; Luther sighs) If only I could do stuff like that -- I'd be the star of my A.A.R.P. meetings.	SETH	 (beat) Luther? Why was this so hard?	Absolute Power 
SETH	 -- F.B.I. feels only a few guys could have handled something as hard as the Sullivan job. (touches his notebook) I've got a list here; you're on it.	LUTHER	 (nothing shows) I wish it was true. (shakes his head) Your robber actually went in the front door but came out down a rope in the dark in the middle of the night? (as Seth nods; Luther sighs) If only I could do stuff like that -- I'd be the star of my A.A.R.P. meetings.	SETH	 (beat) Luther? Why was this so hard?	LUTHER	 You want me to help solve your case?	Absolute Power 
LUTHER	 (nothing shows) I wish it was true. (shakes his head) Your robber actually went in the front door but came out down a rope in the dark in the middle of the night? (as Seth nods; Luther sighs) If only I could do stuff like that -- I'd be the star of my A.A.R.P. meetings.	SETH	 (beat) Luther? Why was this so hard?	LUTHER	 You want me to help solve your case?	168   CONTINUED:    (2)                                              168		Absolute Power 
SETH	 Just looking   for insight. How would you --   scratch that -- how would one go   about it? What kind of person do   you think I should be looking for?	LUTHER	 (like a shot) Older fella. Like me.	SETH	 (now he smiles) Because?	LUTHER	 Need patience. The secret is just research, research, research -- from everything I've read.	Absolute Power 
LUTHER	 (like a shot) Older fella. Like me.	SETH	 (now he smiles) Because?	LUTHER	 Need patience. The secret is just research, research, research -- from everything I've read.	SETH	 Research for what?	Absolute Power 
SETH	 Research for what?	LUTHER	 Well, from what I can tell on the tube, it's not a small house. (as Seth nods) There had to be an architect, right? You'd be able to tell which one from public records in the library. And once you know the office, you could break in and find the plans and Xerox them, get them back before morning.	SETH	 Not just steal them?	LUTHER	 Seth -- breaking in isn't hard -- what's hard is breaking in so no one knows you've been there. Now, after the architect, next you'd want the contractor's office -- and the security company's office. (beat) You know the skill involved breaking the security of a security company? (shakes his head) I wonder how those guys do it?	Absolute Power 
SETH	 Not just steal them?	LUTHER	 Seth -- breaking in isn't hard -- what's hard is breaking in so no one knows you've been there. Now, after the architect, next you'd want the contractor's office -- and the security company's office. (beat) You know the skill involved breaking the security of a security company? (shakes his head) I wonder how those guys do it?	168   CONTINUED:    (3)                                              168		SETH	 Why go to all that trouble?	Absolute Power 
SETH	 Why go to all that trouble?	LUTHER	 Papers said he kept the money in a vault, yes? (as Seth nods) Well, I'm guessing there was probably some secret way to open it --	SETH	 (casually) -- clicker --	LUTHER	 (fascinated) -- explain --	Absolute Power 
LUTHER	 Papers said he kept the money in a vault, yes? (as Seth nods) Well, I'm guessing there was probably some secret way to open it --	SETH	 (casually) -- clicker --	LUTHER	 (fascinated) -- explain --	SETH	 -- gizmo -- looked like a V.C.R. remote --	Absolute Power 
SETH	 (casually) -- clicker --	LUTHER	 (fascinated) -- explain --	SETH	 -- gizmo -- looked like a V.C.R. remote --	LUTHER	 (shaking his head) -- amazing -- (beat) -- must have been a lot of money inside.	Absolute Power 
SETH	 -- gizmo -- looked like a V.C.R. remote --	LUTHER	 (shaking his head) -- amazing -- (beat) -- must have been a lot of money inside.	SETH	 (sipping casually; a pause) Five million.	SETH	 Why's that funny?	Absolute Power 
LUTHER	 (shaking his head) -- amazing -- (beat) -- must have been a lot of money inside.	SETH	 (sipping casually; a pause) Five million.	SETH	 Why's that funny?	LUTHER	 The way you said it -- as if you were trying to surprise me.	Absolute Power 
LUTHER	 The way you said it -- as if you were trying to surprise me.	SETH	 (smiles) I was trying to surprise you.	LUTHER	 (smiles back) There you go.	168   CONTINUED:    (4)                                          168		Absolute Power 
SETH	 (smiles) I was trying to surprise you.	LUTHER	 (smiles back) There you go.	168   CONTINUED:    (4)                                          168		SETH	 Would the burglar use a disguise?	Absolute Power 
SETH	 Maybe like you.	LUTHER	 (couldn't agree more) I'm the perfect prototype. (sipping away) But you see any face often enough, you'll start putting things together. That's why these top guys disguise themselves. I read a great article a couple of years back -- damn, I wish I could remember where -- anyway, it was about these makeup experts some of them use -- wigmakers, people like that.	SETH	 (flipping a page) Go on about the wigmakers.	LUTHER	 (glancing at his watch) I'd love that but I'm late as it is -- got to get my pacemaker checked. (he likes Seth) -- all this excitement, you understand.	Absolute Power 
