VALERIE	 We think you're just great.	KAUFMAN	 (with studied modesty) Oh, thank you.	VALERIE	 And we're thrilled you're interested.	KAUFMAN	 Oh, thanks, wow. That's nice to hear.	Adaptation 
DONALD (CONT'D)	 No, wait. See, he's being hunted by a cop. And he's taunting the cop, right? Sending clues who his next victim is. He's already holding her hostage in his creepy basement. So the cop gets obsessed with figuring out her identity, and in the process he falls in love with her. Even though he's never even met her. She becomes, like, the unattainable, like the Holy Grail.	KAUFMAN	 (through a blanket) It's a little obvious, don't you think?	DONALD	 Okay, but there's a twist. See, we find out the killer suffers from multiple personality disorder. Okay? See, he's really also the cop and the girl. All of them. It's all him! Isn't that crazy?	KAUFMAN	 Look, the only idea more overused than serial killers, is multiple personality. On top of that you explore the notion that cop and criminal are really two aspects of the same person. See every cop movie ever made for other examples of this.	Adaptation 
KAUFMAN	 Um. Hi. Thank you. The key lime pie, please. A small slice. I'm watching my... And a coffee, please. Skim milk.	ALICE	 (sees book) Orchids! I absolutely love orchids.	KAUFMAN	 Yes.   They're really great.	ALICE	 So, I'll be right back with your pie.	Adaptation 
MOTHER	 What do you have to do, honey?	BOY	 Collect one of every turtle in the world. (beat) It's a long list, ma. Cuora galbinifrons, Graptemys versa, Callagur borneoensis, all the Galapagos species, people think there's only one, but that's hardly the case. Cycloderma frenatum, Cuora pani... (sighs) I don't think my life is worth living if I can't do this.	MOTHER	 Well, we'd better get started, huh, baby?			Adaptation 
ORLEAN	 Wow, that's some story. So how many turtles did you end up collecting?	LAROCHE	 (matter-of-fact) Oh, I lost interest right after that.	ORLEAN	 Oh.	LAROCHE	 I dropped turtles when I fell in love with Ice Age fossils. Learned everything about them. Collected the shit out of 'em. Fossils were the only thing made any sense to me in this fucking world. Y'know?	Adaptation 
LAROCHE (CONT'D)	 I vow to never set foot in the ocean again, that's how much fuck fish. That was seventeen years ago and I have never since stuck so much as a toe into that ocean. And I love the ocean!	ORLEAN	 (beat) But why?	LAROCHE	 (shrugs) Done with fish.			Adaptation 
ORLEAN	 (beat) But why?	LAROCHE	 (shrugs) Done with fish.					Adaptation 
ALICE	 Hey!    Some key lime pie for ya today?	KAUFMAN	 (thrilled she remembered) Okay, yeah! That sounds great!     Yeah!	ALICE	 I'll pick you out an extra large piece. Preferred customer.	KAUFMAN	 Thank you.     That's really sweet of you.	Adaptation 
KAUFMAN	 That's what's called an epiphyte.	ALICE	 (pointing at him excitedly) Right! Boy, you know your stuff, huh?	KAUFMAN	 Not really. I'm just learning. Epiphytes grow on trees, but they're not parasites. They get all their nourishment from the air and rain.	ALICE	 Well, I'm impressed.    That's great.	Adaptation 
KAUFMAN	 I'm sorry.     I apologize.   I'm sorry.	ALICE	 (nodding) So I'll be right back with your pie then.	KAUFMAN (V.O.)	 I am fat.     I am old. I am repulsive.			Adaptation 
TEENAGED LAROCHE	 Maybe somehow she can see it.    Y'know?	MOTHER	 (beat) So... after this one how many, honey?	TEENAGED LAROCHE	 Only one hundred and seventeen more.	MOTHER	 And you have to have a photo of every single type of orchid in Florida?	Adaptation 
LAROCHE	 Once you get the sickness, it takes over your life. I started out just photographing 'em. Now look at me. (dramatic pause) It'll happen to you. You'll see.	ORLEAN	 I don't think so.     I'm not prone to --	LAROCHE	 Angraecum sesquipedale! Beauty! God! Darwin wrote about this one. Charles Darwin? Evolution guy? Hello?			Adaptation 
LAROCHE	 Angraecum sesquipedale! Beauty! God! Darwin wrote about this one. Charles Darwin? Evolution guy? Hello?	ORLEAN	 (annoyed) I know who Darwin is.					Adaptation 
DONALD	 McKee is a genius! And hilarious! He just comes up with these great jokes, and everyone laughs! But he's serious, too. You'd love him. He's all for originality, just like you! But he says, we have to realize we all write in a genre, so we must find originality within that genre. See, it turns out there hasn't been a new genre since Fellini invented the mockumentary!	KAUFMAN	 (sadly, quietly) You and I share the same DNA. Is there anything more lonely than that?					Adaptation 
LAROCHE	 (laughing) ... I broke my back. Exactly how my dad did. Isn't that a psycho coincidence? (far away) Y'know, the way I see it, we're a family of ailments and pain. (suddenly excited.) But, anyway, it was a godsend.	ORLEAN (V.O.)	 Laroche once spilled toxic pesticide into a cut on his hand. It resulted in permanent heart and liver damage. Most people would consider this a terrible accident. Laroche considered it a success...					Adaptation 
JERRY	 It's not only about flowers. It's got that crazy plant nut guy. He's funny, right?	KAUFMAN	 "There is not nearly enough of him to fill a book," blah blah blah, so Orlean "digresses in long passes" blah blah blah "no narrative really unites these passages." Blah blah blah blah blah. (looking up defiantly)	KAUFMAN (CONT'D)	 New York Times Book Review. I can't structure this. It's that sprawling New Yorker shit.	JERRY	 Oh man.   I'd fuck her up the ass.	Adaptation 
KAUFMAN	 Nothing much. That's what I like. I mean, most people's lives don't include a lot of drama and I wanted to sort of be compelling without having to resort to big, um... Y'know what I mean?	WOMAN	 (glancing distractedly around) Absolutely. I absolutely do.	KAUFMAN	 It's, like, Blake talked about seeing the world in a grain of sand and heaven in a wild flower. Y'know? Or like Hegel?			Adaptation 
MIKE OWEN	 Charlie?	KAUFMAN	 (tremulous) Yes. Hi.					Adaptation 
KAUFMAN	 It's not even hot. I was expecting it to be awful. Sun beating down, wading through water, looking out for snakes, wild hogs. I was thinking it would be dramatic. Alligators. Something!	MIKE OWEN	 The alligators are over by the lakes. The temperature's a blessing for us. This time of year can get uncomfortably hot. (pointing excitedly) Green anole. Florida's most common.	MIKE OWEN (CONT'D)	 I try to keep a log of sightings.			Adaptation 
KAUFMAN	 Listen, um, Susan Orlean wrote about a legendary creature called a Swamp Ape. Have you ever heard stories or --	MIKE OWEN	 (pissy) Tourist garbage! I don't know why people need to invent silly creatures to make nature fascinating. Isn't nature amazing enough?	KAUFMAN	 (shamed) I just asked because she mentioned it.			Adaptation 
MIKE OWEN	 (pissy) Tourist garbage! I don't know why people need to invent silly creatures to make nature fascinating. Isn't nature amazing enough?	KAUFMAN	 (shamed) I just asked because she mentioned it.					Adaptation 
VALERIE	 Y'know, we'd really like to option it.	ORLEAN	 (laughing) You want to make this into a movie?	VALERIE	 Laroche is such a fun character.   So...			Adaptation 
LAROCHE	 No shit I'm a fun character. (beat) Who's gonna play me?	ORLEAN	 I've got to write it first. Someone's gotta write the screenplay. Most things never get made. It's premature to --	LAROCHE	 I think I should play me.			Adaptation 
LAROCHE (PHONE VOICE)	 (groggy) Yeah?	ORLEAN	 John, it's Susan. (waits for response) Orlean. (waits) So, I was just wondering if you might be willing to talk some more.	LAROCHE (PHONE VOICE)	 What about?	ORLEAN	 C'mon, John, I'm trying to put together a book. Don't just abandon me down here.	Adaptation 
KAUFMAN	 California.	GUY ON BENCH	 (excitedly) Yeah? I'm moving to L.A. I just wrote a screenplay. I sent it to a lot of agents. But if they turn me down, I'll go there and market it myself. I used to be in marketing in New York, so I know exactly how to sell this thing. (beat) Where's a nice place to live if you don't have a car?	KAUFMAN	 You kind of need a car. I guess West Hollywood would be okay.	GUY ON BENCH	 So you recommend West Hollywood then.	Adaptation 
KAUFMAN	 I'd smell it.	GUY ON BENCH	 (annoyed) No. You can't smell vodka.    You'd have to taste it, right?	KAUFMAN	 It could be poison.    I don't know you.	GUY ON BENCH	 (angry) Look, let's go with the analogy I'm drawing here. It's not poison. Okay? (resuming control)	Adaptation 
KAUFMAN	 It could be poison.    I don't know you.	GUY ON BENCH	 (angry) Look, let's go with the analogy I'm drawing here. It's not poison. Okay? (resuming control)	GUY ON BENCH (CONT'D)	 So you'd have to taste it to know. Right? That's my point.	KAUFMAN	 Right.	Adaptation 
KAUFMAN	 Right.	GUY ON BENCH	 That's all I'm saying. (beat) So West Hollywood, huh? I think I'll make it out this year. Because how long can you look at an ocean, y'know?					Adaptation 
KAUFMAN	 I'm a writer.	DRIVER	 (impressed) A song writer?	KAUFMAN	 No, I'm a screenwriter.	DRIVER	 Oh, wow! Good for you. You mind if I ask what your movie's about?	Adaptation 
DONALD	 How was Florida, man?	KAUFMAN	 (climbing the stairs) Okay.	DONALD	 Cool! Hey, my script's going amazing! Right now I'm working out an Image System. Bob calls it an invaluable asset. Because of my multiple personality theme, I've chosen the motif of broken mirrors to show my protagonist's fragmented self. Bob teaches that an Image System greatly increases the complexity of an aesthetic emotion.	KAUFMAN	 You sound like you're in a cult.	Adaptation 
KAUFMAN	 You sound like you're in a cult.	DONALD	 No, it's just good writing technique. (types, then:)	DONALD (CONT'D)	 Oh, I made you a copy of McKee's Ten Commandments. I've posted one over both our work areas.			Adaptation 
DONALD	 Yeah, hey, that's the big pay-off.	KAUFMAN	 (nice) Well, it sounds exciting.	DONALD	 Thanks, man. Thanks.			Adaptation 
ORLEAN	 I suppose what I'd been doing in Florida was trying to understand how people found order and contentment and a sense of purpose in the universe by fixing their sighs on one single desire. Now I was also trying to understand how someone could end such intense desire without a trace.	LAROCHE (PHONE VOICE)	 (groggy) Yeah what?	ORLEAN	 Hello, John, it's Susan.	LAROCHE (PHONE VOICE)	 Yeah hi.	Adaptation 
VALERIE (PHONE VOICE)	 Great.    So I spoke to Susan yesterday.	KAUFMAN	 (beat) Oh. Uh-huh, uh-huh.	VALERIE (PHONE VOICE)	 I told her you were making terrific progress and she's really excited to read the script.	KAUFMAN	 Oh.   Good.	Adaptation 
ORLEAN	 Uh-huh.	LAROCHE	 See, I found you two already. I'll show you every orchid you want today. I'll find you a fucking ghost if it kills me. (pointing to another orchid) Rigid Epidendrum. That's an ugly-ass orchid. But I'm no snob. I'm interested in all orchids. Not just pretty ones.					Adaptation 
LAROCHE (CONT'D)	 So do you collect anything?	ORLEAN	 (non-responsive) Not really.	LAROCHE	 Well, y'know it's not really about collecting the thing, it's about --	ORLEAN	 The sundial isn't working.	Adaptation 
KAUFMAN (V.O.)	 It is my weakness, my ultimate lack of conviction that brings me here with all these desperate idiots lapping up everything this bag of wind spouts. Easy answers. Rules to short-cut yourself to success. And here I am, because my jaunt into the abyss brought me nothing. Well, isn't that the risk one takes for attempting something new. I should leave here right now. I'll start over -- (starts to rise) I need to face this project head on and --	MCKEE	 ... and God help you if you use voice- over in your work, my friends.	MCKEE	 God fucking help you! It's flaccid, sloppy writing. Any idiot can write voice-over narration to explain the thoughts of a character. You must present the internal conflicts of your character in image, in symbol. Film is a medium of movement and image.			Adaptation 
KAUFMAN	 I'm the guy you yelled at this morning.	MCKEE	 (trying to recall) I need more.	KAUFMAN	 I was the one who thought things didn't happen in life.	MCKEE	 Oh, right, okay.    Nice to see you.	Adaptation 
MCKEE	 I see. That's not a movie.     You must go back and put in the drama.	KAUFMAN	 (pause) I've got pages of false starts and wrong approaches. I'm way past my deadline. I can't go back.	MCKEE	 Ah, the everpresent deadline. Yes, I was doing a Kojak once and... it was hell.	MCKEE (CONT'D)	 Tell you a secret. The last act makes the film. You can have an uninvolving, tedious movie, but wow them at the end, and you've got a hit. Find an ending. Use what you've learned this weekend. Give them that and you'll be fine.	Adaptation 
KAUFMAN	 I know. Just for fun. How would the great Donald end this script?	DONALD	 (giggling) The great Donald. (serious) Well, I mean... do you need the whole court case?	KAUFMAN	 Uh, it's what happened to Laroche.   It's kind of important.	DONALD	 It's boring. No offense. A courtroom scene should be dramatic. Stick the ruling in a line of dialogue, maybe.	Adaptation 
KAUFMAN	 C'mon, you're the "mill-five" kid.	DONALD	 (enjoying this) Shut up! (thinks) I love the Laroche porno web-site stuff. Is that real? Maybe make a bigger deal of that. I don't know.	KAUFMAN	 I think it's real.   I haven't actually seen the site.	DONALD	 It's sex, man! Incorporate it.	Adaptation 
DONALD	 I'll get a closer look.   You wait here.	KAUFMAN	 (momentously) No, I want to go. I should go. I mean, it should be me, right? I mean...	DONALD	 Go for it, bro. You the man.	KAUFMAN	 Holy...	Adaptation 
KAUFMAN	 I'm the guy adapting her book.      Her book about you.	LAROCHE	 Jesus Fucking Christ. (then, trying to make sense) Why the fuck were you in my backyard?	KAUFMAN	 I was, um, trying... I don't know.	ORLEAN	 Who's the bloody fat guy?	Adaptation 
LAROCHE	 This is the fellow adapting your book for the movies, darling'.	ORLEAN	 (excited) Really? I wanted to meet -- (realizing) Oh. What does he know?	KAUFMAN	 I don't know anything.   I swear.	LAROCHE	 He knows about the greenhouse. (to Orlean) We can't have this appear on the silver screen.	Adaptation 
KAUFMAN	 I don't know anything.   I swear.	LAROCHE	 He knows about the greenhouse. (to Orlean) We can't have this appear on the silver screen.	KAUFMAN	 It won't.    I don't even under --	ORLEAN	 Johnny, I'm so tired now.	Adaptation 
LAROCHE	 Focus, darling'. Is this credible?	ORLEAN	 (concentrates) Um, oh... this screenwriter was killed doing research in Jamaica a few years ago. (to Kaufman) Screenwriter, you have a car?	KAUFMAN	 I, um, no, I --	KAUFMAN (CONT'D)	 A rental, a rental.	Adaptation 
LAROCHE	 Good.   I like that.	ORLEAN	 (to Kaufman) Sorry.	KAUFMAN	 Please.			Adaptation 
KAUFMAN	 I thought I had a sense of you from your book. (beat) I had a little crush on you, to tell the truth. You're different than I thought.	ORLEAN	 Huh.	KAUFMAN	 Look, I don't care what you two are you doing.   Please don't kill me.			Adaptation 
KAUFMAN	 Look, I don't care what you two are you doing.   Please don't kill me.	ORLEAN	 Hey, here's one of my lines. (mockingly reading from screen) "Isn't it ironic? You adapting my book? My three years in Florida meditating on my inability to experience passion resulted in my finding it with you."	KAUFMAN	 I was trying to do something.	ORLEAN	 Well, it's kind of pathetic, dontcha think?	Adaptation 
ORLEAN	 Yeah, I know, Charlie-boy. Chill. I'm laughing at who I used to be. It's sad.	KAUFMAN	 So now you learned about passion. (jealous) From Weirdo Laroche. Bully for you.	ORLEAN	 You can't learn about passion. You can be passion. And it wasn't John who made me passion. It was orchids.	KAUFMAN	 I thought you didn't even like orchids.	Adaptation 
LAROCHE	 This spot looks good. (thinking aloud) Now how do we do this? Hit him in the head with a rock first? Keeping in mind we can only hit him once and only with as much force as would be created by him slipping and falling onto the rock.	ORLEAN	 Holy Jesus. Holy...   Hey, baby, hey...	LAROCHE	 Should we drown him, then hit him on the head? Uh-uh. A body bleeds different if the heart's stopped. These new forensic guys are very smart. We really have to know our corpses to stand a chance: rigor mortis, lividity, putrefecation, ocular changes.			Adaptation 
LAROCHE (CONT'D)	 Fuck!	ORLEAN	 (receptively) Yeah, let's, baby.	LAROCHE	 Not now. We got to kill that guy. And now I guess that other guy as well.	ORLEAN	 (disappointed) Ohhh.	Adaptation 
LAROCHE	 Not now. We got to kill that guy. And now I guess that other guy as well.	ORLEAN	 (disappointed) Ohhh.					Adaptation 
DONALD	 We've gotta ditch this thing.	KAUFMAN	 (hysterical) It's a rental! It's a rental!	DONALD	 Now!	ORLEAN	 That's beautiful! What's that, Johnny? What's that one called? I just so want to fuck that flower, don't you?	Adaptation 
ORLEAN	 Um, y'know... Charlie or something.	LAROCHE	 Charlie! Listen, let's talk! This pie is big enough for four people! (to Orlean) Why are there two of him?	ORLEAN	 Identical twigs? (laughs crazily) Did I say twigs? I meant twins.	LAROCHE	 Cladium jamaicense, guys. Sawgrass. You want to watch out for that. That's some evil shit. Cut you up.	Adaptation 
LAROCHE	 Charlie! Listen, let's talk! This pie is big enough for four people! (to Orlean) Why are there two of him?	ORLEAN	 Identical twigs? (laughs crazily) Did I say twigs? I meant twins.	LAROCHE	 Cladium jamaicense, guys. Sawgrass. You want to watch out for that. That's some evil shit. Cut you up.	KAUFMAN	 Fuck you, Laroche!	Adaptation 
KAUFMAN	 You're gonna be okay.	DONALD	 No.  But don't let them get you, too. (weak smile) You got a fucking awesome third act.	KAUFMAN	 (crying) Donald, this is an awful, bizarre thing to say and an awful time to say it, but I'm sorry I didn't get to know you better. I'm so sorry. I'm so sorry.	DONALD	 It's really... You've been really nice.	Adaptation 
DONALD	 No.  But don't let them get you, too. (weak smile) You got a fucking awesome third act.	KAUFMAN	 (crying) Donald, this is an awful, bizarre thing to say and an awful time to say it, but I'm sorry I didn't get to know you better. I'm so sorry. I'm so sorry.	DONALD	 It's really... You've been really nice.	KAUFMAN	 See, it's just I thought I knew you already. I thought you were me. And I hated me.	Adaptation 
LAROCHE (O.S.)	 Susie!	ORLEAN	 (crying softly) Oh, Johnny.	KAUFMAN	 I'd just stare at your picture, and you looked so sweet. I read your words and I thought you were smart and maybe lost and lonely like me. And the way you wrote about Laroche. You said he was handsome even though he had no front teeth --	ORLEAN	 Oh, Johnny. Johnny's teeth.     Oh...	Adaptation 
ORLEAN	 Oh, Johnny. Johnny's teeth.     Oh...	KAUFMAN	 I figured you could look at me and see something, even with all my flaws you could look at me and find something, you could maybe someday write a description of me that would be nicer than the one I write day in and day out in my head. (hopefully) Would it be?	ORLEAN	 You're really so wonderful.	KAUFMAN	 Really?	Adaptation 
POLICE OFFICER	 You two really look alike.	KAUFMAN	 (proudly) Yeah. Yes, we do.					Adaptation 
ALICE	 Oh, I love McKee! (recognizes Kaufman, gets reserved) Oh, hi. Haven't seen you in a while.	KAUFMAN	 Hi.    Yeah, I've been away.	ALICE	 So you studying screenwriting?			Adaptation 
KAUFMAN	 Yeah. Actually I'm writing this one for Sony Pictures.	ALICE	 Really? Wow. Really?   That's so cool. (beat)	ALICE (CONT'D)	 Wow! So what's it about, if you don't mind my asking?	KAUFMAN	 That's tough. Let's see... about being yourself, maybe. It's about learning that if you can't love yourself, you can't really love anyone.	Adaptation 
KAUFMAN	 But you're working.	ALICE	 (shrugs) It's a stupid job, y'know.    I'm Alice.	KAUFMAN	 Charlie.	ALICE	 I like that name. Charlie. I've always really liked that name. Charlie.	Adaptation 
