JANIE	 The 10:15 event's been moved inside to the Indian Treaty Room.	SHEPHERD	 (to Janie) The 10:15 is American Fisheries?	JANIE	 Yes, sir. They're giving you a 200-pound halibut.	SHEPHERD	 Janie, make a note. We need to schedule more events where somebody gives me a really big fish.	American President, The 
DAVID	 (to SYDNEY) Ask him about his position on stateboard for Hawaii.	SYDNEY	 (into phone) Harry, think like a father for a second. Wouldn't you like your kids to be able to take a deep breath when they're 30? Thank you. You're doing the right thing.	SYDNEY	 (continuing; announcing) Tote board's heavy.	DAVID	 How's this?	American President, The 
DAVID	 Okay. I'm having lunch at the Kremlin, so we'll have to, you know, start real early...	SYDNEY	 (exciting) Good night, David.	DAVID	 ...in order for me to catch the morning plane to Moscow.			American President, The 
SHEPHERD	 Yeah. I'm going to St. Louis.	SECRET AGENT #4	 (sotto) Liberty's moving.					American President, The 
ROBIN	 (calling) Sir...	JANIE	 He's incredibly late.	SHEPHERD	 (to LEWIS and ROBIN) Hop in. We'll talk in the car.			American President, The 
JANIE	 He's incredibly late.	SHEPHERD	 (to LEWIS and ROBIN) Hop in. We'll talk in the car.					American President, The 
LEWIS	 We've got a small problem.	ROBIN	 (meant for LEWIS) It could've been a small problem. It's now at the very least a medium- sized--	LEWIS	 Robin sees it as a problem. I see it as a opportunity.	ROBIN	 It could've been an opportunity if we'd caught it...	American President, The 
LEWIS	 Sydney was at a protest rally where they burned a flag.	SHEPHERD	 (pause) Today?	LEWIS	 About 13 years ago.	ROBIN	 Outside the Department of Commerce. Anti-apartheid.	American President, The 
ROBIN	 Outside the Department of Commerce. Anti-apartheid.	SHEPHERD	 Let me see if I've got this: The third story on the news tonight was that someone I didn't know 13 years ago, when I wasn't President, participated in a demonstration where no laws were being broken in protest of something that so many people were against it doesn't exist anymore? (beat) Just out of curiosity, what was the fourth story?	LEWIS	 See, I think it's important, when we deal with it, that we--	SHEPHERD	 Don't deal with it.	American President, The 
BETH	 Go ahead, try it on. I brought earrings, too.	SYDNEY	 (into phone) Hello... (listens) I'm just trying on dresses. How do you feel about leather?					American President, The 
SHEPHERD	 (into phone) I feel terrible, but I have to cancel our date tonight.	SYDNEY	 Another woman?	SHEPHERD	 No, I've gotta go to St. Louis and avert a massive airline strike.			American President, The 
GIRL	 (into phone) At the basketball game...	SHEPHERD	 Excuse me--	GIRL	 No, at the game. I'm telling you, Kiki wasn't even there.			American President, The 
SHEPHERD	 Excuse me--	GIRL	 (to Shepherd) I will be right with you.	SHEPHERD	 (to the GIRL) Hey, I don't know if you're the one I talked to on the phone... Virginia, dogwood, the President ...any of it ring a--	SHEPHERD	 Same girl. She remembers me.	American President, The 
GIRL	 (to Shepherd) I will be right with you.	SHEPHERD	 (to the GIRL) Hey, I don't know if you're the one I talked to on the phone... Virginia, dogwood, the President ...any of it ring a--	SHEPHERD	 Same girl. She remembers me.	AGENT COOPER	 She'll be fine.	American President, The 
SYDNEY	 (into phone) What do Lewis and Robin think?	SHEPHERD	 (into phone) Brutus and Cassius? They want me to get into the character debate and mix it up.	SYDNEY	 (into phone) Lewis and Robin are very smart.	SHEPHERD	 (to LEWIS and ROBIN) Sydney says you guys are really stupid.	American President, The 
SHEPHERD	 (into phone) Brutus and Cassius? They want me to get into the character debate and mix it up.	SYDNEY	 (into phone) Lewis and Robin are very smart.	SHEPHERD	 (to LEWIS and ROBIN) Sydney says you guys are really stupid.	SYDNEY	 (shouting through the phone) I didn't say that!	American President, The 
SYDNEY	 (into phone) Lewis and Robin are very smart.	SHEPHERD	 (to LEWIS and ROBIN) Sydney says you guys are really stupid.	SYDNEY	 (shouting through the phone) I didn't say that!	SHEPHERD	 (to LEWIS and ROBIN) She's questioning your loyalty.	American President, The 
SHEPHERD	 (to LEWIS and ROBIN) Sydney says you guys are really stupid.	SYDNEY	 (shouting through the phone) I didn't say that!	SHEPHERD	 (to LEWIS and ROBIN) She's questioning your loyalty.	LEWIS	 Hell, I question it all the time.	American President, The 
SYDNEY	 (shouting through the phone) I didn't say that!	SHEPHERD	 (to LEWIS and ROBIN) She's questioning your loyalty.	LEWIS	 Hell, I question it all the time.	SHEPHERD	 (into phone) Wait a second, here comes my favorite part.	American President, The 
LEWIS	 Hell, I question it all the time.	SHEPHERD	 (into phone) Wait a second, here comes my favorite part.	RUMSON (V.O.)	 My name is Bob Rumson, and I'm running for President.	SHEPHERD	 (into phone) It's a good thing he cleared that up, 'cause the crowd was gettin' ready to buy some AMWAY products.	American President, The 
RUMSON (V.O.)	 My name is Bob Rumson, and I'm running for President.	SHEPHERD	 (into phone) It's a good thing he cleared that up, 'cause the crowd was gettin' ready to buy some AMWAY products.	SYDNEY	 (into phone) His number are climbing.	SHEPHERD	 (into phone) Sydney, his number have nowhere to go but up.	American President, The 
SHEPHERD	 (into phone) It's a good thing he cleared that up, 'cause the crowd was gettin' ready to buy some AMWAY products.	SYDNEY	 (into phone) His number are climbing.	SHEPHERD	 (into phone) Sydney, his number have nowhere to go but up.	SYDNEY	 (into phone) What about yours?	American President, The 
SYDNEY	 (into phone) His number are climbing.	SHEPHERD	 (into phone) Sydney, his number have nowhere to go but up.	SYDNEY	 (into phone) What about yours?	SHEPHERD	 (into phone) We're fine. We'll be back up in the 60's once I get the votes for the crime bill. (beat; into phone) Say, what're you doing this weekend?	American President, The 
SHEPHERD	 (into phone) Sydney, his number have nowhere to go but up.	SYDNEY	 (into phone) What about yours?	SHEPHERD	 (into phone) We're fine. We'll be back up in the 60's once I get the votes for the crime bill. (beat; into phone) Say, what're you doing this weekend?	SYDNEY	 (into phone) I've got some work I was gonna bring home. Why?	American President, The 
SYDNEY	 (into phone) What about yours?	SHEPHERD	 (into phone) We're fine. We'll be back up in the 60's once I get the votes for the crime bill. (beat; into phone) Say, what're you doing this weekend?	SYDNEY	 (into phone) I've got some work I was gonna bring home. Why?	SHEPHERD	 (into phone) The negotiations are going pretty well here. It looks like the nation's going to keep on flying. Lucy's sleeping over at a friend's house Saturday night.	American President, The 
SHEPHERD	 (into phone) We're fine. We'll be back up in the 60's once I get the votes for the crime bill. (beat; into phone) Say, what're you doing this weekend?	SYDNEY	 (into phone) I've got some work I was gonna bring home. Why?	SHEPHERD	 (into phone) The negotiations are going pretty well here. It looks like the nation's going to keep on flying. Lucy's sleeping over at a friend's house Saturday night.	SYDNEY	 (into phone) What'd you have in mind?	American President, The 
SYDNEY	 (into phone) I've got some work I was gonna bring home. Why?	SHEPHERD	 (into phone) The negotiations are going pretty well here. It looks like the nation's going to keep on flying. Lucy's sleeping over at a friend's house Saturday night.	SYDNEY	 (into phone) What'd you have in mind?	SHEPHERD	 (into phone) Have you ever been to Camp David?	American President, The 
SHEPHERD	 (into phone) The negotiations are going pretty well here. It looks like the nation's going to keep on flying. Lucy's sleeping over at a friend's house Saturday night.	SYDNEY	 (into phone) What'd you have in mind?	SHEPHERD	 (into phone) Have you ever been to Camp David?	SYDNEY	 (into phone) Camp David? Sure. I used to go there all the time, but then they changed chefs and...	American President, The 
SYDNEY	 (into phone) What'd you have in mind?	SHEPHERD	 (into phone) Have you ever been to Camp David?	SYDNEY	 (into phone) Camp David? Sure. I used to go there all the time, but then they changed chefs and...	SHEPHERD	 (into phone) It's sass, right? You're sassing me.	American President, The 
SHEPHERD	 (into phone) Have you ever been to Camp David?	SYDNEY	 (into phone) Camp David? Sure. I used to go there all the time, but then they changed chefs and...	SHEPHERD	 (into phone) It's sass, right? You're sassing me.	SYDNEY	 (into phone) Yes.	American President, The 
SYDNEY	 (into phone) Camp David? Sure. I used to go there all the time, but then they changed chefs and...	SHEPHERD	 (into phone) It's sass, right? You're sassing me.	SYDNEY	 (into phone) Yes.	SHEPHERD	 (into phone) I'll have a car pick you up Saturday morning.	American President, The 
SHEPHERD	 (into phone) It's sass, right? You're sassing me.	SYDNEY	 (into phone) Yes.	SHEPHERD	 (into phone) I'll have a car pick you up Saturday morning.			American President, The 
SYDNEY	 (into phone) Yes.	SHEPHERD	 (into phone) I'll have a car pick you up Saturday morning.					American President, The 
SHEPHERD	 Seven-trillion-dollar communications system at my disposal, you'd think I'd be able to find out if the Packers won.	SYDNEY	 (re the book) Oh, Andy...C-minus in Women's Studies?	SHEPHERD	 Yeah...that course wasn't about what I thought it was gonna be about.	NEWS ANCHOR #!	 (on T.V.) ...for his routine physical exam. Doctors at Bethesda Naval Hospital pronounced President Shepherd in excellent health.	American President, The 
SHEPHERD	 Yeah...that course wasn't about what I thought it was gonna be about.	NEWS ANCHOR #!	 (on T.V.) ...for his routine physical exam. Doctors at Bethesda Naval Hospital pronounced President Shepherd in excellent health.	SHEPHERD	 Who cares? Let's see some scores.	NEWS ANCHOR #2	 (on T.V.) While the President spent the day at Camp David, G.O.P. presidential hopeful Robert Rumson continued his attacks on President Shepherd's character. During the Saturday morning news program Capitol Review with Kenneth Michaels, Senator Rumson suggested that GDC political director Sydney Ellen Wade, whose personal relationship with the President has been causing the White House headaches over the past two months, may have traded sexual favors for key votes in the Virginia State Legislature while lobbying for the Virginia Teachers Association.	American President, The 
SHEPHERD	 Who cares? Let's see some scores.	NEWS ANCHOR #2	 (on T.V.) While the President spent the day at Camp David, G.O.P. presidential hopeful Robert Rumson continued his attacks on President Shepherd's character. During the Saturday morning news program Capitol Review with Kenneth Michaels, Senator Rumson suggested that GDC political director Sydney Ellen Wade, whose personal relationship with the President has been causing the White House headaches over the past two months, may have traded sexual favors for key votes in the Virginia State Legislature while lobbying for the Virginia Teachers Association.	MICHAELS	 (on T.V.) Wait a minute, Senator--	RUMSON	 (on T.V.) I'm not saying--	American President, The 
NEWS ANCHOR #2	 (on T.V.) While the President spent the day at Camp David, G.O.P. presidential hopeful Robert Rumson continued his attacks on President Shepherd's character. During the Saturday morning news program Capitol Review with Kenneth Michaels, Senator Rumson suggested that GDC political director Sydney Ellen Wade, whose personal relationship with the President has been causing the White House headaches over the past two months, may have traded sexual favors for key votes in the Virginia State Legislature while lobbying for the Virginia Teachers Association.	MICHAELS	 (on T.V.) Wait a minute, Senator--	RUMSON	 (on T.V.) I'm not saying--	MICHAELS	 (on T.V.) --'cause that's a heck of an accusation to make, and--	American President, The 
MICHAELS	 (on T.V.) Wait a minute, Senator--	RUMSON	 (on T.V.) I'm not saying--	MICHAELS	 (on T.V.) --'cause that's a heck of an accusation to make, and--	RUMSON	 (on T.V.) I'm not making an acc-- let me be very clear. I'm not making an accusation. I am saying when we hear one thing, we dismiss it. We hear two, we dismiss it. But when several, several well- respected members and former members of the Virginia State House--	American President, The 
RUMSON	 (on T.V.) I'm not saying--	MICHAELS	 (on T.V.) --'cause that's a heck of an accusation to make, and--	RUMSON	 (on T.V.) I'm not making an acc-- let me be very clear. I'm not making an accusation. I am saying when we hear one thing, we dismiss it. We hear two, we dismiss it. But when several, several well- respected members and former members of the Virginia State House--	MICHAELS	 (on T.V.) Can you give us names?	American President, The 
MICHAELS	 (on T.V.) --'cause that's a heck of an accusation to make, and--	RUMSON	 (on T.V.) I'm not making an acc-- let me be very clear. I'm not making an accusation. I am saying when we hear one thing, we dismiss it. We hear two, we dismiss it. But when several, several well- respected members and former members of the Virginia State House--	MICHAELS	 (on T.V.) Can you give us names?	RUMSON	 (on T.V.) --each of their own accord, comes to me and expresses concern over the woman standing next to -- I don't even know, do we call her the First Mistress? When several--	American President, The 
RUMSON	 (on T.V.) I'm not making an acc-- let me be very clear. I'm not making an accusation. I am saying when we hear one thing, we dismiss it. We hear two, we dismiss it. But when several, several well- respected members and former members of the Virginia State House--	MICHAELS	 (on T.V.) Can you give us names?	RUMSON	 (on T.V.) --each of their own accord, comes to me and expresses concern over the woman standing next to -- I don't even know, do we call her the First Mistress? When several--	SYDNEY	 My God. He's making this up as he goes along.	American President, The 
MICHAELS	 (on T.V.) Can you give us names?	RUMSON	 (on T.V.) --each of their own accord, comes to me and expresses concern over the woman standing next to -- I don't even know, do we call her the First Mistress? When several--	SYDNEY	 My God. He's making this up as he goes along.	SHEPHERD	 I'm so sorry about this, Sydney.	American President, The 
ROBIN	 Fellas, we haven't slept in three years. Can't we forget work for one night and take this moment to enjoy each other as friends? It's Christmas.	LEWIS	 (pause) It's Christmas?	KODAK	 Yeah, you didn't get the memo?	AT THE BUFFET TABLE		American President, The 
SHEPHERD	 You went to see the Motown Three?	SYDNEY	 I pitched 'em the hill. (beat) On its merits?	SHEPHERD	 The woman knows no fear. She'd lobby the Carolinas to the American Lung Association.	SYDNEY	 It was a disaster.	American President, The 
SYDNEY	 I'm gonna get a drink and shake this off. When I come back, I'll have Christmas spirit.	SHEPHERD	 (beat) Okay.	SYDNEY	 Is something wrong?	SHEPHERD	 No, I was...I was thinking about-- nothing.	American President, The 
CONGRESSMAN (PENNYBAKER)		SYDNEY	 Congressman Pennybaker, on election day, people give a damn about what I tell them to give a damn about. And that's why I have a job. (offering the bread basket) Did you want another roll?					American President, The 
DAVID	 (to the INTERNS) She got Pennybaker.	VOICE	 All right! Good job!	CONGRESSMAN MILLMAN'S OFFICE - DAY				American President, The 
SHEPHERD	 This was delicious. Thank you. Is there any left?	SYDNEY	 (taking his bowl) Tons. I didn't think you liked it.	SHEPHERD	 Are you kidding me, of course I did. But actually it's not for me. The agent who checked the food thought it was delicious, and I sort of told him I'd bring him some if there was any left.	SYDNEY	 So you didn't like it.	American President, The 
SYDNEY	 I got Pennybaker. That got me Cass and Zimmer.	SHEPHERD	 (beat) That's great, Sydney. I mean it. That's great work.	SYDNEY	 Well, I'm not there yet.	SHEPHERD	 Look, no matter what happens, you have every right to be proud of yourself.	American President, The 
ROBIN	 (to KODAK) How're the numbers?	KODAK	 Bad.	ROBIN	 How bad?			American President, The 
KODAK	 Jarrett. He's trying to keep his finger in the dam.	LEWIS	 (into phone) You're supposed to be a United States Congressman, for the love of Christ.	LEWIS	 (continuing; listens) But you're not gonna stay at 41. The numbers are gonna be go back up. (listens) But they're gonna go back up. (listens) George... (listens) Congressman... (listens) Congressman Jarrett... (listens) George, it's crunch time. It's personal. This is one of those moments. It's just you and the President. Now that's it gonna be?	LEWIS	 (continuing) Yeah. (listens) Yeah. (listens) Hey, George? Can I tell you something? We're gonna win this thing. We're gonna get the votes and we're gonna win. And after we do, I mean that very night, I'm gonna go to Sam & Harry's, I'm gonna order a big steak, and I'm gonna make a list of everybody who tried to fuck us this week.	American President, The 
LEWIS	 (continuing) Yeah. (listens) Yeah. (listens) Hey, George? Can I tell you something? We're gonna win this thing. We're gonna get the votes and we're gonna win. And after we do, I mean that very night, I'm gonna go to Sam & Harry's, I'm gonna order a big steak, and I'm gonna make a list of everybody who tried to fuck us this week.	ROBIN	 (a whispered shout) Lewis!	LEWIS	 (into phone) Vote your conscience, you chicken- shit, lame-ass--	LEWIS	 (continuing) We lost Jarrett.	American President, The 
ROBIN	 (a whispered shout) Lewis!	LEWIS	 (into phone) Vote your conscience, you chicken- shit, lame-ass--	LEWIS	 (continuing) We lost Jarrett.	KODAK	 (beat) I hope so. 'Cause, you know, if that was an "undecided," then we need to work on our people skills.	American President, The 
LEWIS	 (continuing) We lost Jarrett.	KODAK	 (beat) I hope so. 'Cause, you know, if that was an "undecided," then we need to work on our people skills.	LEWIS	 (into the first phone) Karen, it's Lewis. Could you hunt down Congressman Quincy for me. I need to talk to him right way.			American President, The 
KODAK	 (beat) I hope so. 'Cause, you know, if that was an "undecided," then we need to work on our people skills.	LEWIS	 (into the first phone) Karen, it's Lewis. Could you hunt down Congressman Quincy for me. I need to talk to him right way.					American President, The 
KODAK	 If you agree to stick 455 in a drawer until after the elections, they'll give you the three votes.	ROBIN	 (beat) And we declare victory, sir.	SHEPHERD	 We said as a last resort.	KODAK	 We're there, sir. The State of the Union is 48 hours away.	American President, The 
SHEPHERD	 Not that Clark, the one from Indiana.	KODAK	 (pause) That one too, sir.	SHEPHERD	 She is one vote away, A.J. It's important legislation that for the first time has a legitimate chance. I think she deserves every possible opportunity to--	LEWIS	 She? You meant "it," didn't you, sir? You meant the "important legislation" deserves every opportunity.	American President, The 
LEWIS	 They don't have a choice! Rob Rumson's the only one doing the talking. People want leadership. And in the absence of genuine leadership, they will listen to anyone who steps up to the microphone. They want leadership, Mr. President. They're so thirsty for it, they'll crawl through the desert toward a mirage, and when they discover there's no water, they'll drink the sand.	SHEPHERD	 (evenly) Lewis, we've had Presidents who were beloved, who couldn't find a coherent sentence with two hands and a flashlight. People don't drink the sand, 'cause they're thirsty, Lewis. They drink it 'cause they don't know the difference.	SHEPHERD	 (continuing; on his way out) Make the deal.			American President, The 
SUSAN	 'Cause I've been blaming it on my mother and my ex-husband, and that hasn't been working.	DAVID	 (approaching SYDNEY) Leo needs to see you.	SYDNEY	 Tell him to get over here. It's a party.	DAVID	 He needs to see you in his office.	American President, The 
LUCY	 Hey, Dad, what's wrong with Sydney? You guys have a fight?	SHEPHERD	 (beat) What do you mean?	LUCY	 She seemed pretty--	SHEPHERD	 You saw her?	American President, The 
SHEPHERD	 (calling out) Syd?	SYDNEY	 Have you seen a gray cableknit sweater?	SHEPHERD	 A grey...sweater? No. I called you at the office, but...			American President, The 
SYDNEY	 Well then, congratulations. It's only taken you three years to put together crime prevention legislation that has no hope of preventing crime.	SHEPHERD	 (stopping) Sydney. Please. I don't want to lose you over this.	SYDNEY	 Mr. President, you got bigger problems than losing me. You just lost my vote.			American President, The 
LUCY	 I mean politically.	SHEPHERD	 (pause) Politically?	LUCY	 Yes.	SHEPHERD	 (pause) What do you mean?	American President, The 
LUCY	 Yes.	SHEPHERD	 (pause) What do you mean?	LUCY	 Yes. Okay. Yes. Sometimes, I mean, I'm not sure. You know a lot more than I do -- but still, I have these feelings, and I don't think they're wrong. Like, okay, for instance, I'm not so sure it's all right to burn a flag. I mean, it really bothers a lot of people, and I don't know why you think it's okay. I hear Senator Rumson talk, and some of the things he says sounds right to me, and I think, "God, am I like Bob Rumson?! I mean, Dad thinks he's a jerk. Dad hates this guy! Why am I agreeing with him" And then I think, "Well, maybe I'm not really like Bob Rumson, but maybe I'm not like Dad either." But the point is I'm the President's kid, and people pay attention to what I say, and if I say something different from what you say, it'll be embarrassing for you. So I can't just get up in social studies class and say whatever I want.	SHEPHERD	 (quietly) Stand up please.	American President, The 
LUCY	 Yes. Okay. Yes. Sometimes, I mean, I'm not sure. You know a lot more than I do -- but still, I have these feelings, and I don't think they're wrong. Like, okay, for instance, I'm not so sure it's all right to burn a flag. I mean, it really bothers a lot of people, and I don't know why you think it's okay. I hear Senator Rumson talk, and some of the things he says sounds right to me, and I think, "God, am I like Bob Rumson?! I mean, Dad thinks he's a jerk. Dad hates this guy! Why am I agreeing with him" And then I think, "Well, maybe I'm not really like Bob Rumson, but maybe I'm not like Dad either." But the point is I'm the President's kid, and people pay attention to what I say, and if I say something different from what you say, it'll be embarrassing for you. So I can't just get up in social studies class and say whatever I want.	SHEPHERD	 (quietly) Stand up please.	SHEPHERD	 (continuing) I want you to pay very close attention to what happens now.	SHEPHERD	 (continuing) In your  lifetime, you will never embarrass me. It could never happen. You're not the President's daughter, Lucy, you're mine. And no one's gonna vote me out of that job. You're my daughter, and everything else is a distant second. (more) School is for you, Lucy. You say what you want. The only thing you have to do to make me happy is come home at the end of the day.	American President, The 
ANGLE - ROBIN		ROBIN	 (into phone) Lewis...call A.J. and come on down here...I don't know, but something's happening.	SHEPHERD	 ...and although I have not been willing to engage in his attacks on me, I've been here three years and three days, and I can tell you without hesitation: Being President of this country is entirely about character.	SHEPHERD	 (continuing) For the record: Yes, I am a card- carrying member of the A.C.L.U. But the more important question is why aren't you, Bob? This is an organization whose sole purpose is to defend the Bill of Rights, so it naturally begs the questions.	American President, The 
SYDNEY	 I didn't come back 'cause you decided to send 455 to the floor.	LEWIS	 (entering) Mr. President, I thought you might want to look at this. I moved Social Security up front. Hello, Sydney.	JANIE	 Mr. President, Leventhal at Treasury wants two minutes. Hello, Sydney.	MRS. CHAPIL	 Mr. President -- Excuse me, Miss Wade -- Miss McCall is on her way over.	American President, The 
MRS. CHAPIL	 Mr. President -- Excuse me, Miss Wade -- Miss McCall is on her way over.	SHEPHERD	 (to SYDNEY) I've got some things to do.	SYDNEY	 Yes, you do.			American President, The 
ROBIN	 This way, people. Let's go.	SHEPHERD	 (to LEWIS) See you after.	SHEPHERD	 (continuing) Whatcha got there, Luce?	LUCY	 Article 2, Section 3, of the U.S. Constitution. Executive Powers. (reading) "He shall, from time to time, give to the Congress information of the State of the Union, and recommend to their consideration such measures as he shall judge necessary and expedient." (continuing) Give 'em hell, Andy. (continuing) You've got 30 seconds, Mr. President.	American President, The 
SHEPHERD	 (continuing) Whatcha got there, Luce?	LUCY	 Article 2, Section 3, of the U.S. Constitution. Executive Powers. (reading) "He shall, from time to time, give to the Congress information of the State of the Union, and recommend to their consideration such measures as he shall judge necessary and expedient." (continuing) Give 'em hell, Andy. (continuing) You've got 30 seconds, Mr. President.	SHEPHERD	 Thank you. (to LUCY) I'll see you afterward. I want a critique.	SHEPHERD	 (continuing) There's been something I've been trying to give you since our first date. I tried a bunch of times, but somehow I've always managed to trip over my job. (beat) Anyay...	American President, The 
LUCY	 Article 2, Section 3, of the U.S. Constitution. Executive Powers. (reading) "He shall, from time to time, give to the Congress information of the State of the Union, and recommend to their consideration such measures as he shall judge necessary and expedient." (continuing) Give 'em hell, Andy. (continuing) You've got 30 seconds, Mr. President.	SHEPHERD	 Thank you. (to LUCY) I'll see you afterward. I want a critique.	SHEPHERD	 (continuing) There's been something I've been trying to give you since our first date. I tried a bunch of times, but somehow I've always managed to trip over my job. (beat) Anyay...	SHEPHERD	 (continuing) These are for you.	American President, The 
SYDNEY	 How'd you finally do it?	SHEPHERD	 (raising his voice above the cheering) Do what?	SYDNEY	 Manage to give a woman flowers and be President at the same time.	SHEPHERD	 Well...it turns out I've got a rose garden.	American President, The 
