ACCOUNTANT	 What's to prevent it ?	CHARLIE	 Maybe nothing. But I'll tell you, I didn't build a two-billion-dollar company in the last twenty years by doing nothing. We can protect our interests. (pause, for a drink) We are still the most powerful nation in the world. Militarily.	CHARLIE	 (continuing) You know bodyguard; he was a captain in Viet Nam. You talk to him, except he won't talk. This kind of man can kill you with his pinky. A nice quiet fella, though.	CHARLIE	 (continuing) Carries a attache case at all times. You know what's in it ? (another sip) An Ingram Machine pistol.	Apocalypse Now 
KILGORE	 Don't you agree?	WILLARD	 He musta changed ! (pointing to the map) I got to get into the Nung River, here or here.	KILGORE	 That village you're pointing at is kinda hairy.	WILLARD	 Hairy ?	Apocalypse Now 
LANCE	 Nice.	KILGORE	 Why the hell didn't you tell me about that place -- a good left. (to Willard) There aren't any good left slides in this whole, shitty country. It's all goddamn beach break.	MIKE	 It's hairy ,though. That's where we lost McDonnel -- they shot the hell out of us. It's Charlie's point.	KILGORE	 How big it is?	Apocalypse Now 
MIKE	 Six to eight feet.	KILGORE	 (to himself) A six-foot left.	LANCE	 Boss. What's the wind like.	MIKE	 Light off shore -- really hollow.	Apocalypse Now 
CHIEF	 The draft of that river might be too shallow on the point.	KILGORE	 Hell, we'll pick your boat up and lay it down like a baby, right where you want it. This is the Cav boy -- airmobile. I can take that point and hold it as long as I like -- and you can get anywhere you want up that river that suits you, Captain. Hell, a six foot left. (he turns to an advisor) You take a gunship back to division -- Mike, take Lance with you -- let him pick out a board, and bring me my Yater Spoon -- the eight six.	TOM	 I don't know, sir -- it's -- it's --	KILGORE	 (hard) What is it?	Apocalypse Now 
TOM	 I don't know, sir -- it's -- it's --	KILGORE	 (hard) What is it?	TOM	 Well, I mean it's hairy in there -- it's Charlie's point.	WILLARD	 Charlie don't surf.	Apocalypse Now 
KILGORE	 (to Willard) We'll come in low out of the rising sun -- We'll put on the music about a mile out.	WILLARD	 Music?	KILGORE	 Yeah. Classical stuff -- scares the hell out of the slopes -- the boys love it.			Apocalypse Now 
67  HELICOPTER'S POV - THE JETS		KILGORE (O.S.)	 (on radio) Very good, Hell's Angels -- suggest you follow with cannon fire.					Apocalypse Now 
LIEUTENANT	 You didn't tell me to, sir.	KILGORE	 (grumbling) You shoulda known.	KILGORE	 (continuing) Sonuvabitch -- anybody hurt?	WILLARD	 Automatic weapons flashes along those trees -- probably eleven millimeter guns and AK-47's.	Apocalypse Now 
WILLARD	 I'm waiting for the fucking boat, Colonel.	KILGORE	 (without looking) It'll get here, soldier.	KILGORE	 (continuing) Change.	MIKE	 Wh -- what?	Apocalypse Now 
MIKE	 It's still pretty hairy, sir.	KILGORE	 (bellowing) You want'a surf, soldier?	KILGORE	 (continuing) That's good, boy, because it's either surf or fight.	KILGORE	 (continuing) I'm gonna cover for 'em -- that's all.	Apocalypse Now 
LANCE	 Sure -- fine --	KILGORE	 (through megaphone) That's far enough -- pick one up and come on in --	85  FULL SHOT - THE POINT, SURFERS		86  CLOSE SHOT ON LANCE AND KILGORE		Apocalypse Now 
86  CLOSE SHOT ON LANCE AND KILGORE		LANCE	 (to himself) Maybe he'll get tubed.	WILLARD	 What?	LANCE	 Maybe he'll get inside the tube -- where -- where they can't see him.	Apocalypse Now 
88  MED. SHOT - LANCE AND KILGORE		LANCE	 (to himself) The tragedy of this war is a dead surfer.	WILLARD	 What's that?	LANCE	 Just something I read in the Free Press.	Apocalypse Now 
KILGORE	 (continuing) Im not afraid to surf this place. I'll surf this place.	91  CLOSE SHOT ON KILGORE		KILGORE	 Bring that R.T., soldier.			Apocalypse Now 
OTHERS		WILLARD	 (to Lance) Look. There it is; the boat.	LANCE	 (whispers) He'll kill us.	WILLARD	 He can't kill us. (realizing as he says it) We're on his side.	Apocalypse Now 
WILLARD	 (to Lance) Look. There it is; the boat.	LANCE	 (whispers) He'll kill us.	WILLARD	 He can't kill us. (realizing as he says it) We're on his side.	KILGORE	 (almost to himself) You smell that. (louder) You smell that?	Apocalypse Now 
LANCE	 (whispers) He'll kill us.	WILLARD	 He can't kill us. (realizing as he says it) We're on his side.	KILGORE	 (almost to himself) You smell that. (louder) You smell that?	LANCE	 What?	Apocalypse Now 
WILLARD	 He can't kill us. (realizing as he says it) We're on his side.	KILGORE	 (almost to himself) You smell that. (louder) You smell that?	LANCE	 What?	KILGORE	 Napalm, boy -- nothing else in the world smells like that --	Apocalypse Now 
WILLARD	 You know, some day this war's gonna end..	KILGORE	 (sadly) Yes, I know.	KILGORE	 (continuing) The wind --	LANCE	 What?	Apocalypse Now 
LANCE	 What?	KILGORE	 (rising maniacally) Feel it -- it's the wind -- it's blowing on shore -- It's on shore !	KILGORE	 (continuing; screaming) It's gonna blow this place out. It's gonna ruin it ...	WILLARD	 The kid can't ride sloppy waves.	Apocalypse Now 
LANCE	 Yeah, I'm an artist, goddamit !	KILGORE	 (apologetically) Yeah -- yeah, I can understand how you feel.	KILGORE	 (continuing) It's the napalm -- it's causing the wind -- ruining my perfect left.	KILGORE	 (continuing; mumbling) The napalm -- ruin -- napalm my perfect left -- my perfect left point break -- napalm --	Apocalypse Now 
CHIEF (O.S.)	 Incoming ! Incoming -- son of a bitch.	WILLARD	 (calm) This one , Lance?	LANCE	 Yeah, Jesus Christ !	CLEAN	 What'd you that for?	Apocalypse Now 
LANCE	 (yelling) Maybe we better stay in under the trees till dark -- we got his Yater.	WILLARD	 He didn't look like he'd take that sitting down.	WILLARD	 (continuing) Let's put some distance between us and Charlie.			Apocalypse Now 
CLEAN	 How can you tell their weapons.. an' how far they're going?	WILLARD	 Mostly from the imprints when they put them down to rest. their morale from the way they drag their feet, or the joints that may be lying around. If they're near a base camp, they wouldn't be conserving food; they'll be throwing it away half-eaten. If the branches aren't broken, their weapons are slung. But all this is just technique.. There's a feeling you get after a while, that's what's important. I was going through a village once. I was looking for a certain party. I took off my boots, and walked into each hut. It was midnight. I went into three like that and suddenly I realized Id gone into each hut the same way -- standing up -- so the next one I went in on my belly. An RPD burst took out the door a bit above my head. (he shrugs) Things like that.	KILGORE (V.O.)	 (over a loudspeaker) I'm not gonna hurt or harm you, boy -- I just want the board back -- You can understand -- It was one of my best -- You know how hard it is to get a board you like, boy. I'm not gonna hurt or harm you -- Just leave it where I can find it --	CLEAN	 Jesus -- that guy's too damn much.	Apocalypse Now 
WILLARD	 Mostly from the imprints when they put them down to rest. their morale from the way they drag their feet, or the joints that may be lying around. If they're near a base camp, they wouldn't be conserving food; they'll be throwing it away half-eaten. If the branches aren't broken, their weapons are slung. But all this is just technique.. There's a feeling you get after a while, that's what's important. I was going through a village once. I was looking for a certain party. I took off my boots, and walked into each hut. It was midnight. I went into three like that and suddenly I realized Id gone into each hut the same way -- standing up -- so the next one I went in on my belly. An RPD burst took out the door a bit above my head. (he shrugs) Things like that.	KILGORE (V.O.)	 (over a loudspeaker) I'm not gonna hurt or harm you, boy -- I just want the board back -- You can understand -- It was one of my best -- You know how hard it is to get a board you like, boy. I'm not gonna hurt or harm you -- Just leave it where I can find it --	CLEAN	 Jesus -- that guy's too damn much.	CHIEF	 I wonder if that was the same copter.	Apocalypse Now 
CHEF	 They lined us all up in front of a hundred yards of prime rib -- magnificent meat, beautifully marbled.. Then they started throwing it in these big cauldrons, all of it -- boiling. I looked in, an' it was turning gray. I couldn't stand it. I went into radio school.	WILLARD	 (whispering) -- quiet --	105  MED. SHOT - DIFFERENT ANGLE		WILLARD	 (silent) There...	Apocalypse Now 
105  MED. SHOT - DIFFERENT ANGLE		WILLARD	 (silent) There...	106  MED. SHOT - THE ELEPHANT GRASS - WILLARD AND CHEF		CHEF	 It's a motherfucking tiger -- goddamn...	Apocalypse Now 
107  FULL SHOT - THE BOAT - THE CREW		CHEF	 (hysterical) Ohhhh -- tiger ! Oh goddamn ! It's a tiger ! Jesus Christ ! Goddamn, a tiger ! Ohhhhhhhh.	LANCE	 What's this tiger shit?	WILLARD	 No shit... I think I shot the hell out of him.	Apocalypse Now 
121  MED. SHOT - DIFFERENT ANGLE - WILLARD		VOICE (O.S.)	 (whispering) Captain --	VOICE (O.S.)	 (continuing) Over here, Captain --			Apocalypse Now 
SOLDIER (O.S.)	 Incoming.	CHIEF	 (yelling) All right -- Lance, go with the Captain an' see what you can scrounge --	CHIEF	 (continuing; to Willard) Better make it fast, sir -- we don't really need much anyway.	129  MED. SHOT - WILLARD, LANCE		Apocalypse Now 
CHIEF	 (continuing) We hit a big enough one this hull will shatter like a Corvette. Fucking plastic boat.	WILLARD	 (shouting to Chief) What about ducking into one of those tributaries till this river slows down?	CHIEF	 Who knows what's up there?	WILLARD	 Can't be any worse than this. What do you think?	Apocalypse Now 
WILLARD	 Get in there now or I'll bury you in this river.	CHIEF	 (finally relents, turns the helm) You're fucking crazy. You're going to get us all killed.	DISSOLVE TO :				Apocalypse Now 
142  MED. VIEW		CHIEF	 (back at the helm) Elevate Lance, in the tree. No, I saw another.	CHEF	 Thirty meters up, Lance; I saw the fucking flash.	143  CLOSE SHOT ON CLEAN		Apocalypse Now 
WILLARD	 (continuing) Give me some kind a field a fire --	CHEF	 (exhausted) We're through.	CHEF	 (continuing) Oh, God --	LANCE		Apocalypse Now 
WILLARD	 (continuing) They're not Cong.	CHIEF	 (over the loud-hailer) We're Americans.	CHEF	 Maybe you shouldn't say we're Americans?	WILLARD	 Chef, try your French.	Apocalypse Now 
CHEF	 Nous sommes Americains -- nous sommes des amis --	FRENCHMAN	 (shouting out) Vous parlez Francais comme une vache espanole.	CHEF	 (to himself) I thought it was pretty good, myself.	CHIEF	 What'd he say?	Apocalypse Now 
FRENCHMAN	 (shouting out) Vous parlez Francais comme une vache espanole.	CHEF	 (to himself) I thought it was pretty good, myself.	CHIEF	 What'd he say?	CHEF	 Said I speak French like a Spanish cow.	Apocalypse Now 
WILLARD	 American weapons?	GASTON	 We took them from the dead. (smiles) Now -- I assume you want to rest, to shower. We'll attend to your repairs after dinner.	CHEF	 Shower.	WILLARD	 We don't want to bother you any, we --	Apocalypse Now 
CHIEF	 Yeah -- well, I'll stay with the boat.	WILLARD	 Chief. (pause) Come with us.	164  FULL SHOT - PLANTATION - WILLARD, GASTON, OTHERS		GASTON	 A suitable accomodation for your men, captain -- you will, of course, be quartered with us --	Apocalypse Now 
WILLARD	 Looks like a two thousand pound to me. Yeah, a two thousand pound bomb.	GASTON	 No, I've seen those in Normandy. This is much better. (pause) My country -- my country could never originate this. Magnificent.					Apocalypse Now 
GASTON	 May I present Captain Willard? He is of a paratroop regiment. You know the difference between a paratrooper and a regular soldier, don't you , my dear?	ROXANNE	 (smiling and taking Willard's hand) Yes, they come from the sky.	WILLARD	 I would like to know more about the .. uh, plaque...	GASTON	 Attacks repulsed, as I was saying. (hard) This is only  for this war, Captain. Viet Cong -- 54; North Vietnamese regular forces -- 15; South Vietnamese -- 28 -- regular forces and otherwise. (pause) Americain -- 6. Of course, they were, perhaps, mistakes, Captain.	Apocalypse Now 
WILLARD	 I would like to know more about the .. uh, plaque...	GASTON	 Attacks repulsed, as I was saying. (hard) This is only  for this war, Captain. Viet Cong -- 54; North Vietnamese regular forces -- 15; South Vietnamese -- 28 -- regular forces and otherwise. (pause) Americain -- 6. Of course, they were, perhaps, mistakes, Captain.	WILLARD	 Of course. I -- Once we make our repairs, we could send word, we could have you evacuated from here.	GASTON	 Captain?	Apocalypse Now 
WILLARD	 I'm sorry to hear that.	ROXANNE	 (rising) Cognac?	WILLARD	 I should be checking on the boat.	ROXANNE	 The war will still be here tomorrow.	Apocalypse Now 
ROXANNE	 The war will still be here tomorrow.	WILLARD	 (thinking) I guess so.					Apocalypse Now 
ROXANNE	 What's a big question?	WILLARD	 Kurtz. (pause) I know you've heard of him.	ROXANNE	 Yes.	WILLARD	 What did you hear?	Apocalypse Now 
ROXANNE	 (from the sitting room) Are you warm, Captain?	WILLARD	 The river is beautiful.	176  MED. VIEW ON WILLARD, ROXANNE				Apocalypse Now 
WILLARD	 I guess this is whAt men of war do -- eh?	GASTON	 We endure, captain -- you can blow up the house and we will live in the cellar -- destroy that and we'll dig a hole in the jungle and sleep on it. Burn the forest and we'll hide in the swamp. all the while, we do but one thing -- clean the blood off our bayonets. (pause) Au revoir, Captain.					Apocalypse Now 
205  VIEW ON WILLARD		WILLARD	 (reading) Upon reaching objective. Target key personnel and commence operation. Should difficulty arise from which extraction is impossible, break radio silence Com-Sec Command code Strong Arm -- indicate purgative air strike -- code -- Street Gang. (pause) Purgative air strike ! Purgative ! They'd kill me too !	CHIEF	 Shit ! Fucking arrows ! They're shooting fucking arrows at us.	206  CLOSE ON WILLARD		Apocalypse Now 
WILLARD (V.O.)	 Here they are in Los Angeles. Everything is safe. There's a supermarket around the corner, the police station around the other. It would seem ridiculous to them that I was shot to hell because I had lost the privilege of listening to the mysterious Colonel Kurtz. (pause) Of course I was wrong. He was waiting for me. Kurtz was alive and he was waiting for me.	DISSOLVE TO :						Apocalypse Now 
WILLARD	 We've been attacked.	AUSTRALIAN	 (shouting back) I know, I know, it's all right. Come in this way. It's mined over there. This way. It's all right.	CHEF	 Charlie?	WILLARD	 Looks that way.	Apocalypse Now 
WILLARD	 Looks that way.	CHEF	 (looking at the Australian) Who's he?	WILLARD	 God knows.	WILLARD	 (continuing) Who the hell are you?	Apocalypse Now 
AUSTRALIAN	 Moonby, 4th battalion, Royal Australian Regiment, Task Force. Ex-Corporal Moonby, deserted.	WILLARD	 (incredulously, indicating the hundreds of natives) What is this?	MOONBY	 Oh, they're simple enough people. It's good to see you, baby. Nobody has any Winstons?	MOONBY	 This boat's a mess.	Apocalypse Now 
WILLARD	 Where's Kurtz? I want to talk to him.	MOONBY	 Oh, you don't talk to Colonel Kurtz. (he puffs, then smiles) You listen to him. God, these are good. I kept these people off you, you know. It wasn't easy.	WILLARD	 Why did they attack us?	MOONBY	 Simple. They don't want him to go.	Apocalypse Now 
MOONBY	 Pre-Australian, actually. But I'd dig goin' to California. I'm California dreamin'.	WILLARD	 (almost to himself) So Kurtz is alive.	MOONBY	 Kurtz. I tell you, that man has enlarged my mind.	MOONBY	 (continuing) But lemme tell you, he is the most dangerous thing in every way that I've come on so far. He wanted to shoot me. The first thing he said is, 'I'm going to shoot you because you are a deserter.' I said I didn't desert from your army, I deserted from my army. He said, 'I'm going to shoot you just the same.'	Apocalypse Now 
MOONBY	 Those heads, yes. Well, the rebels...	WILLARD	 (to his men) We're going ashore. Tie her up -- and leave your guns up, Lance.	LANCE	 What?	WILLARD	 Bring your rifles, that's all. (looking at Moonby) Take us to him.	Apocalypse Now 
LANCE	 What?	WILLARD	 Bring your rifles, that's all. (looking at Moonby) Take us to him.	MOONBY	 Right on -- he's been waiting for --	WILLARD	 And shut up.	Apocalypse Now 
WILLARD	 Who are you?	MOONBY	 (breaking in) His name is...	WILLARD	 I'm not ever goin' to tell you to shut up again.	MAN	 Colby. Exec. officer, A-Team... Special Forces. F-82 -- Col. Walter Kurtz, commanding.	Apocalypse Now 
KURTZ	 I'm Kurtz.	WILLARD	 (he salutes) Captain B.L. Willard reporting his presence, sir.	233  VIEW ON KURTZ		KURTZ	 At ease... (pause, as he regards him) Sit down.	Apocalypse Now 
233  VIEW ON KURTZ		KURTZ	 At ease... (pause, as he regards him) Sit down.	234  MED. VIEW		KURTZ	 (slowly) Why did you come to ... my province.	Apocalypse Now 
234  MED. VIEW		KURTZ	 (slowly) Why did you come to ... my province.	WILLARD	 We were attacked -- down river. We need supplies and medical help.	KURTZ	 You were not coming here, to see me?	Apocalypse Now 
KURTZ	 You were not coming here, to see me?	WILLARD	 (finding it more and more difficult to go on with this lie) No -- no, sir.	KURTZ	 You came up my river -- in that small boat. So simple. I always thought the final justice would come from the sky, like we did. (pause) You are the final justice, aren't you?	WILLARD	 What do you mean, Colonel?	Apocalypse Now 
WILLARD	 (finding it more and more difficult to go on with this lie) No -- no, sir.	KURTZ	 You came up my river -- in that small boat. So simple. I always thought the final justice would come from the sky, like we did. (pause) You are the final justice, aren't you?	WILLARD	 What do you mean, Colonel?	KURTZ	 (gently) What other reason could you have come? A Captain. Ranger. Paratrooper. Graduate of the Recondo School. Am I right about these things?	Apocalypse Now 
WILLARD	 What do you mean, Colonel?	KURTZ	 (gently) What other reason could you have come? A Captain. Ranger. Paratrooper. Graduate of the Recondo School. Am I right about these things?	WILLARD	 You know you're right.	KURTZ	 Then the Agency approached you. Maybe in a bar in Quinon or Pleiku. Simple. A year's pay for one life. Perhaps a village elder, or a tax collector. Nobody's orders but your own. Exciting work.	Apocalypse Now 
CHEF	 When you kill Cong, don't you feel something.	WILLARD	 Sure. (thinking) Recoil... I feel the recoil of my rifle.	239  FULL SHOT - WALL - WILLARD, CHEF , LANCE		WILLARD	 This is good -- triple overlapping fields of fire -- walls so thick ordinary artillery just cleans the moss off their surfaces.	Apocalypse Now 
CHEF	 I don't get it -- You said your mission was to kill him. Let's do it, an' get our asses outta here. This  Kurtz is ruining the war; I mean, this don't look good for America !	WILLARD	 (lost in his thoughts) ... he's an amazing officer.	CHEF	 You got to kill this sonuvabitch -- Lance and me, we don't understand none of this -- Jesus, Captain -- I don't wanna die here -- Do it quick.	WILLARD	 Yeah. I know.	Apocalypse Now 
WILLARD	 You've gone crazy.	KURTZ	 (angrily) No. My thinking is clear. (calmly) But my soul has gone mad.	KURTZ	 (continuing) My gut -- Oh, Christ, my gut !			Apocalypse Now 
WILLARD	 You can't have water after morphine.	KURTZ	 Still playing by the rules. (almost affectionately) You're a damn good kiler.	WILLARD	 (still holding the second morphine) How's the pain?	KURTZ	 How's yours?	Apocalypse Now 
KURTZ	 Still playing by the rules. (almost affectionately) You're a damn good kiler.	WILLARD	 (still holding the second morphine) How's the pain?	KURTZ	 How's yours?	WILLARD	 I can handle it.	Apocalypse Now 
WILLARD	 What Truth?	KURTZ	 The truth that you were sent here to murder me, ans so far you haven't done it. And do you know why? (looks at him) Yes, you know why. (he looks) Your mission makes about as much sense as those idiots who sent you on it. Asshole ! Schmuck ! How long does it take you to figure out that nobody knows what they're doing here. (coldly) Except me.	KURTZ	 (continuing) Gimme water.	WILLARD	 No water.	Apocalypse Now 
KURTZ	 Look into the jungle. You can't -- it's too terrible. You have to smear yourself with warpaint to look at it -- you have to be a cannibal. (whispered) That's why warpaint was invented. Then it becomes your jungle.	WILLARD	 How did we get here?	KURTZ	 Because of all the things we do, the thing we do best -- is lie.			Apocalypse Now 
KURTZ	 Oh Captain, that is so true.	WILLARD	 Stinks. I could never figure -- (he drinks from the canteen) I could never figure how they can teach boys how to bomb villages with napalm -- and not let them write the word 'fuck' on their airplanes.	KURTZ	 (angrily) You could never figure it because it doesn't make sense.	WILLARD	 Fuck no.	Apocalypse Now 
WILLARD	 Stinks. I could never figure -- (he drinks from the canteen) I could never figure how they can teach boys how to bomb villages with napalm -- and not let them write the word 'fuck' on their airplanes.	KURTZ	 (angrily) You could never figure it because it doesn't make sense.	WILLARD	 Fuck no.	KURTZ	 I'll tell you what makes sense ! Air strikes ! White Phosphorus ! Napalm ! We'll bomb the shit out of them if they don't do what we want.	Apocalypse Now 
258  MED. CLOSE VIEW ON YOUNG SOLDIERS	 259  SHOT ON THE COMMAND BUNKER - WILLARD , KURTZ , OTHERS (In SLOW MOTION) Shells WHISTLE in and EXPLODE on the walls in the compound. The men behind them are setting up rocket launcher (missile) . Everywhere metal and rock and flame fly and it is beautiful to see.	260  WILLARD - INFRA-RED POV		261  FULL SHOT ON KURTZ				Apocalypse Now 
273  MED. SHOT - DIFFERENT ANGLE - KURTZ		KURTZ	 (yelling) Charles !	274  MED. SHOT - LOW ANGLE - KURTZ		275  FULL VIEW - THE FORTRESS		Apocalypse Now 
KURTZ	 My river... my people... my jungle... my ideas... my country... my wife... (he looks at Willard) ... my death.	WILLARD	 You had immense plans... immense plans...	KURTZ	 Yes...			Apocalypse Now 
283  CLOSE SHOT ON WILLARD		WILLARD	 (to himself) They're coming to take us back.	WILLARD	 (continuing) Yeah.	COLBY	 Colonel Kurtz, he's dead.	Apocalypse Now 
WILLARD	 You knew him best.	KURTZ'S WIFE	 You were his friend... You must have been, if he had given you this... (the packet) If he sent you to his home. He was the best this country had -- he was --	WILLARD	 Yes, I know...	KURTZ'S WIFE	 I'll never get over it -- But I'll always remember him...	Apocalypse Now 
WILLARD	 Both of us...	KURTZ'S WIFE	 Men looked up to him... (she loses herself in a thought) He died as he lived...	WILLARD	 His death was -- yes, he died as he lived.	KURTZ'S WIFE	 Were you with him, when...	Apocalypse Now 
