SONYA	 (whispering) Princess Anastasia - you're late and it's all my  fault!	ANASTASIA	 Don't worry, Sonya, no one'll notice. . .	ANASTASIA	 (loudly) . . .  owwwwwwwww!			Anastasia 
ANYA	 Then you'll have to make your own home. Lots of people do.	GREGOR	 (nervous, sad) Anya! What if we can't find anyone who loves us?!	ANYA	 Then come find me.			Anastasia 
ANYA	 Is this where I get traveling papers?	CLERK	 It would be if we let you travel which we  don't so it isn't. (loudly, for all to hear) Russia is the people's paradise!	CLERK (CONT.)	 See Dmitri. He can help.	CLERK (CONT.)	 But you didn't hear it from me.	Anastasia 
CLERK (CONT.)	 But you didn't hear it from me.	ANYA	 (doesn't get it) I didn't	CLERK	 No.			Anastasia 
ANYA	 (to herself) Dmitri? There must be a million Dmitris. . .	PEASANT 9	 (to Peasant 10) Which line is this?	PEASANT 10	 The line to get into the line.	ANYA	 Excuse me, do you know Dmitri. . .	Anastasia 
PEASANT 10	 Nothing!	PEASANTS 9 & 10	 (whispering simultaneously) Try the tavern/ library.	PEASANTS9& 10	 But we didn't tell you!	ANYA	 (To herself) I wish they'd all stop telling me they didn't tell me!	Anastasia 
PEASANTS9& 10	 But we didn't tell you!	ANYA	 (To herself) I wish they'd all stop telling me they didn't tell me!	ANYA (CONT.)	 What are you doing. . .	TINY HUSBAND	 (To Artist) Could you get rid of her moustache?	Anastasia 
ANYA (CONT.)	 What are you doing. . .	TINY HUSBAND	 (To Artist) Could you get rid of her moustache?	ANYA	 Excuse me - I'm looking for a man named Dmitri. . .	ARTIST	 But I didn't write it.	Anastasia 
ACTRESS 1	 (over the top) Oh, Grandmama! It's me, Anastasia! I've waited so long to see you!	VLADIMIR	 (out to audience) Dmitri!  I can not work with her!	VLADIMIR (CONT.)	 (to Actress) May I remind you that you are supposed to be Princess - not a lazy lumbering lout!	DMITRI	 Vladimir, calm down!	Anastasia 
DMITRI	 For a ten million rubles reward we can look a little longer. This is the big one. . .  and all I need is the right girl.	"A SOMEONE AND A SOMEPLACE"  (REPRISE	 (Dmitri's "I want") Dmitri SINGS a reprise of Anya's song, a COMIC VERSION, in which he expresses the hope that he can find the right girl for his scam. Anyone from a peasant to a princess will do, as long as she can fool Tatiana. (NOTE:   We don't want to give Dmitri a whole new song here or we'll be too song-heavy in Act I. By giving him a short reprise of Anya's song, we can effectively align these two characters emotionally.)	ACTRESS 2	 (heavy hasal) Oh, Grandmama! It's me, Anastasia. I've waited so long to see you.	DMITRI (O.C.)	 Next!	Anastasia 
"A SOMEONE AND A SOMEPLACE"  (REPRISE	 (Dmitri's "I want") Dmitri SINGS a reprise of Anya's song, a COMIC VERSION, in which he expresses the hope that he can find the right girl for his scam. Anyone from a peasant to a princess will do, as long as she can fool Tatiana. (NOTE:   We don't want to give Dmitri a whole new song here or we'll be too song-heavy in Act I. By giving him a short reprise of Anya's song, we can effectively align these two characters emotionally.)	ACTRESS 2	 (heavy hasal) Oh, Grandmama! It's me, Anastasia. I've waited so long to see you.	DMITRI (O.C.)	 Next!	ACTRESS 3	 (stupid) Oh. . .  Grandmama it's me. Anastasia, I have waited so long, too. (as a good-bye) See you!	Anastasia 
DMITRI (O.C.)	 Next!	ACTRESS 6	 (very intense) What's my modivation?	VLADIMIR	 (calling out to seats) Stanislavski!			Anastasia 
ACTRESS 6	 (very intense) What's my modivation?	VLADIMIR	 (calling out to seats) Stanislavski!					Anastasia 
VLADIMIR	 It's no use, Dmitri - we'll never find the right girl!	DMITRI	 We will.  We have to. (trying to cheer him up) Come on, Vlad - she's out there.					Anastasia 
DMITRI	 That's quite a hard head you've got there, boy.	ANYA	 (breathless) I'm looking for Dmitri.  I need traveling papers - to Paris. I heard Dmitri could help me.	VLADIMIR	 Who did you hear it from?	ANYA	 I heard it from everyone who said I didn't hear it from them!   Do you know Dmitri?	Anastasia 
ANYA	 I heard it from everyone who said I didn't hear it from them!   Do you know Dmitri?	VLADIMIR	 (loudly, acting) Providing travel papers is illeagal! (then, quietly) I know Dmitri well - perhaps I can help you.  Providded you have enough money to pay for this service. . .	ANYA	 Well, I don't have any money . . .	VLADIMIR	 Good day!	Anastasia 
DMITRI	 (off noise) What was that?	VLADIMIR	 That was your dinner!  I do hope there is no cabbage in Paris!					Anastasia 
"ONCE UPON A DECEMBER"  (THE MUSIC BOX THEME)		ANYA	 (singing)	DANCING BEARS, PAINTED WINGS	 THINGS I ALMOST REMEMBER.			Anastasia 
ANYA	 I. . .  I. . .  spoke to you earlier about traveling paper. .	DMITRI	 (whispering to Vlad) It's her.	VLADIMIR	 He's her?	DMITRI	 Look!	Anastasia 
VLADIMIR	 Perhaps you heard of our brilliant plan to find a girl and. . .	DMITRI	 (quietly to Vlad) She doesn't want to do anything "dishonest". . .	VLADIMIR	 (gets it, whispers) Ew. . .  the honest type.	DMITRI	 (off frieze) You look like her.  Like the Princess Anastasia.  Has anyone ever told you that before?	Anastasia 
DMITRI	 (quietly to Vlad) She doesn't want to do anything "dishonest". . .	VLADIMIR	 (gets it, whispers) Ew. . .  the honest type.	DMITRI	 (off frieze) You look like her.  Like the Princess Anastasia.  Has anyone ever told you that before?	ANYA	 (sarcastic) Oh, yeah - in the orphanage they constantly told me I looked like a princess! Stop that!	Anastasia 
VLADIMIR	 (gets it, whispers) Ew. . .  the honest type.	DMITRI	 (off frieze) You look like her.  Like the Princess Anastasia.  Has anyone ever told you that before?	ANYA	 (sarcastic) Oh, yeah - in the orphanage they constantly told me I looked like a princess! Stop that!	DMITRI	 People say Anastasia was the only member of the Royal Family to escape alive.  That makes her an orphan too	Anastasia 
DMITRI	 (off frieze) You look like her.  Like the Princess Anastasia.  Has anyone ever told you that before?	ANYA	 (sarcastic) Oh, yeah - in the orphanage they constantly told me I looked like a princess! Stop that!	DMITRI	 People say Anastasia was the only member of the Royal Family to escape alive.  That makes her an orphan too	DMITRI (CONT.)	 (beat) What happened to your parents?	Anastasia 
DMITRI	 Why do you want to go to Paris?	ANYA	 (defiant) I have my reasons.	DMITRI	 Anastasia's grandmother is in Paris.  We're going to bring Anastasia to her - in Paris.	DMITRI (CONT.)	 (beat) And I think you are the Princess Anastasia.	Anastasia 
NO!  YOU LOOK AT HER!  LOOK AT		HER!	 (beat, then softly) It could be you.	DMITRI (CONT.)	 You don't have anything to lose.  If I am wrong - the Empress will simply tell us you aren't Anastasia and we'll be on our way.  No harm done - an honest mistake - but at least you will be in Paris.	ANYA	 (singing in a whisper)	Anastasia 
DMITRI (CONT.)	 You don't have anything to lose.  If I am wrong - the Empress will simply tell us you aren't Anastasia and we'll be on our way.  No harm done - an honest mistake - but at least you will be in Paris.	ANYA	 (singing in a whisper)	THINGS MY HEART USED TO KNOW	 THINGS IT YEARNS TO REMEMBER. . .			Anastasia 
ANYA	 (singing in a whisper)	THINGS MY HEART USED TO KNOW	 THINGS IT YEARNS TO REMEMBER ...					Anastasia 
BARTOK	 Ummm ... Father Gregori? It's, uhh ... me. Bartok. (a sign of relief) Phew! Not home ...	RASPUTIN	 What?	BARTOK	 Oh my God! (wing to chest) Don't do that ... feel my heart. Go ahead. I'm dying here ...			Anastasia 
RASPUTIN	 What?	BARTOK	 Oh my God! (wing to chest) Don't do that ... feel my heart. Go ahead. I'm dying here ...	RASPUTIN	 (smiling) And what do you want, my little rat-with-wings?	BARTOK	 Name calling! That's mature.	Anastasia 
BARTOK	 Oh my God! (wing to chest) Don't do that ... feel my heart. Go ahead. I'm dying here ...	RASPUTIN	 (smiling) And what do you want, my little rat-with-wings?	BARTOK	 Name calling! That's mature.	RASPUTIN	 I gave you that tongue and I can rip it out!	Anastasia 
RASPUTIN	 I gave you that tongue and I can rip it out!	BARTOK	 (strangled) No, I really like my tongue... we're very attached. (rasputin releases him) Oyyyy... Okay, now... promise you won't get angry.	RASPUTIN	 (sweetly) Why would I ever be angry with you, little friend?	BARTOK	 Yeah, right. Keep that thought okay? So, I'm in town, stop by the old palace. You get a better class of bats there - no tattoos or anything.	Anastasia 
BARTOK	 (strangled) No, I really like my tongue... we're very attached. (rasputin releases him) Oyyyy... Okay, now... promise you won't get angry.	RASPUTIN	 (sweetly) Why would I ever be angry with you, little friend?	BARTOK	 Yeah, right. Keep that thought okay? So, I'm in town, stop by the old palace. You get a better class of bats there - no tattoos or anything.	BARTOK (CONT.)	 So, I'm cruisin' the rafters and... what can I say, I struck out. I thought chicks would like the fact that I can talk, you know but, I mean, the way things are going I couldn't get invited to a plague. (a bottle smashes) Someone's gotta clean that up...	Anastasia 
BARTOK	 Trust me, it's her!	RASPUTIN	 (eyes narrowing) How do you know?	BARTOK	 Rodent's intuition, how do I know? She looks exactly like her. Except she's taller, which is natural ... Of course my second cousin Treplev - he never grew. Looks like a little pepper shaker. He was so cute ...	BARTOK (CONT. )	 Oyyy... I knew this was gonna to upset him!	Anastasia 
BARTOK (CONT. )	 Oyyy... I knew this was gonna to upset him!	RASPUTIN	 (with reverence) Source of my power. Owner of my soul. I need your help.	BARTOK	 Hey, she's just a kid. And she's going to Paris outta sight, outta mind, outta Russia.	RASPUTIN	 I cursed then all!	Anastasia 
YOU IDIOT		RASPUTIN (CONT.)	 (to Reliquary) Yesses - you'd all like to get out, wouldn' t you? Sorry just one at a time and only when I call.	RASPUTIN	 (to Bartok) Do you have any idea what would happen if that broke?!	BARTOK	 (voice under glass) You'd lose your security deposit?	Anastasia 
RASPUTIN	 (to Bartok) Do you have any idea what would happen if that broke?!	BARTOK	 (voice under glass) You'd lose your security deposit?	RASPUTIN	 (waving reliquary) Evil, powerful beings - I have their power only if I contain them, control them. If they should all be released at once... well ...	RASPUTIN (CONT.)		Anastasia 
BARTOK	 (voice under glass) You'd lose your security deposit?	RASPUTIN	 (waving reliquary) Evil, powerful beings - I have their power only if I contain them, control them. If they should all be released at once... well ...	RASPUTIN (CONT.)				Anastasia 
RASPUTIN (CON'T.)	 (to reliquary) Where is she? Where is Princess Anastasia...	RASPUTIN(CONT.)	 She has friends. No matter...	BARTOK	 Ohhh, that was dumb...			Anastasia 
TATIANA (CONT.)	 (quietly) No more. So more...	SOPHIE	 (very rapidly) Oh, oh... I must say. I thought that one was bar - i'm just so shocked that she wasn't real well, she was real, I mean she was human, of course. but not our real. I must say, even my sisters were touched by her yes - yes they were...	SOPHIE (CONT.)	 ... moved to tears of joy! We won't be f ooled next time, girls! I'm a going to think of really hard questions...	TATIANA	 (stopping Sophie with a raise of her hand) No, Sophie. My heart can't take it anymore! I will see no more girls claiming to be Anastasia.	Anastasia 
SOPHIE (CONT.)	 ... moved to tears of joy! We won't be f ooled next time, girls! I'm a going to think of really hard questions...	TATIANA	 (stopping Sophie with a raise of her hand) No, Sophie. My heart can't take it anymore! I will see no more girls claiming to be Anastasia.					Anastasia 
VLADIMIR (CONT.)	 Wake up, young lady, that's our train.	DMITRI	 (correcting) "Wake up, your highness" - we should start getting used to saying it.	VLADIMIR	 What a world - a man who was in my position in society is calling a peasant 'Your Highness".	DMITRI	 (to Anya) Wake up!	Anastasia 
VLADIMIR	 What a world - a man who was in my position in society is calling a peasant 'Your Highness".	DMITRI	 (to Anya) Wake up!	VLADIMER	 We have a lot of work to do...			Anastasia 
DMITRI	 I was all out of dynamite!	ANYA	 (hands Dmitri the snow) Put it on your nose. For heaven's sake, you're making such a fuss!	ANYA	 (to herself) Men are such babies...	ANYA	 Here, let me	Anastasia 
GUARD	 Papers! Then, he glances at the PERSON NEXT TO HIM and sees that his papers are done in a bright RED ink. Dmitri looks over at Vladimir - who has seen the mistake as well.	VLADIMIR	 (sheepishly) It's what I hate about this government - everything in red!	GUARD	 Thank you, Comrade Zhivago.	ZHIVAGO	 Doctor Zhivago.	Anastasia 
ANYA	 I'm going to stretch my legs	DMITRI	 That's a good idea - a great idea - stretch your legs (pointing the opposite direction of the guards) ... stretch then that way.	ANYA	 (to herself) I must have hit him harder than I thought...			Anastasia 
DMITRI	 That's a good idea - a great idea - stretch your legs (pointing the opposite direction of the guards) ... stretch then that way.	ANYA	 (to herself) I must have hit him harder than I thought...					Anastasia 
DMITRI	 Wait here!	ANYA	 (to Vlad) Would you like to tell what we are...	DMITRI	 Come on up!	ANYA	 Why?	Anastasia 
ANYA	 I'm fine.	DMITRI	 She's fine! (limping away) I may never walk right again, but she's fine...					Anastasia 
RASPUTIN	 We'll catch her and finish her! (he grabs the, reigns) We ride this night!	BARTOK	 Well, we wait this night!					Anastasia 
ANYA	 Who's Sophie?	VLADIMIR	 (lost in warm memories) Ah ... the Lady Sophie... The ravishing first cousin, once removed, from the Empress. We must convince Sophie that you are the Princess before we'll be granted a meeting with the Empress ... your grandmother, I mean.	ANYA	 What?!	ANYA (CONT.)	 You never said anything to me about having to prove I'm a Princess!	Anastasia 
VLADIMIR	 We're just going to refresh your memory...	ANYA	 I don't have a memory and I'm not a Princess! (looks down at herself) Even if I were - no one's ever going to believe it. I'm not exactly...	ANYA (CONT.)	 (sadly to herself) ... good enough... (to others) I can't go through with this!	DMITRI	 What do you see?	Anastasia 
DMITRI	 Every Russian family has one..	ANYA	 (gets it) Natasha! Natasha Feastavich!- but we called her Nashie Fooshie!	VLADIMIR	 Did I tell you that?	ANYA	 You must have.	Anastasia 
ANYA	 (repeating) ...fish fork, salad fork, meat fork and. . . (can't remember, then exasperated)	[THIS SECTION ALSO NOT LEDGABLE]		DMITRI	 (hinting) It's the best fork of all			Anastasia 
[THIS SECTION ALSO NOT LEDGABLE]		DMITRI	 (hinting) It's the best fork of all	ANYA	 The dessert fork!	VLADIMIR	 (lost in a memory of rich desserts) Ah, yes ... I have always loved that fork...	Anastasia 
ANYA	 The dessert fork!	VLADIMIR	 (lost in a memory of rich desserts) Ah, yes ... I have always loved that fork...					Anastasia 
DMITRI	 It used to be a private yacht before the government took it over.	VLADIMIR	 Oh, yes it was the seagoing vessel of elaborate elegance in entertaining... (looks at Dmitri and Anya explaining) A party boat. It once belonged to ...	ANYA	 Konstantin Petrovich of Moscow!	ELDERLY DOWAGER	 No, no, boys! You don't know where he's been!	Anastasia 
ANYA	 I'm sorry.	DMITRI	 (false bravado) Hey! It doesn't matter! You gotta make your own way in the world! Don't be sorry for me! I'm going to get what I want don't you worry!					Anastasia 
RASPUTIN	 (low, slow) She's out there ...	BARTOK	 I'm getting a chest cold..	RASPUTIN	 Bartok... a question.			Anastasia 
BARTOK	 ... anyway, a bunch of other bats were hanging in the belfry - I know, cliche, but there you have it, and Mischa, not the brightest bat in the world, decides to hang in the bell. Which was fine for awhile until it started ringing ... (shivers) Ewwww, what a mess ...	RASPUTTN	 (to reliquary) Show her to me ...	BARTOK	 And it didn't help the tonal quality of the bell, either.			Anastasia 
BARTOK	 Boy, don't you hate it when that happens?	RASPUTIN	 (controlling) She leads a charmed life, that little one ... Someone is always there to save her. In the palace as a child, on the train and now ... it's him.	BARTOK	 Nice looking fellow. I mean, don't get me wrong - I'm not attracted to him in the physical sense, I just ...	RASPUTIN	 You are toying with me, aren't you? You let me get so close...	Anastasia 
DMITRI	 It's okay. Didn't hurt..	ANYA	 (to herself) I'm almost there... I'm finally going to know...	DMITRI	 How is our current financial status?	VLADIMIR	 If I used the word "bleak" I would be optimistic.	Anastasia 
ELDERLY DOWAGER	 Help! My little dogs! Chevalier! Maurice! Hold on, darlings!	DMITRI	 I'll save them, Madame (and pissed) Pugs.	VLADIMIR	 Such bravery! Why, that man should be rewarded! Amply rewarded!			Anastasia 
DMITRI (V.0.)	 The real Anastasia couldn't have grown up to be lovelier.	SOPHIE	 (almost giggling) This is the hard one ... what rare treat was served on the night of the Three Hundredth Anniversary of the Romanov Dynasty? The last ball they ever had?	ANYA	 Father had fresh tropical fruits sent in. Oranges and pineapples from the far east. I remember ... I remember I threw an orange to a young boy who was hiding under a table...	SOPHIE	 (shocked) Yes ... yes, it was fresh fruit. Well, maybe not "fresh" Estelle got one rather brown banana but ...	Anastasia 
ANYA	 Father had fresh tropical fruits sent in. Oranges and pineapples from the far east. I remember ... I remember I threw an orange to a young boy who was hiding under a table...	SOPHIE	 (shocked) Yes ... yes, it was fresh fruit. Well, maybe not "fresh" Estelle got one rather brown banana but ...					Anastasia 
VLADIMIR	 Perhaps you could convince her?	SOPHIE	 Oh, heavens, no... but ... (Vlad-leans closer as Sophie shares a naughty secret) She is going to be at the Ballet Russe tonight! That's the Russian Ballet - Russe for Russian, oh those crazy French... they only go to see which dancers will defect.	SOPHIE	 Come my dear, we've much to talk about.			Anastasia 
DMITRI	 But it's not the money, Vlad.	VLADIMIR	 (shocked) Are you feeling all right?	ANYA (CONT.)	 (deeply grateful) But you never doubted who I was, did you, Dmitri? Not for a second ...	VLADIMIR	 Life is funny, isn't it. You find the right girl ... and then you lose her.	Anastasia 
VLADIMIR	 (shocked) Are you feeling all right?	ANYA (CONT.)	 (deeply grateful) But you never doubted who I was, did you, Dmitri? Not for a second ...	VLADIMIR	 Life is funny, isn't it. You find the right girl ... and then you lose her.	DMITRI	 What do you mean?	Anastasia 
BARTOK	 (singing, a cappella)	PARSE HOLDS THE KEY TO MY HEART		FRENCH- BAT- CHICKS HANG OUT AT				Anastasia 
THEN GO BACK AND HAVE --		RASPUTIN (O.C.)	 (cutting him off) Shut up!	BARTOK	 Sorry, it's just... you know I saw these french postcards once and... ooh la la ... well, I'm not sure about the "ooh", but it's the "la la" I'm really lookin' forward to... (Rasputin growls) Right, I'm shutting up.	RASPUTIN	 We're close to her, aren't we?	Anastasia 
RASPUTIN (O.C.)	 (cutting him off) Shut up!	BARTOK	 Sorry, it's just... you know I saw these french postcards once and... ooh la la ... well, I'm not sure about the "ooh", but it's the "la la" I'm really lookin' forward to... (Rasputin growls) Right, I'm shutting up.	RASPUTIN	 We're close to her, aren't we?	RASPUTIN (CONT.)	 Excited, eh? You look about to burst ... (teasing) You'd like to burst, wouldn't you?	Anastasia 
DMITRI	 Don't be	ANYA	 (reaching out to him) If it weren't for you --	DMITRI	 (upset, pulling away) I know.			Anastasia 
ANYA	 (reaching out to him) If it weren't for you --	DMITRI	 (upset, pulling away) I know.					Anastasia 
DMITRI	 Please, if you'd just listen...	TATIANA	 (to guards) Remove him at once.	DMITRI	 Please! Empress! It's not what you ....	DMITRI	 Anya. . . please. . .	Anastasia 
DMITRI	 Anya, wait!	ANYA	 (spinning on him) Tell me it isn't true?! Tell me you didn't do this for the money!	DMITRI	 No! Well, yes, but	ANYA	 No! I thought you believed in me! It was all a lie!	Anastasia 
DMITRI	 I'm not Ulo and I won't slow down. But you will listen to me!	TATIANA	 (recognizing Dmitri) You! How dare you?! Stop this car immediately!					Anastasia 
DMITRI (CONT.)	 Look at this!	TATIANA	 Anastasia's music box... She had this all these years... (fighting the possibility) You could have found it...	DMITRI	 What I foundyour was your granddaughter!	DMITRI (CONT.)	 You were right - it was a lie. My intention was to fool you (sadly) I am a liar - but I found the truth. Just see her! I swear if you see her I'll disappear forever	Anastasia 
TATIANA	 Who are you, child?	ANYA	 (crying) I don't know! I don't want to hurt you...	TATIANA	 Do you remember this?	ANYA	 I remember something lost ... I'm so confused! Oh, please, just tell me if you recognize me! Do you think I could have... belonged to you ...	Anastasia 
ANYA	 I've always had it... I came here because of this! Tell me if you recognize it! Please! It's all I have...	TATIANA	 (through tears) It was hers ... my Anastasia's ... (then suddenly: angry, defensive) If this is part of your scheme! If you found it or stole - I don't care, I'll give you whatever you want just TELL ME	THE TRUTH!		TATIANA (CONT.)	 (singing, a cappella)	Anastasia 
THE TRUTH!		TATIANA (CONT.)	 (singing, a cappella)	PAR AWAY, LONG AGO GLOWING DEEP		AS AN EMBER		Anastasia 
AS AN EMBER		ANYA	 (remembering)	THINGS MY HEAR USED TO KNOW		THINGS IT YEARS TO REMEMBER		Anastasia 
TATIANA (CONT.)	 (quietly) My poor child you're safe, now... you're home ...	RASPUTIN	 Yesss ... finally "home". And what a charming ... girlish little home it is. (gestures to CHERUBS in the wallpaper) Look, Bartok, little angels, the symbol of ... love. So sweet, so harmless.	RASPUTIN (CONT.)	 Let's go for a touch of irony, shall we?	RASPUTIN (CONT.)	 And there will be no blood on my hands ...	Anastasia 
TATIANA	 Anastasia! It was just a bat! It's gone, dear...	ANYA	 (shaken) No, it wasn't a bat! I saw this horrible man - I remember him, I think...	TATIANA	 (comforting) No, no child... shush... it's all right ...			Anastasia 
ANYA	 (shaken) No, it wasn't a bat! I saw this horrible man - I remember him, I think...	TATIANA	 (comforting) No, no child... shush... it's all right ...					Anastasia 
SOPHIE	 A grand ball for the Princess. How very exciting. So much to do, so little time...	TATIANA	 (slightly annoyed) Do it somewhere else, please. Quietly.	SOPHIE	 Caterers ... invitations ... saber dancers! We must have saber dancers!	"RULERS OF RUSSIA" (COMIC REPRISE)		Anastasia 
VLADIMIR	 Madame, your... eh... guest has arrived.	TATIANA	 (knowing) Thank you, Vladimir.,	VLADIMIR	 Anya... Anastasia... I'm sorry ... We didn't mean to hurt you ...			Anastasia 
TATIANA	 You are the boy ...	DMITRI	 (uncomfortable) I should go	TATIANA	 That last night in the palace... one boy showed us kindness and courage. You were the boy who saved our lives, weren't you? (Dmitri doesn't answer) Please, is there nothing I can do to repay you?	DMITRI	 Promise me she'll have her home.	Anastasia 
DMITRI	 (uncomfortable) I should go	TATIANA	 That last night in the palace... one boy showed us kindness and courage. You were the boy who saved our lives, weren't you? (Dmitri doesn't answer) Please, is there nothing I can do to repay you?	DMITRI	 Promise me she'll have her home.	TATIANA	 She does.	Anastasia 
RASPUTIN	 So. You don't want to go to the coronation, eh?	DMITRI	 (recognizing him) Rasputin!	RASPUTIN	 I know, I know ... you thought I was dead. That's how the history books will remember me - not as the ruler of all of Russia, which I SHOULD HAVE BEEN - but as the guy who was never dead when you expected him to be.	DMITRI	 What do you want?!	Anastasia 
STOP IT! I DID SO KILL THEM!	 And I'm going to kill Anastasia.	RASPUTIN (CONT.)	 Look at me... (Dmitri turns away) Look at me!	RASPUTIN (CONT.)	 You are going to help me kill her... You are going to help me kill her... her...			Anastasia 
ANYA	 There's no choice...	VLADIMIR	 (to Tatiana) Your "guest" is unable to attend.	ANYA	 Oh, Meetoo! You look miserable! Oh, Vlad - look at him!	VLADIMIR	 (formally) Yes, your highness.	Anastasia 
ANYA	 Oh, Meetoo! You look miserable! Oh, Vlad - look at him!	VLADIMIR	 (formally) Yes, your highness.	ANYA	 Poor Meetoo!	VLADIMIR	 (formally) Yes, your highness.	Anastasia 
ANYA	 Poor Meetoo!	VLADIMIR	 (formally) Yes, your highness.	ANYA	 Cut it out, Vlad! I'm not angry with you anymore - I know how much you needed the money.	TATIANA	 But they didn't take the money - either one of them. I offered it to them, but they both refused.	Anastasia 
TATIANA	 No, he just wanted to know you were happy.	VLADIMIR	 (taking Sophie's hand) Fortunately, I am to be married. (backing away) With your highness, permission.	ANYA	 Vlad, stop acting this way! You're my friend!	VLADIMIR	 No. From now on I am your loyal subject ... your highness. By your leave?	Anastasia 
MAJOR DOMO (O.C)	 (announcing) Her Serene Highness, the Princess Anastasia!	DMITRI (O.C.)	 Anya!	DMITRI (O.C.)	 Anya ...			Anastasia 
RASPUTIN (CONT.)	 Do not despair. I'll make sure your beloved princess drops in.	BARTOK	 (depressed) Ahh, very witty. There's this English guy - Noel Coward - I'll bet he's quaking ...					Anastasia 
ANYA	 Dmitri, what's wrong?	RASPUTIN	 (from above) Throw her off the edge! Do it!	ANYA	 Dmitri ... Look at me! It's Anya! It's ANYA!	ANYA	 You saved my life in the palace! You won't take it now...	Anastasia 
ANYA	 You saved my life in the palace! You won't take it now...	RASPUTIN	 (from above)	FINISH HER!		ANYA	 Dmitri. I know you would never hurt me. You love me.	Anastasia 
RASPUTIN	 My curse is now complete! Good-bye, babushka!	DMITRI	 Take my hand! (sees Rasputin approaching) Hurry!	ANYA	 Don't let me go!	DMITRI	 I'll never let go!	Anastasia 
ANYA	 I am home.	"HONE IS WHERE YOU ARE"	 (The Love Duet For Anya And Dmitri). A SIMPLE EMOTIONAL BALLAD for two people who realize at last that their hearts have led then to each other, to "home". This will work within the dramatic context of the film (sung by the characters) but can also be re-recorded as a Pop single.					Anastasia 
