ADDISON'S VOICE	 Having covered in tedious detail not only the history of the Sarah Siddons Society, but also the history of acting since Thespis first stepped out of the chorus line - our distinguished chairman has finally arrived at our reason for being here...	AGED ACTOR	 I have been proud and privileged to have spent my life in the Theater - "a poor player ... that struts and frets his hour upon the stage" - and I have been honored to be, for forty years, Chief Promoter of the Sarah Siddons Society... (he lifts the Sarah Siddons Award from its altar) Thirty-nine times have I placed in deserving hands this highest honor the Theater knows... (he grows a bit arch, he uses his eyebrows) Surely no actor is older than I - I have earned my place out of the sun... (indulgent laughter) ... and never before has this Award gone to anyone younger than its recipient tonight. How fitting that it should pass from my hands to hers...	AGED ACTOR	 Such young hands. Such a young lady. Young in years, but whose heart is as old as the Theater...	AGED ACTOR	 Some of us a privileged to know her. We have seen beyond the beauty and artistry-	All-About-Eve
KAREN	 (mollified) It's just that you get me so mad sometimes... of all the women in the world with nothing to complain about-	MARGO	 (dryly) Ain't it the truth?	KAREN	 Yes, it is! You're talented, famous, wealthy - people waiting around night after night just to see you, even in the wind and rain...	MARGO	 Autograph fiends! They're not people - those little beast who run in packs like coyotes-	All-About-Eve
MARGO	 You've what?	KAREN	 (in a whisper) She's just outside the door.	MARGO	 (to Birdie; also a whisper) The heave-ho.	KAREN	 You can't put her out, I promised... Margo, you've got to see her, she worships you, it's like something out of a book-	All-About-Eve
KAREN	 (in a whisper) She's just outside the door.	MARGO	 (to Birdie; also a whisper) The heave-ho.	KAREN	 You can't put her out, I promised... Margo, you've got to see her, she worships you, it's like something out of a book-	LLOYD	 That book is out of print, Karen, those days are gone. Fans no longer pull the carriage through the streets - they tear off clothes and steal wrist watches...	All-About-Eve
KAREN	 If you'd only see her, you're her whole life - you must have spotted her by now, she's always there...	MARGO	 Kind of mousy trench coat and funny hat? (Karen nods) How could I miss her? Every night and matinee - well...	BIRDIE	 Once George Jessel played my hometown. For a girl, gettin' in to see him was easy. Gettin' out was the problem...	EVE	 (simply) I thought you'd forgotten about me.	All-About-Eve
BIRDIE	 Once George Jessel played my hometown. For a girl, gettin' in to see him was easy. Gettin' out was the problem...	EVE	 (simply) I thought you'd forgotten about me.	KAREN	 Not at all. (her arm through Eve's) Margo, this is Eve Harrington.	MARGO	 (musically) How do you do, my dear.	All-About-Eve
EVE	 (simply) I thought you'd forgotten about me.	KAREN	 Not at all. (her arm through Eve's) Margo, this is Eve Harrington.	MARGO	 (musically) How do you do, my dear.	BIRDIE	 (mutters) Oh, brother.	All-About-Eve
KAREN	 Not at all. (her arm through Eve's) Margo, this is Eve Harrington.	MARGO	 (musically) How do you do, my dear.	BIRDIE	 (mutters) Oh, brother.	EVE	 Hello, Miss Channing.	All-About-Eve
MARGO	 (musically) How do you do, my dear.	BIRDIE	 (mutters) Oh, brother.	EVE	 Hello, Miss Channing.	KAREN	 My husband...	All-About-Eve
KAREN	 My husband...	LLOYD	 (nicely) Hello, Miss Harrington.	EVE	 How do you do, Mr. Richards.	MARGO	 (graciously) And this is my good friend and companion, Miss Birdie Coonan.	All-About-Eve
EVE	 How do you do, Mr. Richards.	MARGO	 (graciously) And this is my good friend and companion, Miss Birdie Coonan.	BIRDIE	 Oh, brother.	MARGO	 Miss Coonan...	All-About-Eve
MARGO	 Miss Coonan...	LLOYD	 (to Birdie) Oh brother what?	BIRDIE	 When she gets like this... all of a sudden she's playin' Hamlet's mother...	MARGO	 (quiet menace) I'm sure you must have things to do in the bathroom, Birdie dear.	All-About-Eve
BIRDIE	 When she gets like this... all of a sudden she's playin' Hamlet's mother...	MARGO	 (quiet menace) I'm sure you must have things to do in the bathroom, Birdie dear.	BIRDIE	 If I haven't, I'll find something till you're normal.	MARGO	 Dear Birdie. Won't you sit down, Miss Worthington?	All-About-Eve
KAREN	 I was telling Margo and Lloyd about how often you'd seen the play...	EVE	 (to Margo) No, thank you. (to Lloyd) Yes. I've seen every performance.	LLOYD	 (delighted) Every performance? Then - am I safe in assuming you like it?	EVE	 I'd like anything Miss Channing played...	All-About-Eve
EVE	 (to Margo) No, thank you. (to Lloyd) Yes. I've seen every performance.	LLOYD	 (delighted) Every performance? Then - am I safe in assuming you like it?	EVE	 I'd like anything Miss Channing played...	MARGO	 (beams) Would you, really? How sweet-	All-About-Eve
EVE	 I'd like anything Miss Channing played...	MARGO	 (beams) Would you, really? How sweet-	LLOYD	 (flatly) I doubt very much that you'd like her in 'The Hairy Ape'.	EVE	 Please, don't misunderstand me, Mr. Richards. I think that part of Miss Channing's greatness lies in her ability to choose the best plays... your new play is for Miss Channing, isn't it, Mr. Richards?	All-About-Eve
MARGO	 (beams) Would you, really? How sweet-	LLOYD	 (flatly) I doubt very much that you'd like her in 'The Hairy Ape'.	EVE	 Please, don't misunderstand me, Mr. Richards. I think that part of Miss Channing's greatness lies in her ability to choose the best plays... your new play is for Miss Channing, isn't it, Mr. Richards?	MARGO	 Of course it is.	All-About-Eve
EVE	 There was an item in the Times. i like the title. 'Footsteps on the Ceiling'.	LLOYD	 Let's get back to this one. Have you really seen every performance? (Eve nods) Why? I'm curious...	EVE	 Well. If I didn't come to see the play, I wouldn't have anywhere else to go.	MARGO	 There are other plays...	All-About-Eve
LLOYD	 Not at all...	EVE	 Farmers were poor in those days, that's what dad was - a farmer. I had to help out. So I quit school and I went to Milwaukee. I became a secretary. In a brewery. (she smiles) When you're a secretary in a brewery - it's pretty hard to make believe you're anything else. Everything is beer. It wasn't much fun, but it helped at home -  and there was a Little Theater Group... like a drop of rain in the desert. That's where I met Eddie. He was a radio technician. We played 'Liliom' for three performances, I was awful - then the war came, and we got married. Eddie was in the air force - and they sent him to the South Pacific. You were with the O.W.I., weren't you Mr. Richards? (Lloyd nods) That's what 'Who's Who' says... well, with Eddie gone, my life went back to beer. Except for a letter a week. One week Eddie wrote he had a leave coming up. I'd saved my money and vacation time. I went to San Francisco to meet him. (a slight pause) Eddie wasn't there. They forwarded the telegram from Milwaukee - the one that came from Washington to say that Eddie wasn't coming at all. That Eddie was dead... (Karen puts her hand on Lloyd's) ... so I figured I'd stay in San Francisco. i was alone, but couldn't go back without Eddie. I found a job. And his insurance helped... and there were theaters in San Francisco. And one night Margo Channing came to play in 'Remembrance'... and I went to see it. And - well - here I am...	BIRDIE	 (finally) What a story. Everything but the bloodhounds snappin' at her rear end...	MARGO	 There are some human experiences, Birdie, that do not take place in a vaudeville house - and that even a fifth-rate vaudevillian should understand and respect! (to Eve) I want to apologize for Birdie's-	All-About-Eve
EVE	 Farmers were poor in those days, that's what dad was - a farmer. I had to help out. So I quit school and I went to Milwaukee. I became a secretary. In a brewery. (she smiles) When you're a secretary in a brewery - it's pretty hard to make believe you're anything else. Everything is beer. It wasn't much fun, but it helped at home -  and there was a Little Theater Group... like a drop of rain in the desert. That's where I met Eddie. He was a radio technician. We played 'Liliom' for three performances, I was awful - then the war came, and we got married. Eddie was in the air force - and they sent him to the South Pacific. You were with the O.W.I., weren't you Mr. Richards? (Lloyd nods) That's what 'Who's Who' says... well, with Eddie gone, my life went back to beer. Except for a letter a week. One week Eddie wrote he had a leave coming up. I'd saved my money and vacation time. I went to San Francisco to meet him. (a slight pause) Eddie wasn't there. They forwarded the telegram from Milwaukee - the one that came from Washington to say that Eddie wasn't coming at all. That Eddie was dead... (Karen puts her hand on Lloyd's) ... so I figured I'd stay in San Francisco. i was alone, but couldn't go back without Eddie. I found a job. And his insurance helped... and there were theaters in San Francisco. And one night Margo Channing came to play in 'Remembrance'... and I went to see it. And - well - here I am...	BIRDIE	 (finally) What a story. Everything but the bloodhounds snappin' at her rear end...	MARGO	 There are some human experiences, Birdie, that do not take place in a vaudeville house - and that even a fifth-rate vaudevillian should understand and respect! (to Eve) I want to apologize for Birdie's-	BIRDIE	 (snaps in) You don't have to apologize for me! (to Eve) I'm sorry if I hurt your feelings. It's just my way of talkin'...	All-About-Eve
BIRDIE	 (finally) What a story. Everything but the bloodhounds snappin' at her rear end...	MARGO	 There are some human experiences, Birdie, that do not take place in a vaudeville house - and that even a fifth-rate vaudevillian should understand and respect! (to Eve) I want to apologize for Birdie's-	BIRDIE	 (snaps in) You don't have to apologize for me! (to Eve) I'm sorry if I hurt your feelings. It's just my way of talkin'...	EVE	 (nicely) You didn't hurt my feelings, Miss Coonan...	All-About-Eve
MARGO	 There are some human experiences, Birdie, that do not take place in a vaudeville house - and that even a fifth-rate vaudevillian should understand and respect! (to Eve) I want to apologize for Birdie's-	BIRDIE	 (snaps in) You don't have to apologize for me! (to Eve) I'm sorry if I hurt your feelings. It's just my way of talkin'...	EVE	 (nicely) You didn't hurt my feelings, Miss Coonan...	BIRDIE	 Call me Birdie. (to Margo) As for bein' fifth-rate - i closed the first half for eleven years an' you know it!	All-About-Eve
BIRDIE	 (snaps in) You don't have to apologize for me! (to Eve) I'm sorry if I hurt your feelings. It's just my way of talkin'...	EVE	 (nicely) You didn't hurt my feelings, Miss Coonan...	BIRDIE	 Call me Birdie. (to Margo) As for bein' fifth-rate - i closed the first half for eleven years an' you know it!	BILL	 Forty-five minutes from now my plane takes off and how do I find you? Not ready yet, looking like a junk yard-	All-About-Eve
EVE	 (nicely) You didn't hurt my feelings, Miss Coonan...	BIRDIE	 Call me Birdie. (to Margo) As for bein' fifth-rate - i closed the first half for eleven years an' you know it!	BILL	 Forty-five minutes from now my plane takes off and how do I find you? Not ready yet, looking like a junk yard-	MARGO	 Thank you so much.	All-About-Eve
MARGO	 Show me a human and I might have!	KAREN	 (conscious of Eve) Bill...	BILL	 The air lines have clocks, even if you haven't! I start shooting a week from Monday - Zanuck is impatient, he wants me, he needs me!	KAREN	 (louder) Bill-	All-About-Eve
BILL	 The air lines have clocks, even if you haven't! I start shooting a week from Monday - Zanuck is impatient, he wants me, he needs me!	KAREN	 (louder) Bill-	MARGO	 Zanuck, Zanuck, Zanuck! What are you two - lovers?	BILL	 (smiling) Only in some ways. You're prettier...	All-About-Eve
MARGO	 Zanuck, Zanuck, Zanuck! What are you two - lovers?	BILL	 (smiling) Only in some ways. You're prettier...	MARGO	 I'm a junk yard.	KAREN	 (yells) Bill!	All-About-Eve
MARGO	 I'm a junk yard.	KAREN	 (yells) Bill!	BILL	 (vaguely; to Karen) Huh?	KAREN	 This is Eve Harrington.	All-About-Eve
KAREN	 (yells) Bill!	BILL	 (vaguely; to Karen) Huh?	KAREN	 This is Eve Harrington.	BILL	 Hi. (to Margo) My wonderful junk yard. The mystery and dreams you find in a junk yard-	All-About-Eve
KAREN	 This is Eve Harrington.	BILL	 Hi. (to Margo) My wonderful junk yard. The mystery and dreams you find in a junk yard-	MARGO	 (kisses him) Heaven help me, I love a psychotic.	BILL	 Hello, what's your name?	All-About-Eve
BILL	 Hi. (to Margo) My wonderful junk yard. The mystery and dreams you find in a junk yard-	MARGO	 (kisses him) Heaven help me, I love a psychotic.	BILL	 Hello, what's your name?	EVE	 Eve. Eve Harrington.	All-About-Eve
BIRDIE	 Imagine. All this admiration in just one room.	BILL	 Take your mistress into the bathroom and dress her. (Birdie opens her mouth) Without comment.	KAREN	 You're not going, are you?	EVE	 I think I'd better. It's been - well, I can hardly find the words to say how it's been...	All-About-Eve
EVE	 I think I'd better. It's been - well, I can hardly find the words to say how it's been...	MARGO	 (rises) No, don't go...	EVE	 The four of you must have so much to say to each other - with Mr. Sampson leaving...	MARGO	 Stick around. Please. Tell you what - we'll put Stanislavsky on his plane, you and I, then go somewhere and talk.	All-About-Eve
KAREN	 Good luck, genius...	BILL	 Geniuses don't need good luck. (he grins) I do.	LLOYD	 I'm not worried about you.	BILL	 Keep the thought.	All-About-Eve
EVE	 You said forty-seven minutes. You'll never make it.	BILL	 (grins) I told you a lie. We'll make it easily. Margo's got no more conception of time than a halibut.	BILL	 She's been carrying that letter around for weeks. I've read it three times...	MARGO'S VOICE	 You're supposed to zip the zipper - not me.	All-About-Eve
BILL	 What a documentary those two would make... like the mongoose and the cobra-	EVE	 (finally) So you're going to Hollywood.	BILL	 Why?	EVE	 I just wondered.	All-About-Eve
EVE	 Then why? Why, if you're the best and most successful young director in the Theater-	BILL	 The Theatuh, the Theatuh- (he sits up) - what book of rules says the Theater exists only within some ugly buildings crowded into one square mile of New York City? Or London, Paris or Vienna? (he gets up) Listen, junior. And learn. Want to know what the Theater is? A flea circus. Also opera. Also rodeos, carnivals, ballets, Indian tribal dances, Punch and Judy, a one-man band - all Theater. Wherever there's magic and make-believe and an audience - there's Theater. Donald Duck, Ibsen, and The Lone Ranger, Sarah Bernhardt, Poodles Hanneford, Lunt and Fontanne, Betty Grable, Rex and Wild, and Eleanora Duse. You don't understand them all, you don't like them all, why should you? The Theater's for everybody - you included, but not exclusively - so don't approve or disapprove. It may not be your Theater, but it's Theater of somebody, somewhere.	EVE	 I just asked a simple question.	BILL	 (grins) And I shot my mouth off. Nothing personal, junior, no offense... (he sits back down) ... it's just that there's so much bushwah in this Ivory Green Room they call the Theatuh - sometimes it gets up around my chin...	All-About-Eve
EVE	 I just asked a simple question.	BILL	 (grins) And I shot my mouth off. Nothing personal, junior, no offense... (he sits back down) ... it's just that there's so much bushwah in this Ivory Green Room they call the Theatuh - sometimes it gets up around my chin...	EVE	 But Hollywood. You mustn't stay there.	BILL	 (he closes his eyes) It's only one picture deal.	All-About-Eve
EVE	 But Hollywood. You mustn't stay there.	BILL	 (he closes his eyes) It's only one picture deal.	EVE	 So few come back...	BILL	 Yeah. They keep you under drugs out there with armed guards...	All-About-Eve
BILL	 You didn't have to tell me.	MARGO	 (en route) I understand it's the latest thing - just one earring. If it isn't, it's going to be - I can't find the other...	BILL	 Throw that dreary thing away, it bores me-	EVE	 (concerned) Where do you suppose it could be?	All-About-Eve
BILL	 Throw that dreary thing away, it bores me-	EVE	 (concerned) Where do you suppose it could be?	BIRDIE	 It'll show up.	MARGO	 (gives up) Oh well... (to Birdie) ... look through the wigs, maybe it got caught-	All-About-Eve
BIRDIE	 It'll show up.	MARGO	 (gives up) Oh well... (to Birdie) ... look through the wigs, maybe it got caught-	BILL	 Real diamonds in a wig. The world we live in...	MARGO	 (she's been looking) Where's my coat?	All-About-Eve
BILL	 Real diamonds in a wig. The world we live in...	MARGO	 (she's been looking) Where's my coat?	BIRDIE	 Right where you left it...	BILL	 (to Margo) The seams.	All-About-Eve
BIRDIE	 Right where you left it...	BILL	 (to Margo) The seams.	MARGO	 (to Eve) Can't keep his eyes off my legs.	BILL	 Like a nylon lemon peel-	All-About-Eve
BILL	 (to Margo) The seams.	MARGO	 (to Eve) Can't keep his eyes off my legs.	BILL	 Like a nylon lemon peel-	MARGO	 (straightens up) Byron couldn't have said it more graciously... here we go-	All-About-Eve
BILL	 Like a nylon lemon peel-	MARGO	 (straightens up) Byron couldn't have said it more graciously... here we go-	BILL	 Got any messages? What do you want me to tell Tyrone Power?	BIRDIE	 Just give him my phone number, I'll tell him myself.	All-About-Eve
BIRDIE	 Kill the people. (to Margo) Got your key?	MARGO	 (nods) See you home...					All-About-Eve
BILL	 Ah...	EVE	 I have a suggestion. (they look at her) There's really not much time left - I mean, you haven't had a minute alone yet, and - well, I could take care of everything here and meet you at the gate with the ticket... if you'd like.	BILL	 I think we'd like very much. Sure you won't mind?	EVE	 Of course not.	All-About-Eve
MARGO	 Did she tell you about the Theater and what it meant?	BILL	 (grins) I told her. I sounded off.	MARGO	 All the religions in the world rolled into one, and we're Gods and Goddesses... isn't it silly, suddenly I've developed a big protective feeling for her - a lamb loose in our big stone jungle...	MARGO	 Take care of yourself out there...	All-About-Eve
MARGO	 I don't want to be childish, I'd settle for just a few years-	BILL	 (firmly) And cut that out right now.	MARGO	 Am I going to lose you, Bill? Am I?	BILL	 As of this moment you're six years old...	All-About-Eve
STAGE MANAGER	 One more?	MARGO	 (shakes her head) From now on it's not applause - just something to do till the aisles get less crowded...	MARGO	 What - again?	EVE	 I could watch you play that last scene a thousand times and cry every time-	All-About-Eve
EVE	 I could watch you play that last scene a thousand times and cry every time-	MARGO	 (grins) Performance number one thousand of this one - if I play it that long - will take place in a well-padded booby hatch...	EVE	 I must say you can certainly tell Mr. Sampson's been gone a month.	MARGO	 You certainly can. Especially if you're me between now and tomorrow morning...	All-About-Eve
EVE	 I mean the performance. Except for you, you'd think he'd never even directed it - it's disgraceful the way they change everything around...	MARGO	 (smiles) Well, teacher's away and actors will be actors...	EVE	 During your second act scene with your father, Roger Ferraday's supposed to stay way upstage at the arch. He's been coming closer down every night...	MARGO	 When he gets too close, I'll spit in his eye.	All-About-Eve
MARGO	 (entering) You bought the new girdles a size smaller. I can feel it.	BIRDIE	 Something maybe grew a size bigger.	MARGO	 When we get home you're going to get into one of those girdles and act for two and half hours.			All-About-Eve
EVE	 You haven't noticed my latest bit of interior decorating...	MARGO	 (turns, looks) Well, you've done so much... what's new?	EVE	 The curtains. I made them myself.	MARGO	 They are lovely. Aren't they lovely, Birdie?	All-About-Eve
BIRDIE	 But the wardrobe women have got one. And next to a tenor, a wardrobe woman is the touchiest thing in show business-	MARGO	 (catching on) Oh-oh.	BIRDIE	 She's got two things to do - carry clothes an' press 'em wrong - an' just let anybody else muscle in...			All-About-Eve
OPERATOR'S VOICE	 Go ahead, please...	BILL'S VOICE	 (a loud, happy squawk) Margo! What a wonderful surprise!	BILL	 (continuing) What a thoughtful, ever-lovin' thing to do-	MARGO	 (dazed) Bill? Have I gone crazy, Bill?	All-About-Eve
BILL'S VOICE	 (a loud, happy squawk) Margo! What a wonderful surprise!	BILL	 (continuing) What a thoughtful, ever-lovin' thing to do-	MARGO	 (dazed) Bill? Have I gone crazy, Bill?	BILL	 You're my girl, aren't you?	All-About-Eve
BILL	 (continuing) What a thoughtful, ever-lovin' thing to do-	MARGO	 (dazed) Bill? Have I gone crazy, Bill?	BILL	 You're my girl, aren't you?	MARGO	 That I am...	All-About-Eve
BILL	 Then you're crazy.	MARGO	 (nods in agreement) When - when are you coming back?	BILL	 I leave in a week - the picture's all wrapped up, we previewed last night... those previews. Like opening out of town, but terrifying. There's nothing you can do, you're trapped, you're in a tin can-	MARGO	 - in a tin can, cellophane or wrapped in a Navajo blanket, I want you home...	All-About-Eve
BILL	 Kid stuff or not, it doesn't happen every day, I want to heat it - and if you won't say it, you can sing it...	MARGO	 (convinced she's gone mad) Sing it?	BILL	 Sure! Like the Western Union boys used to do...	MARGO	 Bill... Bill, it's your birthday.	All-About-Eve
BILL	 And who remembered it? Who was there on the dot, at twelve midnight...?	MARGO	 (miserably) Happy birthday, darling...	BILL	 The reading could have been better, but you said it - now "many happy returns of the day..."	MARGO	 (the same) Many happy returns of the day...	All-About-Eve
BILL	 The reading could have been better, but you said it - now "many happy returns of the day..."	MARGO	 (the same) Many happy returns of the day...	BILL	 I get a party, don't I?	MARGO	 Of course, birthday and welcome home... who'll I ask?	All-About-Eve
MARGO	 Of course, birthday and welcome home... who'll I ask?	BILL	 (laughs) It's no secret, I know all about the party - Eve wrote me...	MARGO	 She did...?	BILL	 She hasn't missed a week since I left - but you know all that, you probably tell her what to write... anyway, I sent her a list of people to ask - check with her.	All-About-Eve
BILL	 I love you...	MARGO	 (mutters) I'll check with Eve...	BILL	 What?	MARGO	 I love you too. Good night, darling-	All-About-Eve
BIRDIE	 Like an agent with one client.	MARGO	 She thinks only for me... (no answer from Birdie) ... doesn't she?	BIRDIE	 (finally) Well... let's say she thinks only about you, anyway...	MARGO	 How do you mean that?	All-About-Eve
MARGO	 She thinks only for me... (no answer from Birdie) ... doesn't she?	BIRDIE	 (finally) Well... let's say she thinks only about you, anyway...	MARGO	 How do you mean that?	BIRDIE	 I'll tell you how. Like - let's see - like she was studyin' you, like you were a play or a book or a set of blueprints. How you walk, talk, think, eat, sleep-	All-About-Eve
BIRDIE	 I'll tell you how. Like - let's see - like she was studyin' you, like you were a play or a book or a set of blueprints. How you walk, talk, think, eat, sleep-	MARGO	 (breaks in; sharply) I'm sure that's very flattering, Birdie, and I'm sure there's nothing wrong with that!	EVE	 Good morning!	EVE	 Well - what do you think of my elegant new suit?	All-About-Eve
MARGO	 Very becoming. It looks better on you than it did on me.	EVE	 (scoffs) I can imagine... you know, all it needed was some taking in here and letting out there - are you sure you won't want it yourself?	MARGO	 Quite sure. I find it just a bit too - too "Seventeenish" for me...	EVE	 (laughs) Oh, come now, as though you were an old lady... I'm on my way. Is there anything more you've thought of-?	All-About-Eve
MARGO	 Quite sure. I find it just a bit too - too "Seventeenish" for me...	EVE	 (laughs) Oh, come now, as though you were an old lady... I'm on my way. Is there anything more you've thought of-?	MARGO	 There's the script to go back to the Guild-	EVE	 I've got it.	All-About-Eve
MARGO	 It seems I can't think of a thing you haven't thought of...	EVE	 (smile) That's my job. (she turns to go) See you at tea time...	MARGO	 Eve... (Eve turns at the door) ... by any chance, did you place a call from me to Bill for midnight California time?	EVE	 (gasps) Oh, golly. And I forgot to tell you-	All-About-Eve
EVE	 (smile) That's my job. (she turns to go) See you at tea time...	MARGO	 Eve... (Eve turns at the door) ... by any chance, did you place a call from me to Bill for midnight California time?	EVE	 (gasps) Oh, golly. And I forgot to tell you-	MARGO	 Yes, dear. You forgot all about it.	All-About-Eve
MARGO	 Eve... (Eve turns at the door) ... by any chance, did you place a call from me to Bill for midnight California time?	EVE	 (gasps) Oh, golly. And I forgot to tell you-	MARGO	 Yes, dear. You forgot all about it.	EVE	 Well, I was sure you'd want to, of course, being his birthday, and you've been so busy these past few days, and last night I meant to tell you before you went out with the Richards - and I guess I was asleep when you got home...	All-About-Eve
MARGO	 Yes, I guess you were. It - it was very thoughtful of you, Eve.	EVE	 Mr. Sampson's birthday. I certainly wouldn't forget that. You'd never forgive me. (she smiles shyly) As a matter of fact, I sent him a telegram myself...					All-About-Eve
KAREN'S VOICE	 It's always convenient at a party to know the hostess well enough to use her bedroom rather than go where all the others have to go...	KAREN	 Now who's show up at this hour? It's time people went home - hold that coat up... (Eve holds it up; Karen whistles) ... whose is it?	EVE	 Some Hollywood movie star, her plane got in late.	KAREN	 Discouraging, isn't it? Women with furs like that where it never gets cold...	All-About-Eve
EVE	 There should be a new word for happiness. Being here with Miss Channing has been - I just can't say, she's been so wonderful, done so much for me-	KAREN	 (smiles) Lloyd says Margo compensates for underplaying on the stage by overplaying reality... (she gets up, gets her coat) ... next to that sable, my new mink seems like an old bedjacket... (throws it over her shoulder) ... you've done your share, Eve. You've worked wonders with Margo...	EVE	 (hesitantly) Mrs. Richards.	KAREN	 (pauses, smiles) Karen.	All-About-Eve
KAREN	 (smiles) Lloyd says Margo compensates for underplaying on the stage by overplaying reality... (she gets up, gets her coat) ... next to that sable, my new mink seems like an old bedjacket... (throws it over her shoulder) ... you've done your share, Eve. You've worked wonders with Margo...	EVE	 (hesitantly) Mrs. Richards.	KAREN	 (pauses, smiles) Karen.	EVE	 Karen... (she picks at the coverlet) ... isn't it awful, I'm about to ask you for another favor - after all you've already done.	All-About-Eve
EVE	 (hesitantly) Mrs. Richards.	KAREN	 (pauses, smiles) Karen.	EVE	 Karen... (she picks at the coverlet) ... isn't it awful, I'm about to ask you for another favor - after all you've already done.	KAREN	 (crosses to her) Nobody's done so much, Eve, you've got to stop thinking of yourself as one of the Hundred Neediest Cases... what is it?	All-About-Eve
KAREN	 (pauses, smiles) Karen.	EVE	 Karen... (she picks at the coverlet) ... isn't it awful, I'm about to ask you for another favor - after all you've already done.	KAREN	 (crosses to her) Nobody's done so much, Eve, you've got to stop thinking of yourself as one of the Hundred Neediest Cases... what is it?	EVE	 Well... Miss Channing's affairs are in such good shape... there isn't enough to keep me as busy as I should be, really - not that I've ever considered anything that would take me away from her... but the other day - when I heard Mr. Fabian tell Miss Channing that her understudy was going to have a baby, and they'd have to replace her...	All-About-Eve
