JAKE	 (a hoarse whisper) Are we there?	MED TECH	 We're there, Sunshine.	MED TECH	 People, you have been in cryo for five years, nine months and twenty two days. You will be hungry, you will be weak. If you feel nausea, please use the sacks provided for your convenience. The staff thanks you in advance.			Avatar 
QUARITCH	 Shut your fucking hole!	GRACE	 Or what, Ranger Rick? You gonna shoot me? (to Selfridge) You need to muzzle your dog!	SELFRIDGE	 Can we just take this down a couple notches, please.	JAKE	 (to Quaritch) You say you want to keep your people alive. Start by listening to her.	Avatar 
SELFRIDGE	 Can we just take this down a couple notches, please.	JAKE	 (to Quaritch) You say you want to keep your people alive. Start by listening to her.	GRACE	 (to Selfridge) This is bad, Parker. Those trees were sacred to the Omaticaya in a way you can't imagine.	SELFRIDGE	 You know what? You throw a stick in the air around here it falls on some sacred fern.	Avatar 
JAKE	 (to Quaritch) You say you want to keep your people alive. Start by listening to her.	GRACE	 (to Selfridge) This is bad, Parker. Those trees were sacred to the Omaticaya in a way you can't imagine.	SELFRIDGE	 You know what? You throw a stick in the air around here it falls on some sacred fern.	GRACE	 I'm not talking about pagan voodoo here -- I'm talking about something real and measurable in the biology of the forest.	Avatar 
(FRUSTRATED)	 Which is what exactly?	GRACE	 (to Jake) I can't do this. How am I supposed to reduce years of work to a sound bite for the illiterate?	JAKE	 Just tell him what you know in your heart.	GRACE	 Alright, look -- I don't have the answers yet, I'm just now starting to even frame the questions. What we think we know -- is that there's some kind of electrochemical communication between the roots of the trees. Like the synapses between neurons. Each tree has ten to the fourth connections to the trees around it, and there are ten to the twelfth trees on Pandora --	Avatar 
JAKE (RECORDED)	 They're never going to leave Hometree.	QUARITCH	 Since a deal can't be made -- it gets real simple. (to Jake, icily) So thanks. I'm getting all emotional.    I might just give you a big wet kiss.	GRACE	 Parker, we have to talk, like rational people.	SELFRIDGE	 Well, I'd cherish that, but unfortunately you're out of here on the next shuttle. All of you. I'm shutting down the Avatar Program, effective now.	Avatar 
JAKE	 Yes.	(ANGUISHED)	 At first it was just orders. Then everything changed. I fell in love-- with the forest, with the Omaticaya People -- (he looks at her) -- with you. And by then, how could I tell you?	NEYTIRI	 I trusted you, Jake!	JAKE	 Neytiri. Please, I only wanted to --	Avatar 
QUARITCH	 Fire.	EYTUKAN	 (yelling/subtitled) Everybody outside! Go to the Forest.	MO'AT	 You are one of us.   Help us!	JAKE	 We've gotta move!    He's gonna blow the columns.	Avatar 
GUARD	 They get steak?    That's bullshit. Let me see that --	TRUDY	 Oops. (shoving him down) All the way down, pendejo.	MAX	 That was unexpectedly satisfying.	NORM	 Baby, you rock.	Avatar 
NORM	 Baby, you rock.	JAKE	 (to Max and Trudy) Thanks.	JAKE	 So what do you say?    Time for a revolution?	GRACE	 I'm free.	Avatar 
NEYTIRI	 I See you.	JAKE	 (a hoarse whisper) I See you.	NEYTIRI	 I was afraid Jake -- for my people. I'm not any more.			Avatar 
JAKE	 (SUBTITLED) Tsu'tey of the Rongloa, son of Ateyo. I stand before you, ready to serve the People. (then just for Tsu'tey) You are Olo'eyctan, and you are the best warrior. I can't do this without you.	TSU'TEY	 I will fly with you.	JAKE	 Ireiyo.			Avatar 
JAKE	 Look where we are, Grace.	GRACE	 (with a wan smile) I need to take some samples.	MO'AT		(QUIETLY)	 The Great Mother may choose to save all that she is --	Avatar 
JAKE	 I will.	GRACE	 I'm with her Jake -- (an amazed whisper) -- she's real --	JAKE	 Grace!	MO'AT	 Her wounds were too great, there was not enough time. She is with Eywa now.	Avatar 
NORM	 Holy shit.	JAKE	 (to Max) Can you talk to Selfridge? Maybe we can cut some kinda deal before this thing goes all the way.	MAX	 No, Quaritch has taken over. He's rolling and there's no stopping him.	JAKE	 When?	Avatar 
KABOOM!!		QUARITCH	 There it is. (into his headset) Valkyrie One, this is Dragon. Target is in sight.	TROOPER	 Target in sight.	JAKE	 We have to stop the shuttles, no matter what it takes.	Avatar 
WAINFLEET	 A and C squads -- rally at my pos.   I want -- (screaming on the comm) Who's screaming God damn it?!	TROOPER (ON RADIO)	 We gotta get outta here! Whoever's in charge, call for extraction!	WAINFLEET	 Shutup you crybabies!			Avatar 
QUARITCH	 (to the pilot) Put your mask on.	JAKE	 (into his headset) Quaritch is gonna take out the Well of Souls! He's got a clear shot. Hit him, anybody that can! Do it now!	TRUDY	 On it.	NORM	 No!	Avatar 
NORM	 No!	TRUDY	 (clipped, pilot-like) Norm, I love you.					Avatar 
