JIM	 Yeah, that's right.	PORNO-CHANNEL STUD (V.O.)	 (deep macho voice) Ohhh, tell me you're a nasty girl!	PORNO-CHANNEL STUD (V.O.)(CONT'D)	 Yeahhh, you been bad, real bad!	JIM	 Man, shut up!	American Pie 
SOPHOMORE CHICK	 (a little angry) Steve!  You could at least look at me when you say that.	STIFLER	 Look... (searching, remembers) ...Sarah.  I wouldn't go telling stories or whatever about you.  I promise.					American Pie 
VICKY	 I think I've had one.	JESSICA	 Well that's a no.  No wonder you're not psyched about sex. (starts filling Vicky's beer) You've never even had one manually?	VICKY	 ...I've never tried it.	JESSICA	 Are you kidding?  You've never double- clicked your mouse?	American Pie 
JESSICA (CONT'D)	 Hell, just a pair of tight pants will set me off. (noticing Nadia next to them, she passes the tap along) Am I right or what, Nadia?	NADIA	 (no bones about it) You are right.  The hands are not always necessary.	JESSICA	 (to Vicky) See?	NADIA	 In fact -- I should teach you my own special method.  I developed it myself at the ballet institute in Prague. You use nothing but the muscles of the inner thigh.	American Pie 
NADIA	 (no bones about it) You are right.  The hands are not always necessary.	JESSICA	 (to Vicky) See?	NADIA	 In fact -- I should teach you my own special method.  I developed it myself at the ballet institute in Prague. You use nothing but the muscles of the inner thigh.	JESSICA	 No wonder she never pays attention in class.	American Pie 
FRESHMAN GUY	 M-I-L-F!  Mom I'd Like to Fuck!	SHERMAN	 (hushed, to guys) Don't you think you fellas could try a little tact?  I've got company.  Know what I mean?					American Pie 
JIM	 Finch!  Where were you last night? What happened to the foolproof plan?	FINCH	 I thought a fashionably late entrance would enhance my appearance. (off their looks) When I got here, the Bacchanalia was over and the nymphs had left.	KEVIN	 Feeling better, Oz?	OZ	 I'm such a loser.	American Pie 
KEVIN	 That's the spirit.	SHERMAN	 (snippets of conversation) ...I'll never forget...thank you.	CENTRAL GIRL	 Bye.	JIM	 You did it.	American Pie 
JIM	 Pontificated.	KEVIN	 (ignoring him) Separately, we are flawed and vulnerable.  But together, we are the masters of our sexual destiny!	JIM	 (kung fu voice) Their tiger-style kung-fu is strong; but our dragon style will defeat it!	OZ	 (going on) The Sha-lin masters from east and west must unite!	American Pie 
KEVIN	 (ignoring him) Separately, we are flawed and vulnerable.  But together, we are the masters of our sexual destiny!	JIM	 (kung fu voice) Their tiger-style kung-fu is strong; but our dragon style will defeat it!	OZ	 (going on) The Sha-lin masters from east and west must unite!	KEVIN	 Guys, guys -- you're ruining my fucking moment here.  Now think about it --	American Pie 
JIM	 (kung fu voice) Their tiger-style kung-fu is strong; but our dragon style will defeat it!	OZ	 (going on) The Sha-lin masters from east and west must unite!	KEVIN	 Guys, guys -- you're ruining my fucking moment here.  Now think about it --	KEVIN (CONT'D)	 No longer will our penises remain flaccid and unused!  From now on, we fight for every man out there who isn't getting laid when he should be! This is our day!  This is our time! And, by God, we're not gonna let history condemn us to celibacy!  We will make a stand!  We will succeed! We will get laid!	American Pie 
KEVIN (CONT'D)	 No longer will our penises remain flaccid and unused!  From now on, we fight for every man out there who isn't getting laid when he should be! This is our day!  This is our time! And, by God, we're not gonna let history condemn us to celibacy!  We will make a stand!  We will succeed! We will get laid!	STIFLER	 (wandering down from upstairs) What the hell are you losers doing?	FINCH	 If I might ask, when you brush your teeth, do you spit or swallow?			American Pie 
JIM	 (shoving the rubbers into his night table) Just a minute!	JIM'S DAD	 (trying not to look inside) Can I come in?	JIM	 Yeah, sure.	JIM'S DAD	 You're not...busy?	American Pie 
JIM	 Dad, come in.	JIM'S DAD	 (fatherly attempt) Sit down, Jim.  Let's talk.	JIM	 Okay.	JIM'S DAD	 These are for you.  From father to son.	American Pie 
JIM'S DAD	 Do you know about the clitoris?	JIM	 (through clenched teeth) Yes dad.	JIM'S DAD	 Sometimes it can be pretty hard to locate.	JIM	 (interrupting, hand up) Thank you, dad, I got it.	American Pie 
JIM'S DAD	 Sometimes it can be pretty hard to locate.	JIM	 (interrupting, hand up) Thank you, dad, I got it.	JIM'S DAD	 Okay, well that about covers it.	JIM'S DAD (CONT'D)	 Now, let's put these somewhere where your mother won't find them.	American Pie 
JIM	 Wait!	JIM'S DAD	 (beaten) I'll have to save this speech for another day.  I'm too worn out.					American Pie 
KEVIN	 What?	JESSICA	 I'll give you a hint. (hot, orgasmic) "Ohhh, yeah, yeah!" (flat) Comprende?	KEVIN	 You mean...and orgasm?	JESSICA	 You got it, stud.	American Pie 
KEVIN	 Well...I'm pretty sure I've --	JESSICA	 (interrupts authoritatively) No you haven't.	KEVIN	 But that one time --	JESSICA	 (shaking head) No.	American Pie 
KEVIN	 But that one time --	JESSICA	 (shaking head) No.	KEVIN	 Well of course I'd want to give her that.  I mean, what do you think, I don't care about her?	JESSICA	 Do you?	American Pie 
HEATHER	 I think he's got a nice voice.	VOCAL JAZZ GIRL #1	 (ribbing her) Go talk to him, maybe you can teach him how to read.	STIFLER	 You dipshit, you're expecting to score with some goody-goody choir-girl priss?	OZ	 Dude, watch me work.  They go for sensitive studs like me.	American Pie 
JIM	 You're just gonna sit there and drink your coffee?	FINCH	 Mochaccino. (then) Actually, in the spirit of the pact, I do need to ask for your cooperation in one small matter.	KEVIN	 Of course, Finch.  What?	FINCH	 Whatever you hear about me, you agree.	American Pie 
JIM	 I have no idea.  Finch showers in a bathing suit.	KEVIN	 (forced) No -- it's true.  He is...really... big.	JIM	 (loving it) Yeah, enormous.	ENTHRALLED GIRL	 Woah.  Does he have a date for prom yet.	American Pie 
KEVIN	 (forced) No -- it's true.  He is...really... big.	JIM	 (loving it) Yeah, enormous.	ENTHRALLED GIRL	 Woah.  Does he have a date for prom yet.	JIM	 Definitely not.	American Pie 
ENTHRALLED GIRL	 No way!	KEVIN	 (dumbfounded) Finch hasn't done a damn thing, and he's got girls lining up already.					American Pie 
KEVIN	 Yeah.	SUSHI CUSTOMER	 (to Kevin's Brother) What's good here?	KEVIN'S BROTHER	 Try the spicy tuna hand roll.	KEVIN	 What?!  How do I do that?	American Pie 
CHOIR TEACHER	 No, it was good.	OZ	 Oh, well... (noticing Heather looking at him, he acts "sensitive") It came from the heart.	CHOIR TEACHER	 Well then keep it coming. (to everyone) Alright, people, good work!  Keep it up and we'll do great at the state competition.	HEATHER	 Not bad, Chris.	American Pie 
OZ	 Oh, well... (noticing Heather looking at him, he acts "sensitive") It came from the heart.	CHOIR TEACHER	 Well then keep it coming. (to everyone) Alright, people, good work!  Keep it up and we'll do great at the state competition.	HEATHER	 Not bad, Chris.	OZ	 (surprised himself) Really?  Hey, thanks -- Heather, right?	American Pie 
HEATHER	 Not bad, Chris.	OZ	 (surprised himself) Really?  Hey, thanks -- Heather, right?	HEATHER	 Yeah...so...you've got this sort of... Bobby McFerrin thing going there.	OZ	 (no idea) Yeah.  Right, uh-huh. (then, back into it) I feel like I've discovered this whole new side of me.  Music is so expressive.	American Pie 
HEATHER	 Yeah...so...you've got this sort of... Bobby McFerrin thing going there.	OZ	 (no idea) Yeah.  Right, uh-huh. (then, back into it) I feel like I've discovered this whole new side of me.  Music is so expressive.	HEATHER	 (amused) Okay. (then) I mean, I agree, but...aren't you supposed to be out, like, trying to decapitate someone with your lacrosse stick or something?	OZ	 Oh sure.  I know what people think. It's like, Oz, he's just this kickass lacrosse player -- I also play football, by the way -- But that's like...not all that I am.	American Pie 
OZ	 (no idea) Yeah.  Right, uh-huh. (then, back into it) I feel like I've discovered this whole new side of me.  Music is so expressive.	HEATHER	 (amused) Okay. (then) I mean, I agree, but...aren't you supposed to be out, like, trying to decapitate someone with your lacrosse stick or something?	OZ	 Oh sure.  I know what people think. It's like, Oz, he's just this kickass lacrosse player -- I also play football, by the way -- But that's like...not all that I am.	HEATHER	 Of course, I didn't --	American Pie 
HEATHER	 Of course, I didn't --	OZ	 (cutting her off) I mean it really bothers me when people try to pigeonhole me like that.	HEATHER	 (sparking to this) You?  You think I don't get that? God, it's like just because I don't get drunk and barf every weekend, people say "Oh, here's this goody-two- shoes choir-girl priss."	OZ	 Yeah...so like, what else do you do?	American Pie 
OZ	 (cutting her off) I mean it really bothers me when people try to pigeonhole me like that.	HEATHER	 (sparking to this) You?  You think I don't get that? God, it's like just because I don't get drunk and barf every weekend, people say "Oh, here's this goody-two- shoes choir-girl priss."	OZ	 Yeah...so like, what else do you do?	HEATHER	 (offended) Well the same things you do.  Hang out with friends and stuff, you know, whatever. (then) What do you think I do?	American Pie 
OZ	 Yeah...so like, what else do you do?	HEATHER	 (offended) Well the same things you do.  Hang out with friends and stuff, you know, whatever. (then) What do you think I do?	OZ	 (genuine) I just -- realized that I didn't know anything about you.  I was interested.	HEATHER	 Oh...well that's okay.  Cool.	American Pie 
HEATHER	 (offended) Well the same things you do.  Hang out with friends and stuff, you know, whatever. (then) What do you think I do?	OZ	 (genuine) I just -- realized that I didn't know anything about you.  I was interested.	HEATHER	 Oh...well that's okay.  Cool.			American Pie 
KEVIN	 Just a second!	VICKY (CONT'D)	 (a little too loudly) Oh, God!	VICKY (CONT'D)	 Moly shmmmt!  Fmmkkkk!			American Pie 
JIM	 Dad, please stop.  Please.  I'm sure I know what you're talking about.	JIM'S DAD	 Sure you know, son, but I think you've been having a little problem with it. It's okay, though.  What you're doing is perfectly normal.  It's like practice.  Like when you play tennis against a wall.  Some day, there'll be a partner returning the ball. (a beat) You do want a partner, don't you son?	JIM	 (through clenched teeth) Yes.	JIM'S DAD	 That's great.  Now remember, it's okay to play with yourself.  Or, as I always called it -- (elbows Jim) "Stroke the salami!" (chuckles) Ho-ho, Jim.  There's nothing to be ashamed of.  Hell, I'm fifty-two, and I still enjoy masturbating.  Uncle Mort masturbates.  We all masturbate.	American Pie 
JIM'S DAD	 Sure you know, son, but I think you've been having a little problem with it. It's okay, though.  What you're doing is perfectly normal.  It's like practice.  Like when you play tennis against a wall.  Some day, there'll be a partner returning the ball. (a beat) You do want a partner, don't you son?	JIM	 (through clenched teeth) Yes.	JIM'S DAD	 That's great.  Now remember, it's okay to play with yourself.  Or, as I always called it -- (elbows Jim) "Stroke the salami!" (chuckles) Ho-ho, Jim.  There's nothing to be ashamed of.  Hell, I'm fifty-two, and I still enjoy masturbating.  Uncle Mort masturbates.  We all masturbate.	JIM'S DAD (CONT'D)	 Poor guy thought he was the only one.	American Pie 
JIM	 (through clenched teeth) Yes.	JIM'S DAD	 That's great.  Now remember, it's okay to play with yourself.  Or, as I always called it -- (elbows Jim) "Stroke the salami!" (chuckles) Ho-ho, Jim.  There's nothing to be ashamed of.  Hell, I'm fifty-two, and I still enjoy masturbating.  Uncle Mort masturbates.  We all masturbate.	JIM'S DAD (CONT'D)	 Poor guy thought he was the only one.			American Pie 
COACH MARSHALL	 You're a killer, Ozzy!	OZ	 (trying to get away) -- Thanks, coach --	OZ	 Hey, what're you doing here?	HEATHER	 Just enjoying my exhilarating first lacrosse experience.  You like, "kicked butt."	American Pie 
HEATHER	 Just enjoying my exhilarating first lacrosse experience.  You like, "kicked butt."	OZ	 (brushing it off her skirt) Whoops, excuse me...	HEATHER	 Um...Chris --	OZ	 You can call me Oz.	American Pie 
OZ	 Neither will I.	HEATHER	 Okay. (pause) So I had this...thought, and...this may seem like it's out of left field, and I don't know if you can, but since I'm not going with anyone --	STIFLER	 Hah!  Central sucks! (noticing Heather) Choir Chick?  What the hell are you doing here?	HEATHER	 Well, I uh, I was -- (decides to stand her ground) I was asking Chris to prom. (turns to Oz) So do you wanna go?	American Pie 
HEATHER	 Okay. (pause) So I had this...thought, and...this may seem like it's out of left field, and I don't know if you can, but since I'm not going with anyone --	STIFLER	 Hah!  Central sucks! (noticing Heather) Choir Chick?  What the hell are you doing here?	HEATHER	 Well, I uh, I was -- (decides to stand her ground) I was asking Chris to prom. (turns to Oz) So do you wanna go?	OZ	 Yeah!	American Pie 
STIFLER	 Hah!  Central sucks! (noticing Heather) Choir Chick?  What the hell are you doing here?	HEATHER	 Well, I uh, I was -- (decides to stand her ground) I was asking Chris to prom. (turns to Oz) So do you wanna go?	OZ	 Yeah!	STIFLER	 Well, just don't expect Oz to pay for the limo.	American Pie 
STIFLER	 Well, just don't expect Oz to pay for the limo.	OZ	 Stifler, fuck -- (noticing Heather, "sensitive") ...man, you don't have to be so insensitive.	STIFLER	 What?? (he dismisses it) Whatever -- look uh, don't forget -- my cottage after prom.  On Lake Michigan.	OZ	 Alright, cool.  I gotta hit the showers, but...I think this'll be really good.	American Pie 
OZ	 Stifler, fuck -- (noticing Heather, "sensitive") ...man, you don't have to be so insensitive.	STIFLER	 What?? (he dismisses it) Whatever -- look uh, don't forget -- my cottage after prom.  On Lake Michigan.	OZ	 Alright, cool.  I gotta hit the showers, but...I think this'll be really good.	HEATHER	 Yeah, me too, okay, cool.	American Pie 
STIFLER	 My man Oz, working it with the choir babes?	LACROSSE BUDDIES	 (cheering, slapping him) Yeah, go Oz! etc.	OZ	 (pandering to them) Hey, you know, what can I say, I dig those cute little sweaters she wears.	STIFLER	 I'll bet you do, you little horndog, she's givin' you fuckin' stiffies, right?	American Pie 
LACROSSE BUDDIES	 (cheering, slapping him) Yeah, go Oz! etc.	OZ	 (pandering to them) Hey, you know, what can I say, I dig those cute little sweaters she wears.	STIFLER	 I'll bet you do, you little horndog, she's givin' you fuckin' stiffies, right?	STIFLER (CONT'D)	 Yeah!  Sing for me!  yes!	American Pie 
RANDOM CUTE GIRL	 Is it cool?  I heard it was like an eagle, blazing in fire and stuff.	JIM	 (nods, loving it) Actually, it's an eagle and this big python.	RANDOM CUTE GIRL	 Really?!	JIM	 Yeah, see it's on his stomach, here, and the eagle -- the eagle is actually grasping the python in its talons, so the snake is like his --	American Pie 
JIM	 Yeah, see it's on his stomach, here, and the eagle -- the eagle is actually grasping the python in its talons, so the snake is like his --	KEVIN	 (interrupting) That's good, Jim.	RANDOM CUTE GIRL	 Woah, no way!  That guy is so cool!			American Pie 
KEVIN	 I can't, I have no idea how he's doing it.  And that leaves you trailing, Jim.  You gotta get your act together.	JIM	 (a little aggravated) Yeah, I know.  I'm working on it.	NADIA	 You are very good in the world history class, yes?	JIM	 (gulps) Me?	American Pie 
NADIA	 You are very good in the world history class, yes?	JIM	 (gulps) Me?	JIM (CONT'D)	 (trying to decipher the guys' signals) Yes.  No.  Yes.	NADIA	 Perhaps you can help me with my studies?	American Pie 
NADIA	 Perhaps you can help me with my studies?	JIM	 Okay...that would be cool sometime. (sees the guys gesticulating) How 'bout tomorrow?	NADIA	 Well, I do have ballet practice. Perhaps I can come by your house afterwards.  I can change clothes at your place?	JIM	 (barely, overwhelmed) I suppose that would be okay.	American Pie 
NADIA	 Well, I do have ballet practice. Perhaps I can come by your house afterwards.  I can change clothes at your place?	JIM	 (barely, overwhelmed) I suppose that would be okay.					American Pie 
OZ	 You don't like it?	HEATHER	 No, I like the car. (then, direct) By the way, though, about prom?  That was like a bad idea.  Sorry I invited you.	OZ	 What?!	HEATHER	 Oh, please.  I asked you because I thought you might actually be worth going with.  But you are just a jock. No wait.  You're a jerk.	American Pie 
CHOIR TEACHER	 A little, but I think it'll work better as a duet.  With a tenor part.	OZ	 (interrupting) I'll do it.	OZ (CONT'D)	 I'll do it.	CHOIR TEACHER	 Okay then.  The rest of you okay with that?	American Pie 
CHOIR TEACHER (CONT'D)	 Great.  See you tomorrow.	HEATHER	 (annoyed) Why are you doing this?	OZ	 Because I want to.	HEATHER	 Yeah?  Well you can't fake your way through this.  You better practice.	American Pie 
OZ	 You can do that?	JIM	 (off their looks) Oh -- no way.  I can't do that to her.	STIFLER	 Dammit, Jim, get some fucking balls. If you don't have the guts to photograph a naked chick in your room, how are you ever gonna sleep with one? Now all you gotta do is set up some sort of private link or whatever on the net, and tell me the address.	KEVIN	 You can send me the address too.	American Pie 
JIM'S DAD	 Son.  This lady's here for you.	JIM	 (like it's no big deal) I know.  Hey Nadia.	NADIA	 Hello James.  Ready to study.	JIM'S DAD	 Oh, you bet he is.  Jim's quite the bookworm.	American Pie 
KEVIN	 You know, Jim...you could go back there...and...	FINCH	 (nodding) Seduce her.	JIM	 But, but -- what would I do?	KEVIN	 Anything!  Just tell her it looks like she needs an extra hand or something.	American Pie 
JIM	 Looks like you could use an extra hand.	NADIA	 (chastising) James!  You have come in here on purpose?!	JIM	 Well...uh...	NADIA	 Shame on you!	American Pie 
JIM	 You mean like, strip strip?	NADIA	 (irresistably sexy) For me?					American Pie 
NADIA	 So, "shaved" is the expression?	JIM	 (mutters) Holy shit.					American Pie 
ALL THE GUYS	 (unison)	HOLY SHIT!						American Pie 
JIM	 No, not again.	NADIA	 (sighs) I am sorry, Jim.  I suppose we will not be doing any studying now.	JIM	 No!  I've got...reserve reserves!	NADIA	 It is too bad.  I was at first hoping you would ask me to the prom.  But...	American Pie 
MICHELLE	 I thought so.  Because, one time?  I was at this --	JIM	 (interrupting) What was your name again?	MICHELLE	 Michelle.	JIM	 Okay.  Michelle, do you want to be my date for the prom?	American Pie 
MICHELLE	 Really?  You seriously want to go with me?	JIM	 (so forced) Yes.  Seriously.	MICHELLE	 Are we going to Steve Stifler's party afterwards?  That would be so cool.	JIM	 Whatever you want.	American Pie 
KEVIN	 That's my trick!	VICKY	 It's everyone's trick, Kevin. (she turns to him) But I did pick it up from you.	KEVIN	 We've come a long way since Homecoming.	VICKY	 (playful) Yeah, we have.  You corrupted my four- point into a three-nine-five.	American Pie 
KEVIN	 We've come a long way since Homecoming.	VICKY	 (playful) Yeah, we have.  You corrupted my four- point into a three-nine-five.	KEVIN	 Indeed I did.  But, our relationship. It's progressed a lot.  It's time for us to...express ourselves in new ways.	VICKY	 Like how?	American Pie 
VICKY	 I think you're so right, Kevin.	KEVIN	 (pause) You want to do it?	VICKY	 Yes --	VICKY (CONT'D)	 I love you.	American Pie 
OZ	 My dad's always here running the store, busy and stuff...and I fill in once a week so he can get a night off.	HEATHER	 (pause) That's nice.	OZ	 (shrugs) So you're going to Michigan?	HEATHER	 Yeah, well my parents wanted me to go to Northwestern.  I didn't want to write all those extra essays they make you do -- I mean, how am I supposed to know what my "most emotionally significant moment" was?  So when my U of M acceptance came in December, I said the hell with it.	American Pie 
HEATHER	 (pause) That's nice.	OZ	 (shrugs) So you're going to Michigan?	HEATHER	 Yeah, well my parents wanted me to go to Northwestern.  I didn't want to write all those extra essays they make you do -- I mean, how am I supposed to know what my "most emotionally significant moment" was?  So when my U of M acceptance came in December, I said the hell with it.	OZ	 Onions?	American Pie 
HEATHER	 Yeah.  So wow, you've got it figured out.	OZ	 (dismissive) Well, I mean, business is okay, and lacrosse is awesome, but what am I gonna be, a pro lacrosse player?  I really have no idea.	HEATHER	 Oh thank God, I thought I was the only one.	OZ	 Well, you're not.  Oil and vinegar?	American Pie 
OZ	 You -- oh, you mean -- yeah, East Lansing and Ann Arbor.	HEATHER	 (smiles) ...yeah.	OZ	 Wanna swap your chips for cookies?			American Pie 
KEVIN	 Then what the hell are you talking about?	JESSICA	 Well...I guess it's okay for me to tell you now.  That reputation of his isn't going anywhere. (then) Finch comes to me and says, "Jessica, I need help with this, blah blah, etcetera."  So I told him, pay me two- hundred bucks, and I'll tell a couple girls that you're dynamite in bed.  So he did, and I did.	KEVIN	 I don't get it, that really works?	JESSICA	 Duh.  Of course.  Naturally, I embellished a little bit.  Hey, did you hear that Finch had sex with an older woman?	American Pie 
STIFLER	 Oh my fucking God.  You're gay.	OZ	 (cheery) Come on, you know the words, sing along.	STIFLER	 No thanks, you've been singing that shit all week.  If you try that at MSU this Saturday, I'm pretending I don't know you.	OZ	 Our last game is this Saturday.	American Pie 
OZ	 ...I've got this lacrosse game.  It's really important, it's our last game. And you know, Central almost beat us last time, so I really want to kick their ass, and it's like cool because we're gonna get to play at State, which means that after the game I might be able to stop by...	HEATHER	 (pause) You can't sing at the competition.	OZ	 I'm sorry, I totally spaced.  I just...I didn't realize it...	HEATHER	 (upset but trying to be cool) ...it's okay, you should do whatever makes you happy.	American Pie 
OZ	 I'm sorry, I totally spaced.  I just...I didn't realize it...	HEATHER	 (upset but trying to be cool) ...it's okay, you should do whatever makes you happy.	OZ	 Alright...yeah...thanks for understanding. (a beat) So I guess...I'll see you later.			American Pie 
HEATHER	 (upset but trying to be cool) ...it's okay, you should do whatever makes you happy.	OZ	 Alright...yeah...thanks for understanding. (a beat) So I guess...I'll see you later.					American Pie 
