GEORGE	 Miss Earhart?	AMELIA	 Mr. Putnam? GEORGE (softly) I asked you to sit.	AMELIA	 Was that the thing you did with your hand? Sadly, I don't speak dog.	GEORGE		Amelia
GEORGE (CONT'D)	 Even though I'd never seen it. HOLD on him.     The pain of what that must mean.    And...	AMELIA	 I suppose I thought.      It was too revealing. WIDEN ANGLE. Gene enters the room with a drink in his hand and sits down next to her, concerned by her obvious distress. AMELIA (into the phone) I'm so glad you have it now.	(LISTENS)	 S			Amelia
GENE	 I'm sorry I said it that way. This s actually about you, because I'm picking a fight, apparently a useless one, for the benefit of someone I care about.	AMELIA	 And what's your point? Women are eld to some higher standard? Bankers and industrialists are ad- mired for succeeding, but women are just considered selfish and grasping? ENE (quietly) Of course they are.	AMELIA	 Well, let's change that, shall we? r would you just prefer to adopt t, since groveling would be easier.	GENE	 If you want to make money, my guess s that people viewing you as Lady Lindy, America's Sweetheart of the Skies, the wife/mother/daughter they all wished they had. Would be helpful.	Amelia
AMELIA (CONT'D)	 Because she can't help. All she can be is dependent. Because that I s what she's been trained to be. CO-ED #2 (hushed) Common room. Oh. Sure. (hand over phone, to	AMELIA)	 He says he's the man in your life.	AMELIA	 Trust me. Only a husband talks like that. AMELIA (into the phone) Yes?  Yes. Yes... (hand over phone, to the			Amelia
AMELIA)	 He says he's the man in your life.	AMELIA	 Trust me. Only a husband talks like that. AMELIA (into the phone) Yes?  Yes. Yes... (hand over phone, to the	GIRLS)	 They love when we say `yes.' (			Amelia
AMELIA(CONT'D)	 This showed them how dangerous it all is, they were taking it for granted...	(SNIFFLES)	 They thought I was competent. GEORGE (softly) I meant.    Or maybe we can quit. She looks over.    Not sure if...	AMELIA	 You mean after.	GEORGE	 Or.     Even now. A strong smile.    He nods.     We could.	Amelia
AMELIA	 And then what?	GEORGE	 Then the best part.    The future. She stares in his eyes.       Leans to him. AMELIA (a whisper) Oh yeh.    That. She brings her hands to his face. Her mouth to his.      Deep. Longing. Her body sinks into him. LONG ANGLE.      Two alone.   Only each other.					Amelia
AMELIA	 Exactly. Each poor mouse thinks it's all about her.	GEORGE	 And one of them.    Is right. AMELIA (a murmur) She knows.	GEORGE	 want you to give me something.	GEORGE (CONT'D)	 Tell me this is your last flight.	Amelia
AMELIA	 We can't possibly afford this.	GEORGE	 ure, we can. It's Tuesday's call o Lae that we can't afford. AMELIA (delighted) You hang up the phone this minute. You'll bankrupt us and I'll have to walk home.	GEORGE	 easoning with me. A magnificent display of useless courage. Her eyes remember.    A soft...	AMELIA	 ..and it's fun.	Amelia
GEORGE	 I'm running a big adventure here, 'm a very important fellow.	AMELIA	 You told me I was the star.   And you were no one at all. GEORGE (soft) I thought I was lying. Guess the joke's on me. Silence.	GEORGE (CONT'D)	 How's Fred?	AMELIA	 I'm mad at him. I'll be in Honolulu on the 3rd, and with you in Oakland for Fourth of July. Okay?	Amelia
AMELIA	 t's late here. Guess I'll go curl up under a teacup.	GEORGE	 I'll go tell the world you're on your way. Neither wants to let go.      We feel it so strong. GEORGE (a whisper) Sweet dreams. A beat. AMELIA (whispers back) See ya. And he's gone.      She stares at the radio.					Amelia
BELLARTS	 That's her on 3105. She said `cloudy and overcast.' O'Hare looks at him. Are you serious? Bellarts mimes typing with his fingers. O'Hare starts typing into the log.	AMELIA (O.S.)	 Itasca from Earhart. Overcast. Static.   Dalten leans to the mic... DALTEN (into mic) We are receiving your signal. Please acknowledge ours. What is your position? When do you expect to arrive Howland? No answer.    Light static.	BELLARTS	 Commander estimated 7:00. If she's having trouble on voice transmission, stay with Morse. And begins to carefully pack his pipe.      Dalten begins to K			Amelia
AMELIA (O.S.) (CONT'D)	 Gas is running low. Been unable to reach you by radio. We are flying t altitude 1000 feet. DALTEN (into mic) You are reaching us. We are sending on 3105 and 500 constantly. Please acknowledge. Massive BURST of static. Dalten frantically CLICKING a S	EARHART (O.S.)	 We are circling but cannot hear you. Go ahead on 7500. BELLARTS (into mic) Itasca to KHAQQ. Your signal is strong. Are you receiving this? A breathless moment.   A sharp CRACKLE.	EARHART (O.S.)	 KHAQQ calling Itasca. We received your signal, but unable to get a minimum. Please take bearing on us and answer 3105 with voice. BELLARTS (into mic) Your signal received okay. It is impractical to take a bearing on 3105 on your voice. Give us a longer signal, please. Go ahead. Silence.   Feet are shifting.   No one speaks. O O			Amelia
EARHART (O.S.)	 KHAQQ calling Itasca. We received your signal, but unable to get a minimum. Please take bearing on us and answer 3105 with voice. BELLARTS (into mic) Your signal received okay. It is impractical to take a bearing on 3105 on your voice. Give us a longer signal, please. Go ahead. Silence.   Feet are shifting.   No one speaks. O O BELLARTS (softly to Dalten) Keep us at 7500, that's her only acknowledgment.	THOMPSON	 You've got her signal, dammit. What about the direction finder?	BELLARTS	 Cipriani reports the battery's dead, sir. It was left on all night. THOMPSON (low) I don't believe this is happening. BELLARTS (into mic) Itasca to Earhart. Did you get transmission on 7500? Go ahead on 500 so that we can take a bearing on you, it's impossible on 3105. Please acknowledge. BELLARTS (into mic) Will you please come in and answer n 500? We are transmitting constantly on 7500 and we do not hear you on 500. Please answer on 500. Go ahead.			Amelia
THOMPSON	 You've got her signal, dammit. What about the direction finder?	BELLARTS	 Cipriani reports the battery's dead, sir. It was left on all night. THOMPSON (low) I don't believe this is happening. BELLARTS (into mic) Itasca to Earhart. Did you get transmission on 7500? Go ahead on 500 so that we can take a bearing on you, it's impossible on 3105. Please acknowledge. BELLARTS (into mic) Will you please come in and answer n 500? We are transmitting constantly on 7500 and we do not hear you on 500. Please answer on 500. Go ahead.	MELIA (O.S.)	 We are on the line of position 157- 337, will repeat this message on 6210 kilocycles. Wait, listening n 6210 kilocycles. We are running north and south. B F			Amelia
MELIA (O.S.)	 We are on the line of position 157- 337, will repeat this message on 6210 kilocycles. Wait, listening n 6210 kilocycles. We are running north and south. B F BELLARTS (into mic) We hear you. We hear you. Can you receive this...? COMMANDER (softly) Mr. Bellarts. When did she say she was low on fuel?	O'HARE	 Um. An hour. And two minutes, sir.	SLOW DISSOLVE				Amelia
