OLD SALIERI	 Mozart, perdonami! Forgive your assassin! Piet! Piet! Forgive your assassin! Forgive me! Forgive! Forgive!	VALET	 (looking up to the window) That's all right, Signore! He heard you! He forgave you! He wants you to go inside now and shut the window!	VALET	 Come on, Signore! Look what I have for you! I can't give it to you from down here, can I?	BYSTANDER	 Who is that?	Amadeus 
MOZART	 Well not especially. It can be in Turkish, if you really want. I don't care.	VON SWIETEN	 (kindly) My dear fellow, the language is not finally the point. Do you really think that subject is quite appropriate for a national theatre?	MOZART	 Why not? It's charming. I mean, I don't actually show concubines exposing their! their! It's not indecent! (to Joseph) It's highly moral, Majesty. It's full of proper German virtues. I swear it. Absolutely!	JOSEPH	 Well, I'm glad to hear that.	Amadeus 
VON SWIETEN	 (kindly) My dear fellow, the language is not finally the point. Do you really think that subject is quite appropriate for a national theatre?	MOZART	 Why not? It's charming. I mean, I don't actually show concubines exposing their! their! It's not indecent! (to Joseph) It's highly moral, Majesty. It's full of proper German virtues. I swear it. Absolutely!	JOSEPH	 Well, I'm glad to hear that.	SALIERI	 Excuse me, Sire, but what do you think these could be? Being a foreigner, I would love to learn.	Amadeus 
JOSEPH	 Show me.	MOZART	 (to Salieri) The rest is just the same, isn't it?	MOZART	 That really doesn't work, does it?	MOZART	 Did you try this? Wouldn't it be just a little more -?	Amadeus 
CAVALIERI	 (curtseying to him) Maestro.	SALIERI	 Good morning.	CAVALIERI	 (posing, in her turban) Well? How do you like it? It's Turkish. My hairdresser tells me everything's going to be Turkish this year!			Amadeus 
SALIERI	 Good morning.	CAVALIERI	 (posing, in her turban) Well? How do you like it? It's Turkish. My hairdresser tells me everything's going to be Turkish this year!	SALIERI	 Really? What else did he tell you today? Give me some gossip.	CAVALIERI	 Well, I heard you met Herr Mozart.	Amadeus 
SALIERI	 Looks and talent don't always go together, Katherina.	CAVALIERI	 (airily) Looks don't concern me, Maestro. Only talent interests a woman of taste.					Amadeus 
OLD SALIERI (V.O.)	 There she was. I had no idea where they met - or how - yet there she stood on stage for all to see. Showing off like the greedy songbird she was. Ten minutes of ghastly scales and arpeggios, whizzing up and down like fireworks at a fairground.	CAVALIERI	 (singing) Be freed at last by death! Be freed at last by death! At last I shall be freed By! Death!					Amadeus 
CAVALIERI	 Majesty.	JOSEPH	 (to Salieri) And to you, Court Composer. Your pupil has done you great credit.					Amadeus 
FLUNKY	 I am sorry, Madame. It is not permitted.	MADAME WEBER	 Do you know who I am? (pointing to Constanze) This is my daughter. I am Frau Weber. We are favoured guests!	FLUNKY	 I am sorry, Madame, but I have my orders.	MADAME WEBER	 Call Herr Mozart! You call Herr Mozart immediately! This is insupportable!	Amadeus 
CONSTANZE	 Mother, please!	MADAME WEBER	 Go ahead, Constanze. Just ignore this fellow. (pushing her) Go ahead, dear!	FLUNKY	 (barring the way) I am sorry, Madame, but no! I cannot let anyone pass.	MADAME WEBER	 Young man, I am no stranger to theatres. I'm no stranger to insolence!	Amadeus 
MADAME WEBER	 Go ahead, Constanze. Just ignore this fellow. (pushing her) Go ahead, dear!	FLUNKY	 (barring the way) I am sorry, Madame, but no! I cannot let anyone pass.	MADAME WEBER	 Young man, I am no stranger to theatres. I'm no stranger to insolence!			Amadeus 
MOZART	 What do you mean, Sire?	JOSEPH	 Well, I mean occasionally it seems to have, how shall one say? (he stops in difficulty; to Orsini- Rosenberg) How shall one say, Director?	ORSINI-ROSENBERG	 Too many notes, Your Majesty?	JOSEPH	 Exactly. Very well put. Too many notes.	Amadeus 
SALIERI	 Yes! yes! er, on  the whole, yes, Majesty.	MOZART	 (to Salieri) But this is absurd!	JOSEPH	 My dear, young man, don't take it too hard. Your work is ingenious. It's quality work. And there are simply too many notes, that's all. Cut a few and it will be perfect.	MOZART	 Which few did you have in mind, Majesty?	Amadeus 
JOSEPH	 Well. There it is. Strack.	CONSTANZE	 (to Mozart) Get some water!					Amadeus 
CONSTANZE	 Are you all right?	MADAME WEBER	 Ah, what an evening! What a wise man we have for an Emperor. Oh, my children! (with sudden, hard briskness) Now I want you to write your father exactly what His Majesty said.	MOZART	 You should really go home now, Frau Weber. Your carriage must be waiting.	MADAME WEBER	 But aren't you taking us?	Amadeus 
JOSEPH	 You please me, Court Composer. A very clever idea.	SALIERI	 (bowing) Sire.	JOSEPH	 Well. There it is.			Amadeus 
VON STRACK	 Mozart -	MOZART	 They hate my music. It terrifies them. The only sound Italians understand is banality. Tonic and dominant, tonic and dominant, from here to Resurrection! (singing angrily) Ba-ba! Ba-ba! Ba-ba! Ba-ba! Anything else is morbid.	VON STRACK	 Mozart -	MOZART	 Show them one interesting modulation and they faint. Ohime! Morbidezza! Morbidezza! Italians are musical idiots and you want them to judge my music!	Amadeus 
SERVANT	 She didn't say. But she says it's urgent.	SALIERI	 (to the pupil) Excuse me, my dear.					Amadeus 
OLD SALIERI	 Yes, Father. Yes! So much for my vow of chastity. What did it matter? Good, patient, hard-working, chaste - what did it matter? Had goodness made me a good composer? I realized it absolutely then - that moment: goodness is nothing in the furnace of art. And I was nothing to God.	VOGLER	 (crying out) You cannot say that!	OLD SALIERI	 No? Was Mozart a good man?	VOGLER	 God's ways are not yours. And you are not here to question Him. Offer him the salt of penitence. He will give you back the bread of eternal life. He is all merciful. That is all you need to know.	Amadeus 
VOGLER	 I do not claim to unravel the mysteries. I treasure them. As you should.	OLD SALIERI	 (impatiently) Oh yes, yes, yes, yes, yes! Always the same stale answers! (intimately to the priest) There is no God of Mercy, Father. Just a God of torture.					Amadeus 
MOZART	 Sssh!	SCHIKANEDER	 (imitating Mozart) Stanzi-Manzi-Banzi-Wanzi!	MOZART	 Sssh! Stay here.	SCHIKANEDER	 (to the girls, very tipsy) Sssh! You're dishgrashful!	Amadeus 
MOZART	 Sssh! Stay here.	SCHIKANEDER	 (to the girls, very tipsy) Sssh! You're dishgrashful!					Amadeus 
SCHLUMBERG	 Quiet! Quiet! Quiet! Down there, damn you. (to Mozart) Welcome to you. Pay no attention, they're impossible. Stop it, you willful things! Come this way. Just ignore them. They're perfectly harmless, just willful. I treat them just like my own children.	MOZART	 And which one of them do you want me to teach?	SCHLUMBERG	 What? Ha-ha! That's funny - I like it. Which one, eh? You're a funny fellow. (shouting) Hannah! Come this way.			Amadeus 
MOZART	 And which one of them do you want me to teach?	SCHLUMBERG	 What? Ha-ha! That's funny - I like it. Which one, eh? You're a funny fellow. (shouting) Hannah! Come this way.	SCHLUMBERG	 Hannah!	SCHLUMBERG	 (to Mozart) You won't be teaching this one either. She's my wife.	Amadeus 
SCHLUMBERG	 (to Mozart) You won't be teaching this one either. She's my wife.	MOZART	 (bowing) Madame.	SCHLUMBERG	 This is Herr Mozart, my dear. The young man Herr Salieri recommended to teach our Gertrude. Where is she?	FRAU SCHLUMBERG	 Upstairs.	Amadeus 
SCHLUMBERG	 Strudel, this is Herr Mozart. Say good morning.	FRAU SCHLUMBERG	 (to Mozart) Perhaps a little refreshment first? A little coffee, or a little chocolate?	MOZART	 I'd like a little wine, if you have it.	FRAU SCHLUMBERG	 Wine?	Amadeus 
FRAU SCHLUMBERG	 Wine?	SCHLUMBERG	 Quite right. He's going to need it. (calling and clapping his hands) Klaus! A bottle of wine. Prestissimo! Now let's go to it. I've been waiting all day for this.					Amadeus 
MOZART	 Now, please play me something. Just to give me an idea. Anything will do.	GERTRUDE	 (to parents) I don't want you to stay.	FRAU SCHLUMBERG	 That's all right, dear. Just go ahead, as if we weren't here.	GERTRUDE	 But you are here.	Amadeus 
SCHLUMBERG	 Never mind, Strudel. It's part of music, getting used to an audience. Aren't I right, Herr Mozart?	MOZART	 Well, yes! on the whole. I suppose. (to Gertrude) How long have you been playing, Fraulein?	FRAU SCHLUMBERG	 Just one year.	MOZART	 Who was your teacher?	Amadeus 
FRAU SCHLUMBERG	 I was. But she quite outgrew the little I could show her.	MOZART	 Thank you, Madame. (to Gertrude) Come on now - courage. Play me something you know.	MOZART	 Perhaps it would be better if we were left alone. I think we're both a little shy.	SCHLUMBERG	 Nonsense. Strudel's not shy. She's just willful! You give into her now, you'll be sorry later. Strudel - play.	Amadeus 
FRAU SCHLUMBERG	 Michael!	MOZART	 Perhaps if I were to play a little first, it might encourage the Fraulein. (to the girl) Why don't you let me try the instrument? All right?	SCHLUMBERG	 Stop that, Dudelsachs! Stop it at once! (to Mozart) Don't let him disturb you. He'll be all right. He's just a little willful too. Please, please - play. I beg you.	SCHLUMBERG	 Stop it! STOP!	Amadeus 
MOZART	 Perhaps if I were to play a little first, it might encourage the Fraulein. (to the girl) Why don't you let me try the instrument? All right?	SCHLUMBERG	 Stop that, Dudelsachs! Stop it at once! (to Mozart) Don't let him disturb you. He'll be all right. He's just a little willful too. Please, please - play. I beg you.	SCHLUMBERG	 Stop it! STOP!	SCHLUMBERG	 No, not you. I was talking to the dog. You keep playing. It's most important. He always howls when he hears music. We've got to break them of the habit. Play, please. Please!	Amadeus 
SCHLUMBERG	 It's a miracle, Herr Mozart!	MOZART	 (barely controlling himself) Well, I'm a good teacher. The next time you wish me to instruct another of your dogs, please let me know. Goodbye, Fraulein, goodbye, Madame! goodbye, Sir!	FRAU SCHLUMBERG	 What a strange young man.	SCHLUMBERG	 Yes. He is a little strange.	Amadeus 
LEOPOLD	 No, really!	MOZART	 (calling to him) This is just a game, Papa.	CONSTANZE	 This is just a game, Papa!	BYSTANDERS	 This is just a game, Papa!	Amadeus 
CONSTANZE	 (outside the door) Wolfi! Wolfgang!	MOZART	 What is it?	CONSTANZE	 There's a young girl to see you.			Amadeus 
MOZART	 Are you playing a trick on me?	LEOPOLD	 I never saw this girl in my life. (to Lorl) Is this a kind of joke?	LORL	 Not at all, sir. And I was told to wait for an answer.	LEOPOLD	 Young woman, this won't do at all. My son can't possibly accept such an offer, no matter how generous, unless he knows who is behind it.	Amadeus 
LEOPOLD	 But you can't take her without reference. It's unheard of!	CONSTANZE	 Well, this is none of your business. (to Lorl) Whoever sent you is going to pay, no?	LORL	 That's right, ma'am.	LEOPOLD	 So now we are going to let a perfect stranger into the house?	Amadeus 
LEOPOLD	 So now we are going to let a perfect stranger into the house?	CONSTANZE	 Who is we? Who is letting who? (to Lorl) Could you please wait outside?	LORL	 Yes, ma'am.	CONSTANZE	 Look, old man, you stay out of this. We spend a fortune on you, more than we can possibly afford, and all you do is criticize, morning to night. And then you think you can -	Amadeus 
LEOPOLD	 So you are! The place is a pigsty all the time.	CONSTANZE	 (to Mozart) Do you hear him? Do you?	CONSTANZE	 (to Lorl) When can you start?	LORL	 Right away, ma'am.	Amadeus 
LORL	 Right away, ma'am.	CONSTANZE	 Good! Come in. You'll start with that room there. (indicating Leopold's room) It's filthy!	LEOPOLD	 Sorry, sorry! I'm sorry I spoke! I'm just a provincial from Salzburg. What do I know about smart Vienna? Parties all night, every night. Dancing and drinking like idiot children!			Amadeus 
LEOPOLD	 Your Majesty.	JOSEPH	 Good evening. (to Leopold) We have met before, Herr Mozart.	LEOPOLD	 That's right, Your Majesty. Twenty years ago. No, twenty-two! twenty- three! And I remember word for word what you said to me. You said - you said --	JOSEPH	 Bravo?	Amadeus 
MOZART	 But, Your Majesty -	JOSEPH	 (motioning him to be silent) Mozart, I am a tolerant man. I do not censor things lightly. When I do, I have good reason. Figaro is a bad play. It stirs up hatred between the classes. In France it has caused nothing but bitterness. My own dear sister Antoinette writes me that she is beginning to be frightened of her own people. I do not wish to see the same fears starting here.	MOZART	 Sire, I swear to Your Majesty, there's nothing like that in the story. I have taken out everything that could give offense. I hate politics.	JOSEPH	 I think you are rather innocent, my friend. In these dangerous times I cannot afford to provoke our nobles or our people simply over a theatre piece.	Amadeus 
VON SWIETEN	 Mozart -	MOZART	 (ignoring him) Sire, only opera can do this. In a play, if more than one person speaks at the same time, it's just noise. No one can understand a word. But with music, with music you can have twenty individuals all talking at once, and it's not noise - it's a perfect harmony. Isn't that marvelous?	VON SWIETEN	 Mozart, music is not the issue here. No one doubts your talent. It is your judgment of literature that's in question. Even with the politics taken out, this thing would still remain a vulgar farce. Why waste your spirit on such rubbish?  Surely you can choose more elevated themes?	MOZART	 Elevated? What does that mean? Elevated! The only thing a man should elevate is - oh, excuse me. I'm sorry. I'm stupid. But I am fed up to the teeth with elevated things! Old dead legends! How can we go on forever writing about gods and legends?	Amadeus 
MOZART	 Elevated? What does that mean? Elevated! The only thing a man should elevate is - oh, excuse me. I'm sorry. I'm stupid. But I am fed up to the teeth with elevated things! Old dead legends! How can we go on forever writing about gods and legends?	VON SWIETEN	 (aroused) Because they do. They go on forever - at least what they represent. The eternal in us, not the ephemeral. Opera is here to ennoble us. You and me, just as much as His Majesty.	BONNO	 Bello! Bello, Barone. Veramente.	MOZART	 Oh, bello, bello, bello! Come on now, be honest. Wouldn't you all rather listen to your hairdressers than Hercules? Or Horatius? Or Orpheus? All those old bores! people so lofty they sound as if they shit marble!	Amadeus 
MOZART	 Thank you! Oh, thank you.	SALIERI	 (withdrawing it; imitating the Emperor) No, no, no, Herr Mozart, please. It's not a holy relic.					Amadeus 
MOZART	 Ladies and gentlemen, we're going from where we stopped. The Count: Anches so. Right away, please!	JOSEPH	 (to Orsini-Rosenberg) What I hoped by that edict, Director, was simply to prevent hours of dancing like in French opera. There it is endless, as you know.	ORSINI-ROSENBERG	 Quite so, Majesty.			Amadeus 
MOZART	 I know, I know. Perhaps you should give me some lessons in that.	SALIERI	 (fuming) I wouldn't presume. All the same, if it wouldn't be imposing, I would like you to see my new piece. It would be a tremendous honour for me.	MOZART	 Oh no, the honour would be all mine.	SALIERI	 (bowing) Grazie, mio caro, Wolfgang!	Amadeus 
MOZART	 Oh no, the honour would be all mine.	SALIERI	 (bowing) Grazie, mio caro, Wolfgang!	MOZART	 Grazie, a lei, Signor Antonio!			Amadeus 
MOZART	 (to Schikaneder) Well?	SCHIKANEDER	 (mock moved) Sublime! Utterly sublime!	MOZART	 That kind of music should be punishable by death.			Amadeus 
MOZART	 We'll have a little party. Come in. Come in. You know Herr Schikaneder? (to a girl) This is! a very nice girl.	CONSTANZE	 (standing up) Wolfi.	MOZART	 Yes, my love?	CONSTANZE	 These gentlemen are from Salzburg.	Amadeus 
CONSTANZE	 These gentlemen are from Salzburg.	MOZART	 Salzburg.  We were just talking about Salzburg. (to the two men, jubilantly) If you've come from my friend the Fartsbishop, you've arrived at just the right moment. Because I've got good news for him. I'm done with Vienna. It's over, finished, done with! Done with! Done with!	CONSTANZE	 Wolfi! Your father is dead.	MOZART	 What?	Amadeus 
THE COMMENDATORE	 (singing) Don Giovanni!	OLD SALIERI (V.O.)	 So rose the dreadful ghost in his next and blackest opera. There on the stage stood the figure of a dead commander calling out 'Repent! Repent!'	OLD SALIERI (V.O.)	 And I knew - only I understood - that the horrifying apparition was Leopold, raised from the dead. Wolfgang had actually summoned up his own father to accuse his son before all the world. It was terrifying and wonderful to watch.			Amadeus 
SCHIKANEDER	 C-c-c-come in!	COMMENDATORE	 (singing) Don Giovannnnnnnnnni!	COMMENDATORE	 Down! Down!	COMMENDATORE	 I'm here! I'm here!	Amadeus 
SCHIKANEDER	 Who the devil are you? What do you want?	COMMENDATORE	 (singing) I've come to dinnnnnner!	SCHIKANEDER	 Dinner? How dare you? I am a nobleman. I only dine with people of my own height.	COMMENDATORE	 Are you drunk? You invited me. And my horse. Here he is. Ottavio!	Amadeus 
COMMENDATORE	 Whoa! Whoa! Stop it!	FIRST LADY	 (running and singing) Be careful!	SECOND LADY	 (running and singing) Be careful!	THIRD LADY	 (running and singing) Be careful!	Amadeus 
FIRST LADY	 (running and singing) Be careful!	SECOND LADY	 (running and singing) Be careful!	THIRD LADY	 (running and singing) Be careful!	ALL THREE TOGETHER	 (close harmony) Hold tight now!	Amadeus 
SECOND LADY	 (running and singing) Be careful!	THIRD LADY	 (running and singing) Be careful!	ALL THREE TOGETHER	 (close harmony) Hold tight now!	COMMENDATORE	 (angry) Leave me alone! Stop it! I'm a famous horseman.	Amadeus 
THIRD LADY	 (running and singing) Be careful!	ALL THREE TOGETHER	 (close harmony) Hold tight now!	COMMENDATORE	 (angry) Leave me alone! Stop it! I'm a famous horseman.	OTTAVIO	 And I'm a famous horse!	Amadeus 
ALL THREE TOGETHER	 (close harmony) Hold tight now!	COMMENDATORE	 (angry) Leave me alone! Stop it! I'm a famous horseman.	OTTAVIO	 And I'm a famous horse!	FIRST LADY	 (singing) He's adorable!	Amadeus 
OTTAVIO	 And I'm a famous horse!	FIRST LADY	 (singing) He's adorable!	SECOND LADY	 (singing) Adorable!	THIRD LADY	 (singing) Adorable!	Amadeus 
FIRST LADY	 (singing) He's adorable!	SECOND LADY	 (singing) Adorable!	THIRD LADY	 (singing) Adorable!	THREE LADIES	 (singing together) Give me your hoof, my darling, And I'll give you my heart! Take me to your stable, And never more we'll part!	Amadeus 
SECOND LADY	 (singing) Adorable!	THIRD LADY	 (singing) Adorable!	THREE LADIES	 (singing together) Give me your hoof, my darling, And I'll give you my heart! Take me to your stable, And never more we'll part!	OTTAVIO	 (singing: four male voices) I'm shy and very bashful. I don't know what to say.	Amadeus 
THIRD LADY	 (singing) Adorable!	THREE LADIES	 (singing together) Give me your hoof, my darling, And I'll give you my heart! Take me to your stable, And never more we'll part!	OTTAVIO	 (singing: four male voices) I'm shy and very bashful. I don't know what to say.	THREE LADIES	 (singing together) Don't hesitate a second. Just answer yes and neigh.	Amadeus 
THREE LADIES	 (singing together) Give me your hoof, my darling, And I'll give you my heart! Take me to your stable, And never more we'll part!	OTTAVIO	 (singing: four male voices) I'm shy and very bashful. I don't know what to say.	THREE LADIES	 (singing together) Don't hesitate a second. Just answer yes and neigh.	COMMENDATORE	 (speaking) Stop it. What are you doing? Remember who you are! You're a horse and they are whores.	Amadeus 
OTTAVIO	 (singing: four male voices) I'm shy and very bashful. I don't know what to say.	THREE LADIES	 (singing together) Don't hesitate a second. Just answer yes and neigh.	COMMENDATORE	 (speaking) Stop it. What are you doing? Remember who you are! You're a horse and they are whores.	SCHIKANEDER	 (speaking) This is ridiculous. I won't have any of it. You're turning my house into a circus!	Amadeus 
THREE LADIES	 (singing together) Don't hesitate a second. Just answer yes and neigh.	COMMENDATORE	 (speaking) Stop it. What are you doing? Remember who you are! You're a horse and they are whores.	SCHIKANEDER	 (speaking) This is ridiculous. I won't have any of it. You're turning my house into a circus!	SCHIKANEDER	 (speaking) Shut up. Women, women, women! I'm sick to death of them.	Amadeus 
COMMENDATORE	 (speaking) Stop it. What are you doing? Remember who you are! You're a horse and they are whores.	SCHIKANEDER	 (speaking) This is ridiculous. I won't have any of it. You're turning my house into a circus!	SCHIKANEDER	 (speaking) Shut up. Women, women, women! I'm sick to death of them.	SOPRANO	 (singing dramatically) Dash me! Bash me! Lash me! Flay me! Slay me! At last I will be freed by death!	Amadeus 
SCHIKANEDER	 (speaking) Shut up. Women, women, women! I'm sick to death of them.	SOPRANO	 (singing dramatically) Dash me! Bash me! Lash me! Flay me! Slay me! At last I will be freed by death!	COMMENDATORE	 Shut up.	SOPRANO	 (swinging and singing) Kill me! Kill me! Kill me! Kill me! At last I shall be freed by death. At last I shall be freed by dea -	Amadeus 
COMMENDATORE	 Shut up.	SOPRANO	 (swinging and singing) Kill me! Kill me! Kill me! Kill me! At last I shall be freed by death. At last I shall be freed by dea -	EIGHT DWARVES	 (singing) We're going to make a soprano stew! We're going to make a soprano stew! And when you make a soprano stew! Any stupid soprano will do! Any stew- stew-stew-stew-stew! Any stewpid soprano will do!	FIRST LADY	 (singing) Behold!	Amadeus 
SOPRANO	 (swinging and singing) Kill me! Kill me! Kill me! Kill me! At last I shall be freed by death. At last I shall be freed by dea -	EIGHT DWARVES	 (singing) We're going to make a soprano stew! We're going to make a soprano stew! And when you make a soprano stew! Any stupid soprano will do! Any stew- stew-stew-stew-stew! Any stewpid soprano will do!	FIRST LADY	 (singing) Behold!	PEPPER		Amadeus 
EIGHT DWARVES	 (singing) We're going to make a soprano stew! We're going to make a soprano stew! And when you make a soprano stew! Any stupid soprano will do! Any stew- stew-stew-stew-stew! Any stewpid soprano will do!	FIRST LADY	 (singing) Behold!	PEPPER		SECOND LADY	 (singing) Behold!	Amadeus 
PEPPER		SECOND LADY	 (singing) Behold!	AND SCHNAPPS		THIRD LADY	 (singing) Behold!	Amadeus 
AND SCHNAPPS		THIRD LADY	 (singing) Behold!	COMMENDATORE	 (speaking to the dwarves) How long does it take to cook a soprano?	DWARVES	 (all together) Five hours, five minutes, five seconds.	Amadeus 
THIRD LADY	 (singing) Behold!	COMMENDATORE	 (speaking to the dwarves) How long does it take to cook a soprano?	DWARVES	 (all together) Five hours, five minutes, five seconds.	COMMENDATORE	 (speaking) I can't wait that long. I'm starving!	Amadeus 
COMMENDATORE	 (speaking to the dwarves) How long does it take to cook a soprano?	DWARVES	 (all together) Five hours, five minutes, five seconds.	COMMENDATORE	 (speaking) I can't wait that long. I'm starving!	OTTAVIO	 (speaking; four voices) So am I.	Amadeus 
DWARVES	 (all together) Five hours, five minutes, five seconds.	COMMENDATORE	 (speaking) I can't wait that long. I'm starving!	OTTAVIO	 (speaking; four voices) So am I.	SCHIKANEDER	 (singing to the tune of Non piu ante) In the pot, I have got a good dinner. Not a sausage or stew, but a singer. Not a sausage or stew but a singer. Is the treat that I'll eat for my meat!	Amadeus 
COMMENDATORE	 (speaking) I can't wait that long. I'm starving!	OTTAVIO	 (speaking; four voices) So am I.	SCHIKANEDER	 (singing to the tune of Non piu ante) In the pot, I have got a good dinner. Not a sausage or stew, but a singer. Not a sausage or stew but a singer. Is the treat that I'll eat for my meat!	COMMENDATORE	 Oh shut up. I'm sick to death of that tune.	Amadeus 
OTTAVIO	 (speaking; four voices) So am I.	SCHIKANEDER	 (singing to the tune of Non piu ante) In the pot, I have got a good dinner. Not a sausage or stew, but a singer. Not a sausage or stew but a singer. Is the treat that I'll eat for my meat!	COMMENDATORE	 Oh shut up. I'm sick to death of that tune.	THE THREE GIRLS	 (singing again to the horse) Give me your hoof, my darling, and I'll give you my heart.	Amadeus 
COMMENDATORE	 Oh shut up. I'm sick to death of that tune.	THE THREE GIRLS	 (singing again to the horse) Give me your hoof, my darling, and I'll give you my heart.	COMMENDATORE	 Shut up. I'm sick of that one too.	COMMENDATORE	 And that one, too!	Amadeus 
COMMENDATORE	 And that one, too!	SOPRANO	 (singing) Oil me! Broil me! Boil me!	SOPRANO	 (from inside the pot) Soil me! Foil me! Spoil me!	HORSE	 I can't eat her. Sopranos give me hiccups. I want some hay!	Amadeus 
HORSE	 I can't eat her. Sopranos give me hiccups. I want some hay!	FIRST LADY	 (singing to Schikaneder) Hey!	SECOND LADY	 (singing to Schikaneder) Hey!	THIRD LADY	 (singing to Schikaneder) Hey!	Amadeus 
FIRST LADY	 (singing to Schikaneder) Hey!	SECOND LADY	 (singing to Schikaneder) Hey!	THIRD LADY	 (singing to Schikaneder) Hey!	SCHIKANEDER	 Hey what?	Amadeus 
SECOND LADY	 (singing to Schikaneder) Hey!	THIRD LADY	 (singing to Schikaneder) Hey!	SCHIKANEDER	 Hey what?	ALL THREE LADIES	 (singing to La oi daram) Give him some hay, my darling, and I'll give you my heart!	Amadeus 
SCHIKANEDER	 Hey what?	ALL THREE LADIES	 (singing to La oi daram) Give him some hay, my darling, and I'll give you my heart!	COMMENDATORE	 Shut up.	SCHIKANEDER	 Leporello! We want some hay - prestissimo! Leporello - where are you?	Amadeus 
SCHIKANEDER	 Leporello! We want some hay - prestissimo! Leporello - where are you?	FIRST LADY	 (singing to horse) Behold!	SECOND LADY	 (singing to horse) Behold!	THIRD LADY	 (singing to horse) Behold!	Amadeus 
FIRST LADY	 (singing to horse) Behold!	SECOND LADY	 (singing to horse) Behold!	THIRD LADY	 (singing to horse) Behold!	COMMENDATORE	 (holding on) Hey! Hey! Watch out!	Amadeus 
