LUCY (O.S.)	 (over answering machine; sweet, British, slightly desperate) Joe, it's Lucy.  Remember me?  It's the black sheep here.  Bah...not funny. Haven't heard from you, need you, call me.  Love you madly.  Hi, Sally.  Joe, I'd love to talk to you before I go...	JOE	 Go where?	LUCY (O.S.)	 (over answering machine) It's a damn nuisance you aren't here, big brother.  Sorry I drone on.  I miss you. I lo--			Anniversary Party, The 
JOE	 (sotto) Well, not me, to be honest.	JERRY	 (sotto) Don't fuck up again.  It's got a ripple effect.  Sally suffers, we all suffer.	JUDY	 (offers) We have a gift?	JOE	 Thanks, I'll take that.  Champagne?	Anniversary Party, The 
JERRY	 (sotto) Don't fuck up again.  It's got a ripple effect.  Sally suffers, we all suffer.	JUDY	 (offers) We have a gift?	JOE	 Thanks, I'll take that.  Champagne?	JUDY	 Lovely.	Anniversary Party, The 
JUDY	 Lovely.	JERRY	 (a moment, to Sally) We closed.	SALLY	 Fantastic. (takes his hand) Out here.	JUDY	 (finally, to no one, and to no response) The house looks beautiful, are those hydrangeas?	Anniversary Party, The 
JERRY	 (a moment, to Sally) We closed.	SALLY	 Fantastic. (takes his hand) Out here.	JUDY	 (finally, to no one, and to no response) The house looks beautiful, are those hydrangeas?			Anniversary Party, The 
SALLY	 Fantastic. (takes his hand) Out here.	JUDY	 (finally, to no one, and to no response) The house looks beautiful, are those hydrangeas?					Anniversary Party, The 
JERRY	 I worry because you don't.  It's my job. I'm feeling guilty.  I would've liked it if you waited until the two of you were on more solid ground.	SALLY	 (direct, simple) We couldn't be on more solid ground.	JERRY	 Whatever you say.  Listen, I love you.	JOE (O.S.)	 Otis!  No barking!	Anniversary Party, The 
JOE (O.S.)	 Otis!  No barking!	SALLY	 (touched) And Joe's huge in Europe.  He's like a rock star in London.  His novels sell millions.	JERRY	 Not millions.	SALLY	 He's directing now.	Anniversary Party, The 
JERRY	 There's still time to undo this.	SALLY	 (kisses his cheek) We'll be fine.	JERRY	 (re: barking dog) Did you invite them?	SALLY	 The Roses?  And of course they said yes.	Anniversary Party, The 
SALLY	 (kisses his cheek) We'll be fine.	JERRY	 (re: barking dog) Did you invite them?	SALLY	 The Roses?  And of course they said yes.	JERRY	 That was the plan.  And you're thrilled to have them.	Anniversary Party, The 
SALLY	 Scout's honor.	JERRY	 Before I forget. (pulls a novel from his briefcase) Put it on the bookshelf.	SALLY	 You're out of your mind.	JERRY	 Just do what I say, alright?	Anniversary Party, The 
JOE	 (to fill the silence, conspiratorial grin) I love gifts.  What did you guys get us?	JUDY	 (chokes on the champagne) Nothing that can't be exchanged.	JOE	 Oh.  Well.  Good.	JUDY	 Congratulations on the deal.  How exciting.  Is Sally doing Sally?  I mean it's Sally.  The character that's based on Sally.  The character that's based on Sally in the book.	Anniversary Party, The 
JOE	 Yes, she is.	JUDY	 (trying harder) But I am right, yes?  She's based on Sally.	JOE	 It's a novel.	JUDY	 Still.  Well.  Let's drop it.	Anniversary Party, The 
JOE	 No.	JUDY	 It's very good. (a moment) I understand you won the Booker Prize.	JOE	 Yes I did.	JUDY	 (another moment) Is your script much like the novel? Jerry says it's very good.  But you know, you read the novel, and then you see the movie - and most of the time you say, "what's this?" You know?  I sometimes think we're better off not reading the novel at all.  Because, we come with expectations... and of course, we know where we're going.  Don't you find?	Anniversary Party, The 
JOE	 Yes I did.	JUDY	 (another moment) Is your script much like the novel? Jerry says it's very good.  But you know, you read the novel, and then you see the movie - and most of the time you say, "what's this?" You know?  I sometimes think we're better off not reading the novel at all.  Because, we come with expectations... and of course, we know where we're going.  Don't you find?	JOE	 Don't I find what?	JUDY	 I don't know why Joe, we've known each other how long...	Anniversary Party, The 
JOE	 Not long.	JUDY	 (benign) Don't be silly.	JOE	 Joking.	JUDY	 Yes I know.  I started to say... I started to say Joe that --	Anniversary Party, The 
SOPHIA	 I'm the wife.  We've met.	JERRY	 (hugs her) You, I know.	SALLY	 (to Evie) Hey, beautiful girl.	SOPHIA	 (a grin) Jack?  Jack, you promised.	Anniversary Party, The 
JERRY	 (hugs her) You, I know.	SALLY	 (to Evie) Hey, beautiful girl.	SOPHIA	 (a grin) Jack?  Jack, you promised.	JACK	 (sings) Happy anniversary to you.  We're glad Joe came home.  Don't split up again.  Cause we like the food.	Anniversary Party, The 
SALLY	 (to Evie) Hey, beautiful girl.	SOPHIA	 (a grin) Jack?  Jack, you promised.	JACK	 (sings) Happy anniversary to you.  We're glad Joe came home.  Don't split up again.  Cause we like the food.	JOE	 (in the archway) Jack.  Did you compose that yourself?	Anniversary Party, The 
SOPHIA	 (a grin) Jack?  Jack, you promised.	JACK	 (sings) Happy anniversary to you.  We're glad Joe came home.  Don't split up again.  Cause we like the food.	JOE	 (in the archway) Jack.  Did you compose that yourself?	CAL	 Absolutely.	Anniversary Party, The 
JACK	 (sings) Happy anniversary to you.  We're glad Joe came home.  Don't split up again.  Cause we like the food.	JOE	 (in the archway) Jack.  Did you compose that yourself?	CAL	 Absolutely.	JOE	 Had a little help?	Anniversary Party, The 
JUDY	 No, I don't think so.	JERRY	 (to Cal) Congratulations on the Academy Award. Great performance.  Really warranted.	SOPHIA	 He thought so.	JERRY	 Sally always manages to get robbed.	Anniversary Party, The 
JERRY	 Sally always manages to get robbed.	SALLY	 (a mortified grin) Enough about me.	SOPHIA	 Evie has a little something for you.	SOPHIA (CONT'D)	 You do.	Anniversary Party, The 
SOPHIA (CONT'D)	 You do.	EVIE	 (even) I don't think so.	SALLY	 Since when are you so shy?	EVIE	 (her mother's daughter) Never.	Anniversary Party, The 
SALLY	 Since when are you so shy?	EVIE	 (her mother's daughter) Never.	SOPHIA	 (bright smile) Honey, we have gifts for you and all sorts of surprises.  Where is America?  I know she's here somewhere.	JOE	 I'll take them.	Anniversary Party, The 
EVIE	 (her mother's daughter) Never.	SOPHIA	 (bright smile) Honey, we have gifts for you and all sorts of surprises.  Where is America?  I know she's here somewhere.	JOE	 I'll take them.	SOPHIA	 No, I have a little talking to do with America.  Privately.  I'll find her.	Anniversary Party, The 
SOPHIA	 No, I have a little talking to do with America.  Privately.  I'll find her.	SALLY	 (to Sophia) In the kitchen.	JOE	 Who'd like to go and find Otis?	EVIE	 Me!	Anniversary Party, The 
JUDY	 The infamous dog?	JOE	 He's the best dog in the world. (to Judy) They're both coming tonight.  Not my idea.	JUDY	 Ours.	JOE	 It's Jerry's worst idea.	Anniversary Party, The 
CAL	 What's that?	JOE	 The neighbors from hell.  The kind that lay in wait.  I'd rather move actually. Wouldn't I? (to Sally) Wouldn't I?	SALLY	 (small smile) Yes.	JOE	 (to the kids) Okay.  Last one to find Otis is a smelly old bum.	Anniversary Party, The 
JOE	 The neighbors from hell.  The kind that lay in wait.  I'd rather move actually. Wouldn't I? (to Sally) Wouldn't I?	SALLY	 (small smile) Yes.	JOE	 (to the kids) Okay.  Last one to find Otis is a smelly old bum.			Anniversary Party, The 
SALLY	 (small smile) Yes.	JOE	 (to the kids) Okay.  Last one to find Otis is a smelly old bum.					Anniversary Party, The 
JOE	 He'll run next door into their backyard and he'll bark and bark and bark and eat their pitbull for his dinner.  Is it a pitbull?	RYAN	 (not amused) No, actually.	JOE	 (to Jack) Oh whatever.  We don't want that to happen, do we?	JACK	 No?	Anniversary Party, The 
RYAN	 (not amused) No, actually.	JOE	 (to Jack) Oh whatever.  We don't want that to happen, do we?	JACK	 No?	RYAN	 It's a rottweiler, actually. (to Jack) I don't think our rottweiler is in any danger, Jack.	Anniversary Party, The 
JACK	 No?	RYAN	 It's a rottweiler, actually. (to Jack) I don't think our rottweiler is in any danger, Jack.	JOE	 Well, Jack and I are very relieved.	RYAN	 I thought this was a party.  Are we going to talk about the dog thing?	Anniversary Party, The 
MONICA	 Please, Ryan.	JOE	 (kisses her cheek and shakes his hand) No, he's absolutely right.  You're absolutely right, Ryan.  Dog talk must be banned.  Canine conversations are completely discouraged... it's really good of you to join us.  Can I get you a drink?	RYAN	 Not for me, thanks.	MONICA	 (checks with Ryan) Something soft.	Anniversary Party, The 
RYAN	 Not for me, thanks.	MONICA	 (checks with Ryan) Something soft.	JOE	 Right away.  Are you sure you wouldn't like something soft, Ryan?	RYAN	 I'm sure, yes.	Anniversary Party, The 
RYAN	 Yes.	SALLY	 (a deep breath) Well, so glad you decided to come.	MONICA	 We could hardly say no.	SALLY	 Oh?	Anniversary Party, The 
MONICA	 Ryan.	RYAN	 (to Joe) I'm sure you understand.	SALLY	 Well the neighborhood is full of dogs, and it's not always Otis.	RYAN	 Well today it was Otis.  And you should keep him away from our yard.  Because Sheila will defend herself.	Anniversary Party, The 
MONICA	 Ryan!	SALLY	 (cuts off response from Joe; to Ryan) Are you working on a new book?	RYAN	 (caught short; flattered) Well, yes, actually.	MONICA	 He always has two or three going...	Anniversary Party, The 
SALLY	 (cuts off response from Joe; to Ryan) Are you working on a new book?	RYAN	 (caught short; flattered) Well, yes, actually.	MONICA	 He always has two or three going...	SALLY	 Really?  Joe can't manage more than one at a time.  With huge gaps in between.	Anniversary Party, The 
MAC	 You lose this?	JOE	 (re: Otis) Ah there's our snookums now.	RYAN	 Yes, well, but I haven't won a Booker either.  Or the Whitebread.	MAC	 The gate was open.	Anniversary Party, The 
MAC	 The gate was open.	SALLY	 Well, not yet. (she reacts to Mac) The gate was open?	JOE	 It's taken care of.	MONICA	 I think Ryan needs a new publisher.  I think he's outgrown him.  They're just not doing their job.	Anniversary Party, The 
SALLY	 I did it.	JOE	 (comes on them with the Forsythes in tow) She rarely cops to it. (kisses Sally's cheek) Otis is home.	CLAIR	 (re: the gifts) Where can I put these?	CLAIR (CONT'D)	 What a fucking day!  We only just got a sitter.  I don't know her from fucking Adam.  She could be a serial killer.  I'm going to have to call every ten minutes. You have to let me give out the number.	Anniversary Party, The 
JOE	 (comes on them with the Forsythes in tow) She rarely cops to it. (kisses Sally's cheek) Otis is home.	CLAIR	 (re: the gifts) Where can I put these?	CLAIR (CONT'D)	 What a fucking day!  We only just got a sitter.  I don't know her from fucking Adam.  She could be a serial killer.  I'm going to have to call every ten minutes. You have to let me give out the number.	SALLY	 Of course.	Anniversary Party, The 
SALLY	 This is Monica and Ryan.  Mac and Clair.	CLAIR	 (a wide professionally ingratiating smile) So nice...	MONICA	 And for us... Truly.	CLAIR	 Well...	Anniversary Party, The 
MONICA	 You will never know.	CLAIR	 (pleased) Oh. (to Sally) I have a four-thirty call.  AM.  So we may have to leave early.	SALLY	 Why didn't you bring him?	CLAIR	 What?	Anniversary Party, The 
SALLY	 Why didn't you bring him?	CLAIR	 (searches) He's allergic.	SALLY	 Oh.	CLAIR	 To dander.  Otis.	Anniversary Party, The 
CLAIR	 They can tell from the eyelashes, you know?  He's got eyelashes yay long.  They must be a foot long.  The older you are when you have a baby, the more likely this stuff is to crop up.	SALLY	 (muted) Oh.	CLAIR	 So they tell me.  Not soon enough, of course. (kisses her cheek) How are you, Sal?  You look fantastic. It changes your life, you know.  A baby. It puts everything in perspective, doesn't it.  Doesn't it, Mac?  You can't be the center of your own world, anymore.	MAC	 (as grounded as Clair isn't) It's an object lesson in grace. (on seeing Cal Gold on the back porch) Wow!  Look who's here before me!  My leading man is on time for once.	Anniversary Party, The 
SALLY	 (muted) Oh.	CLAIR	 So they tell me.  Not soon enough, of course. (kisses her cheek) How are you, Sal?  You look fantastic. It changes your life, you know.  A baby. It puts everything in perspective, doesn't it.  Doesn't it, Mac?  You can't be the center of your own world, anymore.	MAC	 (as grounded as Clair isn't) It's an object lesson in grace. (on seeing Cal Gold on the back porch) Wow!  Look who's here before me!  My leading man is on time for once.	CAL	 (at the piano) Those who can't direct.	Anniversary Party, The 
CLAIR	 So they tell me.  Not soon enough, of course. (kisses her cheek) How are you, Sal?  You look fantastic. It changes your life, you know.  A baby. It puts everything in perspective, doesn't it.  Doesn't it, Mac?  You can't be the center of your own world, anymore.	MAC	 (as grounded as Clair isn't) It's an object lesson in grace. (on seeing Cal Gold on the back porch) Wow!  Look who's here before me!  My leading man is on time for once.	CAL	 (at the piano) Those who can't direct.	MAC	 Fuck you.	Anniversary Party, The 
MAC	 (as grounded as Clair isn't) It's an object lesson in grace. (on seeing Cal Gold on the back porch) Wow!  Look who's here before me!  My leading man is on time for once.	CAL	 (at the piano) Those who can't direct.	MAC	 Fuck you.			Anniversary Party, The 
CAL	 Are those our dailies?  You're totally outrageous.  It's their anniversary.  Is nothing sacred!  Well...so...how am I?	MAC	 (laughing) Oh man, you are so fucking funny in the kitchen scene.	CAL	 I liked the third take, the accidental disaster with the silverware.	MAC	 Nothing you do is accidental...	Anniversary Party, The 
TIGHT CLOSE		GINA	 (re: the cameras) I'm the hired help.	JOE	 (affectionate) Fuck you.	GINA	 I never put myself in harm's way.	Anniversary Party, The 
GINA	 (re: the cameras) I'm the hired help.	JOE	 (affectionate) Fuck you.	GINA	 I never put myself in harm's way.	JOE	 Anymore.	Anniversary Party, The 
SALLY	 And here they are!	SOPHIA	 And she was saying how happy you were to finally have them over.  Because you're both, so, what - introspective?  And you should have done it ages ago.  I'm Sophia Gold. (rescuing Sally) Come meet my husband, Cal.	MONICA	 Cal Gold?	SOPHIA	 The very one.  And you are...	Anniversary Party, The 
SALLY	 Like Joe.	SOPHIA	 Hmm. (to Sally) Where are my kids?	SALLY	 In the guest room.  I've laid out a paint table for them.	SOPHIA	 I hope they're watercolors!	Anniversary Party, The 
SALLY	 Nevermind.	SOPHIA	 (to Monica) Would you like to meet my husband?	MONICA	 I'd be thrilled.	SOPHIA	 Then he'll be thrilled.	Anniversary Party, The 
SOPHIA	 Then he'll be thrilled.	JOE	 (re: Sophia, appreciative) She's such pure evil.	SALLY	 Thanks for coming.	GINA	 Happy anniversary.  You're a good match, you two. (to Joe) Can you help me with this stuff?	Anniversary Party, The 
SALLY	 Thanks for coming.	GINA	 Happy anniversary.  You're a good match, you two. (to Joe) Can you help me with this stuff?	JOE	 (re: one of her bags) That for us?	GINA	 What a nose.  You missed your calling.	Anniversary Party, The 
GINA	 Happy anniversary.  You're a good match, you two. (to Joe) Can you help me with this stuff?	JOE	 (re: one of her bags) That for us?	GINA	 What a nose.  You missed your calling.	JOE	 Can I open it?	Anniversary Party, The 
JOE	 Can I open it?	GINA	 (defers) Sally?	JOE	 Please?	SALLY	 He's impossible.  Go on then.	Anniversary Party, The 
SOPHIA	 You look so well, Clair.  A wraith.	CLAIR	 (pleased) You think so!?  I've been working out a lot since the baby. And I've been working.  And that takes it's toll, you know.	SOPHIA	 I'm glad that's all over for me.	CLAIR	 Don't you miss it?	Anniversary Party, The 
SOPHIA	 You should have brought him.	CLAIR	 (shrugs) Dander.  He's allergic.  Otis.	SOPHIA	 Oh.  Do you have any pictures?	CLAIR	 Pictures.  They're always in my tote.  I left my tote in the damn trailer.  But! He's Mac all over again.  Imagine Mac shrunk to two-and-a-half feet.  The fact is they probably didn't even need me for this birth.	Anniversary Party, The 
CLAIR	 I'll change back before we leave.	SALLY	 (pointed) Whatever you like.  I'm afraid it'll all be too big for you. (a moment) Are you alright, Clair?	CLAIR	 I'm fine.  I'm fine.  Well, I'm a little stressed.  And I've been taking pills to get my weight down since the baby.	SALLY	 I'd say it was down.	Anniversary Party, The 
SALLY	 You want a Tylenol, or something?	CLAIR	 I'd love a Xanex. (a moment) Sally, please don't tell Sophia that I'm not breast feeding.	SALLY	 Why would she care?	CLAIR	 You know Sophia.  She's so damned judgemental.  And she's so damned... perfect.  And so fucking... serene.  Just fucking don't tell her.  Because you know Mac thinks she's God.  And I can feel him comparing.	Anniversary Party, The 
JOE	 (opens the door) Panes!  How are you?	PANES	 Oh, you know, I am.	JOE	 Has she called?			Anniversary Party, The 
SALLY	 Panes is here!	PANES	 (gives everyone a shy, pained little wave) Oh great.	EVERYONE	 Panes!	MONICA/RYAN	 (a little late; into silence) Panes.	Anniversary Party, The 
EVERYONE	 Panes!	MONICA/RYAN	 (a little late; into silence) Panes.	TIGHT CLOSE - SKYE DAVIDSON		SKYE	 Hi.	Anniversary Party, The 
SKYE	 Hi.	JOE	 (his face lights up) Skye!	SKYE	 You're Joe, aren't you? (nods knowingly) I recognized you from the book jacket.	JOE	 How do you do, Skye?	Anniversary Party, The 
JOE	 (his face lights up) Skye!	SKYE	 You're Joe, aren't you? (nods knowingly) I recognized you from the book jacket.	JOE	 How do you do, Skye?	SKYE	 Oh, I love that. (throws arms around him) I'm just great.  I'm so happy to be here. And I apologize for invading you.  And I'm so happy you asked me to.  I'm so touched.  I know how private you and Sally are.	Anniversary Party, The 
JOE	 How do you do, Skye?	SKYE	 Oh, I love that. (throws arms around him) I'm just great.  I'm so happy to be here. And I apologize for invading you.  And I'm so happy you asked me to.  I'm so touched.  I know how private you and Sally are.	JOE	 (uncomfortable) Yeah, well, it's just us and a few hundred of our closest friends.	SKYE	 (genuine) When I read your work I felt that you knew me.  Women must tell you that.  And this one in particular speaks to me, do you know?  I am Genna.  How many women must tell you that.  And the script is wonderful.  Wonderful and lean and visual...	Anniversary Party, The 
SKYE	 Oh, I love that. (throws arms around him) I'm just great.  I'm so happy to be here. And I apologize for invading you.  And I'm so happy you asked me to.  I'm so touched.  I know how private you and Sally are.	JOE	 (uncomfortable) Yeah, well, it's just us and a few hundred of our closest friends.	SKYE	 (genuine) When I read your work I felt that you knew me.  Women must tell you that.  And this one in particular speaks to me, do you know?  I am Genna.  How many women must tell you that.  And the script is wonderful.  Wonderful and lean and visual...	JOE	 I'm so happy you like it.  I'm so relieved you said yes, and I'm really, um, what, thrilled, yes actually, to finally meet you.	Anniversary Party, The 
JOE	 (uncomfortable) Yeah, well, it's just us and a few hundred of our closest friends.	SKYE	 (genuine) When I read your work I felt that you knew me.  Women must tell you that.  And this one in particular speaks to me, do you know?  I am Genna.  How many women must tell you that.  And the script is wonderful.  Wonderful and lean and visual...	JOE	 I'm so happy you like it.  I'm so relieved you said yes, and I'm really, um, what, thrilled, yes actually, to finally meet you.	SKYE	 You're going to be a remarkable director, a brilliant director.	Anniversary Party, The 
SKYE	 You're going to be a remarkable director, a brilliant director.	JOE	 (finally) I think you're my first Goddess.	PANES	 She's even better looking in the flesh.	SALLY	 Really?  I need a drink.  Come hide with me.	Anniversary Party, The 
SALLY	 You know it's true.	SKYE	 (stuck) Oh my God, sorry.  I'm interrupting.	SALLY	 I'll be right out.	PANES	 (over Sally) Come on in.	Anniversary Party, The 
SALLY	 I'll be right out.	PANES	 (over Sally) Come on in.	SKYE	 I'm in the same room with Sally Nash.  Oh my God.  You're my icon.  I've been watching your films since I was a little girl.  Like, four years ago I followed you all around the Beverly Center - at least half a day, working up the courage to introduce myself.	SALLY	 I don't think I ever spent half a day in the Beverly Center.	Anniversary Party, The 
PANES	 No, never.	SALLY	 (overlapping Panes) Everyday.	PANES	 I'm Levi Panes.  Will you excuse us, Skye?  It's time for Sally's meds.	SALLY	 It's nice to meet you... again.	Anniversary Party, The 
SALLY	 It's nice to meet you... again.	SKYE	 (to America) Oh my God, she remembers me!					Anniversary Party, The 
SALLY	 (under her breath) Thank you, thank you, thank you.	CLAIR	 (on the way down; a dream in white) My God, your wardrobe is incredible.  It took me forever to decide.  Oh, and I found Dr. X, thank you.  You saved my life.	SALLY	 (a moment; sotto) Shit!	PANES	 (re: the dress) I'd cut off her red wine if I were you.	Anniversary Party, The 
CLAIR	 (on the way down; a dream in white) My God, your wardrobe is incredible.  It took me forever to decide.  Oh, and I found Dr. X, thank you.  You saved my life.	SALLY	 (a moment; sotto) Shit!	PANES	 (re: the dress) I'd cut off her red wine if I were you.	SALLY	 Shit.  It's my Galiano.	Anniversary Party, The 
SALLY	 (a moment; sotto) Shit!	PANES	 (re: the dress) I'd cut off her red wine if I were you.	SALLY	 Shit.  It's my Galiano.	PANES	 What does that mean?	Anniversary Party, The 
GINA	 (regards him) Directing suits you.	JOE	 I'm not so sure.  Look again in three months.	GINA	 It must be nice having so many strangers kiss your ass all of a sudden.			Anniversary Party, The 
JOE	 When does he graduate high school?	GINA	 (laughing) Oh, very jealous.	GINA (CONT'D)	 I saw Lucy when I was in London, she seems okay.  It's hard to tell with her.	JOE	 Shit, I forgot to call her back.  She's off on a trip somewhere.  Oh God, my grandad's flat in London's been sold.	Anniversary Party, The 
PANES	 Why don't you go fuck yourself?	SALLY	 (laughs) No.  Really.  For real.  Really.	PANES	 I'm worried about your Galiano.	SALLY	 (slaps him) You're a shit.	Anniversary Party, The 
PANES	 I'm worried about your Galiano.	SALLY	 (slaps him) You're a shit.	PANES	 No, really, five thousand with your discount.	PANES (CONT'D)	 You hurt, you know.  You're stronger than you think.	Anniversary Party, The 
SALLY	 Nothing's wrong.  It's great, okay? Having the time of my life.  Mac's a fantastic director.  And what can anyone say about Cal that hasn't been said.  And it's great working with friends, blah blah blah.	PANES	 (a moment; little smile) Um.  Happy for you.	SALLY	 Thanks.	PANES	 So tell me, how's it going?	Anniversary Party, The 
PANES	 Yes, you're a monster.	SALLY	 (a moment) Thank you, Panes.	PANES	 You don't need to thank me.	SALLY	 (another moment) We're going to have to go back out there.	Anniversary Party, The 
PANES	 You don't need to thank me.	SALLY	 (another moment) We're going to have to go back out there.	PANES	 I guess.			Anniversary Party, The 
MEDIUM CLOSE		JEFFREY	 Let me. (pours for her) I'm Jeffrey.	MONICA	 Monica.	JEFFREY	 And you know our friends, how?	Anniversary Party, The 
JEFFREY	 We've heard lots about you.	MONICA	 (lost) You have?					Anniversary Party, The 
JUDY	 (smiles over at Ryan) Hi.	RYAN	 Hi.  A little close in there.	JUDY	 Yup.			Anniversary Party, The 
JOE	 You're an interior decorator, right?	MONICA	 (nods) Sally did all this herself?	JOE	 In fits and starts -- and then, later, of course, she had to accommodate me.  So things shifted a little bit then, became more eclectic.  And it keeps changing.	MONICA	 (somehow at a loss) Mmm.  It says something about the two of you maybe.	Anniversary Party, The 
JOE	 In fits and starts -- and then, later, of course, she had to accommodate me.  So things shifted a little bit then, became more eclectic.  And it keeps changing.	MONICA	 (somehow at a loss) Mmm.  It says something about the two of you maybe.	JOE	 Yeah, we're in a constant state of flux. (re: champagne) I see you've moved up from the soft stuff.	MONICA	 Oh, yes.  You know Ryan's been sober eight years.  And it's difficult if I... you know.  It's better if I don't.	Anniversary Party, The 
MONICA	 (somehow at a loss) Mmm.  It says something about the two of you maybe.	JOE	 Yeah, we're in a constant state of flux. (re: champagne) I see you've moved up from the soft stuff.	MONICA	 Oh, yes.  You know Ryan's been sober eight years.  And it's difficult if I... you know.  It's better if I don't.	JOE	 Uh-huh.	Anniversary Party, The 
MONICA	 But you're very private people.  You know, there's a kind of elitism...	JOE	 (pissed) Elitism?	MONICA	 The wrong word, maybe.  Delete that. And, you know, the dog barks incessantly.	JOE	 And you know, he really does not.	Anniversary Party, The 
JOE	 Scout's honor.	MONICA	 (grins) I'll be your best friend.	MONICA (CONT'D)	 Would you sign it for me. (digs for a pen) I'm sure this is inappropriate.	JOE	 We're way past inappropriate.	Anniversary Party, The 
JOE	 We're way past inappropriate.	MONICA	 (as he signs it) I'll treasure this.	JOE	 I need to leave you now.	MONICA	 I will treasure this.	Anniversary Party, The 
MONICA	 I will treasure this.	JOE	 (shouting down the hall) Sally!!!!					Anniversary Party, The 
SANFORD	 The Wind Up Bird Chronicle.	SALLY	 (turns to him) Ryan?	RYAN	 (pleased) I didn't know you had this.	SALLY	 Oh.  Well, yes.  It's extraordinary.  You think you could sign it for us?	Anniversary Party, The 
SALLY	 (turns to him) Ryan?	RYAN	 (pleased) I didn't know you had this.	SALLY	 Oh.  Well, yes.  It's extraordinary.  You think you could sign it for us?	RYAN	 Absolutely.  You always wonder where your books end up.  Why don't we use it?	Anniversary Party, The 
