WILLIAM	 - so Livia -	ELAINE	 -- killed everyone off so her son Tiberius could inherit the throne. (thoughtful pause) Just like Nixon.	ELAINE (CONT'D)	 Anita, is that you?	ANITA'S VOICE	 Hey Mom!  I already ate.	Almost Famous 
ELAINE	 What's a "Narc?"	ANITA	 (bleeding for her brother) A Narcotics Officer!	ELAINE	 Well what's wrong with that?	WILLIAM	 (ever the peacemaker) Come on you guys.  It's no big deal. I'm 12.  It's okay. She skipped me a grade, it's okay.  Big deal.   I'm a year younger.  They're 13, I'm 12 -- (beat) Aren't I?	Almost Famous 
ELAINE	 Well what's wrong with that?	WILLIAM	 (ever the peacemaker) Come on you guys.  It's no big deal. I'm 12.  It's okay. She skipped me a grade, it's okay.  Big deal.   I'm a year younger.  They're 13, I'm 12 -- (beat) Aren't I?	ELAINE	 (confessing, in a rush) I also put you in first grade when you were five and never told you.	WILLIAM	 (trembling) So...  I'm... how old?	Almost Famous 
WILLIAM	 (ever the peacemaker) Come on you guys.  It's no big deal. I'm 12.  It's okay. She skipped me a grade, it's okay.  Big deal.   I'm a year younger.  They're 13, I'm 12 -- (beat) Aren't I?	ELAINE	 (confessing, in a rush) I also put you in first grade when you were five and never told you.	WILLIAM	 (trembling) So...  I'm... how old?	ANITA	 You lied to him!  You make such a big deal about the truth and you lied!	Almost Famous 
ELAINE	 (confessing, in a rush) I also put you in first grade when you were five and never told you.	WILLIAM	 (trembling) So...  I'm... how old?	ANITA	 You lied to him!  You make such a big deal about the truth and you lied!	ELAINE	 (that one hurts) He never asked.	Almost Famous 
ANITA	 You lied to him!  You make such a big deal about the truth and you lied!	ELAINE	 (that one hurts) He never asked.	ANITA	 What -- like he's going to ask if he's as old as he thinks he is?  Don't you realize, this is going to scar him forever?	ELAINE	 Honey... sweetheart... don't be Cleopatra.  We have to be his mother and his Dad.	Almost Famous 
ANITA	 You put too much pressure on him!	WILLIAM	 (apprehensive) How... old...	ANITA	 And when he rebels in some strange and odd way, don't blame me.	WILLIAM	 ... am I?	Almost Famous 
WILLIAM	 ... am I?	ELAINE	 (matter of fact) I skipped you an extra grade.  You're eleven.	WILLIAM	 (horrified, voice crackling)	ELEVEN?		Almost Famous 
ELAINE	 (matter of fact) I skipped you an extra grade.  You're eleven.	WILLIAM	 (horrified, voice crackling)	ELEVEN?		ELAINE	 So you skipped fifth grade.  There's too  much padding In the grades.  I taught elementary school.  5th grade - unnecessary.  Nothing happens in the 5th grade.  All Teachers know it, no one talks about it.	Almost Famous 
ELAINE	 So you skipped fifth grade.  There's too  much padding In the grades.  I taught elementary school.  5th grade - unnecessary.  Nothing happens in the 5th grade.  All Teachers know it, no one talks about it.	WILLIAM	 (still in shock) E - leven.	ELAINE	 And you skipped kindergarten because I taught it to you when you were four.	WILLIAM	 (still horrified, looking at his body) This explains... so much...	Almost Famous 
ELAINE	 And you skipped kindergarten because I taught it to you when you were four.	WILLIAM	 (still horrified, looking at his body) This explains... so much...	ANITA	 You've robbed him of an adolescence!	ELAINE	 Adolescence is a marketing tool.	Almost Famous 
ANITA	 What about me?	ELAINE	 (heartbroken, can't help herself) You're rebellious and ungrateful of my love.	ANITA	 Well, somebody's gotta be normal around here!	WILLIAM	 (blinking, still can't believe it)	Almost Famous 
ANITA	 Well, somebody's gotta be normal around here!	WILLIAM	 (blinking, still can't believe it)					Almost Famous 
BANGS	 You like the new Lou Reed?	WILLIAM	 (automatic) The early stuff.  The new stuff, he's trying to be Bowie, he should be himself.  I'm not a big Lou man.	BANGS	 Yeah, but if Bowie's doing Lou, and Lou's Doing Bowie, Lou's still doing Lou.	WILLIAM	 (standing his ground) If you like Lou.	Almost Famous 
BANGS	 Yeah, but if Bowie's doing Lou, and Lou's Doing Bowie, Lou's still doing Lou.	WILLIAM	 (standing his ground) If you like Lou.	BANGS	 Take drugs?	WILLIAM	 No.	Almost Famous 
BANGS	 And that's what they want!  And it's happening right now.  I'm telling you, you're coming along at a very dangerous time for rock and roll.  The war is over.  They won.  99% of what passes for rock now... SILENCE is much more compelling.  It's over.  I think you should turn around and go back and be... a lawyer or something... but I can see from your face that you won't. I can pay you thirty-five bucks.  Gimme a thousand words on Black Sabbath.	WILLIAM	 (attempting cool) An assignment.	LESTER	 Yeah.  And you should build your reputation on being honest... and unmerciful.	WILLIAM	 (writing in notebook) Honest... unmerciful...	Almost Famous 
LESTER	 Yeah.  And you should build your reputation on being honest... and unmerciful.	WILLIAM	 (writing in notebook) Honest... unmerciful...	BANGS	 And if you get into a jam -- call me. I stay up late.			Almost Famous 
WILLIAM	 All I have to do is listen.  That's what Lester Bangs said.	ELAINE	 (dryly) I'll be waiting right here at eleven 'o clock sharp.  If you get lost, use the family whistle.	ELAINE (CONT'D)	 (sweetly, too loud) Don't take drugs!!	HAPPY CONCERT GOERS	 Don't take drugs!!	Almost Famous 
SCOTTY	 You're not on the list.   Go to the top of the ramp with the girls!	WILLIAM	 (in a rush) What-happens-after-I-go-to-the-top-of- the-ramp with-the-gi -					Almost Famous 
ESTRELLA	 Who are you with?	WILLIAM	 (embarrassed to be alive) Me?  I'm with myself.	ESTRELLA	 No, who are you with?  What band?	WILLIAM	 I'm here to interview Black Sabbath. (beat) I'm a journalist.  I'm not a... you know...	Almost Famous 
ESTRELLA	 No, who are you with?  What band?	WILLIAM	 I'm here to interview Black Sabbath. (beat) I'm a journalist.  I'm not a... you know...	PENNY LANE	 ... you're not a what?	WILLIAM	 (enthralled) Oh... I'm just... not a... you know.	Almost Famous 
PENNY LANE	 ... you're not a what?	WILLIAM	 (enthralled) Oh... I'm just... not a... you know.	PENNY LANE	 Not a "what"?	WILLIAM	 (charmed) You know.  A "groupie."	Almost Famous 
PENNY LANE	 Not a "what"?	WILLIAM	 (charmed) You know.  A "groupie."	ESTRELLA	 Ohhh!	WILLIAM	 Sorry, I -	Almost Famous 
WILLIAM	 Okay.  Well, see, now I get the difference.	POLEXIA	 (the usual greeting) It's all happening.  It's all happening.	ESTRELLA	 Polexia!!   Did you tell Sabbath we were going to be here?	POLEXIA	 I talked to Dick with Stillwater, I talked with Sabbath.  They're all dying to see us.   It's all happening.	Almost Famous 
ESTRELLA (CONT'D)	 I think I saw Sapphire in there.	POLEXIA	 (can't hold it in any longer) Okay.  I was with Ian Hunter all night at Rodney's Last night.  Wanna see his spoo?  I saved it in a baggie.	ESTRELLA	 (peering into purse) I'm really happy he's doing so well.	PENNY	 (regarding what's in purse) Yeah.  I know he's such a talented guy.  I mean, look at him.  Who deserves it more?	Almost Famous 
POLEXIA	 (can't hold it in any longer) Okay.  I was with Ian Hunter all night at Rodney's Last night.  Wanna see his spoo?  I saved it in a baggie.	ESTRELLA	 (peering into purse) I'm really happy he's doing so well.	PENNY	 (regarding what's in purse) Yeah.  I know he's such a talented guy.  I mean, look at him.  Who deserves it more?	POLEXIA	 (looking in purse) Nobody -- he's so sweet.	Almost Famous 
ESTRELLA	 (peering into purse) I'm really happy he's doing so well.	PENNY	 (regarding what's in purse) Yeah.  I know he's such a talented guy.  I mean, look at him.  Who deserves it more?	POLEXIA	 (looking in purse) Nobody -- he's so sweet.	ESTRELLA	 (with compassion) Don't you just root for him, you know. To go that little distance between good and great?	Almost Famous 
PENNY	 (regarding what's in purse) Yeah.  I know he's such a talented guy.  I mean, look at him.  Who deserves it more?	POLEXIA	 (looking in purse) Nobody -- he's so sweet.	ESTRELLA	 (with compassion) Don't you just root for him, you know. To go that little distance between good and great?	PENNY	 Wait.  That's not his.  I would know his.	Almost Famous 
POLEXIA	 (looking in purse) Nobody -- he's so sweet.	ESTRELLA	 (with compassion) Don't you just root for him, you know. To go that little distance between good and great?	PENNY	 Wait.  That's not his.  I would know his.	BAM -- THE BACKSTAGE DOOR OPENS		Almost Famous 
BAM -- THE BACKSTAGE DOOR OPENS		SAPPHIRE	 Does anybody remember laugh-tah? (as they turn) Come and GET 'EM!	SCOTTY	 Oh no.  Not this one --	SAPPHIRE	 (off William) Who brought Opie?	Almost Famous 
SCOTTY	 Oh no.  Not this one --	SAPPHIRE	 (off William) Who brought Opie?	PENNY	 He's with us.	SCOTTY	 (hand blocking William) He wasn't with you.	Almost Famous 
PENNY	 He's with us.	SCOTTY	 (hand blocking William) He wasn't with you.	SAPPHIRE	 (to Scotty) Are you going to turn this into a Thing?	SCOTTY	 All of you can wait outside!  Top of the ramp!	Almost Famous 
SCOTTY	 (hand blocking William) He wasn't with you.	SAPPHIRE	 (to Scotty) Are you going to turn this into a Thing?	SCOTTY	 All of you can wait outside!  Top of the ramp!	WILLIAM	 I don't want to cause a Thing.  I'll wait.	Almost Famous 
WILLIAM	 I don't want to cause a Thing.  I'll wait.	PENNY	 (privately, to William) I'll go take care of this.	DICK	 Let us in, we're Stillwater!  We're on the show!!	WILLIAM	 (to Dick) Hi, I'm a journalist.  I write for Creem Magazine.	Almost Famous 
DICK	 Let us in, we're Stillwater!  We're on the show!!	WILLIAM	 (to Dick) Hi, I'm a journalist.  I write for Creem Magazine.	JEFF	 The enemy!  A rock writer!	WILLIAM	 (struggling forward) I'd like to interview you or someone from the band.	Almost Famous 
JEFF	 The enemy!  A rock writer!	WILLIAM	 (struggling forward) I'd like to interview you or someone from the band.	DICK	 (busy, running behind) I'm sorry but could you please fuck off?	WILLIAM	 Okay.  Okay.  I could do that.	Almost Famous 
WILLIAM	 (struggling forward) I'd like to interview you or someone from the band.	DICK	 (busy, running behind) I'm sorry but could you please fuck off?	WILLIAM	 Okay.  Okay.  I could do that.	JEFF	 You guys never listened to our records. You're all just frustrated musicians. Do you know what your magazine SAID about us?  What was it - "the singer's incessant cater walling distracts From an assault with no clear purpose."	Almost Famous 
JEFF	 You guys never listened to our records. You're all just frustrated musicians. Do you know what your magazine SAID about us?  What was it - "the singer's incessant cater walling distracts From an assault with no clear purpose."	LARRY	 (in background) That was Rolling Stone.	RUSSELL	 Yeah.  Okay.  Fuck off anyway.  We play for fans, not critics.	WILLIAM	 Russell.  Jeff.  Ed.   Larry. (can't help it) I really love your band.   I think the song "Fever Dog" is a big step forward for you guys.  I think you guys producing it yourselves, instead of Glyn Johns, was the right thing to do. And the guitar sound was incendiary. (gestures with fist) Way to go.	Almost Famous 
RUSSELL	 Yeah.  Okay.  Fuck off anyway.  We play for fans, not critics.	WILLIAM	 Russell.  Jeff.  Ed.   Larry. (can't help it) I really love your band.   I think the song "Fever Dog" is a big step forward for you guys.  I think you guys producing it yourselves, instead of Glyn Johns, was the right thing to do. And the guitar sound was incendiary. (gestures with fist) Way to go.	RUSSELL	 (good humored, yelling) Well don't stop there.	JEFF	 Yeah, come back here!!  Keep going!	Almost Famous 
WILLIAM	 Russell.  Jeff.  Ed.   Larry. (can't help it) I really love your band.   I think the song "Fever Dog" is a big step forward for you guys.  I think you guys producing it yourselves, instead of Glyn Johns, was the right thing to do. And the guitar sound was incendiary. (gestures with fist) Way to go.	RUSSELL	 (good humored, yelling) Well don't stop there.	JEFF	 Yeah, come back here!!  Keep going!	SCOTTY	 Not this one.	Almost Famous 
RED DOG	 We're playing here tomorrow night.	JEFF	 (aside, to the kid) This is Red Dog, the Allman Brothers Band's number one roadie.	RUSSELL	 How're the guys?	RED DOG	 Havin a ball, man.  When we have a party, we have an Allman Brothers Band party.  Everybody boogies.  Everybody gets off.  It's family, man.  We all got These now. (flashes new mushroom tattoo on forearm) We'll see you guys in Boston, right? (specifically to Russell) Dicky and Gregg send you their love.	Almost Famous 
RUSSELL	 How're the guys?	RED DOG	 Havin a ball, man.  When we have a party, we have an Allman Brothers Band party.  Everybody boogies.  Everybody gets off.  It's family, man.  We all got These now. (flashes new mushroom tattoo on forearm) We'll see you guys in Boston, right? (specifically to Russell) Dicky and Gregg send you their love.					Almost Famous 
RUSSELL	 But we didn't do it for that!  We are here because we needed to fuckin be here, not just 'cause we needed to away from Troy, Michigan, WHICH WE DID... but what it all comes down to is that thing. The Indefinable Thing, when people catch something from your music, the thing you put into it.  I'm talking about... what am I talking about?	WILLIAM	 (elegantly) The buzz?	RUSSELL	 THE BUZZ!   And the chicks, the whatever, is an off-shoot of THE BUZZ. And like -- you saying you liked "Fever Dog?"   That is the fucking buzz, man. All we get are these fucking old-ass interviewers who don't understand, don't LISTEN, don't appreciate why we are here, which is the fuckin' BUZZ.	JEFF	 The next album will be even better. More texture.	Almost Famous 
RUSSELL (CONT'D)	 A song like "What's Going On."  That single "woo" at the end of the second verse - you know that woo - that single "woo."	WILLIAM	 (proudly) I know that, "woo."	RUSSELL	 (he does it) That's what you remember.  The silly things, the little things... there's only one, and it makes the song.  It's what you leave out.  That's rock and roll.	JEFF	 (impressed) We used to talk more about this stuff.	Almost Famous 
WILLIAM	 (proudly) I know that, "woo."	RUSSELL	 (he does it) That's what you remember.  The silly things, the little things... there's only one, and it makes the song.  It's what you leave out.  That's rock and roll.	JEFF	 (impressed) We used to talk more about this stuff.	RUSSELL	 Okay.  See, this is maybe the most honest we've ever been in an interview because you know our music.  You're the first press guy we've made friends with.  We don't normally talk like this to them.  And you're supposed to be The Enemy!  What are you - 18?	Almost Famous 
RUSSELL	 (he does it) That's what you remember.  The silly things, the little things... there's only one, and it makes the song.  It's what you leave out.  That's rock and roll.	JEFF	 (impressed) We used to talk more about this stuff.	RUSSELL	 Okay.  See, this is maybe the most honest we've ever been in an interview because you know our music.  You're the first press guy we've made friends with.  We don't normally talk like this to them.  And you're supposed to be The Enemy!  What are you - 18?	WILLIAM	 Yeah.	Almost Famous 
RUSSELL	 There you go.  Still young enough to be honest.	DICK	 (walkie talkie crackling) Ten minutes 'till showtime, anyone who isn't in the band -- out!	DICK (CONT'D)	 All this luggage is going to L.A.!			Almost Famous 
PENNY LANE	 I found you a pass.	WILLIAM	 (amped, distracted) Thanks.  I got in with Stillwater. (as he writes) The guitarist, Russel Hammond, he just thoroughly opened up.  He is by far the best and most honest interview I've ever done. (she nods) I've only done two, but you know. He's number one.	PENNY LANE	 You're learning.  They're much more fun on the way up.	PENNY LANE (CONT'D)	 How old are you?	Almost Famous 
WILLIAM	 Eighteen.	PENNY LANE	 Me too. (beat) How old are we really?	WILLIAM	 Seventeen.	PENNY LANE	 Me too.	Almost Famous 
PENNY LANE	 Me too.  Isn't it funny?  The truth just sounds Different.	WILLIAM	 (confesses) I'm 15.	PENNY LANE	 You want to know how old I really am?	WILLIAM	 (immediately) No.	Almost Famous 
PENNY LANE	 You want to know how old I really am?	WILLIAM	 (immediately) No.	WILLIAM (CONT'D)	 How did you get started in all this?	PENNY LANE	 It's a long story.	Almost Famous 
PENNY LANE	 It's a long story.	WILLIAM	 (quick study) Right.  Right.	PENNY LANE	 We live in the same city.  We should be friends.	RUSSELL	 The Enemy!	Almost Famous 
WILLIAM	 Russell, this is Penny Lane.	PENNY LANE	 (stepping into view) Pleasure.	RUSSELL	 Penny Lane?  Like the song, right?	PENNY LANE	 Have we met?	Almost Famous 
WILLIAM	 Well, I guess you've... you've met.	DICK	 Penny Lane!  God's gift to rock and roll!!  You're back! (privately) Marc Bolan.  Please.	RUSSELL	 Come on, let's go. (noting kid's shyness) Both of you.			Almost Famous 
DICK	 Penny Lane!  God's gift to rock and roll!!  You're back! (privately) Marc Bolan.  Please.	RUSSELL	 Come on, let's go. (noting kid's shyness) Both of you.					Almost Famous 
SHOT LOOKING UP AT THEM		DICK	 From Troy, Michigan.  Please welcome -- (importantly) Stillwater.					Almost Famous 
RUSSELL	 (privately) So.  You want to come up to L.A., we'll be at the "Riot House" all week.	WILLIAM	 "The Riot House?"	RUSSELL	 The Continental Hyatt House!  It's on Sunset Strip.			Almost Famous 
RUSSELL	 The Continental Hyatt House!  It's on Sunset Strip.	WILLIAM	 (attempting cool) Right.  Right.	DICK	 Let's blow this burg!	RUSSELL	 (exiting) Well tell your friend Miss Penny Lane to Call Me.  Tell her "It ain't California without her.  We want her around like last summer."   Say it like that.	Almost Famous 
DICK	 Let's blow this burg!	RUSSELL	 (exiting) Well tell your friend Miss Penny Lane to Call Me.  Tell her "It ain't California without her.  We want her around like last summer."   Say it like that.	WILLIAM	 Got it.	RUSSELL	 (returns, whispers) Oh, I'm under the name - Harry Houdini.	Almost Famous 
WILLIAM	 Got it.	RUSSELL	 (returns, whispers) Oh, I'm under the name - Harry Houdini.	JEFF	 (exiting, to William) The Enemy!!  Yeah!!    Come to L.A., we'll take some more.	WILLIAM	 Later Jeff!  See you, Dick.  Larry. Ed. (and now the roadies) Mick, Gregg, Red Dog, Scully, Frosty, Estrella, The Wheel!	Almost Famous 
RUSSELL	 (returns, whispers) Oh, I'm under the name - Harry Houdini.	JEFF	 (exiting, to William) The Enemy!!  Yeah!!    Come to L.A., we'll take some more.	WILLIAM	 Later Jeff!  See you, Dick.  Larry. Ed. (and now the roadies) Mick, Gregg, Red Dog, Scully, Frosty, Estrella, The Wheel!	ROADIES      DICK	 Laterrrr!    We'll see you down the line.	Almost Famous 
JEFF	 (exiting, to William) The Enemy!!  Yeah!!    Come to L.A., we'll take some more.	WILLIAM	 Later Jeff!  See you, Dick.  Larry. Ed. (and now the roadies) Mick, Gregg, Red Dog, Scully, Frosty, Estrella, The Wheel!	ROADIES      DICK	 Laterrrr!    We'll see you down the line.	WILLIAM		Almost Famous 
PENNY!		PENNY	 (calming him) Hey.  Hey.  Be cool.	WILLIAM	 You just missed Russell!  He says he's at the "Riot House" all week and to call him.  He's under the name Harry Houdini. Do you know about the "Riot House?"	PENNY LANE	 I think I've heard of it.	Almost Famous 
PENNY LANE	 I think I've heard of it.	WILLIAM	 He had a message for you!  He said, "It's not California without you.  We want you around like last summer." (consults notebook) Actually he said "ain't."  "It ain't California - "	PENNY LANE	 I get the gist.	WILLIAM	 How well do you guys know each other?	Almost Famous 
WILLIAM	 I think I live in a different world.	PENNY	 Speaking of the world.  I've made a decision. (a very serious secret) I'm going to live in Morocco for one year. I need a new crowd.	PENNY (CONT'D)	 Do you want to come?	WILLIAM	 Yes.	Almost Famous 
WILLIAM	 Yeah.  She and Mom are still sorta... I'd say "not speaking," but I don't know if they ever did.	DARRYL	 Your sister.  A stewardess. (nods to himself) The things your sister and I did inside these four walls...	WILLIAM	 That's okay.  I don't want to know. It's my room now.	DARRYL	 We flew the friendly skies -	Almost Famous 
DARRYL	 She still freaks me out.	WILLIAM	 (nods, an old issue) Yeah -	DARRYL	 She's famous.	WILLIAM	 Listen -	Almost Famous 
ELAINE	 I worry about the drunk drivers.	WILLIAM	 Mom.  I'm 15. (beat, vague panic) Right?	ELAINE	 Yes, you're 15. "And here's that money I owed you."	ELAINE (CONT'D)	 Your dad's favorite joke.  I don't do it as well.	Almost Famous 
ELAINE	 Good.	WILLIAM	 (anticipating her, like a parent) And don't take drugs.	ELAINE	 (stoic) Ha ha.  Very funny.  See -- sense of humor.  Have fun at the dance.  I'm glad you're making friends.	WILLIAM	 Mom?	Almost Famous 
WILLIAM	 (anticipating her, like a parent) And don't take drugs.	ELAINE	 (stoic) Ha ha.  Very funny.  See -- sense of humor.  Have fun at the dance.  I'm glad you're making friends.	WILLIAM	 Mom?	ELAINE	 Yeah -	Almost Famous 
ELAINE	 Yeah -	WILLIAM	 (loving but firm, as if to a dog.) Stay.	ELAINE	 Oh... okay.	WILLIAM	 I-love-you-bye.	Almost Famous 
PENNY LANE	 The Continental Hyatt House.  Also known as The Riot House. (does tour guide voice) Every band stays here, all the ones that matter.  The Who.  Zeppelin. Alice.  Bowie.  English bands.  American bands.  We all know each other.  Twenty- four hour room service.  Like us, they were outsiders.  They were so outside, they're inside, and insiders never even knew it, because they're outsiders and they are inside a place outsiders will never be.  And why are we even talking about it?  If you're really an insider, you're never gonna say it. You know what I mean?	WILLIAM	 (beat, working it out) Yeah.  Yes.	PENNY	 And we're not gonna hang out with Russell.  You can, but not me.	WILLIAM	 What is it with you and Russell?	Almost Famous 
PENNY LANE	 It's all happening. (grabbing him like a shield) And I'm about to use you as protection.	ROADIE # 1	 Penny Lane!!	PENNY LANE	 (aside) These guys are with Alice Cooper.  I'm going to pretend I don't know them.			Almost Famous 
ROADIE # 1	 Penny Lane!!	PENNY LANE	 (aside) These guys are with Alice Cooper.  I'm going to pretend I don't know them.	ENGLISH ROADIE # 2	 Penny!!  Does Alice know you're here?	PENNY LANE	 I'm just showing my very dear, very wonderful friend around.  He's a very important writer - he knows Lester Bangs. (English accent) I'm responsible for his moral conduct while he's abroad.	Almost Famous 
ENGLISH ROADIE # 2	 Penny!!  Does Alice know you're here?	PENNY LANE	 I'm just showing my very dear, very wonderful friend around.  He's a very important writer - he knows Lester Bangs. (English accent) I'm responsible for his moral conduct while he's abroad.	ROADIE # 3	 (arriving, mock drama) Penny Lane!!   God's gift to rock and roll!!	PENNY LANE	 I'm retired. (uses English accent) And don't argue with me!	Almost Famous 
PENNY LANE	 I'm just showing my very dear, very wonderful friend around.  He's a very important writer - he knows Lester Bangs. (English accent) I'm responsible for his moral conduct while he's abroad.	ROADIE # 3	 (arriving, mock drama) Penny Lane!!   God's gift to rock and roll!!	PENNY LANE	 I'm retired. (uses English accent) And don't argue with me!	ROADIE # 3	 Again?	Almost Famous 
ROADIE # 3	 (arriving, mock drama) Penny Lane!!   God's gift to rock and roll!!	PENNY LANE	 I'm retired. (uses English accent) And don't argue with me!	ROADIE # 3	 Again?	PENNY LANE	 (moving, English accent) Have we met?	Almost Famous 
ROADIE # 3	 Again?	PENNY LANE	 (moving, English accent) Have we met?	PENNY LANE (CONT'D)	 I've made a decision.  I'm going to go traveling in India.  Then I'm going to learn how to play the violin.  Then I'm going to go to college for one year.	ROADIE # 2	 (exiting, not buying it) There's nothing they could teach you in college, darling. (whispers) Call Alice.  He's under the name Bob Hope.	Almost Famous 
PENNY LANE (CONT'D)	 I've made a decision.  I'm going to go traveling in India.  Then I'm going to learn how to play the violin.  Then I'm going to go to college for one year.	ROADIE # 2	 (exiting, not buying it) There's nothing they could teach you in college, darling. (whispers) Call Alice.  He's under the name Bob Hope.	ROADIE # 1	 I heard you were with Russell from Stillwater.	PENNY	 Please.  I throw the little ones back.	Almost Famous 
PENNY	 Please.  I throw the little ones back.	POLEXIA	 (in tears, in pieces, emotional) Ian Hunter is a fucking asshole!	WILLIAM	 Polexia!	POLEXIA	 Opie!!!	Almost Famous 
POLEXIA	 Opie!!!	RIC	 It's all happening.   I just saw them on the seventh floor!  Mr. Jimmy Page... Mr. John Paul Jones... (displays squiggle on shirt) Mr. Robert Plant signed my shirt in the elevator!!  Five minutes ago, he touched this pen.  Please don't smear it.  And Bonzo's gotta new motorcycle in the hotel!	PENNY	 Ric is a Zeppelin fan.	WILLIAM	 Yeah, I picked that up.	Almost Famous 
PENNY!!  PENNY LANE!!		RUSSELL	 (impressed to see him) Alright.	WILLIAM	 (happy to be there) Alright.	PENNY LANE	 (continuing) "In the unlikely event of a water landing, the seat below you will serve as a -" (give up) Oh, the hell with it.	Almost Famous 
RUSSELL	 (impressed to see him) Alright.	WILLIAM	 (happy to be there) Alright.	PENNY LANE	 (continuing) "In the unlikely event of a water landing, the seat below you will serve as a -" (give up) Oh, the hell with it.	POLEXIA	 (privately) Act One, in which she pretends she doesn't care about him.	Almost Famous 
