STRIKE FORCE LEADER	 (into headset/in Russian)	GO!						Air Force One 
GIBBS	 Over the Black Sea. I can probably get us to Turkey or Georgia.	KORSHUNOV	 No! If we land this plane anywhere else, we will end up another Entebe. (beat) The Americans built a super plane that flies through mushroom cloud, evades missiles and... (holding up Maria Mitchell's press kit) refuels in mid-air. Call the White House.					Air Force One 
ZEDECK	 We have the hostages, we're getting more fuel.	KORSHUNOV	 He's already killed three of us, and we haven't even seen him. He's also shown that he can hurt us. I need to think. (looks at Serge) What the hell are you doing up here?					Air Force One 
SECRETARY	 The fax machines.	MARSHALL	 (dismissive) No good. I said they disabled the communications system.	SECRETARY	 No. I thought about this, Mr.	MARSHALL	 (to Caldwell) Get `em ready. (to secretary) You... come with me.	Air Force One 
SECRETARY	 No. I thought about this, Mr.	MARSHALL	 (to Caldwell) Get `em ready. (to secretary) You... come with me.	MAJOR CALDWELL	 Eighteen thousand feet, sir. And two hundred knots... otherwise it's suicide.	MARSHALL	 Got it.	Air Force One 
ALICE	 (to Korshunov) He didn't leave us.	KORSHUNOV	 You are a resilient man, Mr.	KORSHUNQV	 You must forgive the tape, but we were starting to feel outnumbered...			Air Force One 
KORSHUNOV	 You'll do it?	MARSHALL	 Yes, I'll do it. (broken) Just leave my family alone.	KORSHUNOV	 Good. Good.	KORSHUNOV	 Bring him the phone...	Air Force One 
MARSHALL	 Someday, you'll regret my nature.	KORSHUNOV	 You don't like seeing people get hurt. Now in morality, that is a virtue. In politics, however, that is weakness. (beat) You were a hostage to everyone else *                    long before you were a hostage to					Air Force One 
SHEPHERD	 Sir...	MARSHALL	 Call Petrov... (to Rose) I'll be back.	ROSE	 Both of you.			Air Force One 
COL. CARLTON	 They've changed their bearing. (into headset) Air Force One. Air Force One.	FIGHTER PILOT #1	 Sir, this new bearing. We're headed for Iraq, sir.					Air Force One 
SHEPHERD	 A MiG? Where the hell are we?	MARSHALL	 They're flying a protection formation. (beat) Call D.C. Find out what's going on.					Air Force One 
ROSE	 I love you. I just wanted you to know that.	MARSHALL	 I love you too. (beat) We're going to make it.	ALICE	 My school play's Tuesday night.	MARSHALL	 I promise.	Air Force One 
TOWER	 Romeo Tango Zulu, do you copy? Do you have the President?	KC-LO PILOT	 We copy. Stand by... (beat) Tower?	TOWER	 Tower, here.	KC-LO PILOT	 This is Romeo Tango Zulu changing call signs. (beat) Tower, alert air traffic, Romeo Tango Zulu is now Air Force One. (beat) This is Air Force One... The President is safe onboard.	Air Force One 
TOWER	 Tower, here.	KC-LO PILOT	 This is Romeo Tango Zulu changing call signs. (beat) Tower, alert air traffic, Romeo Tango Zulu is now Air Force One. (beat) This is Air Force One... The President is safe onboard.	TOWER	 Copy, Air Force One.			Air Force One 
