MADISON	 The answer is... get up there.	JACK	 Right. (starts to go) Oh... uh... what did you say his name was?	MADISON	 Who?	JACK	 The fellow's name.	All the King's Men 
JACK	 Dr. Stanton, I presume.	STANTON	 (laughing) Is my shingle showing?	JUDGE	 Good to see you, boy. Very good.	JACK	 Good to see you, Judge. How have you been? What have you been doing?	All the King's Men 
ANNE	 We were just discussing whether you should...	JACK	 (to his mother) I like what I'm doing, Mother.	MCEVOY	 You do very well at it. I read your articles about this fellow... Willie Stark. Very convincing... Too convincing for my tastes.	JACK	 A lot of people like them.	All the King's Men 
JUDGE	 I think this state could stand a few changes.	MCEVOY	 (his face white) Well, I'll tell you what I think --	ANNE	 (quickly) Oh, please... let's not talk politics.	MRS. BURDEN	 Anne is right. I absolutely forbid any more of it. I know what we need, we need another toast. (to the Judge) You propose it, Monty... you're so good at it.	All the King's Men 
MCEVOY	 (his face white) Well, I'll tell you what I think --	ANNE	 (quickly) Oh, please... let's not talk politics.	MRS. BURDEN	 Anne is right. I absolutely forbid any more of it. I know what we need, we need another toast. (to the Judge) You propose it, Monty... you're so good at it.	JUDGE	 To the young people... to Anne, to Jack, to Adam... To what lies before them. To the world they'll make... in spite of the mistakes we've made.	All the King's Men 
ANNE	 (quickly) Oh, please... let's not talk politics.	MRS. BURDEN	 Anne is right. I absolutely forbid any more of it. I know what we need, we need another toast. (to the Judge) You propose it, Monty... you're so good at it.	JUDGE	 To the young people... to Anne, to Jack, to Adam... To what lies before them. To the world they'll make... in spite of the mistakes we've made.	MCEVOY	 (rising) The mistakes you've made, not me. You're all still pretty high and mighty, aren't you? You all think this state needs a change. You don't like the way it's run. Well, who's going to run it? Willie Stark? The Judge? (to Jack) You? You can be bought too. As a matter of fact you have been. And with my money.	All the King's Men 
JUDGE	 To the young people... to Anne, to Jack, to Adam... To what lies before them. To the world they'll make... in spite of the mistakes we've made.	MCEVOY	 (rising) The mistakes you've made, not me. You're all still pretty high and mighty, aren't you? You all think this state needs a change. You don't like the way it's run. Well, who's going to run it? Willie Stark? The Judge? (to Jack) You? You can be bought too. As a matter of fact you have been. And with my money.	MCEVOY	 (slowly) That's a waste of good liquor. (looks at Mrs. Burden) Your mother wouldn't approve.	MRS. BURDEN	 Jack...	All the King's Men 
ANNE	 And do what?	JACK	 (rises impatiently) And live in a shack and eat red beans. Anne, what do you want me to do?	ANNE	 Oh, Jack, Jack, you haven't been sure. You've gone from one thing to the other... a year at law school, and now this job as a reporter...	JACK	 Are you afraid I can't make a living?	All the King's Men 
ANNE	 I don't know. It's just that I want you to be... to do... something important.	JACK	 Like your father. All right. I'll run for governor. (pause) Anne, I'm sorry. I'm sorry I said that.	ANNE	 All right, Jack. I'll go away with you. I'll do anything you want me to do.	JACK	 Anne, I've wanted you to say that more than anything in the world, and now that you've said it... Anne, I guess you were right. I'm not sure of anything, including myself. I'm not sure I could live up to the... (looks again at the portrait) Anne, wait for me. Please wait for me.	All the King's Men 
ANNE	 All right, Jack. I'll go away with you. I'll do anything you want me to do.	JACK	 Anne, I've wanted you to say that more than anything in the world, and now that you've said it... Anne, I guess you were right. I'm not sure of anything, including myself. I'm not sure I could live up to the... (looks again at the portrait) Anne, wait for me. Please wait for me.	ANNE	 I'll wait for you.	MADISON	 Hello, Jack. Cut your vacation short, didn't you?	All the King's Men 
WILLIE	 ...Measure of the damages is caused by...	LUCY	 (prompting) A breach...	WILLIE	 A breach...	LUCY	 Of an agreement...	All the King's Men 
LUCY	 To sell personal property...	WILLIE	 To sell... (slams the book shut) Oh, two years of this.	LUCY	 (leaning over to him) Oh, go on, Willie, go on.	WILLIE	 Willie Stark... Bachelor of Law...	All the King's Men 
WILLIE	 To sell... (slams the book shut) Oh, two years of this.	LUCY	 (leaning over to him) Oh, go on, Willie, go on.	WILLIE	 Willie Stark... Bachelor of Law...	WILLIE	 If you'll just let me take your case...	All the King's Men 
POLITICIAN	 I know a way... find a dummy.	SADIE	 Find a dummy. (looks at Harrison) That's what we've got.	POLITICIAN	 A guy from the sticks... strong enough to grab some votes and dumb enough not to ask questions.	DUFFY	 If you want to listen to a boy from the sticks, I know just the guy.	All the King's Men 
WILLIE	 Wonder who that is?	DUFFY	 Brought some people all the way up from the state capital just to meet you. (turns to others) Folks, I want you to meet Willie Stark, the next governor of our state.	WILLIE	 Folks, if you'll just bear patiently with me for a couple of minutes, I'd like to tell you what this state needs. It needs a balanced tax program. Now I'd like to give you the facts and the figures.	WILLIE	 How did it sound, Jack?	All the King's Men 
JACK	 Fine, Willie, fine.	WILLIE	 (alarmed) Say... I forgot to send a telegram to Lucy... Conductor!	WILLIE	 Now right here... right here I'd like to add something about last year's taxes... eh?	DUFFY	 I wouldn't add a thing. Just give them the facts.	All the King's Men 
JACK	 Do you mind if I sit with you, Sadie?	SADIE	 (shrugs) Stand... sit...	JACK	 Thanks... Tell me, what are you on this merry-go-round for?	SADIE	 I take notes.	All the King's Men 
SADIE	 No. No, brother, you don't.	JACK	 (lights a cigarette) It is a frame, isn't it?	SADIE	 Why don't you give me a cigarette?	JACK	 (gives her the pack) To split the vote and win the election for Harrison, huh?	All the King's Men 
SADIE	 Why don't you give me a cigarette?	JACK	 (gives her the pack) To split the vote and win the election for Harrison, huh?	SADIE	 If you know, why do you ask?	JACK	 I just want to make sure.	All the King's Men 
JACK	 Look, why don't you tell the boys back home to save their money. Willie couldn't steal a vote from... from Abe Lincoln in the Cradle of the Confederacy.	SADIE	 I wish the poor... had enough sense to have somebody give him a good greasing for the beating he's going to get. 'Cause this way all he gets out of it is the ride. (looks at Willie through the window) Hey, those speeches! Ain't they awful? Ain't they just plain awful? Question to you: if somebody told him he was a sucker, do you think he'd quit?	JACK	 I don't know, Sadie. I really don't know.	WILLIE	 (as he comes into the lobby) Did it sound all right, Mr. Burden?	All the King's Men 
JACK	 I don't know, Sadie. I really don't know.	WILLIE	 (as he comes into the lobby) Did it sound all right, Mr. Burden?	JACK	 Fine, Willie, fine.	WILLIE	 Thanks.	All the King's Men 
SADIE	 What I need is some sleep. Shut up!	JACK	 (shouting back at Sadie) Shut up yourself! (goes to bed, shakes Willie) Listen, Willie, try it on your feet this time.	WILLIE	 Oh, no. Wait a minute. My feet are killing me. Let me stay here, huh?	JACK	 All right... Look, Willie, you tell 'em too much. Just tell 'em you're going to soak the fat boys and forget the rest of the tax stuff.	All the King's Men 
JACK	 All right... Look, Willie, you tell 'em too much. Just tell 'em you're going to soak the fat boys and forget the rest of the tax stuff.	WILLIE	 (pathetically) That's what I say.	JACK	 But it's the way you say it. Willie, make 'em cry. Make 'em laugh, make 'em mad, even mad at you. Stir 'em up and they'll love it and come back for more. But for heaven's sake don't try and improve their minds.	WILLIE	 (suddenly) A man don't have to be governor.	All the King's Men 
JACK	 But it's the way you say it. Willie, make 'em cry. Make 'em laugh, make 'em mad, even mad at you. Stir 'em up and they'll love it and come back for more. But for heaven's sake don't try and improve their minds.	WILLIE	 (suddenly) A man don't have to be governor.	JACK	 (surprised) What?	WILLIE	 A man don't have to be governor.	All the King's Men 
WILLIE	 (suddenly) A man don't have to be governor.	JACK	 (surprised) What?	WILLIE	 A man don't have to be governor.	JACK	 Well, they haven't counted up the votes yet.	All the King's Men 
JACK	 Well, they haven't counted up the votes yet.	WILLIE	 (quietly) Oh, I'm going to lose, Mr. Burden. I know that. Don't try and fool me. I'm not going to lie to you. I wanted it. I wanted it so badly I stayed up nights thinking about it. A man wants something so badly he gets mixed up in knowing what he wants. It's something inside of you. I would have made a good governor. Better than those other fellows.	JACK	 Come in.	WILLIE	 (almost to himself) A great governor.	All the King's Men 
JACK	 Come in.	WILLIE	 (almost to himself) A great governor.	SADIE	 Since you won't let me sleep you might at least give me a drink.	WILLIE	 (muttering) Build them highways... greatest system of highways in the country.	All the King's Men 
SADIE	 Since you won't let me sleep you might at least give me a drink.	WILLIE	 (muttering) Build them highways... greatest system of highways in the country.	JACK	 (to Sadie) Help yourself.	WILLIE	 I'll build schools.	All the King's Men 
WILLIE	 (muttering) Build them highways... greatest system of highways in the country.	JACK	 (to Sadie) Help yourself.	WILLIE	 I'll build schools.	SADIE	 (to Jack) What's up?	All the King's Men 
WILLIE	 I'll build schools.	SADIE	 (to Jack) What's up?	JACK	 Nothing... except Willie here has been saying as how he's not going to be governor.	SADIE	 (directly, to Jack) So you told him.	All the King's Men 
JACK	 Nothing... except Willie here has been saying as how he's not going to be governor.	SADIE	 (directly, to Jack) So you told him.	JACK	 I don't tell anyone anything... I just listen.	SADIE	 (goes to Willie) Who told you?	All the King's Men 
JACK	 I don't tell anyone anything... I just listen.	SADIE	 (goes to Willie) Who told you?	WILLIE	 Told me what? Told me what?	SADIE	 That you're not going to be governor.	All the King's Men 
SADIE	 That you're not going to be governor.	WILLIE	 (getting up) Jack! Told me what?... Told me what?	SADIE	 (loudly) All right! That you've been framed, you poor sap.	WILLIE	 (quietly) Framed?	All the King's Men 
WILLIE	 (getting up) Jack! Told me what?... Told me what?	SADIE	 (loudly) All right! That you've been framed, you poor sap.	WILLIE	 (quietly) Framed?	SADIE	 And how! Oh, you decoy, you woodenhead decoy! And you let 'em. You let 'em because you thought you were the little lamb of God. But you know what you are? (she waits for his answer; he has none) Well, you're the goat! You are the sacrificial goat! You are a sap... because you let 'em.	All the King's Men 
SADIE	 (loudly) All right! That you've been framed, you poor sap.	WILLIE	 (quietly) Framed?	SADIE	 And how! Oh, you decoy, you woodenhead decoy! And you let 'em. You let 'em because you thought you were the little lamb of God. But you know what you are? (she waits for his answer; he has none) Well, you're the goat! You are the sacrificial goat! You are a sap... because you let 'em.	JACK	 Sadie! That's enough.	All the King's Men 
WILLIE	 (quietly) Framed?	SADIE	 And how! Oh, you decoy, you woodenhead decoy! And you let 'em. You let 'em because you thought you were the little lamb of God. But you know what you are? (she waits for his answer; he has none) Well, you're the goat! You are the sacrificial goat! You are a sap... because you let 'em.	JACK	 Sadie! That's enough.	SADIE	 Enough? He didn't even get anything out of it. Oh, they'd have paid you to take a rap like that, but they didn't have to pay a sap like you. Oh, no, you were so full of yourself and hot air, all you wanted was a chance to stand up on your hind legs and make a speech: my friends, what this state needs is a good five-cent cigar. What this state needs is a --	All the King's Men 
SADIE	 Enough? He didn't even get anything out of it. Oh, they'd have paid you to take a rap like that, but they didn't have to pay a sap like you. Oh, no, you were so full of yourself and hot air, all you wanted was a chance to stand up on your hind legs and make a speech: my friends, what this state needs is a good five-cent cigar. What this state needs is a --	WILLIE	 (to Jack) Is it true?	SADIE	 (prayerfully, to the ceiling) He wants to know if it's true.	WILLIE	 Is it true?	All the King's Men 
WILLIE	 (to Jack) Is it true?	SADIE	 (prayerfully, to the ceiling) He wants to know if it's true.	WILLIE	 Is it true?	JACK	 That's what they tell me.	All the King's Men 
JACK	 That's what they tell me.	SADIE	 (handing it to him) Here.	JACK	 Hey, lay off that. You're not used to it.	SADIE	 (jeeringly) He's not used to a lot of things. Are you, Willie?	All the King's Men 
JACK	 Hey, lay off that. You're not used to it.	SADIE	 (jeeringly) He's not used to a lot of things. Are you, Willie?	JACK	 (angrily) Why don't you lay off of him, Sadie?	SADIE	 (ignores Jack) Are you, Willie? Are you? Are you... are you, are you, are you?	All the King's Men 
SADIE	 (jeeringly) He's not used to a lot of things. Are you, Willie?	JACK	 (angrily) Why don't you lay off of him, Sadie?	SADIE	 (ignores Jack) Are you, Willie? Are you? Are you... are you, are you, are you?	SADIE	 Hi.	All the King's Men 
JACK	 (angrily) Why don't you lay off of him, Sadie?	SADIE	 (ignores Jack) Are you, Willie? Are you? Are you... are you, are you, are you?	SADIE	 Hi.	JACK	 Well, things seem to have quieted down.	All the King's Men 
JACK	 Well, things seem to have quieted down.	SADIE	 (laughs) Yeah, I quieted him down.	JACK	 Yeah. How was he? Noisy?	SADIE	 Oh, he reared some. He's been telling me all the things he's going to do. He's going to do big things, this fella. He's going to be President. He's going to kill people with his bare hands. I quieted him down... Hey! Who's Lucy?	All the King's Men 
DUFFY	 Where is he?	SADIE	 (pointing) There he is.	SADIE	 Whoops!	DUFFY	 (to Jack) Is he drunk?	All the King's Men 
SADIE	 Whoops!	DUFFY	 (to Jack) Is he drunk?	JACK	 Never touches the stuff. Lucy doesn't favor drinkin'.	SADIE	 (to Jack) How'd you get him here? He was out stiff.	All the King's Men 
JACK	 Never touches the stuff. Lucy doesn't favor drinkin'.	SADIE	 (to Jack) How'd you get him here? He was out stiff.	JACK	 Hair of the dog that bit him.	SADIE	 Hair? He must have swallowed the dog.	All the King's Men 
WILLIE	 But I am going to tell you a story. It's a funny story...	SADIE	 (from the steps) Hey!	WILLIE'S VOICE	 ...So get ready to laugh.	SADIE	 What's he up to?	All the King's Men 
WILLIE	 ...So they told the hick... and he swallowed it. He looked in his heart and he thought in all humility how he'd like to try and change things. He was just a country boy who thought that even the plainest, poorest man can be governor if his fellow citizens find he's got the stuff for the job. Well, those fellows in the striped pants... they saw the hick and they took him in.	DUFFY	 (low voice) Willie, what are you trying to do?	WILLIE	 There he is! There's your Judas Iscariot. (he pushes Duffy across the platform) Look at him... lickspittle... nose- wiper.	DUFFY	 Play! Play!	All the King's Men 
DUFFY	 (low voice) Willie, what are you trying to do?	WILLIE	 There he is! There's your Judas Iscariot. (he pushes Duffy across the platform) Look at him... lickspittle... nose- wiper.	DUFFY	 Play! Play!	WILLIE	 (pushing him again) Look at him!	All the King's Men 
DUFFY	 Play! Play!	WILLIE	 (pushing him again) Look at him!	DUFFY	 Play anything.	WILLIE	 Look at him! Joe Harrison's dummy! Look at him!	All the King's Men 
MADISON	 Divide and conquer? Stark is getting too big for his britches and the hicks are getting too smart. We're now supporting Harrison.	JACK	 (stands up) How do you square that?	MADISON	 I work here.	JACK	 (putting on his coat) Well, I don't... not any more.	All the King's Men 
MADISON	 I work here.	JACK	 (putting on his coat) Well, I don't... not any more.	MADISON	 Jack, you fool.	JACK	 If you had any guts you'd print this...	All the King's Men 
WILLIE	 Double bourbon.	SADIE	 (sitting next to Jack) Same for me.	WILLIE	 And a beer. (to Jack) I hear you got fired from the paper.	JACK	 You heard wrong, Willie. I quit.	All the King's Men 
SADIE	 (sitting next to Jack) Same for me.	WILLIE	 And a beer. (to Jack) I hear you got fired from the paper.	JACK	 You heard wrong, Willie. I quit.	WILLIE	 (passing the beer back to Sugar Boy) You're smart. 'Cause before I'm through with that mob they're not going to have enough money left to pay the boy that cleans the spittoons.	All the King's Men 
JACK	 You heard wrong, Willie. I quit.	WILLIE	 (passing the beer back to Sugar Boy) You're smart. 'Cause before I'm through with that mob they're not going to have enough money left to pay the boy that cleans the spittoons.	JACK	 How do you feel, Willie?	WILLIE	 I feel fine, fine. You see, Jack, I learned something.	All the King's Men 
FADE IN:		JACK	 (voice over) I didn't see Willie again until his second campaign... four years later.	JACK	 (voice over) I drifted from job to job...	JACK	 (voice over) ...That is, whenever I could find one.	All the King's Men 
CHARGES OLD MACHINE STILL CORRUPT		JACK	 (voice over) He had his foot in the door and he kept right on pushing to get in. He had lost the election but he had won the state... and he knew it... and the people knew it.	MONTAGE: WILLIE'S LIFE		TO THE PEOPLE... WILLIE STARK		All the King's Men 
WILLIE STARK		JACK	 (voice over) They were all hopping on his bandwagon... even Tiny Duffy.	JACK	 (voice over) Yep, Willie came back like he said he would.	WILLIE	 Do you want to know what my platform is? Here it is: I'm going to soak the fat boys and I'm going to spread it thin.	All the King's Men 
WILLIE	 Do you want to know what my platform is? Here it is: I'm going to soak the fat boys and I'm going to spread it thin.	JACK	 (voice over) Willie was right -- he'd learned how to win...	JACK	 (voice over) He spent a lot of money doing it... an awful lot of money... I was beginning to wonder where he got it from.	JACK	 (voice over) There were rumors throughout the state that Willie was making deals with all kinds of people... strange deals... for Willie Stark.	All the King's Men 
DUFFY	 Let these boys through, officer.	WILLIE	 (to Jack) Duffy works for me now.	JACK	 It looks like everybody works for you.	WILLIE	 No. No, not yet. But I want to keep him around. He reminds me of something I never want to forget.	All the King's Men 
DUFFY	 Five dollars a head.	WILLIE	 (to Sugar Boy) What do you think, Sugar? Do they look like good boys?	SUGAR BOY	 T-t-they b-b-better be.	WILLIE	 Get a hundred... All right, go on, all of you. Blow. Blow, blow. You too, Duffy. Go on.	All the King's Men 
WILLIE	 Fine... fine.	SADIE	 Hey, I need a boy... Where's a boy? (boy runs up) Take that downstairs; they're waiting for it. Right away, on the double. (to typist) Listen, baby, you've got to double- space all of this... he can't read, see.	JACK	 Sadie!	SADIE	 (to typist) And they need four copies. (looks up) Hi, Jack. How are you?	All the King's Men 
JACK	 Sadie!	SADIE	 (to typist) And they need four copies. (looks up) Hi, Jack. How are you?	WILLIE	 Sadie is my secretary now. (to messenger, trying to squeeze by) Oh, pardon me.	SADIE	 Fix your tie, Willie.	All the King's Men 
SADIE	 (to typist) And they need four copies. (looks up) Hi, Jack. How are you?	WILLIE	 Sadie is my secretary now. (to messenger, trying to squeeze by) Oh, pardon me.	SADIE	 Fix your tie, Willie.	WILLIE	 Hey, Sugar.	All the King's Men 
JACK	 Three hundred dollars a month.	WILLIE	 (laughs) I could buy you cheap, couldn't I?	JACK	 For a bag of salt.	WILLIE	 No. No, I don't play that way. I like you, boy. I always have. I'll tell you what I'll do. I'll give you four hundred dollars a month and traveling expenses.	All the King's Men 
WILLIE	 Because they believe in me.	JACK	 (voice over) I was going home again. But this time it was different. Now I had a feeling that maybe the waiting was over... for me, and for Anne.	WILLIE	 It's a far cry from where I come from... to this house.	WILLIE	 And standing here under the portrait of one of the greatest governors of this state, talking to you people... well, it's an honor I never thought I'd have.	All the King's Men 
WILLIE	 And standing here under the portrait of one of the greatest governors of this state, talking to you people... well, it's an honor I never thought I'd have.	JACK	 Are there any questions? (looks around) Mr. McEvoy.	MCEVOY	 (smiles) No, I have no questions.	JACK	 Judge?	All the King's Men 
JACK	 Are there any questions? (looks around) Mr. McEvoy.	MCEVOY	 (smiles) No, I have no questions.	JACK	 Judge?	JUDGE	 A few... but it will hold.	All the King's Men 
JUDGE	 It's a deal.	WILLIE	 Jack, we have to get back to town... a lot to do. (shakes hands with Adam) Dr. Stanton.	ANNE	 I'm very glad to have met you.	FADE IN:		All the King's Men 
CROWD	 We want Willie! We want Willie!	WILLIE	 (raises his hands for silence) This is not a time for speechmaking. I should get on my knees and ask God to give me strength to carry out your will.	WILLIE	 This much I swear to you. These things you shall have. I'm going to build a hospital. The biggest that money can buy... and it will belong to you. That any man, woman, or child who is sick or in pain can go through those doors and know that everything will be done for them that man can do. To heal sickness. To ease pain. Free. Not as a charity, but as a right. And it is your right that every child shall have a complete education. That any man who produces anything can take it to market without paying toll. And no poor man's land or farm can be taxed or taken away from him. And it is the right of the people that they will not be deprived of hope...	ANNE	 Does he mean it, Jack? Does he?	All the King's Men 
ANNE	 Does he mean it, Jack? Does he?	STANTON	 (as he walks away) That's his bribe.	FADE IN:		JACK	 (voice over) What if it was his bribe! He swept the old gang out of office. What if they hollered like stuck pigs? He jammed through bill after bill and the people got what they wanted.	All the King's Men 
FADE IN:		JACK	 (voice over) What if it was his bribe! He swept the old gang out of office. What if they hollered like stuck pigs? He jammed through bill after bill and the people got what they wanted.	WILLIE	 I demand that this bill be passed. Nobody's going to tell me how to run this state.	JACK	 (voice over) He started to build the roads, the schools, the power dams, to change the face of the state from one end to the other... His methods?	All the King's Men 
WILLIE	 I demand that this bill be passed. Nobody's going to tell me how to run this state.	JACK	 (voice over) He started to build the roads, the schools, the power dams, to change the face of the state from one end to the other... His methods?	JACK	 (voice over) Politics is a dirty game... and he played it rough and dirty. Willie's little black book was a record of sin and corruption. And me, Jack Burden? I kept the book and added up the accounts.	JACK	 (voice over) Clown, show-off, playboy, they yelled at him. Building football stadiums. Fiercely proud of his son who played in them.	All the King's Men 
WILLIE	 Oh, look at him go. He's going to be All-American.	JACK	 (voice over) They said he was building up a private army. But he was building, always building...	ERECTED THE GOVERNOR STARK HOSPITAL -- "TO HEAL SICKNESS. TO		EASE PAIN. FREE. NOT AS A CHARITY -- BUT AS A RIGHT"... WILLIE		All the King's Men 
FADE IN:		SADIE	 (through open door) You low-down, no-good redneck...	JACK	 (to secretary) What goes on here?	SECRETARY	 That's what Sadie wants to know. (she shows Jack newspaper containing photograph of Willie at the nightclub) The boss poses for too many pictures.	All the King's Men 
SADIE	 (through open door) You low-down, no-good redneck...	JACK	 (to secretary) What goes on here?	SECRETARY	 That's what Sadie wants to know. (she shows Jack newspaper containing photograph of Willie at the nightclub) The boss poses for too many pictures.	SADIE	 I'll kill him.	All the King's Men 
JACK	 (to secretary) What goes on here?	SECRETARY	 That's what Sadie wants to know. (she shows Jack newspaper containing photograph of Willie at the nightclub) The boss poses for too many pictures.	SADIE	 I'll kill him.	JACK	 Why, Sadie, I'm surprised at you.	All the King's Men 
