JANE	 I need a father who's a role model, not some horny geek-boy who's gonna spray his shorts whenever I bring a girlfriend home from school. (snorts) What a lame-o. Somebody really should put him out of his misery.	RICKY (O.C.)	 Want me to kill him for you?	JANE	 (deadpan) Yeah, would you?			American Beauty 
LESTER	 Oh, what, you're mother-of-the-year? You treat her like an employee.	CAROLYN	 (taken aback) What?!	CAROLYN (CONT'D)	 (more authority) What?	LESTER	 I'm going to get some ice cream.	American Beauty 
WOMAN #2	 There's not even any plants out here.	CAROLYN	 (re: shrub) What do you call this? Is this not a plant? If you have a problem with the plants, I can always call my landscape architect. Solved.	WOMAN #2	 I mean, I think "lagoon," I think waterfall, I think tropical. This is a cement hole.	CAROLYN	 I have some tiki torches in the garage.	American Beauty 
ANNOUNCER	 (over P.A.) And now, for your half-time entertainment, Rockwell High's award- winning Dancing Spartanettes!	LESTER	 We can leave right after this, right?					American Beauty 
JANE	 I didn't win anything.	LESTER	 (to Angela) Hi, I'm Lester. Janie's dad.	ANGELA	 Oh. Hi.	JANE	 This is my friend, Angela Hayes.	American Beauty 
LESTER	 Okay, good to meet you. You were also good tonight. Very... precise.	ANGELA	 (warming) Thanks.	CAROLYN	 (to Angela) Nice to meet you, Angela. (to Jane) Honey, I'm so proud of you. I watched you very closely, and you didn't screw up once. (then, to Lester) Okay, we have to go.	LESTER	 So, what are you girls doing now?	American Beauty 
ANGELA	 (warming) Thanks.	CAROLYN	 (to Angela) Nice to meet you, Angela. (to Jane) Honey, I'm so proud of you. I watched you very closely, and you didn't screw up once. (then, to Lester) Okay, we have to go.	LESTER	 So, what are you girls doing now?	JANE	 Dad.	American Beauty 
LESTER	 Oh, you have a car. Oh. That's great! That's great, because Janie's thinking about getting a car soon too, aren't you, honey?	JANE	 (you freak) Dad. Mom's waiting for you.	LESTER	 Well, it was very nice meeting you, Angela. Any, uh, friend of Janie's is a friend of mine.	LESTER (CONT'D)	 Well... I'll be seeing you around then.	American Beauty 
ANGELA	 (over phone line) Hello? Hello?	JANE	 Hello?					American Beauty 
RICKY	 I don't eat bacon, remember?	BARBARA	 (unnerved) I'm sorry, I must have forgotten.	RICKY	 What's new in the world, Dad?	COLONEL	 This country is going straight to hell.	American Beauty 
COLONEL (CONT'D)	 Are you expecting anyone?	BARBARA	 No. (thinks) No.					American Beauty 
JIM #1 (CONT'D)	 (offers his hand) Jim Olmeyer. Two doors down. Welcome to the neighborhood.	COLONEL	 (shakes) Colonel Frank Fitts, U.S. Marine Corps.	JIM #1	 Nice to meet you. And this is my partner...	JIM #2	 (offers his hand) Jim Berkley, but people call me J.B.	American Beauty 
COLONEL	 Let's cut to the chase, okay? What are you guys selling?	JIM #2	 (after a beat) Nothing. We just wanted to say hi to our new neighbors--	COLONEL	 Yeah, yeah, yeah. But you said you're partners. So what's your business?	JIM #1	 Well, he's a tax attorney.	American Beauty 
RICKY	 Hey.	BARBARA	 (out of the blue) I'm sorry, what?	RICKY	 Mom. Nobody said anything.	BARBARA	 Oh. I'm sorry.	American Beauty 
LESTER	 Just say whatever you want to say and spare me the propaganda.	CAROLYN	 (spots someone) Hi, Shirley! (to Lester) Listen, just do me a favor. Act happy tonight?	LESTER	 (grins stupidly) I am happy, honey.	CAROLYN	 (spots someone) Oh! Buddy!	American Beauty 
CAROLYN	 (spots someone) Hi, Shirley! (to Lester) Listen, just do me a favor. Act happy tonight?	LESTER	 (grins stupidly) I am happy, honey.	CAROLYN	 (spots someone) Oh! Buddy!	CAROLYN (CONT'D)	 (shakes Buddy's hand) Buddy! Buddy. Hi! Good to see you again.	American Beauty 
LESTER	 (grins stupidly) I am happy, honey.	CAROLYN	 (spots someone) Oh! Buddy!	CAROLYN (CONT'D)	 (shakes Buddy's hand) Buddy! Buddy. Hi! Good to see you again.	BUDDY	 It's so good to see you too, Catherine.	American Beauty 
BUDDY	 Carolyn! Of course. How are you?	CAROLYN	 Very well, thank you. (to his wife) Hello, Christy.	CHRISTY	 Hello.	CAROLYN	 My husband, Lester--	American Beauty 
CAROLYN	 My husband, Lester--	BUDDY	 (shakes Lester's hand) It's a pleasure.	LESTER	 Oh, we've met before, actually. This thing last year. Or the Christmas thing at the Sheraton.	BUDDY	 Oh, yes.	American Beauty 
LESTER	 It's okay. I wouldn't remember me either.	CAROLYN	 (forced gaiety) Honey. Don't be weird.	LESTER	 All right, honey. I won't be weird. (his face close to hers) I'll be whatever you want me to be.	LESTER (CONT'D)	 We have a very healthy relationship.	American Beauty 
CAROLYN	 (forced gaiety) Honey. Don't be weird.	LESTER	 All right, honey. I won't be weird. (his face close to hers) I'll be whatever you want me to be.	LESTER (CONT'D)	 We have a very healthy relationship.	BUDDY	 I see.	American Beauty 
RICKY	 Excuse me. Don't you live on Robin Hood Trail? The house with the red door?	LESTER	 (suspicious) Yeah.	RICKY	 I'm Ricky Fitts. I just moved into the house next to you.	LESTER	 Oh. Hi, Ricky Fitts. I'm Lester Burnham.	American Beauty 
BUDDY	 I'd love to.	CAROLYN	 (shocked) Really?	BUDDY	 Absolutely. Call my secretary and have her schedule a lunch.	CAROLYN	 I'll do that. Thank you.	American Beauty 
RICKY	 Re-Animator.	CATERING BOSS	 (to Ricky) Look. I'm not paying you to... (eyes Lester, suspiciously) ...do whatever it is you're doing out here.	RICKY	 Fine. So don't pay me.	CATERING BOSS	 Excuse me?	American Beauty 
CATERING BOSS	 Asshole.	LESTER	 I think you just became my personal hero. (then) Doesn't that make you nervous, just quitting your job like that? Well, I guess when you're all of, what? Sixteen?	RICKY	 Eighteen. (then) I just do these gigs as a cover. I have other sources of income. But my dad interferes less in my life when I pretend to be an upstanding young citizen with a respectable job.	CAROLYN (O.C.)	 Lester?	American Beauty 
LESTER	 I think you just became my personal hero. (then) Doesn't that make you nervous, just quitting your job like that? Well, I guess when you're all of, what? Sixteen?	RICKY	 Eighteen. (then) I just do these gigs as a cover. I have other sources of income. But my dad interferes less in my life when I pretend to be an upstanding young citizen with a respectable job.	CAROLYN (O.C.)	 Lester?	CAROLYN (CONT'D)	 What are you doing?	American Beauty 
CAROLYN (CONT'D)	 What are you doing?	LESTER	 Honey, this is... (laughs) Ricky Fitts. This is Ricky Fitts.	RICKY	 I'm Ricky Fitts, I just moved in the house next to you. I go to school with your daughter.	LESTER	 With Jane? Really?	American Beauty 
RICKY	 Yeah. Jane.	CAROLYN	 Hi. (then, to Lester) I'm ready to go. I'll meet you out front.	LESTER	 Uh-oh. I'm in trouble. Nice meeting you, Ricky Fitts. Thanks for the, uh, thing.	RICKY	 Any time.	American Beauty 
JANE	 Oh, shit. They're home. Quick, let's go up to my room.	ANGELA	 I should say hi to your dad. (off Jane's look) I don't want to be rude.					American Beauty 
JANE	 Mom, you remember Angela.	CAROLYN	 (her sales smile) Yes, of course!	JANE	 I forgot to tell you, she's spending the night. Is that okay?	LESTER	 Sure!	American Beauty 
JANE	 You are so grossing me out right now.	ANGELA	 (really enjoying this) If he built up his chest and arms, I would totally fuck him.					American Beauty 
JANE	 Shit. I bet he's filming us right now.	ANGELA	 (intrigued) Really?					American Beauty 
RICKY	 Wow. It's been six months already. Can I give it to you in the morning? I just took a whiz.	COLONEL	 Yeah, I suppose. (an awkward beat) Well. Good night, son.					American Beauty 
LESTER	 I'm not? Well then, come on, baby! I'm ready.	CAROLYN	 (furious) Do not mess with me, mister, or I will divorce you so fast it'll make your head spin!	LESTER	 On what grounds? I'm not a drunk, I don't fuck other women, I don't mistreat you, I've never hit you, or even tried to touch you since you made it so abundantly clear just how unnecessary you consider me to be. But. I did support you while you got your license. And some people might think that entitles me to half of what's yours.	LESTER (CONT'D)	 Turn out the light when you come to bed, okay?	American Beauty 
JIM #2	 Lester, I didn't know you ran.	LESTER	 (panting) Well, I just started.	JIM #1	 Good for you.	LESTER	 I figured you guys might be able to give me some pointers. I need to shape up. Fast.	American Beauty 
COLONEL	 What is this, the fucking gay pride parade?	LESTER	 Hey! Yo! Ricky! (re: the Jims) My entire life is passing before my eyes, and those two have barely broken a sweat.	LESTER (CONT'D)	 Sorry, hi. Lester Burnham, I live next door. We haven't met.	COLONEL	 (shakes) COLONEL Frank Fitts, U.S. Marine Corps.	American Beauty 
LESTER (CONT'D)	 Sorry, hi. Lester Burnham, I live next door. We haven't met.	COLONEL	 (shakes) COLONEL Frank Fitts, U.S. Marine Corps.	LESTER	 Whoa. Welcome to the neighborhood, sir.	LESTER (CONT'D)	 So, Ricky, uh, I was thinking about the, uh... I was gonna... the movie we talked about...	American Beauty 
LESTER (CONT'D)	 So, Ricky, uh, I was thinking about the, uh... I was gonna... the movie we talked about...	RICKY	 (quickly) Re-Animator.	LESTER	 Yeah!	RICKY	 You want to borrow it? (before Lester can answer) Okay, it's up in my room. Come on.	American Beauty 
LESTER	 Yeah!	RICKY	 You want to borrow it? (before Lester can answer) Okay, it's up in my room. Come on.					American Beauty 
RICKY	 I don't think my dad would try to come in when somebody else is here, but you never know.	LESTER	 (re: urine sample) What is this?	RICKY	 Urine. I have to take a drug test every six months to make sure I'm clean.	LESTER	 Are you kidding? You just smoked with me last night.	American Beauty 
LESTER	 I don't know, it's been a while. How much is an ounce?	RICKY	 (indicates bag) Well, this is totally decent, and it's three hundred.	LESTER	 Wow.	RICKY	 (indicates another bag) But this shit is top of the line. It's called G-13. Genetically engineered by the U.S. Government. Extremely potent. But a completely mellow high, no paranoia.	American Beauty 
LESTER	 Wow.	RICKY	 (indicates another bag) But this shit is top of the line. It's called G-13. Genetically engineered by the U.S. Government. Extremely potent. But a completely mellow high, no paranoia.	LESTER	 Is that what we smoked last night?	RICKY	 This is all I ever smoke.	American Beauty 
LESTER	 Thanks.	RICKY	 (hands him a bag) There's a card in there with my beeper number, call me anytime day or night. And I only accept cash.	LESTER	 (looks around room) Well, now I know how you can afford all this equipment. When I was your age, I flipped burgers all summer just to be able to buy an eight track.	RICKY	 That sucks.	American Beauty 
RICKY	 (hands him a bag) There's a card in there with my beeper number, call me anytime day or night. And I only accept cash.	LESTER	 (looks around room) Well, now I know how you can afford all this equipment. When I was your age, I flipped burgers all summer just to be able to buy an eight track.	RICKY	 That sucks.	LESTER	 No actually, it was great. All I did was party and get laid. (smiles) I had my whole life ahead of me...	American Beauty 
RICKY	 That sucks.	LESTER	 No actually, it was great. All I did was party and get laid. (smiles) I had my whole life ahead of me...	RICKY	 My dad thinks I pay for all this with catering jobs. (off Lester's look) Never underestimate the power of denial.			American Beauty 
LESTER	 No actually, it was great. All I did was party and get laid. (smiles) I had my whole life ahead of me...	RICKY	 My dad thinks I pay for all this with catering jobs. (off Lester's look) Never underestimate the power of denial.					American Beauty 
LESTER	 You're one to talk, you bloodless, money- grubbing freak.	CAROLYN	 (hostile) Lester. You have such hostility in you!	LESTER	 Do you mind? I'm trying to work out here. (then, suggestively) Unless you want to spot me.	CAROLYN	 You will not get away with this. You can be sure of that!	American Beauty 
CAROLYN	 (hostile) Lester. You have such hostility in you!	LESTER	 Do you mind? I'm trying to work out here. (then, suggestively) Unless you want to spot me.	CAROLYN	 You will not get away with this. You can be sure of that!	LESTER	 (as he lifts) That's. What. You. Think.	American Beauty 
CAROLYN	 You will not get away with this. You can be sure of that!	LESTER	 (as he lifts) That's. What. You. Think.					American Beauty 
BRAD	 (reads) "...my job consists of basically masking my contempt for the assholes in charge, and, at least once a day, retiring to the men's room so I can jerk off, while I fantasize about a life that doesn't so closely resemble hell." (looks up at Lester) Well, you obviously have no interest in saving yourself.	LESTER	 (laughs) Brad, for fourteen years I've been a whore for the advertising industry. The only way I could save myself now is if I start firebombing.	BRAD	 Whatever. Management wants you gone by the end of the day.	LESTER	 Well, just what sort of severance package is "management" prepared to offer me?	American Beauty 
BRAD	 Man. You are one twisted fuck.	LESTER	 (standing) Nope. I'm just an ordinary guy with nothing to lose.					American Beauty 
CAROLYN	 What's she doing in New York?	BUDDY	 She's moving there. (off Carolyn's look) Yes. We are splitting up.	CAROLYN	 Buddy. I'm so sorry.	BUDDY	 (bitterly) Yes, according to her, I'm too focused on my career. As if being driven to succeed is some sort of character flaw. Well, she certainly knew how to take advantage of the lifestyle my success afforded her. Oh. Wow. (then, laughing) Ah, it's for the best.	American Beauty 
CAROLYN	 Buddy. I'm so sorry.	BUDDY	 (bitterly) Yes, according to her, I'm too focused on my career. As if being driven to succeed is some sort of character flaw. Well, she certainly knew how to take advantage of the lifestyle my success afforded her. Oh. Wow. (then, laughing) Ah, it's for the best.	CAROLYN	 When I saw you two at the party the other night, you seemed perfectly happy.	BUDDY	 Well, call me crazy, but it is my philosophy that in order to be successful, one must project an image of success, at all times.	American Beauty 
RICKY (O.C.)	 Hi, Jane.	JANE	 (uncomfortable) Look. I want you to stop filming me.	RICKY	 Okay.	ANGELA	 Well, whatever. (to Jane) This is boring. Let's go.	American Beauty 
RICKY	 Okay.	ANGELA	 Well, whatever. (to Jane) This is boring. Let's go.	JANE	 (to Ricky) Do you need a ride?	ANGELA	 (to Jane) Are you crazy? I don't want to end up hacked to pieces in a dumpster somewhere.	American Beauty 
ANGELA	 Well, whatever. (to Jane) This is boring. Let's go.	JANE	 (to Ricky) Do you need a ride?	ANGELA	 (to Jane) Are you crazy? I don't want to end up hacked to pieces in a dumpster somewhere.	RICKY	 It's okay. I'll walk. But thanks.	American Beauty 
JANE	 (to Ricky) Do you need a ride?	ANGELA	 (to Jane) Are you crazy? I don't want to end up hacked to pieces in a dumpster somewhere.	RICKY	 It's okay. I'll walk. But thanks.	ANGELA	 Yeah, see? He doesn't want to go anyway. C'mon, let's go.	American Beauty 
ANGELA	 Yeah, see? He doesn't want to go anyway. C'mon, let's go.	JANE	 (calls off to Angela) I think I'm going to walk, too.	ANGELA	 What? Jane, that's like, almost a mile.			American Beauty 
DRIVE-THRU GIRL (O.C.)	 (over speaker box) Smile you're at Mr. Smiley's.	LESTER	 What?	DRIVE-THRU GIRL (O.C.)	 Would you like to try our new bacon and egg fajita just a dollar twenty-nine for a limited time only.			American Beauty 
DRIVE-THRU GIRL (O.C.)	 Would you like to try our new bacon and egg fajita just a dollar twenty-nine for a limited time only.	LESTER	 Uh... no. But thank you. (reading menu) I'll have a Big Barn Burger, Smiley fries, and an orange soda.	DRIVE-THRU GIRL (O.C.)	 Please drive up to the window, thank you.	DRIVE-THRU GIRL (CONT'D)	 Smile, you're at Mr. Smiley's, that'll be four eighty-nine, please.	American Beauty 
BUDDY	 I fire a gun.	CAROLYN	 (intrigued) Really.	BUDDY	 Oh yeah, I go to this little firing range downtown, and I just pop off a few rounds.	CAROLYN	 (embarrassed) I've never fired a gun before.	American Beauty 
BUDDY	 Oh yeah, I go to this little firing range downtown, and I just pop off a few rounds.	CAROLYN	 (embarrassed) I've never fired a gun before.	BUDDY	 Oh, you've gotta try it. Nothing makes you feel more powerful. (smiles seductively) Well, almost nothing.			American Beauty 
CAROLYN	 (embarrassed) I've never fired a gun before.	BUDDY	 Oh, you've gotta try it. Nothing makes you feel more powerful. (smiles seductively) Well, almost nothing.					American Beauty 
RICKY	 Have you ever known anybody who died?	JANE	 No. (a beat) Have you?	RICKY	 No, but I did see this homeless woman who froze to death once. Just laying there on the sidewalk. She looked really sad.	RICKY (CONT'D)	 I got that homeless woman on video.	American Beauty 
RICKY	 Mom, I want you to meet somebody. (no response) Mom.	BARBARA	 (pleasant) Yes?	RICKY	 I want you to meet somebody. This is Jane.	JANE	 Hi.	American Beauty 
JANE	 Nothing.	RICKY	 (concerned) No, you're scared of me.	JANE	 No I'm not.	RICKY	 You want to see the most beautiful thing I've ever filmed?	American Beauty 
RICKY (CONT'D)	 (distant) Sometimes there's so much beauty in the world I feel like I can't take it... and my heart is going to cave in.	JANE	 (suddenly) Oh my God. What time is it?					American Beauty 
JANE	 Sorry I'm late.	CAROLYN	 (overly cheerful) No, no, that's quite all right, dear. Your father and I were just discussing his day at work. (to Lester) Why don't you tell our daughter about it, honey?	LESTER	 Janie, today I quit my job. And then I told my boss to fuck himself, and then I blackmailed him for almost sixty thousand dollars. Pass the asparagus.	CAROLYN	 Your father seems to think this kind of behavior is something to be proud of.	American Beauty 
LESTER	 And your mother seems to prefer I go through life like a fucking prisoner while she keeps my dick in a mason jar under the sink.	CAROLYN	 (ashen) How dare you speak to me that way in front of her? And I marvel that you can be so contemptuous of me, on the same day that you lose your job!	LESTER	 Lose it? I didn't lose it. It's not like, "Oops, where'd my job go?" I quit. Someone pass me the asparagus.	CAROLYN	 Oh! Oh! And I want to thank you for putting me under the added pressure of being the sole breadwinner now--	American Beauty 
LESTER	 I already have a job.	CAROLYN	 (not stopping) No, no, don't give a second thought as to who's going to pay the mortgage. We'll just leave it all up to Carolyn. You mean, you're going to take care of everything now, Carolyn? Yes. I don't mind. I really don't. You mean, everything? You don't mind having the sole responsibility, your husband feels he can just quit his job--	LESTER	 (overlapping) Will someone pass me the fucking asparagus?	JANE	 (rises) Okay, I'm not going to be a part of this--	American Beauty 
CAROLYN	 (not stopping) No, no, don't give a second thought as to who's going to pay the mortgage. We'll just leave it all up to Carolyn. You mean, you're going to take care of everything now, Carolyn? Yes. I don't mind. I really don't. You mean, everything? You don't mind having the sole responsibility, your husband feels he can just quit his job--	LESTER	 (overlapping) Will someone pass me the fucking asparagus?	JANE	 (rises) Okay, I'm not going to be a part of this--	LESTER	 (means it) Sit down.	American Beauty 
LESTER	 (overlapping) Will someone pass me the fucking asparagus?	JANE	 (rises) Okay, I'm not going to be a part of this--	LESTER	 (means it) Sit down.	LESTER (CONT'D)	 I'm sick and tired of being treated    like I don't exist. You two do whatever    you want to do whenever you want to do    it and I don't complain. All I want is the    same courtesy--	American Beauty 
JANE	 (rises) Okay, I'm not going to be a part of this--	LESTER	 (means it) Sit down.	LESTER (CONT'D)	 I'm sick and tired of being treated    like I don't exist. You two do whatever    you want to do whenever you want to do    it and I don't complain. All I want is the    same courtesy--	CAROLYN	 (overlapping) Oh, you don't complain? Oh, excuse me. Excuse me. I must be psychotic then, if you don't complain. What is this?! Am I locked away in a padded cell somewhere, hallucinating? That's the only explanation I can think of--	American Beauty 
LESTER (CONT'D)	 I'm sick and tired of being treated    like I don't exist. You two do whatever    you want to do whenever you want to do    it and I don't complain. All I want is the    same courtesy--	CAROLYN	 (overlapping) Oh, you don't complain? Oh, excuse me. Excuse me. I must be psychotic then, if you don't complain. What is this?! Am I locked away in a padded cell somewhere, hallucinating? That's the only explanation I can think of--	LESTER	 (casual) Don't interrupt me, honey.	LESTER (CONT'D)	 Oh, and another thing. From now on, we're going to alternate our dinner music. Because frankly, and I don't think I'm alone here, I'm really tired of this Lawrence Welk shit.	American Beauty 
CAROLYN	 (overlapping) Oh, you don't complain? Oh, excuse me. Excuse me. I must be psychotic then, if you don't complain. What is this?! Am I locked away in a padded cell somewhere, hallucinating? That's the only explanation I can think of--	LESTER	 (casual) Don't interrupt me, honey.	LESTER (CONT'D)	 Oh, and another thing. From now on, we're going to alternate our dinner music. Because frankly, and I don't think I'm alone here, I'm really tired of this Lawrence Welk shit.			American Beauty 
JANE	 Aw, Christ, Mom.	CAROLYN	 (tearful) No, I'm glad because you're old enough now to learn the most important lesson in life: you cannot count on anyone except yourself. (sighs) You cannot count on anyone except yourself. It's sad, but true, and the sooner you learn it, the better.	JANE	 Look, Mom, I really don't feel like having a Kodak moment here, okay?	CAROLYN	 You ungrateful little brat. Just look at everything you have. When I was your age, I lived in a duplex. We didn't even have our own house.	American Beauty 
COLONEL	 (unnerved) How!? How?! C'mon, get up! Fight back, you little pussy!	RICKY	 No, sir. I won't fight you.	COLONEL	 How did you get in there?			American Beauty 
COLONEL	 You need structure, you need discipline--	RICKY	 (simultaneous) Discipline. Yes, sir, thank you for trying to teach me. Don't give up on me, Dad.	COLONEL	 Oh, Ricky...	COLONEL (CONT'D)	 You stay out of there.	American Beauty 
ATTENDANT	 (loading gun) I gotta say, Mrs. Burnham, when you first came here I thought you would be hopeless. But you're a natural.	CAROLYN	 Well, all I know is... I love shooting this gun!					American Beauty 
CAROLYN	 Shouldn't you have consulted me first?	LESTER	 Hmm, let me think... No. You never drove it. (then) Have you done something different? You look great.	CAROLYN	 (brusque) Where's Jane?	LESTER	 Jane not home. We have the whole house to ourselves.	American Beauty 
LESTER	 Hmm, let me think... No. You never drove it. (then) Have you done something different? You look great.	CAROLYN	 (brusque) Where's Jane?	LESTER	 Jane not home. We have the whole house to ourselves.	LESTER (CONT'D)	 Christ, Carolyn. When did you become so... joyless?	American Beauty 
LESTER (CONT'D)	 Christ, Carolyn. When did you become so... joyless?	CAROLYN	 (taken aback) Joyless?! I am not joyless! There happens to be a lot about me that you don't know, mister smarty man. There is plenty of joy in my life.	LESTER	 (leaning toward her) Whatever happened to that girl who used to fake seizures at frat parties when she got bored? And who used to run up to the roof of our first apartment building to flash the traffic helicopters? Have you totally forgotten about her? Because I haven't.	CAROLYN	 (barely audible) Lester. You're going to spill beer on the couch.	American Beauty 
CAROLYN	 (taken aback) Joyless?! I am not joyless! There happens to be a lot about me that you don't know, mister smarty man. There is plenty of joy in my life.	LESTER	 (leaning toward her) Whatever happened to that girl who used to fake seizures at frat parties when she got bored? And who used to run up to the roof of our first apartment building to flash the traffic helicopters? Have you totally forgotten about her? Because I haven't.	CAROLYN	 (barely audible) Lester. You're going to spill beer on the couch.	LESTER	 So what? It's just a couch.	American Beauty 
LESTER	 (leaning toward her) Whatever happened to that girl who used to fake seizures at frat parties when she got bored? And who used to run up to the roof of our first apartment building to flash the traffic helicopters? Have you totally forgotten about her? Because I haven't.	CAROLYN	 (barely audible) Lester. You're going to spill beer on the couch.	LESTER	 So what? It's just a couch.	CAROLYN	 This is a four thousand dollar sofa upholstered in Italian silk. This is not "just a couch."	American Beauty 
JANE	 (shy) Don't.	RICKY	 Why?	JANE	 (re: image on TV) It's weird, watching myself. I don't like how I look.			American Beauty 
RICKY	 Why?	JANE	 (re: image on TV) It's weird, watching myself. I don't like how I look.	RICKY	 I can't believe you don't know how beautiful you are.	JANE	 I'm not going to sit here for that shit.	American Beauty 
JANE (CONT'D)	 Tell me about being in the hospital.	RICKY	 When I was fifteen, my dad caught me smoking dope. He totally freaked and decided to send me to military school. I told you his whole thing about structure and discipline, right? (laughs) Well, of course, I got kicked out. Dad and I had this huge fight, and he hit me... and then the next day at school, some kid made a crack about my haircut, and... I just snapped. I wanted to kill him. And I would have. Killed him. If they hadn't pulled me off. (then) That's when my dad put me in the hospital. Then they drugged me up and left me in there for two years.	JANE	 Wow. You must really hate him.	RICKY	 He's not a bad man.	American Beauty 
RICKY	 He's not a bad man. He grabs a half-smoked JOINT from an ashtray and lights it.	JANE	 Well... you better believe I'd hate my father if he did something like that to me. (laughs) Wait. I do hate my father.	RICKY	 Why?	JANE	 He's a total asshole and he's got this crush on my friend Angela and it's disgusting.	American Beauty 
RICKY	 You'd rather he had the crush on you?	JANE	 Gross, no! But it'd be nice if I was anywhere near as important to him as she is. (then)	JANE (CONT'D)	 I know you think my dad's harmless, but you're wrong. He's doing massive psychological damage to me.	RICKY	 How?	American Beauty 
JANE	 Yeah, would you?	RICKY	 (smiles) It'll cost you.	JANE	 Well, I've been baby-sitting since I was about ten. I've got almost three thousand dollars. 'Course, I was saving it up for a boob job.	JANE (CONT'D)	 But my tits can wait, huh?	American Beauty 
JANE	 Mom, is it okay if Angela sleeps over tonight?	CAROLYN	 Well, of course, she's always welcome. (on her way out) You know, I thought maybe you two had a fight. I haven't seen her around here in a while.	LESTER	 What?	JANE	 (nervous) I've been too embarrassed to bring her over. Because of you, and the way that you behave.	American Beauty 
LESTER	 What?	JANE	 (nervous) I've been too embarrassed to bring her over. Because of you, and the way that you behave.	LESTER	 What are you talking about? I've barely even spoken to her.	JANE	 (angry) Dad! You stare at her all the time, like you're drunk! It's disgusting!	American Beauty 
LESTER	 What are you talking about? I've barely even spoken to her.	JANE	 (angry) Dad! You stare at her all the time, like you're drunk! It's disgusting!	LESTER	 (angry himself) You better watch yourself, Janie, or you're going to turn into a real bitch, just like your mother.	LESTER (CONT'D)	 (under his breath) Fuck.	American Beauty 
JANE	 (angry) Dad! You stare at her all the time, like you're drunk! It's disgusting!	LESTER	 (angry himself) You better watch yourself, Janie, or you're going to turn into a real bitch, just like your mother.	LESTER (CONT'D)	 (under his breath) Fuck.			American Beauty 
COLONEL	 (brusque) You ready to go?	RICKY	 Oh, I don't need a ride. I'm going to go in with Jane and her mom.					American Beauty 
LESTER	 You need more than that, my little hombre.	CAROLYN (O.S.)	 (over speakers) What's good here?	BUDDY (O.C.)	 (over speakers) Nothing.	CAROLYN (O.C.)	 (over speakers) Then I guess we'll just have to be bad, won't we? (then) I think I'll have a double Smiley Sandwich and curly fries, and a vanilla shake.	American Beauty 
