WOODWARD	 You call me in on my day off because some idiots have broken into local Democratic Headquarters--tell me, Harry, why should I be smiling?	ROSENFELD	 As usual, that keen mind of yours has pegged the situation perfectly. (chomps on some Maalox tablets) Except (a) it wasn't local Democratic Headquarters, it was National Democratic Headquarters-- (WOODWARD is surprised-- he hadn't known) --and (b) these weren't just any idiots, these were special idiots, seeing as when they were arrested at 2:30 this morning, they were all wearing business suits and Playtex gloves and were carrying-- (consults a piece of paper) --a walkie-talkie, forty rolls of film, cameras, lock picks, pen-sized tear gas guns, plus various bugging devices. (puts paper down) Not to mention over two thousand dollars, mostly in sequenced hundred dollar bills.	WOODWARD	 Preliminary hearing at Superior Courthouse?	ROSENFELD	 (nods) Two o'clock, work the phones 'til you go.	All the President's Men 
WOODWARD (V.O.)	 (from behind the pillar) Carl?	BERNSTEIN	 (turns) Yeah?	WOODWARD	 (pushing his chair briefly into view) Fuck you, Carl.			All the President's Men 
BERNSTEIN	 (turns) Yeah?	WOODWARD	 (pushing his chair briefly into view) Fuck you, Carl.					All the President's Men 
PULL BACK TO REVEAL:		BERNSTEIN	 You heard? (WOODWARD glances up) They put us both on the break-in thing. Simons liked the way we worked together. (WOODWARD nods, BERNSTEIN sits down) Listen, I'm sorry I said your story was bullshit.	WOODWARD	 It's OK; I'm sorry I called you a failure.	BERNSTEIN	 Forget it, the main thing-- (stops) --did you call me a failure?	All the President's Men 
WOODWARD	 It's OK; I'm sorry I called you a failure.	BERNSTEIN	 Forget it, the main thing-- (stops) --did you call me a failure?	WOODWARD	 I was sure trying.			All the President's Men 
BERNSTEIN	 Let me lay a little theory on you--	WOODWARD	 (cutting him off) --I'm not interested in theory. What do we know? For example, Hunt's disappeared.	BERNSTEIN	 Well, Barker tried to get blueprints of the Miami Convention Center and the air-conditioning system.	WOODWARD	 And McCord was carrying an application for college press credentials for the Democratic convention. (to BERNSTEIN) The Times has got to be full of it-- it can't be crazy Cubans.	All the President's Men 
BERNSTEIN	 Well, Barker tried to get blueprints of the Miami Convention Center and the air-conditioning system.	WOODWARD	 And McCord was carrying an application for college press credentials for the Democratic convention. (to BERNSTEIN) The Times has got to be full of it-- it can't be crazy Cubans.	BERNSTEIN	 What, though? (points to Nixon) It can't be the Republicans--he'd never allow something as stupid as this, not when he's gonna slaughter McGovern anyway.	WOODWARD	 Right. Nixon didn't get where he got by being dumb-- (stops abruptly) --listen, that was a Watergate question--	All the President's Men 
WOODWARD	 And McCord was carrying an application for college press credentials for the Democratic convention. (to BERNSTEIN) The Times has got to be full of it-- it can't be crazy Cubans.	BERNSTEIN	 What, though? (points to Nixon) It can't be the Republicans--he'd never allow something as stupid as this, not when he's gonna slaughter McGovern anyway.	WOODWARD	 Right. Nixon didn't get where he got by being dumb-- (stops abruptly) --listen, that was a Watergate question--			All the President's Men 
BERNSTEIN	 What, though? (points to Nixon) It can't be the Republicans--he'd never allow something as stupid as this, not when he's gonna slaughter McGovern anyway.	WOODWARD	 Right. Nixon didn't get where he got by being dumb-- (stops abruptly) --listen, that was a Watergate question--					All the President's Men 
WOODWARD	 What do you think he meant, this particular incident? Were there others? How would we find out? You know anyone important?	BERNSTEIN	 (sits, shakes his head) I lived here all my life, I got a million contacts, but they're all bus boys and bellhops.	RINGLE	 What do you need?	BERNSTEIN	 Someone inside the White House would be nice.	All the President's Men 
BERNSTEIN	 Someone inside the White House would be nice.	RINGLE	 (writes down phone number) Call her. She worked for Colson, if that's any help.					All the President's Men 
BERNSTEIN	 Nothing at all you can remember?	SECRETARY	 (headshake) Sorry. (pause) Now if it was Hunt you were interested in--	BERNSTEIN	 --Howard Hunt?	SECRETARY	 Sure. Him I liked, he was a very nice person. Secretive too, traveled all over, but a decent man.	All the President's Men 
OPERATOR (V.O.)	 One moment.	LIBRARIAN (V.O.)	 (elderly-sounding lady) Library.	BERNSTEIN	 Hi. Carl Bernstein of the Washington Post. I was just wondering if you remember the names of any of the books that Howard Hunt checked out on Senator Kennedy.	LIBRARIAN (V.O.)	 I think I do remember, he took out a whole bunch of material. Let me just go see.	All the President's Men 
BERNSTEIN	 Yes, ma'am.	LIBRARIAN (V.O.)	 What I said before? I was wrong. The truth is, I don't have a card that Mr. Hunt took out any Kennedy material. (WOODWARD and BERNSTEIN listen, and now there is something in her voice that wasn't there before: fear) I remember getting that material out for somebody, but it wasn't Mr. Hunt. The truth is, I've never had any requests at all from Mr. Hunt. (beat) The truth is, I don't know Mr. Hunt.					All the President's Men 
YOUNG CLERK	 You want every request since when?	BERNSTEIN	 (to WOODWARD) When did Hunt start at the White House?	WOODWARD	 July of '71.	BERNSTEIN	 About the past year.	All the President's Men 
BERNSTEIN	 About the past year.	CLERK	 (starts to smile) I'm not sure you want 'em, but I got 'em.					All the President's Men 
CLERK	 I can't believe you guys are actually doing this.	WOODWARD	 (to the clerk) You do a lot of things when you're on a story. (to BERNSTEIN, quietly) Can you believe we're actually doing this? (BERNSTEIN can't)					All the President's Men 
BERNSTEIN	 That was fun. (slams the door) What now?	WOODWARD	 I met a Presidential aide once at a social occasion.	BERNSTEIN	 (stunned) And you haven't called him?--			All the President's Men 
WOODWARD	 I met a Presidential aide once at a social occasion.	BERNSTEIN	 (stunned) And you haven't called him?--					All the President's Men 
BRADLEE	 You haven't got it. (before they can reply) A librarian and a secretary say Hunt looked at a book. (shakes his head) Not good enough.	WOODWARD	 I was told by this guy at the White House that Hunt was investigating Teddy Kennedy.	BRADLEE	 How senior?			All the President's Men 
BRADLEE	 How senior?	WOODWARD	 (edgy) You asking me to disclose my source?	BRADLEE	 Just tell me his title.	WOODWARD	 I don't know titles.	All the President's Men 
WOODWARD	 Nothing, that's the problem--the story's gone underground.	DEEP THROAT	 You thought I'd help out on specifics? (headshake) I'll confirm what you get, try to keep you on the right track, but that's all. (looks at WOODWARD) Are you guys really working? (WOODWARD nods) How much?	WOODWARD	 I don't know maybe sixteen, eighteen hours a day--we've got sources at Justice, the FBI, but it's still drying up.	DEEP THROAT	 Then there must be something, mustn't there. Look, forget the myths the media's created about the White House-- the truth is, these are not very bright guys, and things got out of hand.	All the President's Men 
WOODWARD	 If you don't like them, why won't you be more concrete with me?	DEEP THROAT	 Because the press stinks too--history on the run, that's all you're interested in. (inhales) You come up with anything?	WOODWARD	 John Mitchell resigned as head of CREEP to spend more time with his family. That doesn't exactly have the ring of truth. (DEEP THROAT nods) Howard Hunt's been found--there was talk that his lawyer had 25 thousand in cash in a paper bag.	DEEP THROAT	 Follow the money. Always follow the money.	All the President's Men 
DEEP THROAT	 Because the press stinks too--history on the run, that's all you're interested in. (inhales) You come up with anything?	WOODWARD	 John Mitchell resigned as head of CREEP to spend more time with his family. That doesn't exactly have the ring of truth. (DEEP THROAT nods) Howard Hunt's been found--there was talk that his lawyer had 25 thousand in cash in a paper bag.	DEEP THROAT	 Follow the money. Always follow the money.	WOODWARD	 To where?	All the President's Men 
WOODWARD	 To where?	DEEP THROAT	 (shakes his head "no") Go on.	WOODWARD	 This man Gordon Liddy--he's going to be tried along with Hunt and the five burglars--we know he knows a lot, we just don't know what.	DEEP THROAT	 (lights a new cigarette) You changed cabs? You're sure no one followed you?	All the President's Men 
WOODWARD	 This man Gordon Liddy--he's going to be tried along with Hunt and the five burglars--we know he knows a lot, we just don't know what.	DEEP THROAT	 (lights a new cigarette) You changed cabs? You're sure no one followed you?	WOODWARD	 I did everything you said, but it all seemed--	DEEP THROAT	 --melodramatic? (headshakes) Things are past that--remember, these are men with switchblade mentalities who run the world as if it were Dodge City.	All the President's Men 
WOODWARD	 I did everything you said, but it all seemed--	DEEP THROAT	 --melodramatic? (headshakes) Things are past that--remember, these are men with switchblade mentalities who run the world as if it were Dodge City.	WOODWARD	 What's the whole thing about--do you know?	DEEP THROAT	 What I know, you'll have to find out on your own.	All the President's Men 
BERNSTEIN	 Why couldn't you have just dialed me from the office, Irwin?	IRWIN	 'Cause I'm not calling out from the phone company anymore-- (drops his voice) --I think the place is bugged.	BERNSTEIN	 (taking some peanuts) So tell me about the Times article.	IRWIN	 What do you want to know?	All the President's Men 
IRWIN	 'Cause I'm not calling out from the phone company anymore-- (drops his voice) --I think the place is bugged.	BERNSTEIN	 (taking some peanuts) So tell me about the Times article.	IRWIN	 What do you want to know?	BERNSTEIN	 No games, Irwin; give.	All the President's Men 
BERNSTEIN	 No games, Irwin; give.	IRWIN	 (looks at BERNSTEIN) My big civil rights buddy-- (shakes his head) --boy, if John Mitchell was after your phone records, would you be screaming. (eats) What're you onto?	BERNSTEIN	 Something maybe big.	IRWIN	 And that makes anything you do OK, is that it?	All the President's Men 
BERNSTEIN	 Just tell me about the goddamn article.	IRWIN	 (shelling away) It was accurate, but I can't get a fuller listing for you--all Barker's phone records have been subpoenaed.	BERNSTEIN	 Who by?	IRWIN	 A Miami D.A. The guy doing the investigating is named Martin Dardis. (finishes his peanuts, starts off)	All the President's Men 
BERNSTEIN	 Who by?	IRWIN	 A Miami D.A. The guy doing the investigating is named Martin Dardis. (finishes his peanuts, starts off)	BERNSTEIN	 Irwin? I really feel bad, doing something like this--you know that, don't you?	IRWIN	 Don't give me any more of your liberal shit, OK, Carl?	All the President's Men 
ROSENFELD	 I'm the one sent you to Toronto, Bernstein--	BERNSTEIN	 (trying to head him off) --that was awhile ago--	ROSENFELD	 --"I think it might be helpful if you'd send me to Toronto." That was your spiel then. "The Lifestyles of Deserters." (whirls on BERNSTEIN) I'm still waiting for it.	BERNSTEIN	 Down to Miami and back--how much damage can I do?	All the President's Men 
BERNSTEIN	 (trying to head him off) --that was awhile ago--	ROSENFELD	 --"I think it might be helpful if you'd send me to Toronto." That was your spiel then. "The Lifestyles of Deserters." (whirls on BERNSTEIN) I'm still waiting for it.	BERNSTEIN	 Down to Miami and back--how much damage can I do?	ROSENFELD	 You're the fella who forgot he rented a Hertz car, do I have to tell you they didn't forget to send us the bill?	All the President's Men 
ROSENFELD	 I can predict the next words you're gonna say: "anyone but Bernstein." (SIMONS gestures for ROSENFELD to continue) I want to send a reporter to Miami.	SIMONS	 Anyone but Bernstein.	ROSENFELD	 Howard--			All the President's Men 
SIMONS	 I don't get it--you were the one who wanted to fire him.	ROSENFELD	 I know, I did, but damnit Howard-- (SIMONS looks at him) For the first time since I've known him, I think he's really humping...					All the President's Men 
BERNSTEIN	 Hannah, I never would have bothered you but I'm off to Miami and they're gonna take away my ten speed unless I get it straightened out fast.	HANNAH	 (glancing around the chaos) Where are your bills, Carl?	BERNSTEIN	 Oh, they're here. (starts lifting debris from his desk) I'm keeping much better records now, Hannah. (grabbing a big manila envelope) See? (hands it to her)	HANNAH	 (looks inside) Carl, it's a jungle. (sits at his desk, takes out a mass of papers--glancing at the top bill) I suggest you either pay this immediately or lay in a large supply of candles. (studies another bill) You'd give a stranger the shirt off your back--except it wouldn't be paid for.	All the President's Men 
HANNAH	 (glancing around the chaos) Where are your bills, Carl?	BERNSTEIN	 Oh, they're here. (starts lifting debris from his desk) I'm keeping much better records now, Hannah. (grabbing a big manila envelope) See? (hands it to her)	HANNAH	 (looks inside) Carl, it's a jungle. (sits at his desk, takes out a mass of papers--glancing at the top bill) I suggest you either pay this immediately or lay in a large supply of candles. (studies another bill) You'd give a stranger the shirt off your back--except it wouldn't be paid for.	BERNSTEIN	 Hey... very tense.	All the President's Men 
BERNSTEIN	 Oh, they're here. (starts lifting debris from his desk) I'm keeping much better records now, Hannah. (grabbing a big manila envelope) See? (hands it to her)	HANNAH	 (looks inside) Carl, it's a jungle. (sits at his desk, takes out a mass of papers--glancing at the top bill) I suggest you either pay this immediately or lay in a large supply of candles. (studies another bill) You'd give a stranger the shirt off your back--except it wouldn't be paid for.	BERNSTEIN	 Hey... very tense.	HANNAH	 (nods) Lot of pressure at the Star. (looking at the bills) Carl, when we got married, you were four thousand dollars in debt; when we split, you were solvent. That may prove to be the outstanding single achievement of my life, and now look at this. (sighs) How much did the damn bike cost?	All the President's Men 
BERNSTEIN	 Hey... very tense.	HANNAH	 (nods) Lot of pressure at the Star. (looking at the bills) Carl, when we got married, you were four thousand dollars in debt; when we split, you were solvent. That may prove to be the outstanding single achievement of my life, and now look at this. (sighs) How much did the damn bike cost?	BERNSTEIN	 Five hundred; six maybe.	HANNAH	 (looking at paper) You're two months behind--you got enough to cover?	All the President's Men 
BERNSTEIN	 Five hundred; six maybe.	HANNAH	 (looking at paper) You're two months behind--you got enough to cover?	BERNSTEIN	 I think.	HANNAH	 Give me your checkbook then.	All the President's Men 
HANNAH	 You're a sex junkie, you know that, Carl?	BERNSTEIN	 Nobody's perfect. (more rubbing now) I'm glad you're out of it, Hannah-- you're a terrific reporter and I turned you into a bookkeeper.	HANNAH	 Aw baby, you can get it up... I just wonder if you'll ever be able to get it together.			All the President's Men 
BERNSTEIN	 Hi, it's me. I'm still here.	SECRETARY	 (couldn't be nicer) I'm so glad.	BERNSTEIN	 I'd really like to see Mr. Dardis.	SECRETARY	 And you will. (smiles) But not now.	All the President's Men 
BERNSTEIN	 I'd really like to see Mr. Dardis.	SECRETARY	 And you will. (smiles) But not now.	BERNSTEIN	 I called him from Washington. He's the one who asked me to be here at eleven in the morning.	SECRETARY	 I told you, he had to go out on a case.	All the President's Men 
BERNSTEIN	 Could you reach Mr. Dardis by car radio?	SECRETARY	 He is not in the car. (Smiles; she's just so understanding) Sorry.					All the President's Men 
SECRETARY	 Well of course.	BERNSTEIN	 (quietly) Good. Just tell him I was here, that I'm sorry I missed him--					All the President's Men 
BERNSTEIN	 (to DARDIS) Look, you've been jerking my chain all day. If there's some reason you can't talk to me--like the fact that you've already leaked everything to The New York Times--just say so.	DARDIS	 Listen, I've got a dinner--can't we do this tomorrow?	BERNSTEIN	 (headshake) I'm on deadline.			All the President's Men 
DARDIS	 Listen, I've got a dinner--can't we do this tomorrow?	BERNSTEIN	 (headshake) I'm on deadline.					All the President's Men 
