JACK	 Yes, well thank you very much for the ride, sir.  You have lovely sheep.	TRUCK DRIVER	 (as he clambers back up on his truck) Boys, keep off the moors. Stay on the road.  Good luck to you.	DAVID	 Thanks again!			American Werewolf in London 
WOMAN	 That's very funny, that is.	JACK	 (to David) Go on, ask them.	DAVID	 (to Jack) You ask them.	CHESS PLAYER	 Here now, let me finish!  So halfway over the ocean the engines run low on petrol so they have to lighten the plane.  So they heave out all the baggage, but it's still too heavy.  So they chuck out the seats, but it's still too heavy!  Finally this Froggy steps up and shouts "Viva la France" and leaps out.  Then an Englishman....	American Werewolf in London 
JACK	 (to David) Go on, ask them.	DAVID	 (to Jack) You ask them.	CHESS PLAYER	 Here now, let me finish!  So halfway over the ocean the engines run low on petrol so they have to lighten the plane.  So they heave out all the baggage, but it's still too heavy.  So they chuck out the seats, but it's still too heavy!  Finally this Froggy steps up and shouts "Viva la France" and leaps out.  Then an Englishman....	DART PLAYERS	 Hear!  Hear!	American Werewolf in London 
DART PLAYERS	 Hear!  Hear!	CHESS PLAYER	 (undaunted) ...steps up and shouts `God save the Queen!' and leaps out.  But the plane is still too heavy.  So the Yank delegate from Texas steps up, shouts, `Remember the Alamo!' and chucks out the Mexican.	DART PLAYER	 Remember the Alamo!	JACK	 Excuse me, but what's that star on the wall for?	American Werewolf in London 
JACK	 Excuse me, but what's that star on the wall for?	DART PLAYER	 (angry) You've made me miss.	JACK	 I'm sorry.	DART PLAYER	 I've never missed the board before.	American Werewolf in London 
JACK	 Apparently so.	WOMAN	 (to men) You can't let them go.	DAVID	 (worried) How much do we owe you?	CHESS PLAYER	 Nothing, lads.  Go, God be with you.	American Werewolf in London 
WOMAN	 (to men) You can't let them go.	DAVID	 (worried) How much do we owe you?	CHESS PLAYER	 Nothing, lads.  Go, God be with you.	DAVID	 Uh, thank you.	American Werewolf in London 
WOMAN	 You can't let them go.	DART PLAYER	 (angry) Should the world know our business?!	CHESS PLAYER	 It's murder then.	DART PLAYER	 Then murder it is!  It's in God's hands now.	American Werewolf in London 
DAVID	 What's the plan?	JACK	 (nervously) Plan?	DAVID	 (not too relaxed himself) Let's just keep walking.	DAVID	 That's right, a lovely stroll in the moors.  Tra-la-la, isn't this fun?	American Werewolf in London 
JACK	 (nervously) Plan?	DAVID	 (not too relaxed himself) Let's just keep walking.	DAVID	 That's right, a lovely stroll in the moors.  Tra-la-la, isn't this fun?	DAVID	 It's in front of us.	American Werewolf in London 
MISS GALLAGHER	 I looked.	ALEX	 (smiles) Really, Susan, I don't think that was very proper, and besides, it's common practice now.	DR. HIRSCH	 Yes, Miss Gallagher, Miss Price is quite right.	ALEX	 Dr. Hirsch, Mr. Kessler cried out a minute ago.	American Werewolf in London 
DAVID	 The guy I was with.  Is he all right?  How did I get to London?	DR. HIRSCH	 (quietly) Now, David, I want you to prepare yourself; your friend is dead. David jolts up in bed and shouts.	DAVID	 What?	DAVID	 Ow, shit!	American Werewolf in London 
MR. COLLINS	 Mr. Goodman's body has been air-freighted back to New York for burial and your parents have wired funds for your stay in the hospital until you are well enough to fly home.	DAVID	 (controlled tears) You don't crate and ship Jack like some side of beef. (approaching hysteria) Who the hell are you people? What's going on here?  Where is Jack?  I demand to see him!	DR. HIRSCH	 (holds David down, calls out) Miss Price!  Miss Price, please!	DAVID	 (shouting) Get your fucking hands off me! What the hell is going on here?	American Werewolf in London 
DAVID	 (controlled tears) You don't crate and ship Jack like some side of beef. (approaching hysteria) Who the hell are you people? What's going on here?  Where is Jack?  I demand to see him!	DR. HIRSCH	 (holds David down, calls out) Miss Price!  Miss Price, please!	DAVID	 (shouting) Get your fucking hands off me! What the hell is going on here?	MR. COLLINS	 (distraught, clutching his briefcase) I realize how upsetting this must be for you, Mr. Kessler, but please try to refrain from hysterics.	American Werewolf in London 
DR. HIRSCH	 (holds David down, calls out) Miss Price!  Miss Price, please!	DAVID	 (shouting) Get your fucking hands off me! What the hell is going on here?	MR. COLLINS	 (distraught, clutching his briefcase) I realize how upsetting this must be for you, Mr. Kessler, but please try to refrain from hysterics.	DR. HIRSCH	 Prepare a hypodermic, please, Miss Price.	American Werewolf in London 
DAVID	 (shouting) Get your fucking hands off me! What the hell is going on here?	MR. COLLINS	 (distraught, clutching his briefcase) I realize how upsetting this must be for you, Mr. Kessler, but please try to refrain from hysterics.	DR. HIRSCH	 Prepare a hypodermic, please, Miss Price.	MR. COLLINS	 Now, Mr. Kessler, try not to excite yourself.  Everything has been arranged.  I shall come back to check on your progress and send a report to your parents.  The police have requested to interview you and I have given them permission to do so.	American Werewolf in London 
DR. HIRSCH	 You've suffered some rather severe cuts and bruises, lost a bit of blood, but nothing too serious; black and blue for a while.  You'll have some dueling scars to boast of. That lunatic must have been a very fierce fellow.  They say a mad man has the strength of ten.	DAVID	 (softly, as the drugs take hold) Lunatic?	DR. HIRSCH	 Now we've just given you a pretty strong sedative, so try to get some rest now.  Miss Price will see to your needs. Rest now.	DAVID	 (softly) It wasn't a lunatic.	American Werewolf in London 
DR. HIRSCH	 Now we've just given you a pretty strong sedative, so try to get some rest now.  Miss Price will see to your needs. Rest now.	DAVID	 (softly) It wasn't a lunatic.	ALEX	 (puzzled) I beg your pardon?	DAVID	 It was a wolf.	American Werewolf in London 
DAVID	 (softly) It wasn't a lunatic.	ALEX	 (puzzled) I beg your pardon?	DAVID	 It was a wolf.	ALEX	 (bends down close to hear) What?	American Werewolf in London 
DAVID	 It was a wolf.	ALEX	 (bends down close to hear) What?	DAVID	 A wolf.	DR. HIRSCH	 Did he say a wolf?	American Werewolf in London 
MISS GALLAGHER	 Mr. Kessler?  Wake up, please.	DAVID	 (awakened) I was having a nightmare.	MISS GALLAGHER	 Yes, well these should help that.  That's right, drink up.	MISS GALLAGHER	 Now go back to sleep so you'll be fresh for Dr. Hirsch in the morning.	American Werewolf in London 
MISS GALLAGHER	 An American film about the Mafia called `See You Next Wednesday', and I want to see it badly, so you give me no problems and go to sleep.	DAVID	 (dropping off) Do you have bad dreams, too?	MISS GALLAGHER	 Some, everyone does.	DAVID	 Yes, but does everyone kill Bambi?	American Werewolf in London 
ALEX	 You know, did he seem depressed?  Do you think he'll eat the food?	ORDERLY	 (annoyed) I'm an orderly, not a bleeding psychiatrist!  I push things about, but I've little say what happens to them.	ALEX	 Thank you.			American Werewolf in London 
ALEX	 (softly) Mr. Kessler?	DAVID	 (lifeless) Yes?	ALEX	 You haven't eaten your lunch.	DAVID	 I'm not very hungry, thank you.	American Werewolf in London 
DAVID	 How is that?	ALEX	 (she shakes the paper cup) Well, you're to take these after you've eaten.  Now what kind of nurse would I be if I failed in so simple a task as giving out some pills?	DAVID	 Leave the pills.  I'll take them later.	ALEX	 Sorry.	American Werewolf in London 
DR. HIRSCH	 You've never had bad dreams before?	DAVID	 (upset) Sure, as a kid.  But never so real.  Never so bizarre.	DR. HIRSCH	 Did you get a good look at the man who attacked you?	DAVID	 I've told you, it wasn't a man.  It was an animal.  A big wolf or something.  A rabid dog.	American Werewolf in London 
DAVID	 I've told you, it wasn't a man.  It was an animal.  A big wolf or something.  A rabid dog.	DR. HIRSCH	 (chewing on his glasses) Yes.	DAVID	 Look, Dr. Hirsch, I know I've been traumatized, but Jack was torn apart.  I saw him.  A man can't do that to someone with his bare hands.	DR. HIRSCH	 You'd be surprised what horrors a man is capable of.	American Werewolf in London 
DAVID	 Then why the hell are you so quick to disbelieve me?  You yourself said it must have taken incredible strength to tear apart a person like that.	DR. HIRSCH	 (rubs his forehead) David, please.  The police are satisfied.  I'm certain that if a monster were out roaming northern England we'd have seen it on the telly.	DAVID	 You really think I'm crazy, don't you?	DR. HIRSCH	 Believe me.  The Hound of the Baskervilles was an invention of Sir Arthur Conan Doyle's. And if you'd read the bloody book, you'd find that Holmes discovered your house of hell a fraud, a fake.	American Werewolf in London 
DR. HIRSCH	 Now really, David.  You're far too intelligent to go on this way.  When you return to America I want you to seek out a competent psychiatrist or psychologist or something and stop this nonsense.  You'll be leaving this hospital in three or four days, please remain sane.  At least until you are no longer our responsibility.	DAVID	 Dr. Hirsch? (pause) I'd rather not be by myself.	DR. HIRSCH	 Of course not, David.  I'll fetch in young Miss Price.	DISSOLVE		American Werewolf in London 
DAVID	 (quietly) You're a very beautiful girl.	ALEX	 (embarrassed) I thought you were asleep.	DAVID	 I was.  What are you reading?	ALEX	 `A Connecticut Yankee in King Arthur's Court' by Mark Twain.	American Werewolf in London 
ALEX	 Was Jack Goodman your good friend?	DAVID	 (seriously) My best friend.  My very best friend.	ALEX	 (embarrassed) Shall I read to you?	DAVID	 What?  Oh, yes, please.	American Werewolf in London 
DAVID	 (seriously) My best friend.  My very best friend.	ALEX	 (embarrassed) Shall I read to you?	DAVID	 What?  Oh, yes, please.	ALEX	 (opens book) A Connecticut Yankee in King Arthur's Court by Samuel L. Clemens.  This is after the preface but before chapter one: A Word of Explanation. You all right?	American Werewolf in London 
DAVID	 What?  Oh, yes, please.	ALEX	 (opens book) A Connecticut Yankee in King Arthur's Court by Samuel L. Clemens.  This is after the preface but before chapter one: A Word of Explanation. You all right?	DAVID	 (settles back) Yes, go on.	ALEX	 (clears her throat) Ahem, A Word of Explanation. It was in Warwick Castle that I came across the curious stranger whom I am going to talk about.  He attracted me by three things: his candid simplicity, his marvelous familiarity with ancient armor, and the restfulness of his company - for he did all the talking.  We fell together as modest people will in the tail of the herd....	American Werewolf in London 
ALEX	 (opens book) A Connecticut Yankee in King Arthur's Court by Samuel L. Clemens.  This is after the preface but before chapter one: A Word of Explanation. You all right?	DAVID	 (settles back) Yes, go on.	ALEX	 (clears her throat) Ahem, A Word of Explanation. It was in Warwick Castle that I came across the curious stranger whom I am going to talk about.  He attracted me by three things: his candid simplicity, his marvelous familiarity with ancient armor, and the restfulness of his company - for he did all the talking.  We fell together as modest people will in the tail of the herd....	DISSOLVE		American Werewolf in London 
DAVID	 (settles back) Yes, go on.	ALEX	 (clears her throat) Ahem, A Word of Explanation. It was in Warwick Castle that I came across the curious stranger whom I am going to talk about.  He attracted me by three things: his candid simplicity, his marvelous familiarity with ancient armor, and the restfulness of his company - for he did all the talking.  We fell together as modest people will in the tail of the herd....	DISSOLVE		TO:		American Werewolf in London 
ALEX	 (yawns, smiles) Hello.  You all right?	DAVID	 I'm sorry I woke you up.	ALEX	 Don't be silly.  Can I get you something?			American Werewolf in London 
DAVID	 Will you come with me?	ALEX	 (taken aback) What?	DAVID	 (smiling) I'm serious.  You don't know me and I know nothing about you.  We have a perfect relationship.	ALEX	 Now, David, I said I would keep you company, but I meant right here and now.	American Werewolf in London 
ALEX	 (taken aback) What?	DAVID	 (smiling) I'm serious.  You don't know me and I know nothing about you.  We have a perfect relationship.	ALEX	 Now, David, I said I would keep you company, but I meant right here and now.	DAVID	 Will you think about it?	American Werewolf in London 
ALEX	 How did we get from your bad dreams to my taking a holiday with a patient?	DAVID	 (big grin) Not just a patient -- me.	ALEX	 You're being awfully forward, aren't you?	DAVID	 Forgive me, I'm trying to cheer myself up and an affair with a beautiful nurse seemed like just the thing to do it.	American Werewolf in London 
DAVID	 Forgive me, I'm trying to cheer myself up and an affair with a beautiful nurse seemed like just the thing to do it.	ALEX	 (smiles) All I am to you is a sex fantasy then?	DAVID	 Now I'm embarrassed.	ALEX	 Good.  I thought for a moment I was the only embarrassed one in the room.	American Werewolf in London 
DAVID	 Where were we in the book?	ALEX	 (looking through the book) Let me see here.					American Werewolf in London 
JACK	 (pleasantly) Nice to see you.	DAVID	 (unbelieving) Get the fuck out of here, Jack.	JACK	 Thanks a lot.	DAVID	 (horrified) This is too much.  I can't handle this.	American Werewolf in London 
JACK	 Thanks a lot.	DAVID	 (horrified) This is too much.  I can't handle this.	JACK	 I'm aware that I don't look so great, but I thought you'd be glad to see me.	JACK	 David!  You're hurting my feelings.	American Werewolf in London 
JACK	 David!  You're hurting my feelings.	DAVID	 (astounded) Hurting your feelings?  Has it occurred to you that it may be unsettling to have you rise from your grave to visit me? Listen to me, I'm talking to a hamburger!	JACK	 I'm sorry to be upsetting you, David, but I had to come.	DAVID	 (aghast) Aren't you supposed to be buried in New York someplace?	American Werewolf in London 
JACK	 I'm sorry to be upsetting you, David, but I had to come.	DAVID	 (aghast) Aren't you supposed to be buried in New York someplace?	JACK	 Yeah.  Your parents came to my funeral.  I was surprised at how many people came.	DAVID	 (resigned) Why should you be surprised? You were a very well-liked person.	American Werewolf in London 
JACK	 Yeah.  Your parents came to my funeral.  I was surprised at how many people came.	DAVID	 (resigned) Why should you be surprised? You were a very well-liked person.	JACK	 Debbie Klein cried a lot.	DAVID	 I can't stand it.	American Werewolf in London 
JACK	 Life mocks me even in death.	DAVID	 (to himself) I'm going completely crazy.	JACK	 (loud) David!	DAVID	 (louder) What?!	American Werewolf in London 
DAVID	 (to himself) I'm going completely crazy.	JACK	 (loud) David!	DAVID	 (louder) What?!	JACK	 David, now I know this may be hard for you, but I have to warn you.	American Werewolf in London 
JACK	 (loud) David!	DAVID	 (louder) What?!	JACK	 David, now I know this may be hard for you, but I have to warn you.	DAVID	 (shouting) Warn me?  Will you get out of here, you meat loaf?	American Werewolf in London 
JACK	 David, now I know this may be hard for you, but I have to warn you.	DAVID	 (shouting) Warn me?  Will you get out of here, you meat loaf?	JACK	 I'm a grisly sight, it's true; but I love you and that's why I'm here.  You've got to know.	DAVID	 If you love me so much, Jack, you'll realize how disconcerting it is to share one's breakfast with the living dead!	American Werewolf in London 
JACK	 We were attacked by a werewolf.	DAVID	 (covers his ears) I'm not listening!	JACK	 On the moors, we were attacked by a lycanthrope, a werewolf.	DAVID	 Shut up, you zombie!	American Werewolf in London 
JACK	 I was murdered, an unnatural death, and now I walk the earth in limbo until the werewolf's curse is lifted.	DAVID	 (incredulous, furious) What's wrong with you?  Shut up!	JACK	 The wolf's bloodline must be severed.  The last remaining werewolf must be destroyed.	DAVID	 Will you be quiet?!	American Werewolf in London 
JACK	 Remember what that guy at The Slaughtered Lamb said? `Beware the moon.'	DAVID	 (quietly) Stop it, Jack.	JACK	 Beware the moon.  The full moon, David.  You've got two days.	DAVID	 (quietly) Jack, please go away.  Please go away.	American Werewolf in London 
JACK	 Beware the moon.  The full moon, David.  You've got two days.	DAVID	 (quietly) Jack, please go away.  Please go away.	JACK	 You'll stalk the streets of London a creature of the night.	DAVID	 (flares up) You're talking like Boris Karloff!  It's movie dialogue!	American Werewolf in London 
JACK	 You'll stalk the streets of London a creature of the night.	DAVID	 (flares up) You're talking like Boris Karloff!  It's movie dialogue!	JACK	 David, please believe me.  You will kill people, David. You've got to stop the bloodshed before it begins.	DAVID	 (yells) Nurse!	American Werewolf in London 
JACK	 David, please believe me.  You will kill people, David. You've got to stop the bloodshed before it begins.	DAVID	 (yells) Nurse!	JACK	 Listen to me!  Take your own life, David.  It's our only chance.	DAVID	 Nurse!	American Werewolf in London 
JACK	 The supernatural!  The powers of darkness!  It's all true. Take your own life!  Suicide, David.  Join me.	DAVID	 (losing it) Nurse!  Oh God!  Alex!	JACK	 It's cold, David, and I'm so alone.  The undead surround me.  Have you ever talked to a corpse?  It's boring!  I'm lonely!  Kill yourself, David, before you kill others.			American Werewolf in London 
ALEX	 David, what's wrong?	DAVID	 (quietly) I'm a werewolf.	ALEX	 A werewolf?	ALEX	 Are you better now?	American Werewolf in London 
ALEX	 I would think so.	DAVID	 (resigned) Yeah, I would think so, too.	ALEX	 Do you have a place to stay in London?			American Werewolf in London 
DAVID	 There is only one bed.	ALEX	 (makes a face) David, perhaps you'd like to watch the telly while I take a shower.					American Werewolf in London 
ALEX	 Of course.	DAVID	 (leers) Good.	ALEX	 David, you don't honestly believe that in reality your friend Jack rose from the grave to breakfast with you? Do you really?	DAVID	 I was awake and he was in my room.	American Werewolf in London 
ALEX	 But, David.	DAVID	 (firm) I wasn't hallucinating.	ALEX	 (smiles) Tomorrow is the full moon.	DAVID	 That's good, Alex.  Reassure me.	American Werewolf in London 
DAVID	 (firm) I wasn't hallucinating.	ALEX	 (smiles) Tomorrow is the full moon.	DAVID	 That's good, Alex.  Reassure me.	DAVID	 It's all right, I know I'm being insane.	American Werewolf in London 
DAVID	 (points a trembling finger) You're not real.	JACK	 Don't be an asshole, David. Come here.					American Werewolf in London 
JACK	 David, tomorrow night is the full moon.  You'll change, you'll become....	DAVID	 (interrupting) A monster.  I know, I know.	JACK	 You must take your own life now, David, before it's too late.	DAVID	 Jack, are you really dead?	American Werewolf in London 
JACK	 The canines will be real. You'll taste real blood!  God damit, David, please believe me!  You'll kill and make others like me!  I'm not having a nice time, David! Don't allow this to happen again!  You must take your own life!	DAVID	 (shouts) I will not accept this!  Now go away!					American Werewolf in London 
JACK	 (quietly) This is not pretend, David.	DAVID	 (righteous) I will not be threatened by a walking meat loaf!	ALEX	 David, what's wrong?  I heard voices.	DAVID	 (triumphant) It was just me, Alex.  It was just me.	American Werewolf in London 
ALEX	 David, what's wrong?  I heard voices.	DAVID	 (triumphant) It was just me, Alex.  It was just me.					American Werewolf in London 
DR. HIRSCH	 I mean that escaped lunatic. The one that killed the boy. Wasn't that near here?	CHESS PLAYER	 (concerned) And where are you from, sir?	DR. HIRSCH	 London.  Knight takes pawn.	CHESS PLAYER	 What?	American Werewolf in London 
DR. HIRSCH	 What's that?	WOMAN	 (nervously) Oh, that's been there for two hundred years.  We were going to paint it out, but it's traditional, so we left it.	DR. HIRSCH	 I see.  You've heard nothing about the incident?	DART PLAYER	 Incident?	American Werewolf in London 
CHESS PLAYER	 Are you a police officer?	DR. HIRSCH	 (smiles) No, no, hardly.  I work in the hospital where the Kessler boy was brought.	DR. HIRSCH	 He was talking about werewolves and monsters and as I was near here I thought....	DART PLAYER	 You thought what?	American Werewolf in London 
DR. HIRSCH	 I thought I'd look into the boy's story.	CHESS PLAYER	 (scoffs) A story about werewolves - now really, sir.	DR. HIRSCH	 Would you like a game of chess?			American Werewolf in London 
DAVID	 Werewolves simply do not exist.	ALEX	 (serious) David, do you want me to stay here tonight?	DAVID	 Yeah, I do, but go to work.			American Werewolf in London 
BENJAMIN	 No!	ALEX	 (smiling) Benjamin, have you ever been severely beaten about the face and neck?	BENJAMIN	 No.	ALEX	 I thought not.	American Werewolf in London 
DR. HIRSCH	 David has suffered a severe trauma.  I myself witnessed some form of mass neurosis in East Proctor.  If all the villagers believe that Jack Goodman was killed by a werewolf, why shouldn't David? And then it follows that if he survived an attack by a werewolf, wouldn't he himself become a werewolf the next full moon?	ALEX	 (bewildered) Dr. Hirsch?	DR. HIRSCH	 Oh, I don't mean running about on all fours and howling at the moon.  But in such a deranged state he could harm himself, or perhaps others.	ALEX	 What shall we do?	American Werewolf in London 
DAVID (O.S.)	 Listen, two pounds is a lot of money.  It's almost five dollars.	LITTLE BOY	 (very English) I don't know who you are.	DAVID (O.S.)	 I'm the famous balloon thief.	LITTLE BOY	 Why would a thief want to give me two pounds?	American Werewolf in London 
LITTLE BOY	 Why would a thief want to give me two pounds?	DAVID (O.S.)	 (losing patience) Come here and I'll show you.	DAVID (O.S.)	 (pleading) Come on!	DAVID (O.S.)	 A little closer.	American Werewolf in London 
ALEX	 Don't you remember?	DAVID	 I said goodbye to you.  I was locked out of the flat.  I climbed the wall and came in through the bathroom window. I started to read and then I was naked at the zoo! (big smile) I guess I am out of my fucking mind.	ALEX	 I worried about you.  We didn't know where you were.	ALEX	 Where did you get that coat?	American Werewolf in London 
ALEX	 He's here.	DR. HIRSCH	 (excited) Is he all right?  Why didn't you call me?  Where was he?	ALEX	 He doesn't remember.  He woke up at the zoo.	DR. HIRSCH	 The zoo?  Is he rational?	American Werewolf in London 
ALEX	 The next corner we can get a cab.	DAVID	 (grins) I should be committed.	ALEX	 Dr. Hirsch will know what to do.	DAVID	 (stretches) I don't know why I feel so good.  I haven't felt this good in a long time.	American Werewolf in London 
ALEX	 Dr. Hirsch will know what to do.	DAVID	 (stretches) I don't know why I feel so good.  I haven't felt this good in a long time.	DAVID	 My body feels alive, alert.  I feel like an athlete.	ALEX	 Get in.	American Werewolf in London 
DRIVER	 The murders.	DAVID	 (concerned) What murders?	DRIVER	 Last night.  Haven't you heard?  Six people in different parts of the city mutilated.  A real maniac this one.	DAVID	 Pull over.	American Werewolf in London 
ALEX	 But....	DAVID	 (adamant) Pull over.					American Werewolf in London 
DAVID	 I am going to the cops. There's a full moon tonight. Jack was right.  I....	ALEX	 (angry) Jack is dead!	DAVID	 Jack is dead.  Look, six people have been killed.  I'm going to the police.	ALEX	 David, please be rational. Let's go to Dr. Hirsch.	American Werewolf in London 
DAVID	 Officer, I killed those people last night.	BOBBIE	 (interested) You did, did you?	ALEX	 He's playing a stupid joke, sir.	DAVID	 (dumbfounded) What?	American Werewolf in London 
ALEX	 He's playing a stupid joke, sir.	DAVID	 (dumbfounded) What?	ALEX	 We had an argument.  He's being silly.	DAVID	 (desperate) I swear, I don't know this girl.	American Werewolf in London 
ALEX	 We had an argument.  He's being silly.	DAVID	 (desperate) I swear, I don't know this girl.	BOBBIE	 All right, you two, move along.	DAVID	 Hey, you asshole!  I want you to arrest me!	American Werewolf in London 
BOBBIE	 There's no call for that kind of language.	DAVID	 (shouts) Queen Elizabeth is a man! Prince Charles is a faggot! Winston Churchill was full of shit!	BOBBIE	 (losing patience) Now see here young man.	DAVID	 Shakespeare was French!  The Queen Mother sucks cocks in hell!  Shit!  Fuck!  Piss!	American Werewolf in London 
DAVID	 (shouts) Queen Elizabeth is a man! Prince Charles is a faggot! Winston Churchill was full of shit!	BOBBIE	 (losing patience) Now see here young man.	DAVID	 Shakespeare was French!  The Queen Mother sucks cocks in hell!  Shit!  Fuck!  Piss!	BOBBIE	 That's quite enough!	American Werewolf in London 
BOBBIE	 That's quite enough!	ALEX	 (pleading) David, please!	DAVID	 Who is this girl?	BOBBIE	 You're going to have to stop this disturbance or I shall arrest you.	American Werewolf in London 
BOBBIE	 You're going to have to stop this disturbance or I shall arrest you.	DAVID	 (frustrated, yelling) That's what I want you to do, you moron!	ALEX	 (to Bobbie) Sir, he's very upset.  His friend was killed and....	DAVID	 Will you shut up!?!!	American Werewolf in London 
DAVID	 (frustrated, yelling) That's what I want you to do, you moron!	ALEX	 (to Bobbie) Sir, he's very upset.  His friend was killed and....	DAVID	 Will you shut up!?!!	BOBBIE	 (losing his temper) That's enough!  Now go about your business.	American Werewolf in London 
DAVID	 Will you shut up!?!!	BOBBIE	 (losing his temper) That's enough!  Now go about your business.	ALEX	 Yes, David, let's go.	DAVID	 (disbelief) You're not going to arrest me?	American Werewolf in London 
ALEX	 Yes, David, let's go.	DAVID	 (disbelief) You're not going to arrest me?	DAVID	 Don't you think he should arrest me?	ONLOOKER	 Well, I'm not sure.  How does he know this isn't a prank?	American Werewolf in London 
ONLOOKER	 Well, I'm not sure.  How does he know this isn't a prank?	DAVID	 (despair) A prank?	ALEX	 (urgently) David....	BOBBIE	 I've no time for this foolishness. (to onlookers) Nothing to look at.  Move along.	American Werewolf in London 
DAVID	 (despair) A prank?	ALEX	 (urgently) David....	BOBBIE	 I've no time for this foolishness. (to onlookers) Nothing to look at.  Move along.	DAVID	 Hopeless.  It's hopeless.	American Werewolf in London 
ALEX	 (urgently) David....	BOBBIE	 I've no time for this foolishness. (to onlookers) Nothing to look at.  Move along.	DAVID	 Hopeless.  It's hopeless.	ALEX	 (softly) David, let's go now.	American Werewolf in London 
DAVID	 Hopeless.  It's hopeless.	ALEX	 (softly) David, let's go now.	DAVID	 Leave me alone, dammit!  You people are crazy!  I've got to get away from here!  I've got to do something!	ALEX	 (worried) David, don't lose control.	American Werewolf in London 
DAVID	 Leave me alone, dammit!  You people are crazy!  I've got to get away from here!  I've got to do something!	ALEX	 (worried) David, don't lose control.	DAVID	 (approaching, hysteria) Control!?!  What control!?! Get away from me!	DAVID	 Leave me alone!	American Werewolf in London 
ALEX	 (worried) David, don't lose control.	DAVID	 (approaching, hysteria) Control!?!  What control!?! Get away from me!	DAVID	 Leave me alone!	ALEX	 David, wait!	American Werewolf in London 
LT. VILLIERS	 The forensic lads seem to feel that some sort of animal was involved, that's true, but I hardly think....	DR. HIRSCH	 (interrupts) Regardless of what you think, Lieutenant, the fact remains that David is missing and that we must find him.	DR. HIRSCH	 Precisely.	LT. VILLIERS	 (harried) Gentlemen, please.  We shall find Mr. Kessler as quickly as we're able.	American Werewolf in London 
DR. HIRSCH	 Precisely.	LT. VILLIERS	 (harried) Gentlemen, please.  We shall find Mr. Kessler as quickly as we're able.	ALEX	 He tried to have himself arrested.  He....	LT. VILLIERS	 (interrupts) Getting arrested isn't all that difficult, Miss Price.	American Werewolf in London 
