FOX	 We're all C.I.A. But these guys are from a page that ain't on the map. 10   EXT. JUNGLE - LATE AFTERNOON Nico in the point,   leading Fox and the three CIT (Chemical Interrogation Team)   men down an unmarked, twisting trail. We see from Nico's   gait that he is athletic, a born leader and totally at home   in the jungle.	11   TRAIL - LATE AFTERNOON	 snakes along a ridge line, high enough to give us a view and let us know these guys are way out in the boonies.	ZAGON	 How long till we're across the border?			Above the Law 
L.Z. --	 (as Nico resists) -- I'll fix it! Get out! Get the fuck outa here! The CIT man calls out to the Cambodian troops, in dialect, pointing at Nico. The soldiers start toward Nico, as if to seize him. Fox, too, starts yelling to the troops in dialect, apparently countermanding the orders of the CIT men. The troops, confused, hold up for a moment.	FOX	 (to Nico) I'll call for a chopper... get outa here!	31   CHURCH STEEPLE - DAY				Above the Law 
NICO	 I think we got a little problem here.	SARA                                  *	 (winking at the women) I carried him for the last nine months, you take him for the next diaper.	NICO	 (to all) That's what you get for not marrying a Sicilian. Sara lets Nico struggle a moment, then takes over.               *	SARA                                     *	 My brave husband. He's not afraid of thieves and muggers, but he's terrified when his son poops in his pants. Toscani relatives look on with approval at the happy couple and their baby.	Above the Law 
SARA                                  *	 (winking at the women) I carried him for the last nine months, you take him for the next diaper.	NICO	 (to all) That's what you get for not marrying a Sicilian. Sara lets Nico struggle a moment, then takes over.               *	SARA                                     *	 My brave husband. He's not afraid of thieves and muggers, but he's terrified when his son poops in his pants. Toscani relatives look on with approval at the happy couple and their baby.	35   ANOTHER PART OF BACK YARD	 Three Chicago cops, LUKICH and HENDERSON in plain clothes and LIEUTENANT STROZAH in uniform wolf some Italian goodies while eying the group of celebrating relatives.	Above the Law 
35   ANOTHER PART OF BACK YARD	 Three Chicago cops, LUKICH and HENDERSON in plain clothes and LIEUTENANT STROZAH in uniform wolf some Italian goodies while eying the group of celebrating relatives.	LUKICH	 (indicates Nico across the patio) Toscani holds the record... for havin' more relatives under federal indictment than any other cop in Chicago.	36   TWO OF NICO'S UNCLES	 BRANCA and LUIGI, who   look like they have been on the other side of a cop's work,   are in turn eying Lukich and Henderson -- plus a cluster of   other cops in civvies hovering around the buffet table like   vultures.	BRANCA	 Look at these stiff dicks. A free meal and they come out like flies.	Above the Law 
UNCLE GUISEPPE	 Let your family help you, Nico.	NICO	 (lightly) Uncle Gio, that kind of help I don't need. I'd rather get shot by someone I don't know. Jackson and Lukich crack up. The others follow.   For the moment, the tension is dispelled.					Above the Law 
NICO	 Gentlemen. One Jacket treats him like he doesn't exist, and begins to pick his nose.	FIRST ARMY JACKET	 (to others) I thought this was a kosher bar. They didn't allow no pork in here. The two others snicker, then so does the rest of the bar. Nico holds out a photo of a young girl (Lucy).	NICO	 You seen this girl?	SECOND ARMY JACKET	 I seen the top of her head.	Above the Law 
NICO	 Come on, motherfuckers.    Do it. Do it! One man -- Nico lunges for the Bad Dude, grabs him like he's about to tear his face off --	BAD DUDE	 Upstairs! (in terror) She's upstairs! 4-D! Nico drags the Dude from behind the bar.     Holding him, Nico turns, glowering, to all.	NICO	 You cocksuckers are brave enough			Above the Law 
NICO	 That's four. (twisting the   Pimp's neck toward   Lucy) She'll get you eight   more. And I'm just warming up   -- Lucy is crying hysterically. Nico flings the Pimp, face          * bloody, toward the open door.                                    *	PIMP	 (to Nico, indicat- ing drugs) Take it, baby. It's all yours --	NICO	 Get your clothes on, Lucy.	PIMP	 There's money. Three grand in the mattress... (begging) ... I can get ya more --	Above the Law 
NICO	 Get your clothes on, Lucy.	PIMP	 There's money. Three grand in the mattress... (begging) ... I can get ya more --					Above the Law 
NICO	 What lawyer?	PIMP	 I don't know. (sees Nico doesn't believe him) That platinum chola... Carla DeCarlo... she knows. Nico tightens his grip on the Pimp's throat.	PIMP	 She got popped this afternoon. She's downtown. Red dress, lizard shoes --			Above the Law 
JACKSON	 I don't get you, Toscani. (beat) What the hell are you doing being a shitheel cop? With your background? For a long moment Nico says nothing.   Then, quietly, look- ing straight ahead:	NICO	 When I was overseas, I saw some things. Things that eat your guts out. Things that stay in front of your eyes like they were burned in and branded. He turns to Jackson.	NICO	 You can walk away from them, Jax. You can quit, but you know it's still going on. You try something anyway -- (smiles a moment) -- I know I'm not going to change the world. I can't stop the tonnage coming in, I can't fight the boys behind the desks pushing their buttons --			Above the Law 
ANGLE INCLUDING MEAN STREETS OUTSIDE		NICO	 But maybe here, huh? (indicates street) Maybe in my own city, my own neighborhood, on my own block -- maybe here I can do something.	NICO	 That's why I'm a shitheel cop.			Above the Law 
COP (O.S.)	 You can see your client. As soon as she's through eating her dinner. 65    INT. POLICE LOCKUP - "CAGE" AND HALLWAY - EVENING Hookers, female addicts, etc. in the downtown "cage." Nico has the girl in the red dress and lizard shoes (CARLA DECARLO) out in the hallway adjacent to the lock- up. Nico is Mr. Charm, offering her a heart-shaped box of chocolates.	NICO	 Carla... Carla -- I just want the name of your boyfriend --	CARLA	 I got 200 boyfriends. The hooker, Carla DeCarlo, slaps the box away, cursing in Spanish.			Above the Law 
CARLA	 Pinchi cabron, cabeza colon!	JACKSON	 (to Nico) Why can't you sons-a-bitches ever treat someone with a little respect?	NICO	 (walking away) Take it easy, sister.	JACKSON	 I ain't your goddamn sister.   We ain't got the same mother, motherfucka. Carla fires one final parting salvo of obscenities, then sags back among the women. Carla starts to cry. Jackson	Above the Law 
JACKSON	 (to Nico) Why can't you sons-a-bitches ever treat someone with a little respect?	NICO	 (walking away) Take it easy, sister.	JACKSON	 I ain't your goddamn sister.   We ain't got the same mother, motherfucka. Carla fires one final parting salvo of obscenities, then sags back among the women. Carla starts to cry. Jackson			Above the Law 
74   BOOTH NEAR BACK HALLWAY	 The owner's table. Stacks of dining checks, a cashbox and calculator, full ashtrays, wine glasses. BAUTISTA SALVANO, a heavyset, swarthy Venezuelan dressed in a tux with the collar open, glowers across the table at a mus- cular, scar-faced Latin busboy -- the kind who looks like he does more for his boss than clean up the tables. The busboy (NARDO) is nervous, apologetic --	SALVANO	 (pissed off) -- I brought you in for your muscles, Nardo, not your mouth.	NARDO	 (scared) I'm sorry, boss.	SALVANO	 Your English is getting good... You're showing it off. Showing it off on the street --	Above the Law 
SALVANO	 (pissed off) -- I brought you in for your muscles, Nardo, not your mouth.	NARDO	 (scared) I'm sorry, boss.	SALVANO	 Your English is getting good... You're showing it off. Showing it off on the street --	NARDO	 I keep quiet.    I never talk no more --	Above the Law 
NARDO	 I keep quiet.    I never talk no more --	SALVANO	 Make yourself useful. (indicates empty wine bottle on table) Get downstairs, bring me one of these. (as Nardo stands, starts for back hallway)					Above the Law 
NARDO	 (to himself) I thought I was dead, man. (whistles with relief) I thought I was fucking dead.	CHI CHI	 You were right, cabron.                            *	SALVANO	 (to busboys) Clean up this mess.			Above the Law 
CHI CHI	 You were right, cabron.                            *	SALVANO	 (to busboys) Clean up this mess.	CHI CHI                                  *	 Who knows who else is talking --                       *	SALVANO                                  *		Above the Law 
JACKSON	 What?    What's he saying?	NICO	 (scribbling furiously) '... Engine block has cleared customs. Serial number VA-748. Pick up Tuesday, 3 May as authorized.'					Above the Law 
POLICE RADIO (V.O.)	 Vehicle registration follows. Leaseholder: Ramon Testamente, registered alien. Nation of origin: Venezuela. Do you wish criminal record search?	NICO	 (into mike) I want to know when he wipes his                     * behind.                                              *	85   SERIES OF SHOTS	 As Nico and Jackson tail the Lincoln out of the industrial zone into a fancier, non-Latin neighborhood. On the sidewalks we glimpse theatergoers, fashionable white couples out on the town.	86   LINCOLN		Above the Law 
NICO	 Two for drinks. They elbow up to the packed bar, standing.   Nico squints toward the rear dining room.	90   NICO'S POV - DOWN BAR	 Looking past numerous patrons, we see Chi Chi whisper something to a waiter and take a seat at a rear table (the same "owner's table" where Salvano sat before.) The waiter hurries off into a back hallway.	91   NICO AND JACKSON - AT BAR	 Jackson moves to the salsa beat.   A BARMAID approaches.	JACKSON	 Gimme something stiff.   I need it.	Above the Law 
LUKICH	 This ain't a bust -- it's a convention.	NICO	 Don't you like company, Luke? (sarcastic) We got all the scouts here -- Drug Enforcement Agency, the Alcohol, Tobacco and Firearms --	WALKIE-TALKIE (V.O.)	 Keep this channel clear, Toscani. We realize Nico, Jackson and Lukich are wired, with mikes out of sight under their coats. Nico glances to the pick- up, near to which three men can be spotted in the alley. Apparently one of them is the walkie-talkie voice.	NICO	 (into mike) This is our channel, dickhead. And our collar.	Above the Law 
WALKIE-TALKIE (V.O.)	 Keep this channel clear, Toscani. We realize Nico, Jackson and Lukich are wired, with mikes out of sight under their coats. Nico glances to the pick- up, near to which three men can be spotted in the alley. Apparently one of them is the walkie-talkie voice.	NICO	 (into mike) This is our channel, dickhead. And our collar.	ANOTHER WALKIE-TALKIE (V.O.)	 That's enough, all of you! Keep this channel clear.	96   ANGLE ON MEAT PLANT - DAY	 Nothing happening.	Above the Law 
1ST WALKIE-TALKIE (V.O.)	 All right. Everyone get their heads outa their ass.	JACKSON	 (sarcastic) '... And so I quit the police department... got myself a steady job -- ' The van accelerates slightly, turns a corner, vanishes. Silence.	LUKICH                                *	 They spotted me. I'm too good- looking to be a meat slopper.                       *	1ST WALKIE-TALKIE (V.O.)	 Will you hot dogs shut up? The van returns.   On a cross street.   Heading behind the packing plant.	Above the Law 
1ST WALKIE-TALKIE (V.O.)	 Will you hot dogs shut up? The van returns.   On a cross street.   Heading behind the packing plant.	NICO                                  *	 (to Lukich)                                  * You're too ugly.	NICO	 (into hidden mike) Here we go, boys and girls -- (to Jackson) You stay put.                                       *			Above the Law 
108   NICO AND LUKICH	 dive for cover, RETURNING FIRE. The DEA men in one truck also OPEN UP. One of the van men is hit between the eyes. MACHINE GUN FIRE rakes the DEA truck; it spins out of control; flips. Lukich SHOOTS the machine-gunner.	LUKICH	 (shouts; points) Nico!   The Lincoln!	109   LINCOLN	 starts to PEEL OUT. We glimpse Chi Chi in the driver's seat, Salvano on the passenger side.	110   NICO	 steps in front of the accelerating Lincoln, raises his .45.	Above the Law 
122   NICO		NICO	 (to Salvano) How many kilos you got in there, Skivuzo? Salvano couldn't answer if he wanted to. The other cops look at Nico with awe. Lukich whips the van door open,					Above the Law 
SALVANO	 -- I'll tell you what this cop is. He's a fucking menace!	129   TWO FBI AGENTS (NEELEY AND HALLORAN)                           *	 face Salvano, Chi Chi and the lawyer Abandano (apparently representing Salvano and Chi Chi). Neeley is on the phone.     * Pictures of Reagan and Meese are prominent on the wall.	SALVANO	 You see what he did to me?!	AGENT HALLORAN	 Your problem is being handled right now, Mr. Salv --	Above the Law 
SALVANO	 Yeah? Well, it shoulda been handled twelve hours ago. I don't know who's running this outfit, but somebody better get his goddamn wires straight!	AGENT NEELEY                           *	 (into phone) -- yes, sir... yes, sir, I understand --	SALVANO	 That maniac should be wearing a number, not a badge. Salvano knows what the call is about. He straightens the tie beneath his bruised neck, assuming the attitude of a respectable citizen who has been unjustly wronged.	AGENT NEELEY                           *	 (into phone) -- count on it, sir. Right. You'll have our full cooperation. Neeley hangs up. Glances dubiously to Halloran. Then turns     * grimly to Salvano, Chi Chi and the lawyer Abandano.	Above the Law 
SALVANO	 That maniac should be wearing a number, not a badge. Salvano knows what the call is about. He straightens the tie beneath his bruised neck, assuming the attitude of a respectable citizen who has been unjustly wronged.	AGENT NEELEY                           *	 (into phone) -- count on it, sir. Right. You'll have our full cooperation. Neeley hangs up. Glances dubiously to Halloran. Then turns     * grimly to Salvano, Chi Chi and the lawyer Abandano.	AGENT NEELEY                           *	 You're free to go.	130   OMITTED		Above the Law 
133   NICO, JACKSON, LUKICH AND DEA AND ATF MEN		LIEUTENANT STROZAH	 (to Nico, DEA & AIF) -- This is no reflection on the work you officers have done. I feel, and the whole department feels, extremely proud of your initiative and gallantry. That "spare me the horseshit" look on Nico's face. He's fuming. Strozah sees Nico's bitter expression. It's on the others' faces too.	LIEUTENANT STROZAH	 As all of you   are well aware, possession of   these explosives is a federal   offense and under jurisdiction   of the F.B.I. Nico's eyes meet Lieutenant Strozah's. There's respect between the two, but it's plainly under a helluva strain.	NICO	 Sir. With all respect to our brothers in the Bureau -- (biting sarcasm; turns to Neeley)                            * -- That's no answer. It's no answer to why one of the biggest dealers in the city is out on the street now, free as a bird!	Above the Law 
LIEUTENANT STROZAH	 As all of you   are well aware, possession of   these explosives is a federal   offense and under jurisdiction   of the F.B.I. Nico's eyes meet Lieutenant Strozah's. There's respect between the two, but it's plainly under a helluva strain.	NICO	 Sir. With all respect to our brothers in the Bureau -- (biting sarcasm; turns to Neeley)                            * -- That's no answer. It's no answer to why one of the biggest dealers in the city is out on the street now, free as a bird!	LIEUTENANT STROZAH	 Keep it in your pants, Nico. These men have a job to do, just like us. Nico stifles his outrage. The other cops exchange glances -- upset and angry. Agent Neeley clears his throat.          *	AGENT NEELEY                          *	 Lieutenant, I think these officers are entitled to a fuller explanation.	Above the Law 
135   BACK TO AGENT NEELEY                                            *		AGENT NEELEY                            *	 Mr. Salvano's role is crucial to an extremely sensitive ongoing investigation. Any further surveillance, harassment, or unauthorized operations against this individual are forbidden. I must order you gentlemen -- (looking straight at Nico) -- with all respect for your work and your courage, to stand down.					Above the Law 
LIEUTENANT STROZAH	 The tapes too.	NICO	 (mocking) That's my Lawrence Welk collection!	LIEUTENANT STROZAH	 I want everything you got on this one. Reluctantly, Nico hands over the tapes.   The Lieutenant eyes the bugs and wires.	LIEUTENANT STROZAH	 I know you don't give a shit about yourself, Toscani. (a glance to Jax) But you're gonna put Jackson's ass in a sling, too, with these illegal wires.	Above the Law 
NICO	 Father Genarro. The priest seizes Nico's hand warmly, smiles at Jackson.	FATHER GENARRO	 This must be your partner in crime. (shakes her hand) I'm Father Genarro. I saw you at the baptismal party. (with a wink to Nico) What a partner.	JACKSON	 Dolores Jackson (smiling, but impatient) Nico, we gotta go --	FATHER GENARRO	 No, please -- (more serious now) It's good you stopped by. I have to show you something. Please. The priest begins leading Nico and Jackson. Jackson keeps glancing back out the alley to see Salvano's car slowly	Above the Law 
FATHER GENARRO	 This must be your partner in crime. (shakes her hand) I'm Father Genarro. I saw you at the baptismal party. (with a wink to Nico) What a partner.	JACKSON	 Dolores Jackson (smiling, but impatient) Nico, we gotta go --	FATHER GENARRO	 No, please -- (more serious now) It's good you stopped by. I have to show you something. Please. The priest begins leading Nico and Jackson. Jackson keeps glancing back out the alley to see Salvano's car slowly			Above the Law 
JACKSON	 Dolores Jackson (smiling, but impatient) Nico, we gotta go --	FATHER GENARRO	 No, please -- (more serious now) It's good you stopped by. I have to show you something. Please. The priest begins leading Nico and Jackson. Jackson keeps glancing back out the alley to see Salvano's car slowly					Above the Law 
NICO	 Who did it, Father?	FATHER GENARRO	 Kids, maybe. (significantly) Maybe worse. It's not the first time.	JACKSON	 We can have a car check by, every hour.	FATHER GENARRO	 No... please.    Police frighten these people.	Above the Law 
JACKSON	 Amen. Nico and Jackson start off.	FATHER GENARRO	 (calls after Nico) You come back Sunday. I feel better when I see Nicola in church. (calls louder) You don't show, I'm phoning your mother!	157   SAME CHURCH - POV FROM WINDOW - EARLY MORNING (SUNDAY)		158   VARIOUS ANGLES - CONGREGATION	 An Italian neighborhood becoming more Hispanic. As the churchgoers file in, we see families -- women, kids, babies.	Above the Law 
D)   THE CHOIR MASTER	 makes the sign to be seated.	E)   CONGREGATION	 sits. We notice a   young, intellectual-looking man (Alan Singletary)  wearing wire-rim glasses, sitting in the front row. We   will see his face again later. He looks out of place  and glances around, surprised as...	F)   FATHER GENARRO		FATHER GENARRO	 In nomine patris, filius et spiritu sancti... (etc)	Above the Law 
F)   FATHER GENARRO		FATHER GENARRO	 In nomine patris, filius et spiritu sancti... (etc)	162   SARA AND JULIAN                                                *		SARA                                  *	 (examines Julian's diaper) Way to go, Julian -- perfect timing.	Above the Law 
162   SARA AND JULIAN                                                *		SARA                                  *	 (examines Julian's diaper) Way to go, Julian -- perfect timing.	163   CLOSEUP - WOMAN		164   CLOSEUP - LARGE SHOPPING BAG		Above the Law 
172   NICO	 Prone, covering Sara and the baby, groping frantically         * to protect his mother as well.	SARA                                  *	 (clutching baby) We're okay! We're okay!	ROSA	 (in Italian) Help the others! Help them, Nico!			Above the Law 
SARA                                  *	 (clutching baby) We're okay! We're okay!	ROSA	 (in Italian) Help the others! Help them, Nico!					Above the Law 
174   ANGLE ON CONGREGATION		NICO	 (forcefully) Help each other move outside.   Be					Above the Law 
185   STAIRWELL LANDING	 The door closes behind them. Nico and the FBI man are alone on the stairway landing.	AGENT NEELEY                          *	 (impatient) What the hell is it, Toscani? Without warning, Nico grabs Neeley by both lapels, slams      * him furiously into the wall!	NICO	 You.   That's what the hell it is!	AGENT NEELEY                          *	 Get your goddam hands off me! Neeley tries to shake free; Nico won't let him.               *	Above the Law 
NICO	 You let Salvano walk.	AGENT NEELEY                          *	 Salvano?! Are you crazy? (rips himself free) What does he have to do with this?	NICO	 That was no cherry bomb in there. That was C-fucking-4! (struggles to master his rage) I've used that shit.	NICO (CONT'D)	 I know what it smells like, I know what it blows like --	Above the Law 
AGENT NEELEY                          *	 Salvano?! Are you crazy? (rips himself free) What does he have to do with this?	NICO	 That was no cherry bomb in there. That was C-fucking-4! (struggles to master his rage) I've used that shit.	NICO (CONT'D)	 I know what it smells like, I know what it blows like --	AGENT NEELEY                       *	 Salvano never came near that C-4. It's in federal holding now! Besides, why would he blow up a church?	Above the Law 
PIPE MAN	 We ain't gonna shoot you, man. We gonna beat you to death. You gonna learn what it means to 'get down.'	191   QUICK CUTS	 A)   Nico is  trapped. The hoods advancing. Nico has a moment  of stillness, as if all senses are clicking out of  normal gear and into some hyper-combat readi- ness.   Then: (who has Nico's gun in his pocket) sending him crash- ing, half-unconscious. C)   Instantly, Pipe Man aims a home run shot at Nico's head. Nico uses the machete, matches the angle of the oncoming blow, slides under and, in the same arc, blocks the blow and turns it into a strike, slashing Pipe Man's tendons behind the knee. Pipe Man goes down on one knee, writhing, hamstrung, crying out in pain. D)   Now Ball Bat attacks. Nico intercepts the blow, flips Bat Man ass over teakettle, sending him sail- ing -- feet first -- through the side window of the van. Bat Man CRASHES THROUGH the GLASS, hung up with just his head and shoulders dangling free.					Above the Law 
199   BACKYARD OF FLOWER SHOP - DAY	 Four young Oriental women, potting plants, react with terror as the two bodies CRASH through. Machete Man scrambles away from Nico but is trapped in the corner next to the rear shop door. The flower girls can't move either; Nico and the hood are too near the door. The girls retreat to the far corner, squealing in fright.	MACHETE MAN	 (to Nico, in terror) No, hermano. Please --	NICO	 Who put up the money?	MACHETE MAN	 What money?	Above the Law 
MACHETE MAN	 What money?	NICO	 You didn't come after me for a piece of ass. (twists the youth's neck) Who paid you?	MACHETE MAN	 I told ya!    No one! Nico slams him with a fierce shot to the ribs. The hood doubles over, gasping. The flower girls shriek even louder. Nico turns to the girls with a ferocious glare.	NICO	 (shouting) Shut up! The girls instantly go silent in terror. Nico turns back to Machete Man, spins him violently face-down, jacking the punk's right arm straight out behind him. We see that Nico can break his elbow with one blow.	Above the Law 
MACHETE MAN	 I told ya!    No one! Nico slams him with a fierce shot to the ribs. The hood doubles over, gasping. The flower girls shriek even louder. Nico turns to the girls with a ferocious glare.	NICO	 (shouting) Shut up! The girls instantly go silent in terror. Nico turns back to Machete Man, spins him violently face-down, jacking the punk's right arm straight out behind him. We see that Nico can break his elbow with one blow.	NICO	 Give it to me! Nico raises his fist to strike.	MACHETE MAN	 Jimmy Constanza! Nico shoves the hood into the ground, tearing the hood's wallet from his trouser pocket. Nico rips the wallet a- part, seizes the kid's identification and holds it up. He grabs the punk by the hair with his free hand. Machete Man is staring up in terror, wondering what this means.	Above the Law 
201   SARA                                                            *	 Appears in a nightgown at the kitchen doorway.   She looks frail, frightened. MUSIC ENDS.	SARA                                   *	 (softly) I can't sleep. Will you come and hold me?	NICO	 Of course I will. I've been waiting to hear from Jax. She was supposed to get back to me by now.			Above the Law 
SARA	 I'll bet that's her. Nico picks up the phone.	NICO	 (into phone) This better be good, Jax.	MAN (V.O.)	 (filtered) It's bad, Nico.	NICO	 (into phone) Long time, Nelson.	Above the Law 
NICO	 (into phone) This better be good, Jax.	MAN (V.O.)	 (filtered) It's bad, Nico.	NICO	 (into phone) Long time, Nelson.			Above the Law 
MAN (V.O.)	 (filtered) It's bad, Nico.	NICO	 (into phone) Long time, Nelson.					Above the Law 
SARA                                 *	 (very concerned) Why is the C.I.A. calling you at two in the morning?	NICO	 It's okay, sweetheart -- (crosses to her, puts his arms around her) -- You know what a crazy bastard Fox is. He gets drunk and forgets he's halfway around the world. He calls me. Nico gives her a squeeze and a smile.	NICO	 He just wanted to make sure we got his Christmas card.			Above the Law 
VOICE THROUGH DOOR (O.S.)	 F.B.I., Toscani. Open up. Nico pulls aside a curtained glass panel; he recognizes two uniformed police officers, plus Neeley and Halloran,       * the FBI agents who authorized the release of Salvano. He lowers his gun, opens the door. The cops surge in.	NICO	 (to one of cops) It's a little early for breakfast, O'Hara.	O'HARA	 Sorry, Nico. (displays warrant) You're under arrest.	AGENT NEELEY                           *	 (reaches for Nico's gun) I'll take this, thank you.	Above the Law 
NICO	 (to one of cops) It's a little early for breakfast, O'Hara.	O'HARA	 Sorry, Nico. (displays warrant) You're under arrest.	AGENT NEELEY                           *	 (reaches for Nico's gun) I'll take this, thank you.	NICO	 No, you won't. I'm gonna give it to you.	Above the Law 
O'HARA	 Sorry, Nico. (displays warrant) You're under arrest.	AGENT NEELEY                           *	 (reaches for Nico's gun) I'll take this, thank you.	NICO	 No, you won't. I'm gonna give it to you.			Above the Law 
NICO	 It's all right, darling.	ROSA	 (to cops) Who do you think you are -- coming in here like this, treating my son like a criminal?	SARA                                    *	 Why are you terrifying us? There's an infant here! Nico pulls on a jacket. He looks like he could kill.    He restrains himself for his family's sake.	AGENT HALLORAN	 (to cops) Check that coat.	Above the Law 
SARA                                    *	 Why are you terrifying us? There's an infant here! Nico pulls on a jacket. He looks like he could kill.    He restrains himself for his family's sake.	AGENT HALLORAN	 (to cops) Check that coat.	SARA                                    *	 Get your hands off him! Rosa grabs Sara --                                              *	NICO	 (to Sara,                                      * allowing himself to be frisked) It's all a mistake, Sara -- It's                      * gonna be all right. The cops steer Nico toward the door.	Above the Law 
SARA                                    *	 Get your hands off him! Rosa grabs Sara --                                              *	NICO	 (to Sara,                                      * allowing himself to be frisked) It's all a mistake, Sara -- It's                      * gonna be all right. The cops steer Nico toward the door.	SARA                                    *	 (calls after them) The Police Association's got lawyers for this, you bastards!			Above the Law 
NICO	 (to Sara,                                      * allowing himself to be frisked) It's all a mistake, Sara -- It's                      * gonna be all right. The cops steer Nico toward the door.	SARA                                    *	 (calls after them) The Police Association's got lawyers for this, you bastards!					Above the Law 
LIEUTENANT STROZAH                       *	 Nico! You damn fool! You wanna go to prison?! Nico stops. He's speechless with rage.    His finger points toward Halloran like a loaded gun.	CROWDER                               *	 (indicates more depositions) Unlawful entry. Illegal search and seizure --	NICO	 (spits on papers) You'll never build a frame on this chickenshit.	AGENT NEELEY                          *	 (angrily) You were ordered to back off on Salvano. But you had too big a hard-on for that, didn't you--	Above the Law 
