KAUFMAN	 - The-position-ds-Staff-^Neurologist.            . Sayer looks like a man who's just learned that everything he * knows about the world is wrong.         f	DIRECTOR	 (pause) A doctor ... doctor. The Director refers to stapled sheets of paper in his hands, Sayer's resume.	DIRECTOR	 The Camel Institute. Tell me                                * about that, anything with patients                          * there? Or . . .                                             *	SAYER	 (burying it) Earthworms. The Director isn't sure he heard right.	Awakenings 
S AY E R	 Mai nten ance, plea se. W ai     ti n g t   o be        co n ne ct e d, he n o ti c es a n ot h er " s ta t         ue " ( BE R T) . W ha     t's un     se t t    l i n g a b ou t t h i s o n e, a pa r t f r om t he          ma n ' s g h os t - l ik     e ap p e   ar a n    ce , i s th e an g le o f h i s w he e l ch a i r.              I t ' s l i ke a n P~ -\    ask      e w p ai   n ti n    g, a s i f w ho e ve r w as wh e el in g i t s im             p ly le t g o o f \TS?    the       c h ai r   and       t h i s i s wh e r e i t a n d i t s c a r g o h a p p        e n e d to c o m e *to       r est,     faci      n g th e wal l. N   ot       wa nt i ng    to l o se th e c al l , Sa y er mo ve s t o wa r               d th   e p at i    en t , k   ee   p   ing the       r e c e i ve r t o h i s e a r . At f u l l e x t e n          sion     of th     e c   or   d   , un f or t   un at e ly , h e' s s t il l t wo pa ce s s h or t             .R     e ac hi n   g b ac k w   it   h    the arm       w it h th e ph o ne , he g ai n s d i st a n ce               a nd   tu r n s    the w   he   e   lc ha i r q   ui ck l y j us t a s h is c a ll co nn e ct s .	SA Y ER	 Yes. Hi. I need                      a lock installed on th e d oo r to th                e E as t Win g roo f. A b ig l oc k . T he                s oo n e r t he better. ( pa us e ) I'm sor ry, th is i                 s D r. Say er. . (p au se ) I'm sorry, form . .                 . H e s c ri b b le s a n um b e r o n t h e b a ck o f h is h an d an d h a n gs u p.                               He wa nd e rs ov er to th e " st a tu e" ag a in .	S AY E R	 H ow ar e y ou ? No re s p on s e w h at s o ev e r . Sa y e r m a na g es h is p en i nt o t h e m a n 's ha nd an d s ea r ch e s hi s p o ck et s f o r pa p er . (P\   Borrows a section, returns with it, slides it under the pen and waits. The man doesn't write. Doesn't move. Sayer takes the pen back, returns it to his coat pocket, hesitates, pulls it out again, holds it out . . . and lets it go. The man, lightning quick, catches it.			Awakenings 
SA Y ER	 Yes. Hi. I need                      a lock installed on th e d oo r to th                e E as t Win g roo f. A b ig l oc k . T he                s oo n e r t he better. ( pa us e ) I'm sor ry, th is i                 s D r. Say er. . (p au se ) I'm sorry, form . .                 . H e s c ri b b le s a n um b e r o n t h e b a ck o f h is h an d an d h a n gs u p.                               He wa nd e rs ov er to th e " st a tu e" ag a in .	S AY E R	 H ow ar e y ou ? No re s p on s e w h at s o ev e r . Sa y e r m a na g es h is p en i nt o t h e m a n 's ha nd an d s ea r ch e s hi s p o ck et s f o r pa p er . (P\   Borrows a section, returns with it, slides it under the pen and waits. The man doesn't write. Doesn't move. Sayer takes the pen back, returns it to his coat pocket, hesitates, pulls it out again, holds it out . . . and lets it go. The man, lightning quick, catches it.					Awakenings 
MISS COSTELLO	 "Atypical Hysteria," this one. Sayer nods to himself and keeps reading his. He eventually finds in its text -- ATYPICAL RABIES. He flips to the end of the file. "No change since last examination" it reads. He turns the page. "No change, no therapy recommended." He turns the page, the last entry. "No change." The date, "11/9/44."	SAYER	 There must be more recent files we missed somehow. "Part Twos" to their medical histories. (Miss Costello is shaking head 'no.') In some other filing cabinet somewhere.                 . ..	MISS COSTELLO	 NO.			Awakenings 
SAYER	 One would think that after a point enough atypical somethings would amount to a typical something. But a typical "what?" Miss Costello, no doubt, has less of an idea than Sayer what the "what" could be.	MISS COSTELLO	 ,            Doctor . . . would you like      to g e t a cup of coffee somewhere? (pause) Tea?	SAYER	 Ah . . . normally I'd say yes . . . only I've made other plans . . . She nods quickly.    She seems, strangely, relieved.	MISS COSTELLO	 Some other time.	Awakenings 
WAITER	 Tea, right? /	SAYER	 P e s . '...- lae The waiter leaves. Sayer glances back into the fish tank at the eel behind the rock, its rock, its home. (RE V. 10 /1 6/ 89) Pin k      _ p. 2 0					Awakenings 
ID	 (searches for the word) . . . elsewhere ... The woman on the screen is replaced by a young man, a teenager, who seems composed less of flesh than wax, a wax figure with real eyes.	SAYER	 What must it be like to be them? On the screen, the young man's eyes, entranced, gaze upward as if trying hard to remember something. Or trying hard to forget it.	SAYER	 What are they thinking?       .			Awakenings 
OLD DOCTOR		SAYER	 (hopefully) We know that for a fact.	OLD DOCTOR	 Yes.	SAYER	 Bec use . . . a 4	Awakenings 
SAYER	 Does this mean anything to you? MRS. LOWE                          . (more to Leonard)                               ; It's very good.                                       ' . She glances back to Sayer who nods uncertainly. She recognizes. the look on his face; she's seen it before on the faces of more doctors than she cares to remember.                 '         f	MRS. LOWE	 (becoming impatient with him) Well it's abstract, isn't it. Sayer can't bring himself to agree with her.					Awakenings 
SAYER	 Living people, yes. Patients. Mann just stares. He's a scientist, they both are, and the idea of Sayer working with living people, rather than expired ones laid out on the pathology table, is inconceivable to him.	MANN	 (fearing the answer) Where?	SAYER	 It's in The Bronx. It's a poor private chronic hospital called M ou nt --	MANN	 (appalled) Oh, Malcolm, Malcolm, come back, come on. You're a benchman, you're no clinician, why would you lower yourself? Sayer hasn't an answer for him.	Awakenings 
SAYER	 It's in The Bronx. It's a poor private chronic hospital called M ou nt --	MANN	 (appalled) Oh, Malcolm, Malcolm, come back, come on. You're a benchman, you're no clinician, why would you lower yourself? Sayer hasn't an answer for him.	SAYER	 How's Hank?	MANN	 How's Hank? He's great, he's brilliant, look at him. Sayer glances away to Hank the monkey, watches him. Mann studies Sayer, chagrined and incredulous.	Awakenings 
MANN	 Awake. Slightly erratic. No more so than a lot of people walking the streets of New York. (shrugs again) I give up, what's wrong with him?	SAYER	 You have them backwards. This is him awake . . . (points to one EEG; then the other) This is him asleep.	.-," -           .                            ^	 Mann thinks Sayer is kidding. He isn't.	MANN	 This is him awake? This is him asleep? Sayer nods. Mann tries, without success, to make some sort of sense out of that.	Awakenings 
NURSE	 The patients have all been given their morning medication.	MISS COSTELLO	 Good. Dr. Sayer was hoping you'd have some free time. She hands a book to the nurse who spoke (MARGARET), a first edition worn /rom many readings. Margaret glances from it to the other nurses and back to Miss Costello.					Awakenings 
'*''-	 w ay .	SAYER	 (intrigued) Yes, so am I.                       > The moment Fernando takes the record off, Rose stops eating, stops moving. The orderly puts on Mozart and waits. Neither patient moves.	FERNANDO	 I haven't found anything that moves Bert yet.			Awakenings 
MARGARET	 If it is, I don't know it. Maybe it's three different games.	SAYER	 (delighted) Yes.	62.   OMITTED                               ,				Awakenings 
NEUROCHEMIST	 Doctor ...?	SAYER	 (pause) Sayer. I'm curious if you . . .	NEUROCHEMIST	 After I'm through, Dr. Sayer.      If you wouldn't mind. Sayer glances around the auditorium. Everyone's looking at him. He grasps the offending hand and holds it in his lap with the other.			Awakenings 
SAYER	 If jail the compulsions in the Parkinson's patient were somehow . accelerated - (demonstrating what he means) - the hands, the shaking, the tics, the head bobbing, the quickening speech - (he's become a mass of tics and accelerated speech) - might they not cave in on themselves and, in effect, turn the person into stone? He comes to a abrupt stop, his eyes transfixed like a post- encephalitic's, staring. The chemist slowly dries his hands with a paper towel.	NEUROCHEMIST	 Dr. Sayer, yes? (Sayer nods) I'm a chemist, doctor. I leave it to you guys to do the damage. He drops the paper towel into the trash and leaves					Awakenings 
KAUFMAN	 r..iiJi!                And what if this drug were to kill them?	SAYER -	 (right back)              > And what if this drug were to cure them? Somewhere behind Kaufman's eyes Sayer can see, he thinks, a change, or reminiscence, long ago, long buried, of things he once believed or wanted to believe.	KAUFMAN	 How many did you think I ' d let you put on it?	SAYER	 All of them ... some of them ... one of them . . .	Awakenings 
78.CONT.              SAYER	 No. No, his symptoms ... are like Parkinsons ... and then again they're not. She doesn't understand what he means; there's no reason why she should.	MRS. LOWE	 (pause) Then what will this medicine dp. for him?	SAYER	 I don't know what it'll do for him, if anything.	MRS. LOWE	 What do you think it will do?	Awakenings 
SAYER	 To the world.	MRS. LOWE	 (pause) What's here for him after all these years?       '	SAYER	 You are here. She ponders that and the enormity of the whole situation, all the while staring at the consent form.			Awakenings 
LEONARD	 Everything.	SAYER	 (smiles) I'm not sure I can arrange that.	LEONARD	 Try. Sayer smiles again. For a man who just yesterday learned he has been cheated out of the greater"- part of his life, Leonard seems to have recovered extraordinarily.	SAYER	 Let's approach it this way. What              . ". x             do you think you'd like to do                    . 1J              first?                                       .. (continuity only)	Awakenings 
LEONARD	 Try. Sayer smiles again. For a man who just yesterday learned he has been cheated out of the greater"- part of his life, Leonard seems to have recovered extraordinarily.	SAYER	 Let's approach it this way. What              . ". x             do you think you'd like to do                    . 1J              first?                                       .. (continuity only)	LEONARD	 I'd like to go outside.			Awakenings 
SAYER	 Me, actually. '      ,,"                     t	LEONARD	 (looking closely at                              ' the photograph) You seem uncomfortable.	SAYER	 I probably was. Sayer disappears into the kitchen again. And a moment later . glances back in around the door frame at Leonard who has moved over to an old sideboard on which several pairs of glasses are neatly arranged. /			Awakenings 
LEONARD	 What if you just want to go for a walk?	SAYER	 (pause) Walks are a problem. Walks are the hardest thing. You just never know. He's absolutely serious, like a man plagued for years by an imponderable dilemma. He retreats back into his kitchen before reappearing again with the pot of tea, two mismatched cups and some saltine% on a tray.	SAYER	 I hope you'll forgive the inelegant presentation. I don't entertain much.       /       .			Awakenings 
VOICE	 Dr. Sayer? Sayer wakes to find a night nurse standing over him.	SAYER	 What is it? (continuity only)					Awakenings 
123.CONT.             NURSE                                           12	 Miriam, please, I - (have to check your blood pressure - )	MIRIAM	 (interrupting) I've been sitting for 25 years, you missed your chance. Miriam and the nurse trailing after her pass in front of a man * with no English (Josef) trying to explain something to a couple of orderlies. One to the other -   .	ORDERLY 1	 You're Italian, he's Italian, what's the problem?	ORDERLY 2	 I was born here - X don't speak Italian. Nearby, another man. This one does speak English -	Awakenings 
ROSE	 And some dye. Black.	MARGARET	 (jotting down the request) Black, are you sure?	ROSE	 And some clothes . . . my. clothes.	123.CONT.                                          -                                      123	 Sh e p ull s at he r f ade d s hape les s d res s w ith gre at dis dai n.	Awakenings 
NUR SE	 Miriam ... Miriam . . .	F RANCIS	 . . . I was aware of things, but no thi ng mea nt a nyt hin g, the re w as no connection to me. (vagu e recollec tion:) There was a war . . . (pailse) ... or two . . .	M IS S C OS T EL LO	 F r a nk ? A r e y o u al l r i gh t ?	FRANK                       <	 M y wi fe a nd s on .     A re th ey w el l?	Awakenings 
MISS COSTELLO	 We'll find them for you.     We'll track them down. Lucy again, Sayer still at her side.	LUCY	 . . . I called to my sister, but she couldn't hear me. No one could hear me. I was alone . . . (pause) And then I woke up. She smiles. Sayer tries to. He hesitates ... but finally can't help asking her -	SAYER	 Lucy, what year is it?	LUCY	 What year is it? You don't know? He shakes his head 'no.' She glances around the place, then leans close to him and whispers -	Awakenings 
LEONARD	 Nothing. Wave. He waves again to his mother; she's boarding the public bus. Sayer does as he's told, waves too. Impatient, Miriam honks the horn again.	MIRIAM	 '(_J)               Let's go, already.	131.C0NT.                                .                        131	 As the public bus pulls away, Leonard pats Sayer on the shoulder.	LEONARD	 I'll see you later, have a good time. He climbs the hospital steps and disappears inside, Sayer staring after him. Miriam honks the horn again, and he climbs aboard. The doors hiss shut and driver turns to him.	Awakenings 
SAYER	 Has someone wandered off?	MISS COSTELLO	 You. (REV.11/10/89)GOLDENROD       Pg.	132A.CONT.                                                           1	 .,->,     She leads him away by the arm.			Awakenings 
PAULA	 You work here.	LEONARD	 I live here. (REV.11/10/89)GOLDENROD   Pg.75	133A.CONT.                                    .                     133		PAULA	 (pause) You're a patient? He admits it with a nod, lags back again, and eventually dares       * another glance at her.	Awakenings 
133A.CONT.                                    .                     133		PAULA	 (pause) You're a patient? He admits it with a nod, lags back again, and eventually dares       * another glance at her.	PAULA	 You don't look like a patient.	LEONARD	 (pause) I don't? She smiles and shakes her head 'no.1	Awakenings 
PAULA	 You don't look like a patient.	LEONARD	 (pause) I don't? She smiles and shakes her head 'no.1					Awakenings 
PAULA	 I don't know if he knows I visit him or not. I don't know that he knows who I am. My mother doesn't think so. She doesn't; come around any more--	LEONARD	 (pause) But you do.	PAULA	 Sometimes I think I see something.                          * I think I see a change. And for a                           * second, I see him like he was . . .                         * She smiles at the memory of her father like he was . . . but then   * it's gone and her smile fades.	PAULA	 Does that make any sense? A slow nod from him . . .                                               *	Awakenings 
LEONARD	 s Yes.                                                       * His tone is that of someone speaking of a fact, rather than          * offering an opinion. She studies him . . . and eventually:           *	PAULA	 Why are you here? (REV.11/10/89)GOLDENROD           Pg 134.CONT. He doesn't know how to begin to explain it to her.	LEONARD	 (pause) '                   I receive medication. ,        She waits for more, but it doesn't come.           Only a smile.			Awakenings 
SAYER	 What is it?	ANTHONY	 You chose this place? (Sayer nods) Why?	SAYER	 (pause)                        , I come here all the time.	ANTHONY	 Why? (REV.11/10/89)GOLDENROD    Pg.	Awakenings 
ANTHONY	 You chose this place? (Sayer nods) Why?	SAYER	 (pause)                        , I come here all the time.	ANTHONY	 Why? (REV.11/10/89)GOLDENROD    Pg. 136A.CONT.                              . Sayer glances away, sees Miss Costello coming.      She looks a little irritated. As she arrives - ti^                          SAYER Miss Costello, I think Anthony thinks they're bored. He says it like, Have you ever heard anything so ridiculous?			Awakenings 
SAYER	 (pause)                        , I come here all the time.	ANTHONY	 Why? (REV.11/10/89)GOLDENROD    Pg. 136A.CONT.                              . Sayer glances away, sees Miss Costello coming.      She looks a little irritated. As she arrives - ti^                          SAYER Miss Costello, I think Anthony thinks they're bored. He says it like, Have you ever heard anything so ridiculous?	MISS COSTELLO	 They are. Sayer, taken aback, glances back to Anthony, whose look says, There you go.			Awakenings 
ROSE	 It's legal again?	MISS COSTELLO	 (pause) For some time now. Rose is delighted; she can hardly believe it.      She gets the bartender's attention.	-( )                       ROSE	 A Rob Roy on the rocks.	MISS COSTELLO	 A Shirley Temple.	Awakenings 
PAULA	 Oh, they'll be angry. What're they going to do, fire me? He doesn't realize she's not asking him. He has to shrug that he doesn't know.	,                               PAULA      _          :	 (U*T                  I'll just take the graveyard. Her look to him says, Right? He has no idea what she means, but finally nods in agreement.	LEONARD	 Okay. ] They're almost to the doors.      She offers her hand to him.			Awakenings 
LEONARD	 Okay. ] They're almost to the doors.      She offers her hand to him.	PAULA	 (pause) Bye. He shakes the hand gently, lets it go.	LEONARD	 Bye.	PAULA	 Thanks for talking to me. She steps away toward the door.	Awakenings 
PAULA	 Thanks for talking to me. She steps away toward the door.	LEONARD	 He knows. (REV.11/10/89)GOLDENROD    Pg.7	138.CONT.                                                        138	 She glances back at him.     She's not sure what he means.	LEONARD	 Your father. He knows you visit him. Whether he's saying it just to be nice doesn't matter to her. It's what she wants to believe. She smiles gratefully. *	Awakenings 
MISS COSTELLO	 Not that I know of. I kind of doubt it. Rose gets up and crosses toward Sayer. Seeing her coming, he smiles ... but the smile slowly begins to fade as she sings to him:	ROSE	 You made me love you I didn't want to do it I didn't want to do it . . . Singing as she does it, she pulls him out of his chair. Embarrassed, he resists, but she finally gets on the dance floor. Never more mortified in his life (it seems as if everyone is watching) he "dances . . . " And the band finishes the song.             '	' (")	 (REV.11/10/89)GOLDENROD   . Pg.76 (continuity only)	. 14		Awakenings 
ROSE	 You made me love you I didn't want to do it I didn't want to do it . . . Singing as she does it, she pulls him out of his chair. Embarrassed, he resists, but she finally gets on the dance floor. Never more mortified in his life (it seems as if everyone is watching) he "dances . . . " And the band finishes the song.             '	' (")	 (REV.11/10/89)GOLDENROD   . Pg.76 (continuity only)	. 14				Awakenings 
SAYER	 "Respectfully, Leonard Lowe." -- and listens to the silence.    It's a long one. 144.   INT. BASEMENT - BAINBRIDGE - DAY                          144. Rumbling furnaces. The boiler room. Exposed conduit and pipes and ducts on the ceiling like tangled roots of an enormous metal tree. (REV.11/22/89)CHERRY      Pg	144.CONT.                                                          I						Awakenings 
LEONARD	 Me? 146.    INT. LEONARD'S DAYROOM - DAY                                14 Fingers on the keys of a piano, Sayer's baby grand, moved here from his house. Rolando, oblivious to the world, at it playing )   a simple yet emotional melody. (REV.11/22/89)CHERRY   Pg.7 "(continuity only)	*     *	 146.CONT.					Awakenings 
RAY	 He's still hasn't talked?	MISS COSTELLO	 We think he got sick before he learned how to talk. (REV.11/14/89)Salmon   Pg.79	MISS COSTELLO	 To talk with words. Close on two nurses, across the room.	NURSE 1	 She's the daughter of the nephew of a Dutch archduke. She's royalty. She's referring to Magda, who glances over as if sensing they're talking about her. They drop their voices:	Awakenings 
SAYER	 Can I have your hand?	LUCY                 \	 Yes, you can have my hand. (she holds it out to him) Take me away from this place.                           . He smiles uneasily.	SAYER	 I'm your doctor, Lucy.	LUCY	 You're my Prince Charming. Close on hands rapidly dealing 3-Card Monte. The cards eventually settle, and the hand of someone else hesitates over them before gingerly tapping one. As it's turned over:	Awakenings 
LUCY	 You're my Prince Charming. Close on hands rapidly dealing 3-Card Monte. The cards eventually settle, and the hand of someone else hesitates over them before gingerly tapping one. As it's turned over:	ORDERLY	 There it is. The orderly snaps his finger in triumph. The 3-Card Monte dealer, a dextrous encephalitic, shrugs. (REV.11/14/89)Salmon    Pg.80 i	LUIS                                                 *	 Another tough break for me.                                     * The orderly reaches to rake another dollar into his pile.                 * There's a nice watch on the wrist. Luis smiles to himself.                *	MARGARET O.S.                                      *	 I don't know how to say this,                                * Miriam, so I ' m just going to say                           * it. Miriam waits, but Margaret doesn't immediately say it.                    *	Awakenings 
DAUGHTER                                        *	 Hi, mom.                                                     * Francis' glance comes up to meet the 20 year old's, shifts down       * to the toddler again, comes back up.                                   *	FRANCIS                                         *	 Of course . . .                      '                       * From across the room, Frank watches Francis hug her "actual               * daughter," glances to Rose who has been reunited with a few old       * girlfriends, to Desmond with his son and daughter-in-law and             * their teenage kids, and to Sidney and Lolly in a corner.                 * (REV.11/14/89)Salmon   Pg.80A 146.CONT.                                                        146.	ANTHONY	 How's it going, Frank? Frank glances blankly at Anthony and another orderly, who are hanging out nearby with Bert, passing around a Road & Track magazine.			Awakenings 
ANTHONY	 How do you feel?	FRANK	 How do I feel? (pause) My parents are dead. My wife is       I in an institution. My son has disappeared ... "Out West" somewhere. (pause) I feel old and I feel swindled, that's how I feel. Anthony glances at the others with a why-did-I-ask kind of look. Frank wanders away.	,      BERT	 He is old. So is Bert, though he doesn't feel it. As far as he's concerned, he's still twenty years old. He glances back at the magazine.	ANTHONY	 Pontiac Firebird, 350 engine, now there's a car, Bert.	Awakenings 
BERT	 Firebird . . . He likes the sound of it.       Tight on the picture in the magazine. Rough sketches and balsa wood models of the operating theatre-      * proposed library on a table. Leonard working on them.	PAULA	 Hi, Leonard. Leonard glances up from his work. His mother glances up from her magazine. One of them is delighted to see the girl. (REV.11/22/89)CHERRY          Pg.81					Awakenings 
148.CONT.              SAYER	 Maybe you should. (she shoots him a look) I'm sure he meant you deserve a vacation. Which you do.	MRS. LOWE          ^	 I can't leave him alone in this place. He'd die without me. Sayer "agrees" with a sympathetic nod, but suspects it is she who would die if she left. She resumes pacing, and mutters to herself the bitter-tasting word:	MRS. LOWE	 Girls . . .			Awakenings 
RAY	 With me?- I never know.	SAYER	 What he says is absolutely true. We don't really live. . (pause) Does that mean there's something wrong with him or us? The balance of the pharmaceutical scale wavers like the sword of Damocles.	SAYER & RAY	 Us.			Awakenings 
LEONARD	 The simplest thing.	KAUFMAN	 (somehow doubting it will be simple) And what is that?	LEONARD	 I want to know that I'm free to go for a walk, if I feel like it. Like any normal person. The board members glance among themselves.         They seem relieved. {V   That is a simple request.	LEONARD	 I am? (Kaufman's shrug says "of course") Alone? Now there's a pause. And Leonard's hand makes a gesture to his * face, to his brow. He ignores it (or is unaware of it).        *	Awakenings 
KAUFMAN	 What difference does that make?	LEONARD	 (pause) I think you know.	KAUFMAN	 I don't know. Tell me.	LEONARD	 (right back) It makes all the difference. He brushes at his brow again. Sayer studies him, or rather the tic itself as it repeats.	Awakenings 
KAUFMAN	 I don't know. Tell me.	LEONARD	 (right back) It makes all the difference. He brushes at his brow again. Sayer studies him, or rather the tic itself as it repeats.	LEONARD          -                            *	 You didn't wake a thing, you woke                       * a person. I ' m a person.                              *	PSYCHIATRIST	 Mr. Lowe? I wonder . . . are you at all aware of the unconscious hostility you're exhibiting towards us right now?                                   * Kaufman glances over to the psychiatrist, weary. The look on * Leonard's face is complete innocence; and his tone completely * without innuendo -	Awakenings 
LEONARD	 Did you agree with them?	SAYER	 (pause) Yes. Leonard nods again, philosophically it seems.	SAYER	 I ' m not sure we're out of the woods yet, Leonard. I'm not sure this is nothing. (the tic) I have to be sure you're well. There'll be time enough - Leonard gets up out of his chair --	LEONARD	 Bye. -- and turns to leave.	Awakenings 
163.CONT.                SAYER                                        163	 fT~\                Of course.	MRS. LOWE	 (to Kaufman) He was always nice-minded when he was a boy.                    ^ Kaufman nods, studies Sayer.	MRS. LOWE	 I don't know who that is up there. I don't think he knows. (to Sayer) You've turned Leonard into something he is not.			Awakenings 
KAUFMAN	 Who?	ORDERLY	 Ward 5. The door slides shut. (REV.11/22/89)CHERRY           , Pg					Awakenings 
SAYER	 We wake him up, then lock him up, that's not "paranoia," that's a fact.	KAUFMAN	 I've got 20 psychotics up there, "doctor," refusing to eat. They have no idea whv they're refusing to eat. How long should I let that go (on) -	SAYER	 He knows why, hs. wants out.	KAUFMAN	 Mr. Lowe is not the Messiah of Ward 5, he's a man in trouble. He wasn't "resurrected," he was administered a drug - by. you - that's fallen somewhat short of its "miraculous" reputation -	Awakenings 
LEONARD	 Never better. A strange gesture, a tic, appears and repeats.	SAYER	 And these gentlemen? (REV'.'11/22/89) CHERRY    Pg.9	173/174.CONT.       LEONARD                                     173/17	 These gentlemen protect me.    I wish I didn't need them.	SAYER	 Someone wants to hurt you? (no answer) Who? Leonard glances at Sayer with a slight knowing smile.	Awakenings 
173/174.CONT.       LEONARD                                     173/17	 These gentlemen protect me.    I wish I didn't need them.	SAYER	 Someone wants to hurt you? (no answer) Who? Leonard glances at Sayer with a slight knowing smile. '. .					Awakenings 
SAYER	 Scared. (REV.11/22/89)CHERRY   Pg. (continuity only)	179-.CONT.              LEONARD                                179	 (pause) They should be.	SAYER	 (pause) They want you back. I want you back.                         *	LEONARD	 I want to be back.	Awakenings 
179-.CONT.              LEONARD                                179	 (pause) They should be.	SAYER	 (pause) They want you back. I want you back.                         *	LEONARD	 I want to be back.			Awakenings 
LEONARD	 No, I can do it. She watches him try to get the tie on by himself, and casts around, feeling, perhaps, without a purpose. Eventually, more to herself than to him:	MRS. LOWE	 What you see in that girl . . . (she trails off) I don't get it. (D                     (to himself) She's normal.	MRS. LOWE	 What? (no answer) You're not talking to yourself* again.	LEONARD	 Yeah.	Awakenings 
LEONARD	 ... she, she, she, she ... Hi s a rm lash es out , s end ing the mo del of the li bra ry cra shin g               * to the floor.	SAYER	 (to Mrs. Lowe) What happened?	LEONARD	 ... she devoted her life to me . . . she'd have a life if it weren't                                     p- for me . . .	MRS. LOWE	 . . . I said the most terrible thing . . .	Awakenings 
SAYER	 : There's no reason to think any of this will happen to you. You're individuals. And you're all well. (pause) Aren't you? Most nod, but it's without great conviction.	BERT	 He's the strongest of us. Close on Lucy/ across the room with Miss Costello, finishing the song:	LUCY	 Comes love's old song Comes love's old sweet song . . . Her voice trails into silence.			Awakenings 
