VANESSA	 Austin!	AUSTIN	 (sheepish) Well, you know.	VANESSA	 Hey, I've never seen that big star before.	AUSTIN	 Yeah, what is that?	Austin Powers - The Spy Who Shagged Me 
BASIL EXPOSITION	 What's wrong with your neck, Austin?	AUSTIN	 (turning stiffly to face Basil) I took a Viagra and it got caught in my throat. I've had a stiff neck for hours. Basil, is it true? Have I lost my mojo?	BASIL EXPOSITION	 We're going to run a few tests, Austin. Don't worry, old friend, we'll get to the bottom of this.			Austin Powers - The Spy Who Shagged Me 
NURSE	 Excuse me, Mr. Powers, I need to give you a sponge bath before we begin the test.	AUSTIN	 (not paying attention to her) Alright, miss, just let me finish this article on the Suez crisis.	AUSTIN	 What's going on?	BASIL EXPOSITION	 Alright, everyone, we're done.	Austin Powers - The Spy Who Shagged Me 
BASIL EXPOSITION	 I'm sorry, Austin, I'm afraid it's true: you've lost your mojo.	AUSTIN	 (crushed) Without my mojo, I'm useless to the Ministry and to Her Majesty.  I think it's time to retire.	BASIL EXPOSITION	 I'm afraid that's not possible, Austin. You see, Dr. Evil has returned.	AUSTIN	 Again?	Austin Powers - The Spy Who Shagged Me 
BASIL EXPOSITION	 That's what they'd like you to believe.	AUSTIN	 So, Basil, if I travel back to 1969 and I was frozen in 1967, I could go look at my frozen self. But, if I'm still frozen in 1967, how could I have been unthawed in the 90's and traveled back to the Sixties? (goes cross-eyed) Oh, no, I've gone cross-eyed.	BASIL EXPOSITION	 (to camera) I suggest you don't worry about those things and just enjoy yourself.	AUSTIN	 This is smashing Basil. I'll go back to the Sixties, recharge my mojo, defeat Dr. Evil and be back in time for tea.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 So, Basil, if I travel back to 1969 and I was frozen in 1967, I could go look at my frozen self. But, if I'm still frozen in 1967, how could I have been unthawed in the 90's and traveled back to the Sixties? (goes cross-eyed) Oh, no, I've gone cross-eyed.	BASIL EXPOSITION	 (to camera) I suggest you don't worry about those things and just enjoy yourself.	AUSTIN	 This is smashing Basil. I'll go back to the Sixties, recharge my mojo, defeat Dr. Evil and be back in time for tea.	BASIL EXPOSITION	 Good luck, Austin.	Austin Powers - The Spy Who Shagged Me 
"SEXUAL REVOLUTION."		AUSTIN	 (singing)	'THERE'S A SEXUAL REVOLUTION, YOU		CAN FEEL IT IN THE AIR.  PEOPLE		Austin Powers - The Spy Who Shagged Me 
THAN THE SWORD		AUSTIN	 (singing)	THERE'S A SEXUAL REVOLUTION AND YOU		AIN'T SEEN NOTHING YET PEOPLE SHAGGING		Austin Powers - The Spy Who Shagged Me 
IN THE CLUBS AND INSIDE A JUMBO JET		AUSTIN	 (singing) HEY SQUARE WORLD THE END IS NIGH.	WHEN WE SAY HUMP YOU SAY 'HOW HIGH?'				Austin Powers - The Spy Who Shagged Me 
WHEN WE SAY HUMP YOU SAY 'HOW HIGH?'		AUSTIN	 (singing)	SO GO MAKE LOVE OR MASTURBATE--		SEXUAL FREEDOM WILL NEVER BE		Austin Powers - The Spy Who Shagged Me 
OUT OF DAAAAAAAAAAATE!		EVERYONE	 (chanting)	FREE-- LOVE!	 (louder)	FREE-- LOVE!	 (louder)	Austin Powers - The Spy Who Shagged Me 
EVERYONE	 (chanting)	FREE-- LOVE!	 (louder)	FREE-- LOVE!	 (louder)	FREE-- LOVE!	 (shouting)	Austin Powers - The Spy Who Shagged Me 
FELICITY	 Felicity Shagwell, CIA. Shagwell by name, Shag-very-Well by reputation.	AUSTIN	 (turning to camera) Crazy, baby!					Austin Powers - The Spy Who Shagged Me 
FELICITY	 Mmm, lower.	AUSTIN						Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Would you 'like to see my etchings?	FELICITY	 (sexy) I think I'm ready for bed.	AUSTIN	 I'll get you some PJs.	FELICITY	 No, I'm ready for bed.	Austin Powers - The Spy Who Shagged Me 
FELICITY	 I've studied everything about you- your methods, your accomplishments, your preferences. You're the reason I became a spy. Now, I've waited two years to meet you, so I say we get busy making up for lost time.	AUSTIN	 (reflective) Felicity, I used to think that way, too, but I guess... I guess I've changed.  Not to make a short story long, or to ramble on and on, or to keep talking in a repetitive manner ad infinitum until it becomes impossible to remember what I was talking about in the first place, but- where was I?	MUSIC: SAD INSTRUMENTAL		AUSTIN	 Oh yes. Felicity, I can't shag you. I've lost my mojo.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Oh yes. Felicity, I can't shag you. I've lost my mojo.	FELICITY	 (obviously disappointed) Oh.	AUSTIN	 I thought coming back to the Sixties would bring it back, but it hasn't.	FELICITY	 Austin, don't worry. I know just the man to help you. He's my guru. Ringo recommended him and he's the best.	Austin Powers - The Spy Who Shagged Me 
DISCIPLES	 Ahhhhh...	GURU PITKA	 (rapid fire) The heart of the matter is that you are the heart of the matter.  There is no "I" in "team". Beer before liquor, never sicker. Don't take a wooden nickel.  If your pipe is short and your pump is weak, you better stand close or you'll piss on your feet. He who goes to bed with itchy bum wakes up with smelly finger.	DISCIPLES	 Ahhhhh...	GURU PITKA	 Finally, the path to spiritual awakening requires the death of ego. Leggo of my ego! Let us end with the mantra: Om Ay Vant Yu Uh... Mo Ay Vant Yu Uh... Mo Ay Vant Yu Hu.	Austin Powers - The Spy Who Shagged Me 
GURU PITKA	 Finally, the path to spiritual awakening requires the death of ego. Leggo of my ego! Let us end with the mantra: Om Ay Vant Yu Uh... Mo Ay Vant Yu Uh... Mo Ay Vant Yu Hu.	DISCIPLES	 (chanting) Om Ay Vant Yu Uh... Mo Ay Vant Yu Uh... Mo Ay Vant Yu Hu.	GURU PITKA	 Go with God, and pay at the door please.	GURU PITKA	 How can I help you?	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 That's my problem.	GURU PITKA	 Ohhhhh, I get it. (beat) No, I don't get it.	FELICITY	 He's impotent!	AUSTIN	 Alright, easy. (to Guru) Felicity and I were all set for some hump Olympics and I couldn't bat for six.	Austin Powers - The Spy Who Shagged Me 
FELICITY	 He's impotent!	AUSTIN	 Alright, easy. (to Guru) Felicity and I were all set for some hump Olympics and I couldn't bat for six.	GURU PITKA	 Oh, yes, I see.	AUSTIN	 You have no idea what I'm saying, do you?	Austin Powers - The Spy Who Shagged Me 
FAT BASTARD	 First things first, where's your shitter? I've gotta bleepin, turtle head pokin' out.	DR. EVIL	 (disgusted) Right. Charming. Fat Bastard- you don't mind me calling you Fat Bastard do you?	FAT BASTARD	 I've got a lot of demons kickin' around in my noggin, but weight issues ain't one of them.	DR. EVIL	 Alright, Fatty-	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Fat Bastard, the mojo?	FAT BASTARD	 Where's my (bleeping) money?	DR. EVIL	 A gentlemen never discusses money.	FAT BASTARD	 Fine, you can take your (bleep)in' money and shove it up your (bleep), you stupid (bleeping) prick! While you're at it you can suck my greasy, two-toned (bleep)!	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 A gentlemen never discusses money.	FAT BASTARD	 Fine, you can take your (bleep)in' money and shove it up your (bleep), you stupid (bleeping) prick! While you're at it you can suck my greasy, two-toned (bleep)!	DR. EVIL	 (pause) Vulgarity is no substitute for wit.	FAT BASTARD	 (Bleep) you!	Austin Powers - The Spy Who Shagged Me 
FAT BASTARD	 Fine, you can take your (bleep)in' money and shove it up your (bleep), you stupid (bleeping) prick! While you're at it you can suck my greasy, two-toned (bleep)!	DR. EVIL	 (pause) Vulgarity is no substitute for wit.	FAT BASTARD	 (Bleep) you!	DR. EVIL	 Right. Bring in the money.	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 (pause) Vulgarity is no substitute for wit.	FAT BASTARD	 (Bleep) you!	DR. EVIL	 Right. Bring in the money.	FAT BASTARD	 Alright, here it is.	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Scott, what are you doing here?	SCOTT	 I don't know, I was sitting around watching the tube and The Courtship of Eddie's Father came on Nick at Nite, you know, and I was just listening to that theme song-- (hums/sings the theme) Anyway it made me think that maybe we could try and work things out. You know, you are my Dad and I need you.	DR. EVIL	 You had your chance, Scott. I already have someone created in my image. He's evil, he wants to take over the world, and he fits easily into most overhead storage bins. (looking around) Has anyone seen Mini-Me? (calling out) Mini-Me! Mini-Mouse? Mini-Driver? Hello! Mini Pearl? Can we put a frickin' bell on him or something?	DR. EVIL	 Gentlemen, phase three. We place a giant laser on the moon. Let me demonstrate. (beat) Where's my laser?	Austin Powers - The Spy Who Shagged Me 
SCOTT	 I don't know, I was sitting around watching the tube and The Courtship of Eddie's Father came on Nick at Nite, you know, and I was just listening to that theme song-- (hums/sings the theme) Anyway it made me think that maybe we could try and work things out. You know, you are my Dad and I need you.	DR. EVIL	 You had your chance, Scott. I already have someone created in my image. He's evil, he wants to take over the world, and he fits easily into most overhead storage bins. (looking around) Has anyone seen Mini-Me? (calling out) Mini-Me! Mini-Mouse? Mini-Driver? Hello! Mini Pearl? Can we put a frickin' bell on him or something?	DR. EVIL	 Gentlemen, phase three. We place a giant laser on the moon. Let me demonstrate. (beat) Where's my laser?	DR. EVIL	 Mini-Me, don't chew my laser. (to room) Not feeling well. He has an ear infection, but tit's OK. (pause) No? Nothing? (back to model) Anyway, the laser is powerful enough to destroy every city on the planet at will. We'll turn the moon into what I like to call a "Death Star".	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 What?	SCOTT	 (snickering again) Nothing Darth.	DR. EVIL	 What did you call me?	SCOTT	 Nothing. (pretends to sneeze) Rip-off!	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 What did you call me?	SCOTT	 Nothing. (pretends to sneeze) Rip-off!	DR. EVIL	 (unsure) Bless you? Anyways, since my "death star" laser was invented by the noted Cambridge physicist, Dr. Parsons. I thought we'd name it in his honor-- the Alan Parsons Project.	DR. EVIL	 What now?	Austin Powers - The Spy Who Shagged Me 
SCOTT	 Nothing. (pretends to sneeze) Rip-off!	DR. EVIL	 (unsure) Bless you? Anyways, since my "death star" laser was invented by the noted Cambridge physicist, Dr. Parsons. I thought we'd name it in his honor-- the Alan Parsons Project.	DR. EVIL	 What now?	SCOTT	 The Alan Parsons Project was a progressive rock band from 1982. Why don't you just name it Operation Wang Chung, ass?	Austin Powers - The Spy Who Shagged Me 
SCOTT	 The Alan Parsons Project was a progressive rock band from 1982. Why don't you just name it Operation Wang Chung, ass?	DR. EVIL	 (indicating laser) When you get your own evil empire, you can call it whatever you want. Gentlemen, allow me to demonstrate the awesome lethality of the Alan Parsons Project. Fire the laser!	INSERT SHOT:		NUMBER TWO	 My God, Dr. Evil, you destroyed the Wihite House with no warning!	Austin Powers - The Spy Who Shagged Me 
SCOTT	 I'm nineteen, I don't-	DR. EVIL	 Shh! Shh-Shh. Shh-Shhhhhh-Shh. Shh- shh! It's Morse code. (reading imaginary paper) Let me decipher... it says 'shhhhh!'	SCOTT	 You are so lame-	DR. EVIL	 (like Electric Company) Ssssss...huuuuuh...Shhhhh!	Austin Powers - The Spy Who Shagged Me 
SCOTT	 You are so lame-	DR. EVIL	 (like Electric Company) Ssssss...huuuuuh...Shhhhh!	NUMBER TWO	 Dr. Evil, what are we going to do about Powers?	DR. EVIL	 Fat Bastard, in addition to being extremely rotund, you're a vicious killer.	Austin Powers - The Spy Who Shagged Me 
RICARDO	 Hello, Austin! Balls, said the queen and the king laughed because he had too.	AUSTIN	 (to camera) Crazy, man!	FELICITY	 Let's split up and scope the scene.	AUSTIN	 Don't do anything I wouldn't do- at least not without me.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 (to chick) You're very exotic, baby. Do you have a little English in you?	CHICK	 No.	AUSTIN	 Would you like to?			Austin Powers - The Spy Who Shagged Me 
ROBIN SWALLOWS	 The pleasure is mine.	AUSTIN	 Charmed, I'm sure. (still shaking, her breasts jiggle) How do you do? (still shaking, jiggling) Yes, quite. (shakes, jiggles) I always enjoy meeting new people. (shakes, jiggles) How's your mum? Good. (shakes, jiggles) I love shaking hands.	AUSTIN	 (snapping out of it) So, who was your friend?	ROBIN SWALLOWS	 His name is Fat Bastard.	Austin Powers - The Spy Who Shagged Me 
FELICITY	 I love a man with a large appetite.	FAT BASTARD	 And I love a woman with big (bleeps), so let's shut up and get to (bleep)ing.					Austin Powers - The Spy Who Shagged Me 
AUSTIN	 You're a bit of alright.	ROBIN SWALLOWS	 (strained) Oedipus... use the revolver.	ROBIN SWALLOWS	 (strained) Oedipus... use the machine gun.	IN MID-AIR		Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Sorry baby, too late. He's as dead as vaudeville.	ROBIN SWALLOWS	 You can't win, Powers. Dr. Evil has your mojo and it's only a matter of time before he kills you and takes over the world. (weak) Tell Fat Bastard I'll miss him...					Austin Powers - The Spy Who Shagged Me 
FAT BASTARD	 I always get (bleep)in' hungry after I get my end away!	FELICITY	 I never would have thought that a man of such tremendous girth could be such a, um, creative and sensuous lover!	FAT BASTARD	 You want some chicken? I have more!			Austin Powers - The Spy Who Shagged Me 
PRESIDENT	 But-	DR. EVIL	 (making 'stop' gesture) Talk to the hand!	DR. EVIL	 (to Scott) I did love that, though. Cuba Gooding Jr. was outstanding. Oscar speech, very touching.	DR.EVIL	 Okay, everybody clear the room!	Austin Powers - The Spy Who Shagged Me 
SECRET SHRINE TO AUSTIN POWERS!		DR. EVIL	 Yeah, baby. Very shagedelic. (beat) This isn't working. I don't feel anything.					Austin Powers - The Spy Who Shagged Me 
AUSTIN	 (wide-eyed) Oh my God!	FELICITY	 (looking around) What is it! Is it Fat Bastard?	AUSTIN	 No, written here on my hand, see?	AUSTIN	 Says 'Oh my God!'	Austin Powers - The Spy Who Shagged Me 
FELICITY	 The CIA has always been a boy's club until now. Well move over, this chick's taking over.	AUSTIN	 (hoarse) Very impressive.	FELICITY	 Austin, your voice!	AUSTIN	 Yes, I think I'm coming down with something.	Austin Powers - The Spy Who Shagged Me 
FELICITY	 No thanks.	AUSTIN	 (hoarse, to ice cream man) Could I have two scoops of Vanilla, please?	ICE CREAM MAN	 Right away, governor. Would you like chocolate syrup?	AUSTIN	 (hoarse) Yes, please.	Austin Powers - The Spy Who Shagged Me 
ICE CREAM MAN	 Right away, governor. Would you like chocolate syrup?	AUSTIN	 (hoarse) Yes, please.	ICE CREAM MAN	 Will you have any whipped cream?	AUSTIN	 (hoarse) I will, thank you.	Austin Powers - The Spy Who Shagged Me 
ICE CREAM MAN	 Will you have any whipped cream?	AUSTIN	 (hoarse) I will, thank you.	ICE CR@ MAN	 Candy sprinkles?	AUSTIN	 (hoarse) Yes please.	Austin Powers - The Spy Who Shagged Me 
ICE CR@ MAN	 Candy sprinkles?	AUSTIN	 (hoarse) Yes please.	ICE CREAM MAN	 Crushed nuts?	AUSTIN	 No, laryngitis.	Austin Powers - The Spy Who Shagged Me 
ICE CREAM MAN	 Here's your change, sir. Oh, and Austin--	AUSTIN	 (now with phlegmy throat) Basil!	BASIL EXPOSITION	 Hello, Austin. What's wrong with your voice?	AUSTIN	 (still phlegmy throat) I just had ice cream. Listen to me, I have dairy throat.  "Mary had a little lamb and it was always gruntin'. She tied it to a five bar gate and kicked it's little-	Austin Powers - The Spy Who Shagged Me 
BASIL EXPOSITION	 Hello, Austin. What's wrong with your voice?	AUSTIN	 (still phlegmy throat) I just had ice cream. Listen to me, I have dairy throat.  "Mary had a little lamb and it was always gruntin'. She tied it to a five bar gate and kicked it's little-	BASIL EXPOSITION	 (Interrupting) Austin! Things are heating up, so I thought it best to contact you in disguise. Felicity, your plan worked. You and Austin track Fat Bastard back to Dr. Evil.	AUSTIN	 But how can we track Fat Bastard?	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 (still phlegmy throat) I just had ice cream. Listen to me, I have dairy throat.  "Mary had a little lamb and it was always gruntin'. She tied it to a five bar gate and kicked it's little-	BASIL EXPOSITION	 (Interrupting) Austin! Things are heating up, so I thought it best to contact you in disguise. Felicity, your plan worked. You and Austin track Fat Bastard back to Dr. Evil.	AUSTIN	 But how can we track Fat Bastard?	FELICITY	 I planted a homing device on him last night.	Austin Powers - The Spy Who Shagged Me 
BASIL EXPOSITION	 Well, thanks to your effort, Felicity, we now know that-	AUSTIN	 (interrupting, to Felicity) Did you use an elaborate set of pulleys? A block and tackle?	BASIL EXPOSITION	 Anyway, you two follow the signal back to Dr. Evil's headquarters and then-	AUSTIN	 (interrupting, to Felicity) I just can't get my head around it, baby. You're so small and he's so ... not small. The sheer mechanics of it are mindboggling!	Austin Powers - The Spy Who Shagged Me 
BASIL EXPOSITION	 Anyway, you two follow the signal back to Dr. Evil's headquarters and then-	AUSTIN	 (interrupting, to Felicity) I just can't get my head around it, baby. You're so small and he's so ... not small. The sheer mechanics of it are mindboggling!	BASIL EXPOSITION	 Never mind, Austin, you two have work to do. You must find Dr.  Evil.			Austin Powers - The Spy Who Shagged Me 
FELICITY	 Austin, it almost sounds like you're jealous.	AUSTIN	 Who, me? That's not possible, baby! (beat, to himself) is it?	AUSTIN	 Get down!	FELICITY	 We're obviously on the right track. (re: tracking screen) It looks like Fat Bastard is-on an island in the middle of the ocean.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Get down!	FELICITY	 We're obviously on the right track. (re: tracking screen) It looks like Fat Bastard is-on an island in the middle of the ocean.					Austin Powers - The Spy Who Shagged Me 
FELICITY	 Question is, how do we get in?	AUSTIN	 (muffled) Mmmmmmm...mmmmm...	FELICITY	 Austin, did you hear me?	AUSTIN	 I seem to be stuck in your dirty pillows.	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 (singing)	'WHAT IF GOD WAS ONE OF US?		JUST A SLOB LIKE ONE OF US?'				Austin Powers - The Spy Who Shagged Me 
NUMBER TWO	 I have the perfect weapon. Frau?	FRAU	 (shouting) Bring in the He-Bots!	NUMBER TWO	 Dr. Evil, may I present the He-Bots. What kind of woman could resist these perfect specimens of masculinity? Their clothes are stylish, their posture is ramrod straight, and their buttocks are tight, like tigers. And, each He-Bot is armed with a secret weapon.			Austin Powers - The Spy Who Shagged Me 
NUMBER TWO (O.S.)	 And deadly acid.	DR. EVIL	 Right. I object to the last one on aesthetic grounds, but I don't care how you get Powers, just bring him to me. (to Mini-Me) Ready Mini-Me? A one and a two and... (singing)	ME, AND MY SHA-DOW STROLLING DOWN		THE A-VA-	 (rapidly)	Austin Powers - The Spy Who Shagged Me 
ME, AND MY SHA-DOW STROLLING DOWN		THE A-VA-	 (rapidly)	WASN'T A STREET, WASN'T A ROAD		WASN'T A BOULEVARD	 (dancing in step)	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Oww! My stomach hurts!	AUSTIN	 (wincing) I don't care if he is evil, you don't give a man a shot in the pills. It's just not cricket, baby.	DR. EVIL	 Take them away.	SCOTT	 She just hoofed you in the sack and you're going to leave them alone in a jail cell with one inept guard? They'll escape, dipshit. You do this every time!	Austin Powers - The Spy Who Shagged Me 
SCOTT	 You don't own me!	DR. EVIL	 I do actually. (pulling out paper) It's complicated. Usually it's illegal but this buddy of mine... but I digress. Fat Bastard, I'm leaving you in charge. I'm going up the moon to hold the world ransom with my giant laser, I shouldn't be long.	FAT BASTARD	 What about Powers?	DR. EVIL	 He's tucked away safely in his cell. He's harmless without that mojo. Guard it with your life. (to Number Two) Number Two, begin the countdown.	Austin Powers - The Spy Who Shagged Me 
FAT BASTARD	 What about Powers?	DR. EVIL	 He's tucked away safely in his cell. He's harmless without that mojo. Guard it with your life. (to Number Two) Number Two, begin the countdown.	NUMBER TWO	 Five, four, three...			Austin Powers - The Spy Who Shagged Me 
WOMAN	 Where?	MAN	 Over there. A rare red-billed woodpecker! (looks over with binoculars) What sort of bird is that? Oh goodness, it's not a bird, it's-					Austin Powers - The Spy Who Shagged Me 
UMPIRE	 Two balls! No strikes. (looking up) What is that? It looks just like an enormous--	CUT BACK TO:						Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Why don't you just shag Fat Bastard again?	FELICITY	 (exploding) Austin, that is it! I don't know what happened to you in the Nineties, but I'm still here, in the Sixties, and I still swing! Don't try to lay your hang-ups on me just because you lost your mojo! That one hurts.	AUSTIN	 Ouch, baby, very ouch. I'm wounded.	FELICITY	 I'm sorry, Austin, that was a cheap shot.	Austin Powers - The Spy Who Shagged Me 
FELICITY	 (breaking cover) Austin!	AUSTIN	 (from above) I'm very firmly wedged.	FELICITY	 If you want something done...	AUSTIN	 Almost... got it!	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Give me back my mojo, Fat Bastard!	FAT BASTARD	 I give the orders, (bleep) for brains. Guards, take them back to their cells.	FELICITY	 Hold on, let me ask you one question.	FAT BASTARD	 Alright, I guess I owe you that much for a night of carnal ecstasy.	Austin Powers - The Spy Who Shagged Me 
