ANGELO DUNDEE	 (approving; past newspaper) Yeah. Like that, Daddy. Don't jump in one place. Bad for the heart. That's the most important thing. (without looking)	TIME!						Ali 
CASSIUS	 Yes, sir.	ELIJAH MUHAMMAD	 (after a beat) Up until now, I have entrusted your spiritual development to Brother Malcolm. (beat) I do not feel this is a wise course anymore.	ELIJAH MUHAMMAD (CONT'D)	 Malcolm has gone off into the secular world and does not measure his words. I have decided to give you, as your guide, my very own son, Herbert Muhammad.	ELIJAH MUHAMMAD (CONT'D)	 Herbert will supervise all of your spiritual and material needs.	Ali 
ELIJAH MUHAMMAD (CONT'D)	 Herbert will supervise all of your spiritual and material needs.	CASSIUS	 (not a thought) This is a great honor, Messenger...					Ali 
CASSIUS CLAY, SR. (CONT'D)	 You got...I got you the best white men I could find. Right here in L'ville...	ALI	 When the contract run out. I want black lawyers and managers. Chauncey Eskridge on North La Salle Street... (angrily) They saved you from the gangsters, from the jackals and the hyenas of boxing. Never cheated you. Protected you with a trust fund...	ALI	 I don't need no "protectin'" from myself. Why I need protecting from myself by them...?	ALI	 I ain't one of their thoroughbreds! Or their charity things. "Let's do somethin' for that well-behaved colored boy, Cassius." I ain't well-behaved nothing! I am a man.	Ali 
ALI	 I know who I'm not...I'm not drinkin'! Goin' back on my wife! I am not prayin' to no blue-eyed, blonde-haired Jesus. I ain't...	ODESSA CLAY	 ...dinner! (cold) Go ahead!	CASSIUS CLAY, SR. (CONT'D)	 Go ahead.	ODESSA CLAY	 You didn't get it from me...your words, your sense of humor, what makes you angry, what makes you a fighter. You got that from your daddy...	Ali 
MALCOLM X	 What is it, Joseph?	JOSEPH 13X (V.O.)	 The Honorable Elijah Muhammad has given the Muslim name, Muhammad Ali, to Cassius X. Herbert Muhammad's been placed in charge of his training, instead of you. (and ultimately) Muhammad Ali will not be traveling with you to Africa.	JOSEPH 13X (V.O.) (CONT'D)	 The Honorable Elijah Muhammad has asked me to inform you your suspension has been extended indefinitely.	BETTY SHABAZZ	 (concerned for her husband) Malcolm?	Ali 
JOSEPH 13X (V.O.) (CONT'D)	 The Honorable Elijah Muhammad has asked me to inform you your suspension has been extended indefinitely.	BETTY SHABAZZ	 (concerned for her husband) Malcolm?	MALCOLM X	 (after a beat, disconsolate) Cassius won't be coming to Africa...not with me.	BETTY SHABAZZ	 Go anyway. Don't put it off.      It's not safe here.	Ali 
BETTY SHABAZZ	 (concerned for her husband) Malcolm?	MALCOLM X	 (after a beat, disconsolate) Cassius won't be coming to Africa...not with me.	BETTY SHABAZZ	 Go anyway. Don't put it off.      It's not safe here.	ONE OF HIS CHILDREN (OVER)	 (calling) Mommy...the bath's ready...	Ali 
BETTY SHABAZZ	 Go anyway. Don't put it off.      It's not safe here.	ONE OF HIS CHILDREN (OVER)	 (calling) Mommy...the bath's ready...					Ali 
ALI	 (joking) Hey, man, where they put the real pilot? What you doin' up here?	PILOT	 (not understanding; British accent) I am...the pilot. He's the copilot... (moves map case) Here, Mr. Clay, sit down...	ALI	 No, man, I meant...in L'ville, when I growed up, they barely let black folks drive buses.	THE PILOT	 Here we are. Cote d'Ivoire...Africa.	Ali 
MARLIN THOMAS	 (eating) Anything?	THE MAN	 ...on the phone with his wife. She's having a hard time sleeping...baby's kicking a lot...	MARLIN THOMAS	 Motor Pool, here, have a Chevy parts catalogue...?			Ali 
(GHANA)		MALCOLM X	 (shouts) Brother Muhammad...	ALI	 Hey, man!!!	ALI (CONT'D)	 How you doin'? What's up, brother? I knew you were here...didn't think you were still here...	Ali 
MALCOLM X	 And I heard you were coming.	ALI	 We just got here now... (words rush out) And, maaan, the brothers were flyin' a DC 8. Flippin' switches, navigatin', filing flight plans, talkin' French...	ALI (CONT'D)	 Where you goin'?	MALCOLM X	 When...uh, Liberia.   When you fighting Liston?	Ali 
ALI	 Man, where should I go?   We're planning on Egypt.	MALCOLM X	 Algeria. See Ben Bella... (beat) Go to Mecca, Medina. I just came back. Made my seven circuits around the Kaaba, prayed at sunrise... There were two million people...pilgrims from all over. Dressed all the same, high and low, the same. Blonde-haired, blue-eyed Muslims. Arabs. (off Ali's look of surprise) Blacks. Yeah. All of them, Muslims praying together.					Ali 
BRADLEY (CONT'D)	 (English translation; into phone) Hold on a second...	MOBUTU'S MILITARY AIDE	 (in French) Le Ministre de Dfense vous remercie.	MOBUTU'S MILITARY AIDE (CONT'D)	 (English translation) The Defense Minister thanks you.	BRADLEY	 (in French) Il n'y a pas de quoi. Cela m'a fait grand plaisir. Faites-lui mes compliments.	Ali 
MOBUTU'S MILITARY AIDE (CONT'D)	 (English translation) The Defense Minister thanks you.	BRADLEY	 (in French) Il n'y a pas de quoi. Cela m'a fait grand plaisir. Faites-lui mes compliments.	BRADLEY (CONT'D)	 (English translation) It's nothing. Give him my compliments.			Ali 
MALCOLM X	 Drank from the well of Zem-Zem... And you should visit Cairo. I have friends there in...	ALI	 (his thoughts) ...shouldn't have quarreled with the Honorable Elijah...	ALI (CONT'D)	 (to himself) You shouldn't have... (vocalized) ...quarreled with the honorable Elijah Muhammad...	MALCOLM X	 What?	Ali 
ALI	 Sonji...Sonji Roi...	SONJI	 (laughs) What you keep sayin' my name for?	ALI	 'Cause I love it, girl. How long you been workin' for Herbert?	SONJI	 'Bout a year. I sell "Muhammad Speaks" over the phone...	Ali 
SONJI	 Yeah...	ALI	 (crossing out) Where you live?	SONJI	 I'm takin' you there...			Ali 
ALI	 I think I gonna keep you around forever, girl.	SONJI	 (laughs) Well, I'm not too busy right now, so...I'll think on it.	ALI	 Herbert said you weren't a Muslim.	SONJI	 Cover my hair? No make-up?     Long dresses? Honey, please. (beat) Were you a virgin?	Ali 
ALI	 Herbert said you weren't a Muslim.	SONJI	 Cover my hair? No make-up?     Long dresses? Honey, please. (beat) Were you a virgin?	ALI	 Why?	SONJI	 (laughs) 'Cause you so "gone" off a little good time.	Ali 
ALI	 Why?	SONJI	 (laughs) 'Cause you so "gone" off a little good time.	ALI	 I'm no virgin...but I may as well be. (beat) I ain't jokin'! I always know when I know. See this face? I mean, you got a pretty face for a girl's face, but you ever seen somethin' as pretty as me? Now, you about five-foot-three...that's too small. But I overlook that, too, 'cause...	SONJI	 (sarcastic) Thank you so much.	Ali 
SONJI	 (laughs) 'Cause you so "gone" off a little good time.	ALI	 I'm no virgin...but I may as well be. (beat) I ain't jokin'! I always know when I know. See this face? I mean, you got a pretty face for a girl's face, but you ever seen somethin' as pretty as me? Now, you about five-foot-three...that's too small. But I overlook that, too, 'cause...	SONJI	 (sarcastic) Thank you so much.	ALI	 ...'cause of your spirit!	Ali 
ALI	 I'm no virgin...but I may as well be. (beat) I ain't jokin'! I always know when I know. See this face? I mean, you got a pretty face for a girl's face, but you ever seen somethin' as pretty as me? Now, you about five-foot-three...that's too small. But I overlook that, too, 'cause...	SONJI	 (sarcastic) Thank you so much.	ALI	 ...'cause of your spirit!	SONJI	 My "spirit"...?	Ali 
ALI	 That's right.   I wanna marry her.	HERBERT	 You can't marry that girl! She was a date! Have some fun! She's not your wife! You don't marry this girl. (puts contracts in front of him) Sign there. Management papers. My father will kill me.	BUNDINI	 True love!	BINGHAM	 Watch what you signing, Ali.	Ali 
BINGHAM	 Watch what you signing, Ali.	HERBERT	 (to Bingham; sharp) Nothing to do with you.	BINGHAM	 You talkin' to me, or someone walk inna room, fat boy? Anything's do to with me I think's to d-d-do with me...I'm st-st-still a Christian.	ALI	 (signs anyway) And get me a kosher cook...lady who cooks at Malcolm's temple. Put my brother on the payroll. 50g a year for drivin' and jivin'.	Ali 
BINGHAM	 You talkin' to me, or someone walk inna room, fat boy? Anything's do to with me I think's to d-d-do with me...I'm st-st-still a Christian.	ALI	 (signs anyway) And get me a kosher cook...lady who cooks at Malcolm's temple. Put my brother on the payroll. 50g a year for drivin' and jivin'.	HERBERT	 Lana Shabazz...	ALI	 Yeah. How 'bout it, Howard. You be my official full-time photographer.	Ali 
BUNDINI	 What were you doin' down at a cocktail lounge, Herbert? Sellin' "Muhammad Peeks"?	HERBERT	 (to Bundini) Sober up and say something to this man, Bundini. You supposed to be his "inspiration."	BUNDINI	 (looks at Ali; to Ali, serious) I got to know about Sonji, Muhammad. She got a sister? (as Ali laughs)	BINGHAM	 You been s-s-saving it up, training, Champ. You can't unleash it on this girl all sudden. You may kill her! Maybe you should spread it around more before you tie it down.	Ali 
HERBERT	 (to Bundini) Sober up and say something to this man, Bundini. You supposed to be his "inspiration."	BUNDINI	 (looks at Ali; to Ali, serious) I got to know about Sonji, Muhammad. She got a sister? (as Ali laughs)	BINGHAM	 You been s-s-saving it up, training, Champ. You can't unleash it on this girl all sudden. You may kill her! Maybe you should spread it around more before you tie it down.	ALI	 No. Marriage is the cornerstone of Muslim life.	Ali 
HERBERT	 Sonji Roi is not a Muslim!	ALI	 She gonna be a Muslim, now! (flashes) So fix it up, Herbert.					Ali 
JOSEPH 13X	 Why we meeting?	JOE SMILEY	 The idea was...to...make...Malcolm smaller, you know? Diminished; obscure? Not to turn him into a messiah. (the paper) What I got, now, is Malcolm shoulder to shoulder with Martin Luther King. (beat) And Malcolm running all over the world getting Ben Bella and Nasser to denounce racism in the U.S. while we're competing over there with the Soviets.	JOE SMILEY (CONT'D)	 (droll) Not...a resounding success. We were better off before, with Malcolm INSIDE the Nation. (beat) So... We want you...to get Elijah Muhammad...to take Malcolm back.	JOE SMILEY (CONT'D)	 That's a joke. I'm kidding! Don't you ever smile?	Ali 
ALI	 (to Bundini) What you drinkin'?	BUNDINI	 What am I drinkin'? Water's what I'm drinkin', champ! I'm a natural man...	ALI	 What's goin' on?     We're late.			Ali 
SONJI (V.O.)	 I'm changing my damn clothes! You didn't like what I was wearin'!	BUNDINI	 Come on in...! (sees) What's that?					Ali 
ALI	 What questions?!	SONJI (V.O.)	 About you and us and I ain't tellin' 'em shit. (drunk) Tell it like it is, sugar! They took my boy's name...and what they give him back? Bad style.	SONJI	 I don't drink. I don't smoke. I converted to Islam for you and...			Ali 
THE GATHERED	 Wa-Alaikum-Salaam...	A YOUNG MAN	 (shouts) What you doin' in my pockets, man? Get your hand outta my pocket!	MALCOLM X	 Hold it, hold it, brothers! (pleading) Let's be cool.	MALCOLM'S EYES		Ali 
A YOUNG MAN	 (shouts) What you doin' in my pockets, man? Get your hand outta my pocket!	MALCOLM X	 Hold it, hold it, brothers! (pleading) Let's be cool.	MALCOLM'S EYES		MALCOLM		Ali 
ALI	 What?	CRAZY MAN	 (dazed) They killed Malcolm...they shot Malcolm.	ALI	 (his thoughts) You were the first...you walked me forward, my brother...you were the first...	SAM COOKE	 (sings) "Been a long, long time comin', but a change gonna come, yes it is..."	Ali 
CRAZY MAN	 (dazed) They killed Malcolm...they shot Malcolm.	ALI	 (his thoughts) You were the first...you walked me forward, my brother...you were the first...	SAM COOKE	 (sings) "Been a long, long time comin', but a change gonna come, yes it is..."			Ali 
ALI	 (his thoughts) You were the first...you walked me forward, my brother...you were the first...	SAM COOKE	 (sings) "Been a long, long time comin', but a change gonna come, yes it is..."					Ali 
SONJI	 You okay? (he's cold) What's wrong?	ALI	 Why you done up like that?	SONJI	 I'm dyin' and...'cause this is how I dress! I dyin' for you out of worry...			Ali 
ALI	 The world looks at me, girl! What if I straightened my hair, live in the white suburbs? How I am says something!	SONJI	 (quiet; tough) Well, sorry you don't like how I am...					Ali 
ALI	 Yeah?	BUNDINI	 He so pretty, when you look up "pretty" in the dictionary, he too pretty to be there. (re: newspaper, to Ali) ...you gonna try for Germany?	ALI	 Huh?	ALI	 What you talking about?	Ali 
ALI	 What you talking about?	BUNDINI	 Champ.   It's Eskridge... (Ali didn't know) They changed your classification. (turns page) It's in the paper...You're 1-A. You're gonna get drafted into the Army...	ALI	 (takes phone) You know about this?	CHAUNCEY ESKRIDGE (V.O.)	 Yes. But I think the government's looking to negotiate a deal... (hears on headset) Here we go...!	Ali 
BUNDINI	 Champ.   It's Eskridge... (Ali didn't know) They changed your classification. (turns page) It's in the paper...You're 1-A. You're gonna get drafted into the Army...	ALI	 (takes phone) You know about this?	CHAUNCEY ESKRIDGE (V.O.)	 Yes. But I think the government's looking to negotiate a deal... (hears on headset) Here we go...!			Ali 
ALI	 (takes phone) You know about this?	CHAUNCEY ESKRIDGE (V.O.)	 Yes. But I think the government's looking to negotiate a deal... (hears on headset) Here we go...!					Ali 
HOWARD COSELL	 Cassius, it is my opinion you...	ALI	 (cuts in) And I'm not Cassius Clay. That's a slave name. I'm a free man. I'm Muhammad Ali.	HOWARD COSELL	 (stops, realizing) You know, I apologize to you. On the air. Your name is Muhammad Ali. You have the right to be called whatever you want.	ALI	 (stays angry) You make a lot of mistakes for a so-called educated man. You really go to law school?	Ali 
ALI	 (cuts in) And I'm not Cassius Clay. That's a slave name. I'm a free man. I'm Muhammad Ali.	HOWARD COSELL	 (stops, realizing) You know, I apologize to you. On the air. Your name is Muhammad Ali. You have the right to be called whatever you want.	ALI	 (stays angry) You make a lot of mistakes for a so-called educated man. You really go to law school?	HOWARD COSELL	 Yes, Muhammad. And to think I gave up a lucrative practice for the likes of you.	Ali 
HOWARD COSELL	 (stops, realizing) You know, I apologize to you. On the air. Your name is Muhammad Ali. You have the right to be called whatever you want.	ALI	 (stays angry) You make a lot of mistakes for a so-called educated man. You really go to law school?	HOWARD COSELL	 Yes, Muhammad. And to think I gave up a lucrative practice for the likes of you.	ALI	 I'm the best thing that ever happened to you, Howard Cosell. Without me you be a tall white man with a microphone in his mouth.	Ali 
ALI	 I'm the best thing that ever happened to you, Howard Cosell. Without me you be a tall white man with a microphone in his mouth.	HOWARD COSELL	 (fast) And without me...you'd be a mouth.	HOWARD COSELL (CONT'D)	 (into camera) We'll be right back.			Ali 
HOWARD COSELL	 (sarcastic) Have a little coffee with your sugar...?	ALI	 Keep talking. You were saying something half-smart...	HOWARD COSELL	 They want to make an example out of you.			Ali 
LOBBY - CHAUNCEY ESKRIDGE - DAY		CHAUNCEY ESKRIDGE	 (quietly) You do six weeks basic...you go into the Reserves...you don't go to Vietnam...you get to box...you even get to keep the money...	HERBERT	 (lets him know) The Messenger would not object if you joined under these terms.	ALI	 I stay out of jail and I get to fight.	Ali 
CHAUNCEY ESKRIDGE	 (quietly) You do six weeks basic...you go into the Reserves...you don't go to Vietnam...you get to box...you even get to keep the money...	HERBERT	 (lets him know) The Messenger would not object if you joined under these terms.	ALI	 I stay out of jail and I get to fight.	HERBERT	 (nods) All you have to do is accept the induction. And life goes on.	Ali 
ALI	 I stay out of jail and I get to fight.	HERBERT	 (nods) All you have to do is accept the induction. And life goes on.	CHAUNCEY ESKRIDGE	 They call your name. You say yes.			Ali 
LT. JEROME CLARIDGE (CONT'D)	 Mr. Clay, I am required to inform you that refusal to accept a lawful induction order constitutes a felony under the Universal Military Training and Service Act, punishable by up to five years' imprisonment and a five-thousand-dollar fine. Do you understand?	ALI	 (nods) Yes.	LT. JEROME CLARIDGE	 (repeats) Cassius Marcellus Clay. Ali doesn't move.	LT. JEROME CLARIDGE (CONT'D)	 (a third time) Cassius Marcellus Clay.	Ali 
ALI	 (nods) Yes.	LT. JEROME CLARIDGE	 (repeats) Cassius Marcellus Clay. Ali doesn't move.	LT. JEROME CLARIDGE (CONT'D)	 (a third time) Cassius Marcellus Clay.	A MAN	 (presenting badge) Federal Bureau of Investigation. Mr. Clay, you're under arrest for refusing induction...	Ali 
LT. JEROME CLARIDGE (CONT'D)	 (a third time) Cassius Marcellus Clay.	A MAN	 (presenting badge) Federal Bureau of Investigation. Mr. Clay, you're under arrest for refusing induction...					Ali 
LIPSYTE	 From Europe to China...every home in America...the world's gonna know what the heavyweight champion of the world said about the U.S. war...	ALI	 So what? (beat) I ain't gonna be what anybody else want me to be. I'm not afraid to be what I want. And think how I want.					Ali 
BOB ARUM		ALI	 (to Arum) People are following me...	BOB ARUM	 I got almost nowhere I can promote a fight for you. Plus, I think they're going to vacate you from the crown.	ALI	 What?	Ali 
BOB ARUM	 And New York may revoke your boxing license.	CHAUNCEY ESKRIDGE	 You sure you want to do all this? (politics) Your next three to four years are every heavyweight's prime. And there are few of those years...	ALI	 What 'bout Terrell?	BOB ARUM	 We'll know if we can fight Terrell in Illinois this afternoon. Terrell's running his mouth. He said if you're called, you should serve...	Ali 
BOB ARUM	 We'll know if we can fight Terrell in Illinois this afternoon. Terrell's running his mouth. He said if you're called, you should serve...	ALI	 (angrily) Motherfucker. He got a deferment for bein' too tall, or havin' flat feet. Why don't he serve for me? Tellin' me what I should do...	BOB ARUM	 (to Ali + Eskridge) I got to get you some fights.    Fast.			Ali 
ALI	 (angrily) Motherfucker. He got a deferment for bein' too tall, or havin' flat feet. Why don't he serve for me? Tellin' me what I should do...	BOB ARUM	 (to Ali + Eskridge) I got to get you some fights.    Fast.					Ali 
