MANETTA	 Anyway, Carlo Gambino came out of it capo de tutti capi, and that was the last time the whole commission tried to meet -- until now.	VITTI	 (brooding) I don't know. I don't like it. What do we need a meeting for? Let everybody worry about their own business.	MANETTA	 The '57 meeting was about how we were going to divide up the whole country. This meeting is about how we're gonna survive. You got 'made' guys informing for the Feds; bosses going to jail; everybody's dealing drugs; people are getting whacked without permission. And on top of everything, now we got the Chinese Triads and these crazy Russians to deal with. Everything's changing. We need a leader. Someone with fresh ideas. Someone like you. It's gonna be a new century, Paul. We gotta change with the times.	VITTI	 What are we gonna get, a fuckin' web site?	Analyze This 
BEN	 Why do you think I think you do that? Go ahead, now you ask me why I think you think I think you do that.	ISAAC	 Enough. I want you to think about what I said. And when you're ready to talk to me like a normal person, I'll be at the piano with Regis Philbin. (as he crosses away) Rege!	REGIS PHILBIN	 I'm not singing, Isaac!	ISAAC	 Now, ladies and gentlemen, at the piano, Regis Philbin!	Analyze This 
ISAAC	 Now, ladies and gentlemen, at the piano, Regis Philbin!	BEN	 (to the waiter) Thomas Wolfe was right. You can't go home again -- because your parents still live there.					Analyze This 
18   CONTINUED:                                                       18		MANGANO	 Forget Dominic! They were after Paul. (to Vitti) It's a miracle you survived. I thank God.	VITTI	 Yeah, thank God. All I know is if I didn't have some veal stuck in my teeth, I'd be laying there with Dominic.	JOHNNY BIGS	 This is all about the big meeting. Primo Sindone wants to run the whole show.	Analyze This 
MANGANO	 Yeah, but Primo's a boss. He knows the rules. He couldn't go after Dominic and Paul unless the other families gave their permission.	VITTI	 (starting to sweat) If they did, we're heading for one big fuckin' war. (having trouble breathing) Talk to Zello and Baldassare. Find out what you can. We got two weeks. If the other New York bosses are against us, I want to know it before I walk into that meeting.	MANGANO	 You all right, Paul? You don't look good.	VITTI	 I'm a little choked up here.   I gotta get some air.	Analyze This 
VITTI	 I feel like shit. This whole thing is like a huge fuckin' headache.	JELLY	 (concerned) You havin' one of those mindgrains?	VITTI	 Get the car.			Analyze This 
DOCTOR	 Well, based on everything, I'd say you probably had an anxiety attack.	VITTI	 (a beat) What?	DOCTOR	 An anxiety attack. A panic attack. I can give you some Xanax if it happens again soon --	20   CONTINUED:                                                       20		Analyze This 
20   CONTINUED:                                                       20		VITTI	 (menacing) Look at me. Do I look like a guy who panics?	DOCTOR	 (nervous now) There's nothing -- I mean -- it's a common thing --	VITTI	 Where did you go to medical school? I had a heart attack, you quack bastard.	Analyze This 
VITTI	 (menacing) Look at me. Do I look like a guy who panics?	DOCTOR	 (nervous now) There's nothing -- I mean -- it's a common thing --	VITTI	 Where did you go to medical school? I had a heart attack, you quack bastard.	DOCTOR	 (very scared now) Well, not according to these --	Analyze This 
VITTI	 Where did you go to medical school? I had a heart attack, you quack bastard.	DOCTOR	 (very scared now) Well, not according to these --	VITTI	 (low and deadly, pumping up the cuff with the squeeze-ball) Listen to me, jerk-off. I had a mild heart attack and now it's over. You understand?	VITTI	 If anyone asks you, you never saw me, and I was never here. Is that clear?	Analyze This 
DOCTOR	 (very scared now) Well, not according to these --	VITTI	 (low and deadly, pumping up the cuff with the squeeze-ball) Listen to me, jerk-off. I had a mild heart attack and now it's over. You understand?	VITTI	 If anyone asks you, you never saw me, and I was never here. Is that clear?	DOCTOR	 (strangled) Yes.	Analyze This 
VITTI	 If anyone asks you, you never saw me, and I was never here. Is that clear?	DOCTOR	 (strangled) Yes.	VITTI	 Good. (to Jelly) Take the chart.			Analyze This 
DOCTOR	 (strangled) Yes.	VITTI	 Good. (to Jelly) Take the chart.					Analyze This 
VITTI	 And nobody can know. If anyone hears I'm talking to a shrink, it could be interpreted the wrong way. You know what I mean?	JELLY	 Of course. Absolutely. (then) Can I ask you one thing?	VITTI	 What?	JELLY	 This friend.    Is it me?	Analyze This 
BEN	 You're... You're one of the guys I rear-ended the other night.	JELLY	 Bingo. (to Carl) Get outta here.	JELLY	 Upsa-daisy.   You got a coat, nutbar?	BEN	 What are you doing?	Analyze This 
BEN	 The hell he is. He's not going anywhere until we're done with his session.	JELLY	 (to Carl) I'll give you a hundred bucks to get out of here.	BEN	 Don't take it, Carl.	JELLY	 (peeling off another bill) A hundred and fifty.	Analyze This 
BEN	 Don't take it, Carl.	JELLY	 (peeling off another bill) A hundred and fifty.	BEN	 He's not leaving.	CARL	 (trembling) Three hundred.	Analyze This 
BEN	 He's not leaving.	CARL	 (trembling) Three hundred.	JELLY	 (pays him) You're not that fuckin' crazy.	BEN	 Listen, if you're upset about your car, I can understand that. But you don't just barge in here --	Analyze This 
CARL	 (trembling) Three hundred.	JELLY	 (pays him) You're not that fuckin' crazy.	BEN	 Listen, if you're upset about your car, I can understand that. But you don't just barge in here --	VITTI	 You know who I am?	Analyze This 
VITTI	 With you?	BEN	 (hedging) With me? Oh, I don't know. I'd have to look at my schedule. I'm very heavily booked right now and I'm going on a short vacation tomorrow.	VITTI	 Where you going?	BEN	 I don't really share that information with...	Analyze This 
BEN	 Well, I really didn't do anything --	VITTI	 You did something. The load? Off. Where is it? Don't know. You're good, Doctor. I'll be in touch. But listen to me. (leaning close, menacing) If I talk to you and it turns me into a fag, I'll kill you. You understand?	BEN	 Could we define 'fag,' because some feelings may come up --	VITTI	 I go fag, you die. Got it?	Analyze This 
MICHAEL	 You are so cool, Dad. Was that really Paul Vitti?	BEN	 (throwing the bags in the car) I didn't ask to see his Mafia decoder ring, but yeah, it was him. And you cannot tell anyone he was here. You understand?	MICHAEL	 Should I take it off the internet?	BEN	 What?	Analyze This 
24B   CONTINUED:                                                      24B		LAURA	 So judging from the mob scene around the pool here today, I think you'd have to say that there's nothing 'off' about the 'off-season' in Miami Beach this summer. Now, on a personal note, this is my last report for W.V.B.F. I'm getting married to a wonderful man and moving to New York, so if you're up that way, watch for me on the W.P.I.X. news team. Thanks for everything, Miami. (voice catching slightly) For the last time, this is Laura MacNamara, W.V.B.F. news.	LAURA	 Catch!	PRODUCER	 We're clear.	Analyze This 
PRODUCER	 We're clear.	LAURA	 (to the crew, all business) I'll do the re-asks, then you guys can just shoot the inserts and pack it up. (looks off) Ben!	LAURA	 This is him, everyone!    This is the guy!	BEN	 (to the crew) Hi, everybody.	Analyze This 
LAURA	 This is him, everyone!    This is the guy!	BEN	 (to the crew) Hi, everybody.	24B   CONTINUED:    (2)                                               24B		LAURA	 (as she hugs him) Oh, I missed you.	Analyze This 
24B   CONTINUED:    (2)                                               24B		LAURA	 (as she hugs him) Oh, I missed you.	BEN	 I missed you too. Michael, say hello.	MICHAEL	 Hi, Laura.	Analyze This 
MICHAEL	 Hi, Laura.	LAURA	 (a little too big) This is Michael? I don't think so. If I remember correctly, Michael was a little boy, and this, this is a great big kid. Hey, you. Tell us what you did with Michael Sobol.	LAURA	 Okay. Come on. Give me a break. I'm trying.	MICHAEL	 No, it was nice, but I'm fourteen so it wasn't -- you know -- age appropriate.	Analyze This 
MICHAEL	 No, it was nice, but I'm fourteen so it wasn't -- you know -- age appropriate.	LAURA	 (smiles appreciatively) Sorry. Just smack me if I do that again. (hugs him) How are you, Michael?	MICHAEL	 Great.	BEN	 Mike, you want to go look at the camera?	Analyze This 
BEN	 'Cause I bet there's all kinds of cool video stuff over there. Why don't you check it out?	MICHAEL	 (gets the hint) Oh, yeah. (to Laura) Is it okay?	LAURA	 Go ahead. If you break something, don't worry. I'm out of here.	LAURA	 You think he likes me?	Analyze This 
BEN	 The sweating shouldn't be a problem. The tearing sounds painful.	SOUND GUY	 (embarrassed) Uhh, Laura? You want me to take your mic, or at least turn it off?	LAURA	 Oh my God.	25    OMITTED                                                           25		Analyze This 
SHEILA	 Oh, yes. Oh, yes. (then) Is everything okay, Paul?	26   CONTINUED:    (A1)                                               26		VITTI	 What are you talking for?   I'm trying to do this here.			Analyze This 
26   CONTINUED:                                                       26		VITTI	 No, I wasn't thinking about my wife. (a long beat) Now I'm thinking about my wife. Goddamn it, Sheila, why can't you keep your mouth shut!	SHEILA	 (small voice) I'm sorry, Paul.			Analyze This 
VITTI	 No, I wasn't thinking about my wife. (a long beat) Now I'm thinking about my wife. Goddamn it, Sheila, why can't you keep your mouth shut!	SHEILA	 (small voice) I'm sorry, Paul.					Analyze This 
JELLY (O.S.)	 (whispering) Dr. Sobol. Dr. Sobol.	BEN	 Mom?	JELLY	 Mr. Vitti wants to see you.   I have your robe.			Analyze This 
VITTI	 I got news for you. I'm still fucked up. Whatever you did the other day, it didn't take. You did nothing for me.	BEN	 (indignant) I did nothing? What did you expect? I saw you for five minutes. I don't work miracles, Mr. Vitti. And I'll tell you something else. I don't appreciate it when someone breaks into my hotel room and kidnaps me. I don't go for that. I have a family and a life and a serious practice, and I don't have time for your bullshit! (sheepishly) That got away from me near the end.	VITTI	 I couldn't get it up tonight.	BEN	 (stopped cold) You mean sexually?	Analyze This 
VITTI	 I couldn't get it up tonight.	BEN	 (stopped cold) You mean sexually?	VITTI	 No, I mean for the big game against Michigan State. Of course sexually!	BEN	 You flew fifteen hundred miles and dragged me out of bed in the middle of the night because you couldn't get an erection?	Analyze This 
BEN	 So twice?	VITTI	 Do the math. Two times. (a beat) There was another time. But it was after a big meal, so, you know, that don't count.	BEN	 Listen, being unable to perform three or four times --	VITTI	 Five.	Analyze This 
29   CONTINUED:    (3)                                               29		VITTI (CONT'D)	 (moving closer to Ben) In my business I deal with animals. They may seem dumb to an educated guy like you, but make no mistake about it, Doctor, animals are very cunning. And they sense weakness. Right now I'm an injured animal. It's only a matter of time before one of the lions out there catches the scent. Then I'm dead. That's the way it is. If you don't understand that, then you don't understand the life I live and you don't understand me.	BEN	 (nodding) Okay.	VITTI	 I have until the end of the week to get strong or they're gonna eat me up. If they don't kill me in the meantime.	Analyze This 
VITTI (CONT'D)	 (moving closer to Ben) In my business I deal with animals. They may seem dumb to an educated guy like you, but make no mistake about it, Doctor, animals are very cunning. And they sense weakness. Right now I'm an injured animal. It's only a matter of time before one of the lions out there catches the scent. Then I'm dead. That's the way it is. If you don't understand that, then you don't understand the life I live and you don't understand me.	BEN	 (nodding) Okay.	VITTI	 I have until the end of the week to get strong or they're gonna eat me up. If they don't kill me in the meantime.	BEN	 What happens next week?	Analyze This 
BEN	 I'd like to go now.	VITTI	 (starts to cry) You see this? This is what I'm talking about! I'm a dead man!	VITTI	 (through the tears) You call yourself a doctor? You should be ashamed. A real doctor couldn't turn his back on a person who's suffering!	BEN	 (finally) All right. (hands him a handkerchief) What happened with your wife tonight?	Analyze This 
VITTI	 (through the tears) You call yourself a doctor? You should be ashamed. A real doctor couldn't turn his back on a person who's suffering!	BEN	 (finally) All right. (hands him a handkerchief) What happened with your wife tonight?	VITTI	 (wiping away his tears) I wasn't with my wife. I was with my girlfriend.	BEN	 You have a girlfriend? We could do two months on that alone.	Analyze This 
BEN	 (finally) All right. (hands him a handkerchief) What happened with your wife tonight?	VITTI	 (wiping away his tears) I wasn't with my wife. I was with my girlfriend.	BEN	 You have a girlfriend? We could do two months on that alone.	VITTI	 What, you're gonna start moralizing with me now?	Analyze This 
BEN	 I doubt if there's anything physically wrong with you.	VITTI	 (brightening, pointing a finger at Ben) You.   You. You're very good.	BEN	 There's a lot more to it --	29   CONTINUED:    (6)                                               29		Analyze This 
VITTI	 I hear it all the time. Only it's more like, 'No, no, please, no!'	BEN	 (relenting) All right. I'm here for two more days. When we get back to New York, I'll treat you exclusively for two weeks. I just need to figure out what to tell my other patients.	VITTI	 You want me to clear your schedule for you?	BEN	 No thanks, I'll handle it.   Now can I go?	Analyze This 
29A   CONTINUED:                                                      29A		BEN	 Paul Vitti! (a beat) Paul Vitti.	LAURA	 (worried) Oh, Ben.	BEN	 I know.    But don't worry. It's not like   he's a real patient. He's got   this idea in his head that I'm   helping him. It's crazy.	Analyze This 
BEN	 Paul Vitti! (a beat) Paul Vitti.	LAURA	 (worried) Oh, Ben.	BEN	 I know.    But don't worry. It's not like   he's a real patient. He's got   this idea in his head that I'm   helping him. It's crazy.	LAURA	 You're not going to treat him.	Analyze This 
MOONY	 I'm telling you, Primo, he's planning something big. The shit is really gonna come down.	SINDONE	 Then let it come down. Vitti's a tough guy but a lot of tough guys got fed to the crabs off Red Hook over the years. (looking down at the tailor) You been down there a long time. Are you measuring my inseam or contemplating a lifestyle change?	MOONY	 Primo?   What about Vitti?	SINDONE	 Vitti. Vitti. The whole time we were growing up, he was the smart guy; I was the dope. My father was a nickel-and-dime shitheel; his father had it all. Vito Genovese blew it at Apalachin because he forgot to kill Gambino before the meeting.	Analyze This 
32A   LAURA AND MICHAEL                                                 32A		LAURA	 (to Ben) Come on. Get into it.	BEN	 I don't understand. They jump out of the water, they splash, they eat fish. It's not a real stretch for a whale. If they did a number from West Side Story, then I'd be into it.	LAURA	 Just stop. (to Michael) We're having fun, right?	Analyze This 
BEN	 I don't understand. They jump out of the water, they splash, they eat fish. It's not a real stretch for a whale. If they did a number from West Side Story, then I'd be into it.	LAURA	 Just stop. (to Michael) We're having fun, right?	MICHAEL	 Well, to be real honest. I'm not having as much fun as it looks like I am. I'm pretending, you know, because we have to bond and everything.	32A   CONTINUED:                                                        32A		Analyze This 
32A   CONTINUED:                                                        32A		BEN	 (to Laura) You've got to admire the openness.	MICHAEL	 (a tad too excited) Here comes the whale again!	32B   TANK                                                              32B		Analyze This 
BEN	 (to Laura) You've got to admire the openness.	MICHAEL	 (a tad too excited) Here comes the whale again!	32B   TANK                                                              32B		JELLY AND JIMMY		Analyze This 
STANDS		BEN	 (to Laura and Michael) I'm hungry. Yeah, I'm going to get a hot dog. Who wants a hot dog?	MICHAEL	 (rising) I'll go with you.	BEN	 No, I'll go. You're pretending to have a good time. I don't want to spoil that. Be right back.	Analyze This 
BEN	 (to Laura and Michael) I'm hungry. Yeah, I'm going to get a hot dog. Who wants a hot dog?	MICHAEL	 (rising) I'll go with you.	BEN	 No, I'll go. You're pretending to have a good time. I don't want to spoil that. Be right back.			Analyze This 
JIMMY	 Fuckin' fifteen-hundred dollar suit. You think the whales piss in that water?	JELLY	 No, I think they use the men's room next door at the Burger King. (to Ben) Mr. Vitti wants to see you.	BEN	 Is this a joke?	JELLY	 You're an employee of Mr. Vitti's. That means you're on call twenty- four hours a day just like the rest of us.	Analyze This 
VITTI	 I don't know. The usual bullshit. Family problems.	BEN	 Which family? (referring to bodyguards) This one?	VITTI	 No, regular family.	BEN	 (stops) I want you to draw a picture of a house. In the sand.	Analyze This 
VITTI	 No, regular family.	BEN	 (stops) I want you to draw a picture of a house. In the sand.	VITTI	 What kind of house? A warehouse? A whorehouse? My house? What house?	BEN	 A house.	Analyze This 
BEN	 Wife?	VITTI	 (clears his throat) Love.	BEN	 Son?	BEN	 Son?	Analyze This 
VITTI	 Look at this, the whole crew. (kissing Marie) You all right? Good flight?	39   CONTINUED:                                                      39		MARIE	 Yeah, we're fine. We're on our way to the pool. Kids, get your stuff. We'll get out of your way.			Analyze This 
MARIE	 Yeah, we're fine. We're on our way to the pool. Kids, get your stuff. We'll get out of your way.	VITTI	 That's okay. Marie, this is a friend of mine, Ben Sobol. (as they AD LIB greetings) He's -- from the boat. A fishing boat captain. Cuban refugee.	MARIE	 (shaking his hand) Nice to meet you, Senor Sobol.	BEN	 Gracias.	Analyze This 
VITTI	 That's okay. Marie, this is a friend of mine, Ben Sobol. (as they AD LIB greetings) He's -- from the boat. A fishing boat captain. Cuban refugee.	MARIE	 (shaking his hand) Nice to meet you, Senor Sobol.	BEN	 Gracias.	VITTI	 And this is Theresa and Anna --	Analyze This 
BEN	 Nice to meet you.	VITTI	 (noticing Theresa's bikini) Jesus, Theresa, you are not wearing that suit to the pool.	THERESA	 What do you want me to wear, a one-piece?	VITTI	 I want you to wear one of those Arab bathrobes with a veil over your face, is what I want.	Analyze This 
ANTHONY	 What?	VITTI	 (holds up some tickets) Marlins and the Braves -- right behind home plate, tonight.	ANTHONY	 You and me?	VITTI	 Of course, you and me. (hugs him) Have fun at the pool. Stay out of the deep end. And don't swim for a couple hours after you eat.	Analyze This 
ANTHONY	 You and me?	VITTI	 Of course, you and me. (hugs him) Have fun at the pool. Stay out of the deep end. And don't swim for a couple hours after you eat.	ANTHONY	 Okay, Papa.	VITTI	 (to Jelly) Send Jimmy down with them.	Analyze This 
ANTHONY	 Okay, Papa.	VITTI	 (to Jelly) Send Jimmy down with them.	JELLY	 Already done.	BEN	 Nice family.    Cuban fishing boat captain?	Analyze This 
BEN	 You know, normally a patient wouldn't smoke or drink during a session.	VITTI	 (blowing smoke) That's an interesting fact I'll have to remember if I'm ever on 'Jeopardy.'	BEN	 So tell me about your father.	VITTI	 My father. He was a big man in the neighborhood -- very well respected. Everybody loved him, God rest his soul.	Analyze This 
BEN	 How did that feel?	VITTI	 It felt great! How did it feel? (shrugs) I don't know.	BEN	 Well, think about it. Were you angry, were you afraid? Sad?	VITTI	 Yeah, I guess.	Analyze This 
SCOTT	 For what?	BEN	 (pointing to Laura) For this.	LAURA	 (to Ben) Would you like a drink, because I'm definitely having eight or nine.	BELINDA	 (disapproving) Shall we go to the table?	Analyze This 
BEN	 (pointing to Laura) For this.	LAURA	 (to Ben) Would you like a drink, because I'm definitely having eight or nine.	BELINDA	 (disapproving) Shall we go to the table?	SCOTT	 Ben, there's a lot I'd like to say to you, but I'm going to skip the big father-in-law speech because I know you've been married before.	Analyze This 
LAURA	 (to Ben) Would you like a drink, because I'm definitely having eight or nine.	BELINDA	 (disapproving) Shall we go to the table?	SCOTT	 Ben, there's a lot I'd like to say to you, but I'm going to skip the big father-in-law speech because I know you've been married before.	40A   CONTINUED:    (2)                                                40A		Analyze This 
VITTI (O.S.)	 Senor Sobol!	BEN	 (sputtering) Mr. Vitti! How are you? Mrs. Vitti! Honey, it's the Vittis!	VITTI	 (charming) Look at everybody. Everybody's smiling, everybody's happy. Nice. This is Marie, my girls, my boy, then all these guys.	BEN	 Mr. and Mrs. Vitti, this is Laura, my fiancee.	Analyze This 
BEN	 (sputtering) Mr. Vitti! How are you? Mrs. Vitti! Honey, it's the Vittis!	VITTI	 (charming) Look at everybody. Everybody's smiling, everybody's happy. Nice. This is Marie, my girls, my boy, then all these guys.	BEN	 Mr. and Mrs. Vitti, this is Laura, my fiancee.	VITTI	 Nice to meet you.	Analyze This 
VITTI	 Nice to meet you.	LAURA	 (stunned) Thank you very much.	BEN	 And this is my son Michael.	40A   CONTINUED:    (3)                                               40A		Analyze This 
40A   CONTINUED:    (3)                                               40A		VITTI	 Whoa.  He's a bruiser. (to Ben) You're sure this is your kid? You're a pound and a half soaking wet. I've had lobsters bigger than you. (to Michael) You ever want a job, you come talk to me, right?	MICHAEL	 Seriously?	BEN	 Michael!	Analyze This 
BEN	 Mr. Vitti, this is Laura's father.	VITTI	 Yeah? Okay, well, sorry. But you should know, there is no mob, and, P.S., I personally have never been convicted of a crime. (to Jelly) We're nine for nine, right?	JELLY	 That's right.	40A   CONTINUED:    (4)                                                 40A		Analyze This 
40A   CONTINUED:    (4)                                                 40A		VITTI	 (quietly) I heard about the wedding. Here you go. A little something for the bride and groom. God bless. You should live and be well.	LAURA	 Mr. Vitti, we can't accept this.	VITTI	 Yeah, you can. Now, if you don't mind, I just need to borrow this guy for a couple of minutes, then that's it. I'm out of here. Okay?	Analyze This 
LAURA	 Okay. Then you leave us alone, right?	VITTI	 Of course. I wouldn't do anything to screw up your wedding. (to Ben) I gotta talk to you. Come on. (to group) Have a great night, everybody. Nice to meet you.	BEN	 (to Laura) I've just got to talk to him for a sec. You okay?	LAURA	 I've never been less okay.	Analyze This 
VITTI	 Of course. I wouldn't do anything to screw up your wedding. (to Ben) I gotta talk to you. Come on. (to group) Have a great night, everybody. Nice to meet you.	BEN	 (to Laura) I've just got to talk to him for a sec. You okay?	LAURA	 I've never been less okay.	BEN	 Great.	Analyze This 
VITTI	 (to Jelly) Watch that door. And don't listen to what we say.	JELLY	 My ears are sealed.	VITTI	 (to Ben) Okay, listen. I had a really weird dream last night.			Analyze This 
