ARSENIC AND OLD LACE	 Written by Julius J. & Philip G. Epstein Adapted from the play by Joseph Kesselring	CREDITS	 Credits roll, in white letters, on several funny cartoons, all of them about witches and witchcraft (a caldron over a fire, with two witches on either side of it - A close-up of one of the witches - A witches falling down from the sky on her broomstick, and loosing her hat in the fall - A furious black cat spitting at an owl seated on a branch - A carafe with two glasses, actually a direct reference to the film - An Halloween pumpkin pressing her two forefingers in its ears, with music notes around it - Black bats flying over a village).	BROOKLYN - GENERAL OVERVIEW - EXTERIOR DAY	 A general overview of Brooklyn, near New York, seen from the roof of a very high building. Written in white letters on this overview, the following words : This is a Hallowe'en tale of Brooklyn, where anything can happen-- and it usually does. Then : At 3 P.M. on this particular day, this was happening- Several white circles move on the screen, then the whole screen is covered by a huge base ball, with Brooklyn written on it in black letters.	BASEBALL GAME - SPECTATORS - EXTERIOR DAY	 Close-up of the face of man, screaming :	Arsenic and Old Lace 
ELAINE	 Mortimer !	MORTIMER	 (yelling to Elaine) Please, be quiet ! Can't you see I've got to get a doctor ? (to Witherspoon on the phone) Hello ? What kind of a doctor ? A family doctor ?	ELAINE	 You can take your honeymoon, your wedding ring, your taxi, your window-seat, and put them in a barrel, and push them all over Niagara Falls ! She walks away	MORTIMER	 (to the departing Elaine) Thank you, darling. Thank you. (to Witherspoon on the phone) Oh, look, why don't you come down here anyway ? While you're getting here, I'll get Teddy's and the doctor's signatures both. The front door slams violently. Mortimer turns around.	Arsenic and Old Lace 
ELAINE	 You can take your honeymoon, your wedding ring, your taxi, your window-seat, and put them in a barrel, and push them all over Niagara Falls ! She walks away	MORTIMER	 (to the departing Elaine) Thank you, darling. Thank you. (to Witherspoon on the phone) Oh, look, why don't you come down here anyway ? While you're getting here, I'll get Teddy's and the doctor's signatures both. The front door slams violently. Mortimer turns around.	MORTIMER	 Yeah. Elaine ! Elaine ! (to Witherspoon) Yeah, I'll get both signatures. Yeah, well, come right away. He puts the phone down.	MORTIMER	 Elaine ? What's the matter with her ? He stands up and runs across the room to the window-seat.	Arsenic and Old Lace 
MORTIMER	 Aunt Abby ! Aunt Martha ! Come in here !	ABBY	 (voice over from the kitchen) We're busy.	MORTIMER	 No, you come in here now ! Abby, still in funeral clothes, enters the room through the kitchen door.	ABBY	 Yes, dear, what is it ? Where's Elaine ?	Arsenic and Old Lace 
O'HARA	 All right.	MORTIMER	 You can tell me all about it. (to Abby) Couldn't you whip up a sandwich for Officer O'Hara ?	MARTHA	 I hope you don't mind eating in the kitchen, Officer O'Hara.	O'HARA	 And where else would you eat ? They all enter the kitchen, laughing, and leaving Jonathan alone in the room. Mortimer lets them in, but comes back into the sitting-room, closing the kitchen door behind him.	Arsenic and Old Lace 
O'HARA	 And where else would you eat ? They all enter the kitchen, laughing, and leaving Jonathan alone in the room. Mortimer lets them in, but comes back into the sitting-room, closing the kitchen door behind him.	MORTIMER	 (to the policeman and his aunts) See you in a moment. He crosses the room toward Jonathan	MORTIMER	 Now, listen, Jonathan, this is your last chance. I'll keep O'Hara busy in the kitchen and give you a chance to get out. All three of you : you, Doctor Einstein and Spenalzo.	JONATHAN	 Mortimer...	Arsenic and Old Lace 
MORTIMER	 Officer O'Hara ?	O'HARA	 (voice over from the kitchen) Coming. Mortimer comes back in the middle of the room.	JONATHAN	 Now, if you tell O'Hara what's in the window-seat, I'll tell him what's down in the cellar.	MORTIMER	 Cellar ?	Arsenic and Old Lace 
DOCTOR GILCHRIST	 Livingstone ?	MORTIMER	 (to the doctor) Well, that's what he presumes. (to Teddy) Mister President, the doctor would like to have a few words with you in private. He bows slightly.	TEDDY	 Certainly. Welcome to Washington, doctor. He shakes his hand again, then puts his arm around the doctor's shoulders and moves away with him into the churchyard.	TEDDY	 Arlington is beautiful at this time of year, is it not, doctor ?	Arsenic and Old Lace 
ABBY	 All right ! All right ! We'll find out whose house this is ! I'm warning you, you better stop it. There's no use doing what you're doing, because it'll just have to be undone.	JONATHAN	 (voice over from the cellar) Aunt Abby, go to bed !	ABBY	 It's a terrible thing to do to bury a good Methodist with a foreigner. Mortimer comes rushing into the room with the papers in his hand.	MORTIMER	 Hello. He blows on the papers to dry the ink of the signature.	Arsenic and Old Lace 
DOCTOR EINSTEIN	 No, no, no ! I am tired. You forget, I got to operate on your face tomorrow. He sits down on the bottom steps of the stairs.	JONATHAN	 (voice over. We just see his shadow on the wall behind Einstein) You are going to operate tomorrow, Doctor. But tonight we are taking care of Mortimer.	DOCTOR EINSTEIN	 No, but Johnny, not tonight ! I'm sleepy. We'll do it tomorrow. Or the next day.	JONATHAN	 (voice over from the shadow on the wall) Look at me, Doctor. You can see that it's got to be done, can't you?	Arsenic and Old Lace 
DOCTOR EINSTEIN	 No, but Johnny, not tonight ! I'm sleepy. We'll do it tomorrow. Or the next day.	JONATHAN	 (voice over from the shadow on the wall) Look at me, Doctor. You can see that it's got to be done, can't you?	DOCTOR EINSTEIN	 Yeah, I know that look.	JONATHAN	 (voice over from the shadow on the wall) It's a little late to dissolve our partnership.	Arsenic and Old Lace 
DOCTOR EINSTEIN	 Yeah, I know that look.	JONATHAN	 (voice over from the shadow on the wall) It's a little late to dissolve our partnership.	DOCTOR EINSTEIN	 Okay, okay, Johnny, okay. We'll do it. But the quick way, huh ? The quick twist like in London. He mimes the breaking of a neck with his fingers, and then takes a sip from his bottle	JONATHAN	 (voice over from the shadow on the wall) No, Doctor. I think this calls for something special. I think, perhaps, the Melbourne method.	Arsenic and Old Lace 
DOCTOR EINSTEIN	 Okay, okay, Johnny, okay. We'll do it. But the quick way, huh ? The quick twist like in London. He mimes the breaking of a neck with his fingers, and then takes a sip from his bottle	JONATHAN	 (voice over from the shadow on the wall) No, Doctor. I think this calls for something special. I think, perhaps, the Melbourne method.	DOCTOR EINSTEIN	 Not the Melbourne method, please ! Two hours ! And then when it was all over, what ? The fellow in London was just as dead as the fellow in Melbourne.			Arsenic and Old Lace 
MORTIMER	 Thank you, Mister President. Oh, what a load off my mind. Boy, could I use a drink ! Thank God for that. He starts going downstairs. Einstein follows him and takes his sleeve again.	DOCTOR EINSTEIN	 (whispering) Get out of here, will you, please ?	MORTIMER	 Huh ? What did you say ? Speak up, sonny. I can't hear you.	DOCTOR EINSTEIN	 (still whispering) Johnny's in a bad mood. You get out of here !	Arsenic and Old Lace 
MORTIMER	 Huh ? What did you say ? Speak up, sonny. I can't hear you.	DOCTOR EINSTEIN	 (still whispering) Johnny's in a bad mood. You get out of here !	MORTIMER	 Stop underplaying. I can't hear you.	DOCTOR EINSTEIN	 Please listen to me. Get out. Mortimer gets rid of Einstein's hands on his sleeves.	Arsenic and Old Lace 
MORTIMER	 Isn't that great ? So there he is, all waiting to be trussed up and gagged. What do you think they used to truss him up with ? He keeps on laughing while talking. Close-up of Jonathan's face, smiling.	DOCTOR EINSTEIN	 (voice over) Oh, what ?	MORTIMER	 (voice over) The curtain cord. Jonathan looks in the direction of the window... and the curtain cord.	DOCTOR EINSTEIN	 Curtain cord ? But didn't he see him get it ? Behind the seated Mortimer, Jonathan is silently walking to the window.	Arsenic and Old Lace 
DOCTOR EINSTEIN	 (voice over) Oh, what ?	MORTIMER	 (voice over) The curtain cord. Jonathan looks in the direction of the window... and the curtain cord.	DOCTOR EINSTEIN	 Curtain cord ? But didn't he see him get it ? Behind the seated Mortimer, Jonathan is silently walking to the window.	MORTIMER	 Seen him get it. No. The silly chump sits down with his back toward the murderer. Mortimer turns slightly on his chair, but without taking his eyes off Einstein, and, of course, without looking at his brother behind him, quietly cutting the curtain cords with a jack-knife.	Arsenic and Old Lace 
DOCTOR EINSTEIN	 Here, I'll split it with you. We both have a drink before we operate. Oh, I am so happy that we don't have to operate without a drink. Einstein gives a glass to Jonathan. Mortimer, who recognized the carafe, is smiling behind his gag. Jonathan smells the glass. Einstein has his glass almost to his lips, when Jonathan stops him.	JONATHAN	 Doctor. One moment, please. Where are your manners ? (to Mortimer) Yes, Mortimer. I realize now that it was you who brought me back to Brooklyn. We drink to you. Doctor ! To my dear, dead brother. They clink their glass in front of Mortimer's face. Einstein raises his glass before drinking.	DOCTOR EINSTEIN	 Prosit ! Teddy suddenly comes out of his room and plays his bugle very loudly. Both Jonathan and Einstein drop their glass on the floor. Teddy then goes back into his room and slams the door. The grand- father clock chimes once. Mortimer seems very disappointed. He moves back and forth in his chair, moaning.	JONATHAN	 That idiot ! He goes next. That's all. He goes next !	Arsenic and Old Lace 
O'HARA	 Oh, that's Mister Brewster's brother. My play put him to sleep.	BROPHY	 Oh ! That's the one that ran away. So he came back. (in the phone) Brophy. Get me Mac. (to O'Hara) Haven't you got yourself in a mess ! You're two hours overdue at the station. I better let them know that I found you. O'Hara bends on Jonathan and shakes him	O'HARA	 Hey ! It wasn't that bad, was it ?	BROPHY	 (in the phone) Mac ? Tell the Lieutenant he can call off the big manhunt. We found him... At the Brewster house... Shall we bring him in ?... All right, we'll hold him right here. He puts the phone down and turns to O'Hara, who has succeeded in waking up Jonathan and getting him on his feet. Jonathan stares at Brophy. He thinks Brophy is talking about him. Mortimer looks at his left hand, which has just been freed by Saunders.	Arsenic and Old Lace 
O'HARA	 Hey ! It wasn't that bad, was it ?	BROPHY	 (in the phone) Mac ? Tell the Lieutenant he can call off the big manhunt. We found him... At the Brewster house... Shall we bring him in ?... All right, we'll hold him right here. He puts the phone down and turns to O'Hara, who has succeeded in waking up Jonathan and getting him on his feet. Jonathan stares at Brophy. He thinks Brophy is talking about him. Mortimer looks at his left hand, which has just been freed by Saunders.	BROPHY	 The Lieutenant is on his way over.	JONATHAN	 So I've been turned in, hey ? All right, you've got me. I suppose you and my stool-pigeon brother will split the reward. Brophy and O'Hara each take one arm of Jonathan.	Arsenic and Old Lace 
JONATHAN	 Yes, reward ! Now I'll do some turning in ! Mortimer, who had his hand and legs untied by Saunders but is still gagged and has his chest still tied on the armchair, moans and moves excitedly on his seat.	O'HARA	 (to Jonathan) Oh, wait a minute, Mr. Brewster.	JONATHAN	 You think my aunts are sweet, charming old ladies, don't you ? Well, there's thirteen bodies buried in the cellar ! Yes, thirteen. Mortimer jumps on his chair and try to scream through his gag. Since he cannot succeed to get off the chair, he stands up, still gagged and tied to the back of the chair and rushes to Brophy, carrying the armchair with him.	BROPHY	 Be careful what you say about your aunts, they happen to be friends of ours.	Arsenic and Old Lace 
BROPHY	 (to Mortimer) Never mind, Mr. Brewster. Leave him to me, I'll take care of him.	JONATHAN	 (to O'Hara) You come down to the cellar.	O'HARA	 (to Jonathan) Now, wait a minute. Mortimer is still trying to talk through his gag to O'Hara and Brophy, and moves excitedly around the two cops. He moves so much that Saunders has stopped trying to untie him.	JONATHAN	 Thirteen bodies. I'll show you where they're buried.	Arsenic and Old Lace 
JONATHAN	 (to O'Hara) You come down to the cellar.	O'HARA	 (to Jonathan) Now, wait a minute. Mortimer is still trying to talk through his gag to O'Hara and Brophy, and moves excitedly around the two cops. He moves so much that Saunders has stopped trying to untie him.	JONATHAN	 Thirteen bodies. I'll show you where they're buried.	O'HARA	 Oh, yeah !	Arsenic and Old Lace 
O'HARA	 (to Jonathan) Don't ! (to Brophy) Sarge ! The three cops and Jonathan starts fighting. A fist comes out of the battle and hits Mortimer on the chin. He staggers back to the center of the room, and falls on the floor. We see Einstein cautiously appearing on the landing of the upper floor of the house. He slowly comes down the stairs. Down in the sitting-room, the fight goes on. Saunders falls on his back and Jonathan jumps on him. O'Hara, in his turn, jumps on Jonathan. Behind them, Mortimer is slowly getting up and getting rid of his ropes. Apparently, his fall has completely untied him. Einstein, watching this heated fight, moves back to the upper floor. Mortimer gets rid of his gag, and slowly moves away from the battle.	BROPHY	 (voice over) Look out, Pat !... Look out, Pat !	SAUNDERS	 (voice over) He's got a gun...	BROPHY	 (voice over) I got him, Pat. Look out !	Arsenic and Old Lace 
BROPHY	 (voice over) Look out, Pat !... Look out, Pat !	SAUNDERS	 (voice over) He's got a gun...	BROPHY	 (voice over) I got him, Pat. Look out !	MORTIMER	 Fight. Go on and fight. Mortimer climbs up a few steps on the staircase and sits down on a step.	Arsenic and Old Lace 
SAUNDERS	 (voice over) He's got a gun...	BROPHY	 (voice over) I got him, Pat. Look out !	MORTIMER	 Fight. Go on and fight. Mortimer climbs up a few steps on the staircase and sits down on a step.	MORTIMER	 That's enough, that's enough. Everybody off.	Arsenic and Old Lace 
MORTIMER	 That's enough, that's enough. Everybody off.	BROPHY	 (voice over) Pat ! Pat, look out! Mortimer, still seated on the step, quietly gets his cigarette case from his pocket, takes a cigarette, puts the case back in his pocket, while we hears the noise of the battle still going on down below.	MORTIMER	 Amazing... Such a fine day, too. All I did was cross the bridge and I was in Brooklyn. Amazing. Amazing, amazing. He takes a matchbox from another pocket and lights his cigarette. Behind Mortimer, on the wall, we see the shadows of the men fighting. Then we see various objects falling around Mortimer.	MORTIMER	 Don't... Don't bother me now. O'Hara is projected on the wall below the staircase, near the place where Mortimer is still quietly seated.	Arsenic and Old Lace 
BROPHY	 Get him, Pat. Saunders comes on the other side of Jonathan and hits him with his stick.	MORTIMER	 (in the phone) Come on, doc... (to the cops) That won't have any effect. I've tried it before... Jonathan falls heavily on the floor.	MORTIMER	 Oh, it did. Dear me ! Isn't that amazing ? O'Hara slowly lifts the lid of the window-seat. Saunders bends on the motionless body of Jonathan	MORTIMER	 Oh, dear. Wish I could relax like that. The doorbell rings, and we see the shadow of a hatted man through the frosted glass. Mortimer looks at the door.	Arsenic and Old Lace 
LIEUTENANT ROONEY	 What has occurred ?	BROPHY & SAUNDERS	 (speaking together) Well, we...	LIEUTENANT ROONEY	 Never mind ! Didn't I tell you I'd handle this myself ? O'Hara comes out of the window-seat to join his colleagues.	O'HARA	 Well, Lieutenant ! We were just acting in self-defense.	Arsenic and Old Lace 
O'HARA	 Well, Lieutenant ! We were just acting in self-defense.	LIEUTENANT ROONEY	 (pointing to the body of Jonathan) What happened ? He put up a fight ?	BROPHY	 This isn't the one who blows the bugle. This is his brother. He tried to kill O'Hara.	O'HARA	 All I said was he looked like Boris Karloff.	Arsenic and Old Lace 
LIEUTENANT ROONEY	 (voice over) Take this guy out in the kitchen and bring a pillow. I want to find out where his accomplice is.	TEDDY	 (to Mortimer) What is the meaning of this commotion ?	LIEUTENANT ROONEY	 The guy who helped him escape. He's wanted, too. Teddy gives his bugle to Mortimer.	TEDDY	 Here. He joins the group of policemen.	Arsenic and Old Lace 
TEDDY	 I'm President Roosevelt.	LIEUTENANT ROONEY	 (whispering to Brophy) What the blazes is this ?	BROPHY	 He's the guy that blows the bugle.	SAUNDERS	 Howdy, Colonel. Saunders and Brophy both salutes Teddy. Teddy salutes them back. Rooney raises his hand to salute, but rapidly puts it down with a disgusted expression on his face.	Arsenic and Old Lace 
