IRVING ROSENFELD	 Are you dressing him like you're dressing me now?	EDITH GREENSLY	 (shakes her head) No, what are you thinking? This isn't all about you, you know that.	RICHIE DIMASO	 What, did you try to dress me so I would look like him?	EDITH GREENSLY	 No, you're not dressed like him, all right?	American Hustle 
EDITH GREENSLY (CONT'D)	 I wanted to introduce you to Robert Spencer. We're advising the Sheik together. She looks at Richie. Richie offers his hand.	RICHIE DIMASO	 (catching up) Yeah, I'm Robert Spencer, advisor to the sheik.					American Hustle 
CARL ELWAY	 Hundreds of million -- I knew you were holdin' out on me Irving! Hundreds of millions of dollars? Like much bigger. Like I'm talking about we say never the fuck mind the CD's and we could have some complete access to something huge.	RICHIE DIMASO	 Huge? Like what? (introducing himself) Robert Spencer, advisor to the Sheik.	CARL ELWAY	 Carl Elway. Irv stares at Richie with contempt, then turns to Edith,	CARL ELWAY (CONT'D)	 I want you to think of the most undervalued asset in the state of New Jersey today. The rebuilding of Atlantic City. Richie looks over at Irving and Sydney and mouths the word	American Hustle 
CARMINE POLITO	 (giving speech) The W.P.A. employed craftsmen to paint this during the Depression. Why can't we employ people today to do work like this in rebuilding Atlantic City?	RICHIE DIMASO (V.O.)	 He worked with all the unions. He was the leader of the State Assembly. And he had just gotten gambling legalized in New Jersey to create jobs. 80   -- FLOOR OF STATE ASSEMBLY -- Carmine huddles with other       80 STATE LEGISLATORS, horsetrading and then poses for a picture with other members of the State Assembly.	RICHIE DIMASO (V.O.)	 But he couldn't get the funds to rebuild Atlantic City and that was his problem. So with our help, he was about to have his hand in the wrong pocket at the wrong time. And to me that meant corrupt			American Hustle 
IRVING ROSENFELD	 You gotta knock the Mayor, the Speaker of the State Assembly -- you gotta knock him off of his fucking feet. He's gotta feel like he's out of his league. What you're offering, this deal, I mean, this is unheard of in the state of New Jersey, maybe even the whole fucking country. A sheik with hundreds of millions of dollars to rebuild Atlantic City -- are you fuckin' kidding me? That's gigantic. And the Mayor, he's going to want to see cash, he's going to want to see it in an account, he's going to want to see it right now, and he will check. And that's why this meeting isn't happening, because to get millions, you need millions. Edith listens intently.	EDITH GREENSLY	 (shrugs) We already did it.	IRVING ROSENFELD	 (stunned) What? Irv studies Richie and Edith.	EDITH GREENSLY	 We got the bureau to park 2 million for three days -- we got the account numbers.	American Hustle 
EDITH GREENSLY	 (shrugs) We already did it.	IRVING ROSENFELD	 (stunned) What? Irv studies Richie and Edith.	EDITH GREENSLY	 We got the bureau to park 2 million for three days -- we got the account numbers.	IRVING ROSENFELD	 `We' meaning you and him?	American Hustle 
CARMINE POLITO	 Oh, they're to fucking die for, those clams. I haven't been there in a while. I like that place.	IRVING ROSENFELD	 Carmine -- can I call you Carmine? You know, Carmine -- (catches his breath) My fuckin' heart's going from running down the stairs -- I'm not used to running. There's a lotta green grass in that hotel room up there, alright? And all the deals would float through you. You get a serious piece on both ends. You do with that what you will. I live in the real world, I am a family man, I got mouths to feed and everything. But, you know, we just...we gotta grease you directly. No middlemen, no bullshit. It's the Arab way.	CARMINE POLITO	 Yeah, look, I understand. It's a great opportunity. It's just I got a little thrown by going to have a meeting with somebody who ended up not being there, so --			American Hustle 
EDITH GREENSLY	 I just find it rather shocking that's all.	IRVING ROSENFELD	 I get to handle two wives with one dinner, alright? I take Rosalyn out, she keeps her mouth shut, she sees that my work is legitimate, I get to keep my kid, and I get to keep (pointing at Richie) that fucking wife happy. Both wives happy.					American Hustle 
SMASH TO:	 98   Ext. BARON'S ITALIAN RESTAURANT- CAMDEN- NIGHT                  98	ELLA CARRIES OVER AS --	 SLOW MOTION: Carmine and DOLLY POLITO (big frosted hair) get out of his maroon Lincoln Town car. Irv and Rosalyn Rosenfeld get out of his green Cadillac. SOME LOCALS SHOUT TO THE MAYOR.					American Hustle 
IRVING ROSENFELD	 Also, always take a favor over money. I think Jesus said that as well.	CARMINE POLITO	 (laughing) I don't know if he said the second one but he may have said the first one.					American Hustle 
CARMINE POLITO	 (laughing) I don't know if he said the second one but he may have said the first one. CUT TO -- Rosalyn DRUNKENLY LEANS IN TALKING TO Dolly POLITO	ROSALYN ROSENFELD	 (shows her nails) I chip them moving furniture, it's my obsession -- Moving, re- decorating, it makes me feel better like exercise. There's this top coat that you can only get from Switzerland and I don't know what I'm going to do because I'm running out of it but I LOVE the smell of it.	DOLLY POLITO	 I can get that for you, of course.	ROSALYN ROSENFELD	 There's something, the topcoat, (sniffs nails) it's like perfumey but there's also something rotten? I know that sounds crazy, but I can't get enough of it. Dolly laughs.	American Hustle 
DOLLY POLITO	 I can get that for you, of course.	ROSALYN ROSENFELD	 There's something, the topcoat, (sniffs nails) it's like perfumey but there's also something rotten? I know that sounds crazy, but I can't get enough of it. Dolly laughs.	ROSALYN ROSENFELD (CONT'D)	 No, smell it. It's true. Dolly, historically the best perfumes in the world, they're all laced with something nasty and foul. It's true! She puts it under Irv's nose as he talks to Carmine, he sniffs, closes his eyes, nods without even looking.	ROSALYN ROSENFELD (CONT'D)	 Irving loves them. He can't get enough of them.	American Hustle 
ROSALYN ROSENFELD	 (hand out to Carmine) Carmine, sweet and sour. Rotten and delicious. She leans across the table and puts them under Carmine's nose.	CARMINE POLITO	 Smells like flowers.	ROSALYN ROSENFELD	 Flowers, but with garbage.			American Hustle 
IRVING ROSENFELD	 I can't stop.	ROSALYN ROSENFELD	 (confidentially to Dolly) He's gonna say we have to talk business in five, four, three, two, one --	IRVING ROSENFELD	 (to girls) Dolly, can me and the mayor talk business here?	ROSALYN ROSENFELD	 (falling off her seat)	American Hustle 
ROSALYN ROSENFELD	 (confidentially to Dolly) He's gonna say we have to talk business in five, four, three, two, one --	IRVING ROSENFELD	 (to girls) Dolly, can me and the mayor talk business here?	ROSALYN ROSENFELD	 (falling off her seat)	AHH-HA-HAHAAAAAAAAHHHHH!	 Carmine and Dolly rush to grab Rosalyn; JULIUS, Carmine's steadfast AIDE, BLACK, 40, BIG SIDEBURNS, LOOSENED TIE and white shirtsleeves, BIG SMILE, helps.	American Hustle 
IRVING ROSENFELD	 (to girls) Dolly, can me and the mayor talk business here?	ROSALYN ROSENFELD	 (falling off her seat)	AHH-HA-HAHAAAAAAAAHHHHH!	 Carmine and Dolly rush to grab Rosalyn; JULIUS, Carmine's steadfast AIDE, BLACK, 40, BIG SIDEBURNS, LOOSENED TIE and white shirtsleeves, BIG SMILE, helps.	ROSALYN ROSENFELD (CONT'D)	 No, don't do that it makes me look more drunk than I am! I'm not this drunk. Irving please don't make me go, I was just starting to have fun! She WOBBLES INTO ARMS OF his WIFE Dolly, she and Carmine help guide Rosalyn out.	American Hustle 
CARMINE POLITO	 This guy right here. He's got a big heart.	IRVING ROSENFELD	 (quietly) I'd just hate it if it didn't work out.	CARMINE POLITO	 What do you mean? Of course it's going to work out. Guys like you and me? We dream and we build. We never give up. We never quit.	SMASH TO:		American Hustle 
IRVING ROSENFELD	 Yeah we can do that. He can see Camden.	CARMINE POLITO	 (relieved) Hey, I got something I wanna give to you.	IRVING ROSENFELD	 For me?	CARMINE POLITO	 I got you a gift. Let's get out of here. The girls are going to kill us I'm sure.	American Hustle 
IRVING ROSENFELD	 And you specifically bought this science oven for me.	CARMINE POLITO	 (Carmine stares meaningfully at Irv) Yes. A new friend. Irv is touched. He sees it is a sincere gift from Carmine, because Carmine likes him; not cynical in any way.	IRVING ROSENFELD	 Thank you.	CARMINE POLITO	 Don't put metal in it. Come on, let's get out of here.	American Hustle 
DANNY	 (runs in) Another fire!	ROSALYN ROSENFELD	 (grabbing a fire extinguisher) No, Danny, not that one! That one's empty! We gotta use the big one!	IRVING ROSENFELD	 I told you not to put metal in the science oven. Why did you do that for?	ROSALYN ROSENFELD	 Don't make such a big deal. Just get another one.	American Hustle 
RICHIE DIMASO	 I gotta hire an F.B.I. guy.	IRVING ROSENFELD	 What are you-- (to Paco) You speak any Arabic?	PACO HERNANDEZ	 Yeah.   Abdullah Ahmed.			American Hustle 
PACO HERNANDEZ	 No, I have a couple phrases. Irving isn't sure, looks Paco up and down.	IRVING ROSENFELD	 (to Richie) From the feet up, you motherfucker. What are you doing? (to Paco) Act normal. That's it. Like you can barely understand English. You can't speak it. You say as little as possible. You follow my lead. Alright?	PACO HERNANDEZ	 (to Richie) Who's running this?    I thought you were running it.	RICHIE DIMASO	 I am running this but you've gotta listen to him. He's the guy with the vision.	American Hustle 
IRVING ROSENFELD	 (to Richie) From the feet up, you motherfucker. What are you doing? (to Paco) Act normal. That's it. Like you can barely understand English. You can't speak it. You say as little as possible. You follow my lead. Alright?	PACO HERNANDEZ	 (to Richie) Who's running this?    I thought you were running it.	RICHIE DIMASO	 I am running this but you've gotta listen to him. He's the guy with the vision.	IRVING ROSENFELD	 I've got the vision? You know what vision I had? You just kissing my girl outside. That's what vision I had.	American Hustle 
IRVING ROSENFELD	 I've got the vision? You know what vision I had? You just kissing my girl outside. That's what vision I had.	RICHIE DIMASO	 (stares at Irving) I thought you guys broke up. I'm giving you a compliment.	PACO HERNANDEZ	 What's going on?	RICHIE DIMASO	 Don't worry about it. Irving takes a expensive looking ceremonial knife out of his jacket pocket and holds it out to Paco.	American Hustle 
IRVING ROSENFELD	 Again? You compliment me again. What is this, rubbing salt in the wound? Irving stares incredulously.	RICHIE DIMASO	 I'm complimenting you. (to Paco) Any other questions?	PACO HERNANDEZ	 Yeah, I think the name of this operation is offensive.	RICHIE DIMASO	 What?	American Hustle 
ROSALYN ROSENFELD	 (half dressed) But what are you talking about, I can't go? I just did my hair and makeup and everything!	IRVING ROSENFELD	 The Sheik's very particular. It's international cultural protocol.	ROSALYN ROSENFELD	 International protocol? What the fuck are you talking about?			American Hustle 
IRVING ROSENFELD	 Do not answer that!	ROSALYN ROSENFELD	 (answers phone) Hello -- Robert Spencer? I don't know a Robert Spencer. What do you want?	IRVING ROSENFELD	 (takes phone) Give it to me.			American Hustle 
ROSALYN ROSENFELD	 (answers phone) Hello -- Robert Spencer? I don't know a Robert Spencer. What do you want?	IRVING ROSENFELD	 (takes phone) Give it to me.	ROSALYN ROSENFELD	 Who is that?			American Hustle 
ROSALYN ROSENFELD	 Who is that?	IRVING ROSENFELD	 (into the phone) Look, I told you, for God's sake, I told you not to call here.	ROSALYN ROSENFELD	 What is that about?	RICHIE DIMASO	 (on phone) Two more federal agents tonight,	American Hustle 
ROSALYN ROSENFELD	 What is that about?	RICHIE DIMASO	 (on phone) Two more federal agents tonight,	OK?	 Ros leaves the room.	IRVING ROSENFELD	 No way.	American Hustle 
ROSALYN ROSENFELD	 (hangs up) I'm not on it! But she was on it. She heard.	IRVING ROSENFELD	 Look, don't call here again, alright? Don't call at home.	RICHIE DIMASO	 Alright?			American Hustle 
ROSALYN ROSENFELD (CONT'D)	 Irving's being a mean, boring man saying that he doesn't want me to come tonight.	CARMINE POLITO	 (on phone)Tell him he's crazy!	ROSALYN ROSENFELD	 Well, I agree. Want to tell him yourself?	IRVING ROSENFELD	 Gimme the phone, come on.	American Hustle 
ROSALYN ROSENFELD	 Can you imagine? Tell him yourself. She hands the phone to a very exasperated, anxious, Irv.	IRVING ROSENFELD	 (into telephone) Hey, Carmie.	CARMINE POLITO	 Irving, you're crazy! Your wife is coming, you kidding me? She's the life of the party! Everybody loves her.	ROSALYN ROSENFELD	 I'm the life of the party!	American Hustle 
ROSALYN ROSENFELD	 I'm the life of the party!	IRVING ROSENFELD	 (confidential into phone) Look, you know what she's like. She's unpredictable. She's just always --	ROSALYN ROSENFELD	 Hey, don't talk about me like that! What's Carmine saying?	IRVING ROSENFELD	 I can't hear what he's saying.	American Hustle 
CARMINE POLITO	 (on phone) This is a really big night for us, you understand? Come on, you gotta bring your wife. And Dolly's got somethin' special for her. Dolly is getting dressed for the party in the background.	DOLLY POLITO	 Tell her I got the nail polish for her.	CARMINE POLITO	 See? Listen!			American Hustle 
CARMINE POLITO	 See? Listen!	DOLLY POLITO	 (raising her voice to phone) I got your nail polish for you, sweetie!	CARMINE POLITO	 You see? Somethin' special for you. What is it? Tell me. I mean, (lowers his voice, conspiratorial) What is it, you got a girlfriend coming? Come on, I thought we were friends. You're not gonna tell me you got a girlfriend? This is ridiculous.	IRVING ROSENFELD	 No, it's just Rosalyn's unpredictable.	American Hustle 
DOLLY POLITO	 (raising her voice to phone) I got your nail polish for you, sweetie!	CARMINE POLITO	 You see? Somethin' special for you. What is it? Tell me. I mean, (lowers his voice, conspiratorial) What is it, you got a girlfriend coming? Come on, I thought we were friends. You're not gonna tell me you got a girlfriend? This is ridiculous.	IRVING ROSENFELD	 No, it's just Rosalyn's unpredictable.	CARMINE POLITO	 Look, we're gonna handle this like men, you understand? You're bringing your wife. We're gonna have a good time. That's an order from the Mayor. Good-bye.	American Hustle 
CARMINE POLITO	 Look, we're gonna handle this like men, you understand? You're bringing your wife. We're gonna have a good time. That's an order from the Mayor. Good-bye.	IRVING ROSENFELD	 (to Rosalyn) Alright, you happy? Go get ready. Irv hangs up and exits the kitchen.	ROSALYN ROSENFELD	 Yes, I am happy.			American Hustle 
SMASH TO:	 120   EXT. GRAND OLD ATLANTIC CITY HOTEL - NIGHT                      120 Elton John continues as Carmine LIGHTS A CIGARETTE in a two- toned GRAY AND BLACK TUXEDO, at the center of a haphazard red carpet situation in front of a has-been beach resort -- large old movie premiere spotlights rotate onto the facade in an assorted CROWD OF LOCALS some dressed up - JULIUS, CARMINE, TITO, MELORA (Carmine's STEADFAST AIDES) son DOMINIC, daughter LUCILLE, wife Dolly, assorted COPS, FIREMEN IN FORMAL UNIFORMS WHITE GLOVES, UNION GUYS in suits, fringe the area. Carmine 's family is dressed up.	IRV'S CAR PULLS UP AND A FAT VALET IN RED OPENS DOOR. ROSALYN		GETS OUT IN HER WHITE DRESS --				American Hustle 
ARM --		ROSALYN ROSENFELD	 (to Edith, glaring) I know who you are. Irv tries to turn Rosalyn away, but she keeps turning back giving Edith the hairy eyeball, as Edith gives it right back.	ROSALYN ROSENFELD (CONT'D)	 I know who that is Irving. Off to the side, Richie steels himself with bump of cocaine before walking inside the old resort, his eyes dilate.			American Hustle 
IRVING ROSENFELD	 Carmine, maybe -- I'm not sure that's such a good idea. We gotta confer before we talk to these guys.	RICHIE DIMASO	 (interrupting, hopped up) Confer? What is there to confer about? They're casino guys.	CARMINE POLITO	 They are businessmen.	RICHIE DIMASO	 We came all this way, Irving. We should be here. What's everybody scared of? There's nothing to be scared of. Richie stares down Irv, Edith pulls Richie back -- Rosalyn is starting to go down a SPIRAL OF DEPRESSION as she looks increasingly uncomfortable.	American Hustle 
RICHIE DIMASO	 We came all this way, Irving. We should be here. What's everybody scared of? There's nothing to be scared of. Richie stares down Irv, Edith pulls Richie back -- Rosalyn is starting to go down a SPIRAL OF DEPRESSION as she looks increasingly uncomfortable.	ROSALYN ROSENFELD	 (re: the mob guys) Those are the guys you're all scared of? Those guys over there? They don't scare me. She glares at Edith and Irv and pivots to walk to the bar.	IRVING ROSENFELD	 Rosalyn! But she's already on her way over to the MAFIA MEN at the bar who GREET HER WARMLY as Irv, Edith, Richie, and Carmine watch.			American Hustle 
RICHIE DIMASO	 How do you do?	PETE MUSANE	 (to Richie) I'm sorry is she your wife?	IRVING ROSENFELD	 No, she's my wife. She's my wife.	CARMINE POLITO	 Look at these fine gentleman.	American Hustle 
IRVING ROSENFELD	 It's a sign of disrespect to do business on the first meeting.	RICHIE DIMASO	 That's not true. I don't know what your talking about. (to Musane) He's got it all wrong.	DICK HELSING	 Well, don't leave him back there in the back room waiting. Come on, let's go. Rosalyn reaches to have her glass refilled by Dick Helsing when one of the other guys NUDGES her hip in her tight dress and she drops into Pete Musane's lap.			American Hustle 
IRVING ROSENFELD	 That's trouble.	VICTOR TELLEGIO	 Who is this guy? (to Irving) What are you, a farmer? Richie and Tellegio both laugh.	CARMINE POLITO	 Mr. Tellegio, I'm sorry, this is Irving. New York businessman. Irving Rosenfeld.	VICTOR TELLEGIO	 Irving, Irving. What's the matter, Irving? What's the problem?	American Hustle 
VICTOR TALLEGIO	 Where's he from?	RICHIE DIMASO	 (winging it) Abu Dhabi.	VICTOR TELLEGIO	 Oh, he's from the Emirates.	RICHIE DIMASO	 Yeah.	American Hustle 
RICHIE DIMASO	 Yeah.	VICTOR TELLEGIO	 (in subtitled Arabic) (Can I count on you? You gotta be honest about this. Do you understand me? Good means good. No bullshit.)	VICTOR TELLEGIO (CONT'D)	 (to Sheik) (Did you hear what I said? Do you want me to repeat it?) Irving looks ill, as does everyone else at the table.	VICTOR TELLEGIO (CONT'D)	 (What do you think now? Tell me. Tell me.)	American Hustle 
CARMINE POLITO	 No, I know him.	AL KOWALSKI	 You guys are way too serious for a party!(to Tellegio) Hey, what are you drinking? You got a drink?	CARMINE	 (to Al) We're in a very serious meeting. (to Tellegio) I apologize.	AL KALOWSKI	 I understand, you're in conference. You gotta come with me now. You got a speech to give. Everyone's waiting for you.	American Hustle 
AL KOWALSKI	 You guys are way too serious for a party!(to Tellegio) Hey, what are you drinking? You got a drink?	CARMINE	 (to Al) We're in a very serious meeting. (to Tellegio) I apologize.	AL KALOWSKI	 I understand, you're in conference. You gotta come with me now. You got a speech to give. Everyone's waiting for you.	CARMINE POLITO	 Al, I'll be right behind you, okay? Trust me. Paco Hernandez/Sheik stands up and reaches over to Tellegio	American Hustle 
SHEIK ABDULLAH	 (In Arabic) It is great doing business with you. The investment is real. It was a pleasure to meet you. Irving exhales in relief that Paco managed to say anything passable in Arabic.	IRVING ROSENFELD (V.O.)	 What are the odds of an Italian guy from Miami knowing Arabic? But it turns out he's got casino investments in the Mideast and he spent two years learning it to keep the upper hand. Victor leans over to talk to Carmine.					American Hustle 
PETE MUSANE	 Hey!	ROSALYN ROSENFELD	 You're a whore. (to everyone) This is my husband's whore!	EDITH GREENSLY	 That's real nice.	DOLLY POLITO	 We're not going to do this in the Ocean Room tonight. Not tonight. Please.	American Hustle 
RICHIE DIMASO (CONT'D)	 (to Sydney) Last night was insane. I got it all figured out.	STODDARD THORSEN	 (on phone) Stoddard Thorsen.	RICHIE DIMASO	 (into phone) Listen, I need the Sherman Suite at the Plaza Hotel, okay?	STODDARD THORSEN	 (on phone) That's a whole floor of the hotel.	American Hustle 
STODDARD THORSEN	 (on phone) Stoddard Thorsen.	RICHIE DIMASO	 (into phone) Listen, I need the Sherman Suite at the Plaza Hotel, okay?	STODDARD THORSEN	 (on phone) That's a whole floor of the hotel.	RICHIE DIMASO	 I need a whole floor. I need it for my operation	American Hustle 
RICHIE DIMASO	 (into phone) Listen, I need the Sherman Suite at the Plaza Hotel, okay?	STODDARD THORSEN	 (on phone) That's a whole floor of the hotel.	RICHIE DIMASO	 I need a whole floor. I need it for my operation			American Hustle 
STODDARD THORSEN	 You're not getting ten million dollars.	RICHIE DIMASO	 (screaming) Just listen to me! You're not listening to me! I have two weeks! I have two weeks to put this thing together and I need you to get me the Sherman Suite at the Plaza Hotel. And your going to fucking do it!	STODDARD THORSEN	 Lower your voice. You don't get to yell at me. Richie SLAMS DOWN THE PHONE. Edith (HAIR IN CURLERS) STARES	RICHIE DIMASO	 Calm me down baby. You gotta calm me down. He handles her hips and neck and waist and ass.	American Hustle 
RICHIE DIMASO	 (screaming) Just listen to me! You're not listening to me! I have two weeks! I have two weeks to put this thing together and I need you to get me the Sherman Suite at the Plaza Hotel. And your going to fucking do it!	STODDARD THORSEN	 Lower your voice. You don't get to yell at me. Richie SLAMS DOWN THE PHONE. Edith (HAIR IN CURLERS) STARES	RICHIE DIMASO	 Calm me down baby. You gotta calm me down. He handles her hips and neck and waist and ass.	RICHIE DIMASO (CONT'D)	 Baby let's do this. Let's do this right now. --	American Hustle 
