DUCKS	 It's Peezee. Gotta be.    He hates your fuckin' guts.	CAESAR	 (brooding) I don't know.	DUCKS	 Who else knew about the money? And how did Peezee know they popped Tony Cisco when we didn't even hear about it 'til last night?	CAESAR	 (sighs heavily) I don't know.	Analyze That 
VITTI	 Tony?	BEN	 (with a look to Dr. Cutler) Oh, boy. (to Vitti) What's going on, Maria?	VITTI	 The rumble -- it's tonight! I have to get out of here. I don't want to die. No, Chino, no! Vitti's jaw suddenly goes slack and he slumps in his seat, staring forward.	BEN	 Paul?   Paul? Ben waves a hand in front of Vitti's face.       Nothing.	Analyze That 
DR. CUTLER	 This is how it's been. He sings for a while, then he goes completely catatonic.	BEN	 (skeptical) Really. Can we take him to an examining room?	DR. CUTLER				Analyze That 
BEN	 Okay -- He sticks the needle into Vitti's shoulder.	VITTI	 (bursts into song) 'Boy, boy, crazy boy, keep cool, boy! Got a rocket in your pocket, keep					Analyze That 
VITTI	 I see you.   I see him.   I see a table.	BEN	 Focus, Paul. You haven't seen the card yet. (hands him first card) What does this look like to you? Take your time. Vitti looks at the wrong side of the card.    It's all white.	VITTI	 It looks like snow.	BEN	 No, Paul, the other side. Vitti turns it over and makes a face.	Analyze That 
VITTI	 A bat.   A big bat. Or a weasel.	BEN	 (taking notes) Bat or weasel. All right.	VITTI	 And he's got a little girl -- no, it's a little boy -- in his teeth -- and he's shakin' him and shakin' him 'cause the kid didn't wipe himself good -- and the kid is screaming because the bat-weasel ripped out his throat and the blood is shootin' out of his neck vein. (pointing) That's the blood. Doctor Cutler looks worried.	BEN	 (skeptical) See anything else?	Analyze That 
BEN	 (taking notes) Bat or weasel. All right.	VITTI	 And he's got a little girl -- no, it's a little boy -- in his teeth -- and he's shakin' him and shakin' him 'cause the kid didn't wipe himself good -- and the kid is screaming because the bat-weasel ripped out his throat and the blood is shootin' out of his neck vein. (pointing) That's the blood. Doctor Cutler looks worried.	BEN	 (skeptical) See anything else?	VITTI	 Just the pussy with the teeth.	Analyze That 
VITTI	 And he's got a little girl -- no, it's a little boy -- in his teeth -- and he's shakin' him and shakin' him 'cause the kid didn't wipe himself good -- and the kid is screaming because the bat-weasel ripped out his throat and the blood is shootin' out of his neck vein. (pointing) That's the blood. Doctor Cutler looks worried.	BEN	 (skeptical) See anything else?	VITTI	 Just the pussy with the teeth.	BEN	 (making more notes) Pussy with teeth. Next card.	Analyze That 
VITTI	 Just the pussy with the teeth.	BEN	 (making more notes) Pussy with teeth. Next card.					Analyze That 
VITTI	 This is a picture of a guy -- nice, hardworking guy -- comes home and finds out his wife's been screwin' this midget while he was out of town.	BEN	 (appalled, makes a note) Screwing a midget. And how does the story end?	VITTI	 I think he works over the midget for a while, then he blows 'em away.	BEN	 The wife or the midget?	Analyze That 
BEN	 The wife or the midget?	VITTI	 (smirks)					Analyze That 
BEN	 A day, a week, up to a month -- if the precipitating stressors are removed.	CHAPIN	 (musing) Which means he's not going to get any better while he's still in the can.	BEN	 He could get worse. He could deteriorate to the point where he'd be permanently schizophrenic.	CHAPIN	 Then I'd say he's got a real problem, because he goes before the parole board in four weeks.	Analyze That 
CHAPIN	 Oh, yeah, I'm sure they'll want to release a major Mafia figure who's now totally deranged on top of it.	BEN	 (thinks) Well, couldn't you release him to    a halfway house or some place where    he could get some decent treatment? Based on my earlier work with him,    I don't think he's dangerous, and I think he was making a real effort    to reform himself.	CHAPIN	 You do, huh? (thinks for a long moment) Okay. Then I'll tell you what. I'm gonna release him into your custody.	BEN	 Mine? Me? No, this is a bad time for me. My father just died -- and I've got this bulging disc in my neck -- and we're redecorating, which is a total nightmare. I can't --	Analyze That 
BEN	 (thinks) Well, couldn't you release him to    a halfway house or some place where    he could get some decent treatment? Based on my earlier work with him,    I don't think he's dangerous, and I think he was making a real effort    to reform himself.	CHAPIN	 You do, huh? (thinks for a long moment) Okay. Then I'll tell you what. I'm gonna release him into your custody.	BEN	 Mine? Me? No, this is a bad time for me. My father just died -- and I've got this bulging disc in my neck -- and we're redecorating, which is a total nightmare. I can't --	CHAPIN	 You want to see him killed in prison?	Analyze That 
CHAPIN	 Then he's all yours. I'm going to talk to the Bureau of Prisons and get you certified as a temporary federal institution.	BEN	 (stricken) What?    I can't be an institution.	CHAPIN	 (firm) You've got thirty days to get him in shape for his parole hearing. That means sane, sober and gainfully employed. But let me warn you, Doctor. If he fucks up in any way -- if he flees, or if I find out that this whole thing was just a setup so he could get back on the street and return to a life of crime -- I will hold you totally responsible, and I'll see that you are stripped of your license and prosecuted to the full extent of the law. Are we clear?	BEN	 (gulp) Yes.    We're clear.	Analyze That 
BEN	 (stricken) What?    I can't be an institution.	CHAPIN	 (firm) You've got thirty days to get him in shape for his parole hearing. That means sane, sober and gainfully employed. But let me warn you, Doctor. If he fucks up in any way -- if he flees, or if I find out that this whole thing was just a setup so he could get back on the street and return to a life of crime -- I will hold you totally responsible, and I'll see that you are stripped of your license and prosecuted to the full extent of the law. Are we clear?	BEN	 (gulp) Yes.    We're clear.	CHAPIN	 You still want him?	Analyze That 
CHAPIN	 (firm) You've got thirty days to get him in shape for his parole hearing. That means sane, sober and gainfully employed. But let me warn you, Doctor. If he fucks up in any way -- if he flees, or if I find out that this whole thing was just a setup so he could get back on the street and return to a life of crime -- I will hold you totally responsible, and I'll see that you are stripped of your license and prosecuted to the full extent of the law. Are we clear?	BEN	 (gulp) Yes.    We're clear.	CHAPIN	 You still want him?	BEN	 (long beat to decide)	Analyze That 
CHAPIN	 You still want him?	BEN	 (long beat to decide)					Analyze That 
BEN	 Are you hearing yourself?	VITTI	 (perfunctorily) I'm deeply sorry for your loss.	BEN	 Yeah, I can see how touched you are.	VITTI	 What's the difference?   You hated him anyway.	Analyze That 
DAVIS	 He's gonna head straight for trouble. Then all we have to do is sit back and pick up the pieces. We could get twenty, maybe even thirty indictments next time the grand jury convenes.	CHAPIN	 (smiles) You know, Giuliani started this way.	DAVIS	 You running for mayor?	CHAPIN		Analyze That 
BEN	 His life was threatened and he didn't want to endanger his family.	LAURA	 How thoughtful! What about endangering our family? (worried) I think my teeth are loose.     Feel my teeth.	BEN	 Honey, your teeth are fine. I know it's an imposition, but what could I do? I didn't want him here. They -	LAURA	 You didn't want him, I didn't want him, but here he is! She looks up and jumps when she sees Vitti standing there.	Analyze That 
VITTI	 So what's the holdup?	LAURA	 (to Ben) Why don't you make your friend some coffee. I'm going upstairs to take a long bath and hopefully drown. Laura smiles at the two men, then exits.	BEN	 You'll have to forgive her.     She's usually a great hostess.	VITTI	 I understand. She's uncomfortable. The whole situation's a little awkward with me bein' here -- but let's face it, Emily fuckin' Post she's not.	Analyze That 
BEN	 They won't stay late, will they?	VITTI	 (stares at him) Are you really that pussy-whipped?	BEN	 I'm not -- this has nothing to do with Laura.	VITTI	 I heard her busting your balls.	Analyze That 
VITTI	 Good night, Whippy.	BEN	 (calls after him) Remember, this is only temporary.	VITTI	 Oh, really? I didn't hear you the tenth fuckin' time.			Analyze That 
LAURA	 Oh, give me a break.    She's got to be	BEN	 (suggestively) That's not entirely true.	LAURA	 Okay, sometimes you do sound like that. The O.S. MOANING kicks up another notch. Laura rolls over and jams her pillow over her ears. Ben growls, exasperated.			Analyze That 
VITTI	 What?	BEN	 (indignant) I have a 17-year-old son.	VITTI	 So let him get his own fuckin' girl.	BEN	 Can I talk to you, please?	Analyze That 
BEN	 I'm not trying to punish you. These aren't my rules, but I have a responsibility here. Besides, I thought you might like a nice home- cooked meal after being in prison that long.	VITTI	 Yeah, that's what I've been jerkin' off about for eight hundred consecutive nights -- a nice home- cooked meal. (making a jerking motion) Ohhhh, tuna casserole.	BEN	 That girl is not staying here.	VITTI	 I think you're jealous.	Analyze That 
VITTI	 Hey, if you're really quiet, you might be able to do it without even wakin' up your wife.	SHEILA (O.S.)	 (moaning) Ohhh.   Ohhh. Ben looks curiously at Vitti.	VITTI	 I told her if I wasn't back in two minutes to start without me. I gotta go. Vitti heads back upstairs.	BEN		Analyze That 
LAURA	 Aunt Ester, I'm so sorry we had to put you up at the hotel. We wanted you here with us, but we had an unexpected house guest. She glares at Ben.	AUNT ESTHER	 (sighs) Your father always had room for us.	BEN	 I'm sorry. (mutters to Laura) Next time I lose a parent, I'll be sure to reserve the guest room. A DOOR SLAMS somewhere, then Sheila storms into the room sobbing, her hair askew, tucking her blouse into her skirt.	SHEILA	 (screaming) Go to hell, Paul! You just go to hell!	Analyze That 
AUNT ESTHER	 (sighs) Your father always had room for us.	BEN	 I'm sorry. (mutters to Laura) Next time I lose a parent, I'll be sure to reserve the guest room. A DOOR SLAMS somewhere, then Sheila storms into the room sobbing, her hair askew, tucking her blouse into her skirt.	SHEILA	 (screaming) Go to hell, Paul! You just go to hell!	VITTI (O.S.)	 Go ahead! Get out of here, you crazy fuckin' whore. Vitti charges into the room, his robe open. From the reactions of everyone in the room, it's clear he's not wearing anything under it.	Analyze That 
BEN	 I'm sorry. (mutters to Laura) Next time I lose a parent, I'll be sure to reserve the guest room. A DOOR SLAMS somewhere, then Sheila storms into the room sobbing, her hair askew, tucking her blouse into her skirt.	SHEILA	 (screaming) Go to hell, Paul! You just go to hell!	VITTI (O.S.)	 Go ahead! Get out of here, you crazy fuckin' whore. Vitti charges into the room, his robe open. From the reactions of everyone in the room, it's clear he's not wearing anything under it.	VITTI	 Go back to turning tricks in Jersey for all I fuckin' care. Sheila exits and slams the front door.   Vitti sees everyone staring at him. He closes his robe.	Analyze That 
VITTI	 How's it goin'? (sees buffet) Oh, we got food. Good. Vitti heads for the buffet.	LAURA	 (smiling) Ben?	BEN	 (quickly) Paul?	VITTI	 Oh, great. Jew food. Who do you have to fuck to get some bacon around here? The woman reacts in horror.	Analyze That 
LAURA	 (smiling) Ben?	BEN	 (quickly) Paul?	VITTI	 Oh, great. Jew food. Who do you have to fuck to get some bacon around here? The woman reacts in horror.	VITTI	 Not you, I'm guessing.	Analyze That 
VITTI	 Not you, I'm guessing.	BEN	 (snags Vitti's arm) Why don't we go to my office?   I'll					Analyze That 
BEN	 Just answer the question.     What are you?	VITTI	 (shrugs) I'm the boss.	BEN	 Really? The boss of what -- Jelly? You're not the boss of me. So what are you the boss of?	VITTI	 You, you're good. I see what you're doing here.	Analyze That 
BEN	 Then tell me.    I'm not here to judge you.	VITTI	 (a beat) Okay. When I was really little -- like seven or eight -- maybe I wanted to be a cowboy.	BEN	 A cowboy.   Really?	VITTI	 Yeah. My father gave   me a cowboy suit -- you know, the  vest, the chaps, the cap guns --  the whole thing. And he used to   take me up to my uncle's farm in  New Jersey and lead me around on  this pony. Yippee-i-o. You happy   now?	Analyze That 
BEN	 Sheriff Dillon.	VITTI	 (corrects him) Marshal Dillon.	BEN	 Marshal.    So who were your favorite cowboys?	VITTI	 This is so fuckin' retarded.	Analyze That 
VITTI	 What?	BEN	 (prompting) Something that made you very sad?	VITTI	 The Dodgers moved from Brooklyn to L.A. Everybody took it pretty hard.	BEN	 Something else.	Analyze That 
BEN	 He didn't want you in the gang life. He only did it himself so you wouldn't have to. He was trying to buy you a better life than his.	VITTI	 (crying harder) He always said he wanted me to go to college. I didn't even finish high school. He really starts sobbing now.	BEN	 Well, Paul, this could be a  great opportunity for you. You're   right back where you were when you  were twelve. You've got some big   choices to make. Vitti fights to regain control.	VITTI	 Okay.   Okay.   That's enough of that shit.	Analyze That 
BEN	 It's not shit, Paul. My point is, when you're a child, you think anything is possible. Wouldn't it be great to think like that now?	VITTI	 (retreating back into his cynicism) Yeah, just sprinkle some fuckin' fairy dust on me.	BEN	 I'm just saying you've got to keep an open mind and explore some new possibilities. Try some different things -- maybe you'll connect with one of them. There's a career counselor I work with. I can call him for you. He may be able to help you find a job.	VITTI	 You mean working for somebody? I'm supposed to take orders from some guy who used to get me coffee? (starts sweating and	Analyze That 
BEN	 I'm just saying you've got to keep an open mind and explore some new possibilities. Try some different things -- maybe you'll connect with one of them. There's a career counselor I work with. I can call him for you. He may be able to help you find a job.	VITTI	 You mean working for somebody? I'm supposed to take orders from some guy who used to get me coffee? (starts sweating and	BEN	 How do you know unless you try? Suddenly one of the WINDOWS behind Vitti SHATTERS. Ben dives for cover. Silence -- then another RAP on the window. Ben looks out and sees JELLY in the back yard, tossing stones at the window.	JELLY	 (calls out) Hiya, Doc. Sorry about the window.	Analyze That 
BEN	 How do you know unless you try? Suddenly one of the WINDOWS behind Vitti SHATTERS. Ben dives for cover. Silence -- then another RAP on the window. Ben looks out and sees JELLY in the back yard, tossing stones at the window.	JELLY	 (calls out) Hiya, Doc. Sorry about the window.					Analyze That 
JELLY (CONT'D)	 She was always hockin' me a chinick about the madels. A wonderful woman, my mother, but she fuckin' hates the Hebes.	LAURA	 Really. (noting mountain of food on his plate) More smoked salmon? Don't be shy. Ben enters.	BEN	 Jelly -- what are you doing here?	JELLY	 Makin' new friends. How's it going, Doc? I brought some clothes for Mr. Vitti.	Analyze That 
JELLY	 Makin' new friends. How's it going, Doc? I brought some clothes for Mr. Vitti.	LAURA	 (indicating the door) Ben?	BEN	 That's great, Jelly. I'd love to catch up with you -- outside.	JELLY	 (rising) You got it. (to Laura) Thanks, Mrs. S. (to others) So long, everybody.    Ess gesunterhait.	Analyze That 
BEN	 That's great, Jelly. I'd love to catch up with you -- outside.	JELLY	 (rising) You got it. (to Laura) Thanks, Mrs. S. (to others) So long, everybody.    Ess gesunterhait.					Analyze That 
JELLY	 So. Long time no see.     You look good, Doc.	BEN	 (trying to be pleasant) And you, Jelly -- you look -- (can't find words for how he looks) Did you get a haircut? I thought you were in prison.	JELLY	 It would appear not.	BEN	 How'd you get out?	Analyze That 
JELLY	 Yeah, but it is short. Vitti, now dressed, comes out of the house and crosses to the car.	BEN	 (to Vitti) Where are you going?	VITTI	 I got stuff to do.	BEN	 What kind of stuff?	Analyze That 
BEN	 What kind of stuff?	VITTI	 (as he gets into the car) Calm down. I'll be back.	BEN	 You can't leave without my permission.	VITTI	 Oh, yeah?   Watch me.   Drive, Jelly.	Analyze That 
VITTI	 Stop sweating, Doc.     I'll be back. Vitti puts the window up.	BEN	 (shouts anxiously) If you screw this up, Paul -- Paul! The car pulls away.	BEN	 (angrily) Shit!   Shit, shit, shit! Ben turns and sees his Aunt Goldie on the porch.	AUNT GOLDIE		Analyze That 
VITTI	 Yeah, okay, I'll think about it.	MASIELLO	 (brightening) Hey, what is this -- a fuckin' funeral here? You just got back from college for Chrissakes. We should be havin' a party for you. (to bartender) Hey, Nino, give everybody a round here. We gotta drink to Paul.	VITTI	 I can't, Sal.    I gotta go talk to the boss.	MASIELLO	 I understand. No problem. It's good to have you back, Paul. (embraces him) Don't forget what I said. We're countin' on you.	Analyze That 
VITTI	 I can't, Sal.    I gotta go talk to the boss.	MASIELLO	 I understand. No problem. It's good to have you back, Paul. (embraces him) Don't forget what I said. We're countin' on you.					Analyze That 
VITTI	 Where is she?	PATTY (O.S.)	 (calls out)					Analyze That 
VITTI	 I'll bet -- especially with all the talk about you being the one who put him there.	PATTY	 That's why I try not to gossip, Paul. It's ugly. Just a sec. (screaming to ceiling) Michelle! Teresa! It's ten-thirty! Stop fucking around and get ready for ballet! (to Vitti) It's hard being a single parent and a career woman.	VITTI	 Yeah, I'm sure you're very busy.	PATTY	 The pressure -- it's awful. For instance, a lot of people think, now that you're out, you're going to try and take the family back from me. But I said, no, Paul would never do that. (smiling) By the way, how are Marie and the kids? Still in Ohio? In Shaker Heights? At 1356 Locust? Vitti explodes, reaches across the counter and grabs her by the shoulders.	Analyze That 
VITTI	 Yeah, I'm sure you're very busy.	PATTY	 The pressure -- it's awful. For instance, a lot of people think, now that you're out, you're going to try and take the family back from me. But I said, no, Paul would never do that. (smiling) By the way, how are Marie and the kids? Still in Ohio? In Shaker Heights? At 1356 Locust? Vitti explodes, reaches across the counter and grabs her by the shoulders.	VITTI	 (enraged) You even go near them, you crazy bitch	--		Analyze That 
PATTY	 The pressure -- it's awful. For instance, a lot of people think, now that you're out, you're going to try and take the family back from me. But I said, no, Paul would never do that. (smiling) By the way, how are Marie and the kids? Still in Ohio? In Shaker Heights? At 1356 Locust? Vitti explodes, reaches across the counter and grabs her by the shoulders.	VITTI	 (enraged) You even go near them, you crazy bitch	--		PATTY	 (quietly) Don't make me call my guys in. You may need the shit kicked out of you, but not in here. I just mopped. Vitti lets her go.	Analyze That 
--		PATTY	 (quietly) Don't make me call my guys in. You may need the shit kicked out of you, but not in here. I just mopped. Vitti lets her go.	PATTY	 (smoothing clothes, flushed and a little excited) Wow.   Have you been working out?	VITTI	 Yeah, I been workin' out who's trying	Analyze That 
VITTI	 So then you didn't have nothin' to do with it.	PATTY	 (hurt) Oh, Paul. You actually think I would kill you? All the years we've known each other -- the Christmas parties, the fun times at the beach. It wouldn't be right. I want us to be friends. (smiles demurely) Who knows? Maybe we'll be more than friends. Want to lick my beaters? She holds the beaters out to him.	VITTI	 (declining) Thanks. I gotta see a guy about a business thing.	PATTY	 What kind of business? You know, if you get something going, we would expect some kind of consideration -- a little taste.	Analyze That 
PATTY	 (hurt) Oh, Paul. You actually think I would kill you? All the years we've known each other -- the Christmas parties, the fun times at the beach. It wouldn't be right. I want us to be friends. (smiles demurely) Who knows? Maybe we'll be more than friends. Want to lick my beaters? She holds the beaters out to him.	VITTI	 (declining) Thanks. I gotta see a guy about a business thing.	PATTY	 What kind of business? You know, if you get something going, we would expect some kind of consideration -- a little taste.	VITTI	 No, this is a legitimate business.	Analyze That 
VITTI	 No, this is a legitimate business.	PATTY	 (shudders) Oh, Paul. I just got a chill.	VITTI	 I just want to be left alone.   Put my life back together -- straight  up this time. Put the word out, will   ya? Nobody's got nothin' to worry  about from me.	PATTY	 Sure, Paul.    I understand. He heads for the door.	Analyze That 
JOEY BOOTS	 You're working here?	VITTI	 (dying) Nah -- not really. It's like -- I'm on parole, so I just -- I come in, I greet people.	JOEY BOOTS	 Okay. I get it. Nice seein' you, Paul. Don't want to hold you up. You got people to seat. Joey and his guys walk away, they turn back and glance at Vitti, then whisper something in audible to each other and laugh.			Analyze That 
YOUNG MAN	 This stone is supposed to be a 'G' color, but it looks kind of yellow, doesn't it?	VITTI	 (distracted) Fluorescent light. Makes everything look yellow.					Analyze That 
VITTI	 (sweating) What am I -- Edison?    I'm telling you, it's a 'G.' He glances at the surveillance cameras.	YOUNG MAN						Analyze That 
VITTI	 (completely distracted) What?	FIANCEE						Analyze That 
VITTI	 (distraught) I can't deal with this shit. My grades suck, I'm gettin' in fights every day, and if I get suspended again my mother's gonna fuckin' kill me -- if the nuns don't kill me first.	BEN	 (nodding) Eins, zwei, drei!	VITTI	 What? VITTI'S MOTHER is sitting next to him.	VITTI'S MOTHER	 (elbows him) Sit up straight! Pay attention when the doctor talks to you. This is costing money. Ben (Freud) has a large TAXI METER TICKING away beside him.	Analyze That 
VITTI	 What? VITTI'S MOTHER is sitting next to him.	VITTI'S MOTHER	 (elbows him) Sit up straight! Pay attention when the doctor talks to you. This is costing money. Ben (Freud) has a large TAXI METER TICKING away beside him.	VITTI	 Ma?   What are you doin' here?	BEN (FREUD)	 (snorts some cocaine) Acht gemacht gehunden nicht.	Analyze That 
VITTI	 Ma?   What are you doin' here?	BEN (FREUD)	 (snorts some cocaine) Acht gemacht gehunden nicht.	VITTI'S MOTHER	 I tell him the same thing. Suddenly, the WINDOWS are SHATTERED by GUNFIRE.			Analyze That 
VITTI	 Coulda had that sandwich made by now.	LAURA	 (tries new tack) Okay. You don't like me and I don't like you. We can at least agree on that, right?	VITTI	 Okay.	LAURA	 I'm going to be honest with you -- I'm a very anxious person --	Analyze That 
VITTI	 Hey!    Me, too.	LAURA	 We have so much in common. Anyway, this is not helping me, it's not helping my marriage, and I know Ben really needs some alone time. So I'm asking you -- as a human being -- could you please leave? (off Vitti's look) Yes, I'll make you a sandwich.	VITTI	 Ham, cheese, lettuce, tomato, mayonnaise, no onion.			Analyze That 
BEN	 (concerned) Where are you going?	VITTI	 Where am I going? The orphanage found my real parents. They want me back. (to Jelly) Put those in the car. (to Ben) I'm goin' to Jelly's. Jelly carries the luggage to his car parked in the driveway.	BEN	 (to Vitti) The hell you are. You're supposed to be in my custody. We have therapy today.	VITTI	 For what? The more we talk the worse I get. I had that dream again.	Analyze That 
VITTI	 Where am I going? The orphanage found my real parents. They want me back. (to Jelly) Put those in the car. (to Ben) I'm goin' to Jelly's. Jelly carries the luggage to his car parked in the driveway.	BEN	 (to Vitti) The hell you are. You're supposed to be in my custody. We have therapy today.	VITTI	 For what? The more we talk the worse I get. I had that dream again.	BEN	 The one where you're Mussolini?	Analyze That 
BEN	 The limp sword dream?	JELLY	 (at car) I probably shouldn't be listening to this.	VITTI	 So don't!	JELLY	 Sorry.	Analyze That 
JELLY	 Sorry.	BEN	 (to Vitti) Do you think this dream might be sexual?	VITTI	 I know what you're thinkin'. The sword is my cock and I can't get it up, but that ain't it. I saw Sheila last night and I had a hard-on you could swing from.	BEN	 (winces) I don't want to know that.	Analyze That 
VITTI	 I know what you're thinkin'. The sword is my cock and I can't get it up, but that ain't it. I saw Sheila last night and I had a hard-on you could swing from.	BEN	 (winces) I don't want to know that.	VITTI	 You coulda hung wet towels on it.	JELLY	 (calls out) He's like a racehorse in that area.	Analyze That 
VITTI	 You coulda hung wet towels on it.	JELLY	 (calls out) He's like a racehorse in that area.	BEN	 Okay!   I get it.	VITTI	 (to  Jelly) Wait in the  car! (to  Ben) So what does  it mean? Ben sits on the wicker divan.	Analyze That 
