MARIA	 Is that what's happening now?	ROBERT	 When I was a kid my favorite teacher was Mr. James. Mr. James said that world events always revolve around five things: (extending his fingers one-	BY-ONE)				Arbitrage 
JULIE	 (standing in frustration) Okay... She crosses to the open kitchen and pours out more wine, lights a cigarette. Robert trails.	ROBERT	 Alright, I'm sorry. I'm sorry I'm late. I'm always late-- you know that-- and I'm sorry. And I'm always saying I'm sorry about being late. (crosses to her) It doesn't mean I wouldn't rather be here with you. They stare at each other as she drags off the cigarette, then stubs it out. He gestures to the dining table.	ROBERT (CONT'D)	 The show's gonna be beautiful.	JULIE		Arbitrage 
(FINALLY--)	 You gonna be there?	ROBERT	 (slight beat, then	DEFINITIVE)	 I will be there. She stares, still in the moment. Then she heads to the fridge and slides out a homemade BIRTHDAY CAKE. He stares at it.	ROBERT (CONT'D)		Arbitrage 
JEFFREY		(LOUDER)	 ...what's not working is my four hundred twelve million dollars that's sitting in your account so you can pass your audit, the four hundred twelve million that you needed, you said, for two weeks, and which has been languishing now for (looks down at paper) thirty-two days, while it could be elsewhere invested, earning an actual return, instead of couching the absurd lie that you're spinning.	ROBERT	 What do you want me to say?	JEFFREY	 That you're gonna get a signature from Mayfield, and that my hostage money and my fee are going to be sent to me promptly, say... by tomorrow? A beat.	Arbitrage 
JEFFREY	 ...remember when you asked me if it was a good idea to divert half your liquid assets into a fucking copper mine? What did I tell you?	ROBERT	 (stands, heading to door	WITH COAT)	 Are we done here? I think we're done here. Jeffrey stares at him contemplatively for a moment, then appears to reach some sort of conclusion.	JEFFREY		Arbitrage 
JEFFREY	 That's really not my problem, is it?	ROBERT	 (stares, fumes) Not your fuckin problem...					Arbitrage 
GAVIN (O.S.)	 Seven-thirty tonight at the Four Seasons. We'll get it straight with Mayfield then.	ROBERT	 (calming a little) Good. Very good.					Arbitrage 
ELLEN	 I thought that's why you flew down there. Goldenrod - 4.17.11 15.	ROBERT	 (rubbing his eyes) So did I, but for some reason they're stalling. I didn't get any sleep on the plane and...	ELLEN	 Now come on. It will all work out. Just follow the plan.	ROBERT	 What plan is that?	Arbitrage 
ELLEN	 It's only two million.	ROBERT	 (walks up to her, laughs) Only two million?	ELLEN		(SMILES)	 Yeah!	Arbitrage 
ELLEN	 I do remember. But I do not remember you being so sentimental unless you were trying to change the subject. A KNOCK at the door.	ROBERT	 (as he heads out, smiling) I don't know what you're talking about... Ellen slaps his behind. Goldenrod - 4.17.11 17.					Arbitrage 
ROBERT	 (sotto, to Gavin) Where the hell is Mayfield? Gavin shakes his head. They approach the table.	BARNES	 (as they sit) Mr. Miller, thank you for coming. We were just getting acquainted with Brooke and Peter here.	ROBERT		(SMILING)	 I hope they didn't beat you up too much.	Arbitrage 
ROBERT	 Hey, Julie.	JULIE	 Oh... (to the group) This is Robert Miller, one of our collectors. This Katrina Stanton, and Alex Stanton and their daughter Ava, who is a talented young artist. Robert shakes hands with the group, exchanging pleasantries, especially kind to young AVA (15).	ROBERT	 Oh, really? Painter?	AVA	 Drawings. Julie begins to walk off, disappearing into the crowd.	Arbitrage 
ROBERT		(LOOKING AROUND)	 Yeah, that's great. (as he notices Julie leave, to the group) Goldenrod - 4.17.11 22.	ROBERT (CONT'D)	 I like the size of the paintings, I wanna talk to you about them in a second. Robert trails Julie, moving up to her quickly. He reaches out to touch her and she spins towards him violent, definitive.	ROBERT (CONT'D)	 What? Why are you doing this?	Arbitrage 
(POINTING)	 those two. And the Rubik's cube on the back wall.	ASSISTANT	 (pointing to list) Right there, number seven.	ROBERT	 Don't tell her it was me. (off her nod) I mean it.	ASSISTANT	 You got it. Robert walks out and hails his driver.	Arbitrage 
ASSISTANT	 (pointing to list) Right there, number seven.	ROBERT	 Don't tell her it was me. (off her nod) I mean it.	ASSISTANT	 You got it. Robert walks out and hails his driver.			Arbitrage 
ROBERT	 I thought we should talk...	JULIE	 (laughs, then in a rage) One damn night in a month I told you was important to me, et tu es meme pas capable d'etre la...	ROBERT	 ...I was working, do you understand? I'm under enormous pressure, I have obligations...	JULIE	 ...I don't want to hear about your obligations. If you cared -- YOU	Arbitrage 
ROBERT	 I want you to listen to me very closely... EXT. CAR WRECKAGE SITE POLICE CARS flash lights. An EMT unloads Julie's charred CORPSE into a BODY BAG. INVESTIGATORS sift through rubble. DET. MICHAEL BRYER (43) sits in a TAN SEDAN, drinking a cup of deli coffee. Barely awake, he stares out the window at a bunch of STATE TROOPERS arguing with his partner, MILLS. MILLS breaks away from the uniforms and approaches, shaking his head. Bryer gets out of the car.	BRYER	 You gotta be fucking kidding me.	MILLS	 Catching detective wants us to rule before he calls it.			Arbitrage 
JIMMY	 You wanna talk to me like that you can get the fuck outta my car and you can walk! You want that?! You wanna fuckin' walk home?!	ROBERT	 (after a beat) Listen... I'm sorry. I'm not myself. I need your help. Jimmy waits a moment, then re-enters the road. Robert winces in pain.	JIMMY	 You alright? Robert is holding his side. He pulls up his shirt. Jimmy sees the awful purple bruise from the steering column.	JIMMY (CONT'D)	 Jesus, man! We gotta get you to a hospital.	Arbitrage 
JIMMY	 (through the window) Call me, alright, and let me know it's okay.	ROBERT	 (as he exits) Better we don't talk for a while.	JIMMY	 (can't believe it-- through the window) So what you get in a bind and just call up the only nigger you know? Goldenrod - 4.17.11 33. Robert looks at Jimmy, eyes tearing.	ROBERT	 I'm sorry, Jimmy. I really am. Just go home.	Arbitrage 
ROBERT	 (as he exits) Better we don't talk for a while.	JIMMY	 (can't believe it-- through the window) So what you get in a bind and just call up the only nigger you know? Goldenrod - 4.17.11 33. Robert looks at Jimmy, eyes tearing.	ROBERT	 I'm sorry, Jimmy. I really am. Just go home.	JIMMY	 Yeah, alright, man. Take care of that. Jimmy's car drives off. Robert hobbles up the block.	Arbitrage 
ELLEN	 Was it good?	ROBERT	 (pained, shifting his body) Yes...	ELLEN	 Good. Don't forget to take your Lipitor in the morning...	ROBERT	 Ellen...	Arbitrage 
ELLEN	 Of course I do... She rolls over. Hold on Robert's face. EXT. PARK BENCH - DAY SYD FELDER (64) sits next to Robert.	SYD	 Hypothetically, the situation you're describing would be involuntary manslaughter.	ROBERT	 And such a person...			Arbitrage 
SYD	 I did.	ROBERT	 (laughs in pain) What choice do I really have?					Arbitrage 
CINDY (O.S.)	 There's a detective Bryer here to see you?	ROBERT	 (stiffens, then into phone) Give me two minutes, then send him in...	BROOKE	 Everything alright?	ROBERT	 Yes, my other meeting just got here early. We'll have to pick this up later.	Arbitrage 
(POINTS)	 those Bryce Marden's there. They went up in value very quickly, and on the basis of that I agreed to fund some of the gallery.	BRYER	 (after a beat) Would you mind if we searched her apartment?	ROBERT	 Why would I mind?	BRYER	 It's in your company's name.	Arbitrage 
ROBERT	 It's very simple, detective. I invest in people I believe in. I thought she'd do well, so I backed her, she did. It's is simple as that. Goldenrod - 4.17.11 45.	BRYER	 (nods, stands as Robert	STANDS)	 Well that seems to make sense.	(BEAT)	 So we're all good with the apartment, then?	Arbitrage 
BRYER	 That's a nasty cut; I've been looking at that for the last five minutes. Does it hurt you?	ROBERT	 (touching the cut) Oh, no, I just hit it on the medicine cabinet.	BRYER	 Last night?	ROBERT	 This morning.	Arbitrage 
ROBERT	 No problem. Bryer heads out. We hold on Robert as he closes the door and winces in pain. Goldenrod - 4.17.11 46. INT. ELLEN'S OFFICE - OUTER SUITE - DAY A serene khaki suite with high-post windows and white upholstered furniture. On the walls are gala posters from various charity events. MAE (30s) sits at a reception desk typing. The phone RINGS.	MAE		(INTO PHONE)	 Ellen Miller's office...			Arbitrage 
(INTO PHONE)	 Ellen Miller's office... INT. ELLEN'S OFFICE - CONTINUOUS Ellen's standing, cradling the phone and packing her handbag. Across her desk, SUSAN (30s) reviews the guest list for the hospital event.	ELLEN		(INTO PHONE)	 And it, it transformed them, seriously.			Arbitrage 
ELLEN		(INTO PHONE)	 And thanks again for your generosity. Alright, we'll see you then. Thank you, bye. (hanging up, to Mae) I'm sorry, what?	MAE	 Detective Bryer.	ELLEN	 What does he want?	Arbitrage 
MAE	 I don't know. Ellen smooths her suit and puts her bag over her shoulder.	ELLEN	 (heading to the door) Well, I'm late so-- I just can't deal with it right now.	MAE	 Okay, what about these? Goldenrod - 4.17.11 47.	ELLEN	 Send them a thank you note, Zappos has been so generous-- Thanks, bye guys.	Arbitrage 
(STARTLED)	 Yes?	BRYER	 (shows his badge) Detective Bryer.	ELLEN	 Did you just call my office?	BRYER	 Yeah, I was hoping to talk to you.	Arbitrage 
ELLEN	 Well, I don't have time right now, sorry..	BRYER	 (turning on the charm) Just take a couple a seconds. It's about your husband.	ELLEN	 Well, fine, but, make an appointment. She closes the door and rides away. Bryer smiles in frustration, walks back to his car.			Arbitrage 
MILLS	 Cellphone in Harlem. Still waiting on the address.	BRYER	 (thinks, gets up and	PACES)	 So, you're at the crash site. Alright, and... you make it outta the car. Now... You're smart enough not to use your own cellphone. So you get to the pay phone... Goldenrod - 4.17.11 49.	BRYER (CONT'D)	 and you're a billionaire, right? You're a billionaire-- so whaddya do...? (Mills shrugs for the	Arbitrage 
PACES)	 So, you're at the crash site. Alright, and... you make it outta the car. Now... You're smart enough not to use your own cellphone. So you get to the pay phone... Goldenrod - 4.17.11 49.	BRYER (CONT'D)	 and you're a billionaire, right? You're a billionaire-- so whaddya do...? (Mills shrugs for the	PUNCHLINE)	 You call someone in Harlem?			Arbitrage 
GAVIN	 (out of breath) Robert, I just heard about Julie... I'm so sorry. Her Gallery called. Her mom's flying in today.	ROBERT	 (managing a nod) Her Mom...? Service here?	GAVIN	 Tomorrow at nine am.	ROBERT	 Well we should pick up the expenses for that. Whatever she wants. You'll take care of that personally, for me?	Arbitrage 
JIMMY	 What's this about?	BRYER	 (through the window) Just get in the car, Jimmy.	JIMMY	 Am I under arrest?	BRYER	 (through the window) You wanna be?	Arbitrage 
JIMMY	 Am I under arrest?	BRYER	 (through the window) You wanna be?					Arbitrage 
SYD	 Hard to say. With his prior... Five years, maybe ten. Robert's silent. INT. BOND RELEASE AREA - DAY Jimmy stands at the counter as EARL MONROE (50s, Black) signs papers. Bryer waits.	BRYER		(TO JIMMY)	 This is not going to go away. Jimmy ignores him and exits with Earl.			Arbitrage 
JIMMY	 And what exactly would you like me to do about it?	SYD	 (BUZZING the driver) Gentlemen, my driver will take you where you wanna go, but I cannot be a party to this conversation, so this is where I get out...					Arbitrage 
JIMMY	 Yeah.	ROBERT	 Yeah, I know I messed up, alright? I'm sorry. But I do want to help you, you know that. (handing Jimmy the folder) So I've been able to set up a situation for you.	JIMMY	 What's that?	ROBERT	 It's a trust. In your name, assets of $2 Million dollars. Take a look at that.	Arbitrage 
ROBERT	 What else is there? Jimmy laughs, then rises and knocks on the limo's partition.	JIMMY	 (to the driver) Yo, yo man, pull over.	ROBERT	 (stares at him) What are you gonna do? Goldenrod - 4.17.11 56.	JIMMY	 I look like a fucking snitch to you?	Arbitrage 
JIMMY	 (to the driver) Yo, yo man, pull over.	ROBERT	 (stares at him) What are you gonna do? Goldenrod - 4.17.11 56.	JIMMY	 I look like a fucking snitch to you?	ROBERT	 I don't know, Jimmy. I don't know. Are you? Jimmy laughs in disgust, begins to open the door.	Arbitrage 
CINDY (O.S.)	 I've got Chris Vogler from Fremaut accounting, you asked me to interrupt you.	ROBERT	 Yeah, put him through... (he hears Chris come on) Chris...	CHRIS (O.S.)	 Robert, I've run into some problems. We're doing a "non-recommend."	ROBERT		Arbitrage 
BROOKE (CONT'D)		(INTO PHONE)	 Thirty-five million. For your entire group, right?... It wasn't sixty-eight?... Of course it's a big number... No, I'm not... Oh, Peter I'll talk to you later . Brooke taps the keyboard and a PRINTER spits out pages. Suddenly, BEN (40s), an accountant we saw earlier, appears.	BEN	 What are you doing in my office? Brooke bolts up, startled. She collects the papers she printed.	BEN (CONT'D)	 Hello?	Arbitrage 
BEN (CONT'D)	 Hello?	BROOKE	 (holding up pages) Can you explain these?	BEN	 Explain what?	BROOKE	 Old Hill. All the numbers you've falsified.	Arbitrage 
THE AUDIT PASSED!		ROBERT	 (slackening his grip) The audit passed? What do you mean the audit passed?	CHRIS	 It passed! It passed a week ago! Like I said. Everything's fine! We confirmed the money, it's all straight and done.	ROBERT		Arbitrage 
CHRIS	 Because they asked me to hold it.	ROBERT	 They? Who's they? (thrashes him again) Who is they?!	CHRIS	 Mayfield.	ROBERT		Arbitrage 
ROBERT		(INTO PHONE)	 Sherry Netherland...? Yes, James Mayfield, please... (as he enters his car) Mr. Mayfield... I think it's time we had a talk.					Arbitrage 
(INTO PHONE)	 Sherry Netherland...? Yes, James Mayfield, please... (as he enters his car) Mr. Mayfield... I think it's time we had a talk. INT. COURTHOUSE HALL - AFTERNOON Bryer walks with DEFERLITO (48), who rifles through a FOLDER.	DEFERLITO	 ...cause it's not gonna hold.	BRYER	 The warrant doesn't need to hold. It just needs to scare him into giving up Miller. Goldenrod - 4.17.11 62.			Arbitrage 
ROBERT	 You wanna sit?	BROOKE	 I'll stand. (as he sits) Didn't you think I'd find out?	ROBERT	 I did.	BROOKE	 Then why didn't you tell me? Goldenrod - 4.17.11 64.	Arbitrage 
BROOKE	 How. How does that happen?	ROBERT	 You remember Alexanderov? Well he came to see me one day last year. He said "Robert, we've got a great opportunity- there's a copper mine, it's in Russia, it's under- exploited- there's billions under the ground, and to get it out, all we need is a couple hundred million, you put in a hundred, we'll put in a hundred- we'll triple it all in six months." So, I go check it out. And the geological survey's right, friendly government. And to lock it in, you hedge it, right? Sell the copper ahead on the commodities exchange and it all works, it's fine, and you're making a fortune. (beat, then real fast) Goldenrod - 4.17.11 65.	ROBERT (CONT'D)	 But then there's something I hadn't accounted for-- variation margin-- and that friendly Russian government all of a sudden not so friendly anymore and they're blocking the export of the copper so I gotta make it up, I gotta put the cash in to cover the hedge. But I'm not worried about it because it's still springing money, there's so much money coming out of the ground you can't believe. You can't stop it. And, yes, I'm the oracle, I've done housing, I've arb'd credit swaps, I have done it all, and yes, again, I know it's outside the charter, but it is FUCKING			Arbitrage 
BROOKE	 No, it's illegal. It's illegal. And I am your partner.	ROBERT	 You are not my partner! You work for me! (off her bewildered stare) That's right. You work for me!	(SITS)	 Everybody works for me! They pass a moment in silence. He looks at her destroyed expression. Goldenrod - 4.17.11 67.	ROBERT (CONT'D)	 Brooke. Brooke. Come here. Please? Please. Just, just come here. Just for a second and sit down. She sits.	Arbitrage 
ROBERT (CONT'D)		(DEEP SIGH)	 There's something I wanna tell you. And whatever you decide I won't blame you... (she turns to look at him) I'm on my own path. It's up to you to move with it or against it. But I'm the patriarch; that's my role. And I have to play it.	BROOKE	 (stares a while, then) For a moment I thought you were gonna say you were sorry. She walks off. Hold on Robert alone in the park.	ROBERT		Arbitrage 
(DEEP SIGH)	 There's something I wanna tell you. And whatever you decide I won't blame you... (she turns to look at him) I'm on my own path. It's up to you to move with it or against it. But I'm the patriarch; that's my role. And I have to play it.	BROOKE	 (stares a while, then) For a moment I thought you were gonna say you were sorry. She walks off. Hold on Robert alone in the park.	ROBERT		(SOTTO)	 I'm sorry.	Arbitrage 
JIMMY	 Somebody cares?	BRYER	 Take a look at this. (hands him a case folder) I've got his phone calls, I got his text messages. I've got the relationship with the girl. And they were fucking, by the way.	(BEAT)	 And then I've got you. I've got the time log from the pay phone. I've a got a fucking tollbooth photograph of you driving your car through the Triborough. Jimmy thumbs through the FOLDER. There's no tollbooth PHOTO.	JIMMY	 Where you got that...? That's bullshit, cause I didn't do it. That's impossible.	Arbitrage 
JIMMY	 Talk to Earl, Detective.	BRYER	 Fuck Earl! You see this? (holds up the grand jury	DOCKET)	 This means that tomorrow, grand jury hears your case in court. And tomorrow in court I'm gonna ask for a felony obstruction indictment, and with with your prior, you are going to prison for fifteen fucking years... You might get out in ten. You'll be what then? Thirty-three, with no job, no girl, no life. Bryer pulls the car over.	BRYER (CONT'D)	 Look: I know you think Miller's your friend.	Arbitrage 
BRYER	 I know about your father.	JIMMY	 (beat, then hard) You don't know a Goddamn thing about my father.	BRYER	 I know Miller paid his bills while he was dying. I know he got Syd Felder to get you out of trouble on your gun charge. That doesn't add up to this.	JIMMY	 You done?	Arbitrage 
BRYER (CONT'D)	 `Cause you're disposable- you're the one person he could call that just doesn't fuckin' matter. You're a- you're a throwaway. You're just another part of his transaction.	JIMMY	 (tries to open the locked door) Will you open the door?	BRYER	 So what, what? You're his new nigger now? Jimmy grabs at the door violently. It's locked.	JIMMY	 Open-- OPEN THE FUCKING DOOR!	Arbitrage 
BRYER	 You didn't kill that girl. He did.	JIMMY	 (containing his rage) Will you -- open -- the door?	BRYER	 He's using you. I know it - you know it. Do the right thing. Now get outta my fuckin' car. Bryer unlocks the door. Jimmy exits and walks up the block.			Arbitrage 
ROBERT	 You're certain?	SYD	 Courts aren't for certainty, but he says he was at home, why shouldn't he be? A phone call doesn't make him a liar. (off Robert's nod) But what's baffling to me, though, despite your sentimental history together, is why you would put your family's future in this kid's hands. Goldenrod - 4.17.11 71.	ROBERT		(BEAT)	 He's not like us.	Arbitrage 
SYD	 Is that a good thing?	ROBERT	 (laughs, plays with his	SCOTCH GLASS)	 I don't know. Robert stands and collects PAPERS into his BRIEFCASE.	SYD	 How's Ellen?	Arbitrage 
SYD	 How's Ellen?	ROBERT	 She's good. Fine. (stops packing, looks up) Why?	SYD	 I heard something...	ROBERT	 Yes...?	Arbitrage 
JIMMY	 This is crazy.	EARL	 (whispers in Jimmy's ear) You're gonna have to answer that.	DEFERLITO	 Mr. Grant, please answer the question. Goldenrod - 4.17.11 73.	JIMMY	 April 11th, two thirty-three am.	Arbitrage 
JIMMY	 D D G five five four two.	DEFERLITO	 (handing in another sheet) This is People's B, a printout from the Department of Motor Vehicles plate registry... Mr. Grant, directing your attention to that printout, are those numbers on the toll photograph the same ones that are on your own license plate? Jimmy's still staring at the picture. Earl watches, concerned.	DEFERLITO (CONT'D)	 Mr. Grant?	JIMMY	 Yes.	Arbitrage 
JIMMY	 No.	DEFERLITO	 No, that is not your car? (off his silence) Answer the question, Mr. Grant. Goldenrod - 4.17.11 74.	JIMMY	 This is not my car in this picture. I don't know how you all did that, but this is not my car.	DEFERLITO	 You expect this grand jury to believe that that is not your car when there is a printout from the department of motor vehicles...	Arbitrage 
BRYER (CONT'D)	 Last chance. Jimmy's silent. Bryer shakes his head and walks off.	EARL	 (rising, to Jimmy) Wait here. Bryer and Earl enter the courtroom. Jimmy, as he stares out the 11th floor window towards Brooklyn. In the distance, the Woolworth building.					Arbitrage 
ROBERT	 I am so, so sorry.	SANDRINE	 (nods, then) I just wanted to thank you for what you did for my daughter.	ROBERT	 (shaking his head softly) No...	SANDRINE	 You believed in her, and you gave her a chance. She was happy. I know she was happy.	Arbitrage 
SANDRINE	 (nods, then) I just wanted to thank you for what you did for my daughter.	ROBERT	 (shaking his head softly) No...	SANDRINE	 You believed in her, and you gave her a chance. She was happy. I know she was happy.	ROBERT	 It's just...	Arbitrage 
ELLEN	 ...she's rail thin. She's a blond. I would not have known who she was if she hadn't come up and introduced herself to me. She looked totally different... and... (notices Brooke increasing the machine's resistance) You're going straight to level six don't you think you better pace yourself a little bit?	BROOKE	 (fakes a smile) I'm good. I wanna run.	ELLEN	 Everything okay with you and Tom?	BROOKE	 We're fine.	Arbitrage 
(NO RESPONSE)	 Brookie, come on, don't be silly, tell me what's... Brooke stabs "Stop" on the machine, quickly cooling down.	BROOKE	 (heading to pick up her	BELONGINGS)	 You know, I can't stay for breakfast I have to just... I have to get in to work, I don't know what I was thinking.	ELLEN		Arbitrage 
BROOKE	 I honestly have no idea.	ELLEN	 What about your father's head- where he cut his head and the pain that he's hiding in his stomach and, now (starts to tear) For some reason that's way to complicated for me to understand, there's no money for a routine gift? Does that seem a little strange to you?	BROOKE	 Of course it's strange.	ELLEN	 So tell me what's happening. Goldenrod - 4.17.11 79.	Arbitrage 
(SOTTO)	 Fuck. INT. SHERRY NETHERLAND HOTEL - RESTAURANT - DAY JAMES MAYFIELD (50s) waits alone at a table. Robert enters. They shake hands, then sit.	ROBERT	 You keep sending people to my office to "do business."	MAYFIELD	 They're just getting acquainted.			Arbitrage 
MAYFIELD	 They're just getting acquainted.	ROBERT	 With the intricacies of my operation so that you can... not buy it? (to a waitress as he sits) Just coffee, please.	MAYFIELD	 You remember what it was like on our side of the fence. Everything just moves... a little slower. Plus this whole audit mess doesn't help. You know, clearing that all up...	ROBERT	 Fuck you. Goldenrod - 4.17.11 80.	Arbitrage 
MAYFIELD	 Robert, I think we're getting off on the wrong foot...	ROBERT	 No, no, no. Forget it, forget it... Forget the deal. I don't even care about the deal. No, I run a comfortable -- excuse me -- I run a THRIVING business, that has returned year-to-date 15.4% percent to our investors, or approximately $583 Million dollars from a trading operation that you don't have and that we both know that you need, or else you never would've called me in the first place. You on the other hand, you've taken a salary of (sotto from the waitress pouring his coffee) 18 Million? (returns to volume) And what have you delivered? A falling stock price of negative 14 dollars? Is that what it is? You've also lost approximately... THREE AND	A HALF BILLION FOR YOUR INVESTORS-		TELL ME -- WHY - THE FUCK - DO I -		Arbitrage 
(SHORT BEAT)	 And if it's no, send any further communication right to my trash can.	MAYFIELD	 (extending his hand) It's a deal.	ROBERT		(GRASPING IT)	 One other thing -- six months and I'm gonna be gone. I'm outta here. My daughter's gonna take it over. You know her, you trust her.	Arbitrage 
MAYFIELD	 Are you serious?	ROBERT	 (ripping off the tablecloth) I'm serious. I'm very serious. Sign it. Mayfield thinks a moment, then reaches over and signs the menu. Robert does the same and then folds it into his pocket.	MAYFIELD	 I'll send over a draft of the press release. As Robert stands to go, he clutches his bruised rib.	MAYFIELD (CONT'D)	 Are you all right?	Arbitrage 
MAYFIELD	 So we made a good deal.	ROBERT	 (as he heads away) Yeah. Robert turns back to the table.	ROBERT (CONT'D)	 Actually, I lied. I would've taken four. Mayfield shrugs and returns to his paper. Robert walks out of the restaurant, beaming. Goldenrod - 4.17.11 83.			Arbitrage 
ROBERT (PRE-LAP)	 Hello. INT. JIMMY'S APARTMENT Reina, Jimmy's girlfriend (24, Hispanic) stands at the door with Robert and Jimmy. She turns and heads to the bedroom. Jimmy heads to the kitchen.	JIMMY	 You want something to drink?	ROBERT	 What you got?			Arbitrage 
ROBERT	 Don't be such a wiseass...	JIMMY	 Hey, this is my fuckin' life, man! Earl's telling me it could be ten years? Ten fucking years! How much are ten years worth, Robert? (off his silence) Goldenrod - 4.17.11 86.	JIMMY (CONT'D)	 Look man, I told you, I ain't no fuckin snitch, but this is bad. This is real bad. Reina and I got a whole plan we're about to make happen next week!	ROBERT	 (as Jimmy sits) What plan?	Arbitrage 
JIMMY (CONT'D)	 Look man, I told you, I ain't no fuckin snitch, but this is bad. This is real bad. Reina and I got a whole plan we're about to make happen next week!	ROBERT	 (as Jimmy sits) What plan?	JIMMY	 I got money saved up; I'm buying a business.	ROBERT	 What business?	Arbitrage 
ROBERT	 I told you... right now, if I were to speak, a lot of people would get hurt. Jobs, families. A lot of innocent people. Do you think you can understand that?	JIMMY	 Yeah but what about me? What about my situation? (off his silence) They showed me pictures, man; that's fucked up what you did. Goldenrod - 4.17.11 87.	ROBERT		(SOTTO)	 It was an accident.	Arbitrage 
JIMMY	 Alright, man, but Earl said the deal's on the table for twenty-four hours. After that, they're filing the case, and Earl says we're gonna lose.	ROBERT	 (nods, stands) Alright I hear you. I'll be back with you as soon as I can. Just hang with me a little bit. Jimmy nods. Robert walks out. Reina crosses back into the living room as he approaches the door and exits.	REINA	 You gotta give him up.	JIMMY	 You said take the money.	Arbitrage 
SYD (O.S.)	 And you believe him?	ROBERT	 (after a beat) Does Standard have clawback?	SYD (O.S.)	 What? What do you mean?	ROBERT	 Let's just say I decide to go in...	Arbitrage 
ROBERT	 No, just listen, listen to me. If I were to surrender, now, could they roll back the deal?	SYD (O.S.)	 (after a beat) No, what's done is done. There's no intent to defraud. You haven't warranted any behavior. So it's just money.	ROBERT	 Four years, you think?	SYD (O.S.)	 At this point- I dunno, they're not gonna make it easy.... I really suggest you think about this. Goldenrod - 4.17.11 89.	Arbitrage 
