NEIGHBOR)	 Wait Outside please. He signals to a police officer who herds the curious onlookers back out through the door.	POLICE OFFICER	 (to the superintendent, pointing to a pile of mail) What's the date of the last letter?	SUPERINTENDENT		(VERIFYING)	 The 16th from what I can see... Wait... The plain-clothes detective has tried in vain to open the door on the left. It has been sealed up with adhesive tape.	Amour 
SUPERINTENDENT	 Goodbye. He leaves the apartment. There is a brief moment of perplexity. Then Georges says:	GEORGES	 (with a nervous smile) Where do you want...	ANNE	 In the living room. Georges pushes her toward the living room door, walks around			Amour 
GEORGES	 Shall I make some tea?	ANNE	 (with a faint smile) First come sit with me. George registers her smile; he knows he's behaving in a clumsy way. He sits down in one of the two arm chairs.	ANNE (CONT'D)	 Can you help me into the chair? Georges stands back up.	GEORGES		Amour 
GEORGES	 (softly almost to himself) I'm glad you're back.	ANNE	 (in a voice just as soft) Me too. Another PAUSE. Then Anne says:	ANNE (CONT'D)	 Promise me one thing.	GEORGES	 What?	Amour 
ANNE (CONT'D)	 Go over there now. I'm not a cripple. You can easily leave me alone for two minutes. I won't collapse.	GEORGES	 (with a slight smile) OK.	ANNE	 Did you buy the new book on Harnoncourt?			Amour 
GEORGES (CONT'D)	 I thought I'd left it over there in the other room, but I'd already put it away. Tidy people just can't help being tidy.	ANNE	 (taking the book) Thanks. She puts the book on her stomach. Looks at Georges.	ANNE (CONT'D)	 Right now, take care of yourself. And don't wait to see how I hold the book in my hand, OK?	GEORGES		Amour 
ANNE	 You're mean. What would you say if no one came to your funeral?	GEORGES	 (dryly) Nothing, presumably. She shoots him a glance, smiles at his irony. Then she says:	ANNE	 Have you talked to Jeanne since I was in the hospital? I mean, does she know I can't come?	GEORGES	 Of course.	Amour 
ANNE	 How?	GEORGES	 (a bit irritated) My God, what are people like when they're shocked? She couldn't believe it, she was speechless. I don't remember any more. In any case, not exactly. I've spoken to a lot of people since. PAUSE.	ANNE	 Sorry.			Amour 
ANNE	 Martin! What a delight. How lovely to see you! The (male or female) soloist has got up and doesn't quite know how to handle the situation.	SOLOIST	 Mrs. Laurent! Lovely to see you too.	ANNE	 Don't get up. Come on, sit yourself down and don't look so shocked. The soloist sits down hesitantly, Georges pushes the wheelchair between the two armchairs and also sits down. Brief embarrassed PAUSE.			Amour 
ANNE	 You owe it to your hard work and your talent.	SOLOIST	 (shaking his head a little) Do you remember, when you first gave me the Bagatelles to play? I was twelve at the time, and in my youthful arrogance I said: "But why the Bagatelles?" And you really gave me a piece of your mind. They both smile. PAUSE. Then he goes on:	SOLOIST (CONT'D)	 So what happened?			Amour 
SOLOIST	 Well, actually I've spent most of the time in London studying. Then I went to Copenhagen for two performances, that was Schubert too. My whole life revolves around Schubert at the moment. The concerts with the Impromptus and the Moments Musicaux, and for my bread-and-butter work I'm developing the sonatas. Not the late ones, I think I still need a couple more years for those. (The dialogue concerning music will be modified according to the performer chosen.)	ANNE	 Could you do me a favor?	SOLOIST				Amour 
GEORGES (CONT'D)	 Look at that! Did you need to do that? Can't you call me when you need something?	ANNE	 (meekly) I'm sorry.	GEORGES		(STILL FURIOUS)	 Yes, so am I.	Amour 
ANNE	 What was it? He doesn't answer. Continues breathing heavily. She caresses him.	GEORGES	 (still with labored breathing) I didn't understand... I thought I'd gone mad... It was something impossible...	ANNE	 What was?			Amour 
ANNE (CONT'D)	 Thanks.	GEORGES	 (a bit irritated) You're welcome. With her able hand, Anne opens the album, looks at the photos, turns the pages, looks.	ANNE	 That's nice.	GEORGES	 (self-consciously, softly) What?	Amour 
ANNE	 That's nice.	GEORGES	 (self-consciously, softly) What?	ANNE	 Life...so long... What a long life... Georges looks at her. She continues to thumb through the pages. After a while she turns toward him.			Amour 
ANNE (CONT'D)	 Stop watching me.	GEORGES	 (caught in the act) I wasn't watching you.	ANNE	 Of course you were. I'm not that dumb yet.			Amour 
NURSE	 You mustn't take it too seriously. Usually they always say something. She might just as well say "Mom, Mom, Mom". It's just mechanical.	GEORGES	 (nodding, softly) I know. They've reached the door.	NURSE	 Goodbye, sir.			Amour 
GEORGES (CONT'D)	 (slowly, softly) I'd like to hire a second nurse. The two could take turns. That would make everything a bit simpler. What do you think? Long PAUSE. Then:	ANNE	 (softly) ...Help...Help...					Amour 
SUPERINTENDENT	 My wife and I, we're very impressed by the way you're managing everything. I take my hat off to you. As he speaks, Georges' mobile phone has started to ring.	GEORGES	 (taking the mobile phone from the pocket of his jacket) That's very kind of you. Thanks. See you soon.	SUPERINTENDENT	 Give my regards to your wife.	GEORGES	 I certainly will. Thanks.	Amour 
ANNE	 ... Ssssur le pont ...	GEORGES	 (smiling to encourage her): ... Sur le pont d'Avignon...	ANNE	 ... ssur... le ..	GEORGES	 ... pont... Sur le pont d'Avignon... (he begins to sing): Sur le pont d'Avignon on y danse, on y danse, sur le pont d'Avignon tout le monde y danse en rond... He encourages her to sing with him. Starts singing again:	Amour 
ANNE	 ... ssur... le ..	GEORGES	 ... pont... Sur le pont d'Avignon... (he begins to sing): Sur le pont d'Avignon on y danse, on y danse, sur le pont d'Avignon tout le monde y danse en rond... He encourages her to sing with him. Starts singing again:	GEORGES (CONT'D)	 Sur le pont d' Avignon, on y danse, on y danse ... Anne tries to sing too, she has a hint of a smile on her face, but she produces only isolated SOUNDS.			Amour 
NURSE	 No one has ever complained.	GEORGES	 Good for you. (To get rid of her) How much do I owe you?	NURSE	 (after a brief calculation) Seven hundred and eighty euros. Georges takes his wallet from his jacket hanging on the armchair and takes out eight one-hundred euro bills. The nurse is hopping mad.	NURSE (CONT'D)	 I've never had anything like this happen to me before. Who do you think you are?! I've been doing this job for ten years. I don't need you to teach me how to do it.	Amour 
GEORGES	 Good for you. (To get rid of her) How much do I owe you?	NURSE	 (after a brief calculation) Seven hundred and eighty euros. Georges takes his wallet from his jacket hanging on the armchair and takes out eight one-hundred euro bills. The nurse is hopping mad.	NURSE (CONT'D)	 I've never had anything like this happen to me before. Who do you think you are?! I've been doing this job for ten years. I don't need you to teach me how to do it.	GEORGES	 Do you have twenty euros?	Amour 
GEORGES	 Eva?	EVA'S VOICE	 (a bit irritated) Yes. Georges, panicked, thinks for a few seconds.	GEORGES	 Just a minute. He goes toward the bedroom door, locks it and puts the key in his pocket. He goes into the dining room, also closes the door leading to the bedroom. He comes back. He is about to go toward the front door, but remains motionless an instant, opens the door of the toilet that is located just nearby, flushes the toilet, closes the toilet door again and opens the front door.	GEORGES (CONT'D)	 Hello. A brief kiss hello.	Amour 
EVA	 What's going to happen now?	GEORGES	 (with a little ironic laugh) What's going to happen now? The nurse comes twice a week, and every two weeks Dr. Bertier and the hairdresser come. That's what you want to know, right? Things will go on as they have done up until now. They'll go from bad to worse. Things will go on, and then one day it will all be over. Brief PAUSE.	EVA	 You can't go on like this, Dad.	GEORGES	 Can't I? What do you suggest?	Amour 
ANNE	 (in a rush)... short... short dress... only I... only I... all long... it was... (with a small gesture to imitate a bell): ding... dong...	GEORGES		(SMILING)	 Yes, it swung to and fro.			Amour 
(SMILING)	 Yes, it swung to and fro.	ANNE	 (still rushed) ... yes... to ... fro ... you... very serious... like that... (she imitates a serious countenance, continues in a low voice): like that... serious...	GEORGES	 (unable to keep from laughing a little) Yes. I think I was pretty uptight.	ANNE	 (smiling) yes... up... tight... PAUSE. Anne puts her hand on Georges'.	Amour 
ANNE	 (still rushed) ... yes... to ... fro ... you... very serious... like that... (she imitates a serious countenance, continues in a low voice): like that... serious...	GEORGES	 (unable to keep from laughing a little) Yes. I think I was pretty uptight.	ANNE	 (smiling) yes... up... tight... PAUSE. Anne puts her hand on Georges'.	ANNE (CONT'D)	 ... it was n...nice...	Amour 
GEORGES	 (unable to keep from laughing a little) Yes. I think I was pretty uptight.	ANNE	 (smiling) yes... up... tight... PAUSE. Anne puts her hand on Georges'.	ANNE (CONT'D)	 ... it was n...nice... SILENCE.			Amour 
ANNE'S VOICE	 (loud) Help... Help... Help... Help... Help... Georges wipes his face and, to the sound of Anne's cries, crosses the hallway and enters the bedroom. Anne continues to cry out in a monotone to herself. Georges goes over to her bed.	GEORGES	 (trying to calm her like a sick child) What is it?..	GEORGES (CONT'D)	 Are you in pain?... What's the matter?... Is your pad full? He raises her blanket for an instant and sniffs, then replaces it.			Amour 
