A WOMAN		JO	 I'm requesting... I'm... Captain, I'd like to request that I be the attorney assigned to rep -- I'd like to request that it be myself who is assigned to represent -- (she stops) "That it be myself who is assigned to represent"? ...Good, Jo, that's confidence inspiring.	UNITED STATES NAVY - JUDGE ADVOCATE GENERAL'S CORPS				A Few Good Men 
SAM	 I have no responsibilities here whatsoever.	JO	 (beat) Come in, please, have a seat...	JO	 (continuing) Lieutenant, how long have you been in the Navy?	KAFFEE	 Going on nine months now.	A Few Good Men 
KAFFEE	 A little over a year.	JO	 (beat) I see.	KAFFEE	 Have I done something wrong?	JO	 No. It's just that when I petitioned Division to have counsel assigned, I was hoping I'd be taken seriously.	A Few Good Men 
JO	 No. It's just that when I petitioned Division to have counsel assigned, I was hoping I'd be taken seriously.	KAFFEE	 (to JO) No offense taken, if you were wondering.	SAM	 Commander, Lt. Kaffee's generally considered the best litigator in our office. He's successfully plea bargained 44 cases in nine months.	KAFFEE	 One more, and I got a set of steak knives.	A Few Good Men 
JO	 One of the people you'll be speaking to down there is the barracks C.O., Colonel Nathan Jessep, I assume you've heard of him.	KAFFEE	 (beat) Who hasn't?	SAM	 (to KAFFEE) He's been in the papers lately. He's expected to be appointed Director of Operations for the National Security Counsel.	JO	 These are letters that Santiago wrote in his 8 months at GITMO --	A Few Good Men 
KAFFEE	 (beat) Who hasn't?	SAM	 (to KAFFEE) He's been in the papers lately. He's expected to be appointed Director of Operations for the National Security Counsel.	JO	 These are letters that Santiago wrote in his 8 months at GITMO --	SAM	 (whispering to kaffee) Guantanamo Bay.	A Few Good Men 
JO	 These are letters that Santiago wrote in his 8 months at GITMO --	SAM	 (whispering to kaffee) Guantanamo Bay.	KAFFEE	 I know that one.	JO	 He wrote to his recruiter, the fleet commander, HQ, Atlantic, even his senator. He wanted a transfer. Nobody was listening. You with me?	A Few Good Men 
KAFFEE	 Right. Is that all?	JO	 (beat) Lieutenant, this letter makes it look like your client had a motive to kill Santiago.	KAFFEE	 Gotcha. (beat) And Santiago is... who?	JO	 (beat) The victim.	A Few Good Men 
JO	 (beat) Lieutenant, this letter makes it look like your client had a motive to kill Santiago.	KAFFEE	 Gotcha. (beat) And Santiago is... who?	JO	 (beat) The victim.	KAFFEE	 (to SAM) Write that down. (to JO) Am I correct in assuming that these letters don't paint a flattering picture of marine corps life in Guantanamo Bay?	A Few Good Men 
KAFFEE	 Gotcha. (beat) And Santiago is... who?	JO	 (beat) The victim.	KAFFEE	 (to SAM) Write that down. (to JO) Am I correct in assuming that these letters don't paint a flattering picture of marine corps life in Guantanamo Bay?	JO	 Yes, among other --	A Few Good Men 
JO	 (beat) The victim.	KAFFEE	 (to SAM) Write that down. (to JO) Am I correct in assuming that these letters don't paint a flattering picture of marine corps life in Guantanamo Bay?	JO	 Yes, among other --	KAFFEE	 And am I further right in assuming that a protracted investigation of this incident might cause some embarrassment for the security counsel guy.	A Few Good Men 
KAFFEE	 Sorry, I always forget that.	SAM	 He's a little preoccupied. (beat) The team's playing Bethesda Medical next week.	JO	 Tell your friend not to get cute down there.  The marines in Guantanimo are fanatical.	SAM	 About what?	A Few Good Men 
MARKINSON	 Not only that, but word of this letter's bound to get out. The kid's gonna get his ass kicked.	JESSEP	 Transfer Santiago. Yes I suppose you're right. I suppose that's the thing to do. Wait. Wait. I've got a better idea. Let's transfer the whole squad off the base. Let's -- on second thought -- Windward. The whole Windward division, let's transfer 'em off the base. Jon, go on out there and get those boys down off the fence, they're packing their bags. (calling out) Tom!	ORDERLY	 Sir!	JESSEP	 Got me the President on the phone, we're surrendering our position in Cuba.	A Few Good Men 
JESSEP	 (continuing) What do you think of Kendrick?	MARKINSON	 (beat) I don't know that --	JESSEP	 I think he's kind of a weasel, myself. But he's an awfully good officer, and in the end we see eye to eye on the best way to run a marine corps unit. We're in the business of saving lives, Matthew. That's a responsibility we have to take pretty seriously. And I believe that taking a marine who's not yet up to the job and packing him off to another assignment, puts lives in danger.	JESSEP	 (continuing) Matthew, siddown. (beat) We go back a while. We went to the Academy together, we were commissioned together, we did our tours in Vietnam together. But I've been promoted up through the chain with greater speed and success than you have. Now if that's a source of tension or embarrassment for you, well, I don't give a shit. We're in the business of saving lives, Captain Markinson. Don't ever question my orders in front of another officer.	A Few Good Men 
JO	 Dawson and Downey.	KAFFEE	 (beat) Those names sound like they should mean something to me, but I'm just not --	JO	 Dawson! Downey! Your clients!	KAFFEE	 The Cuba thing! Yes! Dawson and Downey. (beat) Right. (pause) I've done something wrong again, haven't I?	A Few Good Men 
JO	 Dawson! Downey! Your clients!	KAFFEE	 The Cuba thing! Yes! Dawson and Downey. (beat) Right. (pause) I've done something wrong again, haven't I?	JO	 I was wondering why two guys have been in a jail cell since this morning while their lawyer is outside hitting a ball.	KAFFEE	 We need the practice.	A Few Good Men 
JO	 I do know you. Daniel AlliStair Kaffee, born June 8th, 1964 at Boston Mercy Hospital. Your father's Lionel Kaffee, former Navy Judge Advocate and Attorney General, of the United States, died 1985. You went to Harvard Law on a Navy scholarship, probably because that's what your father wanted you to do, and now you're just treading water for the three years you've gotta serve in the JAG Corps, just kinda layin' low til you can get out and get a real job. And if that's the situation, that's fine, I won't tell anyone. But my feeling is that if this case is handled in the same fast-food, slick-ass, Persian Bazaar manner with which you seem to handle everything else, something's gonna get missed. And I wouldn't be doing my job if I allowed Dawson and Downey to spend any more time in prison than absolutely necessary, because their attorney had pre- determined the path of least resistance.	KAFFEE	 Wow. (beat) I'm sexually aroused, Commander.	JO	 I don't think your clients murdered anybody.	KAFFEE	 What are you basing this on?	A Few Good Men 
JO	 There was no intent.	KAFFEE	 The doctor's report says that Santiago died of asphyxiation brought on by acute lactic acidosis, and that the nature of the acidosis strongly suggests poisoning. (beat) Now, I don't know what any of that means, but it sounds pretty bad.	JO	 Santiago died at one a.m. At three the doctor was unable to determine the cause of death, but two hours later he said it was poison.	KAFFEE	 Oh, now I see what you're saying. It had to be Professor Plum in the library with the candlestick.	A Few Good Men 
DAWSON	 Yes sir.	KAFFEE	 (to DOWNEY) Do you ever talk?	DAWSON	 Sir, Private Downey will answer any direct questions you ask him.	KAFFEE	 Swell. Private Downey, the rag you stuffed in Santiago's mouth, was there poison on it?	A Few Good Men 
DOWNEY	 We saw blood drippinq out of his mouth. Then we pulled the tape off, and there was blood all down his face, sir. That's when Corporal Dawson called the ambulance.	KAFFEE	 (to DAWSON) Did anyone see you call the ambulance?	DAWSON	 No sir.	KAFFEE	 Were you there when the ambulance got there?	A Few Good Men 
DAWSON	 Yes sir, that's when we were taken under arrest.	SAM	 (to DAWSON) On the night of August 2nd, did you fire a shot across the fenceline into Cuba?	DAWSON	 Yes sir.	SAM	 Why?	A Few Good Men 
DAWSON	 My mirror engaged, sir.	KAFFEE	 (to SAM) His mirror engaged?	SAM	 For each American sentry post there's a Cuban counterpart. They're called mirrors. The corporal's claiming that his mirror was about to fire at him.	KAFFEE	 Santiago's letter to the NIS said you fired illegally. He's saying that the guy, the mirror, he never made a move.	A Few Good Men 
KAFFEE	 You tell me.	ROSS	 (pause) I'm gonna give you the twelve years, but before you go getting yourself into trouble tomorrow, you should know this: The platoon commander Lt. Jonathan Kendrick, had a meeting with the men. And he specifically told them not to touch Santiago.	KAFFEE	 I'll talk to you when I get back.	ROSS	 Hey, we got a little four-on-four going tomorrow night. When does your plane get in?	A Few Good Men 
SAM	 That's what you wanted.	KAFFEE	 I know, and I'll... I guess, I mean -- (beat) I'll take it.	SAM	 So?	KAFFEE	 It took albout 45 seconds. He barely put up a fight.	A Few Good Men 
KAFFEE	 It took albout 45 seconds. He barely put up a fight.	SAM	 (beat) Danny, take the twelve years, it's a gift.	KAFFEE	 You don't believe their story, do you? You think they ought to go to jail for the rest of their lives.	SAM	 I believe every word they said. And I think they ought to go to jail for the rest of their lives.	A Few Good Men 
SAM	 So?	KAFFEE	 I never mentioned Kendrick. I don't even know who he is. (beat) What the hell. (beat) I'll see you tomorrow.					A Few Good Men 
HOWARD	 Lieutenants Kaffee and Weinberg?	KAFFEE	 (shouting) Yeah.	JO	 Commander Galloway.	HOWARD	 I'm Corporal Howard, ma'am, I'm to escort you to the Windward side of the base.	A Few Good Men 
HOWARD	 (shouting) We'll just hop on the ferry and be over there in no time.	KAFFEE	 (shouting) Whoa! Hold it! We gotta take a boat?!	HOWARD	 Yes sir, to get to the other side of the bay.	KAFFEE	 Nobody said anything about a boat.	A Few Good Men 
KAFFEE	 Nobody said anything about a boat.	HOWARD	 (shouting) Is there a problem, sir?	KAFFEE	 (shouting) No. No problem. I'm just not that crazy about boats, that's all.	JO	 (shouting) Jesus Christ, Kaffee, you're in the Navy for cryin' out loud!	A Few Good Men 
HOWARD	 (shouting) Is there a problem, sir?	KAFFEE	 (shouting) No. No problem. I'm just not that crazy about boats, that's all.	JO	 (shouting) Jesus Christ, Kaffee, you're in the Navy for cryin' out loud!	KAFFEE	 (shouting) Nobody likes her very much.	A Few Good Men 
KAFFEE	 (shouting) No. No problem. I'm just not that crazy about boats, that's all.	JO	 (shouting) Jesus Christ, Kaffee, you're in the Navy for cryin' out loud!	KAFFEE	 (shouting) Nobody likes her very much.	HOWARD	 (shouting) Yes sir.	A Few Good Men 
JO	 (shouting) Jesus Christ, Kaffee, you're in the Navy for cryin' out loud!	KAFFEE	 (shouting) Nobody likes her very much.	HOWARD	 (shouting) Yes sir.			A Few Good Men 
KAFFEE	 (shouting) Nobody likes her very much.	HOWARD	 (shouting) Yes sir.					A Few Good Men 
KAFFEE	 Thank you. I'm Daniel Kaffee, I'm the attorney for Dawson and Downey. This is Joanne Galloway, she's observing and evaluating --	JO	 (shaking hands) Colonel.	JESSEP	 Pleased to meet you, Commander.	KAFFEE	 Sam Weinberg. He has no responsibility here whatsoever.	A Few Good Men 
KAFFEE	 He passed away seven years ago, colonel.	JESSEP	 (pause) Well... don't I feel like the fuckin, asshole.	KAFFEE	 Not at all, sir.	JESSEP	 Well, what can we do for you, Danny.	A Few Good Men 
KENDRICK	 Sixteen-hundred.	SAM	 (leaning forward) Four o'clock.					A Few Good Men 
KENDRICK	 No, you may not.	KAFFEE	 (beat) Have I done something to offend you?	KENDRICK	 No, I like all you Navy boys. Every time we've gotta go someplace and fight, you fellas always give us a ride.	JO	 Lt. Kendrick, do you think Santiago was murdered?	A Few Good Men 
SAM	 How do you feel about that theory?	KAFFEE	 (beat) Sounds good. Let's move on.	JO	 You planning on doing any investigating or are you just gonna take the guided tour?	KAFFEE	 (beat) I'm pacing myself.	A Few Good Men 
JO	 You planning on doing any investigating or are you just gonna take the guided tour?	KAFFEE	 (beat) I'm pacing myself.					A Few Good Men 
KENDRICK	 The corporal's got the jeep outside, he'll take you back to the airstrip.	KAFFEE	 (standing) Thank you.	JO	 Wait a minute, I've got some questions.	KAFFEE	 No you don't.	A Few Good Men 
JESSEP	 Of course I met with the doctor. One of my men was dead.	KAFFEE	 (to JO) See? The man was dead. Let's go.	JO	 (to JESSEP) I was wondering if you've ever heard the term Code Red.	KAFFEE	 Jo --	A Few Good Men 
KAFFEE	 (to JO) See? The man was dead. Let's go.	JO	 (to JESSEP) I was wondering if you've ever heard the term Code Red.	KAFFEE	 Jo --	JESSEP	 I've heard the term, yes.	A Few Good Men 
KAFFEE	 Yeah.	JESSEP	 (pause) Of course you can have a copy of the transfer order. For the file. I'm here to help anyway I can.	KAFFEE	 Thank you.	JESSEP	 You believe that, don't you? Danny? That I'm here to help anyway I can?	A Few Good Men 
JESSEP	 The corporal'll run you by Ordinance on your way out to the airstrip. You can have all the transfer orders you want.	KAFFEE	 (to JO and SAM) Let's go.	JESSEP	 But you have to ask me nicely.	KAFFEE	 I beg your pardon?	A Few Good Men 
JO	 Markinson resigned his commission.	KAFFEE	 (pause) When?	JO	 This afternoon. Sometime after we left.	KAFFEE	 I'll talk to him in the morning.	A Few Good Men 
KAFFEE	 Splendid.	JO	 I think Kendrick ordered the Code Red. (beat) So do you.					A Few Good Men 
DAWSON	 Yes sir.	KAFFEE	 (to Downey) Did he?	DOWNEY	 Yes sir.	KAFFEE	 You mind telling me why the hell you never mentioned this before?	A Few Good Men 
DAWSON	 About five minutes after the meeting broke, sir. About 16:20.	KAFFEE	 (continuing) And what happened then?	DAWSON	 Lt. Kendrick ordered us to give Santiago a Code Red.			A Few Good Men 
KAFFEE	 (continuing) Jack!!	ROSS	 (waving him off) Hang on...	KAFFEE	 They were given an order.	JO	 How long have you known about the order?	A Few Good Men 
JO	 How long have you known about the order?	ROSS	 I didn't -- (to KAFFEE) Who is this?	KAFFEE	 This is Jo Galloway she's Downey's lawyer. She's very pleased to meet you.	ROSS	 What exactly are you accusing me of, commander?	A Few Good Men 
DAWSON	 We did nothing wrong, sir. We did our job. If that has consequences, then I accept them. But'I won't say I'm guilty, sir.	KAFFEE	 Did you -- (to DAWSON and DOWNEY) Did she put you up to this?	JO	 No.	DAWSON	 We have a code, sir.	A Few Good Men 
KAFFEE	 Yes.	DAWSON	 What do we do then, sir? We joined the corps 'cause we wanted to live our lives by a certain code. And we found it in the corps. And now you're asking us to sign a piece of paper that says we have no honor. You're asking us to say we're not marines. If a judge and jury decide that what we did was wrong, I'll accept whatever punishment they give. But I believe I was riqht, sir. I believe I did my job. And I won't dishonor myself, my unit, or the Corps, so that I can qo home in six months. (beat) Sir.	KAFFEE	 Commander, I want to talk to corporal Dawson alone for a minute.	JO	 (to Downey) Let's go in another room. Louden, everything's gonna be alright.	A Few Good Men 
KAFFEE	 Commander, I want to talk to corporal Dawson alone for a minute.	JO	 (to Downey) Let's go in another room. Louden, everything's gonna be alright.	JO	 (continuing; to M.P.) We're gonna go into a holding room.	KAFFEE	 You don't like me that much, do you? (beat) Forget it, don't answer that, it doesn't matter.	A Few Good Men 
JO	 (continuing; to M.P.) We're gonna go into a holding room.	KAFFEE	 You don't like me that much, do you? (beat) Forget it, don't answer that, it doesn't matter.	KAFFEE	 (continuing) You know, Downey worships you. He's gonna do whatever you do. Are you really gonna let this happen to him because of a code? Harold?	DAWSON	 Do you think we were right?	A Few Good Men 
DAWSON	 Do you think we were right?	KAFFEE	 (beat) I think you'd lose.	DAWSON	 (beat) You're such a coward, I can't believe they let you wear a uniform.	KAFFEE	 I'm not gonna feel responsible for this, Harold. I did everything I could. You're going to Levenworth for the better part of your life, and you know what? I don't give a shit.	A Few Good Men 
KAFFEE	 (beat) I think you'd lose.	DAWSON	 (beat) You're such a coward, I can't believe they let you wear a uniform.	KAFFEE	 I'm not gonna feel responsible for this, Harold. I did everything I could. You're going to Levenworth for the better part of your life, and you know what? I don't give a shit.	KAFFEE	 (continuing)	A Few Good Men 
M.P.!		KAFFEE	 (continuing) What happened to saluting an officer when he leaves the room?					A Few Good Men 
KAFFEE	 Dawson's gonna go to jail just to spite me. Fine. If he wants to jump off a cliff, that's his business. I'm not gonna hold his hand on the way down. (to SAM) I want to get him a new lawyer. How do I do it?	SAM	 You just make a motion tomorrow morning at the arraignment. The judge'll ask you if you want to enter a plea. You tell him you want new counsel assigned.	KAFFEE	 (beat) Then that's that.			A Few Good Men 
SAM	 You just make a motion tomorrow morning at the arraignment. The judge'll ask you if you want to enter a plea. You tell him you want new counsel assigned.	KAFFEE	 (beat) Then that's that.	JO	 (beat) Yeah. One thing, though. When you ask the judge for new counsel, Danny, be sure and ask nicely.	KAFFEE	 What do you want from me?	A Few Good Men 
KAFFEE	 (beat) Then that's that.	JO	 (beat) Yeah. One thing, though. When you ask the judge for new counsel, Danny, be sure and ask nicely.	KAFFEE	 What do you want from me?	JO	 I want you to let 'em be judged! I want you to stand up and make an argument!	A Few Good Men 
JO	 Don't look now, Danny, but you're making an argument.	KAFFEE	 (pause) Yeah. (beat) Tomorrow morning I'll get them a new attorney.	JO	 Why are you so afraid to be a lawyer? Were daddy's expectations really that high?	KAFFEE	 Please, spare me the psycho-babble father bullshit. Dawson and Downey'll have their day in court, but they'll have it with another lawyer.	A Few Good Men 
KAFFEE	 Please, spare me the psycho-babble father bullshit. Dawson and Downey'll have their day in court, but they'll have it with another lawyer.	JO	 Another lawyer won't be good enough. They need you. You know how to win. (beat) You know they have a case. And you know how to win. You walk away from this now, and you have sealed their fate.	KAFFEE	 Their fate was sealed the moment Santiago died.	JO	 Do you believe they have a defense?	A Few Good Men 
KAFFEE	 You and Dawson both live in the same dreamland. It doesn't matter what I believe, it only matters what I can prove. So please don't tell me what I know and don't know. I know the law.	JO	 You know nothing about the law. You're a used car salesman, Daniel. You're an ambulance chaser with a rank. You're nothing. (beat) Live with that.					A Few Good Men 
RANDOLPH	 Does defense wish to enter a plea?	KAFFEE	 Yeah. (pause) They're not guilty.	RANDOLPH	 Enter a plea of not guilty for the defendants. We'll adjourn until ten- hundred, three weeks from today, at which time this Court will reconvene as a General Court-Martial.	KAFFEE	 Why does a junior grade with six months experience and a track record for plea bargaining get assigned a murder case? (beat) Would it be so that it never sees the inside of a courtroom?	A Few Good Men 
RANDOLPH	 Enter a plea of not guilty for the defendants. We'll adjourn until ten- hundred, three weeks from today, at which time this Court will reconvene as a General Court-Martial.	KAFFEE	 Why does a junior grade with six months experience and a track record for plea bargaining get assigned a murder case? (beat) Would it be so that it never sees the inside of a courtroom?	KAFFEE	 (continuing) We'll work out of my apartment. Every night, seven o'clock. Jo, before you come over tonight, pick up a carton of legal pads, a half-dozen boxes of red pens, a half-dozen boxes of black pens. Sam get a couple of desk lamps. I need you to start on a preliminary medical profile and Jo, we need all the fitness reports on Dawson, Downey and Santiago. The only thing I have to eat is Yoo-Hoo and SugarSnacks, so if you want anything else, bring it with you. Okay?	JO	 Yeah.	A Few Good Men 
KAFFEE	 (continuing) What.	SAM	 (pause) I was wondering, now that Joanne's working on this... I was wondering if you still need me.	KAFFEE	 (pause) They were following an order, Sam.	SAM	 An illegal order.	A Few Good Men 
SAM	 (pause) I was wondering, now that Joanne's working on this... I was wondering if you still need me.	KAFFEE	 (pause) They were following an order, Sam.	SAM	 An illegal order.	KAFFEE	 You think Dawson and Downey know it was an illegal order?	A Few Good Men 
KAFFEE	 This is our defense. Intent: No one can prove there was poison on the raq. Code Red: They're common and accepted in Guantanamo Bay. The Order: (he writes) A) Kendrick gave it. B) They had no choice but to follow it. (beat) That's it.	SAM	 What about motive?	KAFFEE	 We're a little weak on motive. They had one.			A Few Good Men 
JO	 Just because a person has a motive doesn't mean --	KAFFEE	 Relax. We'll deal with the fenceline shooting when it comes up. For now we start here -- (pointing to INTENT) I don't know what made Santiago die, I don't want to know. I just want to be able to show it could've been something other than poison. Jo, talk to doctors. Find out everything there is to know about lactic acidosis. Let's start prepping for Stone.	JO	 As long as we're on the subject of the doctor --	KAFFEE	 Here we go.	A Few Good Men 
JO	 (into phone) Captain Hill, this is Lt. Commander Galloway, I'm an internal affairs officer with the JAG Corps in Washington, D.C. I'm trying to track down a Captain Matthew Andrew Markinson, USMC...	KAFFEE	 Doctor, other than the rope marks, was there any other sign of external damage?	SAM	 No.			A Few Good Men 
KAFFEE	 No cuts?	JO	 (into phone) He resigned his commission a week ago Thursday.	KAFFEE	 Bruises? Broken bones?	SAM	 No.	A Few Good Men 
SAM	 No.	JO	 (into phone) No, please don't put me on hold --	KAFFEE	 Doctor, was there any sign of violence?	SAM	 (beat) You mean other than the dead body?	A Few Good Men 
KAFFEE	 Doctor, was there any sign of violence?	SAM	 (beat) You mean other than the dead body?	KAFFEE	 Fuck!! I walk into that every goddam time!	SAM	 Don't ask the last question.	A Few Good Men 
JO	 And what happened after Kendrick came into your room?	DOWNEY	 (beat) He ordered me and Corporal Dawson to give Willy a Code Red.	SAM	 (to Jo) His answers still have to come faster, Jo. The Iowa farmboy thing'll play for a while, but in the end it looks like he's searching for the truth.	KAFFEE	 (to Dawson & Downey) He's right, and from now on, "Willy" is Private Santiago. You start calling him Willy and all of a sudden he's a person who's got a mother who's gonna miss him.	A Few Good Men 
DOWNEY	 (beat) He ordered me and Corporal Dawson to give Willy a Code Red.	SAM	 (to Jo) His answers still have to come faster, Jo. The Iowa farmboy thing'll play for a while, but in the end it looks like he's searching for the truth.	KAFFEE	 (to Dawson & Downey) He's right, and from now on, "Willy" is Private Santiago. You start calling him Willy and all of a sudden he's a person who's got a mother who's gonna miss him.			A Few Good Men 
SAM	 (to Jo) His answers still have to come faster, Jo. The Iowa farmboy thing'll play for a while, but in the end it looks like he's searching for the truth.	KAFFEE	 (to Dawson & Downey) He's right, and from now on, "Willy" is Private Santiago. You start calling him Willy and all of a sudden he's a person who's got a mother who's gonna miss him.					A Few Good Men 
JO/SAM	 Do it swiftly, but don't look overanxious.	KAFFEE	 (beat) And don't wear that perfume in Court, it wrecks my concentration.	JO	 Really!	KAFFEE	 I was talking to Sam.	A Few Good Men 
KAFFEE	 Time to go home. Try to get some sleep tonight.	JO	 (to SAM) I'll give you a ride.	KAFFEE	 (to SAM) You're a good man, Charlie Brown.	SAM	 See you in court.	A Few Good Men 
JO	 (to SAM) I'll give you a ride.	KAFFEE	 (to SAM) You're a good man, Charlie Brown.	SAM	 See you in court.	JO	 Danny --	A Few Good Men 
JO	 I was just gonna tell you to wear matching socks tomorrow.	KAFFEE	 (beat) Oh. (beat) Okay. Good tip.	JO	 We're ready.	KAFFEE	 Bet your ass.	A Few Good Men 
MAN	 You're gonna save our son, aren't you?	KAFFEE	 (pause) I'll do my best.	JO	 Danny, I want you to meet Ginny Miller, Louden's aunt.	KAFFEE	 You're Aunt Ginny?	A Few Good Men 
RANDOLPH	 Is the Government prepared to make an opening statement?	ROSS	 (standing) Yes sir.	ROSS	 (continuing) The facts of the case are this: At midnight on August 6th, the defendants went into the barracks room of their platoon-mate, PFC William Santiago. They woke him up, tied his arms and legs with rope, and forced a rag into his throat. A few minutes later, a chemical reaction in Santiago's body called lactic acidosis caused his lungs to begin bleeding. He drowned in his own blood and was pronounced dead at 32 minutes past midnight. These are the facts of the case. And they are undisputed. That's right. The story I just told you is the exact same story you're going to hear from Corporal Dawson, and it's the exact same story you're going to hear from Private Downey. Furthermore, the Government will also demonstrate that the defendants soaked the rag with poison, and entered Santiago's room with motive and intent to kill. (beat) Now, Lt. Kaffee, is gonna try to pull off a little magic act, he's gonna try a little misdirection. He's going to astonish you with stories of rituals and dazzle you with official sounding terms like Code Red. He might even cut into a few officers for you. He'll have no evidence, mind you, none. But it's gonna be entertaining. When we get to the end, all the magic in the world will not have been able to divert your attention from the fact that Willy Santiago is dead, and Dawson and Downey killed him. These are the facts of the case. (beat) And they are undisputed.	RANDOLPH	 Lt. Kaffee?	A Few Good Men 
RANDOLPH	 Lt. Kaffee?	KAFFEE	 There was no poison on the rag and there was no intent to kill and any attempt to prove otherwise is futile because it just ain't true. (beat) When Dawson and Downey went into Santiago's room that night, it wasn't because of vengeance or hatred, it wasn't to kill or harm, and it wasn't because they were looking for kicks on a Friday night. It's because it was what they were ordered to do. (beat) Let me say that again: It's because it was what they were ordered to do. Now, out in the real world, that means nothing. And here at the Washington Navy Yard, it doesn't mean a whole lot more. But if you're a marine assigned to Rifle Security Company Windward, Guantanamo Bay, Cuba, and you're given an order, you follow it or you pack your bags. (beat) Make no mistake about it, Harold Dawson and Louden Downey are sitting before you in judgement today because they did their job.	RANDOLPH	 Is the Government ready to call its first witness?	ROSS	 Please the Court, the Government calls Mr. R.C McGuire.	A Few Good Men 
MCGUIRE	 Lance Corporal Harold Dawson.	ROSS	 (continuing; to KAFFEE) Your witness.	KAFFEE	 Mr. McGuire, have you questioned Corporal Dawson about the fenceline shooting?	MCGUIRE	 Yes. He claims to have been engaged in some manner by the enemy.	A Few Good Men 
HAMMAKER	 Lt. Kendrick told us that we had an informer in our group.  That Private Santiago had gone outside the chain of command and reported to the NIS on a member of our platoon.	ROSS	 Did that make you mad? (pause) You can tell the truth, corporal, it's alright. Did it make you mad?	HAMMAKER	 Yes sir.	ROSS	 How mad?	A Few Good Men 
