SHARON	 Can you hear me? (shouting, off) This one's conscious!	VOICE (O.S.)	 Paramedics on the way!	SHARON	 Wait. Wait. Listen to me.    Can you feel that?			Angel Eyes 
SANDERMAN	 Sharon...	SHARON	 (typing) Lieutenant...	SANDERMAN	 Anything bothering you?	SHARON	 Why?   What'd I do?	Angel Eyes 
KATHY	 He's okay now. He's torn up about it. Don't make him mad.	SHARON	 When Larry and I were growing up, our mother said that all the time. 'Don't make your father mad.' (pause) Has he hit Larry Jr. yet?	KATHY	 He never would.	SHARON	 Oh.   Just you, huh?	Angel Eyes 
LARRY	 You don't come in here and call me names.	SHARON	 What do you call a man who uses his wife as a punching bag? (pause) Coward.	KATHY	 Don't hurt her, Lar...!	SHARON	 I know how it feels, 'cause I remember. I remember standing between you and Dad and taking the blows for you -- and for what?! You turned out to be just like him, you bastard. (pause) And so did I.	Angel Eyes 
KATHY	 Don't hurt her, Lar...!	SHARON	 I know how it feels, 'cause I remember. I remember standing between you and Dad and taking the blows for you -- and for what?! You turned out to be just like him, you bastard. (pause) And so did I.					Angel Eyes 
LARRY (V.O.)	 I bet you feel real proud of yourself, Shar, knocking me down in front of my family. You know what I've got in my hand? I've got a Polaroid picture of my busted-up face, and I'm thinking of sending it to your department, to your lieutenant. I'm going to turn you in to the police, Shar, and see how you like it.	SHARON	 (quietly) Oh, God. Oh, shit.	SHARON	 It's you, right?	SHARON	 Can you just shut up?    Just shut up and listen.	Angel Eyes 
PINDELLA	 Catch?	CATCH	 (to Sharon) Drive, will you?	CATCH	 Drive!	CATCH	 Will you get off this street?	Angel Eyes 
YOUNG MAN	 Goin' uphill, man.	CATCH	 (to Sharon) You try it.	SHARON	 Try what?	CATCH	 Go ahead. We need this. Everybody.	Angel Eyes 
WOMAN	 I'm calling the police!	CATCH	 No.  I'm calling the police. (turns to Sharon) Hey -- police.	SHARON	 Jesus Christ, Catch.	CATCH	 Maybe she'll think about it now.	Angel Eyes 
SHARON	 I thought you walked all over the city.	CATCH	 (gasping) The city is flat. Okay? Can we stop here? Can we examine the view? Have a Milky Way? I've burned every calorie I ever had.	SHARON	 My favorite lunch spot is another half mile.	CATCH	 Up?!	Angel Eyes 
SHARON	 Yesterday. Okay. Yesterday we rolled on a 415. Juliette and Sanchez had these four guys against a wall, but they were H.D.B. and definitely unco-op. It got pretty jumpy, but we got them in the car with a couple of bruises and Robby got a sprained wrist, so I did the rest of the shift with a rookie who lost it over a D.B. in Sunset Park, old woman who'd been dead maybe six, seven days, and I usually do all right but the smell got to me, and I can still smell her. Then we arrested a prostitute working out of her home, and I carried her little girl out to the social worker, and the kid was holding on real tight and making my shoulder wet and I wanted to punch her rock-head mother, and then shift ended and I had a nice visit with my brother Larry.	CATCH	 (softly) I'm sorry. That would make anybody sad.	SHARON	 Sorry you asked?	CATCH	 No.   No, you can always tell me.	Angel Eyes 
CATCH	 So soon?	SHARON	 Some of us have to work. (teasing) You ever work?	CATCH	 Yeah.     I worked.	SHARON	 Oh?   You remember that?   Working?	Angel Eyes 
JACK	 How are you? Sit down. Been years. You been out of town?	CATCH	 (sitting) I've been around.	JACK	 Oh, man, I'm really sorry about what happened. I never got a chance to say...	CATCH	 We don't need to go there.	Angel Eyes 
JACK	 Okay. All right. So... what d'you want, a coffee?	CATCH	 I want my old job back. (pause) What d'you think?	JACK	 You been workin'?	CATCH	 No, but I'm up to speed.	Angel Eyes 
CATCH	 No, but I'm up to speed.	JACK	 (thinks) Well, it's not good with Randal anymore.	CATCH	 No?	JACK	 No, he's out of it, but Danny Coley's got something going. Wanna go see 'im?	Angel Eyes 
SHARON	 No.     That's good. Deeper.	CATCH	 (as he works) How heavy was this guy?	SHARON	 Like a truck.	CATCH	 God.     Tractor-trailer?	Angel Eyes 
CATCH	 So... he says you can't go?	SHARON	 Can't you rub without talking? (then) It's been bad with my family a long time, so the hell with it anyway. If they don't want me there, I don't want to be there. All right?	CATCH	 All right. (then, as he works) Bad how?	SHARON	 Oh, Jesus!	Angel Eyes 
SHARON	 Can't you rub without talking? (then) It's been bad with my family a long time, so the hell with it anyway. If they don't want me there, I don't want to be there. All right?	CATCH	 All right. (then, as he works) Bad how?	SHARON	 Oh, Jesus!	SHARON	 My father used to knock us around, all of us. But I'm the one who called the cops -- finally. (pause) They say I turned against the family.	Angel Eyes 
SHARON	 See that place? He's going to be playing there every weekend.	RAY	 (impressed; to Catch) Oh, yeah? What d'you play?	SHARON	 It's music, Ray. You wouldn't like it.			Angel Eyes 
ELANORA (V.O.)	 Hello?	CATCH	 (softly) Hi.	ELANORA (V.O.)	 Hi! How are you? Have you been out in this great afternoon? Brenda took me for a walk.	ELANORA (V.O.)	 Anything wrong?	Angel Eyes 
PINDELLA	 I can't discuss that, but if you know how to reach him, I would appreciate being able to talk to him.	SHARON	 (desperate) You can help by just   telling me what's in the public   record. It'll take me half a   day to do a search. Can you tell    me? Just...	SHARON	 Can you please tell me what's in the record?	PINDELLA	 You were with him -- in the car. Your uniform threw me. Are you his friend?	Angel Eyes 
PINDELLA	 Remember?	SHARON	 (quietly) Yes.   I was there. I was there.	PINDELLA	 His wife's mother survived, but... she was paralyzed.	PINDELLA	 Elanora Chu.   She's still in town, I believe.	Angel Eyes 
SHARON	 Does he... still see her?	PINDELLA	 He used to. I don't know. (pause) I'm glad to see... he has someone else who cares about him. I know he's running from this. He left all his friends, his home, his whole life.	SHARON	 He says... he doesn't remember the accident.	PINDELLA	 He lost a lot of memory. I tried to help him with that. He resisted. Walked away.	Angel Eyes 
CATCH	 Don't talk about that!    Don't!	SHARON	 (breaking down) All right -- you talk about it! You tell me your family died and I say yes, I know, I'm sorry, and you say, I loved them... and I say, what an awful thing to lose a family...	CATCH	 (unravelling) Damn you, Shar. Damn you -- why won't you stop?!	SHARON	 So you can have a life!	Angel Eyes 
SHARON	 (breaking down) All right -- you talk about it! You tell me your family died and I say yes, I know, I'm sorry, and you say, I loved them... and I say, what an awful thing to lose a family...	CATCH	 (unravelling) Damn you, Shar. Damn you -- why won't you stop?!	SHARON	 So you can have a life!	CATCH	 I have a life! We could have a life. We could get up and go to work and come home to each other and never, never talk about before. We don't need to do that! Why do we need to do that?!	Angel Eyes 
SHARON	 I'm sorry for... what happened.     I know about the accident.	ELANORA	 (hopeful) He told you?!	SHARON	 No. I found out, and... I remembered. I was there.	ELANORA	 Oh.   Yes.	Angel Eyes 
SHARON	 I thought it might help him... come back, you know? But he wouldn't even go in. He screamed at me.	ELANORA	 (upset) What made you take him there?	SHARON	 For the truth...	ELANORA	 He knows the truth.	Angel Eyes 
SHARON	 You both look so great.	MOTHER	 (nervous) You, too.	SHARON	 I just wanted to...	FATHER	 You coming to the party?	Angel Eyes 
HUSBAND	 Big police officer now.	SHARON	 Not so big. (to Mrs. Vander) Nice dress.					Angel Eyes 
SHARON	 It was a nice ceremony.	MOTHER	 (worried) Yes. We're running out of chicken, though. Nobody's eating the ham.	SHARON	 It's a great party, Mom.   You look happy.	SHARON	 Thirty-five years and still in love, huh?	Angel Eyes 
SHARON	 What're you doing?	LARRY	 (to crowd) Once the cops leave, we can really party.	LARRY	 Why don't you give everybody a break -- and go home?			Angel Eyes 
FATHER	 Jesus -- you're here, aren't you? What d'you want?	SHARON	 I want to know! (then, quieting) Do you want me here? Do you love me, Dad? I want to know.	SHARON	 Do you... need to... check that again?	FATHER	 I feel like...	Angel Eyes 
