BUD (V.O.)	 It's a real nice apartment - nothing fancy -- but kind of cozy -- just right for a bachelor. The only problem is - I can't always get in when I want to. INT. THE APARTMENT - EVENING (Picasso, Braque, Klee) tacked up on the walls.	KIRKEBY	 (calling off) Come on, Sylvia.  It's getting late.	KIRKEBY	 Cut it out, Sylvia.  We got to get out of here.			Apartment, The 
DR. DREYFUSS	 Yeah.  Some clown at Schrafft's 57th Street ate a club sandwich, and forgot to take out the toothpick.	BUD	 Oh. (sets down wastebasket) 'Bye, Doc.	DR. DREYFUSS	 (indicating bottles) Say, Baxter -- the way you're belting that stuff, you must have a pair of cast-iron kidneys.	BUD	 Oh, that's not me.  It's just that once in a while, I have some people in for a drink.	Apartment, The 
BUD	 Oh. (sets down wastebasket) 'Bye, Doc.	DR. DREYFUSS	 (indicating bottles) Say, Baxter -- the way you're belting that stuff, you must have a pair of cast-iron kidneys.	BUD	 Oh, that's not me.  It's just that once in a while, I have some people in for a drink.	DR. DREYFUSS	 As a matter of fact, you must be an iron man all around. From what I hear through the walls, you got something going for you every night.	Apartment, The 
BUD	 I'm sorry if it gets noisy --	DR. DREYFUSS	 Sometimes,  there's a twi-night double-header. (shaking his head) A nebbish like you!	BUD	 (uncomfortable) Yeah.  Well -- see you, Doc. (starts to back through door)	DR. DREYFUSS	 You know, Baxter -- I'm doing some research at the Columbia Medical Center -- and I wonder if you could do us a favor?	Apartment, The 
DR. DREYFUSS	 Sometimes,  there's a twi-night double-header. (shaking his head) A nebbish like you!	BUD	 (uncomfortable) Yeah.  Well -- see you, Doc. (starts to back through door)	DR. DREYFUSS	 You know, Baxter -- I'm doing some research at the Columbia Medical Center -- and I wonder if you could do us a favor?	BUD	 Me?	Apartment, The 
ANNOUNCER	 -- from the world's greatest library of film classics, we proudly present -- (fanfare) Greta Garbo -- John Barrymore -- Joan Crawford -- Wallace Beery -- and Lionel Barrymore in -- (fanfare)	GRAND HOTEL!		ANNOUNCER	 But first, a word from our sponsor. If you smoke the modern way, don't be fooled by phony filter claims --			Apartment, The 
DOBISCH	 Dobisch -- Joe Dobisch, in Administration.	BUD	 (snapping to attention) Oh, yes, Mr. Dobisch.  I didn't recognize your voice --					Apartment, The 
DOBISCH	 That's okay, Buddy-boy.  Now like I was saying, I'm in this joint on Sixty-first -- and I think I got lucky -- (glances toward blonde) -- she's a skater with the Ice Show -- (he chuckles) -- and I thought maybe I could bring her up for a quiet drink.	BUD	 I'm sorry, Mr. Dobisch.  You know I like to help you guys out -- but it's sort of late -- so why don't we make it some other time?					Apartment, The 
DOBISCH	 (pulling rank) Look, Baxter -- we're making out the monthly efficiency rating -- and I'm putting you in the top ten. Now you don't want to louse yourself up, do you?	BUD	 Of course not.  But -- how can I be efficient in the office if I don't get enough sleep at night?					Apartment, The 
BLONDE	 That's sweet.  That's real sweet.	DOBISCH	 (into phone again) Make it thirty minutes.  What do you say, Bud?	BUD	 (a last stand) I'm all out of liquor -- and there's no clean glasses -- no cheese crackers -- no nothing.			Apartment, The 
DOBISCH	 (into phone again) Make it thirty minutes.  What do you say, Bud?	BUD	 (a last stand) I'm all out of liquor -- and there's no clean glasses -- no cheese crackers -- no nothing.					Apartment, The 
BLONDE	 This the place?	DOBISCH	 Yeah. (to cab driver) How much?	CABBIE	 Seventy cents.	DOBISCH	 Get the money, will you?	Apartment, The 
DOBISCH	 Can't think of a better one.	BLONDE	 (holding door open for him) I mean - barging in on your mother -- in the middle of the night?	DOBISCH	 (edging past her with stingers) Don't worry about the old lady. One squawk from her, and she's out of a job.			Apartment, The 
BLONDE	 (holding door open for him) I mean - barging in on your mother -- in the middle of the night?	DOBISCH	 (edging past her with stingers) Don't worry about the old lady. One squawk from her, and she's out of a job.					Apartment, The 
DOBISCH	 Not there.  Under the mat.	BLONDE	 (puzzled) Under the mat? (picks up key)	DOBISCH	 (impatiently) Open up, open up -- we haven't got all night.	BLONDE	 (suspiciously) So this is your mother's apartment?	Apartment, The 
BLONDE	 (puzzled) Under the mat? (picks up key)	DOBISCH	 (impatiently) Open up, open up -- we haven't got all night.	BLONDE	 (suspiciously) So this is your mother's apartment?	DOBISCH	 That's right.  Maria Ouspenskaya.	Apartment, The 
DOBISCH	 (impatiently) Open up, open up -- we haven't got all night.	BLONDE	 (suspiciously) So this is your mother's apartment?	DOBISCH	 That's right.  Maria Ouspenskaya.	BLONDE	 (sticking her head in) Hiya, Ouspenskaya.	Apartment, The 
DOBISCH	 That's right.  Maria Ouspenskaya.	BLONDE	 (sticking her head in) Hiya, Ouspenskaya.	DR. DREYFUSS	 (calling to his wife, off-screen) Mildred -- he's at it again.			Apartment, The 
BLONDE	 (sticking her head in) Hiya, Ouspenskaya.	DR. DREYFUSS	 (calling to his wife, off-screen) Mildred -- he's at it again.					Apartment, The 
BUD	 (hoarsely) Good morning, Mr. Kirkeby.	KIRKEBY	 (as if he just knew him vaguely) Oh, how are you, Baxter.  They keeping you busy these days?	BUD	 Yes, sir.  They are indeed. (he sniffs)	FRAN	 (rattling it off) Morning, Mr. Kessel -- Morning, Miss Robinson -- Morning, Mr. Kirkeby -- Morning, Mr. Williams -- Morning, Miss Livingston -- Morning, Mr. McKellway -- Morning, Mr. Pirelli -- Morning, Mrs. Schubert --	Apartment, The 
KIRKEBY	 (as if he just knew him vaguely) Oh, how are you, Baxter.  They keeping you busy these days?	BUD	 Yes, sir.  They are indeed. (he sniffs)	FRAN	 (rattling it off) Morning, Mr. Kessel -- Morning, Miss Robinson -- Morning, Mr. Kirkeby -- Morning, Mr. Williams -- Morning, Miss Livingston -- Morning, Mr. McKellway -- Morning, Mr. Pirelli -- Morning, Mrs. Schubert --	FRAN	 Morning, Mr. Baxter.	Apartment, The 
BUD	 Yes, sir.  They are indeed. (he sniffs)	FRAN	 (rattling it off) Morning, Mr. Kessel -- Morning, Miss Robinson -- Morning, Mr. Kirkeby -- Morning, Mr. Williams -- Morning, Miss Livingston -- Morning, Mr. McKellway -- Morning, Mr. Pirelli -- Morning, Mrs. Schubert --	FRAN	 Morning, Mr. Baxter.	BUD	 Morning, Miss Kubelik.	Apartment, The 
BUD	 Morning, Miss Kubelik.	STARTER	 (working the clicker) That's all.  Take it away.	FRAN	 (shutting the door) Watch the door, please.  Blasting off.			Apartment, The 
STARTER	 (working the clicker) That's all.  Take it away.	FRAN	 (shutting the door) Watch the door, please.  Blasting off.					Apartment, The 
BUD	 (studying her) What did you do to your hair?	FRAN	 It was making me nervous, so I chopped it off.  Big mistake, huh?	BUD	 I sort of like it.			Apartment, The 
FRAN	 Well, to make the figures come out even -- since I have no colds a year -- some poor slob must have five colds a year.	BUD	 That's me. (dabs his nose)	FRAN	 You should have stayed in bed this morning.	BUD	 I should have stayed in bed last night.	Apartment, The 
FRAN	 (all in the day's work) And watch your hand, Mr. Kirkeby!	KIRKEBY	 (innocently) I beg your pardon?	FRAN	 One of these days I'm going to shut those doors on you and --	FRAN	 Twenty next.	Apartment, The 
KIRKEBY	 Listen to him.  Little Lord Fauntleroy!	BUD	 (cupping hand over phone mouthpiece) Hello, Mr. Dobisch? This is Baxter, on the nineteenth floor.					Apartment, The 
DOBISCH	 Oh, Buddy-boy. I was just about to call you. (shuts off electric shaver) I'm sorry about that mess on the living room wall. You see, my little friend, she kept insisting Picasso was a bum -- so she started to do that mural -- but I'm sure it will wash off -- just eyebrow pencil.	BUD	 It's not Picasso I'm calling about. It's the key -- to my apartment -- you were supposed to leave it under the mat.	DOBISCH	 I did, didn't I? I distinctly remember bending over and putting it there --			Apartment, The 
BUD	 Oh, I found a key there, all right -- only it's the wrong key.	DOBISCH	 It is? (takes Bud's key out of his pocket) Well, how about that? No wonder I couldn't get into the executive washroom this morning.	BUD	 And I couldn't get into my apartment -- so at four a. m. I had to wake up the landlady and give her a whole song and dance about going out to mail a letter and the door slamming shut.	DOBISCH	 That's a shame. I'll send the key right down. And about your promotion -- (leafs through report on desk) -- I'm sending that efficiency report right up to Mr. Sheldrake, in Personnel. I wouldn't be surprised if you heard from him before the day is over.	Apartment, The 
BUD	 And I couldn't get into my apartment -- so at four a. m. I had to wake up the landlady and give her a whole song and dance about going out to mail a letter and the door slamming shut.	DOBISCH	 That's a shame. I'll send the key right down. And about your promotion -- (leafs through report on desk) -- I'm sending that efficiency report right up to Mr. Sheldrake, in Personnel. I wouldn't be surprised if you heard from him before the day is over.	BUD	 Thank you, Mr. Dobisch.	MESSENGER	 From Mr. Dobisch.	Apartment, The 
MESSENGER	 From Mr. Dobisch.	BUD	 (thermometer in mouth) Wait.	BUD	 (thermometer in mouth) To Mr. Dobisch.			Apartment, The 
VANDERHOF	 Dear Mr. MacIntosh -- (phone rings and he picks it up) Vanderhof, Public Relations. Oh, yes, Baxter. Just a minute. (to secretary) All right, Miss Finch -- type up what we got so far. (he waits till she is out of the office; then, into phone) Now what is it, Baxter?	BUD	 Look, Mr. Vanderhof -- I've got you down here for tonight -- but I'm going to be using the place myself -- so I'll have to cancel.	VANDERHOF	 Cancel? But it's her birthday -- I already ordered the cake --			Apartment, The 
VANDERHOF	 Okay, you made your point. We'll just have to do it next Wednesday -- that's the only night of the week I can get away.	BUD	 Wednesday -- Wednesday -- (leafing through calendar) I got somebody penciled in -- let me see what I can do -- I'll get back to you.	BUD	 (into phone) Mr. Eichelberger? Is this Mortgage and Loan? I'd like to speak to Mr. Eichelberger. Yes, it is urgent.			Apartment, The 
ASSOCIATE	 (holding out phone to Eichelberger) For you, Mel.	EIGHELBERGER	 Eichelberger here -- oh, yes, Baxter -- (a glance at his associates; then continues, as though it were a business call) What's your problem? -- Wednesday is out? -- oh -- that throws a little monkey wrench into my agenda -- Thursday? No, I'm all tied up on Thursday -- let's schedule that meeting for Friday.	BUD	 Friday? (checks calendar) Let me see what I can do. I'll get back to you.			Apartment, The 
EIGHELBERGER	 Eichelberger here -- oh, yes, Baxter -- (a glance at his associates; then continues, as though it were a business call) What's your problem? -- Wednesday is out? -- oh -- that throws a little monkey wrench into my agenda -- Thursday? No, I'm all tied up on Thursday -- let's schedule that meeting for Friday.	BUD	 Friday? (checks calendar) Let me see what I can do. I'll get back to you.					Apartment, The 
SYLVIA	 Thursday? That's The Untouchables -- with Bob Stack.	KIRKEBY	 Bob WHO? -- all right, so we'll watch it at the apartment. Big deal. (he hangs up, dials) Baxter? It's okay for Thursday.					Apartment, The 
BUD	 Thank you, Mr. Kirkeby. (hangs up, consults directory, dials) Mr. Eichelberger? It's okay for Friday. (hangs up, consults directory, dials) Mr. Vanderhof? It's okay for Wednesday.	MOFFETT	 (into phone) All right -- I'll tell him. (hangs up, turns to Bud) Hey, Baxter -- that was Personnel. Mr. Sheldrake's secretary.	BUD	 Sheldrake?	MOFFETT	 She's been trying to reach you for the last twenty minutes. They want you up stairs.	Apartment, The 
MOFFETT	 What gives, Baxter? You getting promoted or getting fired?	BUD	 (cockily) Care to make a small wager?	MOFFETT	 I've been here twice as long as you have --	BUD	 Shall we say -- a dollar?	Apartment, The 
BUD	 Why not? Now that they're kicking me upstairs --	FRAN	 Couldn't happen to a nicer guy. (Bud beams) You know, you're the only one around here who ever takes his hat off in the elevator.	BUD	 Really?	FRAN	 The characters you meet. Something happens to men in elevators. Must be the change of altitude -- the blood rushes to their head, or something -- boy, I could tell you stories --	Apartment, The 
FRAN	 I hope everything goes all right.	BUD	 I hope so. (turning back) Wouldn't you know they'd call me on a day like this -- with my cold and everything -- (fumbling with his tie) How do I look?	FRAN	 Fine. (stepping out of elevator) Wait.	BUD	 Thank you. That's the first thing I ever noticed about you -- when you were still on the local elevator -- you always wore a flower --	Apartment, The 
BUD	 I hope so. (turning back) Wouldn't you know they'd call me on a day like this -- with my cold and everything -- (fumbling with his tie) How do I look?	FRAN	 Fine. (stepping out of elevator) Wait.	BUD	 Thank you. That's the first thing I ever noticed about you -- when you were still on the local elevator -- you always wore a flower --	FRAN	 Good luck. And wipe your nose.	Apartment, The 
BUD	 Yes, sir.	SHELDRAKE	 (studying him) I was sort of wondering what you looked like. Sit down.	BUD	 Yes, Mr. Sheldrake.	SHELDRAKE	 Been hearing some very nice things about you -- here's a report from Mr. Dobisch -- loyal, cooperative, resourceful --	Apartment, The 
SHELDRAKE	 And Mr. Kirkeby tells me that several nights a week you work late at the office -- without overtime.	BUD	 (modestly) Well, you know how it is -- things pile up.	SHELDRAKE	 Mr. Vanderhof, in Public Relations, and Mr. Eichelberger, in Mortgage and Loan -- they'd both like to have you transferred to their departments.	BUD	 That's very flattering.	Apartment, The 
SHELDRAKE	 Look, Baxter, I'm not stupid. I know everything that goes on in this building -- in every department -- on every floor -- every day of the year.	BUD	 (in a very small voice) You do?	SHELDRAKE	 (rises, starts pacing) In 1957, we had an employee here, name of Fowler. He was very popular, too. Turned out he was running a bookie joint right in the Actuarial Department tying up the switchboard, figuring the odds on our I.B.M. machines -- so the day before the Kentucky Derby, I called in the Vice Squad and we raided the thirteenth floor.	BUD	 (worried) The Vice Squad?	Apartment, The 
BUD	 (in a very small voice) You do?	SHELDRAKE	 (rises, starts pacing) In 1957, we had an employee here, name of Fowler. He was very popular, too. Turned out he was running a bookie joint right in the Actuarial Department tying up the switchboard, figuring the odds on our I.B.M. machines -- so the day before the Kentucky Derby, I called in the Vice Squad and we raided the thirteenth floor.	BUD	 (worried) The Vice Squad?	SHELDRAKE	 That's right, Baxter.	Apartment, The 
SHELDRAKE	 (rises, starts pacing) In 1957, we had an employee here, name of Fowler. He was very popular, too. Turned out he was running a bookie joint right in the Actuarial Department tying up the switchboard, figuring the odds on our I.B.M. machines -- so the day before the Kentucky Derby, I called in the Vice Squad and we raided the thirteenth floor.	BUD	 (worried) The Vice Squad?	SHELDRAKE	 That's right, Baxter.	BUD	 What -- what's that got to do with me? I'm not running any bookie joint.	Apartment, The 
SHELDRAKE	 You better.	BUD	 (a deep breath) Well, about six months ago -- I was going to night school, taking this course in Advanced Accounting -- and one of the guys in our department -- he lives in Jersey -- he was going to a banquet at the Biltmore -- his wife was meeting him in town, and he needed someplace to change into a tuxedo -- so I gave him the key    and word must have gotten around -- because the next thing I knew, all sorts of guys were suddenly going to banquets -- and when you give the key to one guy, you can't say no to another and the whole thing got out of hand -- pardon me.	SHELDRAKE	 Baxter, an insurance company is founded on public trust. Any employee who conducts himself in a manner unbecoming -- (shifting into a new gear) How many charter members are there in this little club of yours?	BUD	 Just those four -- out of a total of 31,259 -- so actually, we can be very proud of our personnel -- percentage-wise.	Apartment, The 
BUD	 (a deep breath) Well, about six months ago -- I was going to night school, taking this course in Advanced Accounting -- and one of the guys in our department -- he lives in Jersey -- he was going to a banquet at the Biltmore -- his wife was meeting him in town, and he needed someplace to change into a tuxedo -- so I gave him the key    and word must have gotten around -- because the next thing I knew, all sorts of guys were suddenly going to banquets -- and when you give the key to one guy, you can't say no to another and the whole thing got out of hand -- pardon me.	SHELDRAKE	 Baxter, an insurance company is founded on public trust. Any employee who conducts himself in a manner unbecoming -- (shifting into a new gear) How many charter members are there in this little club of yours?	BUD	 Just those four -- out of a total of 31,259 -- so actually, we can be very proud of our personnel -- percentage-wise.	SHELDRAKE	 That's not the point. Four rotten apples in a barrel -- no matter how large the barrel -- you realize that if this ever leaked out --	Apartment, The 
BUD	 Yes, sir.	SHELDRAKE	 (into phone) The reason I called is -- I won't be home for dinner tonight. The branch manager from Kansas City is in town -- I'm taking him to the theatre Music Man, what else? No, don't wait up for me -- 'bye, darling. (hangs up, turns to Bud) Tell me something,  Baxter  -- have you seen Music Man?	BUD	 Not yet. But I hear it's one swell show.	SHELDRAKE	 How would you like to go tonight?	Apartment, The 
SHELDRAKE	 It also says here -- that you are alert, astute, and quite imaginative --	BUD	 Oh? (the dawn is breaking) Oh!	BUD	 This?	SHELDRAKE	 That's good thinking, Baxter. Next month there's going to be a shift in personnel around here -- and as far as I'm concerned, you're executive material.	Apartment, The 
BUD	 I am?	SHELDRAKE	 Now put down the key -- (pushing a pad toward him) -- and put down the address.	BUD	 It's on the second floor - my name is not on the door -- it just says	2A --		Apartment, The 
BUD	 Oh, no sir. Certainly not. Anyway, it's none of my business -- four apples, five apples -- what's the difference -- percentage-wise?	SHELDRAKE	 (holding out the tickets) Here you are, Baxter. Have a nice time.	BUD	 You too, sir.			Apartment, The 
SYLVIA	 So I figure, a man in his position, he's going to take me to 21 and El Morocco -- instead, he takes me to Hamburg Heaven and some schnook's apartment --	FRAN	 (passing Bud) Good night.	BUD	 (casually) Good night.	BUD	 Oh -- Miss Kubelik. (he rushes after her, taking off his hat) I've been waiting for you.	Apartment, The 
FRAN	 (passing Bud) Good night.	BUD	 (casually) Good night.	BUD	 Oh -- Miss Kubelik. (he rushes after her, taking off his hat) I've been waiting for you.	FRAN	 You have?	Apartment, The 
FRAN	 I'm sorry, but I can't tonight. I'm meeting somebody.	BUD	 Oh. (a beat) You mean -- like a girl-friend?	FRAN	 No. Like a man.	BUD	 I wasn't trying to be personal -- it's just that the fellows in the office were -- whether you wondering about you ever --	Apartment, The 
BUD	 (putting his hat on) Well, it was just an idea -- I hate to see a ticket go to waste --	FRAN	 (stops) What time does the show go on?	BUD	 Eight-thirty.	FRAN	 (looks at her watch) Well -- I could meet you at the theatre -- if that's all right.	Apartment, The 
BUD	 Eight-thirty.	FRAN	 (looks at her watch) Well -- I could meet you at the theatre -- if that's all right.	BUD	 All right? That's wonderful! It's the Majestic -- 44th Street.	FRAN	 Meet you in the lobby. Okay?	Apartment, The 
FRAN	 How is your cold?	BUD	 (high as a kite) What cold? And after the show, we could go out on the town -- (does a little cha cha step) I've been taking from Arthur Murray.	FRAN	 So I see.	BUD	 They got a great little band at El Chico, in the Village -- it's practically around the corner from where you live.	Apartment, The 
BUD	 They got a great little band at El Chico, in the Village -- it's practically around the corner from where you live.	FRAN	 Sounds good. (a sudden thought) How do you know where I live?	BUD	 Oh, I even know who you live with -- your sister and brother-in- law -- I know when you were born -- and where -- I know all sorts of things about you.	FRAN	 How come?	Apartment, The 
BUD	 I know your height, your weight and your Social Security number -- you had mumps, you had measles, and you had your appendix out.	FRAN	 Well, don't tell the fellows in the office about the appendix. They may get the wrong idea how you found out. (turning the corner) 'Bye.	BUD	 (calling after her) Eight-thirty!			Apartment, The 
FRAN	 Well, don't tell the fellows in the office about the appendix. They may get the wrong idea how you found out. (turning the corner) 'Bye.	BUD	 (calling after her) Eight-thirty!					Apartment, The 
FRAN	 (a wistful smile) Good evening, Mr. Sheldrake.	SHELDRAKE	 Please, Fran -- not so loud. (he gets up)	FRAN	 Still afraid somebody may see us together?	SHELDRAKE	 (reaching for her coat) Let me take that.	Apartment, The 
FRAN	 Still afraid somebody may see us together?	SHELDRAKE	 (reaching for her coat) Let me take that.	FRAN	 No, Jeff. I can't stay very long. (sits opposite him, with her coat on) Can I have a frozen daiquiri?	SHELDRAKE	 It's on the way. (sits down) I see you went ahead and cut your hair.	Apartment, The 
SHELDRAKE	 (reaching for her coat) Let me take that.	FRAN	 No, Jeff. I can't stay very long. (sits opposite him, with her coat on) Can I have a frozen daiquiri?	SHELDRAKE	 It's on the way. (sits down) I see you went ahead and cut your hair.	FRAN	 That's right.	Apartment, The 
FRAN	 No, Jeff. I can't stay very long. (sits opposite him, with her coat on) Can I have a frozen daiquiri?	SHELDRAKE	 It's on the way. (sits down) I see you went ahead and cut your hair.	FRAN	 That's right.	SHELDRAKE	 You know I liked it better long.	Apartment, The 
FRAN	 Yes, I know. You want a lock to carry in your wallet?	WAITER	 (showing all his teeth) Evening, lady. Nice see you again.	FRAN	 Thank you.	SHELDRAKE	 How long has it been -- a month?	Apartment, The 
SHELDRAKE	 It's been hell.	FRAN	 (dipping shrimp) -- same sauce -- sweet and sour.	SHELDRAKE	 You don't know what it's like -- standing next to you in that elevator, day after day -- Good morning, Miss Kubelik -- Good night, Mr. Sheldrake -- I'm still crazy about you, Fran.	FRAN	 (avoiding his eyes) Let's not start on that again, Jeff -- please. I'm just beginning to get over it.	Apartment, The 
SHELDRAKE	 You don't know what it's like -- standing next to you in that elevator, day after day -- Good morning, Miss Kubelik -- Good night, Mr. Sheldrake -- I'm still crazy about you, Fran.	FRAN	 (avoiding his eyes) Let's not start on that again, Jeff -- please. I'm just beginning to get over it.	SHELDRAKE	 I don't believe you.	FRAN	 Look, Jeff -- we had two wonderful months this summer -- and that was it. Happens all the time -- the wife and kids go away to the country, and the boss has a fling with the secretary or the manicurist -- or the elevator girl. Comes September, the picnic is over -- goodbye. The kids go back to school, the boss goes back to the wife, and the girl -- (she is barely able to control herself) They don't make these shrimp like they used to.	Apartment, The 
SHELDRAKE	 I don't believe you.	FRAN	 Look, Jeff -- we had two wonderful months this summer -- and that was it. Happens all the time -- the wife and kids go away to the country, and the boss has a fling with the secretary or the manicurist -- or the elevator girl. Comes September, the picnic is over -- goodbye. The kids go back to school, the boss goes back to the wife, and the girl -- (she is barely able to control herself) They don't make these shrimp like they used to.	SHELDRAKE	 I never said goodbye, Fran.	FRAN	 (not listening) For a while there, you try kidding yourself that you're going with an unmarried man. Then one day he keeps looking at his watch, and asks you if there's any lipstick showing, then rushes off to catch the seven-fourteen to White Plains. So you fix yourself a cup of instant coffee -- and you sit there by yourself -- and you think -- and it all begins to look so ugly --	Apartment, The 
SHELDRAKE	 I never said goodbye, Fran.	FRAN	 (not listening) For a while there, you try kidding yourself that you're going with an unmarried man. Then one day he keeps looking at his watch, and asks you if there's any lipstick showing, then rushes off to catch the seven-fourteen to White Plains. So you fix yourself a cup of instant coffee -- and you sit there by yourself -- and you think -- and it all begins to look so ugly --	SHELDRAKE	 How do you think I felt -- riding home on that seven-fourteen train?	FRAN	 Why do you keep calling me, Jeff? What do you want from me?	Apartment, The 
FRAN	 Why do you keep calling me, Jeff? What do you want from me?	SHELDRAKE	 (taking her hand) I want you back, Fran.	FRAN	 (withdrawing her hand) Sorry, Mr. Sheldrake -- I'm full up. You'll have to take the next elevator.	SHELDRAKE	 You're not giving me a chance, Fran. I asked you to meet me because -- I have something to tell you.	Apartment, The 
SHELDRAKE	 (taking her hand) I want you back, Fran.	FRAN	 (withdrawing her hand) Sorry, Mr. Sheldrake -- I'm full up. You'll have to take the next elevator.	SHELDRAKE	 You're not giving me a chance, Fran. I asked you to meet me because -- I have something to tell you.	FRAN	 Go ahead -- tell me.	Apartment, The 
FRAN	 Go ahead -- tell me.	SHELDRAKE	 (a glance around) Not here, Fran. Can't we go some place else?	FRAN	 No. I have a date at eight-thirty.	SHELDRAKE	 Important?	Apartment, The 
SHELDRAKE	 Fran -- remember that last weekend we had?	FRAN	 (wryly) Do I. That leaky little boat you rented -- and me in a black negligee and a life preserver --	SHELDRAKE	 Remember what we talked about?	FRAN	 We talked about a lot of things.	Apartment, The 
SHELDRAKE	 You didn't really believe me, did you?	FRAN	 (shrugging) They got it an a long playing record now - Music to String Her Along By. My wife doesn't understand me -- We haven't gotten along for years -- You're the best thing that ever happened to me --	SHELDRAKE	 That's enough, Fran.	FRAN	 (going right on) Just trust me, baby -- we'll work it out somehow --	Apartment, The 
SHELDRAKE	 That's enough, Fran.	FRAN	 (going right on) Just trust me, baby -- we'll work it out somehow --	SHELDRAKE	 You're not being funny.	FRAN	 I wasn't trying.	Apartment, The 
SHELDRAKE	 What do you think?	FRAN	 (looking at him for a long moment - then) Let's get something straight, Jeff -- I never asked you to leave your wife.	SHELDRAKE	 Of course not. You had nothing to do with it.	FRAN	 (her eyes misting up again) Are you sure that's what you want?	Apartment, The 
SHELDRAKE	 Of course not. You had nothing to do with it.	FRAN	 (her eyes misting up again) Are you sure that's what you want?	SHELDRAKE	 I'm sure. If you'll just tell me that you still love me --	FRAN	 (softly) You know I do.	Apartment, The 
SHELDRAKE	 I'm sure. If you'll just tell me that you still love me --	FRAN	 (softly) You know I do.	SHELDRAKE	 Fran --	FRAN	 (pulling her hand away gently) Jeff -- darling --	Apartment, The 
SHELDRAKE	 Fran --	FRAN	 (pulling her hand away gently) Jeff -- darling --	SHELDRAKE	 It is crowding up. Let's get out of here.			Apartment, The 
